00000001d5a96d78 (__DATA,__data) non-external _C
00000001803424dc (__TEXT,__text) non-external ___default_utx_init
000000018031a374 (__TEXT,__text) external ___delpair
00000001802f32a0 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00000001802e35f4 (__TEXT,__text) external ___diff_D2A
00000001d6c24a50 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00000001802e1498 (__TEXT,__text) external ___dtoa
0000000180342668 (__TEXT,__text) non-external (was a private external) ___endutxent
00000001d6c26378 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
000000018033a800 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00000001d5a98ca0 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00000001802ff404 (__TEXT,__text) non-external (was a private external) ___errstr
00000001802e6f0c (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180318aa0 (__TEXT,__text) external ___expand_table
00000001d5a98aa8 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00000001802e4698 (__TEXT,__text) external ___fflush
000000018032d80c (__TEXT,__text) external ___fgetwc
000000018032f090 (__TEXT,__text) non-external (was a private external) ___find_arguments
0000000180319540 (__TEXT,__text) external ___find_bigpair
0000000180319668 (__TEXT,__text) external ___find_last_page
000000018032febc (__TEXT,__text) non-external (was a private external) ___find_warguments
00000001802d441c (__TEXT,__text) non-external (was a private external) ___findenv_locked
00000001802f4e40 (__TEXT,__text) external ___fix_locale_grouping_str
0000000180327428 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
000000018032df30 (__TEXT,__text) non-external (was a private external) ___fputwc
00000001802de9b8 (__TEXT,__text) external ___fread
000000018031b860 (__TEXT,__text) external ___free_ovflpage
00000001802e268c (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
00000001d5a9722c (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00000001802e3e5c (__TEXT,__text) non-external ___fts_open
000000018031dad4 (__TEXT,__text) external ___gdtoa
00000001d5a98d58 (__DATA,__common) external ___gdtoa_locks
0000000180319d94 (__TEXT,__text) external ___get_buf
0000000180327a94 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00000001802d7d0c (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00000001802d7d2c (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00000001802f1a68 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00000001802fc038 (__TEXT,__text) non-external (was a private external) ___get_locale_env
000000018031b2d0 (__TEXT,__text) external ___get_page
00000001802fa698 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00000001d6c262b8 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
0000000180327ab4 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000180342778 (__TEXT,__text) non-external (was a private external) ___getutxent
0000000180342bb0 (__TEXT,__text) non-external ___getutxid
00000001802fde94 (__TEXT,__text) non-external (was a private external) ___gl_compare
00000001802fd97c (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00000001802fdc80 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00000001802fd1c0 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00000001802fda74 (__TEXT,__text) non-external (was a private external) ___gl_match
00000001802fcc7c (__TEXT,__text) non-external ___glob
00000001d6c237f8 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00000001802f1324 (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180317eb4 (__TEXT,__text) external ___hash_open
0000000180304004 (__TEXT,__text) external ___hdtoa
00000001802dfd8c (__TEXT,__text) non-external (was a private external) ___heapsort_r
00000001802e5640 (__TEXT,__text) external ___hi0bits_D2A
000000018031dab8 (__TEXT,__text) external ___hldtoa
00000001802e3278 (__TEXT,__text) external ___i2b_D2A
000000018031b7a0 (__TEXT,__text) external ___ibitmap
000000018032c608 (__TEXT,__text) non-external ___inaddr_to_index
0000000180349500 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
000000018033cf5c (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
000000018032835c (__TEXT,__text) external ___isctype
000000018032831c (__TEXT,__text) external ___istype
0000000180328430 (__TEXT,__text) external ___istype_l
00000001d6c243d0 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180327a84 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
000000018033e070 (__TEXT,__text) external ___ldtoa
0000000180312ae8 (__TEXT,__text) external ___libc_init
00000001802e2504 (__TEXT,__text) external ___lo0bits_D2A
00000001802e6f54 (__TEXT,__text) non-external ___loadevp
00000001d6c23dc0 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
000000018031a344 (__TEXT,__text) external ___log2
00000001d5a98d78 (__DATA,__common) non-external (was a private external) ___logname
00000001d5a96dc8 (__DATA,__data) non-external (was a private external) ___logname_mutex
000000018034cf10 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00000001802e34f4 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
00000001802e7728 (__TEXT,__text) external ___maskrune
00000001803283c8 (__TEXT,__text) external ___maskrune_l
000000018031ec68 (__TEXT,__text) external ___match_D2A
00000001d5a96ef4 (__DATA,__data) external ___mb_cur_max
00000001d5a96ef8 (__DATA,__data) external ___mb_sb_limit
0000000180334838 (__TEXT,__text) non-external ___mbsconv
0000000180327c78 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180347e74 (__TEXT,__text) external ___memccpy_chk
00000001802d8b20 (__TEXT,__text) external ___memcpy_chk
00000001802d956c (__TEXT,__text) external ___memmove_chk
00000001802e0ad0 (__TEXT,__text) external ___memset_chk
00000001802f53c8 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00000001d5a98828 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00000001802f4744 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00000001d5a98838 (__DATA,__bss) non-external ___monetary_load_locale.cache
00000001802e33c0 (__TEXT,__text) external ___mult_D2A
00000001802e31c0 (__TEXT,__text) external ___multadd_D2A
000000018032d59c (__TEXT,__text) non-external ___nls_free_resources
000000018034c961 (__TEXT,__const) non-external ___nogrouping
00000001802e55e8 (__TEXT,__text) external ___nrv_alloc_D2A
000000018030f7f4 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00000001802f4f04 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00000001d5a98848 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00000001802f39bc (__TEXT,__text) non-external (was a private external) ___open_path_locale
0000000180322290 (__TEXT,__text) external ___opendir2
00000001802d9594 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
0000000180315b30 (__TEXT,__text) external ___ovfl_delete
0000000180315948 (__TEXT,__text) external ___ovfl_get
0000000180315a30 (__TEXT,__text) external ___ovfl_put
00000001802e54c0 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001d6c262c8 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00000001d6c262c0 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00000001d6c24850 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00000001802f4bf4 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00000001d5a98d80 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00000001d5a96e08 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00000001802e32a8 (__TEXT,__text) external ___pow5mult_D2A
000000018034c1f0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
0000000180341698 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180349ee0 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00000001803404d0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180349d04 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
0000000180340610 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180349d30 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
0000000180341064 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180349d88 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00000001803013dc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180349db4 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180341d58 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180349f64 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
0000000180341d40 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00000001803412e0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
0000000180349e5c (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00000001803413ac (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180349e88 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
000000018030139c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180349eb4 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180341844 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
0000000180349f0c (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
0000000180341b40 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
0000000180349f38 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
0000000180300b94 (__TEXT,__text) non-external (was a private external) ___printf_comp
0000000180301474 (__TEXT,__text) non-external (was a private external) ___printf_exec
00000001803022e4 (__TEXT,__text) non-external (was a private external) ___printf_flush
000000018033135c (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180301b2c (__TEXT,__text) non-external (was a private external) ___printf_out
0000000180341c9c (__TEXT,__text) non-external (was a private external) ___printf_pad
000000018030183c (__TEXT,__text) non-external (was a private external) ___printf_puts
00000001803416e4 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00000001803404f8 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
0000000180340660 (__TEXT,__text) non-external (was a private external) ___printf_render_float
0000000180349d5c (__TEXT,__text) non-external ___printf_render_float.cold.1
0000000180341094 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
0000000180301be0 (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180349de0 (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180349e30 (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180341d80 (__TEXT,__text) non-external (was a private external) ___printf_render_n
0000000180341d48 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
0000000180341318 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00000001803413d4 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00000001803018a8 (__TEXT,__text) non-external (was a private external) ___printf_render_str
000000018034186c (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180341b68 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00000001802fa1f4 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001d6c24a70 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
000000018031b4b0 (__TEXT,__text) external ___put_page
000000018034ca48 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180342e7c (__TEXT,__text) non-external (was a private external) ___pututxline
00000001802e56b8 (__TEXT,__text) external ___quorem_D2A
00000001802f7e0c (__TEXT,__text) external ___ratio_D2A
000000018031c230 (__TEXT,__text) external ___rec_close
000000018031c520 (__TEXT,__text) external ___rec_delete
000000018031c66c (__TEXT,__text) external ___rec_dleaf
000000018031d050 (__TEXT,__text) external ___rec_fd
000000018031cae4 (__TEXT,__text) external ___rec_fmap
000000018031c8a4 (__TEXT,__text) external ___rec_fpipe
000000018031c79c (__TEXT,__text) external ___rec_get
000000018031d374 (__TEXT,__text) external ___rec_iput
000000018031ccd4 (__TEXT,__text) external ___rec_open
000000018031d0a8 (__TEXT,__text) external ___rec_put
000000018031d97c (__TEXT,__text) external ___rec_ret
000000018031d5b4 (__TEXT,__text) external ___rec_search
000000018031d788 (__TEXT,__text) external ___rec_seq
000000018031c2e8 (__TEXT,__text) external ___rec_sync
000000018031cbf8 (__TEXT,__text) external ___rec_vmap
000000018031c9bc (__TEXT,__text) external ___rec_vpipe
000000018031a23c (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00000001802e66b8 (__TEXT,__text) external ___rshift_D2A
000000018034c054 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00000001802e25b8 (__TEXT,__text) external ___rv_alloc_D2A
00000001802e30d4 (__TEXT,__text) external ___s2b_D2A
00000001d6c243d8 (__DATA_DIRTY,__data) external ___sF
00000001d6c245a0 (__DATA_DIRTY,__data) non-external ___sFX
00000001802f0e68 (__TEXT,__text) external ___sclose
00000001d6c24ac0 (__DATA_DIRTY,__bss) non-external ___scounted
00000001d6c26308 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00000001802d83ac (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
0000000180327ac0 (__TEXT,__text) external ___setonlyClocaleconv
00000001802f3c34 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00000001d5a98a28 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00000001d5a98a30 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
000000018034425c (__TEXT,__text) non-external ___setup_vars
0000000180342544 (__TEXT,__text) non-external (was a private external) ___setutxent
00000001802e2db0 (__TEXT,__text) external ___sflags
00000001802e27d4 (__TEXT,__text) external ___sflush
00000001802e2e78 (__TEXT,__text) external ___sfp
00000001802e305c (__TEXT,__text) non-external (was a private external) ___sfprelease
00000001802d7d4c (__TEXT,__text) external ___sfvwrite
00000001803133b4 (__TEXT,__text) non-external (was a private external) ___sgetrune
00000001d5a97018 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00000001802de474 (__TEXT,__text) external ___sinit
00000001803054d4 (__TEXT,__text) external ___slbexpand
00000001802e6c18 (__TEXT,__text) external ___smakebuf
00000001802d80d8 (__TEXT,__text) external ___snprintf_chk
0000000180347ed8 (__TEXT,__text) external ___snprintf_object_size_chk
000000018031a4f0 (__TEXT,__text) external ___split_page
0000000180334e9c (__TEXT,__text) non-external ___sprint
00000001802dedb8 (__TEXT,__text) external ___sprintf_chk
0000000180348000 (__TEXT,__text) external ___sprintf_object_size_chk
00000001803134b4 (__TEXT,__text) non-external (was a private external) ___sputrune
000000018030072c (__TEXT,__text) external ___sread
00000001802de2dc (__TEXT,__text) external ___srefill
00000001802de328 (__TEXT,__text) non-external (was a private external) ___srefill0
00000001802de8d4 (__TEXT,__text) non-external (was a private external) ___srefill1
