00007ffb43da9d98 (__DATA,__data) non-external _.compoundliteral
00007ffb0b9d4f3a (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00007ffb0b9879c5 (__TEXT,__text) non-external _CPPelse
00007ffb0b9884c7 (__TEXT,__text) non-external _CPPerror
00007ffb0b98868f (__TEXT,__text) non-external _CPPextension
00007ffb0b987c25 (__TEXT,__text) non-external _CPPif
00007ffb0b987ce5 (__TEXT,__text) non-external _CPPifdef
00007ffb0b987e1a (__TEXT,__text) non-external _CPPinclude
00007ffb0b988085 (__TEXT,__text) non-external _CPPline
00007ffb0b988236 (__TEXT,__text) non-external _CPPpragma
00007ffb0b988437 (__TEXT,__text) non-external _CPPundef
00007ffb0b988591 (__TEXT,__text) non-external _CPPversion
00007ffb0b9e1879 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00007ffb0b9e0002 (__TEXT,__text) non-external _ClearDestedOpRegisters
00007ffb0b9e1838 (__TEXT,__text) non-external _ClearJumpTable
00007ffb0b9dffa1 (__TEXT,__text) non-external _ClearRegisterState
00007ffb0b9dd9a4 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00007ffb0b9d57f3 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007ffb0b9ddc86 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007ffb0b9d9410 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007ffb0b96f680 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007ffb0b9db143 (__TEXT,__text) non-external _EmulateOp
00007ffb0b9dff61 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007ffb0b9dff20 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffb0b986c14 (__TEXT,__text) non-external _FindHashLoc
00007ffb0b9e1b4f (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffb0b96df70 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffb0b9d828a (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffb0b9d8101 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffb0b986bab (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007ffb0b986f53 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffb0b98970b (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffb0b8a120c (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffb0b8a6fdc (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffb4183bc70 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffb0ba03dd0 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffb43da9d78 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffb0ba02fc0 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffb4183dcb0 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffb0ba03de0 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffb0ba02f70 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffb0b986831 (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffb0b9da5fc (__TEXT,__text) non-external _GetOpRegs
00007ffb0b9d7ed4 (__TEXT,__text) non-external _GetOrAddBlock
00007ffb0b9ddc4e (__TEXT,__text) non-external _GetRegChunk
00007ffb0b9d6844 (__TEXT,__text) non-external _GetRegister
00007ffb0b9dfe80 (__TEXT,__text) non-external _GetRegisterIndicies
00007ffb0b9d92fd (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffb0b986884 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffb0b9e1ab4 (__TEXT,__text) non-external _GetStreamArray
00007ffb0b986b97 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffb0b9869f7 (__TEXT,__text) non-external _GrowAtomTable
00007ffb43da9d30 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffb0b9d48f8 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffb0b9d4898 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffb0b9d49ce (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffb0b9d4ae4 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffb0b9d4ad3 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffb0b9d47cd (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffb0b9d4a4b (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffb0b9d4c34 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffb0b9d4bac (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffb0b9d4d71 (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffb0b9d4b5e (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffb0b98689e (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffb0b986d79 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffb0b96dfb1 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffb0b9896c0 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffb0b9d6c78 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffb0b9d75a4 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffb0b9d6d36 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffb0b9da6f6 (__TEXT,__text) non-external _IsBadUsage
00007ffb0b96f821 (__TEXT,__text) non-external (was a private external) _Load
00007ffb0b986600 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffb0b9866b2 (__TEXT,__text) non-external _LookUpAddStringHash
00007ffb0b98b535 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffb0b98b59c (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffb0b9887e0 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffb0b98bdb8 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffb0b98b39d (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffb0b98b5e4 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffb4183a990 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffb4183a630 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffb4183abb0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffb4183acf0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffb4183a7f0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffb4183a8f0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffb4183adf0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffb4183a960 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffb0b89c383 (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffb0b89c14b (__TEXT,__text) external _PPParserAttachStream
00007ffb0b89bfcd (__TEXT,__text) external _PPParserAttachString
00007ffb0b8a5eba (__TEXT,__text) external _PPParserBuildErrorString
00007ffb0b89bee1 (__TEXT,__text) external _PPParserCreate
00007ffb0b89ca85 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffb0b8a47a9 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffb0b89c09d (__TEXT,__text) external _PPParserFree
00007ffb0b89c75a (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffb0b8a6fbb (__TEXT,__text) external _PPParserGetErrorString
00007ffb0b8a6fd2 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffb0b89cac4 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffb0b8a6f70 (__TEXT,__text) external _PPParserGetLimits
00007ffb0b8a6fae (__TEXT,__text) external _PPParserGetOptions
00007ffb0b89c80d (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffb0b89cbc7 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffb0b8a6fc8 (__TEXT,__text) external _PPParserGetStream
00007ffb0b89b077 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffb0b89b0a6 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffb0b89b15d (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffb0b89b0e8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffb0b8a6042 (__TEXT,__text) non-external _PPParserInherit
00007ffb0b89bf5c (__TEXT,__text) external _PPParserInit
00007ffb0b8a70b8 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffb0b89c114 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffb0b89acc0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffb0b89ace4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffb0b89ae50 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffb0b89af33 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffb0b89addf (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffb0b89adab (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffb0b89aeae (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffb0b8a705d (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffb0b8a4c0d (__TEXT,__text) external _PPParserParse
00007ffb0b89dbb0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffb0b8a2298 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffb0b8a37f3 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffb0b8a458c (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffb0b89d4d3 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffb0b8a05dc (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffb0b8a1261 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffb0b89d357 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffb0b8a2463 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffb0b89d5e4 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffb0b8a2810 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffb0b8a1c0e (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffb0b8a6e88 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffb0b89d8b5 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffb0b8a20da (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffb0b8a4260 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffb0b8a38f5 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffb0b8a61c6 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffb0b89cd45 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffb0b8a13fe (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffb0b8a1a84 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffb0b89e586 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffb0b8a03f8 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffb0b89d724 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffb0b8a1df8 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffb0b8a2c19 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffb0b8a62dd (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffb0b8a3185 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffb0b8a2fca (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffb0b89e30c (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffb0b8a347c (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffb0b8a609e (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffb0b89b2f9 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffb0b89c7b7 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffb0b89ca1e (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffb0b89bda0 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffb0b89b181 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffb0b89bd02 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffb0b89be6e (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffb0b89bea7 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffb0b89bdeb (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffb0b8a6f7d (__TEXT,__text) external _PPParserSetLimits
00007ffb0b8a6f63 (__TEXT,__text) external _PPParserSetPrefs
00007ffb0b89bf62 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffb0b89dd72 (__TEXT,__text) non-external _PPParserValidateName
00007ffb0b9cd921 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffb0b9cda2d (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffb0b9cdf1c (__TEXT,__text) external _PPStreamAddConstant
00007ffb0b9cde48 (__TEXT,__text) external _PPStreamAddLabel
00007ffb0b9cdb3b (__TEXT,__text) external _PPStreamAddOperation
00007ffb0b9cdff3 (__TEXT,__text) external _PPStreamAddOption
00007ffb0b9cda87 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffb0b9cd979 (__TEXT,__text) external _PPStreamAddParamBinding
00007ffb0b9cd9d3 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffb0b9cdf99 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffb0b9cd6f5 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffb0b9cd74f (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffb0b9cd86d (__TEXT,__text) external _PPStreamAddTempUsage
00007ffb0b9cd8c7 (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffb0b9cdae1 (__TEXT,__text) external _PPStreamAddTexImage
00007ffb0b9ceb17 (__TEXT,__text) external _PPStreamAttachStream
00007ffb0b9cce39 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffb0b9cf260 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffb0b9ccf20 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffb0b9cd84a (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffb0b9cce5b (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffb0b9cd130 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffb0b9cd40e (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffb0b9cd4a0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffb0b9ccfe4 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffb0b9cd008 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffb0b9cd165 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffb0b9cd500 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffb0b9cd315 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffb0b9cd1fb (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffb0b9cd1a1 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffb0b9cd245 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffb0b9cd283 (__TEXT,__text) external _PPStreamChunkListSort
00007ffb0b9cf10f (__TEXT,__text) external _PPStreamCompare
00007ffb0b9cd604 (__TEXT,__text) external _PPStreamCreate
00007ffb0b9cd7a9 (__TEXT,__text) external _PPStreamFree
00007ffb0b9ce048 (__TEXT,__text) external _PPStreamGetStream
00007ffb0b9ceaf5 (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffb0b9cdd41 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffb0b9cdc1e (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffb0b9cce4a (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffb0b9cf327 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffb0b9cce28 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffb0b9cdedc (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffb0b9cfa22 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffb0b9cf904 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffb0b8a86ee (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffb0b8a93f8 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffb0b9ce9b4 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffb0b9ce3a7 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffb0b8a958e (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffb0b8a950f (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffb0b9cead1 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffb0b8a99b7 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffb0b8a9d75 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffb0b8a9bcf (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffb0b8a9cc3 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffb0b9ceaeb (__TEXT,__text) external _PPStreamTokenFree
00007ffb0b8a86c2 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffb0b8a8670 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffb0ba00360 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffb0ba00420 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffb0ba004f0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffb4183aff0 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffb0b8a9e14 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffb4183b4a0 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffb0ba036f0 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffb0ba03700 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffb0ba03740 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffb0ba03710 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffb0b9d80cc (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffb0b9d802b (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffb0b98be68 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffb0b98b844 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffb0b9e1670 (__TEXT,__text) non-external _RecordFunctionCall
00007ffb0b98b70f (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffb0b9d6b83 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffb0b9d6b13 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffb0b9d5491 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffb0b9d542c (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffb0b9d779a (__TEXT,__text) non-external (was a private external) _Registerify
00007ffb0b9d6881 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffb0b9d7931 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffb0b9d774c (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffb0b9d51bd (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffb0b9d54e7 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffb0b9d555f (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffb0b9dd6c3 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffb0b8a7026 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffb0b98b82a (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffb0b98a820 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffb0b98a9c9 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffb0b989744 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffb0b98ab6b (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffb0b96f72f (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffb0b97d0cc (__TEXT,__text) external _ShAttributeBindingRequest
00007ffb0b97d037 (__TEXT,__text) external _ShCleanup
00007ffb0b97ca7a (__TEXT,__text) external _ShCompile
00007ffb0b97c6af (__TEXT,__text) external _ShConstructCompiler
00007ffb0b97c739 (__TEXT,__text) external _ShConstructLinker
00007ffb0b97c7ff (__TEXT,__text) external _ShDestruct
00007ffb0b97ca6f (__TEXT,__text) external _ShFinalize
00007ffb0b97e0c5 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffb0b97d8d5 (__TEXT,__text) external _ShGetActiveAttrib
00007ffb0b97d5ac (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffb0b97d597 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffb0b97d569 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffb0b97f26b (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffb0b97f82b (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffb0b97f76a (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffb0b97f611 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffb0b97f078 (__TEXT,__text) external _ShGetActiveUniform
00007ffb0b97e863 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffb0b97e5ce (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffb0b97eaf0 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffb0b97ed20 (__TEXT,__text) external _ShGetActiveUniformName
00007ffb0b97da37 (__TEXT,__text) external _ShGetAttribLocation
00007ffb0b97d7c0 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
