00007ff815041bf5 (__TEXT,__const) non-external _KW_ANY
00007ff815033acd (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff815033a81 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff8150339c5 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff815033930 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff81502c560 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff815040aff (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff81502dfc9 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff815040bd1 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff81502e062 (__TEXT,__text) non-external _accountingReportStats
00007ff815030a10 (__TEXT,__text) non-external _addBinding
00007ff8150428b0 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff8150428e0 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff815030ef6 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff841811ae8 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff8418127d8 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff81503c790 (__TEXT,__text) non-external _ascii_toUtf8
00007ff81503276d (__TEXT,__text) non-external _attlist0
00007ff815032e69 (__TEXT,__text) non-external _attlist1
00007ff815032ed9 (__TEXT,__text) non-external _attlist2
00007ff815041b88 (__TEXT,__const) non-external _attlist2.types.rel
00007ff81503310a (__TEXT,__text) non-external _attlist3
00007ff815033238 (__TEXT,__text) non-external _attlist4
00007ff8150330c4 (__TEXT,__text) non-external _attlist5
00007ff81503319e (__TEXT,__text) non-external _attlist6
00007ff8150331e4 (__TEXT,__text) non-external _attlist7
00007ff815032fd1 (__TEXT,__text) non-external _attlist8
00007ff815033158 (__TEXT,__text) non-external _attlist9
00007ff81503e11c (__TEXT,__text) non-external _big2_attributeValueTok
00007ff81503dcec (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff81503e868 (__TEXT,__text) non-external _big2_charRefNumber
00007ff81503fb2c (__TEXT,__text) non-external _big2_checkPiTarget
00007ff81503d010 (__TEXT,__text) non-external _big2_contentTok
00007ff841811e88 (__DATA_CONST,__const) non-external _big2_encoding
00007ff841812b78 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff81503e254 (__TEXT,__text) non-external _big2_entityValueTok
00007ff81503e495 (__TEXT,__text) non-external _big2_getAtts
00007ff81503df74 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff81503eafc (__TEXT,__text) non-external _big2_isPublicId
00007ff81503e3cd (__TEXT,__text) non-external _big2_nameLength
00007ff81503e388 (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff81503e933 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff81503c7c5 (__TEXT,__text) non-external _big2_prologTok
00007ff81503ff20 (__TEXT,__text) non-external _big2_scanAtts
00007ff815042343 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff81503f9c4 (__TEXT,__text) non-external _big2_scanComment
00007ff81503ef00 (__TEXT,__text) non-external _big2_scanDecl
00007ff81503edc1 (__TEXT,__text) non-external _big2_scanLit
00007ff81503f4cc (__TEXT,__text) non-external _big2_scanPercent
00007ff81503f044 (__TEXT,__text) non-external _big2_scanPi
00007ff81503f74c (__TEXT,__text) non-external _big2_scanPoundName
00007ff81503fba6 (__TEXT,__text) non-external _big2_scanRef
00007ff81503e459 (__TEXT,__text) non-external _big2_skipS
00007ff81503ed53 (__TEXT,__text) non-external _big2_toUtf16
00007ff81503eb8b (__TEXT,__text) non-external _big2_toUtf8
00007ff81503ea1e (__TEXT,__text) non-external _big2_updatePosition
00007ff81502988d (__TEXT,__text) non-external _callProcessor
00007ff815030830 (__TEXT,__text) non-external _cdataSectionProcessor
00007ff815033dab (__TEXT,__text) non-external _checkCharRefNumber
00007ff815032bdf (__TEXT,__text) non-external _condSect0
00007ff815032c82 (__TEXT,__text) non-external _condSect1
00007ff815032cc2 (__TEXT,__text) non-external _condSect2
00007ff81502ceac (__TEXT,__text) non-external _contentProcessor
00007ff815031f53 (__TEXT,__text) non-external _copyEntityTable
00007ff81502819d (__TEXT,__text) non-external _copyString
00007ff815032ae2 (__TEXT,__text) non-external _declClose
00007ff81502d256 (__TEXT,__text) non-external _defineAttribute
00007ff815028eec (__TEXT,__text) non-external _destroyBindings
00007ff815030550 (__TEXT,__text) non-external _doCdataSection
00007ff81502e370 (__TEXT,__text) non-external _doContent
00007ff81502d741 (__TEXT,__text) non-external _doIgnoreSection
00007ff81503419d (__TEXT,__text) non-external _doParseXmlDecl
00007ff81502a4aa (__TEXT,__text) non-external _doProlog
00007ff81504161a (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff815041637 (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff815041630 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff815041620 (__TEXT,__const) non-external _doProlog.atypeID
00007ff815041623 (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff815041629 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff815041640 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff815041648 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff815040ab9 (__TEXT,__text) non-external _doProlog.cold.1
00007ff815040adc (__TEXT,__text) non-external _doProlog.cold.2
00007ff815041651 (__TEXT,__const) non-external _doProlog.enumValueSep
00007ff815041653 (__TEXT,__const) non-external _doProlog.enumValueStart
00007ff8150427b0 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff815032354 (__TEXT,__text) non-external _doctype0
00007ff8150323a7 (__TEXT,__text) non-external _doctype1
00007ff8150326ce (__TEXT,__text) non-external _doctype2
00007ff815032688 (__TEXT,__text) non-external _doctype3
00007ff8150338d4 (__TEXT,__text) non-external _doctype4
00007ff815032844 (__TEXT,__text) non-external _doctype5
00007ff8150327b8 (__TEXT,__text) non-external _element0
00007ff81503328c (__TEXT,__text) non-external _element1
00007ff81503335a (__TEXT,__text) non-external _element2
00007ff81503345c (__TEXT,__text) non-external _element3
00007ff81503367c (__TEXT,__text) non-external _element4
00007ff8150336c7 (__TEXT,__text) non-external _element5
00007ff8150334db (__TEXT,__text) non-external _element6
00007ff8150335ac (__TEXT,__text) non-external _element7
00007ff841811ab0 (__DATA_CONST,__const) non-external _encodings
00007ff8418125d0 (__DATA_CONST,__const) non-external _encodingsNS
00007ff815032714 (__TEXT,__text) non-external _entity0
00007ff81503288a (__TEXT,__text) non-external _entity1
00007ff815032b2f (__TEXT,__text) non-external _entity10
00007ff8150328d0 (__TEXT,__text) non-external _entity2
00007ff815032d4b (__TEXT,__text) non-external _entity3
00007ff815032d05 (__TEXT,__text) non-external _entity4
00007ff815032d91 (__TEXT,__text) non-external _entity5
00007ff815032e1b (__TEXT,__text) non-external _entity6
00007ff815032993 (__TEXT,__text) non-external _entity7
00007ff815032a9c (__TEXT,__text) non-external _entity8
00007ff815032a56 (__TEXT,__text) non-external _entity9
00007ff81502dd5d (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff8150318bb (__TEXT,__text) non-external _entityTrackingReportStats
00007ff815040c17 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff815031b90 (__TEXT,__text) non-external _entityValueInitProcessor
00007ff815031e1a (__TEXT,__text) non-external _entityValueProcessor
00007ff81503033f (__TEXT,__text) non-external _epilogProcessor
00007ff81503239f (__TEXT,__text) non-external _error
00007ff81502998b (__TEXT,__text) non-external _errorProcessor
00007ff815027e37 (__TEXT,__text) non-external _expat_free
00007ff8150409a1 (__TEXT,__text) non-external _expat_free.cold.1
00007ff8150409c4 (__TEXT,__text) non-external _expat_free.cold.2
00007ff815029f63 (__TEXT,__text) non-external _expat_heap_increase_tolerable
00007ff815040a50 (__TEXT,__text) non-external _expat_heap_increase_tolerable.cold.1
00007ff815040a73 (__TEXT,__text) non-external _expat_heap_increase_tolerable.cold.2
00007ff815040a96 (__TEXT,__text) non-external _expat_heap_increase_tolerable.cold.3
00007ff81502a12c (__TEXT,__text) non-external _expat_malloc
00007ff81502d93c (__TEXT,__text) non-external _expat_realloc
00007ff815040b45 (__TEXT,__text) non-external _expat_realloc.cold.1
00007ff815040b68 (__TEXT,__text) non-external _expat_realloc.cold.2
00007ff815040b8b (__TEXT,__text) non-external _expat_realloc.cold.3
00007ff815040bae (__TEXT,__text) non-external _expat_realloc.cold.4
00007ff815030e94 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff815028e08 (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff8150319b1 (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff815031a99 (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff815028e59 (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff815031d1a (__TEXT,__text) non-external _externalParEntProcessor
00007ff815032274 (__TEXT,__text) non-external _externalSubset0
00007ff815032b84 (__TEXT,__text) non-external _externalSubset1
00007ff815034470 (__TEXT,__text) non-external _findEncoding
00007ff81503466a (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff8150302e7 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff815040cb0 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
00007ff81502cf98 (__TEXT,__text) non-external _getAttributeId
00007ff81502f2ae (__TEXT,__text) non-external _getContext
00007ff81502a0bb (__TEXT,__text) non-external _getDebugLevel
00007ff81502cf0d (__TEXT,__text) non-external _getElementType
00007ff8150340ba (__TEXT,__text) non-external _getEncodingIndex
00007ff841811a80 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff81502a388 (__TEXT,__text) non-external _handleUnknownEncoding
00007ff81502e0c6 (__TEXT,__text) non-external _hash
00007ff815031ec2 (__TEXT,__text) non-external _hashTableClear
00007ff815031f0c (__TEXT,__text) non-external _hashTableDestroy
00007ff81502d8c0 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff815041660 (__TEXT,__const) non-external _implicitContext
00007ff81503c5ae (__TEXT,__text) non-external _initScan
00007ff815034129 (__TEXT,__text) non-external _initScanContent
00007ff815034607 (__TEXT,__text) non-external _initScanContentNS
00007ff81503410a (__TEXT,__text) non-external _initScanProlog
00007ff8150345e8 (__TEXT,__text) non-external _initScanPrologNS
00007ff81503414b (__TEXT,__text) non-external _initUpdatePosition
00007ff81502a2bc (__TEXT,__text) non-external _initializeEncoding
00007ff815031708 (__TEXT,__text) non-external _internalEntityProcessor
00007ff815040bf4 (__TEXT,__text) non-external _internalEntityProcessor.cold.1
00007ff815032480 (__TEXT,__text) non-external _internalSubset
00007ff8418118b0 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff8418123f8 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff8418116e0 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff841812228 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff8150385ac (__TEXT,__text) non-external _isNever
00007ff841811510 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff841812608 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff815036a99 (__TEXT,__text) non-external _latin1_toUtf16
00007ff815036a16 (__TEXT,__text) non-external _latin1_toUtf8
00007ff81503a03c (__TEXT,__text) non-external _little2_attributeValueTok
00007ff815039c14 (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff81503a788 (__TEXT,__text) non-external _little2_charRefNumber
00007ff81503ba44 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff815038f50 (__TEXT,__text) non-external _little2_contentTok
00007ff841812058 (__DATA_CONST,__const) non-external _little2_encoding
00007ff841812d48 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff81503a174 (__TEXT,__text) non-external _little2_entityValueTok
00007ff81503a3b4 (__TEXT,__text) non-external _little2_getAtts
00007ff815039e98 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff81503aa1c (__TEXT,__text) non-external _little2_isPublicId
00007ff81503a2ed (__TEXT,__text) non-external _little2_nameLength
00007ff81503a2a8 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff81503a853 (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff815038712 (__TEXT,__text) non-external _little2_prologTok
00007ff81503be38 (__TEXT,__text) non-external _little2_scanAtts
00007ff81503b8dc (__TEXT,__text) non-external _little2_scanComment
00007ff81503ae14 (__TEXT,__text) non-external _little2_scanDecl
00007ff81503acda (__TEXT,__text) non-external _little2_scanLit
00007ff81503b3e0 (__TEXT,__text) non-external _little2_scanPercent
00007ff81503af58 (__TEXT,__text) non-external _little2_scanPi
00007ff81503b668 (__TEXT,__text) non-external _little2_scanPoundName
00007ff81503babe (__TEXT,__text) non-external _little2_scanRef
00007ff81503a378 (__TEXT,__text) non-external _little2_skipS
00007ff81503ac6b (__TEXT,__text) non-external _little2_toUtf16
00007ff81503aaa3 (__TEXT,__text) non-external _little2_toUtf8
00007ff81503a93e (__TEXT,__text) non-external _little2_updatePosition
00007ff81502cb25 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff815042210 (__TEXT,__const) non-external _namePages
00007ff815041c10 (__TEXT,__const) non-external _namingBitmap
00007ff81502db22 (__TEXT,__text) non-external _nextScaffoldPart
00007ff815042110 (__TEXT,__const) non-external _nmstrtPages
00007ff8150360fc (__TEXT,__text) non-external _normal_attributeValueTok
00007ff815035cac (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff8150366dc (__TEXT,__text) non-external _normal_charRefNumber
00007ff81503786c (__TEXT,__text) non-external _normal_checkPiTarget
00007ff81503507c (__TEXT,__text) non-external _normal_contentTok
00007ff815036238 (__TEXT,__text) non-external _normal_entityValueTok
00007ff8150363ed (__TEXT,__text) non-external _normal_getAtts
00007ff815035f54 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff815036998 (__TEXT,__text) non-external _normal_isPublicId
00007ff815036388 (__TEXT,__text) non-external _normal_nameLength
00007ff81503634c (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff815036844 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff815034786 (__TEXT,__text) non-external _normal_prologTok
00007ff815037be6 (__TEXT,__text) non-external _normal_scanAtts
00007ff8150376f4 (__TEXT,__text) non-external _normal_scanComment
00007ff815036c44 (__TEXT,__text) non-external _normal_scanDecl
00007ff815036adb (__TEXT,__text) non-external _normal_scanLit
00007ff815037180 (__TEXT,__text) non-external _normal_scanPercent
00007ff815036d68 (__TEXT,__text) non-external _normal_scanPi
00007ff815037428 (__TEXT,__text) non-external _normal_scanPoundName
00007ff8150378d2 (__TEXT,__text) non-external _normal_scanRef
00007ff8150363c5 (__TEXT,__text) non-external _normal_skipS
00007ff8150368d6 (__TEXT,__text) non-external _normal_updatePosition
00007ff81503196d (__TEXT,__text) non-external _normalizeLines
00007ff81502ce4b (__TEXT,__text) non-external _normalizePublicId
00007ff815032803 (__TEXT,__text) non-external _notation0
00007ff815033724 (__TEXT,__text) non-external _notation1
00007ff81503381b (__TEXT,__text) non-external _notation2
00007ff8150337cd (__TEXT,__text) non-external _notation3
00007ff815033861 (__TEXT,__text) non-external _notation4
00007ff8150405f0 (__TEXT,__text) non-external _parsePseudoAttribute
00007ff81502756f (__TEXT,__text) non-external _parserCreate
00007ff81504097e (__TEXT,__text) non-external _parserCreate.cold.1
00007ff815027f4f (__TEXT,__text) non-external _parserInit
00007ff81502d1e4 (__TEXT,__text) non-external _poolAppend
00007ff815029054 (__TEXT,__text) non-external _poolCopyString
00007ff815028f39 (__TEXT,__text) non-external _poolDestroy
00007ff81502d384 (__TEXT,__text) non-external _poolGrow
00007ff81502cade (__TEXT,__text) non-external _poolStoreString
00007ff81502dc66 (__TEXT,__text) non-external _processEntity
00007ff81502c773 (__TEXT,__text) non-external _processXmlDecl
00007ff81503219d (__TEXT,__text) non-external _prolog0
00007ff815032294 (__TEXT,__text) non-external _prolog1
00007ff8150325fc (__TEXT,__text) non-external _prolog2
00007ff81502a26b (__TEXT,__text) non-external _prologInitProcessor
00007ff81502a317 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff81502defe (__TEXT,__text) non-external _reportComment
00007ff815029d1a (__TEXT,__text) non-external _reportDefault
00007ff81502ddb2 (__TEXT,__text) non-external _reportProcessingInstruction
00007ff81502886e (__TEXT,__text) non-external _setContext
00007ff8150308e6 (__TEXT,__text) non-external _setElementTypePrefix
00007ff81502e238 (__TEXT,__text) non-external _sip24_final
00007ff81502e193 (__TEXT,__text) non-external _sip24_update
00007ff81502e318 (__TEXT,__text) non-external _sip_round
00007ff815029470 (__TEXT,__text) non-external _startParsing
00007ff81502d57d (__TEXT,__text) non-external _storeAttributeValue
00007ff815040b22 (__TEXT,__text) non-external _storeAttributeValue.cold.1
00007ff81502f64a (__TEXT,__text) non-external _storeAtts
00007ff8150312e0 (__TEXT,__text) non-external _storeEntityValue
00007ff81502f1c8 (__TEXT,__text) non-external _storeRawNames
00007ff81503c54c (__TEXT,__text) non-external _streqci
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strtoul (from libSystem)
00007ff815029f1b (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff815029f31 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff815033e99 (__TEXT,__text) non-external _unknown_isInvalid
00007ff815033df7 (__TEXT,__text) non-external _unknown_isName
00007ff815033e48 (__TEXT,__text) non-external _unknown_isNmstrt
00007ff815033fa9 (__TEXT,__text) non-external _unknown_toUtf16
00007ff815033ec6 (__TEXT,__text) non-external _unknown_toUtf8
00007ff815029f47 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff841811cb8 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff8418129a8 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff815038646 (__TEXT,__text) non-external _utf8_isInvalid2
00007ff815038665 (__TEXT,__text) non-external _utf8_isInvalid3
00007ff8150386ca (__TEXT,__text) non-external _utf8_isInvalid4
00007ff81503851a (__TEXT,__text) non-external _utf8_isName2
00007ff81503855d (__TEXT,__text) non-external _utf8_isName3
00007ff8150385b4 (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff8150385f7 (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff8150383a9 (__TEXT,__text) non-external _utf8_toUtf16
00007ff815038310 (__TEXT,__text) non-external _utf8_toUtf8
