00007ff90e132d86 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90e11b57a (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00007ff90e124c83 (__TEXT,__text) non-external +[SPLog downloads]
00007ff90e13527e (__TEXT,__text) non-external +[SPLog downloads].cold.1
00007ff90e124aff (__TEXT,__text) non-external +[SPLog exec]
00007ff90e13521e (__TEXT,__text) non-external +[SPLog exec].cold.1
00007ff90e124e30 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00007ff90e124a3d (__TEXT,__text) non-external +[SPLog generic]
00007ff90e1351ee (__TEXT,__text) non-external +[SPLog generic].cold.1
00007ff90e124a9e (__TEXT,__text) non-external +[SPLog kext]
00007ff90e135206 (__TEXT,__text) non-external +[SPLog kext].cold.1
00007ff90e124b60 (__TEXT,__text) non-external +[SPLog measurements]
00007ff90e135236 (__TEXT,__text) non-external +[SPLog measurements].cold.1
00007ff90e124c22 (__TEXT,__text) non-external +[SPLog sampling]
00007ff90e135266 (__TEXT,__text) non-external +[SPLog sampling].cold.1
00007ff90e124e24 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00007ff90e124bc1 (__TEXT,__text) non-external +[SPLog signposts]
00007ff90e13524e (__TEXT,__text) non-external +[SPLog signposts].cold.1
00007ff90e124ce4 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00007ff90e135296 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled].cold.1
00007ff90e12e7a8 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00007ff90e12dfd0 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00007ff90e12d137 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00007ff90e135fb1 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00007ff90e12cf73 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00007ff90e12cf55 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00007ff90e12d5bb (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00007ff90e12d0f4 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00007ff90e12cf91 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00007ff90e13150e (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00007ff90e11ac88 (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00007ff90e11cd2b (__TEXT,__text) non-external +[SPScriptScanEvaluation supportsSecureCoding]
00007ff90e11c77a (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00007ff90e11c6a0 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00007ff90e11c560 (__TEXT,__text) non-external -[AKELData initWithURL:]
00007ff90e11c3a5 (__TEXT,__text) non-external -[AKELData init]
00007ff90e11c741 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00007ff90e11c667 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00007ff90e11c14b (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00007ff90e11c651 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00007ff90e1331e7 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00007ff90e13315f (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00007ff90e13320d (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00007ff90e1331f9 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00007ff90e1331b1 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00007ff90e133203 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00007ff90e123074 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00007ff90e122770 (__TEXT,__text) non-external -[BundleData dealloc]
00007ff90e134dfd (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00007ff90e122c82 (__TEXT,__text) non-external -[BundleData doReload]
00007ff90e123030 (__TEXT,__text) non-external -[BundleData forceReload]
00007ff90e12280b (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00007ff90e122762 (__TEXT,__text) non-external -[BundleData init]
00007ff90e12304c (__TEXT,__text) non-external -[BundleData isSigned]
00007ff90e122cbe (__TEXT,__text) non-external -[BundleData loadInternalData:]
00007ff90e122fce (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00007ff90e122977 (__TEXT,__text) non-external -[BundleData setupFSStream]
00007ff90e134e5b (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00007ff90e134e8f (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00007ff90e12306a (__TEXT,__text) non-external -[BundleData timestamp]
00007ff90e123042 (__TEXT,__text) non-external -[BundleData url]
00007ff90e123060 (__TEXT,__text) non-external -[BundleData versionNumber]
00007ff90e123056 (__TEXT,__text) non-external -[BundleData version]
00007ff90e132b4b (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00007ff90e132b06 (__TEXT,__text) non-external -[GKScanResult allowed]
00007ff90e132a72 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00007ff90e132b19 (__TEXT,__text) non-external -[GKScanResult gkError]
00007ff90e1329c1 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00007ff90e132b10 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00007ff90e132b23 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00007ff90e131f90 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00007ff90e11dfe1 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00007ff90e11df69 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00007ff90e11df37 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00007ff90e11ded3 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00007ff90e11df05 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00007ff90e11dfaf (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00007ff90e11df73 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00007ff90e11df41 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00007ff90e11dedd (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00007ff90e11df0f (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00007ff90e11dfb9 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00007ff90e11dfa5 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00007ff90e11df9b (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00007ff90e1313e1 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00007ff90e130e13 (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00007ff90e13123c (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00007ff90e130026 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00007ff90e1300d9 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00007ff90e13049f (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00007ff90e130560 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00007ff90e1303b3 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00007ff90e13126e (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00007ff90e1307e7 (__TEXT,__text) non-external -[PolicyScanTarget createdTime]
00007ff90e13109a (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00007ff90e1362e9 (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00007ff90e12f64c (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00007ff90e130ae2 (__TEXT,__text) non-external -[PolicyScanTarget description]
00007ff90e130321 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00007ff90e131250 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00007ff90e130d8c (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00007ff90e130d2c (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00007ff90e1301df (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00007ff90e12f6b5 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00007ff90e13603f (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00007ff90e1360c8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00007ff90e136143 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00007ff90e136176 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00007ff90e1361a9 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00007ff90e136224 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00007ff90e12f63e (__TEXT,__text) non-external -[PolicyScanTarget init]
00007ff90e131281 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00007ff90e13112a (__TEXT,__text) non-external -[PolicyScanTarget isBackingDMGNotarized]
00007ff90e13128e (__TEXT,__text) non-external -[PolicyScanTarget isBadAppWrapper]
00007ff90e1312e6 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00007ff90e131352 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00007ff90e1308f6 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00007ff90e1312c0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00007ff90e1307a2 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00007ff90e1312cd (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00007ff90e13086d (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00007ff90e12ff7f (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00007ff90e131264 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00007ff90e131348 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00007ff90e131246 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00007ff90e13121e (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00007ff90e131232 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00007ff90e131324 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00007ff90e1308b2 (__TEXT,__text) non-external -[PolicyScanTarget quarantineFlags]
00007ff90e1309ca (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00007ff90e130b72 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00007ff90e131317 (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00007ff90e131278 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00007ff90e13133c (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00007ff90e13130b (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00007ff90e1312ff (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00007ff90e13129b (__TEXT,__text) non-external -[PolicyScanTarget setIsBadAppWrapper:]
00007ff90e1312f3 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00007ff90e13135f (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00007ff90e1312da (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00007ff90e131330 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00007ff90e131378 (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00007ff90e1312b4 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00007ff90e1313b3 (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00007ff90e1306e1 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00007ff90e1302e4 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00007ff90e13020c (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00007ff90e130620 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00007ff90e130bae (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00007ff90e13136b (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00007ff90e1312a7 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00007ff90e131214 (__TEXT,__text) non-external -[PolicyScanTarget url]
00007ff90e1313a6 (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00007ff90e13125a (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00007ff90e131228 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00007ff90e11a868 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00007ff90e11a2e1 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00007ff90e11a836 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00007ff90e11a804 (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00007ff90e11a552 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00007ff90e11a473 (__TEXT,__text) non-external -[ProvenanceEntry description]
00007ff90e11a70a (__TEXT,__text) non-external -[ProvenanceEntry flags]
00007ff90e11a36a (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00007ff90e11a73c (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00007ff90e11a840 (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00007ff90e11a80e (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00007ff90e11a714 (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00007ff90e11a746 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00007ff90e11a7dc (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00007ff90e11a7aa (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00007ff90e11a6e2 (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00007ff90e11a778 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00007ff90e11a7d2 (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00007ff90e11a7a0 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00007ff90e11a6d8 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00007ff90e11a76e (__TEXT,__text) non-external -[ProvenanceEntry url]
00007ff90e133137 (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00007ff90e133022 (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00007ff90e132f51 (__TEXT,__text) non-external -[SPBundleProtection init]
00007ff90e133064 (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00007ff90e11e1d6 (__TEXT,__text) non-external -[SPCodeEvaluationProxy .cxx_destruct]
00007ff90e11e0fb (__TEXT,__text) non-external -[SPCodeEvaluationProxy dealloc]
00007ff90e11e02a (__TEXT,__text) non-external -[SPCodeEvaluationProxy init]
00007ff90e11e13d (__TEXT,__text) non-external -[SPCodeEvaluationProxy showXProtectBlockedPrompt:forUser:error:]
00007ff90e1339f0 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00007ff90e133980 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00007ff90e133856 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00007ff90e133785 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00007ff90e133898 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00007ff90e133956 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00007ff90e1339dd (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00007ff90e1339d2 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00007ff90e1338c4 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00007ff90e1339e5 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00007ff90e1255e9 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00007ff90e1255c1 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00007ff90e1255d5 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00007ff90e1253b1 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00007ff90e125599 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00007ff90e1251a7 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00007ff90e124e80 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90e124e72 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00007ff90e1255df (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00007ff90e1255a3 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00007ff90e1255cb (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00007ff90e1255ad (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00007ff90e1255b7 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00007ff90e1291ad (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00007ff90e127e47 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00007ff90e127d60 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperOverrideForPersistentIdentifier:error:]
00007ff90e127c79 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00007ff90e1288e3 (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00007ff90e127c14 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00007ff90e127957 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00007ff90e1276dd (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00007ff90e127867 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00007ff90e128022 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00007ff90e1284b6 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00007ff90e12879d (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00007ff90e1282b2 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00007ff90e127638 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00007ff90e128109 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00007ff90e1285a1 (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00007ff90e128828 (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00007ff90e127c07 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00007ff90e1285fb (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00007ff90e127727 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00007ff90e12771f (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00007ff90e127f2e (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00007ff90e12899e (__TEXT,__text) non-external -[SPExecutionPolicy setDownloadURL:andDataURL:forURL:]
00007ff90e128587 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00007ff90e12836d (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00007ff90e1286e2 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00007ff90e12773d (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00007ff90e1281f0 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00007ff90e1246ca (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00007ff90e123cd6 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00007ff90e134eec (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00007ff90e134f73 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00007ff90e134ffa (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00007ff90e135093 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00007ff90e13512c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00007ff90e135186 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00007ff90e1351ba (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00007ff90e124a17 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00007ff90e1247be (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withShouldOverridePolicy:withPolicy:withProgressHandler:error:]
00007ff90e12762a (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject .cxx_destruct]
00007ff90e1275be (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject doGatekeeperProgressUpdate:withTotal:]
00007ff90e12755a (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject initWithParent:]
00007ff90e127603 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject parent]
00007ff90e127619 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject setParent:]
00007ff90e123c8d (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00007ff90e123c83 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
