00000001d84d4d38 (__TEXT,__text) external _AMFDRDecodeCertificate
00000001d84d4590 (__TEXT,__text) external _AMFDRDecodeIterateTrustObjectSslRootNext
00000001d84d407c (__TEXT,__text) external _AMFDRDecodeIterateTrustObjectTrustedBegin
00000001d84d41d8 (__TEXT,__text) external _AMFDRDecodeIterateTrustObjectTrustedKeyBegin
00000001d84d42d0 (__TEXT,__text) external _AMFDRDecodeIterateTrustObjectTrustedKeyNext
00000001d84d4164 (__TEXT,__text) external _AMFDRDecodeIterateTrustObjectTrustedNext
00000001d84ce244 (__TEXT,__text) non-external _AMFDRDecodeLogInternal
00000001d84cc724 (__TEXT,__text) external _AMFDRDecodeLogSetHandler
00000001d84d15b8 (__TEXT,__text) external _AMFDRDecodeManifestBody
00000001d84d759c (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.1
00000001d84d75d4 (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.2
00000001d84d760c (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.3
00000001d84d7644 (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.4
00000001d84d767c (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.5
00000001d84d76b4 (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.6
00000001d84d1910 (__TEXT,__text) external _AMFDRDecodeManifestBodyDestroy
00000001d84d16e8 (__TEXT,__text) external _AMFDRDecodeManifestBodyNext
00000001d84d76ec (__TEXT,__text) non-external _AMFDRDecodeManifestBodyNext.cold.1
00000001d84d7724 (__TEXT,__text) non-external _AMFDRDecodeManifestBodyNext.cold.2
00000001d84d61bc (__TEXT,__text) external _AMFDRDecodeMetaProperty
00000001d84d5e5c (__TEXT,__text) external _AMFDRDecodeMetadata
00000001d84d5a04 (__TEXT,__text) external _AMFDRDecodeMultiResponse
00000001d84d55dc (__TEXT,__text) external _AMFDRDecodeMultiSealingResponse
00000001d84d11bc (__TEXT,__text) external _AMFDRDecodeOfflineBlob
00000001d84d5540 (__TEXT,__text) external _AMFDRDecodeParseDERLengthFromBuffer
00000001d84d4b4c (__TEXT,__text) external _AMFDRDecodePublicKey
00000001d84cea0c (__TEXT,__text) external _AMFDRDecodeSealingRequest
00000001d84d132c (__TEXT,__text) external _AMFDRDecodeTrustEvaluation
00000001d84ce13c (__TEXT,__text) external _AMFDRDecodeTrustObject
00000001d84d0a6c (__TEXT,__text) external _AMFDRDecodeVerifyCertIssuer
00000001d84d0bb4 (__TEXT,__text) external _AMFDRDecodeVerifyCertIssuerNoRevocation
00000001d84d0a78 (__TEXT,__text) non-external _AMFDRDecodeVerifyCertIssuerWithOptions
00000001d84d7564 (__TEXT,__text) non-external _AMFDRDecodeVerifyCertIssuerWithOptions.cold.1
00000001d84d0298 (__TEXT,__text) external _AMFDRDecodeVerifyMultiCombinedDataIntegrity
00000001d84d7528 (__TEXT,__text) non-external _AMFDRDecodeVerifyMultiCombinedDataIntegrity.cold.1
00000001d84ce314 (__TEXT,__text) external _AMFDRDecodeVerifySealingManifest
00000001d84d6ed0 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.1
00000001d84d70c8 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.10
00000001d84d70c8 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.11
00000001d84d7100 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.12
00000001d84d7138 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.13
00000001d84d7170 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.14
00000001d84d71a8 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.15
00000001d84d70c8 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.16
00000001d84d6f08 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.2
00000001d84d6f40 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.3
00000001d84d6f78 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.4
00000001d84d6fb0 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.5
00000001d84d6fe8 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.6
00000001d84d7020 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.7
00000001d84d7058 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.8
00000001d84d7090 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.9
00000001d84ce7cc (__TEXT,__text) external _AMFDRDecodeVerifySealingRequest
00000001d84cee14 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest
00000001d84d71e0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.1
00000001d84d73d8 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.10
00000001d84d73d8 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.11
00000001d84d7410 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.12
00000001d84d7448 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.13
00000001d84d7480 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.14
00000001d84d74b8 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.15
00000001d84d73d8 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.16
00000001d84d7218 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.2
00000001d84d7250 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.3
00000001d84d7288 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.4
00000001d84d72c0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.5
00000001d84d72f8 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.6
00000001d84d7330 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.7
00000001d84d7368 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.8
00000001d84d73a0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.9
00000001d84cc718 (__TEXT,__text) non-external (was a private external) _AMFDRTagsStringToTag
                 (undefined) external _AMSupportDigestSha1 (from libamsupport)
                 (undefined) external _AMSupportDigestSha256 (from libamsupport)
                 (undefined) external _AMSupportDigestSha384 (from libamsupport)
                 (undefined) external _AMSupportEcDsaVerifySignature (from libamsupport)
                 (undefined) external _AMSupportLogFormat (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha1 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha256 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha384 (from libamsupport)
00000001d84d8490 (__TEXT,__const) non-external (was a private external) _DERAlgorithmIdItemSpecs
00000001d84d8408 (__TEXT,__const) non-external (was a private external) _DERAttributeTypeAndValueItemSpecs
00000001d84d3620 (__TEXT,__text) non-external (was a private external) _DERDecodeItem
00000001d84d3628 (__TEXT,__text) non-external (was a private external) _DERDecodeItemPartialBufferGetLength
00000001d84d3ad8 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqContentInit
00000001d84d3a1c (__TEXT,__text) non-external (was a private external) _DERDecodeSeqInit
00000001d84d3b04 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqNext
00000001d84d8440 (__TEXT,__const) non-external (was a private external) _DERExtensionItemSpecs
00000001d84d7e00 (__TEXT,__const) non-external (was a private external) _DERFDR2DataItemSpecs
00000001d84d7db8 (__TEXT,__const) non-external (was a private external) _DERFDRCombinedItemSpecs
00000001d84d8250 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertItemSpecs
00000001d84d81f0 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertPropertyItemSpecs
00000001d84d8220 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertSignedSectionItemSpecs
00000001d84d7e48 (__TEXT,__const) non-external (was a private external) _DERFDRItemSpecs
00000001d84d8070 (__TEXT,__const) non-external (was a private external) _DERFDRMetaPropertyItemSpecs
00000001d84d8010 (__TEXT,__const) non-external (was a private external) _DERFDRMetadataRecordItemSpecs
00000001d84d8190 (__TEXT,__const) non-external (was a private external) _DERFDRMultiCombinedItemSpecs
00000001d84d8040 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseErrorItemSpecs
00000001d84d7ef0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseItemSpecs
00000001d84d7f20 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponsePayloadItemSpecs
00000001d84d7fb0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseRecordItemSpecs
00000001d84d7f68 (__TEXT,__const) non-external (was a private external) _DERFDRMultiSealingResponsePayloadItemSpecs
00000001d84d7e78 (__TEXT,__const) non-external (was a private external) _DERFDRTrustObjectItemSpecs
                 (undefined) external _DERImg4DecodeContentFindItemWithTag (from libamsupport)
                 (undefined) external _DERImg4DecodeFindProperty (from libamsupport)
                 (undefined) external _DERImg4DecodeFindPropertyInSequence (from libamsupport)
                 (undefined) external _DERImg4DecodeManifest (from libamsupport)
                 (undefined) external _DERImg4DecodeProperty (from libamsupport)
                 (undefined) external _DERImg4DecodePropertyWithItem (from libamsupport)
00000001d84d84c0 (__TEXT,__const) non-external (was a private external) _DERNumAlgorithmIdItemSpecs
00000001d84d8438 (__TEXT,__const) non-external (was a private external) _DERNumAttributeTypeAndValueItemSpecs
00000001d84d8488 (__TEXT,__const) non-external (was a private external) _DERNumExtensionItemSpecs
00000001d84d8400 (__TEXT,__const) non-external (was a private external) _DERNumSignedCertCrlItemSpecs
00000001d84d84f8 (__TEXT,__const) non-external (was a private external) _DERNumSubjPubKeyInfoItemSpecs
00000001d84d3f4c (__TEXT,__text) non-external (was a private external) _DEROidCompare
00000001d84d3818 (__TEXT,__text) non-external (was a private external) _DERParseBitString
00000001d84d38d8 (__TEXT,__text) non-external (was a private external) _DERParseBooleanWithDefault
00000001d84d3918 (__TEXT,__text) non-external (was a private external) _DERParseInteger
00000001d84d399c (__TEXT,__text) non-external (was a private external) _DERParseInteger64
00000001d84d3c90 (__TEXT,__text) non-external (was a private external) _DERParseSequenceContentToObject
00000001d84d3bc4 (__TEXT,__text) non-external (was a private external) _DERParseSequenceToObject
00000001d84d83b8 (__TEXT,__const) non-external (was a private external) _DERSignedCertCrlItemSpecs
00000001d84d84c8 (__TEXT,__const) non-external (was a private external) _DERSubjPubKeyInfoItemSpecs
00000001d84d8118 (__TEXT,__const) non-external (was a private external) _DERSysconfigItemSpecs
00000001d84d80a0 (__TEXT,__const) non-external (was a private external) _DERSysconfigPayloadItemSpecs
00000001d84d82b0 (__TEXT,__const) non-external (was a private external) _FDRDERTBSCertItemSpecs
                 (undefined) external _Img4DecodeEvaluateDictionaryProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateManifestProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateObjectProperties (from libamsupport)
                 (undefined) external _Img4DecodeGetManifest (from libamsupport)
                 (undefined) external _Img4DecodeGetObjectPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeGetPayload (from libamsupport)
                 (undefined) external _Img4DecodeGetPayloadType (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyBoolean (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeInit (from libamsupport)
                 (undefined) external _Img4DecodeInitManifest (from libamsupport)
                 (undefined) external _Img4DecodePerformManifestTrustEvaluationWithCallbacks (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluatation (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluationWithCallbacks (from libamsupport)
00000001d84d3410 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d84d3444 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001d84d3524 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001d84d3530 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001d84d353c (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
00000001d84d3548 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
00000001d84d356c (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
00000001d84d3590 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
00000001d84d359c (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
00000001d84d35b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
00000001d84d35c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_18
00000001d84d35d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_19
00000001d84d347c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001d84d35dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_20
00000001d84d35e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_21
00000001d84d35f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_22
00000001d84d3600 (__TEXT,__text) non-external _OUTLINED_FUNCTION_23
00000001d84d348c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001d84d349c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001d84d34ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001d84d34d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001d84d34dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001d84d34f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001d84d3514 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000001d84cfb0c (__TEXT,__text) non-external __AMFDRDecodeCombined
00000001d84d3fa0 (__TEXT,__text) non-external __AMFDRDecodeComputeDigest
00000001d84cecf4 (__TEXT,__text) non-external __AMFDRDecodeDERFDRItem
00000001d84cd130 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties
00000001d84d6b7c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.1
00000001d84d6d74 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.10
00000001d84d6dac (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.11
00000001d84d6bb4 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.2
00000001d84d6bec (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.3
00000001d84d6c24 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.4
00000001d84d6c5c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.5
00000001d84d6c94 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.6
00000001d84d6ccc (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.7
00000001d84d6d04 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.8
00000001d84d6d3c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.9
00000001d84cd6b4 (__TEXT,__text) non-external __AMFDRDecodeEvaluateTestStationCertificateProperties
00000001d84d232c (__TEXT,__text) non-external __AMFDRDecodeFilterDataInstanceCallback
00000001d84d2c98 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined
00000001d84d7804 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.1
00000001d84d7848 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.2
00000001d84d7880 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.3
00000001d84d78d0 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.4
00000001d84d7908 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.5
00000001d84d1880 (__TEXT,__text) non-external __AMFDRDecodeGetDataInstCallback
00000001d84cdeec (__TEXT,__text) non-external __AMFDRDecodeGetExpectedManifestHash
00000001d84cff2c (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData
00000001d84d74f0 (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData.cold.1
00000001d84d24c4 (__TEXT,__text) non-external __AMFDRDecodeInstPropertyMatchingWithType
00000001d84d5b60 (__TEXT,__text) non-external __AMFDRDecodeMultiResposeRecords
00000001d84d5738 (__TEXT,__text) non-external __AMFDRDecodeMultiSealingResposeRecords
00000001d84d4f38 (__TEXT,__text) non-external __AMFDRDecodeParseExtension
00000001d84cdf38 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback
00000001d84d6e28 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.1
00000001d84d6e60 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.2
00000001d84d6e98 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.3
00000001d84d4c50 (__TEXT,__text) non-external __AMFDRDecodePubKey
00000001d84d2698 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList
00000001d84d775c (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.1
00000001d84d7794 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.2
00000001d84d77cc (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.3
00000001d84d31c4 (__TEXT,__text) non-external __AMFDRDecodeSequenceString
00000001d84d79e8 (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.1
00000001d84d7a20 (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.2
00000001d84d0594 (__TEXT,__text) non-external __AMFDRDecodeTolerateErrorsForOptions
00000001d84d0bc0 (__TEXT,__text) non-external __AMFDRDecodeVerifyCertIssuerInternal
00000001d84cc730 (__TEXT,__text) non-external __AMFDRDecodeVerifyChain
00000001d84d69a4 (__TEXT,__text) non-external __AMFDRDecodeVerifyChain.cold.1
00000001d84cd4c8 (__TEXT,__text) non-external __AMFDRDecodeVerifyChainOffline
00000001d84d27d0 (__TEXT,__text) non-external __AMFDRDecodeVerifyData
00000001d84cd6bc (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback
00000001d84d6de4 (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback.cold.1
00000001d84d1c54 (__TEXT,__text) non-external __AMFDRDecodeVerifySealingManifestCallback
00000001d84d1fbc (__TEXT,__text) non-external __AMFDRDecodeVerifySealingRequestCallback
00000001d84cce24 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature
00000001d84d69f4 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.1
00000001d84d6a2c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.2
00000001d84d6a64 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.3
00000001d84d6a9c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.4
00000001d84d6ad4 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.5
00000001d84d6b0c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.6
00000001d84d6b44 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.7
00000001d84d2ec0 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid
00000001d84d7940 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.1
00000001d84d7978 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.2
00000001d84d7940 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.3
00000001d84d79b0 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.4
00000001d84d1aa8 (__TEXT,__text) non-external __AMFDRDecodeVerifyTrustObject
00000001e7a72728 (__DATA_CONST,__const) non-external ____oidAppleFDRClientID
00000001e7a72738 (__DATA_CONST,__const) non-external ____oidAppleSecureBootCertificateProperties
00000001d84d83a0 (__TEXT,__const) non-external ___oidAppleFDRClientID
00000001d84d83a9 (__TEXT,__const) non-external ___oidAppleSecureBootCertificateProperties
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001ed007950 (__DATA_DIRTY,__bss) non-external __logHandler
00000001d84d855a (__TEXT,__const) non-external __oidAnsip224r1
00000001d84d855f (__TEXT,__const) non-external __oidAnsip384r1
00000001d84d8552 (__TEXT,__const) non-external __oidEcPrime256v1
00000001d84d8524 (__TEXT,__const) non-external __oidEcPubKey
00000001d84d8500 (__TEXT,__const) non-external __oidRsa
00000001d84d853b (__TEXT,__const) non-external __oidSha1
00000001d84d8509 (__TEXT,__const) non-external __oidSha1Rsa
00000001d84d8540 (__TEXT,__const) non-external __oidSha256
00000001d84d852b (__TEXT,__const) non-external __oidSha256Ecdsa
00000001d84d8512 (__TEXT,__const) non-external __oidSha256Rsa
00000001d84d8549 (__TEXT,__const) non-external __oidSha384
00000001d84d8533 (__TEXT,__const) non-external __oidSha384Ecdsa
00000001d84d851b (__TEXT,__const) non-external __oidSha384Rsa
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _free (from libSystem)
00000001f48755b8 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeClientCallback
00000001ebe36850 (__DATA,__data) non-external (was a private external) _kAMFDRDecodeEcdsaInfoList
00000001e7a72708 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP224
00000001e7a726c8 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP256
00000001e7a726e8 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP384
00000001f4875548 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationOffline
00000001f48754d8 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha1
00000001f4875510 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha384
00000001f4875580 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationTestStationSha1
00000001e7a72698 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha1
00000001e7a726b0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha384
00000001d84d7da4 (__TEXT,__const) non-external (was a private external) _kFDRDecodeMetaPropertyTagStr_minimalManifest
00000001d84d7ce0 (__TEXT,__const) non-external (was a private external) _kFDRKnownTag
00000001d84d7ccf (__TEXT,__const) non-external (was a private external) _kFDRTagStr_CRTP
00000001d84d7cca (__TEXT,__const) non-external (was a private external) _kFDRTagStr_IM4C
00000001d84d7c98 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_comb
00000001d84d7cbb (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdr2
00000001d84d7cac (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdrd
00000001d84d7cd4 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mcmb
00000001d84d7cc0 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mft2
00000001d84d7c9d (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rssl
00000001d84d7ca7 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rvok
00000001d84d7cb1 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_secb
00000001d84d7cb6 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_sreq
00000001d84d7cc5 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trpk
00000001d84d7ca2 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trst
                 (undefined) external _kImg4TagStr_IM4M (from libamsupport)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001e7a727f8 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip224r1
00000001e7a72808 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip384r1
00000001e7a727e8 (__DATA_CONST,__const) non-external (was a private external) _oidEcPrime256v1
00000001e7a72788 (__DATA_CONST,__const) non-external (was a private external) _oidEcPubKey
00000001e7a72748 (__DATA_CONST,__const) non-external (was a private external) _oidRsa
00000001e7a727b8 (__DATA_CONST,__const) non-external (was a private external) _oidSha1
