                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80fcec13a (__TEXT,__text) non-external _au_assemble
00007ff80fceb796 (__TEXT,__text) external _au_sdev_read_aia
00007ff84133bfe0 (__DATA_CONST,__const) non-external _au_sflagsstr
00007ff80fcecadd (__TEXT,__text) external _au_sflagstostr
00007ff80fcf48ab (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80fced056 (__TEXT,__text) non-external _au_spacetobytes
00007ff80fcf87c0 (__TEXT,__text) external _au_strerror
00007ff80fceca17 (__TEXT,__text) external _au_strtopol
00007ff80fcecb7d (__TEXT,__text) external _au_strtosflags
00007ff80fcec2e0 (__TEXT,__text) non-external _au_teardown
00007ff80fcf4b02 (__TEXT,__text) external _au_to_arg
00007ff80fcf490f (__TEXT,__text) external _au_to_arg32
00007ff80fcf49f3 (__TEXT,__text) external _au_to_arg64
00007ff80fcf691c (__TEXT,__text) external _au_to_certificate_hash
00007ff80fcf4b0c (__TEXT,__text) external _au_to_data
00007ff80fcf67dc (__TEXT,__text) external _au_to_exec_args
00007ff80fcf690d (__TEXT,__text) external _au_to_exec_env
00007ff80fcf4bf1 (__TEXT,__text) external _au_to_exit
00007ff80fcf5120 (__TEXT,__text) external _au_to_file
00007ff80fcf4c94 (__TEXT,__text) external _au_to_groups
00007ff80fcf7015 (__TEXT,__text) external _au_to_header
00007ff80fcf6f6f (__TEXT,__text) external _au_to_header32
00007ff80fcf6edd (__TEXT,__text) external _au_to_header32_ex
00007ff80fcf6c3d (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80fcf6b42 (__TEXT,__text) external _au_to_header32_tm
00007ff80fcf6fc2 (__TEXT,__text) external _au_to_header64
00007ff80fcf6dae (__TEXT,__text) external _au_to_header64_tm
00007ff80fcf701f (__TEXT,__text) external _au_to_header_ex
00007ff80fcf69e8 (__TEXT,__text) external _au_to_identity
00007ff80fcf4d54 (__TEXT,__text) external _au_to_in_addr
00007ff80fcf4dc2 (__TEXT,__text) external _au_to_in_addr_ex
00007ff80fcf4e39 (__TEXT,__text) external _au_to_ip
00007ff80fcf4eb7 (__TEXT,__text) external _au_to_ipc
00007ff80fcf4f43 (__TEXT,__text) external _au_to_ipc_perm
00007ff80fcf5012 (__TEXT,__text) external _au_to_iport
00007ff80fcf70ab (__TEXT,__text) external _au_to_kevent
00007ff80fcf692b (__TEXT,__text) external _au_to_krb5_principal
00007ff80fcf6754 (__TEXT,__text) external _au_to_me
00007ff80fcf4ca6 (__TEXT,__text) external _au_to_newgroups
00007ff80fcf507c (__TEXT,__text) external _au_to_opaque
00007ff80fcf52d6 (__TEXT,__text) external _au_to_path
00007ff80fcf5677 (__TEXT,__text) external _au_to_process
00007ff80fcf5384 (__TEXT,__text) external _au_to_process32
00007ff80fcf5681 (__TEXT,__text) external _au_to_process32_ex
00007ff80fcf54da (__TEXT,__text) external _au_to_process64
00007ff80fcf589d (__TEXT,__text) external _au_to_process64_ex
00007ff80fcf5ada (__TEXT,__text) external _au_to_process_ex
00007ff80fcf5c21 (__TEXT,__text) external _au_to_return
00007ff80fcf5ae4 (__TEXT,__text) external _au_to_return32
00007ff80fcf5b70 (__TEXT,__text) external _au_to_return64
00007ff80fcf5c2b (__TEXT,__text) external _au_to_seq
00007ff80fcf5ffa (__TEXT,__text) external _au_to_sock_inet
00007ff80fcf5f6c (__TEXT,__text) external _au_to_sock_inet128
00007ff80fcf5eec (__TEXT,__text) external _au_to_sock_inet32
00007ff80fcf5e2d (__TEXT,__text) external _au_to_sock_unix
00007ff80fcf5ca5 (__TEXT,__text) external _au_to_socket_ex
00007ff80fcf67eb (__TEXT,__text) non-external _au_to_strings
00007ff80fcf62f7 (__TEXT,__text) external _au_to_subject
00007ff80fcf6004 (__TEXT,__text) external _au_to_subject32
00007ff80fcf6301 (__TEXT,__text) external _au_to_subject32_ex
00007ff80fcf615a (__TEXT,__text) external _au_to_subject64
00007ff80fcf6515 (__TEXT,__text) external _au_to_subject64_ex
00007ff80fcf674a (__TEXT,__text) external _au_to_subject_ex
00007ff80fcf5228 (__TEXT,__text) external _au_to_text
00007ff80fcf7029 (__TEXT,__text) external _au_to_trailer
00007ff80fcf693a (__TEXT,__text) external _au_to_zonename
00007ff80fcf73ba (__TEXT,__text) external _au_user_mask
00007ff80fcebfed (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff843e82fe8 (__DATA,__bss) non-external _audit_free_q
00007ff80fcf869c (__TEXT,__text) external _audit_get_car
00007ff80fcf846c (__TEXT,__text) external _audit_get_class
00007ff80fcf79a3 (__TEXT,__text) external _audit_get_cond
00007ff80fcf86b1 (__TEXT,__text) external _audit_get_ctlmode
00007ff80fcf8687 (__TEXT,__text) external _audit_get_cwd
00007ff80fcf86e2 (__TEXT,__text) external _audit_get_expire_after
00007ff80fcf8530 (__TEXT,__text) external _audit_get_fsize
00007ff80fcf840a (__TEXT,__text) external _audit_get_kaudit
00007ff80fcf84ce (__TEXT,__text) external _audit_get_kmask
00007ff80fcf85c3 (__TEXT,__text) external _audit_get_pinfo
00007ff80fcf85f4 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80fcf816c (__TEXT,__text) external _audit_get_policy
00007ff80fcf82a1 (__TEXT,__text) external _audit_get_qctrl
00007ff80fcf823a (__TEXT,__text) external _audit_get_sflags
00007ff80fcf8275 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80fcebe54 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80fcf8625 (__TEXT,__text) external _audit_get_stat
00007ff843e82fe0 (__DATA,__bss) non-external _audit_rec_count
00007ff80fcf83f3 (__TEXT,__text) external _audit_send_trigger
00007ff80fcf849d (__TEXT,__text) external _audit_set_class
00007ff80fcf8105 (__TEXT,__text) external _audit_set_cond
00007ff80fcf8561 (__TEXT,__text) external _audit_set_fsize
00007ff80fcf843b (__TEXT,__text) external _audit_set_kaudit
00007ff80fcf84ff (__TEXT,__text) external _audit_set_kmask
00007ff80fcf8592 (__TEXT,__text) external _audit_set_pmask
00007ff80fcf81d3 (__TEXT,__text) external _audit_set_policy
00007ff80fcf834a (__TEXT,__text) external _audit_set_qctrl
00007ff80fcf8251 (__TEXT,__text) external _audit_set_sflags
00007ff80fcf828b (__TEXT,__text) external _audit_set_sflags_mask
00007ff80fcf8656 (__TEXT,__text) external _audit_set_stat
00007ff80fcf7ae0 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80fcf7a0a (__TEXT,__text) external _audit_set_terminal_id
00007ff80fcf7b84 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80fcf7a3f (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80fcf7542 (__TEXT,__text) external _audit_submit
00007ff80fceb608 (__TEXT,__text) external _audit_token_to_asid
00007ff80fceb650 (__TEXT,__text) external _audit_token_to_au32
00007ff80fceb62c (__TEXT,__text) external _audit_token_to_auid
00007ff80fceb635 (__TEXT,__text) external _audit_token_to_egid
00007ff80fceb61a (__TEXT,__text) external _audit_token_to_euid
00007ff80fceb611 (__TEXT,__text) external _audit_token_to_pid
00007ff80fceb647 (__TEXT,__text) external _audit_token_to_pidversion
00007ff80fceb63e (__TEXT,__text) external _audit_token_to_rgid
00007ff80fceb623 (__TEXT,__text) external _audit_token_to_ruid
00007ff80fcf7bb9 (__TEXT,__text) external _audit_write
00007ff80fcf7e7c (__TEXT,__text) external _audit_write_failure
00007ff80fcf7f41 (__TEXT,__text) external _audit_write_failure_ex
00007ff80fcf80a3 (__TEXT,__text) external _audit_write_failure_na
00007ff80fcf80d4 (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80fcf8006 (__TEXT,__text) external _audit_write_failure_self
00007ff80fcf7d3b (__TEXT,__text) external _audit_write_success
00007ff80fcf7db2 (__TEXT,__text) external _audit_write_success_ex
00007ff80fcf7e29 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80fcf39cb (__TEXT,__text) non-external _be64dec
00007ff80fcfa260 (__TEXT,__const) non-external _bsm_domains
00007ff84133c0a0 (__DATA_CONST,__const) non-external _bsm_errnos
00007ff80fcfa4e0 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80fcfa490 (__TEXT,__const) non-external _bsm_socket_types
00007ff80fcf4896 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80fcf3e9b (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80fceccdd (__TEXT,__text) external _endac
00007ff80fcec93b (__TEXT,__text) external _endauclass
00007ff80fced627 (__TEXT,__text) external _endauevent
00007ff80fcf70e5 (__TEXT,__text) external _endauuser
00007ff843e83728 (__DATA,__bss) non-external _ev_cache
00007ff80fcedac2 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff80fcef1a5 (__TEXT,__text) non-external _fetch_arb_tok
00007ff80fcee317 (__TEXT,__text) non-external _fetch_arg32_tok
00007ff80fcee38c (__TEXT,__text) non-external _fetch_arg64_tok
00007ff80fcee401 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff80fcee4af (__TEXT,__text) non-external _fetch_attr64_tok
00007ff80fcef221 (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff80fcee5b1 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff80fcee5b1 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff80fcee56e (__TEXT,__text) non-external _fetch_exit_tok
00007ff80fcee631 (__TEXT,__text) non-external _fetch_file_tok
00007ff80fcedf60 (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff80fcedeb0 (__TEXT,__text) non-external _fetch_header32_tok
00007ff80fcee169 (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff80fcee0a4 (__TEXT,__text) non-external _fetch_header64_tok
00007ff80fcef29f (__TEXT,__text) non-external _fetch_identity_tok
00007ff80fcee716 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff80fcee77b (__TEXT,__text) non-external _fetch_ip_tok
00007ff80fcee886 (__TEXT,__text) non-external _fetch_ipc_tok
00007ff80fcee8c7 (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff80fcef221 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff80fcee6a8 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff80fcee98f (__TEXT,__text) non-external _fetch_process32_tok
00007ff80fceea8f (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff80fceebc2 (__TEXT,__text) non-external _fetch_process64_tok
00007ff80fceecd5 (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff80fcee886 (__TEXT,__text) non-external _fetch_return32_tok
00007ff80fceee42 (__TEXT,__text) non-external _fetch_return64_tok
00007ff80fcef004 (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff80fceef11 (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff80fceef6f (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff80fceee85 (__TEXT,__text) non-external _fetch_socket_tok
00007ff80fcef066 (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff80fcee98f (__TEXT,__text) non-external _fetch_subject32_tok
00007ff80fceea8f (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff80fceebc2 (__TEXT,__text) non-external _fetch_subject64_tok
00007ff80fceecd5 (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff80fcee2d0 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff843e83720 (__DATA,__bss) non-external _firsttime
00007ff80fcf46f6 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff843e831e0 (__DATA,__bss) non-external _fp
00007ff843e832f0 (__DATA,__bss) non-external _fp
00007ff843e83400 (__DATA,__bss) non-external _fp
00007ff843e83740 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80fcecd16 (__TEXT,__text) external _getacdir
00007ff80fced2f2 (__TEXT,__text) external _getacexpire
00007ff80fcecf4e (__TEXT,__text) external _getacfilesz
00007ff80fced09e (__TEXT,__text) external _getacflg
00007ff80fced25f (__TEXT,__text) external _getachost
00007ff80fceceeb (__TEXT,__text) external _getacmin
00007ff80fced12a (__TEXT,__text) external _getacna
00007ff80fced1b6 (__TEXT,__text) external _getacpol
00007ff80fced249 (__TEXT,__text) external _getacsflagsmask
00007ff80fcec6d1 (__TEXT,__text) external _getauclassent
00007ff843e830e8 (__DATA,__bss) non-external _getauclassent.c
00007ff843e830a0 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff843e83090 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff843e83100 (__DATA,__bss) non-external _getauclassent.cp
00007ff80fcec54c (__TEXT,__text) external _getauclassent_r
00007ff80fcec580 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80fcec80e (__TEXT,__text) external _getauclassnam
00007ff843e83158 (__DATA,__bss) non-external _getauclassnam.c
00007ff843e83110 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff843e83108 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80fcec795 (__TEXT,__text) external _getauclassnam_r
00007ff80fcec8d6 (__TEXT,__text) external _getauclassnum
00007ff843e831c8 (__DATA,__bss) non-external _getauclassnum.c
00007ff843e83180 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff843e83170 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80fcec874 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80fcedbda (__TEXT,__text) external _getauditflagsbin
00007ff80fcedd2f (__TEXT,__text) external _getauditflagschar
00007ff80fced714 (__TEXT,__text) external _getauevent
00007ff843e83468 (__DATA,__bss) non-external _getauevent.e
00007ff843e83430 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff843e83410 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80fced660 (__TEXT,__text) external _getauevent_r
00007ff80fced86a (__TEXT,__text) external _getauevnam
00007ff843e834e8 (__DATA,__bss) non-external _getauevnam.e
00007ff843e834b0 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff843e83490 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80fced77e (__TEXT,__text) external _getauevnam_r
00007ff80fcedaae (__TEXT,__text) external _getauevnonam
00007ff843e83610 (__DATA,__bss) non-external _getauevnonam.event
00007ff80fceda1c (__TEXT,__text) external _getauevnonam_r
00007ff843e835e8 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff843e83608 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff843e835b0 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff843e83590 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80fced9b0 (__TEXT,__text) external _getauevnum
00007ff843e83568 (__DATA,__bss) non-external _getauevnum.e
00007ff843e83530 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff843e83510 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80fced8d7 (__TEXT,__text) external _getauevnum_r
00007ff80fcf7297 (__TEXT,__text) external _getauuserent
00007ff843e83788 (__DATA,__bss) non-external _getauuserent.u
00007ff843e83750 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80fcf711e (__TEXT,__text) external _getauuserent_r
00007ff80fcf7152 (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80fcf7370 (__TEXT,__text) external _getauusernam
00007ff843e837d8 (__DATA,__bss) non-external _getauusernam.u
00007ff843e837a0 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80fcf7305 (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80fcf747a (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80fcecd9d (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff843e831f0 (__DATA,__bss) non-external _linestr
00007ff843e83300 (__DATA,__bss) non-external _linestr
00007ff843e83620 (__DATA,__bss) non-external _linestr
00007ff843e837f0 (__DATA,__bss) non-external _linestr
00007ff80fcf4612 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff843e82e60 (__DATA,__data) non-external _mutex
00007ff843e82ea0 (__DATA,__data) non-external _mutex
00007ff843e82ee0 (__DATA,__data) non-external _mutex
00007ff843e82f20 (__DATA,__data) non-external _mutex
00007ff843e82f60 (__DATA,__data) non-external _mutex
00007ff843e82fa0 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff843e82ff0 (__DATA,__bss) non-external _open_desc_table
00007ff80fcf3d4c (__TEXT,__text) non-external _print_event
00007ff80fcf436b (__TEXT,__text) non-external _print_group
00007ff80fcf4114 (__TEXT,__text) non-external _print_ip_ex_address
00007ff80fcf441e (__TEXT,__text) non-external _print_ipctype
00007ff80fcf43ae (__TEXT,__text) non-external _print_mem
00007ff80fcf4487 (__TEXT,__text) non-external _print_retval
00007ff80fcf3e14 (__TEXT,__text) non-external _print_sec32
00007ff80fcf41b4 (__TEXT,__text) non-external _print_sec64
00007ff80fcf423a (__TEXT,__text) non-external _print_string
00007ff80fcf39d7 (__TEXT,__text) non-external _print_tok_type
00007ff80fcf4328 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80fcecc41 (__TEXT,__text) external _setac
00007ff80fcecc69 (__TEXT,__text) non-external _setac_locked
00007ff843e832f8 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80fcec763 (__TEXT,__text) external _setauclass
00007ff80fced5f5 (__TEXT,__text) external _setauevent
00007ff80fcf70b3 (__TEXT,__text) external _setauuser
00007ff80fced4cb (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff843e83730 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
