00007ff80ab37c5c (__TEXT,__text) non-external _CCGCMSymmInit
00007ff80ab3e083 (__TEXT,__text) non-external _SSLEncodeECDHKeyParams
00007ff80ab37d7e (__TEXT,__text) non-external (was a private external) _SSLEncodeFinishedMessage
00007ff80ab32b18 (__TEXT,__text) non-external (was a private external) _SSLEncodeHandshakeHeader
00007ff80ab32ba5 (__TEXT,__text) non-external (was a private external) _SSLEncodeInt
00007ff80ab366f2 (__TEXT,__text) non-external (was a private external) _SSLEncodeKeyExchange
00007ff80ab3e3c9 (__TEXT,__text) non-external (was a private external) _SSLEncodeNPNEncryptedExtensionMessage
00007ff80ab32bcd (__TEXT,__text) non-external (was a private external) _SSLEncodeRandom
00007ff80ab3eadf (__TEXT,__text) non-external (was a private external) _SSLEncodeServerHello
00007ff80ab3e4eb (__TEXT,__text) non-external (was a private external) _SSLEncodeServerHelloDone
00007ff80ab3ea9c (__TEXT,__text) non-external (was a private external) _SSLEncodeServerHelloRequest
00007ff80ab3ef81 (__TEXT,__text) non-external (was a private external) _SSLEncodeServerHelloVerifyRequest
00007ff80ab3ce50 (__TEXT,__text) non-external (was a private external) _SSLEncodeServerKeyExchange
00007ff80ab32b7d (__TEXT,__text) non-external (was a private external) _SSLEncodeSize
00007ff80ab38189 (__TEXT,__text) non-external (was a private external) _SSLEncodeUInt64
00007ff80ab32ac3 (__TEXT,__text) non-external (was a private external) _SSLEncodedBufferListSize
00007ff80ab3deba (__TEXT,__text) non-external _SSLEncodedDHKeyParamsLen
00007ff80ab3e234 (__TEXT,__text) non-external (was a private external) _SSLFatalSessionAlert
00007ff80ab305a1 (__TEXT,__text) non-external (was a private external) _SSLFreeBuffer
00007ff80ab39326 (__TEXT,__text) non-external (was a private external) _SSLFreeCertificates
00007ff80ab39646 (__TEXT,__text) non-external (was a private external) _SSLFreeDNList
00007ff80ab3de8e (__TEXT,__text) non-external _SSLGenServerDHParamsAndKey
00007ff80ab3dfee (__TEXT,__text) non-external _SSLGenServerECDHParamsAndKey
00007ff84226f468 (__DATA,__const) non-external (was a private external) _SSLHashMD5
00007ff84226f4a0 (__DATA,__const) non-external (was a private external) _SSLHashSHA1
00007ff84226f4d8 (__DATA,__const) non-external (was a private external) _SSLHashSHA256
00007ff84226f510 (__DATA,__const) non-external (was a private external) _SSLHashSHA384
00007ff84226f548 (__DATA,__const) non-external (was a private external) _SSLHashSHA512
00007ff80ab32cea (__TEXT,__text) non-external (was a private external) _SSLInitMessageHashes
00007ff80ab378e8 (__TEXT,__text) non-external (was a private external) _SSLInitPendingCiphers
00007ff80ab391e1 (__TEXT,__text) non-external (was a private external) _SSLInstallSessionFromData
00007ff80ab41d20 (__TEXT,__const) non-external (was a private external) _SSLMACPad1
00007ff80ab41d50 (__TEXT,__const) non-external (was a private external) _SSLMACPad2
00007ff80ab31dc0 (__TEXT,__text) non-external (was a private external) _SSLPrepareAndQueueMessage
00007ff80ab3983c (__TEXT,__text) non-external (was a private external) _SSLProcessAlert
00007ff80ab35406 (__TEXT,__text) non-external (was a private external) _SSLProcessCertificate
00007ff80ab3c3a3 (__TEXT,__text) non-external (was a private external) _SSLProcessCertificateRequest
00007ff80ab3c115 (__TEXT,__text) non-external (was a private external) _SSLProcessCertificateStatus
00007ff80ab3ca94 (__TEXT,__text) non-external (was a private external) _SSLProcessCertificateVerify
00007ff80ab382ea (__TEXT,__text) non-external (was a private external) _SSLProcessChangeCipherSpec
00007ff80ab3f109 (__TEXT,__text) non-external (was a private external) _SSLProcessClientHello
00007ff80ab3e497 (__TEXT,__text) non-external (was a private external) _SSLProcessEncryptedExtension
00007ff80ab38645 (__TEXT,__text) non-external (was a private external) _SSLProcessFinished
00007ff80ab34903 (__TEXT,__text) non-external _SSLProcessHandshakeMessage
00007ff80ab34104 (__TEXT,__text) non-external (was a private external) _SSLProcessHandshakeRecord
00007ff80ab3470c (__TEXT,__text) non-external (was a private external) _SSLProcessHandshakeRecordInner
00007ff80ab3d8fc (__TEXT,__text) non-external (was a private external) _SSLProcessKeyExchange
00007ff80ab3ff67 (__TEXT,__text) non-external (was a private external) _SSLProcessNewSessionTicket
00007ff80ab3fce7 (__TEXT,__text) non-external (was a private external) _SSLProcessSSL2ClientHello
00007ff80ab3e2c9 (__TEXT,__text) non-external (was a private external) _SSLProcessSSL2Message
00007ff80ab34c64 (__TEXT,__text) non-external (was a private external) _SSLProcessServerHello
00007ff80ab36682 (__TEXT,__text) non-external (was a private external) _SSLProcessServerHelloDone
00007ff80ab3f023 (__TEXT,__text) non-external (was a private external) _SSLProcessServerHelloVerifyRequest
00007ff80ab35d70 (__TEXT,__text) non-external (was a private external) _SSLProcessServerKeyExchange
00007ff80ab3a66c (__TEXT,__text) non-external (was a private external) _SSLReallocBuffer
00007ff80ab31d44 (__TEXT,__text) non-external (was a private external) _SSLResetFlight
00007ff80ab390e5 (__TEXT,__text) non-external (was a private external) _SSLRetrieveSessionID
00007ff80ab39131 (__TEXT,__text) non-external (was a private external) _SSLRetrieveSessionTicket
00007ff80ab3978f (__TEXT,__text) non-external (was a private external) _SSLSendAlert
00007ff80ab330d1 (__TEXT,__text) non-external (was a private external) _SSLSendFlight
00007ff80ab3b339 (__TEXT,__text) non-external (was a private external) _SSLServerValidateSessionData
00007ff80ab32f15 (__TEXT,__text) non-external _SSLUpdateHandshakeMacs
00007ff80ab41269 (__TEXT,__text) non-external _SSLVerifyMac
00007ff80ab3b445 (__TEXT,__text) non-external (was a private external) _SelectNewCiphersuite
00007ff80ab38f13 (__TEXT,__text) non-external (was a private external) _SessionCacheAddEntry
00007ff80ab396f6 (__TEXT,__text) non-external (was a private external) _SessionCacheCleanup
00007ff80ab3a26e (__TEXT,__text) non-external (was a private external) _SessionCacheDeleteEntry
00007ff80ab3a2cf (__TEXT,__text) non-external (was a private external) _SessionCacheEmpty
00007ff80ab3900b (__TEXT,__text) non-external _SessionCacheEntryMatchKey
00007ff80ab3032d (__TEXT,__text) non-external (was a private external) _SessionCacheInit
00007ff80ab3073a (__TEXT,__text) non-external (was a private external) _SessionCacheLookupEntry
00007ff80ab41cd0 (__TEXT,__const) external _SigAlgsCount
00007ff84226f308 (__DATA,__const) external _Ssl3Callouts
00007ff84226f2e8 (__DATA,__const) external _Tls12Callouts
00007ff84226f2c8 (__DATA,__const) external _Tls1Callouts
00007ff84226f580 (__DATA,__const) non-external (was a private external) _TlsHmacMD5
00007ff84226f5c0 (__DATA,__const) non-external (was a private external) _TlsHmacSHA1
00007ff84226f600 (__DATA,__const) non-external (was a private external) _TlsHmacSHA256
00007ff84226f640 (__DATA,__const) non-external (was a private external) _TlsHmacSHA384
00007ff80ab35348 (__TEXT,__text) non-external (was a private external) _ValidateSelectedCiphersuite
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
00007ff84226ea70 (__DATA,__const) non-external ___block_descriptor_tmp
00007ff84226ea90 (__DATA,__const) non-external ___block_descriptor_tmp.46
00007ff84226eab0 (__DATA,__const) non-external ___block_literal_global
                 (undefined) external ___bzero (from libSystem)
00007ff80ab35d50 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80ab41330 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
00007ff80ab39cce (__TEXT,__text) non-external ___process_identifier_block_invoke
00007ff80ab359c4 (__TEXT,__text) non-external ___security_debug_init
00007ff80ab413e3 (__TEXT,__text) non-external (was a private external) ___ssl_add_debug_logger
00007ff80ab39ba0 (__TEXT,__text) non-external (was a private external) ___ssl_debug
00007ff84226f770 (__DATA,__common) non-external (was a private external) ___ssl_debug_all
00007ff80ab35979 (__TEXT,__text) non-external (was a private external) ___ssl_debug_enabled
00007ff84226f760 (__DATA,__data) non-external ___ssl_debug_enabled.__security_debug_once
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80ab3cd74 (__TEXT,__text) non-external ___tls_metric_insecure_dh_param_block_invoke
                 (undefined) external __sl_dlopen (from SoftLinking)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external _abort (from libSystem)
                 (undefined) external _abort_report_np (from libSystem)
00007ff80ab41b20 (__TEXT,__const) non-external _all_ciphersuites
                 (undefined) external _arc4random_uniform (from libSystem)
                 (undefined) external _asl_free (from libSystem)
                 (undefined) external _asl_log (from libSystem)
                 (undefined) external _asl_new (from libSystem)
                 (undefined) external _asl_set (from libSystem)
00007ff80ab39f9a (__TEXT,__text) non-external _asl_set_bool_with_format
00007ff80ab39ea3 (__TEXT,__text) non-external _asl_set_string_with_format
00007ff80ab45ba0 (__TEXT,__dlopen_cstrs) non-external _audit_stringCoreAnalytics
00007ff80ab42af0 (__TEXT,__cstring) non-external _base64_chars
                 (undefined) external _ccDRBGGetRngState (from libSystem)
                 (undefined) external _cc_clear (from libSystem)
                 (undefined) external _cc_cmp_safe (from libSystem)
                 (undefined) external _ccaes_cbc_decrypt_mode (from libSystem)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libSystem)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libSystem)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libSystem)
                 (undefined) external _cccbc_init (from libSystem)
                 (undefined) external _cccbc_set_iv (from libSystem)
                 (undefined) external _cccbc_update (from libSystem)
                 (undefined) external _ccder_decode_dhparam_n (from libSystem)
                 (undefined) external _ccder_decode_dhparams (from libSystem)
                 (undefined) external _ccdes3_cbc_decrypt_mode (from libSystem)
                 (undefined) external _ccdes3_cbc_encrypt_mode (from libSystem)
                 (undefined) external _ccdh_compute_key (from libSystem)
                 (undefined) external _ccdh_export_pub (from libSystem)
                 (undefined) external _ccdh_generate_key (from libSystem)
                 (undefined) external _ccdh_gp_rfc5114_MODP_2048_256 (from libSystem)
                 (undefined) external _ccdh_gp_size (from libSystem)
                 (undefined) external _ccdh_import_pub (from libSystem)
                 (undefined) external _ccdh_init_safe_gp_from_bytes (from libSystem)
                 (undefined) external _ccdigest_init (from libSystem)
                 (undefined) external _ccdigest_update (from libSystem)
                 (undefined) external _ccec_cp_256 (from libSystem)
                 (undefined) external _ccec_cp_384 (from libSystem)
                 (undefined) external _ccec_cp_521 (from libSystem)
                 (undefined) external _ccec_export_pub (from libSystem)
                 (undefined) external _ccec_generate_key (from libSystem)
                 (undefined) external _ccec_import_pub (from libSystem)
                 (undefined) external _ccec_verify (from libSystem)
                 (undefined) external _ccecdh_compute_shared_secret (from libSystem)
                 (undefined) external _ccgcm_finalize (from libSystem)
                 (undefined) external _ccgcm_gmac (from libSystem)
                 (undefined) external _ccgcm_inc_iv (from libSystem)
                 (undefined) external _ccgcm_init_with_iv (from libSystem)
                 (undefined) external _ccgcm_reset (from libSystem)
                 (undefined) external _ccgcm_update (from libSystem)
                 (undefined) external _ccmd5_di (from libSystem)
                 (undefined) external _ccn_bitlen (from libSystem)
                 (undefined) external _ccn_read_uint (from libSystem)
                 (undefined) external _ccn_write_uint (from libSystem)
                 (undefined) external _ccn_write_uint_padded_ct (from libSystem)
                 (undefined) external _ccn_write_uint_size (from libSystem)
                 (undefined) external _ccrng (from libSystem)
                 (undefined) external _ccrsa_init_pub (from libSystem)
                 (undefined) external _ccrsa_pub_crypt (from libSystem)
                 (undefined) external _ccrsa_verify_pkcs1v15 (from libSystem)
                 (undefined) external _ccsha1_di (from libSystem)
                 (undefined) external _ccsha256_di (from libSystem)
                 (undefined) external _ccsha384_di (from libSystem)
                 (undefined) external _ccsha512_di (from libSystem)
00007ff80ab390b2 (__TEXT,__text) non-external (was a private external) _cipherSuiteInSet
                 (undefined) external _close (from libSystem)
00007ff80ab4135a (__TEXT,__text) non-external (was a private external) _copyHexString
00007ff80ab41ac0 (__TEXT,__const) non-external (was a private external) _coretlsVersionNumber
00007ff80ab41a90 (__TEXT,__const) non-external (was a private external) _coretlsVersionString
                 (undefined) external _csops (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
00007ff84226f798 (__DATA,__bss) non-external _gDebugLoggers
00007ff84226f7a0 (__DATA,__bss) non-external _gDebugScope
00007ff84226f788 (__DATA,__bss) non-external _getanalytics_send_event_lazySymbolLoc.ptr
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff80ab41ae0 (__TEXT,__const) non-external _null_di
                 (undefined) external _open (from libSystem)
00007ff84226f778 (__DATA,__bss) non-external _process_identifier.__csops_once
00007ff84226f780 (__DATA,__bss) non-external _process_identifier_data
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _puts (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ff80ab4072b (__TEXT,__text) non-external _ssl3CalculateFinishedMessage
00007ff80ab4067c (__TEXT,__text) non-external _ssl3ComputeCertVfyMac
00007ff80ab405be (__TEXT,__text) non-external _ssl3ComputeFinishedMac
00007ff80ab3ffe9 (__TEXT,__text) non-external _ssl3GenerateKeyMaterial
00007ff80ab402ef (__TEXT,__text) non-external _ssl3GenerateMasterSecret
00007ff80ab307f7 (__TEXT,__text) non-external (was a private external) _sslAllocCopy
00007ff80ab300d4 (__TEXT,__text) non-external (was a private external) _sslAnalyzeCipherSpecs
00007ff80ab3042c (__TEXT,__text) non-external _sslCipherSuiteGetDigestInfo
00007ff80ab2f830 (__TEXT,__text) external _sslCipherSuiteGetKeyExchangeMethod
00007ff80ab3b2aa (__TEXT,__text) external _sslCipherSuiteGetKeydataSize
00007ff80ab2f474 (__TEXT,__text) external _sslCipherSuiteGetMacAlgorithm
00007ff80ab2efcc (__TEXT,__text) external _sslCipherSuiteGetMacSize
00007ff80ab3b098 (__TEXT,__text) external _sslCipherSuiteGetMinSupportedTLSVersion
00007ff80ab304cc (__TEXT,__text) non-external _sslCipherSuiteGetSymmetricCipher
00007ff80ab2f00a (__TEXT,__text) external _sslCipherSuiteGetSymmetricCipherAlgorithm
00007ff80ab2f809 (__TEXT,__text) external _sslCipherSuiteGetSymmetricCipherBlockIvSize
00007ff80ab2f7e4 (__TEXT,__text) external _sslCipherSuiteGetSymmetricCipherKeySize
00007ff80ab3b66e (__TEXT,__text) non-external (was a private external) _sslDhCreateKey
00007ff80ab3b6db (__TEXT,__text) non-external (was a private external) _sslDhExportPub
00007ff80ab3b71c (__TEXT,__text) non-external (was a private external) _sslDhKeyExchange
00007ff80ab36d6a (__TEXT,__text) non-external (was a private external) _sslEcdhCreateKey
00007ff80ab36e3a (__TEXT,__text) non-external (was a private external) _sslEcdhExportPub
00007ff80ab36dd4 (__TEXT,__text) non-external (was a private external) _sslEcdhKeyExchange
00007ff80ab3b992 (__TEXT,__text) non-external (was a private external) _sslEcdsaSign
00007ff80ab3b550 (__TEXT,__text) non-external (was a private external) _sslEncodeDhParams
00007ff80ab300b8 (__TEXT,__text) non-external (was a private external) _sslFree
00007ff80ab35b66 (__TEXT,__text) non-external (was a private external) _sslFreePubKey
00007ff80ab36c9b (__TEXT,__text) non-external (was a private external) _sslGetEcPubKeyFromBits
00007ff80ab32a82 (__TEXT,__text) non-external (was a private external) _sslGetMaxProtVersion
00007ff80ab3bf6c (__TEXT,__text) non-external (was a private external) _sslGetMaxSigSize
00007ff80ab35ba2 (__TEXT,__text) non-external (was a private external) _sslGetPubKeyFromBits
00007ff80ab300c9 (__TEXT,__text) non-external (was a private external) _sslMalloc
00007ff80ab3bf4d (__TEXT,__text) non-external (was a private external) _sslPrivKeyLengthInBytes
00007ff80ab3bf57 (__TEXT,__text) non-external (was a private external) _sslPubKeyLengthInBytes
00007ff80ab32c32 (__TEXT,__text) non-external (was a private external) _sslRand
00007ff80ab3b8b7 (__TEXT,__text) non-external (was a private external) _sslRawSign
00007ff80ab3ba97 (__TEXT,__text) non-external (was a private external) _sslRawVerify
00007ff80ab3bee9 (__TEXT,__text) non-external (was a private external) _sslRsaDecrypt
00007ff80ab3bc32 (__TEXT,__text) non-external (was a private external) _sslRsaEncrypt
00007ff80ab3b9f6 (__TEXT,__text) non-external (was a private external) _sslRsaSign
00007ff80ab3658b (__TEXT,__text) non-external (was a private external) _sslRsaVerify
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
                 (undefined) external _time (from libSystem)
00007ff80ab3e9c5 (__TEXT,__text) non-external _tls12ComputeCertVfyMac
00007ff80ab37e39 (__TEXT,__text) non-external _tls12ComputeFinishedMac
00007ff80ab36e85 (__TEXT,__text) non-external _tls12GenerateMasterSecret
00007ff80ab3e8ca (__TEXT,__text) non-external _tls1ComputeCertVfyMac
00007ff80ab3e740 (__TEXT,__text) non-external _tls1ComputeFinishedMac
00007ff80ab3799e (__TEXT,__text) non-external _tls1GenerateKeyMaterial
00007ff80ab3e532 (__TEXT,__text) non-external _tls1GenerateMasterSecret
00007ff80ab37228 (__TEXT,__text) non-external _tlsPHash
00007ff80ab3a443 (__TEXT,__text) external _tls_add_debug_logger
00007ff80ab396cc (__TEXT,__text) external _tls_cache_cleanup
00007ff80ab302f5 (__TEXT,__text) external _tls_cache_create
00007ff80ab3a62e (__TEXT,__text) external _tls_cache_delete_session_data
00007ff80ab3a5de (__TEXT,__text) external _tls_cache_destroy
00007ff80ab3a5fe (__TEXT,__text) external _tls_cache_empty
00007ff80ab306f7 (__TEXT,__text) external _tls_cache_load_session_data
00007ff80ab38ec1 (__TEXT,__text) external _tls_cache_save_session_data
00007ff80ab3a628 (__TEXT,__text) external _tls_cache_set_default_ttls
00007ff80ab3a6ca (__TEXT,__text) non-external (was a private external) _tls_copy_buffer_list
00007ff80ab35386 (__TEXT,__text) non-external (was a private external) _tls_free_buffer_list
00007ff80ab2fefe (__TEXT,__text) non-external (was a private external) _tls_handshake_ciphersuite_is_allowed
00007ff80ab2fe92 (__TEXT,__text) non-external (was a private external) _tls_handshake_ciphersuite_is_supported
00007ff80ab329d4 (__TEXT,__text) non-external (was a private external) _tls_handshake_ciphersuite_is_valid
00007ff80ab39765 (__TEXT,__text) external _tls_handshake_close
00007ff80ab33988 (__TEXT,__text) external _tls_handshake_continue
00007ff80ab2ee70 (__TEXT,__text) external _tls_handshake_create
00007ff80ab301e7 (__TEXT,__text) non-external (was a private external) _tls_handshake_curve_is_supported
00007ff80ab39330 (__TEXT,__text) external _tls_handshake_destroy
00007ff80ab3aac5 (__TEXT,__text) external _tls_handshake_get_acceptable_dn_list
00007ff80ab3a8aa (__TEXT,__text) external _tls_handshake_get_ciphersuites
00007ff80ab3ae6f (__TEXT,__text) external _tls_handshake_get_client_random
00007ff80ab3ad8a (__TEXT,__text) external _tls_handshake_get_config
00007ff80ab3ac46 (__TEXT,__text) external _tls_handshake_get_fallback
00007ff80ab3ab81 (__TEXT,__text) external _tls_handshake_get_false_start
00007ff80ab3ae7c (__TEXT,__text) external _tls_handshake_get_master_secret
00007ff80ab30365 (__TEXT,__text) external _tls_handshake_get_max_protocol_version
00007ff80ab30537 (__TEXT,__text) external _tls_handshake_get_min_dh_group_size
00007ff80ab30358 (__TEXT,__text) external _tls_handshake_get_min_protocol_version
00007ff80ab382dd (__TEXT,__text) external _tls_handshake_get_negotiated_cipherspec
00007ff80ab3ae55 (__TEXT,__text) external _tls_handshake_get_negotiated_curve
00007ff80ab3ad1b (__TEXT,__text) external _tls_handshake_get_negotiated_ems
00007ff80ab3ae4d (__TEXT,__text) external _tls_handshake_get_negotiated_protocol_version
