00000001a0e0eff8 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a0e0af5c (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001a0e0ab10 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001a0e0a9c0 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001a0e0daec (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001a0dfe21c (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001a0dfe144 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001a0dfdfe8 (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001a0dfde74 (__TEXT,__text) non-external -[AKELData init]
00000001a0dfe1e0 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001a0dfe108 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001a0dfdc50 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001a0dfe100 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001a0e0f288 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001a0e0f1dc (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001a0e0f29c (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001a0e0f28c (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001a0e0f240 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001a0e0f294 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001a0e02fb4 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001a0e02740 (__TEXT,__text) non-external -[BundleData dealloc]
00000001a0e10c28 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001a0e02c20 (__TEXT,__text) non-external -[BundleData doReload]
00000001a0e02f88 (__TEXT,__text) non-external -[BundleData forceReload]
00000001a0e027dc (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001a0e02724 (__TEXT,__text) non-external -[BundleData init]
00000001a0e02f94 (__TEXT,__text) non-external -[BundleData isSigned]
00000001a0e02c7c (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001a0e02f1c (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001a0e02940 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001a0e10c98 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001a0e10d08 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001a0e02fac (__TEXT,__text) non-external -[BundleData timestamp]
00000001a0e02f8c (__TEXT,__text) non-external -[BundleData url]
00000001a0e02fa4 (__TEXT,__text) non-external -[BundleData versionNumber]
00000001a0e02f9c (__TEXT,__text) non-external -[BundleData version]
00000001a0e039dc (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001a0e039b8 (__TEXT,__text) non-external -[GKScanResult allowed]
00000001a0e0392c (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001a0e039c8 (__TEXT,__text) non-external -[GKScanResult gkError]
00000001a0e0387c (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001a0e039c0 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001a0e039d0 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001a0e0e3f8 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001a0dfed84 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001a0dfed4c (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001a0dfed38 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001a0dfed10 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001a0dfed24 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001a0dfed70 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001a0dfed54 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001a0dfed40 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001a0dfed18 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001a0dfed2c (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001a0dfed78 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001a0dfed68 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001a0dfed60 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001a0e0d948 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001a0e0d8b8 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001a0e0cfa8 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001a0e0d068 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001a0e0d3f0 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001a0e0d48c (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001a0e0d32c (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001a0e0d8e0 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001a0e0c828 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001a0e0d800 (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001a0e0d2a0 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001a0e0d8c8 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001a0e0d184 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001a0e0c88c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001a0e11a90 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001a0e11b18 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001a0e11b58 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001a0e11b90 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001a0e11bc8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001a0e11c08 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001a0e0c80c (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001a0e0d8f0 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001a0e0d920 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001a0e0d6ec (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001a0e11cac (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00000001a0e0d908 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001a0e0d664 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001a0e0d910 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001a0e0d6a8 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001a0e0cf10 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001a0e0d8d8 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001a0e0d940 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001a0e0d8c0 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001a0e0d8a0 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001a0e0d8b0 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001a0e0d930 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001a0e0d7b0 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001a0e0d8e8 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001a0e0d928 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001a0e0d918 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001a0e0d938 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001a0e0d900 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001a0e0d5c8 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001a0e0d264 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001a0e0d1bc (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001a0e0d52c (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001a0e0d8f8 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001a0e0d898 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001a0e0d8d0 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001a0e0d8a8 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001a0e0f860 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001a0e0f7ec (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001a0e0f6b4 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001a0e0f600 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001a0e0f700 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001a0e0f7d4 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001a0e0f850 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001a0e0f848 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001a0e0f71c (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001a0e0f858 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001a0e05134 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001a0e05114 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001a0e05124 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001a0e04f2c (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001a0e050f4 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001a0e04d18 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001a0e04a04 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a0e049e8 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001a0e0512c (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001a0e050fc (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001a0e0511c (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001a0e05104 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001a0e0510c (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001a0e074f4 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001a0e07128 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001a0e07038 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001a0e06fcc (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001a0e06cd8 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001a0e06a28 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001a0e06bdc (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001a0e07314 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001a0e069a8 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001a0e07404 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001a0e06f60 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001a0e06a7c (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001a0e06a74 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001a0e07218 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001a0e06aa8 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001a0e04130 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001a0e039e8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001a0e10e08 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001a0e10e40 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001a0e10ec8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001a0e10f64 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001a0e10fcc (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001a0e11054 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001a0e1108c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001a0e11124 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.8
00000001a0e04224 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001a0e0380c (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001a0e03804 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001a0e037e4 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001a0e035d0 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001a0e033a0 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001a0e03240 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00000001a0e03224 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001a0e037cc (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001a0e037fc (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001a0e037ec (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001a0e037f4 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001a0e037d4 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001a0e037dc (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001a0e0c7c8 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001a0e0c4c8 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001a0e0c47c (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001a0e0c358 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00000001a0e0c628 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00000001a0e0c614 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00000001a0e0535c (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00000001a0e052f4 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00000001a0e051c0 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00000001a0e05340 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00000001a0e092c8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00000001a0e09288 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00000001a0e09298 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00000001a0e090d8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00000001a0e08f10 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00000001a0e08d90 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00000001a0e08d74 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00000001a0e092b8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00000001a0e092a8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00000001a0e092a0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00000001a0e092b0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00000001a0e092c0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00000001a0e09280 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00000001a0e09290 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00000001a0e064dc (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00000001a0e05e60 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00000001a0e05870 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00000001a0e05948 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00000001a0e05820 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00000001a0e05818 (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00000001a0e05e28 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00000001a0e064d4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00000001a0e057cc (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00000001a0e062cc (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00000001a0e05498 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00000001a0e05af8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00000001a0e06100 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00000001a0e061f4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00000001a0e05e44 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00000001a0e05f4c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00000001a0e064b8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00000001a0e0649c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00000001a0e06480 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00000001a0e06464 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00000001a0e05a20 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00000001a0e06024 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00000001a0e0644c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00000001a0e06434 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00000001a0e0635c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00000001a0e05d4c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00000001a0e05c40 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00000001a0e08c84 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00000001a0e08818 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00000001a0e08a3c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00000001a0e08748 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00000001a0e08678 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00000001a0e08b60 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00000001a0dfd3d0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00000001a0dfd388 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00000001a0dfd390 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00000001a0dfd3a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00000001a0dfd384 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00000001a0dfd398 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00000001a0dfd238 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00000001a0dfcdac (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
