00007ffc425a9560 (__DATA_DIRTY,__common) external _AfterColour
00007ffc0bb0623a (__TEXT,__text) external _LLVMAddLowerSwitchPass
00007ffc0b999da4 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffc0b861f03 (__TEXT,__text) external _LLVMAddMergeFunctionsPass
00007ffc0b999b54 (__TEXT,__text) external _LLVMAddMergedLoadStoreMotionPass
00007ffc0a73a78a (__TEXT,__text) external _LLVMAddMetadataToInst
00007ffc0a73421d (__TEXT,__text) external _LLVMAddModuleFlag
00007ffc0a73667e (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffc0b999b31 (__TEXT,__text) external _LLVMAddNewGVNPass
00007ffc0b999dc7 (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffc0bb0625d (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007ffc0b861ebd (__TEXT,__text) external _LLVMAddPruneEHPass
00007ffc0b999dea (__TEXT,__text) external _LLVMAddReassociatePass
00007ffc0b999e0d (__TEXT,__text) external _LLVMAddSCCPPass
00007ffc0bb5e3bf (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007ffc0b999e30 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007ffc0b999e53 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007ffc0b999e76 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007ffc0b999ae7 (__TEXT,__text) external _LLVMAddScalarizerPass
00007ffc0b999f70 (__TEXT,__text) external _LLVMAddScopedNoAliasAAPass
00007ffc0b0a82c0 (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007ffc0b862032 (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007ffc0b862055 (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007ffc0b304986 (__TEXT,__text) external _LLVMAddSymbol
00007ffc0b999e99 (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007ffc0a7390a6 (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007ffc0bad5109 (__TEXT,__text) external _LLVMAddTargetLibraryInfo
00007ffc0b999f4d (__TEXT,__text) external _LLVMAddTypeBasedAliasAnalysisPass
00007ffc0b999ffc (__TEXT,__text) external _LLVMAddUnifyFunctionExitNodesPass
00007ffc0b999edf (__TEXT,__text) external _LLVMAddVerifierPass
00007ffc0a80765f (__TEXT,__text) external _LLVMAdvanceCoverageIterator
00007ffc0a738a4c (__TEXT,__text) external _LLVMAliasGetAliasee
00007ffc0b79203a (__TEXT,__text) external _LLVMAliasSetAliasee
00007ffc0a73735d (__TEXT,__text) external _LLVMAlignOf
00007ffc0a73985e (__TEXT,__text) external _LLVMAppendBasicBlock
00007ffc0a739773 (__TEXT,__text) external _LLVMAppendBasicBlockInContext
00007ffc0a73971d (__TEXT,__text) external _LLVMAppendExistingBasicBlock
00007ffc0a7344c3 (__TEXT,__text) external _LLVMAppendModuleInlineAsm
00007ffc0a734e50 (__TEXT,__text) external _LLVMArrayType
00007ffc0a73492c (__TEXT,__text) external _LLVMBFloatType
00007ffc0a734881 (__TEXT,__text) external _LLVMBFloatTypeInContext
00007ffc0a73945b (__TEXT,__text) external _LLVMBasicBlockAsValue
00007ffc0ae93e79 (__TEXT,__text) external _LLVMBinaryCopyMemoryBuffer
00007ffc0ae93ede (__TEXT,__text) external _LLVMBinaryGetType
00007ffc0b79202d (__TEXT,__text) external _LLVMBlockAddress
00007ffc0a73ba4a (__TEXT,__text) external _LLVMBuildAShr
00007ffc0a73af75 (__TEXT,__text) external _LLVMBuildAdd
00007ffc0a73d1d7 (__TEXT,__text) external _LLVMBuildAddrSpaceCast
00007ffc0a73a89a (__TEXT,__text) external _LLVMBuildAggregateRet
00007ffc0a73bd04 (__TEXT,__text) external _LLVMBuildAlloca
00007ffc0a73ba7a (__TEXT,__text) external _LLVMBuildAnd
00007ffc0a73bd33 (__TEXT,__text) external _LLVMBuildArrayAlloca
00007ffc0b7927bf (__TEXT,__text) external _LLVMBuildArrayMalloc
00007ffc0b792b13 (__TEXT,__text) external _LLVMBuildAtomicCmpXchg
00007ffc0b792ae9 (__TEXT,__text) external _LLVMBuildAtomicRMW
00007ffc0a73bb01 (__TEXT,__text) external _LLVMBuildBinOp
00007ffc0a73d0ed (__TEXT,__text) external _LLVMBuildBitCast
00007ffc0a73a9ad (__TEXT,__text) external _LLVMBuildBr
00007ffc0a73d594 (__TEXT,__text) external _LLVMBuildCall
00007ffc0a73d5e2 (__TEXT,__text) external _LLVMBuildCall2
00007ffc0a73d347 (__TEXT,__text) external _LLVMBuildCast
00007ffc0a73accd (__TEXT,__text) external _LLVMBuildCatchPad
00007ffc0b7923c3 (__TEXT,__text) external _LLVMBuildCatchRet
00007ffc0a73ad66 (__TEXT,__text) external _LLVMBuildCatchSwitch
00007ffc0a73acfc (__TEXT,__text) external _LLVMBuildCleanupPad
00007ffc0b792448 (__TEXT,__text) external _LLVMBuildCleanupRet
00007ffc0a73aa5d (__TEXT,__text) external _LLVMBuildCondBr
00007ffc0a73b8fa (__TEXT,__text) external _LLVMBuildExactSDiv
00007ffc0a73b65c (__TEXT,__text) external _LLVMBuildExactUDiv
00007ffc0a73d67d (__TEXT,__text) external _LLVMBuildExtractElement
00007ffc0a73d706 (__TEXT,__text) external _LLVMBuildExtractValue
00007ffc0a73b224 (__TEXT,__text) external _LLVMBuildFAdd
00007ffc0a73d52c (__TEXT,__text) external _LLVMBuildFCmp
00007ffc0a73b92d (__TEXT,__text) external _LLVMBuildFDiv
00007ffc0a73b3c2 (__TEXT,__text) external _LLVMBuildFMul
00007ffc0a73bc06 (__TEXT,__text) external _LLVMBuildFNeg
00007ffc0a73d4d1 (__TEXT,__text) external _LLVMBuildFPCast
00007ffc0a73ceec (__TEXT,__text) external _LLVMBuildFPExt
00007ffc0a73cc16 (__TEXT,__text) external _LLVMBuildFPToSI
00007ffc0a73cad9 (__TEXT,__text) external _LLVMBuildFPToUI
00007ffc0a73cdae (__TEXT,__text) external _LLVMBuildFPTrunc
00007ffc0a73b9b9 (__TEXT,__text) external _LLVMBuildFRem
00007ffc0a73b2f3 (__TEXT,__text) external _LLVMBuildFSub
00007ffc0a73c1a2 (__TEXT,__text) external _LLVMBuildFence
00007ffc0a73bd60 (__TEXT,__text) external _LLVMBuildFree
00007ffc0a73d77c (__TEXT,__text) external _LLVMBuildFreeze
00007ffc0a73c22f (__TEXT,__text) external _LLVMBuildGEP
00007ffc0a73c36d (__TEXT,__text) external _LLVMBuildGEP2
00007ffc0a73c68d (__TEXT,__text) external _LLVMBuildGlobalString
00007ffc0a73c6ec (__TEXT,__text) external _LLVMBuildGlobalStringPtr
00007ffc0a73d4fd (__TEXT,__text) external _LLVMBuildICmp
00007ffc0a73c48b (__TEXT,__text) external _LLVMBuildInBoundsGEP
00007ffc0a73c5d1 (__TEXT,__text) external _LLVMBuildInBoundsGEP2
00007ffc0b79213d (__TEXT,__text) external _LLVMBuildIndirectBr
00007ffc0a73d6aa (__TEXT,__text) external _LLVMBuildInsertElement
00007ffc0a73d740 (__TEXT,__text) external _LLVMBuildInsertValue
00007ffc0a73d49e (__TEXT,__text) external _LLVMBuildIntCast
00007ffc0a73d464 (__TEXT,__text) external _LLVMBuildIntCast2
00007ffc0a73d003 (__TEXT,__text) external _LLVMBuildIntToPtr
00007ffc0a73ab8f (__TEXT,__text) external _LLVMBuildInvoke
00007ffc0a73abed (__TEXT,__text) external _LLVMBuildInvoke2
00007ffc0a73d860 (__TEXT,__text) external _LLVMBuildIsNotNull
00007ffc0a73d809 (__TEXT,__text) external _LLVMBuildIsNull
00007ffc0a73ba1a (__TEXT,__text) external _LLVMBuildLShr
00007ffc0a73ac3d (__TEXT,__text) external _LLVMBuildLandingPad
00007ffc0a73bd9a (__TEXT,__text) external _LLVMBuildLoad
00007ffc0a73beeb (__TEXT,__text) external _LLVMBuildLoad2
00007ffc0b79270e (__TEXT,__text) external _LLVMBuildMalloc
00007ffc0a73bc9e (__TEXT,__text) external _LLVMBuildMemCpy
00007ffc0b792878 (__TEXT,__text) external _LLVMBuildMemMove
00007ffc0a73bc65 (__TEXT,__text) external _LLVMBuildMemSet
00007ffc0a73b323 (__TEXT,__text) external _LLVMBuildMul
00007ffc0a73b0a6 (__TEXT,__text) external _LLVMBuildNSWAdd
00007ffc0a73b356 (__TEXT,__text) external _LLVMBuildNSWMul
00007ffc0a73bba0 (__TEXT,__text) external _LLVMBuildNSWNeg
00007ffc0a73b287 (__TEXT,__text) external _LLVMBuildNSWSub
00007ffc0a73b1f7 (__TEXT,__text) external _LLVMBuildNUWAdd
00007ffc0a73b38c (__TEXT,__text) external _LLVMBuildNUWMul
00007ffc0a73bbd3 (__TEXT,__text) external _LLVMBuildNUWNeg
00007ffc0a73b2bd (__TEXT,__text) external _LLVMBuildNUWSub
00007ffc0a73bb70 (__TEXT,__text) external _LLVMBuildNeg
00007ffc0a73bc35 (__TEXT,__text) external _LLVMBuildNot
00007ffc0a73baa7 (__TEXT,__text) external _LLVMBuildOr
00007ffc0a73d565 (__TEXT,__text) external _LLVMBuildPhi
00007ffc0a73d437 (__TEXT,__text) external _LLVMBuildPointerCast
00007ffc0a73d8b7 (__TEXT,__text) external _LLVMBuildPtrDiff
00007ffc0a73d8f8 (__TEXT,__text) external _LLVMBuildPtrDiff2
00007ffc0a73cf19 (__TEXT,__text) external _LLVMBuildPtrToInt
00007ffc0b792352 (__TEXT,__text) external _LLVMBuildResume
00007ffc0a73a7eb (__TEXT,__text) external _LLVMBuildRet
00007ffc0a73a7e1 (__TEXT,__text) external _LLVMBuildRetVoid
00007ffc0a73b68f (__TEXT,__text) external _LLVMBuildSDiv
00007ffc0a73c9ef (__TEXT,__text) external _LLVMBuildSExt
00007ffc0a73d2ee (__TEXT,__text) external _LLVMBuildSExtOrBitCast
00007ffc0a73cd81 (__TEXT,__text) external _LLVMBuildSIToFP
00007ffc0a73b98b (__TEXT,__text) external _LLVMBuildSRem
00007ffc0a73d61c (__TEXT,__text) external _LLVMBuildSelect
00007ffc0a73b9e7 (__TEXT,__text) external _LLVMBuildShl
00007ffc0a73d6d9 (__TEXT,__text) external _LLVMBuildShuffleVector
00007ffc0a73c03b (__TEXT,__text) external _LLVMBuildStore
00007ffc0a73c603 (__TEXT,__text) external _LLVMBuildStructGEP
00007ffc0a73c657 (__TEXT,__text) external _LLVMBuildStructGEP2
00007ffc0a73b254 (__TEXT,__text) external _LLVMBuildSub
00007ffc0a73aaef (__TEXT,__text) external _LLVMBuildSwitch
00007ffc0a73c81b (__TEXT,__text) external _LLVMBuildTrunc
00007ffc0a73d31b (__TEXT,__text) external _LLVMBuildTruncOrBitCast
00007ffc0a73b3f2 (__TEXT,__text) external _LLVMBuildUDiv
00007ffc0a73cd54 (__TEXT,__text) external _LLVMBuildUIToFP
00007ffc0a73b95d (__TEXT,__text) external _LLVMBuildURem
00007ffc0b7924c2 (__TEXT,__text) external _LLVMBuildUnreachable
00007ffc0a73d64e (__TEXT,__text) external _LLVMBuildVAArg
00007ffc0a73bad4 (__TEXT,__text) external _LLVMBuildXor
00007ffc0a73c905 (__TEXT,__text) external _LLVMBuildZExt
00007ffc0a73d2c1 (__TEXT,__text) external _LLVMBuildZExtOrBitCast
00007ffc0a73a7d7 (__TEXT,__text) external _LLVMBuilderGetDefaultFPMathTag
00007ffc0a73a7cd (__TEXT,__text) external _LLVMBuilderSetDefaultFPMathTag
00007ffc0b311614 (__TEXT,__text) external _LLVMByteOrder
00007ffc0b3117e1 (__TEXT,__text) external _LLVMCallFrameAlignmentOfType
00007ffc0a73a57e (__TEXT,__text) external _LLVMClearInsertionPosition
00007ffc0bae55ed (__TEXT,__text) external _LLVMCloneModule
00007ffc0a737968 (__TEXT,__text) external _LLVMConstAShr
00007ffc0a7376e6 (__TEXT,__text) external _LLVMConstAdd
00007ffc0a737b7e (__TEXT,__text) external _LLVMConstAddrSpaceCast
00007ffc0a736109 (__TEXT,__text) external _LLVMConstAllOnes
00007ffc0a737812 (__TEXT,__text) external _LLVMConstAnd
00007ffc0a7372aa (__TEXT,__text) external _LLVMConstArray
00007ffc0a737b5d (__TEXT,__text) external _LLVMConstBitCast
00007ffc0a7377cb (__TEXT,__text) external _LLVMConstExactSDiv
00007ffc0a7377b0 (__TEXT,__text) external _LLVMConstExactUDiv
00007ffc0a737bcb (__TEXT,__text) external _LLVMConstExtractElement
00007ffc0a737df8 (__TEXT,__text) external _LLVMConstExtractValue
00007ffc0a737716 (__TEXT,__text) external _LLVMConstFAdd
00007ffc0a73793f (__TEXT,__text) external _LLVMConstFCmp
00007ffc0a7377da (__TEXT,__text) external _LLVMConstFDiv
00007ffc0a73779a (__TEXT,__text) external _LLVMConstFMul
00007ffc0a7376c6 (__TEXT,__text) external _LLVMConstFNeg
00007ffc0b792021 (__TEXT,__text) external _LLVMConstFPCast
00007ffc0a737abc (__TEXT,__text) external _LLVMConstFPExt
00007ffc0a737b18 (__TEXT,__text) external _LLVMConstFPToSI
00007ffc0a737b01 (__TEXT,__text) external _LLVMConstFPToUI
00007ffc0a737aa5 (__TEXT,__text) external _LLVMConstFPTrunc
00007ffc0a7377f8 (__TEXT,__text) external _LLVMConstFRem
00007ffc0a737760 (__TEXT,__text) external _LLVMConstFSub
00007ffc0a737982 (__TEXT,__text) external _LLVMConstGEP
00007ffc0a7379cb (__TEXT,__text) external _LLVMConstGEP2
00007ffc0a737830 (__TEXT,__text) external _LLVMConstICmp
00007ffc0a7379ee (__TEXT,__text) external _LLVMConstInBoundsGEP
00007ffc0a737a3a (__TEXT,__text) external _LLVMConstInBoundsGEP2
00007ffc0a737e15 (__TEXT,__text) external _LLVMConstInlineAsm
00007ffc0a737c94 (__TEXT,__text) external _LLVMConstInsertElement
00007ffc0a737e06 (__TEXT,__text) external _LLVMConstInsertValue
00007ffc0a736e5e (__TEXT,__text) external _LLVMConstInt
00007ffc0a737baa (__TEXT,__text) external _LLVMConstIntCast
00007ffc0a736ffc (__TEXT,__text) external _LLVMConstIntGetSExtValue
00007ffc0a736fe6 (__TEXT,__text) external _LLVMConstIntGetZExtValue
00007ffc0a736eef (__TEXT,__text) external _LLVMConstIntOfArbitraryPrecision
00007ffc0a736f54 (__TEXT,__text) external _LLVMConstIntOfString
00007ffc0a736f94 (__TEXT,__text) external _LLVMConstIntOfStringAndSize
00007ffc0a737b46 (__TEXT,__text) external _LLVMConstIntToPtr
00007ffc0a73795c (__TEXT,__text) external _LLVMConstLShr
00007ffc0a73776a (__TEXT,__text) external _LLVMConstMul
00007ffc0a7376f4 (__TEXT,__text) external _LLVMConstNSWAdd
00007ffc0a737778 (__TEXT,__text) external _LLVMConstNSWMul
00007ffc0a737488 (__TEXT,__text) external _LLVMConstNSWNeg
00007ffc0a73773e (__TEXT,__text) external _LLVMConstNSWSub
00007ffc0a737705 (__TEXT,__text) external _LLVMConstNUWAdd
00007ffc0a737789 (__TEXT,__text) external _LLVMConstNUWMul
00007ffc0a7375a7 (__TEXT,__text) external _LLVMConstNUWNeg
00007ffc0a73774f (__TEXT,__text) external _LLVMConstNUWSub
00007ffc0a7372d3 (__TEXT,__text) external _LLVMConstNamedStruct
00007ffc0a737369 (__TEXT,__text) external _LLVMConstNeg
00007ffc0a7376dc (__TEXT,__text) external _LLVMConstNot
00007ffc0a7360ff (__TEXT,__text) external _LLVMConstNull
00007ffc0a73781c (__TEXT,__text) external _LLVMConstOr
00007ffc0a737ba0 (__TEXT,__text) external _LLVMConstPointerCast
00007ffc0a7361f8 (__TEXT,__text) external _LLVMConstPointerNull
00007ffc0a737b2f (__TEXT,__text) external _LLVMConstPtrToInt
00007ffc0a736fa0 (__TEXT,__text) external _LLVMConstReal
00007ffc0a73701f (__TEXT,__text) external _LLVMConstRealGetDouble
00007ffc0a736faa (__TEXT,__text) external _LLVMConstRealOfString
00007ffc0a736fda (__TEXT,__text) external _LLVMConstRealOfStringAndSize
00007ffc0a7377bf (__TEXT,__text) external _LLVMConstSDiv
00007ffc0a737a77 (__TEXT,__text) external _LLVMConstSExt
00007ffc0a737b94 (__TEXT,__text) external _LLVMConstSExtOrBitCast
00007ffc0a737aea (__TEXT,__text) external _LLVMConstSIToFP
00007ffc0a7377ee (__TEXT,__text) external _LLVMConstSRem
00007ffc0a737bbf (__TEXT,__text) external _LLVMConstSelect
00007ffc0a73794e (__TEXT,__text) external _LLVMConstShl
00007ffc0a737d64 (__TEXT,__text) external _LLVMConstShuffleVector
00007ffc0a737208 (__TEXT,__text) external _LLVMConstString
00007ffc0a7371f3 (__TEXT,__text) external _LLVMConstStringInContext
00007ffc0b791f9d (__TEXT,__text) external _LLVMConstStruct
00007ffc0b791f6d (__TEXT,__text) external _LLVMConstStructInContext
00007ffc0a737730 (__TEXT,__text) external _LLVMConstSub
00007ffc0a737a60 (__TEXT,__text) external _LLVMConstTrunc
00007ffc0b792016 (__TEXT,__text) external _LLVMConstTruncOrBitCast
00007ffc0a7377a4 (__TEXT,__text) external _LLVMConstUDiv
00007ffc0a737ad3 (__TEXT,__text) external _LLVMConstUIToFP
00007ffc0a7377e4 (__TEXT,__text) external _LLVMConstURem
00007ffc0a7372df (__TEXT,__text) external _LLVMConstVector
00007ffc0a737826 (__TEXT,__text) external _LLVMConstXor
00007ffc0a737a8e (__TEXT,__text) external _LLVMConstZExt
00007ffc0a737b8a (__TEXT,__text) external _LLVMConstZExtOrBitCast
00007ffc0b280318 (__TEXT,__text) external _LLVMConsumeError
00007ffc0a73391c (__TEXT,__text) external _LLVMContextCreate
00007ffc0a7339f2 (__TEXT,__text) external _LLVMContextDispose
00007ffc0a7339a8 (__TEXT,__text) external _LLVMContextGetDiagnosticContext
00007ffc0a733997 (__TEXT,__text) external _LLVMContextGetDiagnosticHandler
00007ffc0a73397e (__TEXT,__text) external _LLVMContextSetDiagnosticHandler
00007ffc0a7339e0 (__TEXT,__text) external _LLVMContextSetDiscardValueNames
00007ffc0a7339b9 (__TEXT,__text) external _LLVMContextSetYieldCallback
00007ffc0a7339d0 (__TEXT,__text) external _LLVMContextShouldDiscardValueNames
00007ffc0a733fbc (__TEXT,__text) external _LLVMCopyModuleFlagsMetadata
00007ffc0b311597 (__TEXT,__text) external _LLVMCopyStringRepOfTargetData
00007ffc0a73953f (__TEXT,__text) external _LLVMCountBasicBlocks
00007ffc0a73a310 (__TEXT,__text) external _LLVMCountIncoming
00007ffc0a734c52 (__TEXT,__text) external _LLVMCountParamTypes
00007ffc0a739128 (__TEXT,__text) external _LLVMCountParams
00007ffc0a734d58 (__TEXT,__text) external _LLVMCountStructElementTypes
00007ffc0a73960f (__TEXT,__text) external _LLVMCreateBasicBlockInContext
00007ffc0ae93d6a (__TEXT,__text) external _LLVMCreateBinary
00007ffc0a73a472 (__TEXT,__text) external _LLVMCreateBuilder
00007ffc0a73a3dd (__TEXT,__text) external _LLVMCreateBuilderInContext
00007ffc0a807485 (__TEXT,__text) external _LLVMCreateCoverageDataForFile
00007ffc0a8074dc (__TEXT,__text) external _LLVMCreateCoverageDataForFunction
00007ffc0a807256 (__TEXT,__text) external _LLVMCreateCoverageFunctionRange
00007ffc0a8072ea (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForFile
00007ffc0a807b75 (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForInstantiationGroup
00007ffc0a80795c (__TEXT,__text) external _LLVMCreateCoverageInstantiationGroupRangeForFile
00007ffc0a80757b (__TEXT,__text) external _LLVMCreateCoverageIterator
00007ffc0a806d7e (__TEXT,__text) external _LLVMCreateCoverageMappingAggregate
00007ffc0a806d6e (__TEXT,__text) external _LLVMCreateCoverageMappingAggregateForArch
00007ffc0a806d16 (__TEXT,__text) external _LLVMCreateCoverageMappingForArch
00007ffc0a804cb4 (__TEXT,__text) external _LLVMCreateCoverageSourceFileRange
00007ffc0a7467a0 (__TEXT,__text) external _LLVMCreateDIBuilder
00007ffc0a746768 (__TEXT,__text) external _LLVMCreateDIBuilderDisallowUnresolved
00007ffc0ae15927 (__TEXT,__text) external _LLVMCreateDisasm
00007ffc0ae158fd (__TEXT,__text) external _LLVMCreateDisasmCPU
00007ffc0ae15132 (__TEXT,__text) external _LLVMCreateDisasmCPUFeatures
00007ffc0a733a88 (__TEXT,__text) external _LLVMCreateEnumAttribute
00007ffc0b792c4f (__TEXT,__text) external _LLVMCreateFunctionPassManager
00007ffc0b792c1b (__TEXT,__text) external _LLVMCreateFunctionPassManagerForModule
