00007ffc131f3e5e (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc131e292b (__TEXT,__text) external _AAHeaderClone
00007ffc131e283e (__TEXT,__text) external _AAHeaderCreate
00007ffc131e2b99 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffc131e2be0 (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffc131e28e5 (__TEXT,__text) external _AAHeaderDestroy
00007ffc131e40d6 (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffc131e40cc (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffc131e272e (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffc131e26cf (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffc131e31a9 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffc131e27bb (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffc131e3099 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffc131e32b1 (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffc131e26d7 (__TEXT,__text) external _AAHeaderGetFieldType
00007ffc131e3014 (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffc131e2fdd (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffc131e40c2 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffc131e2c2c (__TEXT,__text) external _AAHeaderRemoveField
00007ffc131e3eb6 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffc131e33d3 (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffc131e3a69 (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffc131e382c (__TEXT,__text) external _AAHeaderSetFieldString
00007ffc131e3cbd (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffc131e3625 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffc131f9460 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamClose
00007ffc131f9382 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamOpen
00007ffc131f94a2 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamRead
00007ffc131f2bfb (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffc131a3a13 (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffc131a3dc5 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffc131a3c04 (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffc1318465c (__TEXT,__text) external _AAPathFilterAddRule
00007ffc13184b63 (__TEXT,__text) external _AAPathFilterApply
00007ffc13200246 (__TEXT,__text) non-external _AAPathFilterApply.cold.1
00007ffc132002e3 (__TEXT,__text) non-external _AAPathFilterApply.cold.2
00007ffc13184504 (__TEXT,__text) external _AAPathFilterCreate
00007ffc131845e1 (__TEXT,__text) external _AAPathFilterDestroy
00007ffc131d9a90 (__TEXT,__text) external _AAPathListCreate
00007ffc131d9c26 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffc131db428 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffc131d9bf7 (__TEXT,__text) external _AAPathListDestroy
00007ffc131db907 (__TEXT,__text) external _AAPathListGetNode
00007ffc131dba42 (__TEXT,__text) external _AAPathListMerge
00007ffc131dbb8c (__TEXT,__text) external _AAPathListNodeFirst
00007ffc131db7e4 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffc131dbba8 (__TEXT,__text) external _AAPathListNodeNext
00007ffc13198e7f (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffc131d3f40 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffc131ace32 (__TEXT,__text) external _AARangeInputStreamOpen
00007ffc1319ddde (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffc131f2a6e (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffc131f2eb6 (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffc131f2820 (__TEXT,__text) external _AATempFileStreamOpen
00007ffc131f282c (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffc131c0bc7 (__TEXT,__text) external _AATempStreamOpen
00007ffc131c0bd3 (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffc131d2b39 (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffc131d2b43 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffc13187f6c (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffc131832ca (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffc1318399c (__TEXT,__text) external _AEAAuthDataClear
00007ffc13182bdb (__TEXT,__text) external _AEAAuthDataCreate
00007ffc13182c9b (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffc13182c41 (__TEXT,__text) external _AEAAuthDataDestroy
00007ffc13183a7f (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffc13183a75 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffc13183196 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffc1318318e (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffc131839ad (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffc131836b3 (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffc131c56a3 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffc131c55ea (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffc1319cef9 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffc131c556e (__TEXT,__text) external _AEAContextDestroy
00007ffc131c61d1 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffc131c635f (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffc131c5aa0 (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffc131c59de (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffc131c5eb0 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffc131c62ff (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffc131c5cd0 (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffc1318a5a1 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffc1318a0f4 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffc1318a16d (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffc1318a05e (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffc13180981 (__TEXT,__text) external _AEADecryptAndExtract
00007ffc131cdedc (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffc131803f8 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffc131cf99e (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffc13178648 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffc1319585c (__TEXT,__text) external _AEADecryptInPlace
00007ffc1319f446 (__TEXT,__text) external _AEADecryptToFile
00007ffc131bfe15 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffc1319eea5 (__TEXT,__text) external _AEADecryptToFileChunk
00007ffc131c0b49 (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffc131fea46 (__TEXT,__text) external _AEADecryptToStream
00007ffc131fe1f4 (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffc13199749 (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffc1318bc69 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffc1317e2ba (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffc13195dcb (__TEXT,__text) external _AEAEncryptInPlace
00007ffc131908a4 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffc1318fafd (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffc13190103 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffc13195f67 (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffc1319689a (__TEXT,__text) external _AEAKeychainHasItem
00007ffc131966de (__TEXT,__text) external _AEAKeychainLoadItem
00007ffc131969a3 (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffc13196231 (__TEXT,__text) external _AEAKeychainStoreItem
00007ffc131876c0 (__TEXT,__text) external _AEAStreamSign
00007ffc131c2cc4 (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffc131bfb6a (__TEXT,__text) non-external _BXDiff5Data_free
00007ffc13193d19 (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffc131c2cd3 (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffc131a7331 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffc131a853c (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffc131a856b (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffc131a8806 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffc131a8810 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffc131a8819 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffc131a8823 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffc13194942 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffc13194ba4 (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffc13193d63 (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffc13194a5d (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffc131a5336 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffc131a529d (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffc131a51fb (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffc13199949 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffc13199921 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffc13199966 (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffc13199d3b (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffc131b032b (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffc131b02ce (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffc131b02e7 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffc131b2530 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffc131b251c (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffc131b2526 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffc13213ef0 (__TEXT,__const) non-external _CKSUMTable
00007ffc131f717d (__TEXT,__text) non-external _CompressionConsumerProc
00007ffc131f6f9d (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffc131f7e71 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffc131f70f3 (__TEXT,__text) non-external _CompressionWorkerProc
00007ffc1318af08 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffc1318ab9c (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffc1318b459 (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffc1318b6cd (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffc1318b26a (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffc1318b403 (__TEXT,__text) non-external _Digest_SHA256
00007ffc1319a102 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffc13199d4e (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffc13213c80 (__TEXT,__const) non-external _ECC65537_G
00007ffc131a5abf (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffc131a513c (__TEXT,__text) non-external _ForkOutputStreamCancel
00007ffc131a514d (__TEXT,__text) non-external _ForkOutputStreamClose
00007ffc131a4e1c (__TEXT,__text) non-external _ForkOutputStreamPWrite
00007ffc131a41a3 (__TEXT,__text) non-external _ForkOutputStreamWrite
00007ffc131c7857 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffc131c6cd7 (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffc13189ec0 (__TEXT,__text) non-external _HKDFDerive
00007ffc1318ba63 (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffc1318b9e6 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffc1318b920 (__TEXT,__text) non-external _HMACInit_SHA256
00007ffc1318b9a5 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffc1318bbb1 (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffc1319b22b (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffc1319afd6 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffc1319b125 (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffc1319b210 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffc1319af9c (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffc131a9ad2 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffc131a978a (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffc131a9a9b (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffc131a9bfa (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffc1319b23f (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffc1319b853 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffc1319b7ea (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffc1319b8d0 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffc131aa7f2 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffc131aa727 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffc131aa7e8 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffc131aa798 (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffc131a961c (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffc131c3e05 (__TEXT,__text) non-external _InSituStreamCancel
00007ffc131c39a0 (__TEXT,__text) non-external _InSituStreamClose
00007ffc131c3b4c (__TEXT,__text) non-external _InSituStreamPRead
00007ffc131c3c93 (__TEXT,__text) non-external _InSituStreamPWrite
00007ffc131c3e1f (__TEXT,__text) non-external _InSituStreamSimulate
00007ffc131c3e12 (__TEXT,__text) non-external _InSituTruncate
00007ffc131bccc3 (__TEXT,__text) non-external _IntervalStreamCancel
00007ffc131bccd0 (__TEXT,__text) non-external _IntervalStreamClose
00007ffc131bcc33 (__TEXT,__text) non-external _IntervalStreamPRead
00007ffc131bcc25 (__TEXT,__text) non-external _IntervalStreamRead
00007ffc131bcc89 (__TEXT,__text) non-external _IntervalStreamSeek
00007ffc131c6c0e (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffc131c64f0 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffc131a93ec (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffc131a93ab (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffc131a9608 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffc131a9612 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffc131a8e00 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007ffc131a8f85 (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
00007ffc131a8ef4 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007ffc131a9051 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
00007ffc131a90e0 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
00007ffc131a916c (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
00007ffc131a8f31 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
00007ffc131a8f1a (__TEXT,__text) non-external (was a private external) _MemBufferGetDataSize
00007ffc131a8f3f (__TEXT,__text) non-external (was a private external) _MemBufferGetFreePtr
