000000020c0bce38 (__TEXT,__text) external _AAAFSCGetMetadata
000000020c0bc214 (__TEXT,__text) external _AACustomByteStreamSetCloseProc
000000020c0bc20c (__TEXT,__text) external _AACustomByteStreamSetData
000000020c0bc224 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
000000020c0bc234 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
000000020c0bc21c (__TEXT,__text) external _AACustomByteStreamSetReadProc
000000020c0bc23c (__TEXT,__text) external _AACustomByteStreamSetSeekProc
000000020c0bc22c (__TEXT,__text) external _AACustomByteStreamSetWriteProc
000000020c0ba488 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
000000020c0bba6c (__TEXT,__text) external _AADecompressionInputStreamOpen
000000020c0c2cfc (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
000000020c0b86f0 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
000000020c0b1344 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
000000020c0b1f34 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
000000020c0b1f24 (__TEXT,__text) external _AAEntryACLBlobClear
000000020c0b1d78 (__TEXT,__text) external _AAEntryACLBlobCreate
000000020c0b1e64 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
000000020c0b1ec0 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
000000020c0b1dec (__TEXT,__text) external _AAEntryACLBlobDestroy
000000020c0b26dc (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
000000020c0b26d4 (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
000000020c0b209c (__TEXT,__text) external _AAEntryACLBlobGetEntry
000000020c0b2094 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
000000020c0b25d8 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
000000020c0b2298 (__TEXT,__text) external _AAEntryACLBlobSetEntry
000000020c0ae4fc (__TEXT,__text) external _AAEntryXATBlobAppendEntry
000000020c0aecf8 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
000000020c0aece8 (__TEXT,__text) external _AAEntryXATBlobClear
000000020c0aeb3c (__TEXT,__text) external _AAEntryXATBlobCreate
000000020c0aec28 (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
000000020c0aec84 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
000000020c0aebb0 (__TEXT,__text) external _AAEntryXATBlobDestroy
000000020c0af3b4 (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
000000020c0af3ac (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
000000020c0aee60 (__TEXT,__text) external _AAEntryXATBlobGetEntry
000000020c0aee58 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
000000020c0af2b0 (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
000000020c0aefb8 (__TEXT,__text) external _AAEntryXATBlobSetEntry
000000020c0b8490 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
000000020c0b82f4 (__TEXT,__text) external _AAEntryYECBlobCreate
000000020c0b83c0 (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
000000020c0b841c (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
000000020c0b8368 (__TEXT,__text) external _AAEntryYECBlobDestroy
000000020c0b86e8 (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
000000020c0b86e0 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
000000020c0a61e0 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
000000020c0a3864 (__TEXT,__text) external _AAFieldKeySetClear
000000020c0a372c (__TEXT,__text) external _AAFieldKeySetClone
000000020c0a3870 (__TEXT,__text) external _AAFieldKeySetContainsKey
000000020c0a3348 (__TEXT,__text) external _AAFieldKeySetCreate
000000020c0a33bc (__TEXT,__text) external _AAFieldKeySetCreateWithString
000000020c0a36e8 (__TEXT,__text) external _AAFieldKeySetDestroy
000000020c0a3f98 (__TEXT,__text) external _AAFieldKeySetGetKey
000000020c0a3f90 (__TEXT,__text) external _AAFieldKeySetGetKeyCount
000000020c0a3950 (__TEXT,__text) external _AAFieldKeySetInsertKey
000000020c0a3c6c (__TEXT,__text) external _AAFieldKeySetInsertKeySet
000000020c0a3b5c (__TEXT,__text) external _AAFieldKeySetRemoveKey
000000020c0a3e64 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
000000020c0a3f18 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
000000020c0a3fa4 (__TEXT,__text) external _AAFieldKeySetSerialize
000000020c0bb1c8 (__TEXT,__text) external _AAFileStreamOpenWithFD
000000020c0bb5a4 (__TEXT,__text) external _AAFileStreamOpenWithPath
000000020c0c4204 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
000000020c0ac4f0 (__TEXT,__text) external _AAHeaderAssign
000000020c0acab0 (__TEXT,__text) external _AAHeaderClear
000000020c0ac434 (__TEXT,__text) external _AAHeaderClone
000000020c0ac31c (__TEXT,__text) external _AAHeaderCreate
000000020c0ac6b4 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
000000020c0ac710 (__TEXT,__text) external _AAHeaderCreateWithPath
000000020c0ac3d0 (__TEXT,__text) external _AAHeaderDestroy
000000020c0add38 (__TEXT,__text) external _AAHeaderGetEncodedData
000000020c0add30 (__TEXT,__text) external _AAHeaderGetEncodedSize
000000020c0ac1c4 (__TEXT,__text) external _AAHeaderGetFieldBlob
000000020c0ac150 (__TEXT,__text) external _AAHeaderGetFieldCount
000000020c0accf8 (__TEXT,__text) external _AAHeaderGetFieldHash
000000020c0ac27c (__TEXT,__text) external _AAHeaderGetFieldKey
000000020c0acbcc (__TEXT,__text) external _AAHeaderGetFieldString
000000020c0ace58 (__TEXT,__text) external _AAHeaderGetFieldTimespec
000000020c0ac158 (__TEXT,__text) external _AAHeaderGetFieldType
000000020c0acb1c (__TEXT,__text) external _AAHeaderGetFieldUInt
000000020c0acae0 (__TEXT,__text) external _AAHeaderGetKeyIndex
000000020c0add28 (__TEXT,__text) external _AAHeaderGetPayloadSize
000000020c0ac774 (__TEXT,__text) external _AAHeaderRemoveField
000000020c0adb28 (__TEXT,__text) external _AAHeaderSetFieldBlob
000000020c0acfcc (__TEXT,__text) external _AAHeaderSetFieldFlag
000000020c0ad6bc (__TEXT,__text) external _AAHeaderSetFieldHash
000000020c0ad460 (__TEXT,__text) external _AAHeaderSetFieldString
000000020c0ad938 (__TEXT,__text) external _AAHeaderSetFieldTimespec
000000020c0ad248 (__TEXT,__text) external _AAHeaderSetFieldUInt
000000020c0bba74 (__TEXT,__text) external _AAMagicInputStreamOpen
000000020c076b78 (__TEXT,__text) external _AAMemoryInputStreamOpen
000000020c076fd4 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
000000020c076dd4 (__TEXT,__text) external _AAMemoryOutputStreamOpen
000000020c05c7dc (__TEXT,__text) external _AAPathFilterAddRule
000000020c05ccc8 (__TEXT,__text) external _AAPathFilterApply
000000020c05c668 (__TEXT,__text) external _AAPathFilterCreate
000000020c05c74c (__TEXT,__text) external _AAPathFilterDestroy
000000020c0a401c (__TEXT,__text) external _AAPathListCreate
000000020c0a41ec (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
000000020c0a582c (__TEXT,__text) external _AAPathListCreateWithPath
000000020c0a41a0 (__TEXT,__text) external _AAPathListDestroy
000000020c0a5d70 (__TEXT,__text) external _AAPathListGetNode
000000020c0a5eb0 (__TEXT,__text) external _AAPathListMerge
000000020c0a602c (__TEXT,__text) external _AAPathListNodeFirst
000000020c0a5bf0 (__TEXT,__text) external _AAPathListNodeGetPath
000000020c0a603c (__TEXT,__text) external _AAPathListNodeNext
000000020c06d778 (__TEXT,__text) external _AARandomAccessByteStreamProcess
000000020c09eba4 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
000000020c07ed68 (__TEXT,__text) external _AARangeInputStreamOpen
000000020c071344 (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
000000020c0bb8a4 (__TEXT,__text) external _AASharedBufferPipeOpen
000000020c0bbd78 (__TEXT,__text) external _AATeeOutputStreamOpen
000000020c0bb62c (__TEXT,__text) external _AATempFileStreamOpen
000000020c0bb634 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
000000020c08e00c (__TEXT,__text) external _AATempStreamOpen
000000020c08e014 (__TEXT,__text) external _AATempStreamOpenWithDirectory
000000020c09db70 (__TEXT,__text) external _AAThreadErrorContextEnter
000000020c09db74 (__TEXT,__text) external _AAThreadErrorContextLeave
000000020c05fea8 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
000000020c05bd30 (__TEXT,__text) external _AEAAuthDataAppendEntry
000000020c05c37c (__TEXT,__text) external _AEAAuthDataClear
000000020c05b64c (__TEXT,__text) external _AEAAuthDataCreate
000000020c05b738 (__TEXT,__text) external _AEAAuthDataCreateWithContext
000000020c05b6c0 (__TEXT,__text) external _AEAAuthDataDestroy
000000020c05c490 (__TEXT,__text) external _AEAAuthDataGetEncodedData
000000020c05c488 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
000000020c05bbd8 (__TEXT,__text) external _AEAAuthDataGetEntry
000000020c05bbd0 (__TEXT,__text) external _AEAAuthDataGetEntryCount
000000020c05c38c (__TEXT,__text) external _AEAAuthDataRemoveEntry
000000020c05c084 (__TEXT,__text) external _AEAAuthDataSetEntry
000000020c091dec (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
000000020c091d24 (__TEXT,__text) external _AEAContextCreateWithProfile
000000020c070350 (__TEXT,__text) external _AEAContextDecryptAttributes
000000020c091c8c (__TEXT,__text) external _AEAContextDestroy
000000020c092990 (__TEXT,__text) external _AEAContextGenerateFieldBlob
000000020c092b40 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
000000020c0921c0 (__TEXT,__text) external _AEAContextGetFieldBlob
000000020c0920cc (__TEXT,__text) external _AEAContextGetFieldUInt
000000020c092624 (__TEXT,__text) external _AEAContextSetFieldBlob
000000020c092acc (__TEXT,__text) external _AEAContextSetFieldCallback
000000020c09242c (__TEXT,__text) external _AEAContextSetFieldUInt
000000020c062520 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
000000020c0620a4 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
000000020c062144 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
000000020c061ff0 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
000000020c059530 (__TEXT,__text) external _AEADecryptAndExtract
000000020c099218 (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
000000020c058fe8 (__TEXT,__text) external _AEADecryptAndExtractChunk
000000020c09aa60 (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
000000020c051b4c (__TEXT,__text) external _AEADecryptAsyncStreamOpen
000000020c06c338 (__TEXT,__text) external _AEADecryptInPlace
000000020c072848 (__TEXT,__text) external _AEADecryptToFile
000000020c08d30c (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
000000020c0722e8 (__TEXT,__text) external _AEADecryptToFileChunk
000000020c08df6c (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
000000020c0c6c9c (__TEXT,__text) external _AEADecryptToStream
000000020c0c6458 (__TEXT,__text) external _AEADecryptToStreamChunk
000000020c06e030 (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
000000020c063bfc (__TEXT,__text) external _AEADecryptionInputStreamOpen
000000020c056f34 (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
000000020c06c8e0 (__TEXT,__text) external _AEAEncryptInPlace
000000020c06781c (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
000000020c066bc0 (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
000000020c067184 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
000000020c06caac (__TEXT,__text) external _AEAKeychainGenerateItem
000000020c06d3e4 (__TEXT,__text) external _AEAKeychainHasItem
000000020c06d220 (__TEXT,__text) external _AEAKeychainLoadItem
000000020c06d4fc (__TEXT,__text) external _AEAKeychainRemoveItem
000000020c06cd5c (__TEXT,__text) external _AEAKeychainStoreItem
000000020c05f678 (__TEXT,__text) external _AEAStreamSign
000000020c090224 (__TEXT,__text) non-external (was a private external) _BXDiff5
000000020c06a92c (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
000000020c090230 (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
000000020c079064 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
000000020c07a18c (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
000000020c07a1d8 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
000000020c07a500 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
000000020c07a508 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
000000020c07a510 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
000000020c07a518 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
000000020c06b4dc (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
000000020c06b798 (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
000000020c06a990 (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
000000020c06b628 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
000000020c0771d8 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
000000020c077138 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
000000020c07708c (__TEXT,__text) non-external (was a private external) _BlobBufferStore
000000020c06e238 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
000000020c06e1fc (__TEXT,__text) non-external _BlockDecryptionStreamClose
000000020c06e25c (__TEXT,__text) non-external _BlockDecryptionStreamPRead
000000020c06e5fc (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
000000020c082114 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
000000020c0820b4 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
000000020c0820c4 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
000000020c084214 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
000000020c08420c (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
000000020c084210 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
000000020c0dad3c (__TEXT,__const) non-external _CKSUMTable
000000020c0c0000 (__TEXT,__text) non-external _CompressionConsumerProc
000000020c0bfe3c (__TEXT,__text) non-external _CompressionWorkerDataCreate
000000020c0c0d60 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
000000020c0bff68 (__TEXT,__text) non-external _CompressionWorkerProc
000000020c062e70 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
000000020c062af0 (__TEXT,__text) non-external _DHESender_ECDHE_P256
000000020c0633d4 (__TEXT,__text) non-external _DSASign_ECDSA_P256
000000020c063638 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
000000020c0631b8 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
000000020c063358 (__TEXT,__text) non-external _Digest_SHA256
000000020c06e888 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
000000020c06e608 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
000000020c0dac40 (__TEXT,__const) non-external _ECC65537_G
000000020c077998 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
000000020c093e34 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
000000020c0933dc (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
000000020c061e50 (__TEXT,__text) non-external _HKDFDerive
000000020c0639d0 (__TEXT,__text) non-external _HMACDerive_SHA256
000000020c063958 (__TEXT,__text) non-external _HMACFinal_SHA256
000000020c0638a0 (__TEXT,__text) non-external _HMACInit_SHA256
000000020c06392c (__TEXT,__text) non-external _HMACUpdate_SHA256
000000020c063af4 (__TEXT,__text) non-external _HMACVerify_SHA256
000000020c06f788 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
000000020c06f538 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
000000020c06f684 (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
000000020c06f774 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
000000020c06f4f0 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
000000020c07b9b0 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
000000020c07b5e4 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
000000020c07b958 (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
000000020c07bad4 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
000000020c06f798 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
000000020c06fdb8 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
000000020c06fd28 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
000000020c06fe54 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
000000020c07c7e4 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
000000020c07c700 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
000000020c07c7e0 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
000000020c07c76c (__TEXT,__text) non-external (was a private external) _IMemStreamRead
000000020c07b40c (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
000000020c0932ec (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
000000020c092cbc (__TEXT,__text) non-external (was a private external) _LargeFileWorker
000000020c07b1d0 (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
000000020c07b16c (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
000000020c07b3fc (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
000000020c07b404 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
000000020c07aac8 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
000000020c07ac8c (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
000000020c07abd8 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
000000020c07ad88 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
000000020c07ae3c (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
000000020c07aef8 (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
000000020c07ac30 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
000000020c07ac1c (__TEXT,__text) non-external (was a private external) _MemBufferGetDataSize
000000020c07ac40 (__TEXT,__text) non-external (was a private external) _MemBufferGetFreePtr
000000020c07ac24 (__TEXT,__text) non-external (was a private external) _MemBufferGetFreeSize
000000020c07ab5c (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseCapacity
000000020c07ad10 (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseSize
000000020c07afd8 (__TEXT,__text) non-external (was a private external) _MemBufferTransmit
000000020c07be14 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamCreate
000000020c07c0d4 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroy
000000020c07c0e4 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroyEx
000000020c07c2f0 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamWrite
000000020c07c7f4 (__TEXT,__text) non-external (was a private external) _OBufferedStreamCreate
000000020c07c8d0 (__TEXT,__text) non-external (was a private external) _OBufferedStreamDestroy
000000020c07c928 (__TEXT,__text) non-external (was a private external) _OBufferedStreamWrite
000000020c0787d0 (__TEXT,__text) non-external (was a private external) _OECCStreamCreate
000000020c0789d4 (__TEXT,__text) non-external (was a private external) _OECCStreamDestroy
000000020c078a20 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataPtr
000000020c078a38 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataSize
000000020c078a50 (__TEXT,__text) non-external (was a private external) _OECCStreamWrite
000000020c07bc10 (__TEXT,__text) non-external (was a private external) _OFileStreamCreateWithFilename
000000020c07bcf0 (__TEXT,__text) non-external (was a private external) _OFileStreamDestroy
000000020c07bd40 (__TEXT,__text) non-external (was a private external) _OFileStreamWrite
000000020c07c61c (__TEXT,__text) non-external (was a private external) _OMemStreamCreate
000000020c07c6fc (__TEXT,__text) non-external (was a private external) _OMemStreamDestroy
000000020c07c688 (__TEXT,__text) non-external (was a private external) _OMemStreamGetNWritten
000000020c07c690 (__TEXT,__text) non-external (was a private external) _OMemStreamWrite
