00007ff80d2cc841 (__TEXT,__const) non-external _KW_ANY
00007ff80d2c02fa (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80d2c07dd (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80d2be340 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80d2be420 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80d2bfc6b (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80d2bfc1f (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80d2bfb6f (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80d2bfae4 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80d2b8954 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80d2cc65d (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80d2ba58b (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80d2cc680 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff80d2ba603 (__TEXT,__text) non-external _accountingReportStats
00007ff80d2bcf54 (__TEXT,__text) non-external _addBinding
00007ff80d2cdc80 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff80d2cdcb0 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff80d2bd438 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff8408dc078 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff8408dc9c8 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff80d2c8653 (__TEXT,__text) non-external _ascii_toUtf8
00007ff80d2be925 (__TEXT,__text) non-external _attlist0
00007ff80d2bf024 (__TEXT,__text) non-external _attlist1
00007ff80d2bf094 (__TEXT,__text) non-external _attlist2
00007ff8408db150 (__DATA_CONST,__const) non-external _attlist2.types
00007ff80d2bf2b8 (__TEXT,__text) non-external _attlist3
00007ff80d2bf3e6 (__TEXT,__text) non-external _attlist4
00007ff80d2bf272 (__TEXT,__text) non-external _attlist5
00007ff80d2bf34c (__TEXT,__text) non-external _attlist6
00007ff80d2bf392 (__TEXT,__text) non-external _attlist7
00007ff80d2bf17f (__TEXT,__text) non-external _attlist8
00007ff80d2bf306 (__TEXT,__text) non-external _attlist9
00007ff80d2ca8e8 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff80d2ca4f8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff80d2cb00c (__TEXT,__text) non-external _big2_charRefNumber
00007ff80d2cbeb4 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff80d2c9278 (__TEXT,__text) non-external _big2_contentTok
00007ff8408dbcd8 (__DATA_CONST,__const) non-external _big2_encoding
00007ff8408dc628 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff80d2caa20 (__TEXT,__text) non-external _big2_entityValueTok
00007ff80d2cac50 (__TEXT,__text) non-external _big2_getAtts
00007ff80d2ca758 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff80d2cb29c (__TEXT,__text) non-external _big2_isPublicId
00007ff80d2caba1 (__TEXT,__text) non-external _big2_nameLength
00007ff80d2cab5c (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff80d2cb0c7 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff80d2c868a (__TEXT,__text) non-external _big2_prologTok
00007ff80d2ccf83 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff80d2cbd54 (__TEXT,__text) non-external _big2_scanComment
00007ff80d2cb55a (__TEXT,__text) non-external _big2_scanLit
00007ff80d2cbae8 (__TEXT,__text) non-external _big2_scanPercent
00007ff80d2cb688 (__TEXT,__text) non-external _big2_scanPi
00007ff80d2cbf33 (__TEXT,__text) non-external _big2_scanRef
00007ff80d2cac16 (__TEXT,__text) non-external _big2_skipS
00007ff80d2cb4e5 (__TEXT,__text) non-external _big2_toUtf16
00007ff80d2cb327 (__TEXT,__text) non-external _big2_toUtf8
00007ff80d2cb1cb (__TEXT,__text) non-external _big2_updatePosition
00007ff80d2bcd8c (__TEXT,__text) non-external _cdataSectionProcessor
00007ff80d2bff41 (__TEXT,__text) non-external _checkCharRefNumber
00007ff80d2bed99 (__TEXT,__text) non-external _condSect0
00007ff80d2bee3c (__TEXT,__text) non-external _condSect1
00007ff80d2bee7c (__TEXT,__text) non-external _condSect2
00007ff80d2b92c8 (__TEXT,__text) non-external _contentProcessor
00007ff80d2be11f (__TEXT,__text) non-external _copyEntityTable
00007ff80d2b4a03 (__TEXT,__text) non-external _copyString
00007ff80d2bec9c (__TEXT,__text) non-external _declClose
00007ff80d2b9669 (__TEXT,__text) non-external _defineAttribute
00007ff80d2bcadc (__TEXT,__text) non-external _doCdataSection
00007ff80d2ba908 (__TEXT,__text) non-external _doContent
00007ff80d2b9e50 (__TEXT,__text) non-external _doIgnoreSection
00007ff80d2c033b (__TEXT,__text) non-external _doParseXmlDecl
00007ff80d2b6970 (__TEXT,__text) non-external _doProlog
00007ff80d2cc742 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff80d2cc75f (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff80d2cc758 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff80d2cc748 (__TEXT,__const) non-external _doProlog.atypeID
00007ff80d2cc74b (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff80d2cc751 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff80d2cc768 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff80d2cc770 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff80d2cc63a (__TEXT,__text) non-external _doProlog.cold.1
00007ff80d2cdb6b (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff80d2cdb6d (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff80d2cdb61 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff80d2be514 (__TEXT,__text) non-external _doctype0
00007ff80d2be567 (__TEXT,__text) non-external _doctype1
00007ff80d2be886 (__TEXT,__text) non-external _doctype2
00007ff80d2be840 (__TEXT,__text) non-external _doctype3
00007ff80d2bfa88 (__TEXT,__text) non-external _doctype4
00007ff80d2be9fe (__TEXT,__text) non-external _doctype5
00007ff80d2be970 (__TEXT,__text) non-external _element0
00007ff80d2bf43a (__TEXT,__text) non-external _element1
00007ff80d2bf50c (__TEXT,__text) non-external _element2
00007ff80d2bf60c (__TEXT,__text) non-external _element3
00007ff80d2bf830 (__TEXT,__text) non-external _element4
00007ff80d2bf87b (__TEXT,__text) non-external _element5
00007ff80d2bf68b (__TEXT,__text) non-external _element6
00007ff80d2bf75c (__TEXT,__text) non-external _element7
00007ff8408dbad0 (__DATA_CONST,__const) non-external _encodings
00007ff8408dc250 (__DATA_CONST,__const) non-external _encodingsNS
00007ff80d2be8cc (__TEXT,__text) non-external _entity0
00007ff80d2bea44 (__TEXT,__text) non-external _entity1
00007ff80d2bece9 (__TEXT,__text) non-external _entity10
00007ff80d2bea8a (__TEXT,__text) non-external _entity2
00007ff80d2bef05 (__TEXT,__text) non-external _entity3
00007ff80d2beebf (__TEXT,__text) non-external _entity4
00007ff80d2bef4b (__TEXT,__text) non-external _entity5
00007ff80d2befd6 (__TEXT,__text) non-external _entity6
00007ff80d2beb4d (__TEXT,__text) non-external _entity7
00007ff80d2bec56 (__TEXT,__text) non-external _entity8
00007ff80d2bec10 (__TEXT,__text) non-external _entity9
00007ff80d2ba329 (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff80d2bdad8 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff80d2cc6a3 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff80d2bdda0 (__TEXT,__text) non-external _entityValueInitProcessor
00007ff80d2be046 (__TEXT,__text) non-external _entityValueProcessor
00007ff80d2bc902 (__TEXT,__text) non-external _epilogProcessor
00007ff80d2be55f (__TEXT,__text) non-external _error
00007ff80d2b5e22 (__TEXT,__text) non-external _errorProcessor
00007ff80d2bd3d4 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff80d2b56ec (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff80d2bdbce (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff80d2bdcc4 (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff80d2b573c (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff80d2bdf45 (__TEXT,__text) non-external _externalParEntProcessor
00007ff80d2be438 (__TEXT,__text) non-external _externalSubset0
00007ff80d2bed3e (__TEXT,__text) non-external _externalSubset1
00007ff80d2c0613 (__TEXT,__text) non-external _findEncoding
00007ff80d2c081e (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80d2bc8aa (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff80d2b93a9 (__TEXT,__text) non-external _getAttributeId
00007ff80d2b672a (__TEXT,__text) non-external _getDebugLevel
00007ff80d2b931d (__TEXT,__text) non-external _getElementType
00007ff80d2c0254 (__TEXT,__text) non-external _getEncodingIndex
00007ff8408dbaa0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff80d2b6853 (__TEXT,__text) non-external _handleUnknownEncoding
00007ff80d2ba667 (__TEXT,__text) non-external _hash
00007ff80d2be0e7 (__TEXT,__text) non-external _hashTableDestroy
00007ff80d2b9fd0 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff80d2cc780 (__TEXT,__const) non-external _implicitContext
00007ff80d2c848e (__TEXT,__text) non-external _initScan
00007ff80d2c02c7 (__TEXT,__text) non-external _initScanContent
00007ff80d2c07bb (__TEXT,__text) non-external _initScanContentNS
00007ff80d2c02a8 (__TEXT,__text) non-external _initScanProlog
00007ff80d2c079c (__TEXT,__text) non-external _initScanPrologNS
00007ff80d2c02e9 (__TEXT,__text) non-external _initUpdatePosition
00007ff80d2b6789 (__TEXT,__text) non-external _initializeEncoding
00007ff80d2bd8c0 (__TEXT,__text) non-external _internalEntityProcessor
00007ff80d2be640 (__TEXT,__text) non-external _internalSubset
00007ff8408db530 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff8408db8d0 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff8408db360 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff8408db700 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff80d2c471f (__TEXT,__text) non-external _isNever
00007ff8408db190 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff8408dc288 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff80d2c374a (__TEXT,__text) non-external _latin1_toUtf16
00007ff80d2c36c8 (__TEXT,__text) non-external _latin1_toUtf8
00007ff80d2c6aa4 (__TEXT,__text) non-external _little2_attributeValueTok
00007ff80d2c66b8 (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff80d2c71c8 (__TEXT,__text) non-external _little2_charRefNumber
00007ff80d2c8058 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff80d2c5478 (__TEXT,__text) non-external _little2_contentTok
00007ff8408dbea8 (__DATA_CONST,__const) non-external _little2_encoding
00007ff8408dc7f8 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff80d2c6bdc (__TEXT,__text) non-external _little2_entityValueTok
00007ff80d2c6e0b (__TEXT,__text) non-external _little2_getAtts
00007ff80d2c6914 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff80d2c7454 (__TEXT,__text) non-external _little2_isPublicId
00007ff80d2c6d5d (__TEXT,__text) non-external _little2_nameLength
00007ff80d2c6d18 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff80d2c727f (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff80d2c4898 (__TEXT,__text) non-external _little2_prologTok
00007ff80d2c7efc (__TEXT,__text) non-external _little2_scanComment
00007ff80d2c770e (__TEXT,__text) non-external _little2_scanLit
00007ff80d2c7c98 (__TEXT,__text) non-external _little2_scanPercent
00007ff80d2c783c (__TEXT,__text) non-external _little2_scanPi
00007ff80d2c80d7 (__TEXT,__text) non-external _little2_scanRef
00007ff80d2c6dd1 (__TEXT,__text) non-external _little2_skipS
00007ff80d2c769d (__TEXT,__text) non-external _little2_toUtf16
00007ff80d2c74df (__TEXT,__text) non-external _little2_toUtf8
00007ff80d2c7383 (__TEXT,__text) non-external _little2_updatePosition
00007ff80d2b8f42 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff80d2cce50 (__TEXT,__const) non-external _namePages
00007ff80d2cc850 (__TEXT,__const) non-external _namingBitmap
00007ff80d2ba04c (__TEXT,__text) non-external _nextScaffoldPart
00007ff80d2ccd50 (__TEXT,__const) non-external _nmstrtPages
00007ff80d2c2e88 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff80d2c2a30 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff80d2c3444 (__TEXT,__text) non-external _normal_charRefNumber
00007ff80d2c412c (__TEXT,__text) non-external _normal_checkPiTarget
00007ff80d2c1634 (__TEXT,__text) non-external _normal_contentTok
00007ff80d2c2fc0 (__TEXT,__text) non-external _normal_entityValueTok
00007ff80d2c3173 (__TEXT,__text) non-external _normal_getAtts
00007ff80d2c2ce8 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff80d2c3648 (__TEXT,__text) non-external _normal_isPublicId
00007ff80d2c310c (__TEXT,__text) non-external _normal_nameLength
00007ff80d2c30d0 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff80d2c34fc (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff80d2c094c (__TEXT,__text) non-external _normal_prologTok
00007ff80d2c3fa0 (__TEXT,__text) non-external _normal_scanComment
00007ff80d2c378e (__TEXT,__text) non-external _normal_scanLit
00007ff80d2c3d0c (__TEXT,__text) non-external _normal_scanPercent
00007ff80d2c38f4 (__TEXT,__text) non-external _normal_scanPi
00007ff80d2c4197 (__TEXT,__text) non-external _normal_scanRef
00007ff80d2c3149 (__TEXT,__text) non-external _normal_skipS
00007ff80d2c358e (__TEXT,__text) non-external _normal_updatePosition
00007ff80d2bdb8b (__TEXT,__text) non-external _normalizeLines
00007ff80d2b9265 (__TEXT,__text) non-external _normalizePublicId
00007ff80d2be9bb (__TEXT,__text) non-external _notation0
00007ff80d2bf8d8 (__TEXT,__text) non-external _notation1
00007ff80d2bf9cf (__TEXT,__text) non-external _notation2
00007ff80d2bf981 (__TEXT,__text) non-external _notation3
00007ff80d2bfa15 (__TEXT,__text) non-external _notation4
00007ff80d2cc280 (__TEXT,__text) non-external _parsePseudoAttribute
00007ff80d2b40ce (__TEXT,__text) non-external _parserCreate
00007ff80d2b47d5 (__TEXT,__text) non-external _parserInit
00007ff80d2b95f7 (__TEXT,__text) non-external _poolAppend
00007ff80d2b58d3 (__TEXT,__text) non-external _poolCopyString
00007ff80d2b57ca (__TEXT,__text) non-external _poolDestroy
00007ff80d2b977c (__TEXT,__text) non-external _poolGrow
00007ff80d2b8efb (__TEXT,__text) non-external _poolStoreString
00007ff80d2ba17a (__TEXT,__text) non-external _processInternalEntity
00007ff80d2b8b79 (__TEXT,__text) non-external _processXmlDecl
00007ff80d2be365 (__TEXT,__text) non-external _prolog0
00007ff80d2be458 (__TEXT,__text) non-external _prolog1
00007ff80d2be7b8 (__TEXT,__text) non-external _prolog2
00007ff80d2b66da (__TEXT,__text) non-external _prologInitProcessor
00007ff80d2b67e4 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff80d2ba4c0 (__TEXT,__text) non-external _reportComment
00007ff80d2b651d (__TEXT,__text) non-external _reportDefault
00007ff80d2ba374 (__TEXT,__text) non-external _reportProcessingInstruction
00007ff80d2b51b1 (__TEXT,__text) non-external _setContext
00007ff80d2bce42 (__TEXT,__text) non-external _setElementTypePrefix
00007ff80d2ba7c3 (__TEXT,__text) non-external _sip24_final
00007ff80d2ba72b (__TEXT,__text) non-external _sip24_update
00007ff80d2ba8ac (__TEXT,__text) non-external _sip_round
00007ff80d2b5d89 (__TEXT,__text) non-external _startParsing
00007ff80d2b9946 (__TEXT,__text) non-external _storeAttributeValue
00007ff80d2bbbac (__TEXT,__text) non-external _storeAtts
00007ff80d2b99b5 (__TEXT,__text) non-external _storeEntityValue
00007ff80d2bbad0 (__TEXT,__text) non-external _storeRawNames
00007ff80d2c842c (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff80d2b6697 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff80d2b66ac (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff80d2c0030 (__TEXT,__text) non-external _unknown_isInvalid
00007ff80d2bff8e (__TEXT,__text) non-external _unknown_isName
00007ff80d2bffdf (__TEXT,__text) non-external _unknown_isNmstrt
00007ff80d2c0144 (__TEXT,__text) non-external _unknown_toUtf16
00007ff80d2c005d (__TEXT,__text) non-external _unknown_toUtf8
00007ff80d2b66c1 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff8408dbb08 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff8408dc458 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff80d2c47bf (__TEXT,__text) non-external _utf8_isInvalid2
00007ff80d2c47de (__TEXT,__text) non-external _utf8_isInvalid3
00007ff80d2c4845 (__TEXT,__text) non-external _utf8_isInvalid4
00007ff80d2c4687 (__TEXT,__text) non-external _utf8_isName2
00007ff80d2c46cd (__TEXT,__text) non-external _utf8_isName3
00007ff80d2c4727 (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff80d2c476d (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff80d2c4527 (__TEXT,__text) non-external _utf8_toUtf16
00007ff80d2c4491 (__TEXT,__text) non-external _utf8_toUtf8
