00007ff909279215 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90927b5c3 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00007ff90927b61d (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00007ff90927b651 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00007ff90927b685 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00007ff909272e62 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00007ff90927b913 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00007ff90927b993 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00007ff909272d3e (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00007ff90927b829 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00007ff90927b8a9 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00007ff909278281 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00007ff90927be59 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00007ff90927beb3 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00007ff90926ccb0 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90926cdd8 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00007ff90926b4c4 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00007ff90926658d (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00007ff909279ba3 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00007ff909266236 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00007ff90927217e (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00007ff90926d47c (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00007ff909264a2d (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00007ff90926c7ec (__TEXT,__text) non-external +[SPLog exec]
00007ff90926cab6 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00007ff90926c734 (__TEXT,__text) non-external +[SPLog generic]
00007ff90926c790 (__TEXT,__text) non-external +[SPLog kext]
00007ff90926c848 (__TEXT,__text) non-external +[SPLog measurements]
00007ff90926c900 (__TEXT,__text) non-external +[SPLog sampling]
00007ff90926caaa (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00007ff90926c8a4 (__TEXT,__text) non-external +[SPLog signposts]
00007ff90926c95c (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00007ff9092753e9 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00007ff909274c35 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00007ff909273d9a (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00007ff90927bb21 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00007ff909273bd6 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00007ff909273bb8 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00007ff909274218 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00007ff909273d57 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00007ff909273bf4 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00007ff909277a80 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00007ff909265c78 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00007ff909265b9e (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00007ff909265a39 (__TEXT,__text) non-external -[AKELData initWithURL:]
00007ff90926587e (__TEXT,__text) non-external -[AKELData init]
00007ff909265c3f (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00007ff909265b65 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00007ff909265624 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00007ff909265b4f (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00007ff90927946e (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00007ff9092793e6 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00007ff909279494 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00007ff909279480 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00007ff909279438 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00007ff90927948a (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00007ff90926b12d (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00007ff90926a83b (__TEXT,__text) non-external -[BundleData dealloc]
00007ff90927ac6e (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00007ff90926ad48 (__TEXT,__text) non-external -[BundleData doReload]
00007ff90926b0e9 (__TEXT,__text) non-external -[BundleData forceReload]
00007ff90926a8d6 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00007ff90926a82d (__TEXT,__text) non-external -[BundleData init]
00007ff90926b105 (__TEXT,__text) non-external -[BundleData isSigned]
00007ff90926ad84 (__TEXT,__text) non-external -[BundleData loadInternalData:]
00007ff90926b087 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00007ff90926aa3d (__TEXT,__text) non-external -[BundleData setupFSStream]
00007ff90927accc (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00007ff90927ad29 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00007ff90926b123 (__TEXT,__text) non-external -[BundleData timestamp]
00007ff90926b0fb (__TEXT,__text) non-external -[BundleData url]
00007ff90926b119 (__TEXT,__text) non-external -[BundleData versionNumber]
00007ff90926b10f (__TEXT,__text) non-external -[BundleData version]
00007ff909278fd5 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00007ff909278fa7 (__TEXT,__text) non-external -[GKScanResult allowed]
00007ff909278f13 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00007ff909278fba (__TEXT,__text) non-external -[GKScanResult gkError]
00007ff909278e62 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00007ff909278fb1 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00007ff909278fc4 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00007ff909278457 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00007ff909266b42 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00007ff909266af8 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00007ff909266add (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00007ff909266aa7 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00007ff909266ac2 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00007ff909266b27 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00007ff909266b02 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00007ff909266ae7 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00007ff909266ab1 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00007ff909266acc (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00007ff909266b31 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00007ff909266b1d (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00007ff909266b13 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00007ff909277961 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00007ff90927782e (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00007ff909276bf7 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00007ff909276c9b (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00007ff909277037 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00007ff9092770ec (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00007ff909276f57 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00007ff909277860 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00007ff909276295 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00007ff909277567 (__TEXT,__text) non-external -[PolicyScanTarget description]
00007ff909276ec5 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00007ff909277842 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00007ff9092777a6 (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00007ff909276d92 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00007ff9092762fe (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00007ff90927bbaf (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00007ff90927bc1a (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00007ff90927bc95 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00007ff90927bcc8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00007ff90927bcfb (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00007ff90927bd76 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00007ff909276287 (__TEXT,__text) non-external -[PolicyScanTarget init]
00007ff909277873 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00007ff9092778bf (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00007ff909277906 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00007ff909277392 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00007ff90927bdff (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00007ff909277899 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00007ff909277316 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00007ff9092778a6 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00007ff909277354 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00007ff909276b68 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00007ff909277856 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00007ff9092778fc (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00007ff909277838 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00007ff909277810 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00007ff909277824 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00007ff9092778e4 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00007ff90927744f (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00007ff9092775f7 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00007ff90927786a (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00007ff9092778d8 (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00007ff9092778cc (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00007ff909277913 (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00007ff9092778b3 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00007ff9092778f0 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00007ff90927792c (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00007ff90927788d (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00007ff90927794d (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00007ff909277261 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00007ff909276e94 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00007ff909276dbc (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00007ff9092771ac (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00007ff909277633 (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00007ff90927791f (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00007ff909277880 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00007ff909277806 (__TEXT,__text) non-external -[PolicyScanTarget url]
00007ff909277940 (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00007ff90927784c (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00007ff90927781a (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00007ff909264791 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00007ff9092642c1 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00007ff909264776 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00007ff90926475b (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00007ff909264533 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00007ff909264454 (__TEXT,__text) non-external -[ProvenanceEntry description]
00007ff9092646d4 (__TEXT,__text) non-external -[ProvenanceEntry flags]
00007ff90926434b (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00007ff9092646ef (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00007ff909264780 (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00007ff909264765 (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00007ff9092646de (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00007ff9092646f9 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00007ff90926474a (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00007ff90926472f (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00007ff9092646c3 (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00007ff909264714 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00007ff909264740 (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00007ff909264725 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00007ff9092646b9 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00007ff90926470a (__TEXT,__text) non-external -[ProvenanceEntry url]
00007ff909279a6f (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00007ff909279a01 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00007ff9092798d7 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00007ff909279806 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00007ff909279919 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00007ff9092799d7 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00007ff909279a5c (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00007ff909279a51 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00007ff909279945 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00007ff909279a64 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00007ff90926d225 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00007ff90926d1fd (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00007ff90926d211 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00007ff90926cfed (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00007ff90926d1d5 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00007ff90926cde3 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00007ff90926cb06 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90926caf8 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00007ff90926d21b (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00007ff90926d1df (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00007ff90926d207 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00007ff90926d1e9 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00007ff90926d1f3 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00007ff90927029c (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00007ff90926f73d (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00007ff90926f654 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00007ff9092701e1 (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00007ff90926f5ef (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00007ff90926f33f (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00007ff90926f0c5 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00007ff90926f24f (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00007ff90926f91a (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00007ff90926fdb2 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00007ff90927009b (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00007ff90926fbae (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00007ff90926f04a (__TEXT,__text) non-external -[SPExecutionPolicy init]
00007ff90926fa03 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00007ff90926fe9d (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00007ff909270126 (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00007ff90926f5e2 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00007ff90926fef7 (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00007ff90926f10f (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00007ff90926f107 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00007ff90926f826 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00007ff90926fe83 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00007ff90926fc69 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00007ff90926ffe0 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00007ff90926f125 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00007ff90926faec (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00007ff90926c3ec (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00007ff90926b9f2 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00007ff90927ad5d (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00007ff90927ad91 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00007ff90927adc5 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00007ff90927ae1f (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00007ff90927aeb8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00007ff90927af51 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00007ff90927afd8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00007ff90926c4e0 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00007ff90926b9a9 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00007ff90926b99f (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00007ff90926b977 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00007ff90926b71e (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00007ff90926b4cf (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00007ff90926b3a5 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00007ff90926b397 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00007ff90926b959 (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00007ff90926b995 (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00007ff90926b981 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00007ff90926b98b (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00007ff90926b963 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00007ff90926b96d (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00007ff90927625f (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00007ff909275f79 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00007ff909275f37 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00007ff909275e4c (__TEXT,__text) non-external -[SPInstallationPolicy init]
00007ff9092760db (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00007ff9092760ac (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00007ff90926d454 (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00007ff90926d3e6 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00007ff90926d28f (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00007ff90926d428 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00007ff909272585 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00007ff909272535 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00007ff909272549 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00007ff909272358 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00007ff909272189 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00007ff909272001 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00007ff909271ff3 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00007ff909272571 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00007ff90927255d (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00007ff909272553 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00007ff909272567 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00007ff90927257b (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00007ff90927252b (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00007ff90927253f (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00007ff90926e51e (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00007ff90926debe (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00007ff90926d94d (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00007ff90926da12 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00007ff90926d90f (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00007ff90926d901 (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00007ff90926de66 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00007ff90926e514 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00007ff90926d8bf (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00007ff90926e2ca (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00007ff90926d570 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00007ff90926db9c (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00007ff90926e122 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00007ff90926e205 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
