00007ff8400b8d80 (__DATA,__data) external _NDR_record
00007ff800bbfe44 (__TEXT,__text) external ___kdebug_trace_string
00007ff800bbfe5c (__TEXT,__text) external ___kdebug_typefilter
00007ff800be8f08 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800be8ed0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff800bbfe74 (__TEXT,__text) external ___kill
00007ff800bbfe8c (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff800bbfea4 (__TEXT,__text) external ___lchown
00007ff800bc2456 (__TEXT,__text) external ___libkernel_init
00007ff800bc2489 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff800bc2488 (__TEXT,__text) external ___libkernel_init_late
00007ff800bc22e3 (__TEXT,__text) external ___libkernel_platform_init
00007ff800bc230a (__TEXT,__text) external ___libkernel_voucher_init
00007ff800bbfebc (__TEXT,__text) external ___listen
00007ff800bbfed4 (__TEXT,__text) external ___log_data
00007ff800bbfeec (__TEXT,__text) external ___lseek
00007ff800bbff04 (__TEXT,__text) external ___lstat64_extended
00007ff800bbff1c (__TEXT,__text) external ___lstat_extended
00007ff800bbff34 (__TEXT,__text) external ___mac_execve
00007ff800bbff4c (__TEXT,__text) external ___mac_get_fd
00007ff800bbff64 (__TEXT,__text) external ___mac_get_file
00007ff800bbff7c (__TEXT,__text) external ___mac_get_link
00007ff800bbff94 (__TEXT,__text) external ___mac_get_mount
00007ff800bbffac (__TEXT,__text) external ___mac_get_pid
00007ff800bbffc4 (__TEXT,__text) external ___mac_get_proc
00007ff800bbffdc (__TEXT,__text) external ___mac_getfsstat
00007ff800bbfff4 (__TEXT,__text) external ___mac_mount
00007ff800bc000c (__TEXT,__text) external ___mac_set_fd
00007ff800bc0024 (__TEXT,__text) external ___mac_set_file
00007ff800bc003c (__TEXT,__text) external ___mac_set_link
00007ff800bc0054 (__TEXT,__text) external ___mac_set_proc
00007ff800bc006c (__TEXT,__text) external ___mac_syscall
00007ff800bc0084 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800bc009c (__TEXT,__text) external ___mach_eventlink_signal
00007ff800bc00b4 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800bc00cc (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800bc00e4 (__TEXT,__text) external ___map_with_linking_np
00007ff800bc00fc (__TEXT,__text) external ___memorystatus_available_memory
00007ff800bc0114 (__TEXT,__text) external ___microstackshot
00007ff800bc012c (__TEXT,__text) external ___mkdir_extended
00007ff800bc0144 (__TEXT,__text) external ___mkfifo_extended
00007ff800bc015c (__TEXT,__text) external ___mmap
00007ff800bc0174 (__TEXT,__text) external ___mprotect
00007ff800bc018c (__TEXT,__text) external ___msgctl
00007ff800bc01a4 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800bc01bc (__TEXT,__text) external ___msgsnd_nocancel
00007ff800bc01d4 (__TEXT,__text) external ___msgsys
00007ff800bc01ec (__TEXT,__text) external ___msync
00007ff800bc0204 (__TEXT,__text) external ___msync_nocancel
00007ff800bc021c (__TEXT,__text) external ___munmap
00007ff800bc0234 (__TEXT,__text) external ___nexus_create
00007ff800bc024c (__TEXT,__text) external ___nexus_deregister
00007ff800bc0264 (__TEXT,__text) external ___nexus_destroy
00007ff800bc027c (__TEXT,__text) external ___nexus_get_opt
00007ff800bc0294 (__TEXT,__text) external ___nexus_open
00007ff800bc02ac (__TEXT,__text) external ___nexus_register
00007ff800bc02c4 (__TEXT,__text) external ___nexus_set_opt
00007ff800bc02dc (__TEXT,__text) external ___open
00007ff800bc02f4 (__TEXT,__text) external ___open_dprotected_np
00007ff800bc030c (__TEXT,__text) external ___open_extended
00007ff800bc0324 (__TEXT,__text) external ___open_nocancel
00007ff800bc033c (__TEXT,__text) external ___openat
00007ff800bc0354 (__TEXT,__text) external ___openat_dprotected_np
00007ff800bc036c (__TEXT,__text) external ___openat_nocancel
00007ff8400b8df8 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff800bcef58 (__TEXT,__text) external ___os_nexus_flow_add
00007ff800bcefcb (__TEXT,__text) external ___os_nexus_flow_del
00007ff800bcf103 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff800bced7e (__TEXT,__text) external ___os_nexus_ifattach
00007ff800bcee8f (__TEXT,__text) external ___os_nexus_ifdetach
00007ff800bc0384 (__TEXT,__text) external ___persona
00007ff800bc039c (__TEXT,__text) external ___pipe
00007ff800bc03b8 (__TEXT,__text) external ___poll_nocancel
00007ff800bc03d0 (__TEXT,__text) external ___posix_spawn
00007ff800bc03e8 (__TEXT,__text) external ___pread_nocancel
00007ff800bc0400 (__TEXT,__text) external ___preadv_nocancel
00007ff800bc0418 (__TEXT,__text) external ___proc_info
00007ff800bc0430 (__TEXT,__text) external ___proc_info_extended_id
00007ff800bc0448 (__TEXT,__text) external ___process_policy
00007ff800bc0460 (__TEXT,__text) external ___pselect
00007ff800bc0478 (__TEXT,__text) external ___pselect_nocancel
00007ff800bc0490 (__TEXT,__text) external ___psynch_cvbroad
00007ff800bc04a8 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff800bc04c0 (__TEXT,__text) external ___psynch_cvsignal
00007ff800bc04d8 (__TEXT,__text) external ___psynch_cvwait
00007ff800bc04f0 (__TEXT,__text) external ___psynch_mutexdrop
00007ff800bc0508 (__TEXT,__text) external ___psynch_mutexwait
00007ff800bc0520 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff800bc0538 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff800bc0550 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff800bc0568 (__TEXT,__text) external ___psynch_rw_unlock
00007ff800bc0580 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800bc0598 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff800bc05b0 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800bc05c8 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff800bc05e0 (__TEXT,__text) external ___pthread_canceled
00007ff800bc05f8 (__TEXT,__text) external ___pthread_chdir
00007ff800bc0610 (__TEXT,__text) external ___pthread_fchdir
00007ff800bc0628 (__TEXT,__text) external ___pthread_kill
00007ff800bc0640 (__TEXT,__text) external ___pthread_markcancel
00007ff800bc0658 (__TEXT,__text) external ___pthread_sigmask
00007ff800bc0670 (__TEXT,__text) external ___ptrace
00007ff800bc0694 (__TEXT,__text) external ___pwrite_nocancel
00007ff800bc06ac (__TEXT,__text) external ___pwritev_nocancel
00007ff800bc06c4 (__TEXT,__text) external ___read_nocancel
00007ff800bc06dc (__TEXT,__text) external ___readv_nocancel
00007ff800bc06f4 (__TEXT,__text) external ___reboot
00007ff800bc070c (__TEXT,__text) external ___record_system_event
00007ff800bc0724 (__TEXT,__text) external ___recvfrom
00007ff800bc073c (__TEXT,__text) external ___recvfrom_nocancel
00007ff800bc0754 (__TEXT,__text) external ___recvmsg
00007ff800bc076c (__TEXT,__text) external ___recvmsg_nocancel
00007ff8400b8e18 (__DATA,__bss) non-external ___remove_counter
00007ff800bc0784 (__TEXT,__text) external ___rename
00007ff800bc079c (__TEXT,__text) external ___renameat
00007ff800bc07b4 (__TEXT,__text) external ___renameatx_np
00007ff800bc07cc (__TEXT,__text) external ___rmdir
00007ff800bbff34 (__TEXT,__text) external ___sandbox_me
00007ff800bbfff4 (__TEXT,__text) external ___sandbox_mm
00007ff800bc006c (__TEXT,__text) external ___sandbox_ms
00007ff800bc0054 (__TEXT,__text) external ___sandbox_msp
00007ff800bc07e4 (__TEXT,__text) external ___select
00007ff800bc07fc (__TEXT,__text) external ___select_nocancel
00007ff800bc0814 (__TEXT,__text) external ___sem_open
00007ff800bc082c (__TEXT,__text) external ___sem_wait_nocancel
00007ff800bc0844 (__TEXT,__text) external ___semctl
00007ff800bc085c (__TEXT,__text) external ___semsys
00007ff800bc0874 (__TEXT,__text) external ___semwait_signal
00007ff800bc088c (__TEXT,__text) external ___semwait_signal_nocancel
00007ff800bc08a4 (__TEXT,__text) external ___sendmsg
00007ff800bc08bc (__TEXT,__text) external ___sendmsg_nocancel
00007ff800bc08d4 (__TEXT,__text) external ___sendto
00007ff800bc08ec (__TEXT,__text) external ___sendto_nocancel
00007ff800bc0904 (__TEXT,__text) external ___setattrlist
00007ff800bc091c (__TEXT,__text) external ___setlogin
00007ff800bc0934 (__TEXT,__text) external ___setpriority
00007ff800bc094c (__TEXT,__text) external ___setregid
00007ff800bc0964 (__TEXT,__text) external ___setreuid
00007ff800bc097c (__TEXT,__text) external ___setrlimit
00007ff800bc0994 (__TEXT,__text) external ___setsgroups
00007ff800bc09ac (__TEXT,__text) external ___settid
00007ff800bc09c4 (__TEXT,__text) external ___settid_with_pid
00007ff800bc09dc (__TEXT,__text) external ___settimeofday
00007ff800bc09f4 (__TEXT,__text) external ___setwgroups
00007ff800bc0a0c (__TEXT,__text) external ___sfi_ctl
00007ff800bc0a24 (__TEXT,__text) external ___sfi_pidctl
00007ff800bc0a3c (__TEXT,__text) external ___shared_region_check_np
00007ff800bc0a54 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff800bc0a6c (__TEXT,__text) external ___shm_open
00007ff800bc0a84 (__TEXT,__text) external ___shmctl
00007ff800bc0a9c (__TEXT,__text) external ___shmsys
00007ff800bc0ab4 (__TEXT,__text) external ___sigaction
00007ff800bc0acc (__TEXT,__text) external ___sigaltstack
00007ff800bc0ae4 (__TEXT,__text) external ___sigreturn
00007ff800bc0afc (__TEXT,__text) external ___sigsuspend
00007ff800bc0b14 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff800bc0b2c (__TEXT,__text) external ___sigwait
00007ff800bc0b44 (__TEXT,__text) external ___socketpair
00007ff800bc0b5c (__TEXT,__text) external ___stack_snapshot_with_config
00007ff800bc0b74 (__TEXT,__text) external ___stat64_extended
00007ff800bc0b8c (__TEXT,__text) external ___stat_extended
00007ff800bc0ba4 (__TEXT,__text) external ___syscall
00007ff8400b94c0 (__DATA,__common) external ___syscall_logger
00007ff800bc0bbc (__TEXT,__text) external ___sysctl
00007ff800bc0bd4 (__TEXT,__text) external ___sysctlbyname
00007ff800bc0bec (__TEXT,__text) external ___telemetry
00007ff800bc0c04 (__TEXT,__text) external ___terminate_with_payload
00007ff800bc0c1c (__TEXT,__text) external ___thread_selfid
00007ff800bc0c34 (__TEXT,__text) external ___thread_selfusage
00007ff800bc0c4c (__TEXT,__text) external ___ulock_wait
00007ff800bc0c64 (__TEXT,__text) external ___ulock_wait2
00007ff800bc0c7c (__TEXT,__text) external ___ulock_wake
00007ff800bc0c94 (__TEXT,__text) external ___umask_extended
00007ff800bc0cac (__TEXT,__text) external ___unlink
00007ff800bc0cc4 (__TEXT,__text) external ___unlinkat
00007ff800bc0cdc (__TEXT,__text) external ___vfork
00007ff800bc0d34 (__TEXT,__text) external ___wait4
00007ff800bc0d4c (__TEXT,__text) external ___wait4_nocancel
00007ff800bc0d64 (__TEXT,__text) external ___waitid_nocancel
00007ff800bc0d7c (__TEXT,__text) external ___work_interval_ctl
00007ff800bc0d94 (__TEXT,__text) external ___workq_kernreturn
00007ff800bc0dac (__TEXT,__text) external ___workq_open
00007ff800bc0dc4 (__TEXT,__text) external ___write_nocancel
00007ff800bc0ddc (__TEXT,__text) external ___writev_nocancel
00007ff8400b8e74 (__DATA,__common) external __cpu_capabilities
00007ff8400b8e70 (__DATA,__common) external __cpu_has_altivec
00007ff8400b8ba0 (__DATA,__data) non-external (was a private external) __current_pid
00007ff8400b8dd0 (__DATA,__bss) non-external __dlsym
00007ff800bbf2a4 (__TEXT,__text) external __exclaves_ctl_trap
00007ff800bbfb10 (__TEXT,__text) external __exit
00007ff800bbf800 (__TEXT,__text) external __get_cpu_capabilities
00007ff8400b8df0 (__DATA,__bss) non-external __gethostuuid_callback
00007ff800bc76cd (__TEXT,__text) external __getprivatesystemidentifier
00007ff800bd5194 (__TEXT,__text) external __host_page_size
00007ff800bcfa99 (__TEXT,__text) external __init_cpu_capabilities
00007ff800bd6650 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff800bd7945 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff800bd8ca8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff800bd7856 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff800bd8b57 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff800bbf094 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff800bda664 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff800bd99b7 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff800bbf0e8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff800bd7b65 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff800bbf0a0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff800bd7a77 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff800bd9af1 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff800bbf0f4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff800bd920a (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff800bd9571 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff800bbf0dc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff800bd85db (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff800bd8814 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff800bbf19c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff800bd9660 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff800bd7c53 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff800bda4f2 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff800bd8169 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff800bd8ef8 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff800bd9bdc (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff800bbf1a8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff800bda00c (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff800bd9482 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff800bbf0d0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff800bd84de (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff800bbf0c4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff800bda3ba (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff800bd9346 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff800bd9870 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff800bda1e2 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff800bd7d81 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff800bbf0ac (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff800bd82b3 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff800bbf0b8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff800bd74bd (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff800bd7e6c (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff800bd7767 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff800bd83a2 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff800bbf298 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff800bd89e9 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff800bd9789 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff800bd807a (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff800bd8725 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff800bd9dae (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff800bd902a (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff800bd9eda (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff800bda0f7 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff800bd7635 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff800bbf28c (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff800bd9cc7 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff800bbf1b4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff800bdeb88 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00007ff800bdea81 (__TEXT,__text) external __kernelrpc_mach_ports_register3
00007ff800be2b84 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff800bda7d2 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff800bbf04c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff800bda8fe (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff800bbf064 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff800bdb36d (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff800bbf088 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff800bda9e5 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff800bbf07c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff800bdbe70 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff800bbf058 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff800bdabbf (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff800bdb618 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff800bdc2ce (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff800be85a6 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff800bd8e0a (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff800be4f02 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff800be504c (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff800be58a5 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff800be6bf6 (__TEXT,__text) external __kernelrpc_vm_map
00007ff800be76f9 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff800be6448 (__TEXT,__text) external __kernelrpc_vm_read
00007ff800be6ea1 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff800be7822 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff800bc24c3 (__TEXT,__text) non-external __libkernel_bzero
00007ff8400b8dc8 (__DATA,__bss) non-external __libkernel_functions
00007ff840077610 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff800bc254c (__TEXT,__text) non-external __libkernel_memmove
00007ff800bc24cd (__TEXT,__text) non-external __libkernel_memset
00007ff800bc248a (__TEXT,__text) non-external __libkernel_strchr
00007ff800bc24a8 (__TEXT,__text) non-external __libkernel_strcmp
00007ff800bc2695 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8400b8bb0 (__DATA,__data) non-external __libkernel_string_functions
00007ff800bc26bd (__TEXT,__text) non-external __libkernel_strlcpy
00007ff800bc236a (__TEXT,__text) non-external __libkernel_strlen
00007ff8400b8bb8 (__DATA,__data) non-external __libkernel_voucher_functions
00007ff800be8ea0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff800bc3a5a (__TEXT,__text) non-external __mach_continuous_time
00007ff840078820 (__DATA_CONST,__const) external __mach_errors
00007ff800bc41fd (__TEXT,__text) external __mach_fork_child
00007ff800bc5945 (__TEXT,__text) external __mach_snprintf
00007ff800bc57b2 (__TEXT,__text) external __mach_vsnprintf
00007ff8400b8e80 (__DATA,__common) external __os_alloc_once_table
00007ff800bc8cfa (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff800bc9823 (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
00007ff800bc76d2 (__TEXT,__text) external __register_gethostuuid_callback
00007ff8400b8ddc (__DATA,__bss) non-external __task_reply_port
00007ff800bc22d4 (__TEXT,__text) external __thread_set_tsd_base
00007ff800be8d80 (__TEXT,__text) non-external _abort
00007ff800be8d80 (__TEXT,__text) non-external _abort.380
00007ff800be8d80 (__TEXT,__text) non-external _abort.382
00007ff800be8d80 (__TEXT,__text) non-external _abort.393
00007ff800be8e30 (__TEXT,__text) external _abort_with_payload
00007ff800be8db5 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff800be8da2 (__TEXT,__text) external _abort_with_reason
00007ff800bbf840 (__TEXT,__text) external _accept
00007ff800bbf858 (__TEXT,__text) external _accept$NOCANCEL
00007ff800bc0df4 (__TEXT,__text) external _access
00007ff800bbf870 (__TEXT,__text) external _accessx_np
00007ff800bc0e0c (__TEXT,__text) external _acct
00007ff800be3971 (__TEXT,__text) external _act_get_state
00007ff800be3b5a (__TEXT,__text) external _act_set_state
00007ff800bc0e24 (__TEXT,__text) external _adjtime
00007ff800bc0e3c (__TEXT,__text) external _aio_cancel
00007ff800bc0e54 (__TEXT,__text) external _aio_error
00007ff800bc0e6c (__TEXT,__text) external _aio_fsync
00007ff800bc0e84 (__TEXT,__text) external _aio_read
00007ff800bc0e9c (__TEXT,__text) external _aio_return
00007ff800bc0eb4 (__TEXT,__text) external _aio_suspend
00007ff800bbf888 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800bc0ecc (__TEXT,__text) external _aio_write
00007ff800bc0ee4 (__TEXT,__text) external _audit
00007ff800bc0efc (__TEXT,__text) external _audit_session_join
00007ff800bc0f14 (__TEXT,__text) external _audit_session_port
00007ff800bc0f2c (__TEXT,__text) external _audit_session_self
00007ff800bc0f44 (__TEXT,__text) external _auditctl
00007ff800bc0f5c (__TEXT,__text) external _auditon
00007ff800bbf8a0 (__TEXT,__text) external _bind
00007ff8400b8e2c (__DATA,__common) external _bootstrap_port
00007ff800bc5be3 (__TEXT,__text) external _cerror
00007ff800bc5bbe (__TEXT,__text) external _cerror_nocancel
00007ff800bc0f74 (__TEXT,__text) external _change_fdguard_np
00007ff800bc0f8c (__TEXT,__text) external _chdir
00007ff800bc0fa4 (__TEXT,__text) external _chflags
00007ff800bc8098 (__TEXT,__text) external _chmod
00007ff800bc0fbc (__TEXT,__text) external _chown
00007ff800bc0fd4 (__TEXT,__text) external _chroot
00007ff800bd22ab (__TEXT,__text) external _clock_alarm
00007ff800bd1fa4 (__TEXT,__text) external _clock_alarm_reply
00007ff800bd211c (__TEXT,__text) external _clock_get_attributes
00007ff800bd200b (__TEXT,__text) external _clock_get_time
00007ff800bd1e78 (__TEXT,__text) external _clock_set_attributes
00007ff800bd1d8d (__TEXT,__text) external _clock_set_time
00007ff800bc3b47 (__TEXT,__text) external _clock_sleep
00007ff800bbf268 (__TEXT,__text) external _clock_sleep_trap
00007ff800bc3a36 (__TEXT,__text) external _clonefile
