                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
0000000191ed8e64 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00000001e7cabb20 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
0000000191ed4a74 (__TEXT,__text) external ___KLAllowAutomaticPrompting
0000000191ed4a64 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
0000000191ed4a8c (__TEXT,__text) external ___KLAllowRememberPassword
0000000191ed4af4 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
0000000191ed4a94 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
0000000191ed4b40 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
0000000191ed4b50 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
0000000191ed4ac4 (__TEXT,__text) external ___KLGetTripletFromPrincipal
0000000191ed4b68 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
0000000191ed4b68 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
0000000191ed4b70 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
0000000191ed4b48 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
0000000191ed4b58 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
0000000191ed4a84 (__TEXT,__text) external ___KLPromptMechanism
0000000191ed4b60 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
0000000191ed4a50 (__TEXT,__text) external ___KLSetApplicationPrompter
0000000191ed4a6c (__TEXT,__text) external ___KLSetAutomaticPrompting
0000000191ed4a58 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
0000000191ed4a7c (__TEXT,__text) external ___KLSetPromptMechanism
0000000191ed2794 (__TEXT,__text) external ___KerberosDebugLogLevel
0000000191ed279c (__TEXT,__text) external ___KerberosDebugPrint
0000000191ed27a4 (__TEXT,__text) external ___KerberosDebugPrintMemory
0000000191ed27a8 (__TEXT,__text) external ___KerberosDebugPrintSession
0000000191ed27a0 (__TEXT,__text) external ___KerberosDebugVAPrint
00000001e7cab540 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
0000000191ece5cc (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00000001e4399d90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4399dd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001e4399db0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001ebf26ff0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ebf27030 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001ebf27010 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___error (from libSystem)
0000000191ed1c08 (__TEXT,__text) non-external ___error_message_block_invoke
0000000191ecdadc (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
0000000191ed1170 (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
0000000191ed3514 (__TEXT,__text) non-external _acquireticket_ui
0000000191ed6ef4 (__TEXT,__text) non-external _add_data_to_buffer
0000000191ecdc30 (__TEXT,__text) external _add_error_table
0000000191ed571c (__TEXT,__text) non-external _add_to_list
0000000191eda9dc (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
0000000191edaae0 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _bzero (from libSystem)
0000000191ecdc38 (__TEXT,__text) external _cc_close
0000000191ecdc40 (__TEXT,__text) external _cc_create
0000000191ecdc48 (__TEXT,__text) external _cc_destroy
0000000191ecdc50 (__TEXT,__text) external _cc_free_NC_info
0000000191ecdc58 (__TEXT,__text) external _cc_free_creds
0000000191ecdc60 (__TEXT,__text) external _cc_free_name
0000000191ecdc68 (__TEXT,__text) external _cc_free_principal
00000001ea2b6828 (__AUTH,__data) non-external (was a private external) _cc_functions
0000000191ecdc70 (__TEXT,__text) external _cc_get_NC_info
0000000191ecdc78 (__TEXT,__text) external _cc_get_change_time
0000000191ecdc80 (__TEXT,__text) external _cc_get_cred_version
0000000191ecdc88 (__TEXT,__text) external _cc_get_name
0000000191ecdc90 (__TEXT,__text) external _cc_get_principal
0000000191ecf574 (__TEXT,__text) external _cc_initialize
0000000191ed07dc (__TEXT,__text) non-external _cc_iterator_clone
0000000191ecebac (__TEXT,__text) non-external (was a private external) _cc_iterator_next
0000000191ed0784 (__TEXT,__text) non-external _cc_iterator_release
0000000191ecdc98 (__TEXT,__text) external _cc_open
0000000191ecdca0 (__TEXT,__text) external _cc_remove_cred
0000000191ecdca8 (__TEXT,__text) external _cc_seq_fetch_NCs_begin
0000000191ecdcb0 (__TEXT,__text) external _cc_seq_fetch_NCs_end
0000000191ecdcb8 (__TEXT,__text) external _cc_seq_fetch_NCs_next
0000000191ecdcc0 (__TEXT,__text) external _cc_seq_fetch_creds_begin
0000000191ecdcc8 (__TEXT,__text) external _cc_seq_fetch_creds_end
0000000191ecdcd0 (__TEXT,__text) external _cc_seq_fetch_creds_next
0000000191ecdcd8 (__TEXT,__text) external _cc_set_principal
0000000191ecdce0 (__TEXT,__text) external _cc_shutdown
0000000191ecdce8 (__TEXT,__text) external _cc_store
0000000191ed0694 (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
0000000191ed03fc (__TEXT,__text) non-external _ccache_compare
0000000191ecf650 (__TEXT,__text) non-external _ccache_destroy
00000001ea2b6890 (__AUTH,__data) non-external _ccache_functions
0000000191ed03a0 (__TEXT,__text) non-external _ccache_get_change_time
0000000191ecf760 (__TEXT,__text) non-external _ccache_get_credentials_version
0000000191ed04ec (__TEXT,__text) non-external _ccache_get_kdc_time_offset
0000000191ed0328 (__TEXT,__text) non-external _ccache_get_last_default_time
0000000191ecf77c (__TEXT,__text) non-external _ccache_get_name
0000000191ecf828 (__TEXT,__text) non-external _ccache_get_principal
00000001ea2b6930 (__AUTH,__data) non-external _ccache_iterator_functions
0000000191ed02b8 (__TEXT,__text) non-external _ccache_lock
0000000191ed01f0 (__TEXT,__text) non-external _ccache_move
0000000191ed00f8 (__TEXT,__text) non-external _ccache_new_credentials_iterator
0000000191eceb4c (__TEXT,__text) non-external (was a private external) _ccache_release
0000000191ecff1c (__TEXT,__text) non-external _ccache_remove_credentials
0000000191ecf6c8 (__TEXT,__text) non-external _ccache_set_default
0000000191ed05d0 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
0000000191ecf97c (__TEXT,__text) non-external _ccache_set_principal
0000000191ecfac0 (__TEXT,__text) non-external _ccache_store_credentials
0000000191ed02f0 (__TEXT,__text) non-external _ccache_unlock
0000000191ed0724 (__TEXT,__text) non-external _ccache_wait_for_change
0000000191ed072c (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00000001e4399e48 (__DATA_CONST,__const) non-external _conf_no
00000001e4399e10 (__DATA_CONST,__const) non-external _conf_yes
00000001e7cab6d8 (__DATA,__bss) non-external _context_change_time
0000000191ecf548 (__TEXT,__text) non-external _context_compare
0000000191ecf0a0 (__TEXT,__text) non-external _context_create_ccache
0000000191ecf1e0 (__TEXT,__text) non-external _context_create_default_ccache
0000000191ecf344 (__TEXT,__text) non-external _context_create_new_ccache
0000000191ecedc0 (__TEXT,__text) non-external _context_get_change_time
0000000191ecee1c (__TEXT,__text) non-external _context_get_default_ccache_name
0000000191ecf538 (__TEXT,__text) non-external _context_lock
0000000191ecf490 (__TEXT,__text) non-external _context_new_ccache_iterator
0000000191eceeb8 (__TEXT,__text) non-external _context_open_ccache
0000000191ecefb8 (__TEXT,__text) non-external _context_open_default_ccache
0000000191eced70 (__TEXT,__text) non-external _context_release
0000000191ecf540 (__TEXT,__text) non-external _context_unlock
0000000191ecf56c (__TEXT,__text) non-external _context_wait_for_change
0000000191eced18 (__TEXT,__text) non-external _create_ccache
0000000191ece68c (__TEXT,__text) non-external _cred_compare
0000000191eceae0 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00000001ea2b6810 (__AUTH,__data) non-external (was a private external) _cred_iter_functions
0000000191ece69c (__TEXT,__text) non-external (was a private external) _cred_iter_next
0000000191eceae8 (__TEXT,__text) non-external _cred_iter_release
0000000191ece640 (__TEXT,__text) non-external _cred_release
00000001ea2b6800 (__AUTH,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
0000000191ed8b60 (__TEXT,__text) external _decomp_ticket
0000000191ed8d8c (__TEXT,__text) external _dest_all_tkts
0000000191ed8d6c (__TEXT,__text) external _dest_tkt
0000000191ed11a8 (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00000001e7cab6f8 (__DATA,__bss) non-external _do_log
0000000191ed69f4 (__TEXT,__text) non-external _dump_profile
0000000191ed6eb0 (__TEXT,__text) non-external _dump_profile_to_buffer_cb
0000000191ed6df8 (__TEXT,__text) non-external _dump_profile_to_file_cb
0000000191ecdcf0 (__TEXT,__text) external _encode_krb5_as_req
0000000191ed57ac (__TEXT,__text) non-external _end_list
0000000191ed1b70 (__TEXT,__text) external _error_message
00000001e7cab710 (__DATA,__bss) non-external _error_message.buffer
00000001e7cab708 (__DATA,__bss) non-external _error_message.et_list
00000001e7cab700 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
0000000191ed3c20 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00000001e7cabb18 (__DATA,__bss) non-external _g_cc_change_time
00000001e7cab548 (__DATA,__data) non-external _g_change_time_mutex
00000001e7cabb10 (__DATA,__bss) non-external _g_kl_change_time
0000000191ed8bb8 (__TEXT,__text) external _get_ad_tkt
0000000191ed8c30 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00000001e7cab468 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00000001e7cab480 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00000001e7cab440 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00000001e7cab428 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00000001e7cab3f8 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00000001e7cab410 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00000001e7cab3e0 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
                 (undefined) external _gss_display_name (from GSS)
                 (indirect) external _gss_display_name (for _gss_display_name)
                 (undefined) external _gss_display_status (from GSS)
                 (indirect) external _gss_display_status (for _gss_display_status)
                 (undefined) external _gss_duplicate_name (from GSS)
