00007ffb434db968 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffb055556a0 (__TEXT,__text) non-external _authnone_init
00007ffb0555622e (__TEXT,__text) non-external _authnone_marshal
00007ffb434db3c0 (__DATA,__data) non-external _authnone_once_init
00007ffb434db928 (__DATA,__bss) non-external _authnone_private
00007ffb055568ab (__TEXT,__text) non-external _authnone_refresh
00007ffb05556568 (__TEXT,__text) non-external _authnone_validate
00007ffb055568a5 (__TEXT,__text) non-external _authnone_verf
00007ffb05556f71 (__TEXT,__text) non-external _authunix_destroy
00007ffb05556d7a (__TEXT,__text) non-external _authunix_marshal
00007ffb05556d74 (__TEXT,__text) non-external _authunix_nextverf
00007ffb05556e50 (__TEXT,__text) non-external _authunix_refresh
00007ffb05556d9d (__TEXT,__text) non-external _authunix_validate
00007ffb434db4e8 (__DATA,__data) non-external _bcast
                 (undefined) external _bcmp (from libSystem)
                 (undefined) external _bind (from libSystem)
                 (undefined) external _bindresvport_sa (from libSystem)
00007ffb434db930 (__DATA,__bss) non-external _buf
00007ffb05558377 (__TEXT,__text) non-external _bufdestroy
00007ffb0555a3b4 (__TEXT,__text) non-external _build_callit_rpc
00007ffb434db870 (__DATA,__data) non-external _cache_control_init
00007ffb055623ee (__TEXT,__text) non-external _cache_init
00007ffb05568e8d (__TEXT,__text) non-external _cache_init.cold.1
00007ffb434db9b0 (__DATA,__bss) non-external _cache_rwlock
                 (undefined) external _calloc (from libSystem)
00007ffb434db920 (__DATA,__bss) non-external _callrpc_private
00007ffb05559232 (__TEXT,__text) non-external _check_raddr
                 (undefined) external _chmod (from libSystem)
00007ffb434db438 (__DATA,__data) non-external _client_ops
00007ffb055570ea (__TEXT,__text) external _clnt_auth_set
00007ffb434db428 (__DATA,__data) non-external _clnt_perror_once
00007ffb05557d76 (__TEXT,__text) non-external _clnt_sperror_r
00007ffb05558698 (__TEXT,__text) non-external _clntraw_abort
00007ffb055584af (__TEXT,__text) non-external _clntraw_call
00007ffb055586d5 (__TEXT,__text) non-external _clntraw_control
00007ffb055586cf (__TEXT,__text) non-external _clntraw_destroy
00007ffb055586a4 (__TEXT,__text) non-external _clntraw_freeres
00007ffb0555869e (__TEXT,__text) non-external _clntraw_geterr
00007ffb434db938 (__DATA,__bss) non-external _clntraw_private
00007ffb05559863 (__TEXT,__text) non-external _clntstrm_abort
00007ffb05559518 (__TEXT,__text) non-external _clntstrm_call
00007ffb055598fb (__TEXT,__text) non-external _clntstrm_control
00007ffb055586dd (__TEXT,__text) external _clntstrm_create_timeout
00007ffb05564cc9 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.1
00007ffb05564d5d (__TEXT,__text) non-external _clntstrm_create_timeout.cold.2
00007ffb05564e0b (__TEXT,__text) non-external _clntstrm_create_timeout.cold.3
00007ffb05564ea6 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.4
00007ffb05564f3e (__TEXT,__text) non-external _clntstrm_create_timeout.cold.5
00007ffb05564fdc (__TEXT,__text) non-external _clntstrm_create_timeout.cold.6
00007ffb05565074 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.7
00007ffb055598a8 (__TEXT,__text) non-external _clntstrm_destroy
00007ffb05559886 (__TEXT,__text) non-external _clntstrm_freeres
00007ffb05559869 (__TEXT,__text) non-external _clntstrm_geterr
00007ffb05559263 (__TEXT,__text) external _clntticots_create
00007ffb055651aa (__TEXT,__text) non-external _clntticots_create.cold.1
00007ffb0555950e (__TEXT,__text) external _clntticots_create_timeout
00007ffb055591b2 (__TEXT,__text) external _clntticotsord_create
00007ffb0556510f (__TEXT,__text) non-external _clntticotsord_create.cold.1
00007ffb05559489 (__TEXT,__text) external _clntticotsord_create_timeout
00007ffb05565416 (__TEXT,__text) non-external _clntticotsord_create_timeout.cold.1
00007ffb05559a33 (__TEXT,__text) non-external _clntudp_abort
00007ffb05555d22 (__TEXT,__text) non-external _clntudp_call
00007ffb05559a5e (__TEXT,__text) non-external _clntudp_control
00007ffb05556634 (__TEXT,__text) non-external _clntudp_destroy
00007ffb05559a3a (__TEXT,__text) non-external _clntudp_freeres
00007ffb05556575 (__TEXT,__text) non-external _clntudp_geterr
                 (undefined) external _close (from libSystem)
00007ffb055624cb (__TEXT,__text) non-external _compare_sa
00007ffb05569300 (__TEXT,__const) non-external _compare_sa.allones
00007ffb434dba80 (__DATA,__common) non-external (was a private external) _conncount
                 (undefined) external _connect (from libSystem)
00007ffb434db858 (__DATA,__data) non-external _create_key_init
00007ffb0555ec59 (__TEXT,__text) non-external _create_svc_req_key
00007ffb055616b0 (__TEXT,__text) non-external (was a private external) _cvt4to6
00007ffb05561660 (__TEXT,__text) non-external (was a private external) _cvt6to4
00007ffb055692e8 (__TEXT,__const) non-external _default_tottimeout
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ffb055609c2 (__TEXT,__text) non-external _fill_input_buf
00007ffb0556078e (__TEXT,__text) non-external _flush_out
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffb05557c5b (__TEXT,__text) non-external _free_interface_list
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freehostent (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
00007ffb055621ee (__TEXT,__text) external _freenetconfigent
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ffb055608ab (__TEXT,__text) non-external _get_input_bytes
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getgroups (from libSystem)
00007ffb05554a97 (__TEXT,__text) non-external (was a private external) _gethostaddr
                 (undefined) external _gethostbyname (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getipnodebyname (from libSystem)
00007ffb05562225 (__TEXT,__text) external _getnetconfigent
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid_r (from libSystem)
00007ffb055553ec (__TEXT,__text) non-external _getrpcbind_handle
                 (undefined) external _getsockname (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
00007ffb05556592 (__TEXT,__text) non-external _handle_callerror
00007ffb05560cd8 (__TEXT,__text) non-external _harmless
00007ffb434db980 (__DATA,__bss) non-external _if_addr_cache
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _in6addr_loopback (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kevent64 (from libSystem)
00007ffb434db770 (__DATA,__data) non-external (was a private external) _kq
00007ffb434db788 (__DATA,__data) non-external _kq_control_fd
                 (undefined) external _kqueue (from libSystem)
                 (undefined) external _listen (from libSystem)
                 (undefined) external _lseek (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
00007ffb0555cc0d (__TEXT,__text) non-external _makefd_xprt
00007ffb055669e5 (__TEXT,__text) non-external _makefd_xprt.cold.1
00007ffb05566a93 (__TEXT,__text) non-external _makefd_xprt.cold.2
00007ffb05566b2e (__TEXT,__text) non-external _makefd_xprt.cold.3
00007ffb05566bdc (__TEXT,__text) non-external _makefd_xprt.cold.4
00007ffb05566c8a (__TEXT,__text) non-external _makefd_xprt.cold.5
                 (undefined) external _malloc (from libSystem)
00007ffb05556b45 (__TEXT,__text) non-external _marshal_new_auth
00007ffb0556464a (__TEXT,__text) non-external _marshal_new_auth.cold.1
00007ffb434db420 (__DATA,__data) non-external _maxgrplist
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mkstemps (from libSystem)
