00000001811c0ff8 (__TEXT,__text) external _APL_dgemm
0000000180e9f1f8 (__TEXT,__text) external _CTRSV
0000000180e9f1f8 (__TEXT,__text) external _CTRSV_
0000000180ea0958 (__TEXT,__text) external _DASUM
0000000180ea0958 (__TEXT,__text) external _DASUM_
0000000180ea0964 (__TEXT,__text) external _DAXPY
0000000180ea0964 (__TEXT,__text) external _DAXPY_
0000000180e9abe8 (__TEXT,__text) external _DCABS1
0000000180e9abe8 (__TEXT,__text) external _DCABS1_
0000000180ea09a0 (__TEXT,__text) external _DCOPY
0000000180ea09a0 (__TEXT,__text) external _DCOPY_
0000000180ea09c8 (__TEXT,__text) external _DDOT
0000000180ea09c8 (__TEXT,__text) external _DDOT_
0000000180e9ddf0 (__TEXT,__text) external _DGBMV
0000000180e9ddf0 (__TEXT,__text) external _DGBMV_
0000000180e9b394 (__TEXT,__text) external _DGEMM
0000000180e9b394 (__TEXT,__text) external _DGEMM_
0000000180e9dd30 (__TEXT,__text) external _DGEMV
0000000180e9dd30 (__TEXT,__text) external _DGEMV_
0000000180e9e7c8 (__TEXT,__text) external _DGER
0000000180e9e7c8 (__TEXT,__text) external _DGER_
0000000180ea09d8 (__TEXT,__text) external _DNRM2
0000000180ea09d8 (__TEXT,__text) external _DNRM2_
0000000180ea09e4 (__TEXT,__text) external _DROT
0000000180ea0a14 (__TEXT,__text) external _DROTG
0000000180ea0a14 (__TEXT,__text) external _DROTG_
0000000180ea0a30 (__TEXT,__text) external _DROTM
0000000180ea0a58 (__TEXT,__text) external _DROTMG
0000000180ea0a58 (__TEXT,__text) external _DROTMG_
0000000180ea0a30 (__TEXT,__text) external _DROTM_
0000000180ea09e4 (__TEXT,__text) external _DROT_
0000000180e9df70 (__TEXT,__text) external _DSBMV
0000000180e9df70 (__TEXT,__text) external _DSBMV_
0000000180ea0a7c (__TEXT,__text) external _DSCAL
0000000180ea0a7c (__TEXT,__text) external _DSCAL_
0000000180ea0b14 (__TEXT,__text) external _DSDOT
0000000180ea0b14 (__TEXT,__text) external _DSDOT_
0000000180e9e020 (__TEXT,__text) external _DSPMV
0000000180e9e020 (__TEXT,__text) external _DSPMV_
0000000180e9e944 (__TEXT,__text) external _DSPR
0000000180e9e9d0 (__TEXT,__text) external _DSPR2
0000000180e9e9d0 (__TEXT,__text) external _DSPR2_
0000000180e9e944 (__TEXT,__text) external _DSPR_
0000000180ea0aac (__TEXT,__text) external _DSWAP
0000000180ea0aac (__TEXT,__text) external _DSWAP_
0000000180e9b4b8 (__TEXT,__text) external _DSYMM
0000000180e9b4b8 (__TEXT,__text) external _DSYMM_
0000000180e9decc (__TEXT,__text) external _DSYMV
0000000180e9decc (__TEXT,__text) external _DSYMV_
0000000180e9e818 (__TEXT,__text) external _DSYR
0000000180e9e8a8 (__TEXT,__text) external _DSYR2
0000000180e9b99c (__TEXT,__text) external _DSYR2K
0000000180e9b99c (__TEXT,__text) external _DSYR2K_
0000000180e9e8a8 (__TEXT,__text) external _DSYR2_
0000000180e9b8a4 (__TEXT,__text) external _DSYRK
0000000180e9b8a4 (__TEXT,__text) external _DSYRK_
0000000180e9e818 (__TEXT,__text) external _DSYR_
0000000180e9e1ec (__TEXT,__text) external _DTBMV
0000000180e9e1ec (__TEXT,__text) external _DTBMV_
0000000180e9e570 (__TEXT,__text) external _DTBSV
0000000180e9e570 (__TEXT,__text) external _DTBSV_
0000000180e9e324 (__TEXT,__text) external _DTPMV
0000000180e9e324 (__TEXT,__text) external _DTPMV_
0000000180e9e6a8 (__TEXT,__text) external _DTPSV
0000000180e9e6a8 (__TEXT,__text) external _DTPSV_
0000000180e9b5ac (__TEXT,__text) external _DTRMM
0000000180e9b5ac (__TEXT,__text) external _DTRMM_
0000000180e9e0c0 (__TEXT,__text) external _DTRMV
0000000180e9e0c0 (__TEXT,__text) external _DTRMV_
0000000180e9b728 (__TEXT,__text) external _DTRSM
0000000180e9b728 (__TEXT,__text) external _DTRSM_
0000000180e9e444 (__TEXT,__text) external _DTRSV
0000000180e9e444 (__TEXT,__text) external _DTRSV_
0000000180ea0d64 (__TEXT,__text) external _DZASUM
0000000180ea0d64 (__TEXT,__text) external _DZASUM_
0000000180ea0d70 (__TEXT,__text) external _DZNRM2
0000000180ea0d70 (__TEXT,__text) external _DZNRM2_
0000000180ea08d0 (__TEXT,__text) external _ICAMAX
0000000180ea08d0 (__TEXT,__text) external _ICAMAX_
0000000180ea0ad4 (__TEXT,__text) external _IDAMAX
0000000180ea0ad4 (__TEXT,__text) external _IDAMAX_
0000000180ea0b24 (__TEXT,__text) external _ISAMAX
0000000180ea0b24 (__TEXT,__text) external _ISAMAX_
0000000180ea0d7c (__TEXT,__text) external _IZAMAX
0000000180ea0d7c (__TEXT,__text) external _IZAMAX_
0000000180ea0b64 (__TEXT,__text) external _SASUM
0000000180ea0b64 (__TEXT,__text) external _SASUM_
0000000180ea0b88 (__TEXT,__text) external _SAXPY
0000000180ea0b88 (__TEXT,__text) external _SAXPY_
0000000180ea0910 (__TEXT,__text) external _SCASUM
0000000180ea0910 (__TEXT,__text) external _SCASUM_
0000000180ea0934 (__TEXT,__text) external _SCNRM2
0000000180ea0934 (__TEXT,__text) external _SCNRM2_
0000000180ea0bc4 (__TEXT,__text) external _SCOPY
0000000180ea0bc4 (__TEXT,__text) external _SCOPY_
0000000180ea0bec (__TEXT,__text) external _SDOT
0000000180ea0bec (__TEXT,__text) external _SDOT_
0000000180ea0c14 (__TEXT,__text) external _SDSDOT
0000000180ea0c14 (__TEXT,__text) external _SDSDOT_
0000000180e9d0c0 (__TEXT,__text) external _SGBMV
0000000180e9d0c0 (__TEXT,__text) external _SGBMV_
0000000180e9ac88 (__TEXT,__text) external _SGEMM
0000000180e9ac88 (__TEXT,__text) external _SGEMM_
0000000180e9d000 (__TEXT,__text) external _SGEMV
0000000180e9d000 (__TEXT,__text) external _SGEMV_
0000000180e9da98 (__TEXT,__text) external _SGER
0000000180e9da98 (__TEXT,__text) external _SGER_
0000000180ea0c50 (__TEXT,__text) external _SNRM2
0000000180ea0c50 (__TEXT,__text) external _SNRM2_
0000000180ea0c74 (__TEXT,__text) external _SROT
0000000180ea0ca4 (__TEXT,__text) external _SROTG
0000000180ea0ca4 (__TEXT,__text) external _SROTG_
0000000180ea0cc0 (__TEXT,__text) external _SROTM
0000000180ea0ce8 (__TEXT,__text) external _SROTMG
0000000180ea0ce8 (__TEXT,__text) external _SROTMG_
0000000180ea0cc0 (__TEXT,__text) external _SROTM_
0000000180ea0c74 (__TEXT,__text) external _SROT_
0000000180e9d240 (__TEXT,__text) external _SSBMV
0000000180e9d240 (__TEXT,__text) external _SSBMV_
0000000180ea0d0c (__TEXT,__text) external _SSCAL
0000000180ea0d0c (__TEXT,__text) external _SSCAL_
0000000180e9d2f0 (__TEXT,__text) external _SSPMV
0000000180e9d2f0 (__TEXT,__text) external _SSPMV_
0000000180e9dc14 (__TEXT,__text) external _SSPR
0000000180e9dca0 (__TEXT,__text) external _SSPR2
0000000180e9dca0 (__TEXT,__text) external _SSPR2_
0000000180e9dc14 (__TEXT,__text) external _SSPR_
0000000180ea0d3c (__TEXT,__text) external _SSWAP
0000000180ea0d3c (__TEXT,__text) external _SSWAP_
0000000180e9adac (__TEXT,__text) external _SSYMM
0000000180e9adac (__TEXT,__text) external _SSYMM_
0000000180e9d19c (__TEXT,__text) external _SSYMV
0000000180e9d19c (__TEXT,__text) external _SSYMV_
0000000180e9dae8 (__TEXT,__text) external _SSYR
0000000180e9db78 (__TEXT,__text) external _SSYR2
0000000180e9b290 (__TEXT,__text) external _SSYR2K
0000000180e9b290 (__TEXT,__text) external _SSYR2K_
0000000180e9db78 (__TEXT,__text) external _SSYR2_
0000000180e9b198 (__TEXT,__text) external _SSYRK
0000000180e9b198 (__TEXT,__text) external _SSYRK_
0000000180e9dae8 (__TEXT,__text) external _SSYR_
0000000180e9d4bc (__TEXT,__text) external _STBMV
0000000180e9d4bc (__TEXT,__text) external _STBMV_
0000000180e9d840 (__TEXT,__text) external _STBSV
0000000180e9d840 (__TEXT,__text) external _STBSV_
0000000180e9d5f4 (__TEXT,__text) external _STPMV
0000000180e9d5f4 (__TEXT,__text) external _STPMV_
0000000180e9d978 (__TEXT,__text) external _STPSV
0000000180e9d978 (__TEXT,__text) external _STPSV_
0000000180e9aea0 (__TEXT,__text) external _STRMM
0000000180e9aea0 (__TEXT,__text) external _STRMM_
0000000180e9d390 (__TEXT,__text) external _STRMV
0000000180e9d390 (__TEXT,__text) external _STRMV_
0000000180e9b01c (__TEXT,__text) external _STRSM
0000000180e9b01c (__TEXT,__text) external _STRSM_
0000000180e9d714 (__TEXT,__text) external _STRSV
0000000180e9d714 (__TEXT,__text) external _STRSV_
000000018151697c (__TEXT,__text) external _SetBLASParamErrorProc
00000001814dc4ac (__TEXT,__text) external _SetBLASParamErrorProc$NEWLAPACK
00000001814ea020 (__TEXT,__text) external _SetBLASParamErrorProc$NEWLAPACK$ILP64
000000018150cf50 (__TEXT,__text) external _XERBLA
000000018150cf50 (__TEXT,__text) external _XERBLA_
0000000180ea0dbc (__TEXT,__text) external _ZAXPY
0000000180ea0dbc (__TEXT,__text) external _ZAXPY_
0000000180ea0de4 (__TEXT,__text) external _ZCOPY
0000000180ea0de4 (__TEXT,__text) external _ZCOPY_
0000000180ea0e0c (__TEXT,__text) external _ZDOTC
0000000180ea0e0c (__TEXT,__text) external _ZDOTC_
0000000180ea0e34 (__TEXT,__text) external _ZDOTU
0000000180ea0e34 (__TEXT,__text) external _ZDOTU_
0000000180ea0e9c (__TEXT,__text) external _ZDROT
0000000180ea0e9c (__TEXT,__text) external _ZDROT_
0000000180ea0ecc (__TEXT,__text) external _ZDSCAL
0000000180ea0ecc (__TEXT,__text) external _ZDSCAL_
0000000180e9f9c0 (__TEXT,__text) external _ZGBMV
0000000180e9f9c0 (__TEXT,__text) external _ZGBMV_
0000000180e9c550 (__TEXT,__text) external _ZGEMM
0000000180e9c550 (__TEXT,__text) external _ZGEMM_
0000000180e9f8e4 (__TEXT,__text) external _ZGEMV
0000000180e9f8e4 (__TEXT,__text) external _ZGEMV_
0000000180ea0430 (__TEXT,__text) external _ZGERC
0000000180ea0430 (__TEXT,__text) external _ZGERC_
0000000180ea0494 (__TEXT,__text) external _ZGERU
0000000180ea0494 (__TEXT,__text) external _ZGERU_
0000000180e9fb60 (__TEXT,__text) external _ZHBMV
0000000180e9fb60 (__TEXT,__text) external _ZHBMV_
0000000180e9c698 (__TEXT,__text) external _ZHEMM
0000000180e9c698 (__TEXT,__text) external _ZHEMM_
0000000180e9fab0 (__TEXT,__text) external _ZHEMV
0000000180e9fab0 (__TEXT,__text) external _ZHEMV_
0000000180ea04f8 (__TEXT,__text) external _ZHER
0000000180ea0588 (__TEXT,__text) external _ZHER2
0000000180e9cdc4 (__TEXT,__text) external _ZHER2K
0000000180e9cdc4 (__TEXT,__text) external _ZHER2K_
0000000180ea0588 (__TEXT,__text) external _ZHER2_
0000000180e9cbb0 (__TEXT,__text) external _ZHERK
0000000180e9cbb0 (__TEXT,__text) external _ZHERK_
0000000180ea04f8 (__TEXT,__text) external _ZHER_
0000000180e9fc1c (__TEXT,__text) external _ZHPMV
0000000180e9fc1c (__TEXT,__text) external _ZHPMV_
0000000180ea0638 (__TEXT,__text) external _ZHPR
0000000180ea06c4 (__TEXT,__text) external _ZHPR2
0000000180ea06c4 (__TEXT,__text) external _ZHPR2_
0000000180ea0638 (__TEXT,__text) external _ZHPR_
0000000180ea0e5c (__TEXT,__text) external _ZROTG
0000000180ea0e5c (__TEXT,__text) external _ZROTG_
0000000180ea0e78 (__TEXT,__text) external _ZSCAL
0000000180ea0e78 (__TEXT,__text) external _ZSCAL_
0000000180ea0efc (__TEXT,__text) external _ZSWAP
0000000180ea0efc (__TEXT,__text) external _ZSWAP_
0000000180e9c794 (__TEXT,__text) external _ZSYMM
0000000180e9c794 (__TEXT,__text) external _ZSYMM_
0000000180e9cee4 (__TEXT,__text) external _ZSYR2K
0000000180e9cee4 (__TEXT,__text) external _ZSYR2K_
0000000180e9ccb8 (__TEXT,__text) external _ZSYRK
0000000180e9ccb8 (__TEXT,__text) external _ZSYRK_
0000000180e9fe04 (__TEXT,__text) external _ZTBMV
0000000180e9fe04 (__TEXT,__text) external _ZTBMV_
0000000180ea01b8 (__TEXT,__text) external _ZTBSV
0000000180ea01b8 (__TEXT,__text) external _ZTBSV_
0000000180e9ff4c (__TEXT,__text) external _ZTPMV
0000000180e9ff4c (__TEXT,__text) external _ZTPMV_
0000000180ea0300 (__TEXT,__text) external _ZTPSV
0000000180ea0300 (__TEXT,__text) external _ZTPSV_
0000000180e9c890 (__TEXT,__text) external _ZTRMM
0000000180e9c890 (__TEXT,__text) external _ZTRMM_
0000000180e9fcc8 (__TEXT,__text) external _ZTRMV
0000000180e9fcc8 (__TEXT,__text) external _ZTRMV_
0000000180e9ca20 (__TEXT,__text) external _ZTRSM
0000000180e9ca20 (__TEXT,__text) external _ZTRSM_
0000000180ea007c (__TEXT,__text) external _ZTRSV
0000000180ea007c (__TEXT,__text) external _ZTRSV_
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external __ZNSt11logic_errorC2EPKc (from libc++)
                 (undefined) external __ZNSt12length_errorD1Ev (from libc++)
                 (undefined) external __ZTISt12length_error (from libc++)
                 (undefined) external __ZTVSt12length_error (from libc++)
                 (undefined) external __ZdaPvSt19__type_descriptor_t (from libc++)
                 (undefined) external __ZdlPv (from libc++)
                 (undefined) external __ZnamSt19__type_descriptor_t (from libc++)
                 (undefined) external __Znwm (from libc++)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cxa_allocate_exception (from libc++)
                 (undefined) external ___cxa_free_exception (from libc++)
                 (undefined) external ___cxa_throw (from libc++)
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___muldc3 (from libSystem)
                 (undefined) external ___mulsc3 (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __tlv_bootstrap (from libSystem)
                 (undefined) external _abort (from libSystem)
00000001814fc5f0 (__TEXT,__text) external _appleblas_dgeadd
00000001814cacfc (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK
00000001814dcd50 (__TEXT,__text) external _appleblas_dgeadd$NEWLAPACK$ILP64
0000000181506360 (__TEXT,__text) external _appleblas_sgeadd
00000001814cb060 (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK
00000001814dd0a4 (__TEXT,__text) external _appleblas_sgeadd$NEWLAPACK$ILP64
                 (undefined) external _bzero (from libSystem)
000000018150e5d4 (__TEXT,__text) external _catlas_caxpby
00000001814d36b4 (__TEXT,__text) external _catlas_caxpby$NEWLAPACK
00000001814e3014 (__TEXT,__text) external _catlas_caxpby$NEWLAPACK$ILP64
000000018150eec0 (__TEXT,__text) external _catlas_cset
00000001814d3fa0 (__TEXT,__text) external _catlas_cset$NEWLAPACK
00000001814e38e0 (__TEXT,__text) external _catlas_cset$NEWLAPACK$ILP64
00000001814ec18c (__TEXT,__text) external _catlas_daxpby
000000018121f6f0 (__TEXT,__text) external _catlas_daxpby$NEWLAPACK
00000001814c1ef4 (__TEXT,__text) external _catlas_daxpby$NEWLAPACK$ILP64
00000001814ec27c (__TEXT,__text) external _catlas_dset
000000018121f814 (__TEXT,__text) external _catlas_dset$NEWLAPACK
00000001814c1fe8 (__TEXT,__text) external _catlas_dset$NEWLAPACK$ILP64
00000001814eaaa8 (__TEXT,__text) external _catlas_saxpby
0000000180eb536c (__TEXT,__text) external _catlas_saxpby$NEWLAPACK
00000001814b9c68 (__TEXT,__text) external _catlas_saxpby$NEWLAPACK$ILP64
00000001814eabcc (__TEXT,__text) external _catlas_sset
0000000180eb5490 (__TEXT,__text) external _catlas_sset$NEWLAPACK
00000001814b9d5c (__TEXT,__text) external _catlas_sset$NEWLAPACK$ILP64
000000018150f5c8 (__TEXT,__text) external _catlas_zaxpby
00000001814d46a8 (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK
00000001814e3fb8 (__TEXT,__text) external _catlas_zaxpby$NEWLAPACK$ILP64
00000001815103a0 (__TEXT,__text) external _catlas_zset
00000001814d52ac (__TEXT,__text) external _catlas_zset$NEWLAPACK
00000001814e4b94 (__TEXT,__text) external _catlas_zset$NEWLAPACK$ILP64
00000001813da8e0 (__TEXT,__text) external _caxpby$NEWLAPACK
00000001814c574c (__TEXT,__text) external _caxpby$NEWLAPACK$ILP64
0000000180ea0768 (__TEXT,__text) external _caxpy
00000001813da878 (__TEXT,__text) external _caxpy$NEWLAPACK
00000001814c56e4 (__TEXT,__text) external _caxpy$NEWLAPACK$ILP64
0000000180ea0768 (__TEXT,__text) external _caxpy_
000000018150e82c (__TEXT,__text) external _cblas_caxpy
00000001814d390c (__TEXT,__text) external _cblas_caxpy$NEWLAPACK
00000001814e3264 (__TEXT,__text) external _cblas_caxpy$NEWLAPACK$ILP64
000000018150e974 (__TEXT,__text) external _cblas_ccopy
00000001814d3a54 (__TEXT,__text) external _cblas_ccopy$NEWLAPACK
00000001814e33a8 (__TEXT,__text) external _cblas_ccopy$NEWLAPACK$ILP64
000000018150ea58 (__TEXT,__text) external _cblas_cdotc_sub
00000001814d3b38 (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK
00000001814e3498 (__TEXT,__text) external _cblas_cdotc_sub$NEWLAPACK$ILP64
000000018150eb74 (__TEXT,__text) external _cblas_cdotu_sub
00000001814d3c54 (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK
00000001814e35b0 (__TEXT,__text) external _cblas_cdotu_sub$NEWLAPACK$ILP64
00000001814f147c (__TEXT,__text) external _cblas_cgbmv
00000001814ca58c (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK
00000001814dc5c0 (__TEXT,__text) external _cblas_cgbmv$NEWLAPACK$ILP64
00000001814f1bec (__TEXT,__text) external _cblas_cgemm
000000018106c464 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK
00000001814bf7d8 (__TEXT,__text) external _cblas_cgemm$NEWLAPACK$ILP64
00000001814f327c (__TEXT,__text) external _cblas_cgemv
00000001810a3258 (__TEXT,__text) external _cblas_cgemv$NEWLAPACK
00000001814c02ac (__TEXT,__text) external _cblas_cgemv$NEWLAPACK$ILP64
0000000181508ca4 (__TEXT,__text) external _cblas_cgerc
00000001814cbb6c (__TEXT,__text) external _cblas_cgerc$NEWLAPACK
00000001814ddba0 (__TEXT,__text) external _cblas_cgerc$NEWLAPACK$ILP64
00000001815093ac (__TEXT,__text) external _cblas_cgeru
00000001814cc274 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK
00000001814de2a0 (__TEXT,__text) external _cblas_cgeru$NEWLAPACK$ILP64
0000000181509b3c (__TEXT,__text) external _cblas_chbmv
00000001814cca04 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK
00000001814dea24 (__TEXT,__text) external _cblas_chbmv$NEWLAPACK$ILP64
00000001814f3f54 (__TEXT,__text) external _cblas_chemm
00000001813d76f8 (__TEXT,__text) external _cblas_chemm$NEWLAPACK
00000001814c51dc (__TEXT,__text) external _cblas_chemm$NEWLAPACK$ILP64
0000000181509f78 (__TEXT,__text) external _cblas_chemv
00000001814cd0e4 (__TEXT,__text) external _cblas_chemv$NEWLAPACK
00000001814decc0 (__TEXT,__text) external _cblas_chemv$NEWLAPACK$ILP64
000000018150ae68 (__TEXT,__text) external _cblas_cher
00000001814ce3fc (__TEXT,__text) external _cblas_cher$NEWLAPACK
00000001814dfb4c (__TEXT,__text) external _cblas_cher$NEWLAPACK$ILP64
000000018150a678 (__TEXT,__text) external _cblas_cher2
00000001814cdc0c (__TEXT,__text) external _cblas_cher2$NEWLAPACK
00000001814df39c (__TEXT,__text) external _cblas_cher2$NEWLAPACK$ILP64
00000001814f4f2c (__TEXT,__text) external _cblas_cher2k
0000000181069cbc (__TEXT,__text) external _cblas_cher2k$NEWLAPACK
00000001814bf010 (__TEXT,__text) external _cblas_cher2k$NEWLAPACK$ILP64
00000001814f620c (__TEXT,__text) external _cblas_cherk
0000000180f80e7c (__TEXT,__text) external _cblas_cherk$NEWLAPACK
00000001814bea44 (__TEXT,__text) external _cblas_cherk$NEWLAPACK$ILP64
000000018150b6a4 (__TEXT,__text) external _cblas_chpmv
00000001814cec38 (__TEXT,__text) external _cblas_chpmv$NEWLAPACK
00000001814e0398 (__TEXT,__text) external _cblas_chpmv$NEWLAPACK$ILP64
000000018150c0b4 (__TEXT,__text) external _cblas_chpr
00000001814cfa80 (__TEXT,__text) external _cblas_chpr$NEWLAPACK
00000001814e0d80 (__TEXT,__text) external _cblas_chpr$NEWLAPACK$ILP64
000000018150b8d4 (__TEXT,__text) external _cblas_chpr2
00000001814cf2a0 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK
00000001814e05d4 (__TEXT,__text) external _cblas_chpr2$NEWLAPACK$ILP64
000000018150ec90 (__TEXT,__text) external _cblas_crotg
00000001814d3d70 (__TEXT,__text) external _cblas_crotg$NEWLAPACK
00000001814e36c8 (__TEXT,__text) external _cblas_crotg$NEWLAPACK$ILP64
000000018150ed44 (__TEXT,__text) external _cblas_cscal
00000001814d3e24 (__TEXT,__text) external _cblas_cscal$NEWLAPACK
00000001814e377c (__TEXT,__text) external _cblas_cscal$NEWLAPACK$ILP64
000000018150ef08 (__TEXT,__text) external _cblas_csrot
00000001814d3fe8 (__TEXT,__text) external _cblas_csrot$NEWLAPACK
00000001814e3920 (__TEXT,__text) external _cblas_csrot$NEWLAPACK$ILP64
000000018150ef98 (__TEXT,__text) external _cblas_csscal
00000001814d4078 (__TEXT,__text) external _cblas_csscal$NEWLAPACK
00000001814e39ac (__TEXT,__text) external _cblas_csscal$NEWLAPACK$ILP64
000000018150f07c (__TEXT,__text) external _cblas_cswap
00000001814d415c (__TEXT,__text) external _cblas_cswap$NEWLAPACK
00000001814e3a8c (__TEXT,__text) external _cblas_cswap$NEWLAPACK$ILP64
00000001814f7058 (__TEXT,__text) external _cblas_csymm
00000001811c0c24 (__TEXT,__text) external _cblas_csymm$NEWLAPACK
00000001814c0f94 (__TEXT,__text) external _cblas_csymm$NEWLAPACK$ILP64
00000001814f8038 (__TEXT,__text) external _cblas_csyr2k
00000001813dcc4c (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK
00000001814c6020 (__TEXT,__text) external _cblas_csyr2k$NEWLAPACK$ILP64
00000001814f8fd0 (__TEXT,__text) external _cblas_csyrk
00000001812ce4cc (__TEXT,__text) external _cblas_csyrk$NEWLAPACK
