00007ffa1e8fde3b (__TEXT,__text) non-external _DiToMD5
00007ffa1e90c6b1 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffa1e90c6d4 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffa1e90c6f7 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffa1e90c71a (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffa1e90c73d (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffa41940ae8 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffa419f19c8 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffa41940c98 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffa1e8fdfd2 (__TEXT,__text) external _MD5Final
00007ffa1e8fdda0 (__TEXT,__text) external _MD5Init
00007ffa1e8fdf5e (__TEXT,__text) non-external _MD5ToDi
00007ffa1e8fdea1 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffa41940df8 (__DATA_CONST,__const) external _OSAction_Class
00007ffa419408a8 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffa41941ef8 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffa1e8f024c (__TEXT,__text) external _OSArrayAppendValue
00007ffa1e8eff8b (__TEXT,__text) external _OSArrayApply
00007ffa1e8efca3 (__TEXT,__text) external _OSArrayCreate
00007ffa1e8ef456 (__TEXT,__text) external _OSArrayGetCount
00007ffa1e8f02da (__TEXT,__text) external _OSArrayGetStringValue
00007ffa1e8f034a (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffa1e8f0280 (__TEXT,__text) external _OSArrayGetValue
00007ffa1e8f023d (__TEXT,__text) external _OSArrayReplaceValue
00007ffa1e8f0305 (__TEXT,__text) external _OSArraySetStringValue
00007ffa1e8f0410 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffa1e8f00b6 (__TEXT,__text) external _OSArraySetValue
00007ffa41940fa8 (__DATA_CONST,__const) external _OSArray_Class
00007ffa419410a0 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffa41941198 (__DATA_CONST,__const) external _OSBundle_Class
00007ffa1e8ee426 (__TEXT,__text) external _OSCollectionTypeID
00007ffa1e90d236 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffa1e8ee3ac (__TEXT,__text) external _OSCollectionTypeName
00007ffa1e90d1f2 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffa41941290 (__DATA_CONST,__const) external _OSCollection_Class
00007ffa1e8f2a42 (__TEXT,__text) external _OSCollectionsInitialize
00007ffa41941388 (__DATA_CONST,__const) external _OSContainer_Class
00007ffa1e8ee482 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffa1e90d27c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffa1e8f0c21 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffa1e90d6dc (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffa1e8f0b23 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffa1e8ef2db (__TEXT,__text) external _OSDataAppendBytes
00007ffa1e8ef259 (__TEXT,__text) external _OSDataCreate
00007ffa1e8ef208 (__TEXT,__text) external _OSDataGetBytes
00007ffa1e8ef1bf (__TEXT,__text) external _OSDataGetBytesPtr
00007ffa1e8ef1f7 (__TEXT,__text) external _OSDataGetLength
00007ffa419414e8 (__DATA_CONST,__const) external _OSData_Class
00007ffa1e8ef463 (__TEXT,__text) external _OSDictionaryApply
00007ffa1e8ef3f5 (__TEXT,__text) external _OSDictionaryCreate
00007ffa1e8ef449 (__TEXT,__text) external _OSDictionaryGetCount
00007ffa1e8efab4 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffa1e8efbc6 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffa1e8efa17 (__TEXT,__text) external _OSDictionaryGetValue
00007ffa1e8efb81 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffa1e8efc65 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffa1e8ef71e (__TEXT,__text) external _OSDictionarySetValue
00007ffa419415e0 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffa419416d8 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffa1e8ef393 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffa1e8ef372 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffa419417d0 (__DATA_CONST,__const) external _OSNumber_Class
00007ffa1e8f126c (__TEXT,__text) external _OSObjectLog
00007ffa1e8ee3e2 (__TEXT,__text) external _OSObjectRelease
00007ffa1e8ee3d7 (__TEXT,__text) external _OSObjectRetain
00007ffa419418c8 (__DATA_CONST,__const) external _OSObject_Class
00007ffa41941a78 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffa1e8e5474 (__TEXT,__text) external _OSReportWithBacktrace
00007ffa1e8f0d4a (__TEXT,__text) external _OSSerializationGetBytes
00007ffa41941b70 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffa41941c68 (__DATA_CONST,__const) external _OSSet_Class
00007ffa1e8eeeef (__TEXT,__text) external _OSStringCreate
00007ffa1e90d32b (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffa1e8eeeae (__TEXT,__text) external _OSStringGetLength
00007ffa1e90d308 (__TEXT,__text) non-external _OSStringGetLength.cold.1
00007ffa1e8eee76 (__TEXT,__text) external _OSStringGetStringPtr
00007ffa41941d60 (__DATA_CONST,__const) external _OSString_Class
00007ffa1e8e4f2d (__TEXT,__text) external _OSSynchronizeIO
00007ffa43ab94b0 (__DATA,__bss) non-external _OSUniqueStrings
00007ffa1e8e5833 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffa1e8fe2a9 (__TEXT,__text) external _SHA1Final
00007ffa1e8fe080 (__TEXT,__text) external _SHA1Init
00007ffa1e8fe23e (__TEXT,__text) non-external _SHA1ToDi
00007ffa1e8fe181 (__TEXT,__text) external _SHA1Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffa1e8e5e3a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffa41941e58 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffa1e8e6162 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffa1e90bdf5 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffa1e90be18 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffa1e8e7739 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffa1e90c37b (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffa1e90c39e (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffa1e90c3c1 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffa1e90c3e4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffa1e90c407 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffa1e8e698b (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffa1e90c037 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffa1e90c05a (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffa1e90c07d (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffa1e90c0a0 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffa1e90c0e2 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00007ffa1e8e6390 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffa1e90bea4 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffa1e8f0262 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffa1e8f29e0 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffa1e8e5fd6 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffa1e90bd8c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffa1e90bdaf (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffa1e90bdd2 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffa1e8f0375 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffa1e8f03e5 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffa1e8f03a0 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffa1e8e61ba (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffa1e90be3b (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.1
00007ffa1e90be5e (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.2
00007ffa1e8f0750 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffa1e90d62d (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e90d650 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e90d673 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1e90d696 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffa1e90d6b9 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffa1e8e4a8c (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffa1e8e4b78 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffa1e8e667b (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffa1e8e7e6a (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffa1e8e5f48 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffa1e8e5eaf (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffa1e8f0d68 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffa1e90d6ff (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffa1e8e62d8 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffa1e90be81 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffa1e8ee44f (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffa1e90d259 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffa1e8ee3ed (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffa1e90d213 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffa1e8e3290 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffa1e90bc3c (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00007ffa1e8ef173 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffa1e8f044e (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffa1e90d443 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffa1e90d466 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffa1e90d489 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffa1e90d4ac (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffa1e90d4cf (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffa1e8ef13f (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffa1e8efd5d (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E
00007ffa1e90d3b7 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E.cold.1
00007ffa1e8efcf7 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry
00007ffa1e90d371 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.1
00007ffa1e90d394 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.2
00007ffa1e8ef356 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffa1e8f057b (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffa1e90d4f2 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e90d515 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e90d538 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1e8e783a (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00007ffa1e90c42a (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00007ffa1e90c44d (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00007ffa1e8e7e42 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffa1e8e72d2 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffa1e90aaf2 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffa1e8e4990 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffa1e8ee228 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffa1e90a99c (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffa1e8f1eb6 (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffa1e90e330 (__TEXT,__const) non-external __ZL11yytranslate
00007ffa1e90bb62 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffa1e90a470 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffa1e90aa38 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffa1e90abd6 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffa1e90ac1e (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffa1e8ef0cf (__TEXT,__text) non-external __ZL12OSStringFindjPKcm
00007ffa1e90b24c (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffa1e8fee72 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffa1e902ee6 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffa1e8ed2aa (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffa1e90cfb1 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffa1e90cfd4 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffa1e90cff7 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffa1e90a9f0 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffa1e902d86 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffa1e8e914c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffa1e90caa6 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffa1e90cac9 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffa1e90caec (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffa1e90cb0f (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffa1e9014cc (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffa1e902ae8 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffa1e909e84 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffa1e90aaaa (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffa1e8e7b2e (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffa1e90c470 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffa1e90c493 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffa1e90c4b6 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffa1e90c4d9 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffa1e8e891f (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffa1e90c8ab (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffa1e90c8ce (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffa1e90c8f1 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffa1e90c914 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffa1e8edc87 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffa1e90d0a6 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffa1e90d0c9 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffa1e90d0ec (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffa1e90d10f (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffa1e90d132 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffa1e90d155 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffa1e90d178 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffa43ab9488 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00007ffa1e8fef0e (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007ffa1e908942 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
