000000021eb5aa00 (__TEXT,__text) non-external _Done_iODBC
000000021eb5eec4 (__TEXT,__text) external _SQLDataSources
000000021eb5f00c (__TEXT,__text) external _SQLDataSourcesA
000000021eb5f154 (__TEXT,__text) external _SQLDataSourcesW
000000021eb5ea68 (__TEXT,__text) non-external _SQLDataSources_Internal
000000022f222778 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000022f222798 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000022f2227a0 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000021eb635a4 (__TEXT,__text) external _SQLDescribeCol
000000021eb63798 (__TEXT,__text) external _SQLDescribeColA
000000021eb6398c (__TEXT,__text) external _SQLDescribeColW
000000021eb632f4 (__TEXT,__text) non-external _SQLDescribeCol_Internal
000000021eb57d30 (__TEXT,__text) external _SQLDescribeParam
000000021eb56020 (__TEXT,__text) external _SQLDisconnect
000000021eb5529c (__TEXT,__text) external _SQLDriverConnect
000000021eb55418 (__TEXT,__text) external _SQLDriverConnectA
000000021eb55594 (__TEXT,__text) external _SQLDriverConnectW
000000021eb53ab4 (__TEXT,__text) non-external _SQLDriverConnect_Internal
000000021eb794a8 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
000000021eb794d4 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000021eb5f758 (__TEXT,__text) external _SQLDrivers
000000021eb5f8a0 (__TEXT,__text) external _SQLDriversA
000000021eb5f9e8 (__TEXT,__text) external _SQLDriversW
000000021eb5f374 (__TEXT,__text) non-external _SQLDrivers_Internal
000000022f22277c (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000022f2227a8 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000022f2227b0 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
000000021eb69f40 (__TEXT,__text) external _SQLEndTran
000000021eb5b17c (__TEXT,__text) external _SQLError
000000021eb5b2a4 (__TEXT,__text) external _SQLErrorA
000000021eb5b3cc (__TEXT,__text) external _SQLErrorW
000000021eb57238 (__TEXT,__text) external _SQLExecDirect
000000021eb57388 (__TEXT,__text) external _SQLExecDirectA
000000021eb574d8 (__TEXT,__text) external _SQLExecDirectW
000000021eb56fe0 (__TEXT,__text) non-external _SQLExecDirect_Internal
000000021eb56d18 (__TEXT,__text) external _SQLExecute
000000021eb5841c (__TEXT,__text) external _SQLExtendedFetch
000000021eb58164 (__TEXT,__text) external _SQLFetch
000000021eb6a1f0 (__TEXT,__text) external _SQLFetchScroll
000000021eb57fac (__TEXT,__text) non-external _SQLFetch_Internal
000000021eb4fccc (__TEXT,__text) external _SQLForeignKeys
000000021eb4ff88 (__TEXT,__text) external _SQLForeignKeysA
000000021eb50244 (__TEXT,__text) external _SQLForeignKeysW
000000021eb4f97c (__TEXT,__text) non-external _SQLForeignKeys_Internal
000000021eb590d8 (__TEXT,__text) external _SQLFreeConnect
000000021eb59030 (__TEXT,__text) non-external _SQLFreeConnect_Internal
000000021eb5a954 (__TEXT,__text) external _SQLFreeEnv
000000021eb5a8c8 (__TEXT,__text) non-external _SQLFreeEnv_Internal
000000021eb649e4 (__TEXT,__text) external _SQLFreeHandle
000000021eb5d8d4 (__TEXT,__text) external _SQLFreeStmt
000000021eb5d6cc (__TEXT,__text) non-external _SQLFreeStmt_Internal
000000021eb76030 (__TEXT,__text) non-external _SQLGetConfigMode
000000021eb67320 (__TEXT,__text) external _SQLGetConnectAttr
000000021eb677d0 (__TEXT,__text) external _SQLGetConnectAttrA
000000021eb67924 (__TEXT,__text) external _SQLGetConnectAttrW
000000021eb67474 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
000000021eb59f04 (__TEXT,__text) external _SQLGetConnectOption
000000021eb5a030 (__TEXT,__text) external _SQLGetConnectOptionA
000000021eb5a15c (__TEXT,__text) external _SQLGetConnectOptionW
000000021eb629c4 (__TEXT,__text) external _SQLGetCursorName
000000021eb62b2c (__TEXT,__text) external _SQLGetCursorNameA
000000021eb62c94 (__TEXT,__text) external _SQLGetCursorNameW
000000021eb627a4 (__TEXT,__text) non-external _SQLGetCursorName_Internal
000000021eb585a0 (__TEXT,__text) external _SQLGetData
000000021eb67ce4 (__TEXT,__text) external _SQLGetDescField
000000021eb67e58 (__TEXT,__text) external _SQLGetDescFieldA
000000021eb67fcc (__TEXT,__text) external _SQLGetDescFieldW
000000021eb67a78 (__TEXT,__text) non-external _SQLGetDescField_Internal
000000021eb68918 (__TEXT,__text) external _SQLGetDescRec
000000021eb68b4c (__TEXT,__text) external _SQLGetDescRecA
000000021eb68d80 (__TEXT,__text) external _SQLGetDescRecW
000000021eb686f0 (__TEXT,__text) non-external _SQLGetDescRec_Internal
000000021eb5ccc0 (__TEXT,__text) external _SQLGetDiagField
000000021eb5cdcc (__TEXT,__text) external _SQLGetDiagFieldA
000000021eb5ced8 (__TEXT,__text) external _SQLGetDiagFieldW
000000021eb5be80 (__TEXT,__text) non-external _SQLGetDiagField_Internal
000000021eb5bb20 (__TEXT,__text) external _SQLGetDiagRec
000000021eb5bc40 (__TEXT,__text) external _SQLGetDiagRecA
000000021eb5bd60 (__TEXT,__text) external _SQLGetDiagRecW
000000021eb5b4f4 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000021eb65120 (__TEXT,__text) external _SQLGetEnvAttr
000000021eb605f8 (__TEXT,__text) external _SQLGetFunctions
000000021eb601fc (__TEXT,__text) external _SQLGetInfo
000000021eb60350 (__TEXT,__text) external _SQLGetInfoA
000000021eb604a4 (__TEXT,__text) external _SQLGetInfoW
000000021eb5fc08 (__TEXT,__text) non-external _SQLGetInfo_Internal
000000021eb78ec4 (__TEXT,__text) non-external _SQLGetKeywordValue
000000021eb78f10 (__TEXT,__text) non-external _SQLGetKeywordValueW
000000021eb789e8 (__TEXT,__text) non-external _SQLGetPrivateProfileString
000000021eb78be8 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
000000021eb659a4 (__TEXT,__text) external _SQLGetStmtAttr
000000021eb65b1c (__TEXT,__text) external _SQLGetStmtAttrA
000000021eb65c94 (__TEXT,__text) external _SQLGetStmtAttrW
000000021eb65304 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000021eb5e11c (__TEXT,__text) external _SQLGetStmtOption
000000021eb5e268 (__TEXT,__text) external _SQLGetStmtOptionA
000000021eb5df3c (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000000021eb4cba4 (__TEXT,__text) external _SQLGetTypeInfo
000000021eb4cce4 (__TEXT,__text) external _SQLGetTypeInfoA
000000021eb4ce24 (__TEXT,__text) external _SQLGetTypeInfoW
000000021eb4c9e4 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
000000021eb58918 (__TEXT,__text) external _SQLMoreResults
000000021eb56410 (__TEXT,__text) external _SQLNativeSql
000000021eb5657c (__TEXT,__text) external _SQLNativeSqlA
000000021eb566e8 (__TEXT,__text) external _SQLNativeSqlW
000000021eb561a8 (__TEXT,__text) non-external _SQLNativeSql_Internal
000000021eb57b28 (__TEXT,__text) external _SQLNumParams
000000021eb630e0 (__TEXT,__text) external _SQLNumResultCols
000000021eb578a0 (__TEXT,__text) external _SQLParamData
000000021eb61cfc (__TEXT,__text) external _SQLParamOptions
000000021eb60f70 (__TEXT,__text) external _SQLPrepare
000000021eb610c0 (__TEXT,__text) external _SQLPrepareA
000000021eb61210 (__TEXT,__text) external _SQLPrepareW
000000021eb60d60 (__TEXT,__text) non-external _SQLPrepare_Internal
000000021eb5072c (__TEXT,__text) external _SQLPrimaryKeys
000000021eb508d4 (__TEXT,__text) external _SQLPrimaryKeysA
000000021eb50a7c (__TEXT,__text) external _SQLPrimaryKeysW
000000021eb50500 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000021eb50eb4 (__TEXT,__text) external _SQLProcedureColumns
000000021eb51098 (__TEXT,__text) external _SQLProcedureColumnsA
000000021eb5127c (__TEXT,__text) external _SQLProcedureColumnsW
000000021eb50c24 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000021eb5168c (__TEXT,__text) external _SQLProcedures
000000021eb51834 (__TEXT,__text) external _SQLProceduresA
000000021eb519dc (__TEXT,__text) external _SQLProceduresW
000000021eb51460 (__TEXT,__text) non-external _SQLProcedures_Internal
000000021eb57628 (__TEXT,__text) external _SQLPutData
000000021eb756d0 (__TEXT,__text) non-external _SQLReadFileDSN
000000021eb75860 (__TEXT,__text) non-external _SQLReadFileDSNW
000000021eb62dfc (__TEXT,__text) external _SQLRowCount
000000021eb78f5c (__TEXT,__text) non-external _SQLSetConfigMode
000000021eb66d2c (__TEXT,__text) external _SQLSetConnectAttr
000000021eb67098 (__TEXT,__text) external _SQLSetConnectAttrA
000000021eb671dc (__TEXT,__text) external _SQLSetConnectAttrW
000000021eb66e70 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
000000021eb59778 (__TEXT,__text) external _SQLSetConnectOption
000000021eb598a4 (__TEXT,__text) external _SQLSetConnectOptionA
000000021eb599d0 (__TEXT,__text) external _SQLSetConnectOptionW
000000021eb6150c (__TEXT,__text) external _SQLSetCursorName
000000021eb6165c (__TEXT,__text) external _SQLSetCursorNameA
000000021eb617ac (__TEXT,__text) external _SQLSetCursorNameW
000000021eb61360 (__TEXT,__text) non-external _SQLSetCursorName_Internal
000000021eb682dc (__TEXT,__text) external _SQLSetDescField
000000021eb68438 (__TEXT,__text) external _SQLSetDescFieldA
000000021eb68594 (__TEXT,__text) external _SQLSetDescFieldW
000000021eb68140 (__TEXT,__text) non-external _SQLSetDescField_Internal
000000021eb68fb4 (__TEXT,__text) external _SQLSetDescRec
000000021eb64f0c (__TEXT,__text) external _SQLSetEnvAttr
000000021eb6502c (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
000000021eb79438 (__TEXT,__text) non-external _SQLSetKeywordValue
000000021eb79444 (__TEXT,__text) non-external _SQLSetKeywordValueW
000000021eb62410 (__TEXT,__text) external _SQLSetParam
000000021eb58d18 (__TEXT,__text) external _SQLSetPos
000000021eb61fac (__TEXT,__text) external _SQLSetScrollOptions
000000021eb668f4 (__TEXT,__text) external _SQLSetStmtAttr
000000021eb66a5c (__TEXT,__text) external _SQLSetStmtAttrA
000000021eb66bc4 (__TEXT,__text) external _SQLSetStmtAttrW
000000021eb65e0c (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
000000021eb5da20 (__TEXT,__text) external _SQLSetStmtOption
000000021eb5ddf0 (__TEXT,__text) external _SQLSetStmtOptionA
000000021eb5db6c (__TEXT,__text) non-external _SQLSetStmtOption_Internal
000000021eb4d1f0 (__TEXT,__text) external _SQLSpecialColumns
000000021eb4d430 (__TEXT,__text) external _SQLSpecialColumnsA
000000021eb4d670 (__TEXT,__text) external _SQLSpecialColumnsW
000000021eb4cf64 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
000000021eb4db1c (__TEXT,__text) external _SQLStatistics
000000021eb4dd00 (__TEXT,__text) external _SQLStatisticsA
000000021eb4dee4 (__TEXT,__text) external _SQLStatisticsW
000000021eb4d8b0 (__TEXT,__text) non-external _SQLStatistics_Internal
000000021eb51db0 (__TEXT,__text) external _SQLTablePrivileges
000000021eb51f58 (__TEXT,__text) external _SQLTablePrivilegesA
000000021eb52100 (__TEXT,__text) external _SQLTablePrivilegesW
000000021eb51b84 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
000000021eb4e358 (__TEXT,__text) external _SQLTables
000000021eb4e53c (__TEXT,__text) external _SQLTablesA
000000021eb4e720 (__TEXT,__text) external _SQLTablesW
000000021eb4e0c8 (__TEXT,__text) non-external _SQLTables_Internal
000000021eb5a594 (__TEXT,__text) external _SQLTransact
000000021eb5a288 (__TEXT,__text) non-external _SQLTransact_Internal
000000021eb7613c (__TEXT,__text) non-external _SQLValidDSN
000000021eb761c4 (__TEXT,__text) non-external _SQLValidDSNW
000000021eb75468 (__TEXT,__text) non-external _SQLWriteFileDSN
000000021eb75524 (__TEXT,__text) non-external _SQLWriteFileDSNW
000000021eb790f4 (__TEXT,__text) non-external _SQLWritePrivateProfileString
000000021eb7928c (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
000000021eb5ee58 (__TEXT,__text) non-external _SectSorter
000000021eb76084 (__TEXT,__text) non-external _ValidDSN
000000021eb760e4 (__TEXT,__text) non-external _ValidDSNW
000000021eb78fbc (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000021eb64dd0 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
000000021eb7730c (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
000000022f2227e8 (__DATA,__common) non-external __iodbc_env_counter
000000021eb75a44 (__TEXT,__text) non-external __iodbcadm_getinifile
000000021eb5e848 (__TEXT,__text) non-external __iodbcdm_BindColumn
000000021eb5e94c (__TEXT,__text) non-external __iodbcdm_ConvBindData
000000021eb58298 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
000000021eb5d678 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
000000021eb59afc (__TEXT,__text) non-external __iodbcdm_GetConnectOption
000000021eb62fb8 (__TEXT,__text) non-external __iodbcdm_NumResultCols
000000021eb5d898 (__TEXT,__text) non-external __iodbcdm_RemoveBind
000000021eb591c0 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
000000021eb524f4 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
000000021eb58bb4 (__TEXT,__text) non-external __iodbcdm_SetPos
000000021eb5e8e4 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
000000021eb5e5c4 (__TEXT,__text) non-external __iodbcdm_alloc_param
000000022f2227f0 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
000000021eb5ea00 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
000000021eb4cacc (__TEXT,__text) non-external __iodbcdm_cata_state_ok
000000021eb4cb40 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
000000021eb779dc (__TEXT,__text) non-external __iodbcdm_cfg_commit
000000021eb76c60 (__TEXT,__text) non-external __iodbcdm_cfg_done
000000021eb774b0 (__TEXT,__text) non-external __iodbcdm_cfg_find
000000021eb7713c (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
000000021eb76bb4 (__TEXT,__text) non-external __iodbcdm_cfg_init
000000021eb60b1c (__TEXT,__text) non-external __iodbcdm_cfg_init_str
000000021eb77c5c (__TEXT,__text) non-external __iodbcdm_cfg_next_section
000000021eb773e4 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
000000021eb60ba0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
000000021eb609ec (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
000000021eb76ca4 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
000000021eb773b8 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
000000021eb54f4c (__TEXT,__text) non-external __iodbcdm_cfg_savefile
000000021eb77ca4 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
000000021eb7721c (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
000000021eb60c18 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
000000021eb775a4 (__TEXT,__text) non-external __iodbcdm_cfg_write
000000021eb75cb8 (__TEXT,__text) non-external __iodbcdm_check_for_string
000000021eb54cec (__TEXT,__text) non-external __iodbcdm_con_settracing
000000021eb5e668 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000021eb5e758 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
000000021eb54e10 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
000000021eb56c00 (__TEXT,__text) non-external __iodbcdm_dllclose
000000021eb56c70 (__TEXT,__text) non-external __iodbcdm_dllerror
000000021eb56b48 (__TEXT,__text) non-external __iodbcdm_dllopen
000000021eb56b44 (__TEXT,__text) non-external __iodbcdm_dllproc
000000021eb56ca4 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
000000021eb52760 (__TEXT,__text) non-external __iodbcdm_driverload
000000021eb52db8 (__TEXT,__text) non-external __iodbcdm_driverunload
000000021eb5d580 (__TEXT,__text) non-external __iodbcdm_dropstmt
000000021eb596fc (__TEXT,__text) non-external __iodbcdm_drvopt_store
000000021eb52314 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
000000021eb5aa04 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
000000021eb569f8 (__TEXT,__text) non-external __iodbcdm_getInfo_init
000000021eb75d90 (__TEXT,__text) non-external __iodbcdm_getdsnfile
000000021eb56ae4 (__TEXT,__text) non-external __iodbcdm_getproc
000000022f222790 (__DATA,__bss) non-external __iodbcdm_initialized
000000021eb77ebc (__TEXT,__text) non-external __iodbcdm_list_entries
000000021eb77df0 (__TEXT,__text) non-external __iodbcdm_list_sections
000000021eb63288 (__TEXT,__text) non-external __iodbcdm_map_c_type
000000021eb6321c (__TEXT,__text) non-external __iodbcdm_map_sql_type
000000021eb56854 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
000000021eb522a8 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
000000021eb79450 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
000000021eb54ab0 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
000000021eb5518c (__TEXT,__text) non-external __iodbcdm_pool_put_conn
000000021eb523e0 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
000000021eb550d0 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
000000021eb5aa34 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
000000021eb75d1c (__TEXT,__text) non-external __iodbcdm_remove_quotes
000000021eb56c74 (__TEXT,__text) non-external __iodbcdm_safe_unload
000000021eb5aaac (__TEXT,__text) non-external __iodbcdm_sqlerror
000000021eb75f94 (__TEXT,__text) non-external __iodbcdm_strlcat
000000021eb75f38 (__TEXT,__text) non-external __iodbcdm_strlcpy
000000021eb5a388 (__TEXT,__text) non-external __iodbcdm_transact
000000022c064dc8 (__DATA_CONST,__const) non-external __mask_CONVERT
000000022c0659a0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
000000022c065a48 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
000000022c064e88 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
000000022c064f18 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
000000022c065550 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
000000022c065588 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
000000022c065288 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
000000022c0655d8 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
000000022c0655f0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
000000022c065610 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
000000022c065330 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
000000022c065638 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
000000022c065650 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
000000022c064da0 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
000000022c064db0 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
000000022c065260 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
000000022c065680 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
000000022c0656c8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
000000022c0656e8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
000000022c0656f8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
000000022c065748 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
000000022c065768 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
000000022c0657e0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
000000022c0657f0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
000000022c065818 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
000000022c065830 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
000000022c0658b0 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
000000022c0658e0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
000000022c0658f0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
000000022c065900 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
000000022c065910 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
000000022c065930 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
000000022c065950 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
000000022c065970 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
000000022c065980 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
000000022c0658c8 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
000000022c064ed0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
000000022c0653b8 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
000000022c065370 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
000000022c065398 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
000000022c065ad8 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
000000022c065af0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
000000022c065bb0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
000000022c0653d0 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
000000022c065278 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
000000022c0653f0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
000000022c064f40 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
000000022c065008 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
000000022c065bd0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
000000022c065020 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
000000022c065030 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
000000022c065408 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
000000022c065bf0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
000000022c065c08 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
000000022c065478 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
000000022c065448 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
000000022c065c28 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
000000022c065048 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
000000022c065070 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
000000022c065c80 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
000000022c065ca0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
000000022c065cc8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
000000022c065cf0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
000000022c065d60 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
000000022c065d98 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
000000022c065e10 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
000000022c065e68 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
000000022c065ee8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
000000022c065f10 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
