                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018f360e58 (__TEXT,__text) non-external _alone_decode
000000018f359308 (__TEXT,__text) non-external _length_update_prices
000000018f3664d8 (__TEXT,__text) non-external _lz_decode
000000018f366694 (__TEXT,__text) non-external _lz_decoder_end
000000018f35a518 (__TEXT,__text) non-external _lz_encode
000000018f35e63c (__TEXT,__text) non-external _lz_encoder_end
000000018f3594a4 (__TEXT,__text) non-external _lz_encoder_prepare
000000018f36456c (__TEXT,__text) non-external _lz_encoder_set_out_limit
000000018f3644f4 (__TEXT,__text) non-external _lz_encoder_update
000000018f363f34 (__TEXT,__text) non-external _lzip_decode
000000018f364390 (__TEXT,__text) non-external _lzip_decoder_end
000000018f3643d4 (__TEXT,__text) non-external _lzip_decoder_get_check
000000018f3643dc (__TEXT,__text) non-external _lzip_decoder_memconfig
000000018f3735c8 (__TEXT,__const) non-external _lzma12_mf_map
000000018f373598 (__TEXT,__const) non-external _lzma12_mode_map
00000001df53b390 (__DATA_CONST,__const) non-external _lzma12_optmap
000000018f36afd4 (__TEXT,__text) non-external _lzma2_decode
000000018f36b2e0 (__TEXT,__text) non-external _lzma2_decoder_end
000000018f36ae48 (__TEXT,__text) non-external _lzma2_decoder_init
000000018f35a728 (__TEXT,__text) non-external _lzma2_encode
000000018f35e6c0 (__TEXT,__text) non-external _lzma2_encoder_end
000000018f358cec (__TEXT,__text) non-external _lzma2_encoder_init
000000018f36ac7c (__TEXT,__text) non-external _lzma2_encoder_options_update
000000018f36f3d8 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
000000018f36f3b0 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
000000018f357f88 (__TEXT,__text) non-external (was a private external) _lzma_alloc
000000018f35e8d0 (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
000000018f361194 (__TEXT,__text) external _lzma_alone_decoder
000000018f360d58 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
000000018f35f650 (__TEXT,__text) external _lzma_alone_encoder
000000018f361204 (__TEXT,__text) external _lzma_auto_decoder
000000018f35f9fc (__TEXT,__text) external _lzma_block_buffer_bound
000000018f35f9ac (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
000000018f3615d4 (__TEXT,__text) external _lzma_block_buffer_decode
000000018f35fa4c (__TEXT,__text) external _lzma_block_buffer_encode
000000018f35eb40 (__TEXT,__text) external _lzma_block_compressed_size
000000018f361b64 (__TEXT,__text) external _lzma_block_decoder
000000018f36171c (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
000000018f360020 (__TEXT,__text) external _lzma_block_encoder
000000018f3586d0 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
000000018f361bd0 (__TEXT,__text) external _lzma_block_header_decode
000000018f359ea0 (__TEXT,__text) external _lzma_block_header_encode
000000018f3584c4 (__TEXT,__text) external _lzma_block_header_size
000000018f35ebb0 (__TEXT,__text) external _lzma_block_total_size
000000018f35fcd8 (__TEXT,__text) external _lzma_block_uncomp_encode
000000018f35a004 (__TEXT,__text) external _lzma_block_unpadded_size
000000018f359e28 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
000000018f363cd4 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
000000018f358854 (__TEXT,__text) non-external (was a private external) _lzma_check_init
000000018f358834 (__TEXT,__text) external _lzma_check_is_supported
000000018f36f550 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
000000018f35db08 (__TEXT,__text) external _lzma_check_size
000000018f36f560 (__TEXT,__const) non-external _lzma_check_size.check_sizes
000000018f35b214 (__TEXT,__text) non-external (was a private external) _lzma_check_update
000000018f359920 (__TEXT,__text) external _lzma_code
000000018f3607e0 (__TEXT,__text) external _lzma_cputhreads
000000018f3581f0 (__TEXT,__text) external _lzma_crc32
000000018f36f570 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
000000018f363d0c (__TEXT,__text) external _lzma_crc64
000000018f371570 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
000000018f367cac (__TEXT,__text) non-external _lzma_decode
000000018f3756d0 (__TEXT,__const) non-external _lzma_decode.next_state
000000018f36a98c (__TEXT,__text) non-external _lzma_decoder_init
000000018f36a6d8 (__TEXT,__text) non-external _lzma_decoder_reset
000000018f36a968 (__TEXT,__text) non-external _lzma_decoder_uncompressed
000000018f36cbd0 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
000000018f36cd1c (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
000000018f36ceec (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
000000018f36cd48 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
000000018f36cf9c (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
000000018f36cea4 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
000000018f360090 (__TEXT,__text) external _lzma_easy_buffer_encode
000000018f361dc4 (__TEXT,__text) external _lzma_easy_decoder_memusage
000000018f357c68 (__TEXT,__text) external _lzma_easy_encoder
000000018f360140 (__TEXT,__text) external _lzma_easy_encoder_memusage
000000018f357cd4 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
000000018f366998 (__TEXT,__text) non-external _lzma_encode
000000018f36686c (__TEXT,__text) non-external _lzma_encoder_init
000000018f35e534 (__TEXT,__text) external _lzma_end
000000018f3736ce (__TEXT,__const) non-external (was a private external) _lzma_fastpos
000000018f367250 (__TEXT,__text) external _lzma_file_info_decoder
000000018f3672d8 (__TEXT,__text) non-external _lzma_file_info_decoder_init
000000018f361fa0 (__TEXT,__text) external _lzma_filter_decoder_is_supported
000000018f36056c (__TEXT,__text) external _lzma_filter_encoder_is_supported
000000018f3620f8 (__TEXT,__text) external _lzma_filter_flags_decode
000000018f35a09c (__TEXT,__text) external _lzma_filter_flags_encode
000000018f3585cc (__TEXT,__text) external _lzma_filter_flags_size
000000018f35975c (__TEXT,__text) external _lzma_filters_copy
000000018f35ebd8 (__TEXT,__text) external _lzma_filters_free
000000018f3605a0 (__TEXT,__text) external _lzma_filters_update
000000018f36f516 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
000000018f359738 (__TEXT,__text) non-external (was a private external) _lzma_free
000000018f35ea04 (__TEXT,__text) external _lzma_get_check
000000018f35e9dc (__TEXT,__text) external _lzma_get_progress
000000018f36f510 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
000000018f35db28 (__TEXT,__text) external _lzma_index_append
000000018f35e070 (__TEXT,__text) external _lzma_index_block_count
000000018f3626e8 (__TEXT,__text) external _lzma_index_buffer_decode
000000018f36086c (__TEXT,__text) external _lzma_index_buffer_encode
000000018f35f044 (__TEXT,__text) external _lzma_index_cat
000000018f35ef48 (__TEXT,__text) external _lzma_index_checks
000000018f362674 (__TEXT,__text) external _lzma_index_decoder
000000018f3621b8 (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
000000018f35f2a4 (__TEXT,__text) external _lzma_index_dup
000000018f360800 (__TEXT,__text) external _lzma_index_encoder
000000018f35dd4c (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
000000018f357fb8 (__TEXT,__text) external _lzma_index_end
000000018f35eec0 (__TEXT,__text) external _lzma_index_file_size
000000018f3628c8 (__TEXT,__text) external _lzma_index_hash_append
000000018f362a34 (__TEXT,__text) external _lzma_index_hash_decode
000000018f36288c (__TEXT,__text) external _lzma_index_hash_end
000000018f36281c (__TEXT,__text) external _lzma_index_hash_init
000000018f362890 (__TEXT,__text) external _lzma_index_hash_size
000000018f35801c (__TEXT,__text) external _lzma_index_init
000000018f35de24 (__TEXT,__text) external _lzma_index_iter_init
000000018f35f4e4 (__TEXT,__text) external _lzma_index_iter_locate
000000018f35e078 (__TEXT,__text) external _lzma_index_iter_next
000000018f35f4d0 (__TEXT,__text) external _lzma_index_iter_rewind
000000018f35edc4 (__TEXT,__text) external _lzma_index_memusage
000000018f35ee1c (__TEXT,__text) external _lzma_index_memused
000000018f35e418 (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
000000018f35edac (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
000000018f35e454 (__TEXT,__text) external _lzma_index_size
000000018f35ee6c (__TEXT,__text) external _lzma_index_stream_count
000000018f35ef74 (__TEXT,__text) external _lzma_index_stream_flags
000000018f35efd4 (__TEXT,__text) external _lzma_index_stream_padding
000000018f35ee7c (__TEXT,__text) external _lzma_index_stream_size
000000018f35ee74 (__TEXT,__text) external _lzma_index_total_size
000000018f35ef40 (__TEXT,__text) external _lzma_index_uncompressed_size
000000018f366338 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
000000018f366700 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
000000018f358acc (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
000000018f364490 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
000000018f36441c (__TEXT,__text) external _lzma_lzip_decoder
000000018f363df4 (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
000000018f36ac48 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
000000018f36ae34 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
000000018f36af1c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
000000018f358ab8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
000000018f36ac20 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
000000018f36af38 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
000000018f35a260 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
000000018f367c14 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
000000018f36a978 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
000000018f36aae8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
000000018f36aac4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
000000018f35aa98 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
000000018f358e08 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
000000018f366858 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
000000018f366890 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
000000018f358fac (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
000000018f36aa60 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
000000018f35dab8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
000000018f366ecc (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
000000018f35b77c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
000000018f357d1c (__TEXT,__text) external _lzma_lzma_preset
000000018f3736ca (__TEXT,__const) non-external _lzma_lzma_preset.depths
000000018f3736c0 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
000000018f36ab40 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
000000018f366928 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
000000018f3669b4 (__TEXT,__text) non-external _lzma_lzma_set_out_limit
000000018f35ea80 (__TEXT,__text) external _lzma_memlimit_get
000000018f35eae0 (__TEXT,__text) external _lzma_memlimit_set
000000018f35ea20 (__TEXT,__text) external _lzma_memusage
000000018f364c30 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
000000018f364cf4 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
000000018f364d9c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
000000018f364f54 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
000000018f35d254 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
000000018f35b2f4 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
000000018f35d158 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
000000018f3645bc (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
000000018f36484c (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
000000018f36490c (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
000000018f364b50 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
000000018f36458c (__TEXT,__text) external _lzma_mf_is_supported
000000018f362f14 (__TEXT,__text) external _lzma_microlzma_decoder
000000018f360198 (__TEXT,__text) external _lzma_microlzma_encoder
000000018f366988 (__TEXT,__text) external _lzma_mode_is_supported
000000018f360730 (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
000000018f357f10 (__TEXT,__text) non-external (was a private external) _lzma_next_end
000000018f358a2c (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
000000018f35e954 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
000000018f3669fc (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
000000018f366a5c (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
000000018f366e88 (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
000000018f366c34 (__TEXT,__text) non-external (was a private external) _lzma_outq_end
000000018f366d34 (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
000000018f366b18 (__TEXT,__text) non-external (was a private external) _lzma_outq_init
000000018f366d98 (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
000000018f3669dc (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
000000018f366c8c (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
000000018f366dd0 (__TEXT,__text) non-external (was a private external) _lzma_outq_read
000000018f35eda8 (__TEXT,__text) external _lzma_physmem
000000018f3620b8 (__TEXT,__text) external _lzma_properties_decode
000000018f35a220 (__TEXT,__text) external _lzma_properties_encode
000000018f358640 (__TEXT,__text) external _lzma_properties_size
000000018f361e1c (__TEXT,__text) external _lzma_raw_buffer_decode
000000018f360460 (__TEXT,__text) external _lzma_raw_buffer_encode
000000018f35889c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
000000018f35ed18 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
000000018f362020 (__TEXT,__text) external _lzma_raw_decoder
000000018f362008 (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
000000018f3620a0 (__TEXT,__text) external _lzma_raw_decoder_memusage
000000018f3606ac (__TEXT,__text) external _lzma_raw_encoder
000000018f358884 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
000000018f360694 (__TEXT,__text) external _lzma_raw_encoder_memusage
000000018f375720 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
000000018f36ad3c (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
000000018f36ad18 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
000000018f36dad4 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
000000018f36dab0 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
000000018f36dbb4 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
000000018f36db90 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
000000018f36d000 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
000000018f36d8f4 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
000000018f36d8d0 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
000000018f36d7f8 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
000000018f36d7d4 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
000000018f36d53c (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
000000018f36d524 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
000000018f36d4fc (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
000000018f36f0e8 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
000000018f36f0c4 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
000000018f36d630 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
000000018f36d5cc (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
000000018f365540 (__TEXT,__text) external _lzma_str_from_filters
000000018f3659a0 (__TEXT,__text) external _lzma_str_list_filters
000000018f3650ac (__TEXT,__text) external _lzma_str_to_filters
000000018f360964 (__TEXT,__text) external _lzma_stream_buffer_bound
000000018f362d8c (__TEXT,__text) external _lzma_stream_buffer_decode
000000018f360994 (__TEXT,__text) external _lzma_stream_buffer_encode
000000018f3639b4 (__TEXT,__text) external _lzma_stream_decoder
000000018f363318 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
000000018f36b324 (__TEXT,__text) external _lzma_stream_decoder_mt
000000018f357e10 (__TEXT,__text) external _lzma_stream_encoder
000000018f36dc98 (__TEXT,__text) external _lzma_stream_encoder_mt
000000018f36dff8 (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
000000018f35f5ac (__TEXT,__text) external _lzma_stream_flags_compare
000000018f363ae0 (__TEXT,__text) external _lzma_stream_footer_decode
000000018f35e48c (__TEXT,__text) external _lzma_stream_footer_encode
000000018f363a28 (__TEXT,__text) external _lzma_stream_header_decode
000000018f35816c (__TEXT,__text) external _lzma_stream_header_encode
000000018f357e84 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
000000018f35ec54 (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
000000018f35e8b8 (__TEXT,__text) external _lzma_version_number
000000018f35e8c4 (__TEXT,__text) external _lzma_version_string
000000018f363b88 (__TEXT,__text) external _lzma_vli_decode
000000018f35a16c (__TEXT,__text) external _lzma_vli_encode
000000018f3586ac (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
000000018f35d6c0 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
000000018f36309c (__TEXT,__text) non-external _microlzma_decode
000000018f3632d8 (__TEXT,__text) non-external _microlzma_decoder_end
000000018f362fa4 (__TEXT,__text) non-external _microlzma_decoder_init
000000018f36033c (__TEXT,__text) non-external _microlzma_encode
000000018f360420 (__TEXT,__text) non-external _microlzma_encoder_end
000000018f360200 (__TEXT,__text) non-external _microlzma_encoder_init
000000018f366bb4 (__TEXT,__text) non-external _move_head_to_cache
000000018f35b4f8 (__TEXT,__text) non-external _move_pos
000000018f365034 (__TEXT,__text) non-external _normalize
000000018f365f50 (__TEXT,__text) non-external _parse_bcj
000000018f365f60 (__TEXT,__text) non-external _parse_delta
000000018f365edc (__TEXT,__text) non-external _parse_lzma12
000000018f365f7c (__TEXT,__text) non-external _parse_options
000000018f36d81c (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
000000018f35b52c (__TEXT,__text) non-external _rc_encode
000000018f36c4d8 (__TEXT,__text) non-external _read_output_and_wait
000000018f367b94 (__TEXT,__text) non-external _reverse_seek
000000018f36d15c (__TEXT,__text) non-external _simple_code
000000018f36d3ec (__TEXT,__text) non-external _simple_coder_end
000000018f36d438 (__TEXT,__text) non-external _simple_coder_update
000000018f36f10c (__TEXT,__text) non-external _sparc_code
000000018f36593c (__TEXT,__text) non-external _str_append_str
000000018f365dc8 (__TEXT,__text) non-external _str_append_u32
000000018f373658 (__TEXT,__const) non-external _str_append_u32.suffixes
000000018f36348c (__TEXT,__text) non-external _stream_decode
000000018f36b608 (__TEXT,__text) non-external _stream_decode_mt
000000018f36391c (__TEXT,__text) non-external _stream_decoder_end
000000018f36396c (__TEXT,__text) non-external _stream_decoder_get_check
000000018f363974 (__TEXT,__text) non-external _stream_decoder_memconfig
000000018f36c17c (__TEXT,__text) non-external _stream_decoder_mt_end
000000018f36c1ec (__TEXT,__text) non-external _stream_decoder_mt_get_check
000000018f36c2a8 (__TEXT,__text) non-external _stream_decoder_mt_get_progress
000000018f36b390 (__TEXT,__text) non-external _stream_decoder_mt_init
000000018f36c1f4 (__TEXT,__text) non-external _stream_decoder_mt_memconfig
000000018f359bb4 (__TEXT,__text) non-external _stream_encode
000000018f36f530 (__TEXT,__const) non-external _stream_encode.convert
000000018f36e1bc (__TEXT,__text) non-external _stream_encode_mt
000000018f35e594 (__TEXT,__text) non-external _stream_encoder_end
000000018f360bbc (__TEXT,__text) non-external _stream_encoder_init
000000018f36e8e0 (__TEXT,__text) non-external _stream_encoder_mt_end
000000018f36dd0c (__TEXT,__text) non-external _stream_encoder_mt_init
000000018f36ea38 (__TEXT,__text) non-external _stream_encoder_mt_update
000000018f358318 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
000000018f36c374 (__TEXT,__text) non-external _threads_end
000000018f36eb24 (__TEXT,__text) non-external _threads_end
000000018f36c450 (__TEXT,__text) non-external _threads_stop
000000018f36ebf8 (__TEXT,__text) non-external _threads_stop
000000018f35e820 (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
000000018f35e7dc (__TEXT,__text) non-external (was a private external) _tuklib_physmem
000000018f36c970 (__TEXT,__text) non-external _worker_decoder
000000018f36c920 (__TEXT,__text) non-external _worker_enable_partial_update
000000018f36f064 (__TEXT,__text) non-external _worker_error
000000018f36ece8 (__TEXT,__text) non-external _worker_start
000000018f36d638 (__TEXT,__text) non-external _x86_code
000000018f3757a8 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
000000018f36d5d4 (__TEXT,__text) non-external _x86_coder_init
