00000001d93a3578 (__DATA,__common) external _BC
00000001a6fef610 (__TEXT,__text) external __nc_makenew
00000001a6fe0c1c (__TEXT,__text) external __nc_merge_entry
00000001a6fed9b8 (__TEXT,__text) external __nc_msec_cost
00000001a6fedbd0 (__TEXT,__text) external __nc_mvcur_init
00000001a6fedb1c (__TEXT,__text) external __nc_mvcur_resume
00000001a6fee168 (__TEXT,__text) external __nc_mvcur_wrap
00000001a6ff6974 (__TEXT,__text) external __nc_name_match
00000001a6fddaf8 (__TEXT,__text) external __nc_next_db
00000001d93a3588 (__DATA,__common) external __nc_nulls_sent
00000001d93a3218 (__DATA,__common) external __nc_oldnums
00000001a6fde898 (__TEXT,__text) external __nc_ospeed
00000001a6ff47b4 (__TEXT,__text) external __nc_outch
00000001a6ff6a38 (__TEXT,__text) external __nc_panelhook
00000001a6fe5680 (__TEXT,__text) external __nc_panic_mode
00000001a6ff6a54 (__TEXT,__text) external __nc_parse_entry
00000001a6fddac4 (__TEXT,__text) external __nc_pathlast
00000001d93a2cc0 (__DATA,__data) external __nc_prescreen
00000001a6ff8f98 (__TEXT,__text) external __nc_printf_string
00000001d93a3458 (__DATA,__common) external __nc_progname
00000001a6fe5ae8 (__TEXT,__text) external __nc_push_token
00000001a6fdd978 (__TEXT,__text) external __nc_read_entry
00000001a6fe4480 (__TEXT,__text) external __nc_read_entry_source
00000001a6fdddf4 (__TEXT,__text) external __nc_read_file_entry
00000001a6ff8544 (__TEXT,__text) external __nc_read_termcap_entry
00000001a6fddfd0 (__TEXT,__text) external __nc_read_termtype
00000001a6ff9334 (__TEXT,__text) external __nc_remove_key
00000001a6ff93b8 (__TEXT,__text) external __nc_remove_string
00000001a6fe76c8 (__TEXT,__text) external __nc_render
00000001a6fe9884 (__TEXT,__text) external __nc_reset_colors
00000001a6fe4a94 (__TEXT,__text) external __nc_reset_input
00000001a6fe4a8c (__TEXT,__text) external __nc_resolve_uses
00000001a6fe4618 (__TEXT,__text) external __nc_resolve_uses2
00000001a6ff2924 (__TEXT,__text) external __nc_ripoffline
00000001a6fe042c (__TEXT,__text) external __nc_rootname
00000001a6ff918c (__TEXT,__text) external __nc_safe_strcat
00000001a6ff9204 (__TEXT,__text) external __nc_safe_strcpy
00000001a6fe0828 (__TEXT,__text) external __nc_save_str
00000001d93a3448 (__DATA,__common) external __nc_screen_chain
00000001a6ffc558 (__TEXT,__text) external __nc_screen_init
00000001a6fef8fc (__TEXT,__text) external __nc_screen_of
00000001a6ff9dd4 (__TEXT,__text) external __nc_screen_resume
00000001a6ffc55c (__TEXT,__text) external __nc_screen_wrap
00000001a6fe6be4 (__TEXT,__text) external __nc_scroll_oldhash
00000001a6fe5f5c (__TEXT,__text) external __nc_scroll_optimize
00000001a6ff1ce0 (__TEXT,__text) external __nc_scroll_window
00000001a6ffb384 (__TEXT,__text) external __nc_scrolln
00000001a6ff9080 (__TEXT,__text) external __nc_set_buffer
00000001a6fe0328 (__TEXT,__text) external __nc_set_no_padding
00000001a6fe3350 (__TEXT,__text) external __nc_set_source
00000001a6ff4efc (__TEXT,__text) external __nc_set_tty_mode
00000001a6fe3360 (__TEXT,__text) external __nc_set_type
00000001a6ffdbb0 (__TEXT,__text) external __nc_set_writedir
00000001a6ff2330 (__TEXT,__text) external __nc_setupscreen
00000001a6fdd570 (__TEXT,__text) external __nc_setupterm
00000001a6ff4ac8 (__TEXT,__text) external __nc_signal_handler
00000001a6ff2c00 (__TEXT,__text) external __nc_slk_initialize
00000001d93a31e0 (__DATA,__common) external __nc_start_line
00000001a6ff9180 (__TEXT,__text) external __nc_str_copy
00000001a6ff9150 (__TEXT,__text) external __nc_str_init
00000001a6ff916c (__TEXT,__text) external __nc_str_null
00000001d93a31b0 (__DATA,__common) external __nc_suppress_warnings
00000001a6ff63cc (__TEXT,__text) external __nc_synchook
00000001d93a31c0 (__DATA,__common) external __nc_syntax
00000001a6fe3598 (__TEXT,__text) external __nc_syserr_abort
00000001d93a3210 (__DATA,__common) external __nc_tail
00000001a6fe5b34 (__TEXT,__text) external __nc_tic_dir
00000001a6fe35ec (__TEXT,__text) external __nc_tic_expand
00000001a6ffea94 (__TEXT,__text) external __nc_tic_written
00000001a6ff5204 (__TEXT,__text) external __nc_timed_wait
00000001a7006ed0 (__TEXT,__const) external __nc_tinfo_fkeys
00000001a6fe3130 (__TEXT,__text) external __nc_to_char
00000001a6fe3134 (__TEXT,__text) external __nc_to_widechar
00000001a6fe0010 (__TEXT,__text) external __nc_tparm_analyze
00000001d93a3580 (__DATA,__common) external __nc_tparm_err
00000001d93a3598 (__DATA,__common) external __nc_tracing
00000001a6fe56b4 (__TEXT,__text) external __nc_trans_string
00000001a6fdeb18 (__TEXT,__text) external __nc_trim_sgr0
00000001a6ffd368 (__TEXT,__text) external __nc_unctrl
00000001a6ff5668 (__TEXT,__text) external __nc_ungetch
00000001a6ff2aac (__TEXT,__text) external __nc_unicode_locale
00000001a6ff2a24 (__TEXT,__text) external __nc_update_screensize
00000001d93a2b8c (__DATA,__data) external __nc_user_definable
00000001a6ffd6a8 (__TEXT,__text) external __nc_visbuf
00000001a6ffd494 (__TEXT,__text) external __nc_visbuf2
00000001a6ffd6b8 (__TEXT,__text) external __nc_visbufn
00000001d93a3590 (__DATA,__common) external __nc_wacs
00000001a6fe78c0 (__TEXT,__text) external __nc_waddch_nosync
00000001a6fe33f8 (__TEXT,__text) external __nc_warning
00000001a6fe84c8 (__TEXT,__text) external __nc_wchstrlen
00000001a6ff54bc (__TEXT,__text) external __nc_wcrtomb
00000001a6feb1dc (__TEXT,__text) external __nc_wgetch
00000001a6fe08c4 (__TEXT,__text) external __nc_wrap_entry
00000001a6ffdde8 (__TEXT,__text) external __nc_write_entry
                 (undefined) external _access (from libSystem)
00000001d93a3220 (__DATA,__common) external _acs_map
00000001a700064c (__TEXT,__text) external _add_wch
00000001a7000660 (__TEXT,__text) external _add_wchnstr
00000001a7000678 (__TEXT,__text) external _add_wchstr
00000001a6ffef3c (__TEXT,__text) external _addch
00000001a6ffef50 (__TEXT,__text) external _addchnstr
00000001a6ffef68 (__TEXT,__text) external _addchstr
00000001a6ffef80 (__TEXT,__text) external _addnstr
00000001a7000690 (__TEXT,__text) external _addnwstr
00000001a6ffef98 (__TEXT,__text) external _addstr
00000001a70006a8 (__TEXT,__text) external _addwstr
00000001a6fea784 (__TEXT,__text) external _assume_default_colors
                 (undefined) external _atoi (from libSystem)
00000001a6ffeff4 (__TEXT,__text) external _attr_get
00000001a6fff024 (__TEXT,__text) external _attr_off
00000001a6fff03c (__TEXT,__text) external _attr_on
00000001a6fff054 (__TEXT,__text) external _attr_set
00000001a6ffefb0 (__TEXT,__text) external _attroff
00000001a6ffefc8 (__TEXT,__text) external _attron
00000001a6ffefe0 (__TEXT,__text) external _attrset
00000001a6fe0374 (__TEXT,__text) external _baudrate
00000001a6fe892c (__TEXT,__text) external _beep
00000001a6fff074 (__TEXT,__text) external _bkgd
00000001a6fff088 (__TEXT,__text) external _bkgdset
00000001a70006c0 (__TEXT,__text) external _bkgrnd
00000001a70006d4 (__TEXT,__text) external _bkgrndset
00000001d5449070 (__DATA_CONST,__const) external _boolcodes
00000001d544a178 (__DATA_CONST,__const) external _boolfnames
00000001d544a010 (__DATA_CONST,__const) external _boolnames
00000001a6fff09c (__TEXT,__text) external _border
00000001a70006e8 (__TEXT,__text) external _border_set
00000001a6fff0ec (__TEXT,__text) external _box
00000001a7000738 (__TEXT,__text) external _box_set
                 (undefined) external _btowc (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
00000001a6fea14c (__TEXT,__text) external _can_change_color
00000001a6ff0a9c (__TEXT,__text) external _cbreak
                 (undefined) external _cfgetospeed (from libSystem)
                 (undefined) external _chdir (from libSystem)
00000001a6fff128 (__TEXT,__text) external _chgat
00000001a6fff148 (__TEXT,__text) external _clear
                 (undefined) external _clearerr (from libSystem)
00000001a6fe96b0 (__TEXT,__text) external _clearok
                 (undefined) external _close (from libSystem)
00000001a6fff158 (__TEXT,__text) external _clrtobot
00000001a6fff168 (__TEXT,__text) external _clrtoeol
00000001a6fea1d0 (__TEXT,__text) external _color_content
00000001a6fff178 (__TEXT,__text) external _color_set
00000001a6fefdf0 (__TEXT,__text) external _copywin
00000001d93a3428 (__DATA,__common) external _cur_term
00000001a6fefba4 (__TEXT,__text) external _curs_set
00000001d93a3438 (__DATA,__common) external _curscr
00000001a6ffd488 (__TEXT,__text) external _curses_version
00000001a6ff4ff8 (__TEXT,__text) external _def_prog_mode
00000001a6ff4f8c (__TEXT,__text) external _def_shell_mode
00000001a6fe5cd4 (__TEXT,__text) external _define_key
00000001a6fea560 (__TEXT,__text) external _del_curterm
00000001a6ff466c (__TEXT,__text) external _delay_output
00000001a6fff198 (__TEXT,__text) external _delch
00000001a6fff1a8 (__TEXT,__text) external _deleteln
00000001a6ff20e0 (__TEXT,__text) external _delscreen
00000001a6fea6a0 (__TEXT,__text) external _delwin
00000001a6fef7dc (__TEXT,__text) external _derwin
00000001a6ff97c8 (__TEXT,__text) external _doupdate
00000001a6ff66e0 (__TEXT,__text) external _dupwin
00000001a6fea880 (__TEXT,__text) external _echo
00000001a7000774 (__TEXT,__text) external _echo_wchar
00000001a6fff1bc (__TEXT,__text) external _echochar
00000001a6fea8b4 (__TEXT,__text) external _endwin
00000001a6fff1d0 (__TEXT,__text) external _erase
00000001a6feccc0 (__TEXT,__text) external _erasechar
00000001a6feaa2c (__TEXT,__text) external _erasewchar
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001a6fef058 (__TEXT,__text) external _filter
00000001a6feaa9c (__TEXT,__text) external _flash
00000001a6fecd08 (__TEXT,__text) external _flushinp
                 (undefined) external _fmtcheck (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00000001a7000788 (__TEXT,__text) external _get_wch
00000001a700079c (__TEXT,__text) external _get_wstr
00000001a700050c (__TEXT,__text) external _getattrs
00000001a7000540 (__TEXT,__text) external _getbegx
00000001a7000554 (__TEXT,__text) external _getbegy
00000001a6fff1e0 (__TEXT,__text) external _getbkgd
00000001a70007b4 (__TEXT,__text) external _getbkgrnd
00000001a6fe950c (__TEXT,__text) external _getcchar
00000001a6fff1e8 (__TEXT,__text) external _getch
00000001a7000518 (__TEXT,__text) external _getcurx
00000001a700052c (__TEXT,__text) external _getcury
                 (undefined) external _getcwd (from libSystem)
                 (undefined) external _getenv (from libSystem)
00000001a7000568 (__TEXT,__text) external _getmaxx
00000001a7000580 (__TEXT,__text) external _getmaxy
00000001a6fece60 (__TEXT,__text) external _getmouse
00000001a70007d8 (__TEXT,__text) external _getn_wstr
00000001a6fff1f8 (__TEXT,__text) external _getnstr
00000001a7000598 (__TEXT,__text) external _getparx
00000001a70005ac (__TEXT,__text) external _getpary
                 (undefined) external _getpgrp (from libSystem)
                 (undefined) external _getpid (from libSystem)
00000001a6fff210 (__TEXT,__text) external _getstr
                 (undefined) external _gettimeofday (from libSystem)
00000001a6ff1864 (__TEXT,__text) external _getwin
00000001a6fefa08 (__TEXT,__text) external _halfdelay
00000001a6fea16c (__TEXT,__text) external _has_colors
00000001a6febd84 (__TEXT,__text) external _has_ic
00000001a6febde0 (__TEXT,__text) external _has_il
00000001a6fefc64 (__TEXT,__text) external _has_key
00000001a6fff228 (__TEXT,__text) external _hline
00000001a70007f0 (__TEXT,__text) external _hline_set
00000001a6fef9bc (__TEXT,__text) external _idcok
00000001a6fef93c (__TEXT,__text) external _idlok
00000001a6fec0a8 (__TEXT,__text) external _immedok
00000001a7000808 (__TEXT,__text) external _in_wch
00000001a700081c (__TEXT,__text) external _in_wchnstr
00000001a7000834 (__TEXT,__text) external _in_wchstr
00000001a6fff240 (__TEXT,__text) external _inch
00000001a6fff250 (__TEXT,__text) external _inchnstr
00000001a6fff268 (__TEXT,__text) external _inchstr
00000001a6fe9f4c (__TEXT,__text) external _init_color
00000001a6fe9c3c (__TEXT,__text) external _init_pair
00000001a6fec228 (__TEXT,__text) external _initscr
00000001a6fff280 (__TEXT,__text) external _innstr
00000001a700084c (__TEXT,__text) external _innwstr
00000001a7000864 (__TEXT,__text) external _ins_nwstr
00000001a700087c (__TEXT,__text) external _ins_wch
00000001a7000890 (__TEXT,__text) external _ins_wstr
00000001a6fff298 (__TEXT,__text) external _insch
00000001a6fff2ac (__TEXT,__text) external _insdelln
00000001a6fff2c0 (__TEXT,__text) external _insertln
00000001a6fff2d4 (__TEXT,__text) external _insnstr
00000001a6fff2ec (__TEXT,__text) external _insstr
00000001a6fff304 (__TEXT,__text) external _instr
00000001a6ff0f04 (__TEXT,__text) external _intrflush
00000001a70008a8 (__TEXT,__text) external _inwstr
                 (undefined) external _ioctl (from libSystem)
00000001a70005cc (__TEXT,__text) external _is_cleared
00000001a70005d4 (__TEXT,__text) external _is_idcok
00000001a70005dc (__TEXT,__text) external _is_idlok
00000001a70005e4 (__TEXT,__text) external _is_immedok
00000001a70005ec (__TEXT,__text) external _is_keypad
00000001a70005f4 (__TEXT,__text) external _is_leaveok
00000001a6ff43fc (__TEXT,__text) external _is_linetouched
00000001a70005fc (__TEXT,__text) external _is_nodelay
00000001a700060c (__TEXT,__text) external _is_notimeout
00000001a7000614 (__TEXT,__text) external _is_scrollok
00000001a700061c (__TEXT,__text) external _is_syncok
00000001a6ff8a50 (__TEXT,__text) external _is_term_resized
00000001a6ff4438 (__TEXT,__text) external _is_wintouched
                 (undefined) external _isatty (from libSystem)
00000001a6fecc98 (__TEXT,__text) external _isendwin
00000001a6fe6f8c (__TEXT,__text) external _key_defined
00000001a6fecd68 (__TEXT,__text) external _key_name
00000001a6fe7044 (__TEXT,__text) external _keybound
00000001a6ffef28 (__TEXT,__text) external _keyname
00000001a6fe7094 (__TEXT,__text) external _keyok
00000001a6fefaa8 (__TEXT,__text) external _keypad
                 (undefined) external _kill (from libSystem)
00000001a6fecce4 (__TEXT,__text) external _killchar
00000001a6feaa64 (__TEXT,__text) external _killwchar
00000001a6fecde8 (__TEXT,__text) external _leaveok
                 (undefined) external _link (from libSystem)
00000001a6fece04 (__TEXT,__text) external _longname
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mblen (from libSystem)
                 (undefined) external _mbrtowc (from libSystem)
                 (undefined) external _mbtowc (from libSystem)
00000001a6ff06cc (__TEXT,__text) external _mcprint
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001a6fefb4c (__TEXT,__text) external _meta
                 (undefined) external _mkdir (from libSystem)
00000001a700176c (__TEXT,__text) external _mouse_trafo
00000001a6fed22c (__TEXT,__text) external _mouseinterval
00000001a6fecf18 (__TEXT,__text) external _mousemask
00000001a6fff31c (__TEXT,__text) external _move
00000001a70008bc (__TEXT,__text) external _mvadd_wch
00000001a7000920 (__TEXT,__text) external _mvadd_wchnstr
00000001a7000998 (__TEXT,__text) external _mvadd_wchstr
00000001a6fff334 (__TEXT,__text) external _mvaddch
00000001a6fff398 (__TEXT,__text) external _mvaddchnstr
00000001a6fff410 (__TEXT,__text) external _mvaddchstr
00000001a6fff478 (__TEXT,__text) external _mvaddnstr
00000001a7000a00 (__TEXT,__text) external _mvaddnwstr
00000001a6fff4f0 (__TEXT,__text) external _mvaddstr
00000001a7000a78 (__TEXT,__text) external _mvaddwstr
00000001a6fff558 (__TEXT,__text) external _mvchgat
00000001a6fee1f8 (__TEXT,__text) external _mvcur
00000001a6fff5ec (__TEXT,__text) external _mvdelch
00000001a6ff64c4 (__TEXT,__text) external _mvderwin
00000001a7000ae0 (__TEXT,__text) external _mvget_wch
00000001a7000b44 (__TEXT,__text) external _mvget_wstr
00000001a6fff648 (__TEXT,__text) external _mvgetch
00000001a7000bac (__TEXT,__text) external _mvgetn_wstr
00000001a6fff6a4 (__TEXT,__text) external _mvgetnstr
00000001a6fff71c (__TEXT,__text) external _mvgetstr
00000001a6fff784 (__TEXT,__text) external _mvhline
00000001a7000c24 (__TEXT,__text) external _mvhline_set
00000001a7000c9c (__TEXT,__text) external _mvin_wch
00000001a7000d00 (__TEXT,__text) external _mvin_wchnstr
00000001a7000d78 (__TEXT,__text) external _mvin_wchstr
00000001a6fff7fc (__TEXT,__text) external _mvinch
00000001a6fff858 (__TEXT,__text) external _mvinchnstr
00000001a6fff8d0 (__TEXT,__text) external _mvinchstr
00000001a6fff938 (__TEXT,__text) external _mvinnstr
00000001a7000de0 (__TEXT,__text) external _mvinnwstr
00000001a7000e58 (__TEXT,__text) external _mvins_nwstr
00000001a7000ed0 (__TEXT,__text) external _mvins_wch
00000001a7000f34 (__TEXT,__text) external _mvins_wstr
00000001a6fff9b0 (__TEXT,__text) external _mvinsch
00000001a6fffa14 (__TEXT,__text) external _mvinsnstr
00000001a6fffa8c (__TEXT,__text) external _mvinsstr
00000001a6fffaf4 (__TEXT,__text) external _mvinstr
00000001a7000f9c (__TEXT,__text) external _mvinwstr
00000001a6ff08e0 (__TEXT,__text) external _mvprintw
00000001a6ff17ac (__TEXT,__text) external _mvscanw
00000001a6fffb5c (__TEXT,__text) external _mvvline
00000001a7001000 (__TEXT,__text) external _mvvline_set
00000001a7001078 (__TEXT,__text) external _mvwadd_wch
00000001a70010cc (__TEXT,__text) external _mvwadd_wchnstr
00000001a7001134 (__TEXT,__text) external _mvwadd_wchstr
00000001a6fffbd4 (__TEXT,__text) external _mvwaddch
00000001a6fffc28 (__TEXT,__text) external _mvwaddchnstr
00000001a6fffc90 (__TEXT,__text) external _mvwaddchstr
00000001a6fffce8 (__TEXT,__text) external _mvwaddnstr
00000001a700118c (__TEXT,__text) external _mvwaddnwstr
00000001a6fffd50 (__TEXT,__text) external _mvwaddstr
00000001a70011f4 (__TEXT,__text) external _mvwaddwstr
00000001a6fffda8 (__TEXT,__text) external _mvwchgat
00000001a6fffe2c (__TEXT,__text) external _mvwdelch
00000001a700124c (__TEXT,__text) external _mvwget_wch
00000001a70012a0 (__TEXT,__text) external _mvwget_wstr
00000001a6fffe78 (__TEXT,__text) external _mvwgetch
00000001a70012f8 (__TEXT,__text) external _mvwgetn_wstr
00000001a6fffec4 (__TEXT,__text) external _mvwgetnstr
00000001a6ffff2c (__TEXT,__text) external _mvwgetstr
00000001a6ffff84 (__TEXT,__text) external _mvwhline
00000001a7001360 (__TEXT,__text) external _mvwhline_set
00000001a6feef64 (__TEXT,__text) external _mvwin
00000001a70013c8 (__TEXT,__text) external _mvwin_wch
00000001a700141c (__TEXT,__text) external _mvwin_wchnstr
00000001a7001484 (__TEXT,__text) external _mvwin_wchstr
00000001a6ffffec (__TEXT,__text) external _mvwinch
00000001a7000038 (__TEXT,__text) external _mvwinchnstr
00000001a70000a0 (__TEXT,__text) external _mvwinchstr
00000001a70000f8 (__TEXT,__text) external _mvwinnstr
00000001a70014dc (__TEXT,__text) external _mvwinnwstr
00000001a7001544 (__TEXT,__text) external _mvwins_nwstr
00000001a70015ac (__TEXT,__text) external _mvwins_wch
00000001a7001600 (__TEXT,__text) external _mvwins_wstr
00000001a7000160 (__TEXT,__text) external _mvwinsch
00000001a70001b4 (__TEXT,__text) external _mvwinsnstr
00000001a700021c (__TEXT,__text) external _mvwinsstr
00000001a7000274 (__TEXT,__text) external _mvwinstr
00000001a7001658 (__TEXT,__text) external _mvwinwstr
00000001a6ff0944 (__TEXT,__text) external _mvwprintw
00000001a6ff1810 (__TEXT,__text) external _mvwscanw
00000001a70002cc (__TEXT,__text) external _mvwvline
00000001a70016ac (__TEXT,__text) external _mvwvline_set
                 (undefined) external _nanosleep (from libSystem)
00000001a6feefcc (__TEXT,__text) external _napms
00000001a6ff0124 (__TEXT,__text) external _newpad
00000001d93a3440 (__DATA,__common) external _newscr
00000001a6fef07c (__TEXT,__text) external _newterm
00000001a6fef4e8 (__TEXT,__text) external _newwin
00000001a6fef908 (__TEXT,__text) external _nl
                 (undefined) external _nl_langinfo (from libSystem)
00000001a6ff0d5c (__TEXT,__text) external _nocbreak
00000001a6fefa60 (__TEXT,__text) external _nodelay
00000001a6fea89c (__TEXT,__text) external _noecho
00000001a6fef06c (__TEXT,__text) external _nofilter
00000001a6fef924 (__TEXT,__text) external _nonl
00000001a6ff0e48 (__TEXT,__text) external _noqiflush
00000001a6ff0c58 (__TEXT,__text) external _noraw
00000001a6fefa80 (__TEXT,__text) external _notimeout
00000001d54491d8 (__DATA_CONST,__const) external _numcodes
00000001d544a420 (__DATA_CONST,__const) external _numfnames
00000001d544a2e0 (__DATA_CONST,__const) external _numnames
                 (undefined) external _open (from libSystem)
00000001d93a3586 (__DATA,__common) external _ospeed
00000001a6fefd2c (__TEXT,__text) external _overlay
00000001a6fefde8 (__TEXT,__text) external _overwrite
00000001a6fea25c (__TEXT,__text) external _pair_content
00000001a6ff064c (__TEXT,__text) external _pecho_wchar
00000001a6ff05cc (__TEXT,__text) external _pechochar
                 (undefined) external _perror (from libSystem)
00000001a6ff0274 (__TEXT,__text) external _pnoutrefresh
00000001a6ff023c (__TEXT,__text) external _prefresh
00000001a6ff081c (__TEXT,__text) external _printw
                 (undefined) external _putc (from libSystem)
00000001a6ff4824 (__TEXT,__text) external _putp
00000001a6ff1a10 (__TEXT,__text) external _putwin
00000001a6ff0b9c (__TEXT,__text) external _qiflush
00000001a6ff0998 (__TEXT,__text) external _raw
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00000001a700033c (__TEXT,__text) external _redrawwin
00000001a700034c (__TEXT,__text) external _refresh
                 (undefined) external _remove (from libSystem)
00000001a6ff5048 (__TEXT,__text) external _reset_prog_mode
