                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
00007ffb18c135b1 (__TEXT,__text) external _DRBufferAsResource
00007ffb18c12bdc (__TEXT,__text) external _DRContextCreateBuffer
00007ffb18c13b1c (__TEXT,__text) external _DRContextCreateClient
00007ffb18c13cfb (__TEXT,__text) external _DRContextCreateCommitQueue
00007ffb18c12a6e (__TEXT,__text) external _DRContextCreateMesh
00007ffb18c12b25 (__TEXT,__text) external _DRContextCreateTexture
00007ffb18c12dbd (__TEXT,__text) external _DRContextGetCommitUserPayload
00007ffb18c12c93 (__TEXT,__text) external _DRContextHasOpenCommit
00007ffb18c13189 (__TEXT,__text) external _DRContextSetChangeObserver
00007ffb18c12d23 (__TEXT,__text) external _DRContextSetCommitUserPayload
00007ffb18c12eab (__TEXT,__text) external _DRContextSetOnCommitBegan
00007ffb18c13015 (__TEXT,__text) external _DRContextSetOnCommitComplete
00007ffb18c123a1 (__TEXT,__text) external _DRFenceCreate
00007ffb18c123f3 (__TEXT,__text) external _DRFenceGetLabel
00007ffb18c123de (__TEXT,__text) external _DRFenceInvalidate
00007ffb18c1361c (__TEXT,__text) external _DRMaterialAsResource
00007ffb18c15090 (__TEXT,__const) external _DRMaxVertexBuffers
00007ffb18c1397a (__TEXT,__text) external _DRMemoryResourceCopyBuffer
00007ffb18c139a4 (__TEXT,__text) external _DRMemoryResourceCopyToXPC
00007ffb18c1394a (__TEXT,__text) external _DRMemoryResourceCreate
00007ffb18c139c2 (__TEXT,__text) external _DRMemoryResourceCreateFromXPC
00007ffb18c13a48 (__TEXT,__text) external _DRMemoryResourceDidUpdateBytes
00007ffb18c13a33 (__TEXT,__text) external _DRMemoryResourceGetBytes
00007ffb18c13a1e (__TEXT,__text) external _DRMemoryResourceGetLength
00007ffb18c13a06 (__TEXT,__text) external _DRMemoryResourceIsPrivateToProcess
00007ffb18c134cb (__TEXT,__text) external _DRMeshAsResource
00007ffb18c11829 (__TEXT,__text) external _DRMeshCopyDescriptor
00007ffb18c11759 (__TEXT,__text) external _DRMeshCreateUnmanaged
00007ffb18c11e3a (__TEXT,__text) external _DRMeshDescriptorCalculateBufferSizes
00007ffb18c11196 (__TEXT,__text) external _DRMeshDescriptorCreate
00007ffb18c1125f (__TEXT,__text) external _DRMeshDescriptorGetIndexCapacity
00007ffb18c11289 (__TEXT,__text) external _DRMeshDescriptorGetIndexType
00007ffb18c112b3 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeCount
00007ffb18c11474 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeFormat
00007ffb18c1120b (__TEXT,__text) external _DRMeshDescriptorGetVertexBufferCount
00007ffb18c11235 (__TEXT,__text) external _DRMeshDescriptorGetVertexCapacity
00007ffb18c116c0 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayout
00007ffb18c11500 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayoutCount
00007ffb18c11274 (__TEXT,__text) external _DRMeshDescriptorSetIndexCapacity
00007ffb18c1129e (__TEXT,__text) external _DRMeshDescriptorSetIndexType
00007ffb18c112d0 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeCount
00007ffb18c114c5 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeFormat
00007ffb18c11220 (__TEXT,__text) external _DRMeshDescriptorSetVertexBufferCount
00007ffb18c1124a (__TEXT,__text) external _DRMeshDescriptorSetVertexCapacity
00007ffb18c11714 (__TEXT,__text) external _DRMeshDescriptorSetVertexLayout
00007ffb18c1152b (__TEXT,__text) external _DRMeshDescriptorSetVertexLayoutCount
00007ffb18c11a66 (__TEXT,__text) external _DRMeshGetIndexCapacity
00007ffb18c11c20 (__TEXT,__text) external _DRMeshGetPartAt
00007ffb18c11a7b (__TEXT,__text) external _DRMeshGetPartCount
00007ffb18c11cf5 (__TEXT,__text) external _DRMeshGetPartRenderFlagsAt
00007ffb18c11a51 (__TEXT,__text) external _DRMeshGetVertexCapacity
00007ffb18c120ce (__TEXT,__text) external _DRMeshReadIndices
00007ffb18c122d8 (__TEXT,__text) external _DRMeshReadIndicesUsing
00007ffb18c11ebf (__TEXT,__text) external _DRMeshReadVertices
00007ffb18c12299 (__TEXT,__text) external _DRMeshReadVerticesUsing
00007ffb18c12167 (__TEXT,__text) external _DRMeshReplaceIndices
00007ffb18c12302 (__TEXT,__text) external _DRMeshReplaceIndicesUsing
00007ffb18c11f88 (__TEXT,__text) external _DRMeshReplaceVertices
00007ffb18c122c3 (__TEXT,__text) external _DRMeshReplaceVerticesUsing
00007ffb18c11af0 (__TEXT,__text) external _DRMeshSetPartAt
00007ffb18c11ad0 (__TEXT,__text) external _DRMeshSetPartCount
00007ffb18c11d75 (__TEXT,__text) external _DRMeshSetPartRenderFlagsAt
00007ffb18c12200 (__TEXT,__text) external _DRMeshUpdateIndices
00007ffb18c122ed (__TEXT,__text) external _DRMeshUpdateIndicesUsing
00007ffb18c1202b (__TEXT,__text) external _DRMeshUpdateVertices
00007ffb18c122ae (__TEXT,__text) external _DRMeshUpdateVerticesUsing
00007ffb18c1118c (__TEXT,__text) external _DRRelease
00007ffb18c1355b (__TEXT,__text) external _DRResourceAsBuffer
00007ffb18c135c6 (__TEXT,__text) external _DRResourceAsMaterial
00007ffb18c13475 (__TEXT,__text) external _DRResourceAsMesh
00007ffb18c134f0 (__TEXT,__text) external _DRResourceAsTexture
00007ffb18c13460 (__TEXT,__text) external _DRResourceGetClientIdentifier
00007ffb18c13441 (__TEXT,__text) external _DRResourceGetIdentifier
00007ffb18c13631 (__TEXT,__text) external _DRResourceIsAttachedToDevice_RemoveMeAfterVerification
00007ffb18c142c1 (__TEXT,__text) external _DRResourcesCommitCopyEventWithDevice
00007ffb18c142a3 (__TEXT,__text) external _DRResourcesCommitCopyToXPC
00007ffb18c14329 (__TEXT,__text) external _DRResourcesCommitGetId
00007ffb18c1433e (__TEXT,__text) external _DRResourcesCommitGetUserPayload
00007ffb18c14310 (__TEXT,__text) external _DRResourcesCommitHasEvent
00007ffb18c11182 (__TEXT,__text) external _DRRetain
00007ffb18c13546 (__TEXT,__text) external _DRTextureAsResource
00007ffb18c12690 (__TEXT,__text) external _DRTextureCopyDescriptor
00007ffb18c1241e (__TEXT,__text) external _DRTextureCreateUnmanaged
00007ffb18c124f1 (__TEXT,__text) external _DRTextureDescriptorCreate
00007ffb18c1263e (__TEXT,__text) external _DRTextureDescriptorGetArrayLength
00007ffb18c1256c (__TEXT,__text) external _DRTextureDescriptorGetDepth
00007ffb18c12542 (__TEXT,__text) external _DRTextureDescriptorGetHeight
00007ffb18c12596 (__TEXT,__text) external _DRTextureDescriptorGetMipmapLevelCount
00007ffb18c125c0 (__TEXT,__text) external _DRTextureDescriptorGetPixelFormat
00007ffb18c12668 (__TEXT,__text) external _DRTextureDescriptorGetSwizzle
00007ffb18c125ea (__TEXT,__text) external _DRTextureDescriptorGetTextureType
00007ffb18c12614 (__TEXT,__text) external _DRTextureDescriptorGetTextureUsage
00007ffb18c12518 (__TEXT,__text) external _DRTextureDescriptorGetWidth
00007ffb18c12653 (__TEXT,__text) external _DRTextureDescriptorSetArrayLength
00007ffb18c12581 (__TEXT,__text) external _DRTextureDescriptorSetDepth
00007ffb18c12557 (__TEXT,__text) external _DRTextureDescriptorSetHeight
00007ffb18c125ab (__TEXT,__text) external _DRTextureDescriptorSetMipmapLevelCount
00007ffb18c125d5 (__TEXT,__text) external _DRTextureDescriptorSetPixelFormat
00007ffb18c1267c (__TEXT,__text) external _DRTextureDescriptorSetSwizzle
00007ffb18c125ff (__TEXT,__text) external _DRTextureDescriptorSetTextureType
00007ffb18c12629 (__TEXT,__text) external _DRTextureDescriptorSetTextureUsage
00007ffb18c1252d (__TEXT,__text) external _DRTextureDescriptorSetWidth
00007ffb18c12724 (__TEXT,__text) external _DRTextureReadTexture
00007ffb18c12770 (__TEXT,__text) external _DRTextureReplaceTexture
00007ffb18c12414 (__TEXT,__text) external _DRValidateIndices
00007ffb18c15088 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionNumber
00007ffb18c15050 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionString
                 (undefined) external _IOSurfaceCreate (from IOSurface)
                 (undefined) external _IOSurfaceCreateXPCObject (from IOSurface)
                 (undefined) external _IOSurfaceGetAllocSize (from IOSurface)
                 (undefined) external _IOSurfaceGetBaseAddress (from IOSurface)
                 (undefined) external _IOSurfaceLookupFromXPCObject (from IOSurface)
                 (undefined) external _MTLCopyAllDevices (from Metal)
                 (undefined) external _MTLCopyAllDevicesWithObserver (from Metal)
                 (undefined) external _MTLCreateSystemDefaultDevice (from Metal)
                 (undefined) external _MTLRemoveDeviceObserver (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedEventListener (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedTextureHandle (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLTextureDescriptor (from Metal)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb18c0e978 (__TEXT,__text) non-external (was a private external) __Z14ArcObjectClassv
00007ffb18c14b63 (__TEXT,__text) non-external __Z14ArcObjectClassv.cold.1
00007ffb18c0e8a2 (__TEXT,__text) non-external (was a private external) __Z16ArcObjectDestroyPvP13objc_selector
00007ffb18c0e8b8 (__TEXT,__text) non-external (was a private external) __Z20ArcObjectDescriptionPvP13objc_selector
                 (undefined) external __Z22MTLAttributeFormatSize18MTLAttributeFormat (from Metal)
00007ffb18c0e918 (__TEXT,__text) non-external (was a private external) __Z25ArcObjectDebugDescriptionPvP13objc_selector
00007ffb18c040cc (__TEXT,__text) non-external (was a private external) __Z34__REALITYKIT_WAITING_ON_RENDERER__RKN2re12ULockCounterEyj
00007ffb44324698 (__DATA,__bss) non-external __ZGVZ14ArcObjectClassvE3cls
00007ffb44324678 (__DATA,__bss) non-external __ZGVZN2re17directResourceLogEvE3log
00007ffb44324688 (__DATA,__bss) non-external __ZGVZN2re20DirectMemoryResource26allocatePrivatePageAlignedEmE21kMetalBufferAlignment
00007ffb18c14e90 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffb18c14ea0 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffb18c14f70 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffb18c14f90 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffb18c132b4 (__TEXT,__text) non-external __ZN13ContextConfigD0Ev
00007ffb18c1327c (__TEXT,__text) non-external __ZN13ContextConfigD1Ev
00007ffb18c0ead6 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObject7disposeEv
00007ffb18c0ea34 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectC2EP10objc_class
00007ffb18c0eaa2 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD0Ev
00007ffb18c0ea8a (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD1Ev
00007ffb18c0ea72 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD2Ev
00007ffb18c13fe4 (__TEXT,__text) non-external __ZN16ClientConnectionD0Ev
00007ffb18c13f8e (__TEXT,__text) non-external __ZN16ClientConnectionD1Ev
00007ffb18c13f5a (__TEXT,__text) non-external __ZN22ClientConnectionConfigD0Ev
00007ffb18c13f38 (__TEXT,__text) non-external __ZN22ClientConnectionConfigD1Ev
00007ffb18c16396 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector11s_knameinitE
00007ffb18c16330 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector12s_knameallocE
00007ffb424ae9d0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector13s_kUTF8StringE
00007ffb18c16314 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector17s_knameUTF8StringE
00007ffb424ae9c8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector22s_krespondsToSelector_E
00007ffb18c165a0 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector26s_knamerespondsToSelector_E
00007ffb424ae9c0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector30s_kmethodSignatureForSelector_E
00007ffb18c16400 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector34s_knamemethodSignatureForSelector_E
00007ffb424ae9b8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector7s_kinitE
00007ffb424ae9b0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector8s_kallocE
00007ffb18bff9f4 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL11SharedEventEEaSEOS3_
00007ffb18c05e76 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedEventListenerEEaSEOS3_
00007ffb18bff9f4 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedTextureHandleEEaSEOS3_
00007ffb18bff9f4 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL6BufferEEaSEOS3_
00007ffb18bff9f4 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL7TextureEEaSEOS3_
00007ffb18bff9f4 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSEOS3_
00007ffb18bff9f4 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSINS1_7TextureEEENSt3__19enable_ifIXsr3stdE16is_convertible_vIPT_PS2_EERS3_E4typeEONS0_IS8_EE
00007ffb18c10982 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffb18c10bde (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh11updatePartsEU13block_pointerFvPNS_14DirectMeshPartEmE
00007ffb18c10a6e (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12setPartCountEm
00007ffb18c10f14 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmPN3MTL13CommandBufferE
00007ffb18c10cc0 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmU13block_pointerFvPvmE
00007ffb18c10f94 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmPN3MTL13CommandBufferE
00007ffb18c10de8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmU13block_pointerFvPvmE
00007ffb18c10f64 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEPN3MTL13CommandBufferE
00007ffb18c10d4e (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEU13block_pointerFvPvmE
00007ffb18c104f0 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14attachToDeviceEPN3MTL6DeviceE
00007ffb18c10fe6 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEPN3MTL13CommandBufferE
00007ffb18c10e7a (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEU13block_pointerFvPvmE
00007ffb18c1039c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffb18c1101a (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15replaceInternalEPNS_9SharedPtrINS_20DirectMemoryResourceEEES3_
00007ffb18c10daa (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15validateIndicesEv
00007ffb18c10316 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh6createERKNS_21DirectMeshDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffb18c108f4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh8setPartsEmNS_10UnownedPtrINS_20DirectMemoryResourceEEE
00007ffb18c1066a (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC1ERKNS_21DirectMeshDescriptionE
00007ffb18c105f8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC2ERKNS_21DirectMeshDescriptionE
00007ffb18c10726 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD0Ev
00007ffb18c1071c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD1Ev
00007ffb18c10674 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD2Ev
00007ffb18bf8bb2 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence10invalidateEv
00007ffb18c14379 (__TEXT,__text) non-external __ZN2re11DirectFence10invalidateEv.cold.1
00007ffb18bf8c16 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence20addInvalidateHandlerEONSt3__18functionIFvPS0_EEE
00007ffb18bf89d8 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPKc
00007ffb18bf8b2c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPN3MTL13CommandBufferE
00007ffb18bf8a30 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPN3MTL13CommandBufferE
00007ffb18bf8b8c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD0Ev
00007ffb18bf8b82 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD1Ev
00007ffb18bf8b36 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD2Ev
00007ffb18c14358 (__TEXT,__text) non-external __ZN2re11DirectFenceD2Ev.cold.1
00007ffb18c0062d (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_10DirectMeshE
00007ffb18c0090b (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_12DirectBufferE
00007ffb18c005b8 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_13DirectTextureE
00007ffb18c007cf (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_16DirectMeshUpdateE
00007ffb18c0097b (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_18DirectBufferUpdateE
00007ffb18bf9f84 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffb18bfa094 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer12setBytesUsedEm
00007ffb18bf9d2e (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer14attachToDeviceEPN3MTL6DeviceE
00007ffb18bf9cc2 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffb18bf9ea6 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer23replaceContentsInternalENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffb18bf9c24 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6createERKNS_23DirectBufferDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffb18bfa10e (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6updateEU13block_pointerFvPvmE
00007ffb18bfa1d4 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEPN3MTL13CommandBufferE
00007ffb18bfa15c (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEU13block_pointerFvPvmE
00007ffb18bf9dd2 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferC1ERKNS_23DirectBufferDescriptionE
00007ffb18bf9e40 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD0Ev
00007ffb18bf9e36 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD1Ev
00007ffb18bf9e04 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD2Ev
00007ffb18c009d6 (__TEXT,__text) non-external (was a private external) __ZN2re12makeCommandsEPKNS_21DirectResourcesCommitE
00007ffb18c1011e (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffb18c0ff6c (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14attachToDeviceEPN3MTL6DeviceE
00007ffb18c10218 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14replaceTextureEPN3MTL13CommandBufferE
00007ffb18c0fc98 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffb18c0ff80 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture23allocateRuntimeResourceERKNS_24DirectTextureDescriptionENS_10UnownedPtrINS_20DirectMemoryResourceEEEPN3MTL6DeviceE
00007ffb18c0fc1e (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createERKNS_24DirectTextureDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffb18c0fe6e (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureC1ERKNS_24DirectTextureDescriptionE
00007ffb18c0fcf4 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureC2ERKNS_24DirectTextureDescriptionE
00007ffb18c102aa (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD0Ev
00007ffb18c1025c (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD1Ev
00007ffb18bf9b06 (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesEN3MTL9IndexTypeE
00007ffb18bf9b24 (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesERKNS_25DirectMeshVertexAttributeERKNS_22DirectMeshVertexLayoutEm
00007ffb18bfa274 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRA16_h
00007ffb18bfb3d5 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16CreateDirectMeshE
00007ffb18bfaf65 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16DirectMeshValuesE
00007ffb18bfb573 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16UpdateDirectMeshE
00007ffb18bfba9b (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18CreateDirectBufferE
00007ffb18bfb946 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18DirectBufferValuesE
00007ffb18bfbc3a (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18UpdateDirectBufferE
00007ffb18bfae2e (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_19CreateDirectPayloadE
00007ffb18bfb6ad (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_19CreateDirectTextureE
