00007ff80eba74a7 (__TEXT,__text) non-external _Annihilate
00007ff80ebb3548 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80eb9f9a1 (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff80ebb05fc (__TEXT,__text) non-external _WriteRingBuffer
00007ff80ebc5e84 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff80ebf5280 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
00007ff80ec154f0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
00007ff80ec15400 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00007ff84154dc30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80ebb75aa (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80ec512d0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff8436e7a80 (__DATA,__data) non-external __dyld_private
00007ff80ec49750 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80ebf4f90 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80ec514d0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80ebece6e (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80eb925c1 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80eb90943 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80ebecd45 (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80ebed09e (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80eb90804 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80eb995e0 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80ec51cc0 (__TEXT,__const) non-external _base_dist
00007ff80ec51c40 (__TEXT,__const) non-external _base_length
00007ff80ebed01c (__TEXT,__text) non-external _bi_flush
00007ff80eb93f1b (__TEXT,__text) non-external _bi_windup
00007ff80ec51c20 (__TEXT,__const) non-external _bl_order
00007ff80ec494d0 (__TEXT,__const) non-external _breverse.brev8
00007ff80ebeafc0 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80ebeaff5 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80ebeb1ac (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80ebeb0d6 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80ebeb031 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80eb92f7c (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80ebeaf49 (__TEXT,__text) non-external (was a private external) _codecGetFooterID
00007ff80ebea565 (__TEXT,__text) non-external (was a private external) _codecReadHeader
00007ff80ebeaed1 (__TEXT,__text) non-external (was a private external) _codecResetModel
00007ff80ebeaa37 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00007ff80eb93af2 (__TEXT,__text) non-external _compress_block
00007ff80eb95d22 (__TEXT,__text) external _compression_decode_buffer
00007ff80eb95c1e (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80ebe3ebd (__TEXT,__text) external _compression_encode_buffer
00007ff80ebe3d6b (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80eb940db (__TEXT,__text) external _compression_stream_destroy
00007ff80ebb8b81 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80ebb8b2b (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80ebb8ae3 (__TEXT,__text) external _compression_stream_get_state_size
00007ff80ebb8a61 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80eb90240 (__TEXT,__text) external _compression_stream_init
00007ff80ebb8a14 (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80ebb8bd7 (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80eb90e8e (__TEXT,__text) external _compression_stream_process
00007ff80eb9644f (__TEXT,__text) external _compression_stream_reinit
00007ff84154e4a0 (__DATA_CONST,__const) non-external _configuration_table
00007ff80ebbf3c8 (__TEXT,__text) non-external _convert_row_16to8
00007ff80ebbf363 (__TEXT,__text) non-external _convert_row_8to16
00007ff80ebbf0f5 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00007ff80ebbec03 (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00007ff80ebbf68a (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00007ff80ebbf43e (__TEXT,__text) non-external _convert_row_RG88toRG
00007ff80ebbe9e4 (__TEXT,__text) non-external _convert_row_RGB888toGUV
00007ff80ebbee3c (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00007ff80ebbf59c (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00007ff80ebbf4ec (__TEXT,__text) non-external _convert_row_RGtoRG88
00007ff80ebbf431 (__TEXT,__text) non-external _convert_row_copy16
00007ff80ebbdd72 (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00007ff80ebbdd18 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00007ff80ebbe746 (__TEXT,__text) non-external _convert_rows_from_bayer16
00007ff80ebbe517 (__TEXT,__text) non-external _convert_rows_from_bayer8
00007ff80ebbded4 (__TEXT,__text) non-external _convert_rows_from_quadra8
00007ff80ebbe8b5 (__TEXT,__text) non-external _convert_rows_to_bayer16
00007ff80ebbe631 (__TEXT,__text) non-external _convert_rows_to_bayer8
00007ff80ebbe20a (__TEXT,__text) non-external _convert_rows_to_quadra8
00007ff80eba8171 (__TEXT,__text) external _cosl_codec_decode
00007ff80eba78a6 (__TEXT,__text) external _cosl_codec_encode
00007ff80eba808b (__TEXT,__text) external _cosl_codec_get_decoded_size
00007ff80eba8aaa (__TEXT,__text) external _cosl_codec_get_id
00007ff80eba892a (__TEXT,__text) external _cosl_codec_map
00007ff80eba8a62 (__TEXT,__text) external _cosl_codec_unmap
00007ff80eba85c0 (__TEXT,__text) external _cosl_model_create
00007ff80eba86b4 (__TEXT,__text) external _cosl_model_destroy
00007ff80eba86dd (__TEXT,__text) external _cosl_model_save_codec
00007ff80eba756b (__TEXT,__text) external _cosl_model_update
00007ff80ebd205f (__TEXT,__text) external _cosmix_codec_decode
00007ff80ebd16d1 (__TEXT,__text) external _cosmix_codec_encode
00007ff80ebd1f7b (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80ebd2b45 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80ebd29b9 (__TEXT,__text) external _cosmix_codec_map
00007ff80ebd2afd (__TEXT,__text) external _cosmix_codec_unmap
00007ff80ebd25e8 (__TEXT,__text) external _cosmix_model_create
00007ff80ebd2716 (__TEXT,__text) external _cosmix_model_destroy
00007ff80ebd273f (__TEXT,__text) external _cosmix_model_save_codec
00007ff80ebd0fa0 (__TEXT,__text) external _cosmix_model_update
00007ff80ebea240 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80ec52ba0 (__TEXT,__const) non-external _crc32_lut4
00007ff80ec4a1d0 (__TEXT,__const) non-external _crc_table
00007ff80ebbc4c1 (__TEXT,__text) non-external _create_rectangle_within_image
00007ff80ebaf0d9 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80eb9129d (__TEXT,__text) non-external (was a private external) _deflate
00007ff80ebf2a87 (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80ebf3058 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80eb93ff0 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80eb90406 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80ebf27ad (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80ebf296a (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80ebf2935 (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80eb906bd (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80ebf27d7 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80ebf2910 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80ebf2a53 (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80ec52b40 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80ebf3415 (__TEXT,__text) non-external _deflate_fast
00007ff80ebf2b94 (__TEXT,__text) non-external _deflate_huff
00007ff80ebf2d0f (__TEXT,__text) non-external _deflate_rle
00007ff80eb91c7a (__TEXT,__text) non-external _deflate_slow
00007ff80ebf324d (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80ebcb2d1 (__TEXT,__text) non-external _emitMatch
00007ff80ec51bd0 (__TEXT,__const) non-external _extra_blbits
00007ff80ec51b50 (__TEXT,__const) non-external _extra_dbits
