000000018bb16348 (__TEXT,__const) non-external _KW_ANY
00000001d1faa160 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018baff5b0 (__TEXT,__text) non-external _handleUnknownEncoding
000000018bb02b58 (__TEXT,__text) non-external _hash
000000018bb0624c (__TEXT,__text) non-external _hashTableDestroy
000000018bb024f4 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018bb16279 (__TEXT,__const) non-external _implicitContext
000000018bb10fdc (__TEXT,__text) non-external _initScan
000000018bb08d60 (__TEXT,__text) non-external _initScanContent
000000018bb09284 (__TEXT,__text) non-external _initScanContentNS
000000018bb08d40 (__TEXT,__text) non-external _initScanProlog
000000018bb09264 (__TEXT,__text) non-external _initScanPrologNS
000000018bb08d80 (__TEXT,__text) non-external _initUpdatePosition
000000018baff4a4 (__TEXT,__text) non-external _initializeEncoding
000000018bb05820 (__TEXT,__text) non-external _internalEntityProcessor
000000018bb06878 (__TEXT,__text) non-external _internalSubset
00000001dab15838 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001dab15bd8 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001dab15668 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001dab15a08 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018bb0cf9c (__TEXT,__text) non-external _isNever
00000001dab15498 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001dab164e8 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018bb0bfdc (__TEXT,__text) non-external _latin1_toUtf16
000000018bb0bf44 (__TEXT,__text) non-external _latin1_toUtf8
000000018bb0f378 (__TEXT,__text) non-external _little2_attributeValueTok
000000018bb0ef10 (__TEXT,__text) non-external _little2_cdataSectionTok
000000018bb0fbbc (__TEXT,__text) non-external _little2_charRefNumber
000000018bb10ba8 (__TEXT,__text) non-external _little2_checkPiTarget
000000018bb0dd04 (__TEXT,__text) non-external _little2_contentTok
00000001dab16148 (__AUTH_CONST,__const) non-external _little2_encoding
00000001dab16a58 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018bb0f4e0 (__TEXT,__text) non-external _little2_entityValueTok
000000018bb0f79c (__TEXT,__text) non-external _little2_getAtts
000000018bb0f1ac (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018bb0fee8 (__TEXT,__text) non-external _little2_isPublicId
000000018bb0f6ac (__TEXT,__text) non-external _little2_nameLength
000000018bb0f660 (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018bb0fc98 (__TEXT,__text) non-external _little2_predefinedEntityName
000000018bb0d174 (__TEXT,__text) non-external _little2_prologTok
000000018bb10a10 (__TEXT,__text) non-external _little2_scanComment
000000018bb101bc (__TEXT,__text) non-external _little2_scanLit
000000018bb10790 (__TEXT,__text) non-external _little2_scanPercent
000000018bb10334 (__TEXT,__text) non-external _little2_scanPi
000000018bb10c44 (__TEXT,__text) non-external _little2_scanRef
000000018bb0f74c (__TEXT,__text) non-external _little2_skipS
000000018bb10130 (__TEXT,__text) non-external _little2_toUtf16
000000018bb0ff9c (__TEXT,__text) non-external _little2_toUtf8
000000018bb0fdec (__TEXT,__text) non-external _little2_updatePosition
000000018bb0141c (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018bb16958 (__TEXT,__const) non-external _namePages
000000018bb16358 (__TEXT,__const) non-external _namingBitmap
000000018bb025a4 (__TEXT,__text) non-external _nextScaffoldPart
000000018bb16858 (__TEXT,__const) non-external _nmstrtPages
000000018bb0b524 (__TEXT,__text) non-external _normal_attributeValueTok
000000018bb0b090 (__TEXT,__text) non-external _normal_cdataSectionTok
000000018bb0bbe8 (__TEXT,__text) non-external _normal_charRefNumber
000000018bb0c9b8 (__TEXT,__text) non-external _normal_checkPiTarget
000000018bb09f78 (__TEXT,__text) non-external _normal_contentTok
000000018bb0b68c (__TEXT,__text) non-external _normal_entityValueTok
000000018bb0b8b4 (__TEXT,__text) non-external _normal_getAtts
000000018bb0b34c (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018bb0be98 (__TEXT,__text) non-external _normal_isPublicId
000000018bb0b82c (__TEXT,__text) non-external _normal_nameLength
000000018bb0b7e8 (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018bb0bcc4 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018bb09418 (__TEXT,__text) non-external _normal_prologTok
000000018bb0c80c (__TEXT,__text) non-external _normal_scanComment
000000018bb0c030 (__TEXT,__text) non-external _normal_scanLit
000000018bb0c5c4 (__TEXT,__text) non-external _normal_scanPercent
000000018bb0c1e0 (__TEXT,__text) non-external _normal_scanPi
000000018bb0ca3c (__TEXT,__text) non-external _normal_scanRef
000000018bb0b878 (__TEXT,__text) non-external _normal_skipS
000000018bb0bdac (__TEXT,__text) non-external _normal_updatePosition
000000018bb05c00 (__TEXT,__text) non-external _normalizeLines
000000018bb01748 (__TEXT,__text) non-external _normalizePublicId
000000018bb06d10 (__TEXT,__text) non-external _notation0
000000018bb08224 (__TEXT,__text) non-external _notation1
000000018bb08364 (__TEXT,__text) non-external _notation2
000000018bb082fc (__TEXT,__text) non-external _notation3
000000018bb083c4 (__TEXT,__text) non-external _notation4
000000018bb15080 (__TEXT,__text) non-external _parsePseudoAttribute
000000018bafd184 (__TEXT,__text) non-external _parserCreate
000000018bafd790 (__TEXT,__text) non-external _parserInit
000000018bb01adc (__TEXT,__text) non-external _poolAppend
000000018bafe62c (__TEXT,__text) non-external _poolCopyString
000000018bafe4fc (__TEXT,__text) non-external _poolDestroy
000000018bb01c7c (__TEXT,__text) non-external _poolGrow
000000018bb013c0 (__TEXT,__text) non-external _poolStoreString
000000018bb026ac (__TEXT,__text) non-external _processInternalEntity
000000018bb010a4 (__TEXT,__text) non-external _processXmlDecl
000000018bb06498 (__TEXT,__text) non-external _prolog0
000000018bb065f0 (__TEXT,__text) non-external _prolog1
000000018bb06a60 (__TEXT,__text) non-external _prolog2
000000018baff3b0 (__TEXT,__text) non-external _prologInitProcessor
000000018baff528 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018bb029e4 (__TEXT,__text) non-external _reportComment
000000018baff1ec (__TEXT,__text) non-external _reportDefault
000000018bb028b4 (__TEXT,__text) non-external _reportProcessingInstruction
000000018bafdee0 (__TEXT,__text) non-external _setContext
000000018bb04f7c (__TEXT,__text) non-external _setElementTypePrefix
000000018bb02d38 (__TEXT,__text) non-external _sip24_final
000000018bb02c48 (__TEXT,__text) non-external _sip24_update
000000018bb02e44 (__TEXT,__text) non-external _sip_round
000000018bafea24 (__TEXT,__text) non-external _startParsing
000000018bb01e38 (__TEXT,__text) non-external _storeAttributeValue
000000018bb03f10 (__TEXT,__text) non-external _storeAtts
000000018bb01ec8 (__TEXT,__text) non-external _storeEntityValue
000000018bb03e40 (__TEXT,__text) non-external _storeRawNames
000000018bb10f84 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018baff384 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018baff390 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018bb08a4c (__TEXT,__text) non-external _unknown_isInvalid
000000018bb08984 (__TEXT,__text) non-external _unknown_isName
000000018bb089e8 (__TEXT,__text) non-external _unknown_isNmstrt
000000018bb08b80 (__TEXT,__text) non-external _unknown_toUtf16
000000018bb08a80 (__TEXT,__text) non-external _unknown_toUtf8
000000018baff39c (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001dab15da8 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001dab166b8 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018bb0d038 (__TEXT,__text) non-external _utf8_isInvalid2
000000018bb0d06c (__TEXT,__text) non-external _utf8_isInvalid3
000000018bb0d0f8 (__TEXT,__text) non-external _utf8_isInvalid4
000000018bb0cf08 (__TEXT,__text) non-external _utf8_isName2
000000018bb0cf4c (__TEXT,__text) non-external _utf8_isName3
000000018bb0cfa4 (__TEXT,__text) non-external _utf8_isNmstrt2
000000018bb0cfe8 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018bb0cdc0 (__TEXT,__text) non-external _utf8_toUtf16
000000018bb0cd10 (__TEXT,__text) non-external _utf8_toUtf8
