00007ffb42d6af88 (__DATA,__bss) non-external _A
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _calloc (from libSystem)
00007ffb1faf9775 (__TEXT,__text) non-external _can_contain
00007ffb1fafc10f (__TEXT,__text) non-external _can_contain
00007ffb1fb10602 (__TEXT,__text) non-external _can_contain
00007ffb1fafad83 (__TEXT,__text) non-external _check_domain
00007ffb1fb0eaf4 (__TEXT,__text) non-external _chunk_clone
00007ffb1fb11aef (__TEXT,__text) external _cmark_arena_pop
00007ffb1fb11a47 (__TEXT,__text) external _cmark_arena_push
00007ffb1fb11b6d (__TEXT,__text) external _cmark_arena_reset
00007ffb1fb0fbd0 (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffb1fb0ae6d (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffb1fb0ade0 (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffb1fb0ad0d (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffb1fb1225e (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffb1fb1227f (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffb1fafc565 (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffb1fb12ce0 (__TEXT,__const) non-external _cmark_ctype_class
00007ffb42d62700 (__DATA,__const) non-external _cmark_entities
00007ffb1fafb18f (__TEXT,__text) external _cmark_find_syntax_extension
00007ffb1fb0651d (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffb1fb11fe2 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffb1fb0658e (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffb1fb11ce8 (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffb1faf824a (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffb1fb06604 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffb1fb113b8 (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffb1fb114a9 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffb1fb114da (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffb1fb11395 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffb1fb1145c (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffb1faf9587 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffb1fb11401 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffb1fb1150c (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffb1fb11538 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffb1fb113d9 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffb1fb1147f (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffb1faf9532 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffb1fb09667 (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffb1fb0e6c4 (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffb1fb0e6f2 (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffb1fb0e6df (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffb1fb0e776 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffb1fb0e780 (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffb1fb0e6cd (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffb1fb0e6fc (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffb1fb0e400 (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffb1fb0e3ef (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffb1fb0e3c7 (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffb1fb12839 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffb1fb0e4af (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffb1fb0e533 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffb1fb0e53d (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffb1fb1287f (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffb1fb0e6d6 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffb1fb0e411 (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffb1fb1285c (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffb1fb0aea0 (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffb1fb0aec2 (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffb1faf94df (__TEXT,__text) external _cmark_isalnum
00007ffb1faf9518 (__TEXT,__text) external _cmark_isalpha
00007ffb1faf94fe (__TEXT,__text) external _cmark_isdigit
00007ffb1faf94c5 (__TEXT,__text) external _cmark_ispunct
00007ffb1faf94ab (__TEXT,__text) external _cmark_isspace
00007ffb1fafc484 (__TEXT,__text) external _cmark_iter_free
00007ffb1fafc552 (__TEXT,__text) external _cmark_iter_get_event_type
00007ffb1fafc548 (__TEXT,__text) external _cmark_iter_get_node
00007ffb1fafc55b (__TEXT,__text) external _cmark_iter_get_root
00007ffb1fafc43c (__TEXT,__text) external _cmark_iter_new
00007ffb1fafc48f (__TEXT,__text) external _cmark_iter_next
00007ffb1fb11f9c (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffb1fafc537 (__TEXT,__text) external _cmark_iter_reset
00007ffb1fafb123 (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffb1fafd46b (__TEXT,__text) external _cmark_llist_append
00007ffb1fafd4f8 (__TEXT,__text) external _cmark_llist_free
00007ffb1fafd4b5 (__TEXT,__text) external _cmark_llist_free_full
00007ffb1fb073da (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffb1fb06882 (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffb1fb0670c (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffb1fb068c8 (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffb1faf8257 (__TEXT,__text) external _cmark_markdown_to_html
00007ffb1fb0ab0d (__TEXT,__text) external _cmark_node_append_child
00007ffb1fb0966d (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffb1fb0ab63 (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffb1fb09c5e (__TEXT,__text) external _cmark_node_first_child
00007ffb1fb097fe (__TEXT,__text) external _cmark_node_free
00007ffb1fb0a508 (__TEXT,__text) external _cmark_node_get_attributes
00007ffb1fb09e05 (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffb1fb0a94f (__TEXT,__text) external _cmark_node_get_end_column
00007ffb1fb0a93e (__TEXT,__text) external _cmark_node_get_end_line
00007ffb1fb0a0c3 (__TEXT,__text) external _cmark_node_get_fence_info
00007ffb1fb0a204 (__TEXT,__text) external _cmark_node_get_fenced
00007ffb1fb09f53 (__TEXT,__text) external _cmark_node_get_heading_level
00007ffb1fb09fe9 (__TEXT,__text) external _cmark_node_get_list_delim
00007ffb1fb0a034 (__TEXT,__text) external _cmark_node_get_list_start
00007ffb1fb0a07b (__TEXT,__text) external _cmark_node_get_list_tight
00007ffb1fb09f9e (__TEXT,__text) external _cmark_node_get_list_type
00007ffb1fb09cf5 (__TEXT,__text) external _cmark_node_get_literal
00007ffb1fb0a649 (__TEXT,__text) external _cmark_node_get_on_enter
00007ffb1fb0a79e (__TEXT,__text) external _cmark_node_get_on_exit
00007ffb1fb0a92d (__TEXT,__text) external _cmark_node_get_start_column
00007ffb1fb0a91c (__TEXT,__text) external _cmark_node_get_start_line
00007ffb1fb09f39 (__TEXT,__text) external _cmark_node_get_string_content
00007ffb1fb0a8f3 (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffb1fb0a3c1 (__TEXT,__text) external _cmark_node_get_title
00007ffb1fb098dc (__TEXT,__text) external _cmark_node_get_type
00007ffb1fb09a70 (__TEXT,__text) external _cmark_node_get_type_string
00007ffb1fb0a27a (__TEXT,__text) external _cmark_node_get_url
00007ffb1fb09cb5 (__TEXT,__text) external _cmark_node_get_user_data
00007ffb1fb0aa01 (__TEXT,__text) external _cmark_node_insert_after
00007ffb1fb0a984 (__TEXT,__text) external _cmark_node_insert_before
00007ffb1fb09c70 (__TEXT,__text) external _cmark_node_last_child
00007ffb1fb097eb (__TEXT,__text) external _cmark_node_new
00007ffb1fb097cb (__TEXT,__text) external _cmark_node_new_with_ext
00007ffb1fb097df (__TEXT,__text) external _cmark_node_new_with_mem
00007ffb1fb09730 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffb1fb09c28 (__TEXT,__text) external _cmark_node_next
00007ffb1fb09c82 (__TEXT,__text) external _cmark_node_nth_child
00007ffb1fafc6fa (__TEXT,__text) external _cmark_node_own
00007ffb1fb09c4c (__TEXT,__text) external _cmark_node_parent
00007ffb1fb0aab7 (__TEXT,__text) external _cmark_node_prepend_child
00007ffb1fb09c3a (__TEXT,__text) external _cmark_node_previous
00007ffb1fb0aa7e (__TEXT,__text) external _cmark_node_replace
00007ffb1fb0a590 (__TEXT,__text) external _cmark_node_set_attributes
00007ffb1fb0a14b (__TEXT,__text) external _cmark_node_set_fence_info
00007ffb1fb0a240 (__TEXT,__text) external _cmark_node_set_fenced
00007ffb1fb09f72 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffb1fb0a008 (__TEXT,__text) external _cmark_node_set_list_delim
00007ffb1fb0a053 (__TEXT,__text) external _cmark_node_set_list_start
00007ffb1fb0a09b (__TEXT,__text) external _cmark_node_set_list_tight
00007ffb1fb09fbd (__TEXT,__text) external _cmark_node_set_list_type
00007ffb1fb09e0e (__TEXT,__text) external _cmark_node_set_literal
00007ffb1fb0a6db (__TEXT,__text) external _cmark_node_set_on_enter
00007ffb1fb0a830 (__TEXT,__text) external _cmark_node_set_on_exit
00007ffb1fb09f43 (__TEXT,__text) external _cmark_node_set_string_content
00007ffb1fb0a905 (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffb1fb0a44c (__TEXT,__text) external _cmark_node_set_title
00007ffb1fb098ee (__TEXT,__text) external _cmark_node_set_type
00007ffb1fb0a305 (__TEXT,__text) external _cmark_node_set_url
00007ffb1fb09cc7 (__TEXT,__text) external _cmark_node_set_user_data
00007ffb1fb09cde (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffb1fb0a960 (__TEXT,__text) external _cmark_node_unlink
00007ffb1fb0e72d (__TEXT,__text) external _cmark_node_unput
00007ffb1fb07b52 (__TEXT,__text) external _cmark_parse_document
00007ffb1fb07444 (__TEXT,__text) external _cmark_parse_file
00007ffb1fb0aee4 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffb1fb122a0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffb1fb123db (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffb1fb123fe (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffb1fb12421 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffb1fb12444 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffb1fb12467 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffb1fb1248a (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffb1fb124ad (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffb1fb124d0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffb1fb124f3 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffb1fb12516 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffb1fb122c3 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffb1fb122e6 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffb1fb12309 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffb1fb1232c (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffb1fb1234f (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffb1fb12372 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffb1fb12395 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffb1fb123b8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffb1fb0e1b6 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffb1fb1278a (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffb1fb127ad (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffb1fb127d0 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffb1fb127f3 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffb1fb12816 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffb1fb0dad2 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffb1fb1255c (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffb1fb1257f (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffb1fb125a2 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffb1fb125c5 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffb1fb125e8 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffb1fb1260b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffb1fb1262e (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffb1fb08e0b (__TEXT,__text) external _cmark_parser_add_child
00007ffb1fb08ee3 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffb1fb07100 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffb1fb073ac (__TEXT,__text) non-external _cmark_parser_dispose
00007ffb1fb07ba7 (__TEXT,__text) external _cmark_parser_feed
00007ffb1fb07bb3 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffb1fb076b2 (__TEXT,__text) external _cmark_parser_finish
00007ffb1fb0732e (__TEXT,__text) external _cmark_parser_free
00007ffb1fb08dca (__TEXT,__text) external _cmark_parser_get_column
00007ffb1fb08dd3 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffb1fb08ddc (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffb1fb08de5 (__TEXT,__text) external _cmark_parser_get_indent
00007ffb1fb08e02 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffb1fb08db8 (__TEXT,__text) external _cmark_parser_get_line_number
00007ffb1fb08dc1 (__TEXT,__text) external _cmark_parser_get_offset
00007ffb1fb08fc6 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffb1fb08df8 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffb1fb08dee (__TEXT,__text) external _cmark_parser_is_blank
00007ffb1fb0731d (__TEXT,__text) external _cmark_parser_new
00007ffb1fb071b1 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffb1fb0720a (__TEXT,__text) non-external _cmark_parser_reset
00007ffb1fb08fb9 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffb1fafbfcb (__TEXT,__text) external _cmark_plugin_free
00007ffb1fafbfab (__TEXT,__text) external _cmark_plugin_new
00007ffb1fafbf81 (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffb1fafbffb (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffb1fb06f02 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffb1fb1208c (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffb1fb06fc9 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffb1fb120ad (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffb1fb07068 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffb1fb095fc (__TEXT,__text) external _cmark_register_node_flag
00007ffb1fb12211 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffb1fb12236 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffb42d6ac70 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffb1fafb021 (__TEXT,__text) external _cmark_register_plugin
00007ffb1fafb0c9 (__TEXT,__text) external _cmark_release_plugins
00007ffb1fafb259 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffb1fafb210 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffb1fafb239 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffb1faf7058 (__TEXT,__text) external _cmark_render_commonmark
00007ffb1faf7081 (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffb1faf828c (__TEXT,__text) external _cmark_render_html
00007ffb1faf8299 (__TEXT,__text) external _cmark_render_html_with_mem
00007ffb1fb11eeb (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffb1fafc904 (__TEXT,__text) external _cmark_render_latex
00007ffb1fafc926 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffb1faf9970 (__TEXT,__text) external _cmark_render_man
00007ffb1faf9992 (__TEXT,__text) external _cmark_render_man_with_mem
00007ffb1fb0f594 (__TEXT,__text) external _cmark_render_plaintext
00007ffb1fb0f5bd (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffb1fb0eb4c (__TEXT,__text) external _cmark_render_xml
00007ffb1fb0eb59 (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffb1fb0ace4 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffb42d6ae40 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffb1fb0ae77 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffb42d6ac80 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffb42d6af94 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffb1fb069ea (__TEXT,__text) external _cmark_strbuf_clear
00007ffb1fb06c25 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffb1fb06b6a (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffb1fb1206b (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffb1fb06bef (__TEXT,__text) external _cmark_strbuf_detach
00007ffb1fb06d10 (__TEXT,__text) external _cmark_strbuf_drop
00007ffb1fb069b4 (__TEXT,__text) external _cmark_strbuf_free
00007ffb1fb0694b (__TEXT,__text) external _cmark_strbuf_grow
00007ffb1fb12024 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffb1fb12045 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
