00000001f7e7e648 (__TEXT,__text) non-external +[MGDaemon daemon]
00000001f7e78e7c (__TEXT,__text) non-external -[MGServiceListenerProvider dispatchQueue]
00000001f7e79050 (__TEXT,__text) non-external -[MGServiceListenerProvider entitlement]
00000001f7e78dd4 (__TEXT,__text) non-external -[MGServiceListenerProvider initWithServiceName:entitlement:]
00000001f7e78f24 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceListener]
00000001f7e79048 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceName]
00000001f7e78f94 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceShouldAcceptNewConnection:]
00000001f7e84370 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f7e843ac (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f7e8425c (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f7e84318 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f7e843c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001f7e8426c (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001f7e84280 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00000001f7e84294 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f7e843e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f7e842a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table28
00000001f7e8432c (__TEXT,__gcc_except_tab) non-external GCC_except_table31
00000001f7e842c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f7e843f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f7e842d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00000001f7e84394 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001f7e842f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00000001f7e84348 (__TEXT,__gcc_except_tab) non-external GCC_except_table56
00000001f7e84248 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001f7e84304 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
                 (undefined) external _HMAccessoryCategoryTypeAudioReceiver (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeHomePod (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeSpeaker (from HomeKit)
00000001f7e7cb9c (__TEXT,__text) non-external (was a private external) _MGAccessoryCategoryTypeForAccessory
00000001f7e7cbf4 (__TEXT,__text) non-external (was a private external) _MGClassForGroupIdentifier
                 (undefined) external _MGErrorDomain (from MediaGroups)
00000001f7e7cf24 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessory
00000001f7e7cff0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessoryIdentifierInHome
00000001f7e7d404 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHome
00000001f7e7d4ac (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeIdentifierInHome
00000001f7e7d40c (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeInHome
00000001f7e7d7c0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemIdentifierInHome
00000001f7e7d720 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemInHome
00000001f7e7d684 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomIdentifierInHome
00000001f7e7d364 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomInHome
00000001f7e7d5e8 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneIdentifierInHome
00000001f7e7d548 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneInHome
00000001f7e7cb44 (__TEXT,__text) non-external (was a private external) _MGHomeUniqueIdentifierForAccessory
00000001f7e7dad4 (__TEXT,__text) non-external (was a private external) _MGLogForCategory
00000002176b13a8 (__DATA_CONST,__const) non-external _MGLogForCategory.categories
000000021a770428 (__DATA,__common) non-external (was a private external) _MGLogForCategory.onceToken
000000021a770400 (__DATA,__common) non-external (was a private external) _MGLogForCategory.oslog
00000001f7e7cb3c (__TEXT,__text) non-external (was a private external) _MGSetDaemonXPCInterfacesOnConnection
00000001f7e7c5e8 (__TEXT,__text) non-external (was a private external) _MGSetServiceXPCInterfacesOnConnection
00000001f7e84228 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionNumber
00000001f7e841e8 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionString
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _OBJC_CLASS_$_MGAppleTVAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGAudioReceiverAccessory (from MediaGroups)
000000021c7125f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MGDaemon
                 (undefined) external _OBJC_CLASS_$_MGGroup (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGGroupIdentifier (from MediaGroups)
000000021c712438 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsActivity
000000021c712410 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsMediator
000000021c712500 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsQueryAgent
000000021c712528 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsQueryOperation
                 (undefined) external _OBJC_CLASS_$_MGHome (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGHomePodAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGMediaSystem (from MediaGroups)
000000021c7125a0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGOutstandingQuery
                 (undefined) external _OBJC_CLASS_$_MGRoom (from MediaGroups)
000000021c712640 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClient
000000021c712690 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClientSet
000000021c7124b0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_CLASS_$_MGSoloDevice (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGSpeakerAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGZone (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOperation (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSOperationQueue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLQueryItem (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
000000021a770194 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._clients
000000021a770190 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._dispatchQueue
000000021a770198 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._groupsMediator
000000021a77018c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listener
000000021a770188 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listenerProvider
000000021a7701a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._queryAgent
000000021a77019c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._topologyRequestHandler
000000021a770134 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._name
000000021a770138 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._when
000000021a770130 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._activities
000000021a770124 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._groups
000000021a770120 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._lock
000000021a770128 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._pendingChanges
000000021a77012c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._queryAgent
000000021a770160 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._containers
000000021a77015c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._currentIdentifier
000000021a77014c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._delegate
000000021a770158 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._groups
000000021a770148 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._lock
000000021a770154 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._operations
000000021a770168 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queries
000000021a770150 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queue
000000021a770164 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._variables
000000021a770180 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._identifier
000000021a770184 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._predicate
000000021a77017c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._requiresTopology
000000021a7701a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._connection
000000021a7701a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._lock
000000021a7701ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._queries
000000021a7701b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._transaction
000000021a7701b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._clients
000000021a7701b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._lock
000000021a77013c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._dispatchQueue
000000021a770144 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._entitlement
000000021a770140 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._serviceName
000000021c712618 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MGDaemon
000000021c712488 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsActivity
000000021c712460 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsMediator
000000021c712550 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryAgent
000000021c712578 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryOperation
000000021c7125c8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGOutstandingQuery
000000021c712668 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClient
000000021c7126b8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClientSet
000000021c7124d8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_NSOperation (from Foundation)
00000001f7e7a954 (__TEXT,__text) non-external __AddContainmentForGroup
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00000001f7e7d154 (__TEXT,__text) non-external __MGGroupIdentifierHomeKitComponents
000000021a77016c (__DATA,__objc_ivar) non-external __MergedGlobals
000000021a770430 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSIsNSString (from CoreFoundation)
00000001f7e83f08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_MGDaemon
00000001f7e83f20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGDaemon
00000001f7e83b60 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsActivity
00000001f7e83bb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsMediator
00000001f7e83d20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryAgent
00000001f7e83e58 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryOperation
00000001f7e83eb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGOutstandingQuery
00000001f7e840c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClient
00000001f7e84180 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClientSet
00000001f7e83cc0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceListenerProvider
00000002176b24f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGDaemon
00000002176b1600 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsActivity
00000002176b14d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsMediator
00000002176b1b90 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryAgent
00000002176b1d88 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryOperation
00000002176b1fd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGOutstandingQuery
00000002176b26e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClient
00000002176b27e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClientSet
00000002176b1a68 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceListenerProvider
00000002176b25e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGDaemon
00000002176b1648 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsActivity
00000002176b1580 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsMediator
00000002176b1cb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryAgent
00000002176b1e10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryOperation
00000002176b2038 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGOutstandingQuery
00000002176b2768 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClient
00000002176b2830 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClientSet
