                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cospi (from libSystem)
                 (undefined) external ___cospif (from libSystem)
                 (undefined) external ___sincos_stret (from libSystem)
                 (undefined) external ___sincosf_stret (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _atan2 (from libSystem)
                 (undefined) external _atan2f (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cblas_dgemm (from libBLAS)
                 (undefined) external _cblas_sgemm (from libBLAS)
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _log (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _log10f (from libSystem)
                 (undefined) external _log2 (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset_pattern4 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _posix_memalign (from libSystem)
                 (undefined) external _pow (from libSystem)
                 (undefined) external _powf (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _tan (from libSystem)
000000018be3f8b4 (__TEXT,__text) external _vDSP_DCT_CreateSetup
000000018bdba410 (__TEXT,__text) external _vDSP_deq22
000000018bdbaac0 (__TEXT,__text) external _vDSP_deq22D
000000018bdb15d8 (__TEXT,__text) external _vDSP_desamp
000000018be16bc0 (__TEXT,__text) external _vDSP_desampD
000000018bd78eb0 (__TEXT,__text) external _vDSP_destroy_fftsetup
000000018bdbf660 (__TEXT,__text) external _vDSP_destroy_fftsetupD
000000018be18e28 (__TEXT,__text) external _vDSP_distancesq
000000018be46dd4 (__TEXT,__text) external _vDSP_distancesqD
000000018be05620 (__TEXT,__text) external _vDSP_dotpr
000000018bd81e5c (__TEXT,__text) external _vDSP_dotpr2
000000018be0bb74 (__TEXT,__text) external _vDSP_dotpr2D
000000018bd81edc (__TEXT,__text) external _vDSP_dotpr2_s1_15
000000018bd8276c (__TEXT,__text) external _vDSP_dotpr2_s8_24
000000018bdc0978 (__TEXT,__text) external _vDSP_dotprD
000000018bd84f30 (__TEXT,__text) external _vDSP_dotpr_s1_15
000000018bd859c0 (__TEXT,__text) external _vDSP_dotpr_s8_24
000000018be606f4 (__TEXT,__text) external _vDSP_f3x3
000000018be0b2d4 (__TEXT,__text) external _vDSP_f3x3D
000000018be605bc (__TEXT,__text) external _vDSP_f5x5
000000018be03cf4 (__TEXT,__text) external _vDSP_f5x5D
000000018bda3954 (__TEXT,__text) external _vDSP_fft2d_zip
000000018bdac858 (__TEXT,__text) external _vDSP_fft2d_zipD
000000018bda3c3c (__TEXT,__text) external _vDSP_fft2d_zipt
000000018be06050 (__TEXT,__text) external _vDSP_fft2d_ziptD
000000018bda398c (__TEXT,__text) external _vDSP_fft2d_zop
000000018bdcab5c (__TEXT,__text) external _vDSP_fft2d_zopD
000000018bda5c20 (__TEXT,__text) external _vDSP_fft2d_zopt
000000018bd85b94 (__TEXT,__text) external _vDSP_fft2d_zoptD
000000018bda5f04 (__TEXT,__text) external _vDSP_fft2d_zrip
000000018bdd8a58 (__TEXT,__text) external _vDSP_fft2d_zripD
000000018bda6c38 (__TEXT,__text) external _vDSP_fft2d_zript
000000018bde848c (__TEXT,__text) external _vDSP_fft2d_zriptD
000000018bda5f3c (__TEXT,__text) external _vDSP_fft2d_zrop
000000018bd953cc (__TEXT,__text) external _vDSP_fft2d_zropD
000000018bda6c74 (__TEXT,__text) external _vDSP_fft2d_zropt
000000018be2b5e0 (__TEXT,__text) external _vDSP_fft2d_zroptD
000000018be04270 (__TEXT,__text) external _vDSP_fft3_zop
000000018bd849e0 (__TEXT,__text) external _vDSP_fft3_zopD
000000018bdc0254 (__TEXT,__text) external _vDSP_fft5_zop
000000018be16d60 (__TEXT,__text) external _vDSP_fft5_zopD
000000018bdb69ac (__TEXT,__text) external _vDSP_fft_zip
000000018bdc5d2c (__TEXT,__text) external _vDSP_fft_zipD
000000018bd887d4 (__TEXT,__text) external _vDSP_fft_zipt
000000018bdb1da8 (__TEXT,__text) external _vDSP_fft_ziptD
000000018bda8764 (__TEXT,__text) external _vDSP_fft_zop
000000018bdc0c78 (__TEXT,__text) external _vDSP_fft_zopD
000000018bdced80 (__TEXT,__text) external _vDSP_fft_zopt
000000018be17878 (__TEXT,__text) external _vDSP_fft_zoptD
000000018be45c64 (__TEXT,__text) external _vDSP_fft_zrip
000000018be17884 (__TEXT,__text) external _vDSP_fft_zripD
000000018be180f0 (__TEXT,__text) external _vDSP_fft_zript
000000018be45054 (__TEXT,__text) external _vDSP_fft_zriptD
000000018bdb5140 (__TEXT,__text) external _vDSP_fft_zrop
000000018bdc0cd0 (__TEXT,__text) external _vDSP_fft_zropD
000000018be0ea08 (__TEXT,__text) external _vDSP_fft_zropt
000000018bdd4b18 (__TEXT,__text) external _vDSP_fft_zroptD
000000018bda6c88 (__TEXT,__text) external _vDSP_fftm_zip
000000018bdb11b4 (__TEXT,__text) external _vDSP_fftm_zipD
000000018bda70e8 (__TEXT,__text) external _vDSP_fftm_zipt
000000018be29958 (__TEXT,__text) external _vDSP_fftm_ziptD
000000018bda6cc0 (__TEXT,__text) external _vDSP_fftm_zop
000000018bd9ce1c (__TEXT,__text) external _vDSP_fftm_zopD
000000018bda75e4 (__TEXT,__text) external _vDSP_fftm_zopt
000000018bdc9900 (__TEXT,__text) external _vDSP_fftm_zoptD
000000018bda75f8 (__TEXT,__text) external _vDSP_fftm_zrip
000000018bdac958 (__TEXT,__text) external _vDSP_fftm_zripD
000000018bda7a40 (__TEXT,__text) external _vDSP_fftm_zript
000000018be46bc4 (__TEXT,__text) external _vDSP_fftm_zriptD
000000018bda7630 (__TEXT,__text) external _vDSP_fftm_zrop
000000018be032e0 (__TEXT,__text) external _vDSP_fftm_zropD
000000018bda7a7c (__TEXT,__text) external _vDSP_fftm_zropt
000000018be032cc (__TEXT,__text) external _vDSP_fftm_zroptD
000000018bde1600 (__TEXT,__text) external _vDSP_hamm_window
000000018bdce850 (__TEXT,__text) external _vDSP_hamm_windowD
000000018be56e44 (__TEXT,__text) external _vDSP_hann_window
000000018bde1958 (__TEXT,__text) external _vDSP_hann_windowD
000000018be5f918 (__TEXT,__text) external _vDSP_imgfir
000000018be47124 (__TEXT,__text) external _vDSP_imgfirD
000000018bdb4670 (__TEXT,__text) external _vDSP_maxmgv
000000018bdbbacc (__TEXT,__text) external _vDSP_maxmgvD
000000018bdbcaac (__TEXT,__text) external _vDSP_maxmgvi
000000018bdbd4e0 (__TEXT,__text) external _vDSP_maxmgviD
000000018bdb59b4 (__TEXT,__text) external _vDSP_maxv
000000018bdb5bc0 (__TEXT,__text) external _vDSP_maxvD
000000018bdbdf9c (__TEXT,__text) external _vDSP_maxvi
000000018bdbe4b4 (__TEXT,__text) external _vDSP_maxviD
000000018be2e2c4 (__TEXT,__text) external _vDSP_meamgv
000000018be57274 (__TEXT,__text) external _vDSP_meamgvD
000000018be0acdc (__TEXT,__text) external _vDSP_meanv
000000018be57e08 (__TEXT,__text) external _vDSP_meanvD
000000018be12f80 (__TEXT,__text) external _vDSP_measqv
000000018be08dd8 (__TEXT,__text) external _vDSP_measqvD
000000018bdb5de8 (__TEXT,__text) external _vDSP_minmgv
000000018bdb6124 (__TEXT,__text) external _vDSP_minmgvD
000000018bdbd5f4 (__TEXT,__text) external _vDSP_minmgvi
000000018bdbde78 (__TEXT,__text) external _vDSP_minmgviD
000000018bdbe5c0 (__TEXT,__text) external _vDSP_minv
000000018bdbedc4 (__TEXT,__text) external _vDSP_minvD
000000018bdbefec (__TEXT,__text) external _vDSP_minvi
000000018bdbf554 (__TEXT,__text) external _vDSP_minviD
000000018bdb67a0 (__TEXT,__text) external _vDSP_mmov
000000018bdce18c (__TEXT,__text) external _vDSP_mmovD
000000018bdaece4 (__TEXT,__text) external _vDSP_mmul
000000018be225e4 (__TEXT,__text) external _vDSP_mmulD
000000018be028a0 (__TEXT,__text) external _vDSP_mtrans
000000018bd86a00 (__TEXT,__text) external _vDSP_mtransD
000000018bda28f0 (__TEXT,__text) external _vDSP_mvessq
000000018bd90534 (__TEXT,__text) external _vDSP_mvessqD
000000018bdca3b4 (__TEXT,__text) external _vDSP_normalize
000000018bdb135c (__TEXT,__text) external _vDSP_normalizeD
000000018bdb0d90 (__TEXT,__text) external _vDSP_nzcros
000000018bdb113c (__TEXT,__text) external _vDSP_nzcrosD
000000018bdced8c (__TEXT,__text) external _vDSP_polar
000000018be44fe4 (__TEXT,__text) external _vDSP_polarD
000000018be01d28 (__TEXT,__text) external _vDSP_rect
000000018be1755c (__TEXT,__text) external _vDSP_rectD
000000018be44fa8 (__TEXT,__text) external _vDSP_rmsqv
000000018bdcbf00 (__TEXT,__text) external _vDSP_rmsqvD
000000018bd8c290 (__TEXT,__text) external _vDSP_svdiv
000000018bdcb074 (__TEXT,__text) external _vDSP_svdivD
000000018bd78100 (__TEXT,__text) external _vDSP_sve
000000018bd78928 (__TEXT,__text) external _vDSP_sveD
000000018be08aa8 (__TEXT,__text) external _vDSP_sve_svesq
000000018be08c48 (__TEXT,__text) external _vDSP_sve_svesqD
000000018bdacac0 (__TEXT,__text) external _vDSP_svemg
000000018be10524 (__TEXT,__text) external _vDSP_svemgD
000000018bdacd40 (__TEXT,__text) external _vDSP_svesq
000000018be105cc (__TEXT,__text) external _vDSP_svesqD
000000018be12500 (__TEXT,__text) external _vDSP_svs
000000018be12624 (__TEXT,__text) external _vDSP_svsD
000000018be467dc (__TEXT,__text) external _vDSP_vaam
000000018bdc7920 (__TEXT,__text) external _vDSP_vaamD
000000018bdce470 (__TEXT,__text) external _vDSP_vabs
000000018bdb1430 (__TEXT,__text) external _vDSP_vabsD
000000018bdc6bcc (__TEXT,__text) external _vDSP_vabsi
000000018bd784d8 (__TEXT,__text) external _vDSP_vadd
000000018bdb6204 (__TEXT,__text) external _vDSP_vaddD
000000018be578c0 (__TEXT,__text) external _vDSP_vaddi
000000018be1913c (__TEXT,__text) external _vDSP_vaddsub
000000018be194c0 (__TEXT,__text) external _vDSP_vaddsubD
000000018bdc4bc4 (__TEXT,__text) external _vDSP_vam
000000018bdc4ce4 (__TEXT,__text) external _vDSP_vamD
000000018be16a14 (__TEXT,__text) external _vDSP_vasbm
000000018bdd496c (__TEXT,__text) external _vDSP_vasbmD
000000018bdc4e24 (__TEXT,__text) external _vDSP_vasm
000000018bdcb168 (__TEXT,__text) external _vDSP_vasmD
000000018be1985c (__TEXT,__text) external _vDSP_vavlin
000000018be462e8 (__TEXT,__text) external _vDSP_vavlinD
000000018be164f0 (__TEXT,__text) external _vDSP_vclip
000000018bd900f4 (__TEXT,__text) external _vDSP_vclipD
000000018be14688 (__TEXT,__text) external _vDSP_vclipc
000000018be2af98 (__TEXT,__text) external _vDSP_vclipcD
000000018bd78424 (__TEXT,__text) external _vDSP_vclr
000000018bdb69c0 (__TEXT,__text) external _vDSP_vclrD
000000018bdb0d48 (__TEXT,__text) external _vDSP_vcmprs
000000018bdbd498 (__TEXT,__text) external _vDSP_vcmprsD
000000018bdacf98 (__TEXT,__text) external _vDSP_vdbcon
000000018bdd44e8 (__TEXT,__text) external _vDSP_vdbconD
000000018be572b0 (__TEXT,__text) external _vDSP_vdist
000000018be0670c (__TEXT,__text) external _vDSP_vdistD
000000018bda90a0 (__TEXT,__text) external _vDSP_vdiv
000000018be08ef4 (__TEXT,__text) external _vDSP_vdivD
000000018bd8e538 (__TEXT,__text) external _vDSP_vdivi
000000018bdc50b0 (__TEXT,__text) external _vDSP_vdpsp
000000018bdb3980 (__TEXT,__text) external _vDSP_venvlp
000000018bdd8c48 (__TEXT,__text) external _vDSP_venvlpD
000000018bd8ab34 (__TEXT,__text) external _vDSP_veqvi
000000018bdcd8c0 (__TEXT,__text) external _vDSP_vfill
000000018bdcb260 (__TEXT,__text) external _vDSP_vfillD
000000018bdc5554 (__TEXT,__text) external _vDSP_vfilli
000000018be5f56c (__TEXT,__text) external _vDSP_vfix16
000000018bdb6858 (__TEXT,__text) external _vDSP_vfix16D
000000018be096ec (__TEXT,__text) external _vDSP_vfix32
000000018bd94a30 (__TEXT,__text) external _vDSP_vfix32D
000000018bdc94b8 (__TEXT,__text) external _vDSP_vfix8
000000018be29968 (__TEXT,__text) external _vDSP_vfix8D
000000018be0cc88 (__TEXT,__text) external _vDSP_vfixr16
000000018bdef86c (__TEXT,__text) external _vDSP_vfixr16D
000000018bd864d4 (__TEXT,__text) external _vDSP_vfixr32
000000018be08e10 (__TEXT,__text) external _vDSP_vfixr32D
000000018be19b24 (__TEXT,__text) external _vDSP_vfixr8
000000018bd849b4 (__TEXT,__text) external _vDSP_vfixr8D
000000018be46b94 (__TEXT,__text) external _vDSP_vfixru16
000000018be17848 (__TEXT,__text) external _vDSP_vfixru16D
000000018bdd8c18 (__TEXT,__text) external _vDSP_vfixru32
000000018bd9cdec (__TEXT,__text) external _vDSP_vfixru32D
000000018bd85bb0 (__TEXT,__text) external _vDSP_vfixru8
000000018be08e40 (__TEXT,__text) external _vDSP_vfixru8D
000000018be1a0c0 (__TEXT,__text) external _vDSP_vfixu16
000000018be2a2e4 (__TEXT,__text) external _vDSP_vfixu16D
000000018be2dc80 (__TEXT,__text) external _vDSP_vfixu32
000000018bdc5234 (__TEXT,__text) external _vDSP_vfixu32D
000000018be19e24 (__TEXT,__text) external _vDSP_vfixu8
000000018be02708 (__TEXT,__text) external _vDSP_vfixu8D
000000018be5f700 (__TEXT,__text) external _vDSP_vflt16
000000018be5aebc (__TEXT,__text) external _vDSP_vflt16D
000000018be14458 (__TEXT,__text) external _vDSP_vflt24
000000018be0e5c4 (__TEXT,__text) external _vDSP_vflt32
000000018bdcf7b4 (__TEXT,__text) external _vDSP_vflt32D
000000018be463ec (__TEXT,__text) external _vDSP_vflt8
000000018bdd8cac (__TEXT,__text) external _vDSP_vflt8D
000000018be12fb8 (__TEXT,__text) external _vDSP_vfltsm24
000000018bdcf8a4 (__TEXT,__text) external _vDSP_vfltsmu24
000000018bdcbccc (__TEXT,__text) external _vDSP_vfltu16
000000018be1a408 (__TEXT,__text) external _vDSP_vfltu16D
000000018be09514 (__TEXT,__text) external _vDSP_vfltu24
000000018bde3354 (__TEXT,__text) external _vDSP_vfltu32
000000018be207c0 (__TEXT,__text) external _vDSP_vfltu32D
000000018bdbe76c (__TEXT,__text) external _vDSP_vfltu8
000000018be03a88 (__TEXT,__text) external _vDSP_vfltu8D
000000018be0f1d0 (__TEXT,__text) external _vDSP_vfrac
000000018bdc55d8 (__TEXT,__text) external _vDSP_vfracD
000000018be0a350 (__TEXT,__text) external _vDSP_vgathr
000000018bd94180 (__TEXT,__text) external _vDSP_vgathrD
000000018bdb7b94 (__TEXT,__text) external _vDSP_vgathra
000000018bddfe3c (__TEXT,__text) external _vDSP_vgathraD
000000018be0e19c (__TEXT,__text) external _vDSP_vgen
000000018be17d20 (__TEXT,__text) external _vDSP_vgenD
000000018be414b8 (__TEXT,__text) external _vDSP_vgenp
000000018bdac6f0 (__TEXT,__text) external _vDSP_vgenpD
000000018bdbece0 (__TEXT,__text) external _vDSP_viclip
000000018be2e450 (__TEXT,__text) external _vDSP_viclipD
000000018be1a6f4 (__TEXT,__text) external _vDSP_vindex
000000018be1f178 (__TEXT,__text) external _vDSP_vindexD
000000018be1ba94 (__TEXT,__text) external _vDSP_vintb
000000018bddab00 (__TEXT,__text) external _vDSP_vintbD
000000018bdef6ec (__TEXT,__text) external _vDSP_vlim
000000018be57188 (__TEXT,__text) external _vDSP_vlimD
000000018be1f1a8 (__TEXT,__text) external _vDSP_vlint
000000018be1544c (__TEXT,__text) external _vDSP_vlintD
000000018bd783ac (__TEXT,__text) external _vDSP_vma
000000018bdcbf3c (__TEXT,__text) external _vDSP_vmaD
000000018be0bd00 (__TEXT,__text) external _vDSP_vmax
000000018bdb6a38 (__TEXT,__text) external _vDSP_vmaxD
000000018bdcfdc0 (__TEXT,__text) external _vDSP_vmaxmg
000000018be40a6c (__TEXT,__text) external _vDSP_vmaxmgD
000000018be0c3c0 (__TEXT,__text) external _vDSP_vmin
000000018bdb74a8 (__TEXT,__text) external _vDSP_vminD
000000018be02230 (__TEXT,__text) external _vDSP_vminmg
000000018bdb5fe8 (__TEXT,__text) external _vDSP_vminmgD
000000018bdb3d00 (__TEXT,__text) external _vDSP_vmma
000000018bdf6b58 (__TEXT,__text) external _vDSP_vmmaD
000000018be001b0 (__TEXT,__text) external _vDSP_vmmsb
000000018bdbeb34 (__TEXT,__text) external _vDSP_vmmsbD
000000018be0b74c (__TEXT,__text) external _vDSP_vmsa
000000018bdcc068 (__TEXT,__text) external _vDSP_vmsaD
000000018be0b788 (__TEXT,__text) external _vDSP_vmsb
000000018bdcc1f0 (__TEXT,__text) external _vDSP_vmsbD
000000018bd783e8 (__TEXT,__text) external _vDSP_vmul
000000018bdb7620 (__TEXT,__text) external _vDSP_vmulD
000000018be033b4 (__TEXT,__text) external _vDSP_vnabs
000000018be1ec88 (__TEXT,__text) external _vDSP_vnabsD
000000018be0b7c4 (__TEXT,__text) external _vDSP_vneg
000000018bdcc31c (__TEXT,__text) external _vDSP_vnegD
000000018be1aaa0 (__TEXT,__text) external _vDSP_vpoly
000000018be18c70 (__TEXT,__text) external _vDSP_vpolyD
000000018be1b688 (__TEXT,__text) external _vDSP_vpythg
000000018bdb0b74 (__TEXT,__text) external _vDSP_vpythgD
000000018be1bd54 (__TEXT,__text) external _vDSP_vqint
000000018be0f9c8 (__TEXT,__text) external _vDSP_vqintD
000000018bdb39f0 (__TEXT,__text) external _vDSP_vramp
000000018bdb78e0 (__TEXT,__text) external _vDSP_vrampD
000000018bd78bb0 (__TEXT,__text) external _vDSP_vrampmul
000000018bd86fe8 (__TEXT,__text) external _vDSP_vrampmul2
000000018bdb4618 (__TEXT,__text) external _vDSP_vrampmul2D
000000018bd87848 (__TEXT,__text) external _vDSP_vrampmul2_s1_15
000000018bd87f58 (__TEXT,__text) external _vDSP_vrampmul2_s8_24
000000018bdceb2c (__TEXT,__text) external _vDSP_vrampmulD
000000018bd8864c (__TEXT,__text) external _vDSP_vrampmul_s1_15
000000018bd8878c (__TEXT,__text) external _vDSP_vrampmul_s8_24
000000018be17d80 (__TEXT,__text) external _vDSP_vrampmuladd
000000018bd887e0 (__TEXT,__text) external _vDSP_vrampmuladd2
000000018be01ccc (__TEXT,__text) external _vDSP_vrampmuladd2D
000000018bd8910c (__TEXT,__text) external _vDSP_vrampmuladd2_s1_15
000000018bd892ac (__TEXT,__text) external _vDSP_vrampmuladd2_s8_24
000000018bdb3550 (__TEXT,__text) external _vDSP_vrampmuladdD
000000018bd89720 (__TEXT,__text) external _vDSP_vrampmuladd_s1_15
000000018bd86a60 (__TEXT,__text) external _vDSP_vrampmuladd_s8_24
000000018be1ca00 (__TEXT,__text) external _vDSP_vrsum
000000018be03284 (__TEXT,__text) external _vDSP_vrsumD
000000018be126cc (__TEXT,__text) external _vDSP_vrvrs
000000018bdba04c (__TEXT,__text) external _vDSP_vrvrsD
000000018be0b800 (__TEXT,__text) external _vDSP_vsadd
000000018bdb9d8c (__TEXT,__text) external _vDSP_vsaddD
000000018be1cd30 (__TEXT,__text) external _vDSP_vsaddi
000000018be0b83c (__TEXT,__text) external _vDSP_vsbm
000000018bdcc4c4 (__TEXT,__text) external _vDSP_vsbmD
000000018be459ec (__TEXT,__text) external _vDSP_vsbsbm
000000018be01494 (__TEXT,__text) external _vDSP_vsbsbmD
000000018bdc73c0 (__TEXT,__text) external _vDSP_vsbsm
000000018bdcd19c (__TEXT,__text) external _vDSP_vsbsmD
000000018bdc767c (__TEXT,__text) external _vDSP_vsdiv
000000018bdcd294 (__TEXT,__text) external _vDSP_vsdivD
000000018bddaad0 (__TEXT,__text) external _vDSP_vsdivi
000000018bdbab28 (__TEXT,__text) external _vDSP_vsimps
000000018bdd6da0 (__TEXT,__text) external _vDSP_vsimpsD
000000018be0b878 (__TEXT,__text) external _vDSP_vsma
000000018bdcd2c8 (__TEXT,__text) external _vDSP_vsmaD
000000018bd93d54 (__TEXT,__text) external _vDSP_vsmfix24
000000018be29ed8 (__TEXT,__text) external _vDSP_vsmfixu24
000000018be0b8b4 (__TEXT,__text) external _vDSP_vsmsa
000000018bdcd3ac (__TEXT,__text) external _vDSP_vsmsaD
000000018bdc76b0 (__TEXT,__text) external _vDSP_vsmsb
000000018bdcd69c (__TEXT,__text) external _vDSP_vsmsbD
000000018be0b8f0 (__TEXT,__text) external _vDSP_vsmsma
000000018be5779c (__TEXT,__text) external _vDSP_vsmsmaD
000000018bd7849c (__TEXT,__text) external _vDSP_vsmul
000000018bdba090 (__TEXT,__text) external _vDSP_vsmulD
000000018bd839a0 (__TEXT,__text) external _vDSP_vsort
000000018be46b38 (__TEXT,__text) external _vDSP_vsortD
000000018be57e40 (__TEXT,__text) external _vDSP_vsorti
000000018be50290 (__TEXT,__text) external _vDSP_vsortiD
000000018bdc7acc (__TEXT,__text) external _vDSP_vspdp
000000018be0b92c (__TEXT,__text) external _vDSP_vsq
000000018bdc9914 (__TEXT,__text) external _vDSP_vsqD
000000018bdc9b5c (__TEXT,__text) external _vDSP_vssq
000000018bdca158 (__TEXT,__text) external _vDSP_vssqD
000000018be0b968 (__TEXT,__text) external _vDSP_vsub
000000018bdba228 (__TEXT,__text) external _vDSP_vsubD
000000018be26f38 (__TEXT,__text) external _vDSP_vswap
