                 (undefined) external _AAArchiveStreamClose (from libAppleArchive)
                 (undefined) external _AAArchiveStreamProcess (from libAppleArchive)
                 (undefined) external _AAByteStreamClose (from libAppleArchive)
                 (undefined) external _AADecodeArchiveInputStreamOpen (from libAppleArchive)
                 (undefined) external _AADecompressionInputStreamOpen (from libAppleArchive)
                 (undefined) external _AAExtractArchiveOutputStreamOpen (from libAppleArchive)
                 (undefined) external _AAFileStreamOpenWithPath (from libAppleArchive)
                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
00000001f9753798 (__TEXT,__const) external _FMSampleRateUnknown
0000000234818858 (__DATA_CONST,__const) external _FlexMLSongNameKey
0000000234818850 (__DATA_CONST,__const) external _FlexMLSongSummariesFolderName
0000000234818848 (__DATA_CONST,__const) external _FlexMLSongSummaryFileExtension
00000002348188c0 (__DATA_CONST,__const) external _FlexMLSummaryDurationKey
0000000234818888 (__DATA_CONST,__const) external _FlexMLSummaryMappingKey
00000002348188a0 (__DATA_CONST,__const) external _FlexMLSummaryTimeKey
00000002348188b0 (__DATA_CONST,__const) external _FlexMLTagIDs
00000002348188d0 (__DATA_CONST,__const) external _FlexMLTrackTimeKey
0000000234818908 (__DATA_CONST,__const) external _FlexMLVideoCuesFadeToBlackKey
0000000234818900 (__DATA_CONST,__const) external _FlexMLVideoCuesGoodCuesKey
00000002348188f8 (__DATA_CONST,__const) external _FlexMLVideoCuesGreatCuesKey
00000002348188f0 (__DATA_CONST,__const) external _FlexMLVideoCuesKey
00000002348189c0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeArtistName
0000000234818990 (__DATA_CONST,__const) external _FlexMobileAssetAttributeAssetType
00000002348189f8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeAudioEncoderPresetName
00000002348189e0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeClientIDs
00000002348189e8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeHiddenIDs
00000002348189d0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeKeywords
00000002348189f0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeRecalled
0000000234818a00 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongBundleFormat
00000002348189b8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongName
00000002348189c8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongTags
00000002348189b0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeUUID
00000002348189d8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeWeightedKeywords
0000000234818a10 (__DATA_CONST,__const) external _FlexMobileAssetCompatibilityVersion
0000000234818a08 (__DATA_CONST,__const) external _FlexMobileAssetContentVersion
0000000234818980 (__DATA_CONST,__const) external _FlexMobileAssetJettyClientID
0000000234818978 (__DATA_CONST,__const) external _FlexMobileAssetMiroClientID
00000002348189a0 (__DATA_CONST,__const) external _FlexMobileAssetPropertyArtwork
00000002348189a8 (__DATA_CONST,__const) external _FlexMobileAssetPropertyMetadata
0000000234818998 (__DATA_CONST,__const) external _FlexMobileAssetPropertySongBundle
0000000234818988 (__DATA_CONST,__const) external _FlexMobileAssetiMovieClientID
00000001f97538fc (__TEXT,__const) external _FlexSegment_MaxBodySegmentPriority
00000001f97538f8 (__TEXT,__const) external _FlexSegment_MinBodySegmentPriority
00000001f97538f0 (__TEXT,__const) external _FlexSegment_UseCustomBarMarkers
                 (undefined) external _NSDebugDescriptionErrorKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
                 (undefined) external _NSURLNameKey (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMix (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMixInputParameters (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableComposition (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVURLAsset (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_CKContainer (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKFetchRecordsOperation (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKOperationConfiguration (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKQuery (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKQueryOperation (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKRecordID (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKRecordZone (from CloudKit)
0000000230086448 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMClip
0000000230085930 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMDownloadOptions
00000002300856b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMFetchOptions
00000002300858e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMKeyFrame
0000000230086060 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMMixParameters
0000000230085c50 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMSong
0000000230085c00 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMSongAsset
00000002300859d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMSongLibrary
0000000230085b10 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMSongMetadata
0000000230085980 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMSongRendition
0000000230086290 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMTimedMetadataItem
0000000230085cf0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMTrack
00000002300863d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexCloudKitManager
0000000230086380 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexCloudKitMetadata
0000000230085750 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexCloudKitSongAsset
00000002300857f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexCloudManager
0000000230086240 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexCloudSongAsset
0000000230086470 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLegacySongRendition
0000000230085e80 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBController
00000002300860d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBGenre
0000000230085cc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBLastCloudUpdate
00000002300861c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBRegion
0000000230086218 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSong
0000000230085a20 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSongData
0000000230085d68 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexMLGainValue
0000000230085d90 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexMLSegment
0000000230085a70 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexMLSong
0000000230085e30 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexMLSongRendition
0000000230085d40 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexMLSummary
0000000230085ac0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexMLSummaryManager
0000000230085ed0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexMarker
0000000230085f48 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexMobileAssetManagerV2
00000002300857a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexReachability
0000000230086330 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSegment
0000000230085728 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSegmentAssemblyInfo
0000000230086308 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSegmentAudioFileInfo
0000000230086010 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSong
0000000230085b60 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V1
0000000230085bb0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V2
0000000230085610 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSongBackend
0000000230085868 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSongMetaDataReader_V2
00000002300858b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSongMetadataReaderUtils
0000000230085fc0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSongProxy
0000000230086100 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexTestingContext
0000000230085660 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexTransition
0000000230086150 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexUtilities
                 (undefined) external _OBJC_CLASS_$_MAAsset (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MAAssetQuery (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MADownloadOptions (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCountedSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSEntityDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFetchRequest (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedArchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSManagedObject (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSManagedObjectModel (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableIndexSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableOrderedSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPersistentContainer (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPersistentStoreDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
0000000230086420 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMClip
0000000230085958 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMDownloadOptions
00000002300856d8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMFetchOptions
0000000230085908 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMKeyFrame
0000000230086088 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMMixParameters
0000000230085c78 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMSong
0000000230085c28 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMSongAsset
00000002300859f8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMSongLibrary
0000000230085b38 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMSongMetadata
00000002300859a8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMSongRendition
00000002300862b8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMTimedMetadataItem
0000000230085d18 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMTrack
00000002300863f8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexCloudKitManager
00000002300863a8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexCloudKitMetadata
0000000230085778 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexCloudKitSongAsset
0000000230085818 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexCloudManager
0000000230086268 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexCloudSongAsset
0000000230086498 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLegacySongRendition
0000000230085ea8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBController
00000002300860b0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBGenre
0000000230085ca0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBLastCloudUpdate
00000002300861a0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBRegion
00000002300861f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBSong
0000000230085a48 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBSongData
