
/Volumes/macOS Mojave/usr/lib/system/libsystem_kernel.dylib (for architecture x86_64):
000000000002b568 (__DATA,__data) external _NDR_record
00000000000038ec (__TEXT,__text) external ___iopolicysys
000000000001f1d4 (__TEXT,__text) external ___kdebug_trace
0000000000003fe4 (__TEXT,__text) external ___kdebug_trace64
000000000001f1ec (__TEXT,__text) external ___kdebug_trace_string
0000000000001db0 (__TEXT,__text) external ___kdebug_typefilter
00000000000205d8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000000000205a0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000000007bec (__TEXT,__text) external ___kill
000000000001f204 (__TEXT,__text) external ___kqueue_workloop_ctl
000000000001f21c (__TEXT,__text) external ___lchown
0000000000001000 (__TEXT,__text) external ___libkernel_init
0000000000001551 (__TEXT,__text) external ___libkernel_platform_init
0000000000001c65 (__TEXT,__text) external ___libkernel_voucher_init
00000000000051c4 (__TEXT,__text) external ___listen
000000000000310c (__TEXT,__text) external ___lseek
000000000000957c (__TEXT,__text) external ___lstat64_extended
000000000001f234 (__TEXT,__text) external ___lstat_extended
000000000001f24c (__TEXT,__text) external ___mac_execve
000000000001f264 (__TEXT,__text) external ___mac_get_fd
000000000001f27c (__TEXT,__text) external ___mac_get_file
000000000001f294 (__TEXT,__text) external ___mac_get_link
000000000001f2ac (__TEXT,__text) external ___mac_get_mount
000000000001f2c4 (__TEXT,__text) external ___mac_get_pid
000000000001f2dc (__TEXT,__text) external ___mac_get_proc
000000000001f2f4 (__TEXT,__text) external ___mac_getfsstat
000000000001f30c (__TEXT,__text) external ___mac_mount
000000000001f324 (__TEXT,__text) external ___mac_set_fd
000000000001f33c (__TEXT,__text) external ___mac_set_file
000000000001f354 (__TEXT,__text) external ___mac_set_link
0000000000006804 (__TEXT,__text) external ___mac_set_proc
0000000000002f2c (__TEXT,__text) external ___mac_syscall
000000000001f36c (__TEXT,__text) external ___mach_bridge_remote_time
000000000001f384 (__TEXT,__text) external ___microstackshot
000000000001f39c (__TEXT,__text) external ___mkdir_extended
000000000001f3b4 (__TEXT,__text) external ___mkfifo_extended
0000000000002a10 (__TEXT,__text) external ___mmap
0000000000001b7c (__TEXT,__text) external ___mprotect
000000000001f3cc (__TEXT,__text) external ___msgctl
000000000001f3e4 (__TEXT,__text) external ___msgrcv_nocancel
000000000001f3fc (__TEXT,__text) external ___msgsnd_nocancel
000000000001f414 (__TEXT,__text) external ___msgsys
0000000000006bbc (__TEXT,__text) external ___msync
000000000001f42c (__TEXT,__text) external ___msync_nocancel
0000000000002bd8 (__TEXT,__text) external ___munmap
000000000001f444 (__TEXT,__text) external ___nexus_create
000000000001f45c (__TEXT,__text) external ___nexus_deregister
000000000001f474 (__TEXT,__text) external ___nexus_destroy
000000000001f48c (__TEXT,__text) external ___nexus_get_opt
000000000001f4a4 (__TEXT,__text) external ___nexus_open
000000000001f4bc (__TEXT,__text) external ___nexus_register
000000000001f4d4 (__TEXT,__text) external ___nexus_set_opt
000000000001f4ec (__TEXT,__text) external ___old_semwait_signal
00000000000021e0 (__TEXT,__text) external ___open
000000000000726c (__TEXT,__text) external ___open_dprotected_np
0000000000009680 (__TEXT,__text) external ___open_extended
0000000000002180 (__TEXT,__text) external ___open_nocancel
0000000000002a28 (__TEXT,__text) external ___openat
000000000000749c (__TEXT,__text) external ___openat_nocancel
000000000002bcb0 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
000000000001d17a (__TEXT,__text) external ___os_nexus_connect
000000000001d1e7 (__TEXT,__text) external ___os_nexus_disconnect
000000000001cf0d (__TEXT,__text) external ___os_nexus_ifattach
000000000001d004 (__TEXT,__text) external ___os_nexus_ifdetach
000000000001d0a0 (__TEXT,__text) external ___os_nexus_nsbind
000000000001d10d (__TEXT,__text) external ___os_nexus_nsunbind
000000000001f504 (__TEXT,__text) external ___persona
0000000000005de8 (__TEXT,__text) external ___pipe
000000000001f51c (__TEXT,__text) external ___poll_nocancel
0000000000006268 (__TEXT,__text) external ___posix_spawn
000000000001f534 (__TEXT,__text) external ___pread_nocancel
0000000000001e00 (__TEXT,__text) external ___proc_info
00000000000039a0 (__TEXT,__text) external ___process_policy
00000000000075b4 (__TEXT,__text) external ___pselect
000000000001f54c (__TEXT,__text) external ___pselect_nocancel
0000000000004874 (__TEXT,__text) external ___psynch_cvbroad
0000000000007d6c (__TEXT,__text) external ___psynch_cvclrprepost
00000000000055b4 (__TEXT,__text) external ___psynch_cvsignal
000000000000485c (__TEXT,__text) external ___psynch_cvwait
0000000000003f10 (__TEXT,__text) external ___psynch_mutexdrop
0000000000003ef8 (__TEXT,__text) external ___psynch_mutexwait
000000000001f564 (__TEXT,__text) external ___psynch_rw_downgrade
000000000001f57c (__TEXT,__text) external ___psynch_rw_longrdlock
0000000000005ae8 (__TEXT,__text) external ___psynch_rw_rdlock
0000000000005b18 (__TEXT,__text) external ___psynch_rw_unlock
000000000001f594 (__TEXT,__text) external ___psynch_rw_unlock2
000000000001f5ac (__TEXT,__text) external ___psynch_rw_upgrade
0000000000005b00 (__TEXT,__text) external ___psynch_rw_wrlock
000000000001f5c4 (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000000009338 (__TEXT,__text) external ___pthread_canceled
0000000000006048 (__TEXT,__text) external ___pthread_chdir
0000000000006030 (__TEXT,__text) external ___pthread_fchdir
00000000000072b8 (__TEXT,__text) external ___pthread_kill
000000000001f5dc (__TEXT,__text) external ___pthread_markcancel
0000000000005d3c (__TEXT,__text) external ___pthread_sigmask
0000000000006360 (__TEXT,__text) external ___ptrace
000000000001f5f4 (__TEXT,__text) external ___pwrite_nocancel
00000000000021b0 (__TEXT,__text) external ___read_nocancel
000000000001f60c (__TEXT,__text) external ___readv_nocancel
000000000001f624 (__TEXT,__text) external ___reboot
0000000000004464 (__TEXT,__text) external ___recvfrom
0000000000006704 (__TEXT,__text) external ___recvfrom_nocancel
000000000000677c (__TEXT,__text) external ___recvmsg
000000000001f63c (__TEXT,__text) external ___recvmsg_nocancel
000000000002bcc8 (__DATA,__bss) non-external ___remove_counter
0000000000004fd0 (__TEXT,__text) external ___rename
000000000001f654 (__TEXT,__text) external ___renameat
000000000001f66c (__TEXT,__text) external ___renameatx_np
0000000000005d70 (__TEXT,__text) external ___rmdir
000000000001f24c (__TEXT,__text) external ___sandbox_me
000000000001f30c (__TEXT,__text) external ___sandbox_mm
0000000000002f2c (__TEXT,__text) external ___sandbox_ms
0000000000006804 (__TEXT,__text) external ___sandbox_msp
000000000000860c (__TEXT,__text) external ___select
00000000000066ec (__TEXT,__text) external ___select_nocancel
00000000000064f0 (__TEXT,__text) external ___sem_open
000000000001f684 (__TEXT,__text) external ___sem_wait_nocancel
000000000001f69c (__TEXT,__text) external ___semctl
000000000001f6b4 (__TEXT,__text) external ___semsys
0000000000004f24 (__TEXT,__text) external ___semwait_signal
00000000000050f0 (__TEXT,__text) external ___semwait_signal_nocancel
0000000000006764 (__TEXT,__text) external ___sendmsg
000000000000671c (__TEXT,__text) external ___sendmsg_nocancel
000000000000444c (__TEXT,__text) external ___sendto
00000000000066b4 (__TEXT,__text) external ___sendto_nocancel
0000000000007730 (__TEXT,__text) external ___setattrlist
00000000000090ec (__TEXT,__text) external ___setlogin
0000000000003290 (__TEXT,__text) external ___setpriority
000000000001f6cc (__TEXT,__text) external ___setregid
000000000001f6e4 (__TEXT,__text) external ___setreuid
00000000000043dc (__TEXT,__text) external ___setrlimit
000000000001f6fc (__TEXT,__text) external ___setsgroups
000000000000556c (__TEXT,__text) external ___settid
000000000001f714 (__TEXT,__text) external ___settid_with_pid
000000000001f72c (__TEXT,__text) external ___settimeofday
000000000001f744 (__TEXT,__text) external ___setwgroups
00000000000067d8 (__TEXT,__text) external ___sfi_ctl
000000000001f75c (__TEXT,__text) external ___sfi_pidctl
000000000001f774 (__TEXT,__text) external ___shared_region_check_np
000000000001f78c (__TEXT,__text) external ___shared_region_map_and_slide_np
0000000000002954 (__TEXT,__text) external ___shm_open
000000000001f7a4 (__TEXT,__text) external ___shmctl
000000000001f7bc (__TEXT,__text) external ___shmsys
0000000000001e18 (__TEXT,__text) external ___sigaction
00000000000072a0 (__TEXT,__text) external ___sigaltstack
0000000000008dd8 (__TEXT,__text) external ___sigreturn
000000000001f7d4 (__TEXT,__text) external ___sigsuspend
0000000000005118 (__TEXT,__text) external ___sigsuspend_nocancel
0000000000008e08 (__TEXT,__text) external ___sigwait
00000000000043bc (__TEXT,__text) external ___socketpair
000000000001f7ec (__TEXT,__text) external ___stack_snapshot_with_config
000000000000954c (__TEXT,__text) external ___stat64_extended
000000000001f804 (__TEXT,__text) external ___stat_extended
0000000000005584 (__TEXT,__text) external ___syscall
000000000002b658 (__DATA,__common) external ___syscall_logger
0000000000002118 (__TEXT,__text) external ___sysctl
0000000000001a7c (__TEXT,__text) external ___sysctlbyname
000000000001f81c (__TEXT,__text) external ___telemetry
0000000000007f64 (__TEXT,__text) external ___terminate_with_payload
0000000000002cd0 (__TEXT,__text) external ___thread_selfid
000000000001f834 (__TEXT,__text) external ___thread_selfusage
00000000000039d0 (__TEXT,__text) external ___ulock_wait
00000000000039e8 (__TEXT,__text) external ___ulock_wake
000000000001f84c (__TEXT,__text) external ___umask_extended
0000000000005194 (__TEXT,__text) external ___unlink
0000000000006ba4 (__TEXT,__text) external ___unlinkat
000000000001f864 (__TEXT,__text) external ___vfork
0000000000006348 (__TEXT,__text) external ___wait4
0000000000009650 (__TEXT,__text) external ___wait4_nocancel
000000000001f8bc (__TEXT,__text) external ___waitid_nocancel
000000000001f8d4 (__TEXT,__text) external ___work_interval_ctl
0000000000002bf0 (__TEXT,__text) external ___workq_kernreturn
0000000000002c08 (__TEXT,__text) external ___workq_open
0000000000005160 (__TEXT,__text) external ___write_nocancel
000000000001f8ec (__TEXT,__text) external ___writev_nocancel
000000000002b650 (__DATA,__common) external __cpu_capabilities
000000000002b64c (__DATA,__common) external __cpu_has_altivec
000000000002b59c (__DATA,__data) non-external (was a private external) __current_pid
000000000002b5e8 (__DATA,__common) non-external (was a private external) __dlsym
0000000000003c80 (__TEXT,__text) external __exit
00000000000013d0 (__TEXT,__text) external __get_cpu_capabilities
000000000002bca8 (__DATA,__bss) non-external __gethostuuid_callback
00000000000197a4 (__TEXT,__text) external __getprivatesystemidentifier
000000000000d7f1 (__TEXT,__text) external __host_page_size
00000000000013bf (__TEXT,__text) external __init_cpu_capabilities
000000000000e39e (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
000000000000f2a6 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000000000fc82 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000000000f1ca (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000000000fb75 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000000001168 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000000000105d5 (__TEXT,__text) external __kernelrpc_mach_port_construct
00000000000011c8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
000000000000f477 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000000001180 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
000000000000f39e (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000000001174 (__TEXT,__text) external __kernelrpc_mach_port_destroy_trap
00000000000106e7 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000000000011d4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
000000000001010d (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000000000103f3 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000000000011bc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000000000078af (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000000008271 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
000000000000127c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000000006c70 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000000003de5 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000000009218 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000000000fe7f (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00000000000107c7 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000000001288 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000000010317 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000000000011b0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000000000f9aa (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000000000011a4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000000010212 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00000000000104cf (__TEXT,__text) external __kernelrpc_mach_port_kobject
000000000000f550 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
000000000000118c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000000000f8ce (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000000001198 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000000000efad (__TEXT,__text) external __kernelrpc_mach_port_names
000000000000f62f (__TEXT,__text) external __kernelrpc_mach_port_peek
000000000000f0ee (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000000002f46 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000000003662 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000000009136 (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000000000f7f2 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000000000fa99 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000000010984 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000000000ff77 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000000010a7c (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000000003cb2 (__TEXT,__text) external __kernelrpc_mach_port_type
00000000000108a7 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000000001294 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000000010b74 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
000000000000112c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000000010c78 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000000001144 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000000000025d7 (__TEXT,__text) external __kernelrpc_mach_vm_map
000000000000115c (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000000010d56 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000000001150 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000000000119a9 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000000001138 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000000010f1c (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000000011629 (__TEXT,__text) external __kernelrpc_mach_vm_remap
000000000001d267 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000000000fda6 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000000006543 (__TEXT,__text) external __kernelrpc_thread_policy
00000000000053f5 (__TEXT,__text) external __kernelrpc_thread_policy_set
00000000000172fe (__TEXT,__text) external __kernelrpc_thread_set_policy
00000000000093f4 (__TEXT,__text) external __kernelrpc_vm_map
0000000000017fe8 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000000000063ce (__TEXT,__text) external __kernelrpc_vm_read
000000000000408a (__TEXT,__text) external __kernelrpc_vm_remap
0000000000009945 (__TEXT,__text) non-external (was a private external) __libkernel_bzero
000000000002b5e0 (__DATA,__common) non-external (was a private external) __libkernel_functions
0000000000029010 (__DATA,__const) non-external __libkernel_generic_string_functions
00000000000099e6 (__TEXT,__text) non-external (was a private external) __libkernel_memmove
0000000000009952 (__TEXT,__text) non-external (was a private external) __libkernel_memset
0000000000009925 (__TEXT,__text) non-external (was a private external) __libkernel_strchr
00000000000013ec (__TEXT,__text) non-external (was a private external) __libkernel_strcmp
0000000000009b51 (__TEXT,__text) non-external (was a private external) __libkernel_strcpy
000000000002b3f0 (__DATA,__data) non-external __libkernel_string_functions
0000000000009b7d (__TEXT,__text) non-external (was a private external) __libkernel_strlcpy
000000000000986f (__TEXT,__text) non-external (was a private external) __libkernel_strlen
000000000002b3f8 (__DATA,__data) non-external __libkernel_voucher_functions
00000000000203e0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
0000000000017765 (__TEXT,__text) non-external (was a private external) __mach_continuous_time
0000000000002dd4 (__TEXT,__text) non-external (was a private external) __mach_continuous_time_base
0000000000029910 (__DATA,__const) external __mach_errors
00000000000185c0 (__TEXT,__text) external __mach_fork_child
0000000000018bfd (__TEXT,__text) external __mach_snprintf
0000000000018a4a (__TEXT,__text) external __mach_vsnprintf
000000000002b660 (__DATA,__common) external __os_alloc_once_table
000000000002b5f0 (__DATA,__common) external __os_xbs_chrooted
0000000000005eed (__TEXT,__text) non-external __posix_spawn_file_actions_grow
0000000000005516 (__TEXT,__text) non-external (was a private external) __pthread_clear_qos_tsd
0000000000001446 (__TEXT,__text) non-external (was a private external) __pthread_exit_if_canceled
00000000000013de (__TEXT,__text) non-external (was a private external) __pthread_set_self
00000000000197ae (__TEXT,__text) external __register_gethostuuid_callback
000000000002b63c (__DATA,__common) non-external (was a private external) __task_reply_port
00000000000203c4 (__TEXT,__text) external __thread_set_tsd_base
000000000001817f (__TEXT,__text) non-external _abort
0000000000018217 (__TEXT,__text) non-external _abort
00000000000182af (__TEXT,__text) non-external _abort
00000000000189b1 (__TEXT,__text) non-external _abort
000000000001a600 (__TEXT,__text) external _abort_with_payload
000000000001a585 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000000001a56f (__TEXT,__text) external _abort_with_reason
00000000000051dc (__TEXT,__text) external _accept
000000000001f024 (__TEXT,__text) external _accept$NOCANCEL
0000000000001408 (__TEXT,__text) external _access
000000000001f03c (__TEXT,__text) external _accessx_np
000000000001f904 (__TEXT,__text) external _acct
000000000001622f (__TEXT,__text) external _act_get_state
00000000000163da (__TEXT,__text) external _act_set_state
000000000001f91c (__TEXT,__text) external _adjtime
000000000001f934 (__TEXT,__text) external _aio_cancel
000000000001f94c (__TEXT,__text) external _aio_error
000000000001f964 (__TEXT,__text) external _aio_fsync
000000000001f97c (__TEXT,__text) external _aio_read
000000000001f994 (__TEXT,__text) external _aio_return
000000000001f9ac (__TEXT,__text) external _aio_suspend
000000000001f054 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000000001f9c4 (__TEXT,__text) external _aio_write
000000000001f9dc (__TEXT,__text) external _audit
0000000000008df0 (__TEXT,__text) external _audit_session_join
0000000000008c74 (__TEXT,__text) external _audit_session_port
0000000000007cc4 (__TEXT,__text) external _audit_session_self
000000000001f9f4 (__TEXT,__text) external _auditctl
00000000000067ac (__TEXT,__text) external _auditon
00000000000047bb (__TEXT,__text) non-external (was a private external) _bcopy
00000000000051ac (__TEXT,__text) external _bind
000000000002b608 (__DATA,__common) external _bootstrap_port
0000000000009862 (__TEXT,__text) non-external (was a private external) _bzero
000000000000141d (__TEXT,__text) external _cerror
0000000000001453 (__TEXT,__text) external _cerror_nocancel
00000000000047ec (__TEXT,__text) external _change_fdguard_np
0000000000005b34 (__TEXT,__text) external _chdir
0000000000007d84 (__TEXT,__text) external _chflags
0000000000004ac5 (__TEXT,__text) external _chmod
0000000000004f84 (__TEXT,__text) external _chown
000000000001fa0c (__TEXT,__text) external _chroot
000000000000ab48 (__TEXT,__text) external _clock_alarm
000000000000a973 (__TEXT,__text) external _clock_alarm_reply
000000000000a9d2 (__TEXT,__text) external _clock_get_attributes
0000000000005005 (__TEXT,__text) external _clock_get_time
000000000000a852 (__TEXT,__text) external _clock_set_attributes
000000000000a778 (__TEXT,__text) external _clock_set_time
000000000000934d (__TEXT,__text) external _clock_sleep
000000000000133c (__TEXT,__text) external _clock_sleep_trap
00000000000076fd (__TEXT,__text) external _clonefile
0000000000006bd4 (__TEXT,__text) external _clonefileat
00000000000021f8 (__TEXT,__text) external _close
00000000000021c8 (__TEXT,__text) external _close$NOCANCEL
000000000001c237 (__TEXT,__text) external _coalition_create
000000000001c291 (__TEXT,__text) external _coalition_info_resource_usage
000000000001c2e9 (__TEXT,__text) external _coalition_info_set_efficiency
000000000001c2bd (__TEXT,__text) external _coalition_info_set_name
000000000001c26e (__TEXT,__text) external _coalition_reap
000000000001c24b (__TEXT,__text) external _coalition_terminate
0000000000005534 (__TEXT,__text) external _connect
000000000000669c (__TEXT,__text) external _connect$NOCANCEL
000000000000674c (__TEXT,__text) external _connectx
0000000000001f7c (__TEXT,__text) external _csops
0000000000003ee0 (__TEXT,__text) external _csops_audittoken
0000000000002b39 (__TEXT,__text) external _csr_check
000000000001c31d (__TEXT,__text) external _csr_get_active_config
00000000000013b4 (__TEXT,__text) external _debug_control_port_for_pid
000000000002b590 (__DATA,__data) external _denap_boost_assertion_token
000000000001fa24 (__TEXT,__text) external _disconnectx
0000000000007138 (__TEXT,__text) non-external _do_compat
0000000000005ed8 (__TEXT,__text) external _dup
00000000000055e4 (__TEXT,__text) external _dup2
000000000002a880 (__DATA,__const) non-external _err_codes_auth
000000000002a710 (__DATA,__const) non-external _err_codes_env_mgr
000000000002aa80 (__DATA,__const) non-external _err_codes_exception
000000000002a750 (__DATA,__const) non-external _err_codes_execd
000000000002a850 (__DATA,__const) non-external _err_codes_io
000000000002b3c0 (__DATA,__const) non-external _err_codes_iokit_bluetooth
000000000002aff0 (__DATA,__const) non-external _err_codes_iokit_common
00000000000204b0 (__TEXT,__const) non-external _err_codes_iokit_common_map
000000000002b280 (__DATA,__const) non-external _err_codes_iokit_fw
00000000000204f0 (__TEXT,__const) non-external _err_codes_iokit_fw_map
000000000002b1a0 (__DATA,__const) non-external _err_codes_iokit_usb
00000000000204c0 (__TEXT,__const) non-external _err_codes_iokit_usb_map
000000000002a310 (__DATA,__const) non-external _err_codes_kern
000000000002aea0 (__DATA,__const) non-external _err_codes_libkern_common
000000000002af10 (__DATA,__const) non-external _err_codes_libkern_kext
000000000002aeb0 (__DATA,__const) non-external _err_codes_libkern_metaclass
000000000002aa50 (__DATA,__const) non-external _err_codes_loader
000000000002ae50 (__DATA,__const) non-external _err_codes_mach_mig
000000000002adc0 (__DATA,__const) non-external _err_codes_mach_rcv
000000000002ad10 (__DATA,__const) non-external _err_codes_mach_send
000000000002aa20 (__DATA,__const) non-external _err_codes_machobj
000000000002acd0 (__DATA,__const) non-external _err_codes_mig
000000000002a770 (__DATA,__const) non-external _err_codes_netmemory
000000000002a6f0 (__DATA,__const) non-external _err_codes_netname
000000000002a7c0 (__DATA,__const) non-external _err_codes_ns
000000000002ac80 (__DATA,__const) non-external _err_codes_rcv
000000000002ac20 (__DATA,__const) non-external _err_codes_send
000000000002a990 (__DATA,__const) non-external _err_codes_sunrpc
000000000002a790 (__DATA,__const) non-external _err_codes_task_master
000000000002a788 (__DATA,__const) non-external _err_codes_ufs
000000000002a4c0 (__DATA,__const) non-external _err_codes_unix
000000000002a8d0 (__DATA,__const) non-external _err_codes_us
000000000002aac0 (__DATA,__const) non-external _err_codes_ux_signal
000000000002abb0 (__DATA,__const) non-external _err_codes_xkernel
0000000000029730 (__DATA,__const) non-external _err_iokit_sub
00000000000204a0 (__TEXT,__const) non-external _err_iokit_sub_map
00000000000295b0 (__DATA,__const) non-external _err_ipc_sub
00000000000296b0 (__DATA,__const) non-external _err_libkern_sub
0000000000029630 (__DATA,__const) non-external _err_mach_ipc_sub
0000000000029290 (__DATA,__const) non-external _err_os_sub
0000000000029330 (__DATA,__const) non-external _err_server_sub
00000000000184bd (__TEXT,__text) non-external _err_sparse_mapit
0000000000020470 (__TEXT,__const) non-external _err_us_sub
