0000000298493420 (__DATA,__bss) non-external _A
000000027e6937a8 (__TEXT,__text) non-external (was a private external) __scan_link_title
000000027e6a3f13 (__TEXT,__const) non-external __scan_link_title.yybm
000000027e694098 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
000000027e6a4313 (__TEXT,__const) non-external __scan_open_code_fence.yybm
000000027e68b7cc (__TEXT,__text) non-external (was a private external) __scan_scheme
000000027e693f18 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
000000027e6a4213 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
000000027e693da4 (__TEXT,__text) non-external (was a private external) __scan_spacechars
000000027e6a4013 (__TEXT,__const) non-external __scan_spacechars.yybm
000000027e6896c8 (__TEXT,__text) non-external (was a private external) __scan_table_cell
000000027e6a2e13 (__TEXT,__const) non-external __scan_table_cell.yybm
000000027e68997c (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
000000027e6899b8 (__TEXT,__text) non-external (was a private external) __scan_table_row_end
000000027e6a2f13 (__TEXT,__const) non-external __scan_table_row_end.yybm
000000027e6894d4 (__TEXT,__text) non-external (was a private external) __scan_table_start
000000027e6a2d13 (__TEXT,__const) non-external __scan_table_start.yybm
000000027e689a68 (__TEXT,__text) non-external (was a private external) __scan_tasklist
000000027e6a3013 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
000000027e697fd4 (__TEXT,__text) non-external _add_child
000000027e6a1e2c (__TEXT,__text) non-external _add_child.cold.1
000000027e69872c (__TEXT,__text) non-external _add_line
000000027e6a1eb0 (__TEXT,__text) non-external _add_line.cold.1
000000027e69dd98 (__TEXT,__text) non-external _adjust_subj_node_newlines
000000027e6a1594 (__TEXT,__text) non-external _alloc_arena_chunk
000000027e6a16cc (__TEXT,__text) non-external _arena_calloc
000000027e6a1804 (__TEXT,__text) non-external _arena_free
000000027e6a1784 (__TEXT,__text) non-external _arena_realloc
000000027e688a90 (__TEXT,__text) non-external _autolink_delim
00000002923177e8 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _bzero (from libSystem)
000000027e68727c (__TEXT,__text) non-external _can_contain
000000027e689fe4 (__TEXT,__text) non-external _can_contain
000000027e69fc84 (__TEXT,__text) non-external _can_contain
000000027e688994 (__TEXT,__text) non-external _check_domain
000000027e6987d0 (__TEXT,__text) non-external _chop_trailing_hashtags
000000027e6a1edc (__TEXT,__text) non-external _chop_trailing_hashtags.cold.1
000000027e6a1edc (__TEXT,__text) non-external _chop_trailing_hashtags.cold.2
000000027e69e040 (__TEXT,__text) non-external _chunk_clone
000000027e6a1610 (__TEXT,__text) external _cmark_arena_pop
000000027e6a1558 (__TEXT,__text) external _cmark_arena_push
000000027e6a167c (__TEXT,__text) external _cmark_arena_reset
000000027e69f0d4 (__TEXT,__text) non-external _cmark_chunk_to_cstr
000000027e69a5d0 (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
000000027e69a518 (__TEXT,__text) non-external (was a private external) _cmark_clean_title
000000027e69a430 (__TEXT,__text) non-external (was a private external) _cmark_clean_url
000000027e6a1f68 (__TEXT,__text) non-external _cmark_clean_url.cold.1
000000027e6a1edc (__TEXT,__text) non-external _cmark_clean_url.cold.2
000000027e68a4d0 (__TEXT,__text) external _cmark_consolidate_text_nodes
000000027e6a2c13 (__TEXT,__const) non-external _cmark_ctype_class
000000027e6988c0 (__TEXT,__text) external _cmark_enable_safety_checks
000000029230f318 (__DATA_CONST,__const) non-external _cmark_entities
000000027e688e00 (__TEXT,__text) external _cmark_find_syntax_extension
000000027e6953e4 (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
000000027e6a1c6c (__TEXT,__text) non-external _cmark_footnote_create.cold.1
000000027e695464 (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
000000027e6a1808 (__TEXT,__text) external _cmark_get_arena_mem_allocator
000000027e685cbc (__TEXT,__text) external _cmark_get_default_mem_allocator
000000027e69550c (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
000000027e6a0d20 (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
000000027e6a0e58 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
000000027e6a0e90 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
000000027e6a0cf8 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
000000027e6a0df4 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
000000027e686fc8 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
000000027e6a0d78 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
000000027e6a0ec8 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
000000027e6a0efc (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
000000027e6a0d48 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
000000027e6a0e20 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
000000027e686f6c (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
000000027e698908 (__TEXT,__text) external _cmark_init_standard_node_flags
000000027e69dc20 (__TEXT,__text) external _cmark_inline_parser_advance_offset
000000027e69dc58 (__TEXT,__text) external _cmark_inline_parser_get_chunk
000000027e69dc40 (__TEXT,__text) external _cmark_inline_parser_get_column
000000027e69dce4 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
000000027e69dcec (__TEXT,__text) external _cmark_inline_parser_get_line
000000027e69dc30 (__TEXT,__text) external _cmark_inline_parser_get_offset
000000027e69dc60 (__TEXT,__text) external _cmark_inline_parser_in_bracket
000000027e69d8b0 (__TEXT,__text) external _cmark_inline_parser_is_eof
000000027e69d8a4 (__TEXT,__text) external _cmark_inline_parser_peek_at
000000027e69d86c (__TEXT,__text) external _cmark_inline_parser_peek_char
000000027e6a1f94 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
000000027e69d9a8 (__TEXT,__text) external _cmark_inline_parser_push_delimiter
000000027e69da34 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
000000027e69da38 (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
000000027e6a1f94 (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
000000027e69dc38 (__TEXT,__text) external _cmark_inline_parser_set_offset
000000027e69d8c4 (__TEXT,__text) external _cmark_inline_parser_take_while
000000027e6a1f94 (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
000000027e69a638 (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
000000027e69a654 (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
000000027e686f14 (__TEXT,__text) external _cmark_isalnum
000000027e686f50 (__TEXT,__text) external _cmark_isalpha
000000027e686f34 (__TEXT,__text) external _cmark_isdigit
000000027e686ef8 (__TEXT,__text) external _cmark_ispunct
000000027e686edc (__TEXT,__text) external _cmark_isspace
000000027e68a3cc (__TEXT,__text) external _cmark_iter_free
000000027e68a4c0 (__TEXT,__text) external _cmark_iter_get_event_type
000000027e68a4b8 (__TEXT,__text) external _cmark_iter_get_node
000000027e68a4c8 (__TEXT,__text) external _cmark_iter_get_root
000000027e68a378 (__TEXT,__text) external _cmark_iter_new
000000027e68a3d8 (__TEXT,__text) external _cmark_iter_next
000000027e6a1c14 (__TEXT,__text) non-external _cmark_iter_next.cold.1
000000027e68a4ac (__TEXT,__text) external _cmark_iter_reset
000000027e688dac (__TEXT,__text) external _cmark_list_syntax_extensions
000000027e68b670 (__TEXT,__text) external _cmark_llist_append
000000027e68b72c (__TEXT,__text) external _cmark_llist_free
000000027e68b6cc (__TEXT,__text) external _cmark_llist_free_full
000000027e696558 (__TEXT,__text) external _cmark_manage_extensions_special_characters
000000027e6957ac (__TEXT,__text) non-external (was a private external) _cmark_map_free
000000027e695630 (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
000000027e695820 (__TEXT,__text) non-external (was a private external) _cmark_map_new
000000027e685cc8 (__TEXT,__text) external _cmark_markdown_to_html
000000027e69a1b8 (__TEXT,__text) external _cmark_node_append_child
000000027e69890c (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
000000027e69a214 (__TEXT,__text) non-external (was a private external) _cmark_node_check
000000027e699060 (__TEXT,__text) external _cmark_node_first_child
000000027e698afc (__TEXT,__text) external _cmark_node_free
000000027e699b54 (__TEXT,__text) external _cmark_node_get_attributes
000000027e699224 (__TEXT,__text) external _cmark_node_get_backtick_count
000000027e699ff8 (__TEXT,__text) external _cmark_node_get_end_column
000000027e699fec (__TEXT,__text) external _cmark_node_get_end_line
000000027e69967c (__TEXT,__text) external _cmark_node_get_fence_info
000000027e6997e8 (__TEXT,__text) external _cmark_node_get_fenced
000000027e6993a8 (__TEXT,__text) external _cmark_node_get_heading_level
000000027e699624 (__TEXT,__text) external _cmark_node_get_item_index
000000027e699518 (__TEXT,__text) external _cmark_node_get_list_delim
000000027e699468 (__TEXT,__text) external _cmark_node_get_list_marker
000000027e699578 (__TEXT,__text) external _cmark_node_get_list_start
000000027e6995d0 (__TEXT,__text) external _cmark_node_get_list_tight
000000027e699408 (__TEXT,__text) external _cmark_node_get_list_type
000000027e6990e0 (__TEXT,__text) external _cmark_node_get_literal
000000027e699cc0 (__TEXT,__text) external _cmark_node_get_on_enter
000000027e699e3c (__TEXT,__text) external _cmark_node_get_on_exit
000000027e699fe0 (__TEXT,__text) external _cmark_node_get_start_column
000000027e699fd4 (__TEXT,__text) external _cmark_node_get_start_line
000000027e699384 (__TEXT,__text) external _cmark_node_get_string_content
000000027e699fb8 (__TEXT,__text) external _cmark_node_get_syntax_extension
000000027e6999d8 (__TEXT,__text) external _cmark_node_get_title
000000027e698bec (__TEXT,__text) external _cmark_node_get_type
000000027e698db0 (__TEXT,__text) external _cmark_node_get_type_string
000000027e69985c (__TEXT,__text) external _cmark_node_get_url
000000027e6990b4 (__TEXT,__text) external _cmark_node_get_user_data
000000027e69a0a8 (__TEXT,__text) external _cmark_node_insert_after
000000027e69a030 (__TEXT,__text) external _cmark_node_insert_before
000000027e69906c (__TEXT,__text) external _cmark_node_last_child
000000027e698aec (__TEXT,__text) external _cmark_node_new
000000027e698ad4 (__TEXT,__text) external _cmark_node_new_with_ext
000000027e698ae4 (__TEXT,__text) external _cmark_node_new_with_mem
000000027e698a14 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
000000027e69903c (__TEXT,__text) external _cmark_node_next
000000027e699078 (__TEXT,__text) external _cmark_node_nth_child
000000027e68a648 (__TEXT,__text) external _cmark_node_own
000000027e699054 (__TEXT,__text) external _cmark_node_parent
000000027e6990a8 (__TEXT,__text) external _cmark_node_parent_footnote_def
000000027e69a15c (__TEXT,__text) external _cmark_node_prepend_child
000000027e699048 (__TEXT,__text) external _cmark_node_previous
000000027e69a120 (__TEXT,__text) external _cmark_node_replace
000000027e699bf4 (__TEXT,__text) external _cmark_node_set_attributes
000000027e69971c (__TEXT,__text) external _cmark_node_set_fence_info
000000027e699824 (__TEXT,__text) external _cmark_node_set_fenced
000000027e6993cc (__TEXT,__text) external _cmark_node_set_heading_level
000000027e699648 (__TEXT,__text) external _cmark_node_set_item_index
000000027e69953c (__TEXT,__text) external _cmark_node_set_list_delim
000000027e6994b8 (__TEXT,__text) external _cmark_node_set_list_marker
000000027e69959c (__TEXT,__text) external _cmark_node_set_list_start
000000027e6995f4 (__TEXT,__text) external _cmark_node_set_list_tight
000000027e69942c (__TEXT,__text) external _cmark_node_set_list_type
000000027e69922c (__TEXT,__text) external _cmark_node_set_literal
000000027e699d68 (__TEXT,__text) external _cmark_node_set_on_enter
000000027e699ee4 (__TEXT,__text) external _cmark_node_set_on_exit
000000027e69938c (__TEXT,__text) external _cmark_node_set_string_content
000000027e699fc4 (__TEXT,__text) external _cmark_node_set_syntax_extension
000000027e699a80 (__TEXT,__text) external _cmark_node_set_title
000000027e698bf8 (__TEXT,__text) external _cmark_node_set_type
000000027e699904 (__TEXT,__text) external _cmark_node_set_url
000000027e6990c0 (__TEXT,__text) external _cmark_node_set_user_data
000000027e6990d0 (__TEXT,__text) external _cmark_node_set_user_data_free_func
000000027e69a004 (__TEXT,__text) external _cmark_node_unlink
000000027e69dc9c (__TEXT,__text) external _cmark_node_unput
000000027e696d28 (__TEXT,__text) external _cmark_parse_document
000000027e6965d0 (__TEXT,__text) external _cmark_parse_file
000000027e69a66c (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
000000027e69d610 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
000000027e69ce50 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
000000027e6a1f94 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
000000027e697fd0 (__TEXT,__text) external _cmark_parser_add_child
000000027e6980b4 (__TEXT,__text) external _cmark_parser_advance_offset
000000027e696248 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
000000027e696508 (__TEXT,__text) non-external _cmark_parser_dispose
000000027e696d90 (__TEXT,__text) external _cmark_parser_feed
000000027e696d98 (__TEXT,__text) external _cmark_parser_feed_reentrant
000000027e696880 (__TEXT,__text) external _cmark_parser_finish
000000027e69647c (__TEXT,__text) external _cmark_parser_free
000000027e697f98 (__TEXT,__text) external _cmark_parser_get_column
000000027e697fa0 (__TEXT,__text) external _cmark_parser_get_first_nonspace
000000027e697fa8 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
000000027e697fb0 (__TEXT,__text) external _cmark_parser_get_indent
000000027e697fc8 (__TEXT,__text) external _cmark_parser_get_last_line_length
000000027e697f88 (__TEXT,__text) external _cmark_parser_get_line_number
000000027e697f90 (__TEXT,__text) external _cmark_parser_get_offset
000000027e6981c4 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
000000027e697fc0 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
000000027e697fb8 (__TEXT,__text) external _cmark_parser_is_blank
000000027e696470 (__TEXT,__text) external _cmark_parser_new
000000027e696308 (__TEXT,__text) external _cmark_parser_new_with_mem
000000027e696374 (__TEXT,__text) non-external _cmark_parser_reset
000000027e6981bc (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
000000027e689e14 (__TEXT,__text) external _cmark_plugin_free
000000027e689de4 (__TEXT,__text) external _cmark_plugin_new
000000027e689da8 (__TEXT,__text) external _cmark_plugin_register_syntax_extension
000000027e689e70 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
000000027e696028 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
000000027e6a1d50 (__TEXT,__text) non-external _cmark_reference_create.cold.1
000000027e6960ec (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
000000027e6a1d7c (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
000000027e69619c (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
000000027e6988cc (__TEXT,__text) external _cmark_register_node_flag
000000027e6a1f08 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
000000027e6a1f38 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
0000000299b2a5a8 (__DATA_DIRTY,__data) non-external _cmark_register_node_flag.nextflag
000000027e688cc0 (__TEXT,__text) external _cmark_register_plugin
000000027e688d64 (__TEXT,__text) external _cmark_release_plugins
000000027e688ed8 (__TEXT,__text) non-external (was a private external) _cmark_render
000000027e688e58 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
000000027e688e9c (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
000000027e6849ac (__TEXT,__text) external _cmark_render_commonmark
000000027e6849e8 (__TEXT,__text) external _cmark_render_commonmark_with_mem
000000027e685d0c (__TEXT,__text) external _cmark_render_html
000000027e685d14 (__TEXT,__text) external _cmark_render_html_with_mem
000000027e6a1b38 (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
000000027e68a840 (__TEXT,__text) external _cmark_render_latex
000000027e68a874 (__TEXT,__text) external _cmark_render_latex_with_mem
000000027e6874f4 (__TEXT,__text) external _cmark_render_man
000000027e687528 (__TEXT,__text) external _cmark_render_man_with_mem
000000027e69ea48 (__TEXT,__text) external _cmark_render_plaintext
000000027e69ea84 (__TEXT,__text) external _cmark_render_plaintext_with_mem
000000027e69e0b0 (__TEXT,__text) external _cmark_render_xml
000000027e69e0b8 (__TEXT,__text) external _cmark_render_xml_with_mem
000000027e69a3cc (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
0000000298493319 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
000000027e69a5d4 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
0000000298493210 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
0000000298493310 (__DATA,__common) external _cmark_strbuf__initbuf
000000027e695994 (__TEXT,__text) external _cmark_strbuf_clear
000000027e695c7c (__TEXT,__text) external _cmark_strbuf_cmp
000000027e695bb4 (__TEXT,__text) external _cmark_strbuf_copy_cstr
000000027e6a1d24 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
000000027e695c48 (__TEXT,__text) external _cmark_strbuf_detach
000000027e695d94 (__TEXT,__text) external _cmark_strbuf_drop
000000027e695948 (__TEXT,__text) external _cmark_strbuf_free
000000027e6958c8 (__TEXT,__text) external _cmark_strbuf_grow
000000027e6a1cc4 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
000000027e6a1cf8 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
000000027e6958a0 (__TEXT,__text) external _cmark_strbuf_init
000000027e695940 (__TEXT,__text) external _cmark_strbuf_len
000000027e695ed8 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
000000027e695af8 (__TEXT,__text) external _cmark_strbuf_put
000000027e695aa8 (__TEXT,__text) external _cmark_strbuf_putc
000000027e695b6c (__TEXT,__text) external _cmark_strbuf_puts
000000027e695df8 (__TEXT,__text) external _cmark_strbuf_rtrim
000000027e6959b0 (__TEXT,__text) external _cmark_strbuf_set
000000027e695a54 (__TEXT,__text) external _cmark_strbuf_sets
000000027e695cd0 (__TEXT,__text) external _cmark_strbuf_strchr
000000027e695d28 (__TEXT,__text) external _cmark_strbuf_strrchr
000000027e695c1c (__TEXT,__text) external _cmark_strbuf_swap
000000027e695e58 (__TEXT,__text) external _cmark_strbuf_trim
000000027e695d74 (__TEXT,__text) external _cmark_strbuf_truncate
000000027e695f84 (__TEXT,__text) external _cmark_strbuf_unescape
000000027e687d70 (__TEXT,__text) external _cmark_syntax_extension_add_node
000000027e6a1b90 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
000000027e687c98 (__TEXT,__text) external _cmark_syntax_extension_free
000000027e687e50 (__TEXT,__text) external _cmark_syntax_extension_get_private
000000027e687d04 (__TEXT,__text) external _cmark_syntax_extension_new
000000027e687df4 (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
000000027e687e68 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
000000027e687e04 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
000000027e687dfc (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
000000027e687db4 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
000000027e687dec (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
