00000001901bd92c (__TEXT,__text) non-external _Annihilate
00000001901d8c8c (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00000001901bd674 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00000001901d3fc0 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00000001901eea10 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00000001901f8bf0 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00000001901cc2bc (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00000001901de368 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00000001901de758 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00000001901ddf90 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
0000000190222068 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00000001901c2e60 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00000001901cbf40 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00000001901bda00 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00000001901beac8 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00000001901d9f98 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
0000000190256478 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
0000000190256472 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
0000000190256460 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00000001901da95c (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00000001901dcd34 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00000001901bd054 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00000001901dc3c0 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00000001901dd0f8 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00000001901d8d0c (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00000001901c2e10 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00000001901bd848 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00000001901cc644 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00000001901d42f4 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00000001901d3ff0 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00000001901db41c (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00000001901bd4c0 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00000001901dbfbc (__TEXT,__text) non-external _BuildAndStoreEntropyCodesDistance
00000001901dc6c4 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00000001901bd0fc (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00000001901dc620 (__TEXT,__text) non-external _BuildHistograms
0000000190201ed0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
0000000190201fd0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00000001901b6418 (__TEXT,__text) non-external _ChooseDistanceParams
00000001901bd720 (__TEXT,__text) non-external _CollectGarbagePointers
00000001901f8408 (__TEXT,__text) non-external _ComputeDistanceCost
00000001901d57f8 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00000001901f9898 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00000001901c5360 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00000001901e164c (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00000001901e22dc (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00000001901e9dfc (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00000001901e2d80 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00000001901e5ee4 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00000001901e702c (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00000001901e8170 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00000001901e3bc4 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00000001901e9344 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00000001901eab80 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00000001901e4d08 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00000001901eb994 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00000001901b74e4 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
0000000190201dc0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00000001901c754c (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00000001901c550c (__TEXT,__text) non-external _DecodeContextMap
00000001901c7f78 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00000001901c7a5c (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00000001901c4340 (__TEXT,__text) non-external _DecodeMetaBlockLength
00000001901c4874 (__TEXT,__text) non-external _DecodeVarLenUint8
00000001901bcfb8 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00000001901db8bc (__TEXT,__text) non-external _EncodeContextMap
00000001901b4920 (__TEXT,__text) non-external _EncodeData
00000001901d5654 (__TEXT,__text) non-external _EvaluateNode
00000001901b6e48 (__TEXT,__text) non-external _ExtendLastCommand
0000000190222108 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000019025f878 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00000001901b6ca8 (__TEXT,__text) non-external _GetBrotliStorage
00000001901b6d18 (__TEXT,__text) non-external _GetHashTable
00000001901f8ea8 (__TEXT,__text) non-external _InitBlockSplitterCommand
00000001901f9050 (__TEXT,__text) non-external _InitBlockSplitterDistance
00000001901f8d04 (__TEXT,__text) non-external _InitBlockSplitterLiteral
0000000190201cc0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
000000019027843c (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
0000000190201c40 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00000001901d4d88 (__TEXT,__text) non-external _InitZopfliCostModel
00000001901b665c (__TEXT,__text) non-external _InitializeH5
00000001901b669c (__TEXT,__text) non-external _InitializeH6
00000001901b47e8 (__TEXT,__text) non-external _InjectFlushOrPushOutput
00000001901c70e0 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00000001901cdc44 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00000001901cdbf4 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00000001901cdb0c (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00000001901fac78 (__TEXT,__text) non-external _MapStaticContexts
00000001901b69b4 (__TEXT,__text) non-external _PrepareH35
00000001901b66f4 (__TEXT,__text) non-external _PrepareH4
00000001901b6804 (__TEXT,__text) non-external _PrepareH40
00000001901b6804 (__TEXT,__text) non-external _PrepareH41
00000001901b68a0 (__TEXT,__text) non-external _PrepareH42
00000001901b6754 (__TEXT,__text) non-external _PrepareH5
00000001901b6950 (__TEXT,__text) non-external _PrepareH54
00000001901b6ac8 (__TEXT,__text) non-external _PrepareH55
00000001901b67a4 (__TEXT,__text) non-external _PrepareH6
00000001901b6b84 (__TEXT,__text) non-external _PrepareH65
00000001901c59e8 (__TEXT,__text) non-external _ProcessCommands
00000001901c4a24 (__TEXT,__text) non-external _ReadHuffmanCode
00000001901c7234 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00000001901c7c4c (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00000001901c76fc (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00000001901c7040 (__TEXT,__text) non-external _SafeDecodeSymbol
00000001901c6384 (__TEXT,__text) non-external _SafeProcessCommands
00000001901c41e4 (__TEXT,__text) non-external _SaveErrorCode
00000001901d69d0 (__TEXT,__text) non-external _SetCost
00000001901d8f8c (__TEXT,__text) non-external _Shift
00000001901b6470 (__TEXT,__text) non-external _ShouldCompress
00000001901f47b0 (__TEXT,__text) non-external _ShouldCompress
00000001901bd308 (__TEXT,__text) non-external _ShouldMergeBlock
0000000190201dd0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00000001901bd8a4 (__TEXT,__text) non-external _SortPointers
0000000190202368 (__TEXT,__const) non-external _SortPointers.gaps
00000001901f495c (__TEXT,__text) non-external _StoreCommands
00000001902571a0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
0000000190256fa0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00000001901db2e4 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00000001901dcaa8 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00000001901dc0a0 (__TEXT,__text) non-external _StoreSymbol
00000001901dc22c (__TEXT,__text) non-external _StoreSymbolWithContext
00000001901db6a0 (__TEXT,__text) non-external _StoreTrivialContextMap
00000001901dd288 (__TEXT,__text) non-external _StoreVarLenUint8
00000001901bd460 (__TEXT,__text) non-external _UpdateBits
00000001901b6e00 (__TEXT,__text) non-external _UpdateLastProcessedPos
00000001901d4f20 (__TEXT,__text) non-external _UpdateNodes
00000001901c6e78 (__TEXT,__text) non-external _WrapRingBuffer
00000001901b708c (__TEXT,__text) non-external _WriteMetaBlockInternal
00000001901c41f8 (__TEXT,__text) non-external _WriteRingBuffer
00000001901d4e04 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
0000000190278380 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
0000000190222560 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
0000000190222470 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00000001e654dbd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001901ca084 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000019025e268 (__TEXT,__const) non-external (was a private external) __dist_code
0000000190256790 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
0000000190202100 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000019025e468 (__TEXT,__const) non-external (was a private external) __length_code
00000001901f78c4 (__TEXT,__text) non-external (was a private external) __tr_align
00000001901aa7f0 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00000001901a8f38 (__TEXT,__text) non-external (was a private external) __tr_init
00000001901f777c (__TEXT,__text) non-external (was a private external) __tr_stored_block
00000001901f7b38 (__TEXT,__text) non-external (was a private external) __tr_tally
00000001901a8dfc (__TEXT,__text) non-external (was a private external) _adler32
00000001901b1170 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000019025ec20 (__TEXT,__const) non-external _base_dist
000000019025ebac (__TEXT,__const) non-external _base_length
00000001901f7aa8 (__TEXT,__text) non-external _bi_flush
00000001901abc0c (__TEXT,__text) non-external _bi_windup
000000019025eb98 (__TEXT,__const) non-external _bl_order
0000000190256518 (__TEXT,__const) non-external _breverse.brev8
00000001901f5a84 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00000001901f5acc (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00000001901f5ca8 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00000001901f5bd8 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00000001901f5b18 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00000001901aad40 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00000001901f59e4 (__TEXT,__text) non-external (was a private external) _codecGetFooterID
00000001901f5060 (__TEXT,__text) non-external (was a private external) _codecReadHeader
00000001901f5948 (__TEXT,__text) non-external (was a private external) _codecResetModel
00000001901f54f4 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00000001901ab854 (__TEXT,__text) non-external _compress_block
00000001901ad420 (__TEXT,__text) external _compression_decode_buffer
00000001901ad32c (__TEXT,__text) external _compression_decode_scratch_buffer_size
00000001901eecd0 (__TEXT,__text) external _compression_encode_buffer
00000001901eeb88 (__TEXT,__text) external _compression_encode_scratch_buffer_size
00000001901abe10 (__TEXT,__text) external _compression_stream_destroy
00000001901cb0b0 (__TEXT,__text) external _compression_stream_get_decode_state_size
00000001901cb060 (__TEXT,__text) external _compression_stream_get_encode_state_size
00000001901cb010 (__TEXT,__text) external _compression_stream_get_state_size
00000001901caf7c (__TEXT,__text) external _compression_stream_identify_algorithm
00000001901a87c0 (__TEXT,__text) external _compression_stream_init
00000001901caf3c (__TEXT,__text) external _compression_stream_init_with_state_buffer
00000001901cb100 (__TEXT,__text) external _compression_stream_is_state_valid
00000001901a8f88 (__TEXT,__text) external _compression_stream_process
00000001901add80 (__TEXT,__text) external _compression_stream_reinit
00000001eec03760 (__AUTH_CONST,__const) non-external _configuration_table
00000001901d10c8 (__TEXT,__text) non-external _convert_row_16to8
00000001901d1050 (__TEXT,__text) non-external _convert_row_8to16
00000001901d0ef0 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00000001901d0bec (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00000001901d1378 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00000001901d1148 (__TEXT,__text) non-external _convert_row_RG88toRG
00000001901d0a7c (__TEXT,__text) non-external _convert_row_RGB888toGUV
00000001901d0d84 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00000001901d12c8 (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00000001901d1208 (__TEXT,__text) non-external _convert_row_RGtoRG88
00000001901d1140 (__TEXT,__text) non-external _convert_row_copy16
00000001901d0040 (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00000001901cffe0 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00000001901d08a0 (__TEXT,__text) non-external _convert_rows_from_bayer16
00000001901d0688 (__TEXT,__text) non-external _convert_rows_from_bayer8
00000001901d0218 (__TEXT,__text) non-external _convert_rows_from_quadra8
00000001901d0990 (__TEXT,__text) non-external _convert_rows_to_bayer16
00000001901d0794 (__TEXT,__text) non-external _convert_rows_to_bayer8
00000001901d0458 (__TEXT,__text) non-external _convert_rows_to_quadra8
00000001901fed84 (__TEXT,__text) external _cosl_codec_decode
00000001901fe458 (__TEXT,__text) external _cosl_codec_encode
00000001901fec7c (__TEXT,__text) external _cosl_codec_get_decoded_size
00000001901ff94c (__TEXT,__text) external _cosl_codec_get_id
00000001901ff6ec (__TEXT,__text) external _cosl_codec_map
00000001901ff8e8 (__TEXT,__text) external _cosl_codec_unmap
00000001901ff270 (__TEXT,__text) external _cosl_model_create
00000001901ff3a4 (__TEXT,__text) external _cosl_model_destroy
00000001901ff3ec (__TEXT,__text) external _cosl_model_save_codec
00000001901fe07c (__TEXT,__text) external _cosl_model_update
00000001901df9dc (__TEXT,__text) external _cosmix_codec_decode
00000001901df0e8 (__TEXT,__text) external _cosmix_codec_encode
00000001901df8ec (__TEXT,__text) external _cosmix_codec_get_decoded_size
00000001901e044c (__TEXT,__text) external _cosmix_codec_get_id
00000001901e0298 (__TEXT,__text) external _cosmix_codec_map
00000001901e03ec (__TEXT,__text) external _cosmix_codec_unmap
00000001901dfeb0 (__TEXT,__text) external _cosmix_model_create
00000001901dffec (__TEXT,__text) external _cosmix_model_destroy
00000001901e0034 (__TEXT,__text) external _cosmix_model_save_codec
00000001901deb48 (__TEXT,__text) external _cosmix_model_update
00000001901f4d84 (__TEXT,__text) non-external (was a private external) _crc32
000000019025fb14 (__TEXT,__const) non-external _crc32_lut4
0000000190257200 (__TEXT,__const) non-external _crc_table
00000001901ce814 (__TEXT,__text) non-external _create_rectangle_within_image
00000001901c2d38 (__TEXT,__text) non-external (was a private external) _create_thread
00000001901a9404 (__TEXT,__text) non-external (was a private external) _deflate
00000001901fc6f8 (__TEXT,__text) non-external (was a private external) _deflateBound
00000001901fccac (__TEXT,__text) non-external (was a private external) _deflateCopy
00000001901abd14 (__TEXT,__text) non-external (was a private external) _deflateEnd
00000001901a8984 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00000001901fc444 (__TEXT,__text) non-external (was a private external) _deflateInit_
00000001901fc5ec (__TEXT,__text) non-external (was a private external) _deflateParams
00000001901fc5bc (__TEXT,__text) non-external (was a private external) _deflatePrime
00000001901a8cc0 (__TEXT,__text) non-external (was a private external) _deflateReset
00000001901fc460 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00000001901fc590 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00000001901fc6d4 (__TEXT,__text) non-external (was a private external) _deflateTune
000000019025fac8 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00000001901fd0c4 (__TEXT,__text) non-external _deflate_fast
00000001901fc7ec (__TEXT,__text) non-external _deflate_huff
00000001901fc958 (__TEXT,__text) non-external _deflate_rle
00000001901a9f30 (__TEXT,__text) non-external _deflate_slow
00000001901fcf18 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00000001901d98c0 (__TEXT,__text) non-external _emitMatch
000000019025eb4c (__TEXT,__const) non-external _extra_blbits
000000019025ead4 (__TEXT,__const) non-external _extra_dbits
000000019025ea60 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00000001901aa384 (__TEXT,__text) non-external _fill_window
00000001901abc80 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00000001901fc3e4 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000019025f774 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00000001901e05cc (__TEXT,__text) non-external _getDecoderTable
000000019025ed00 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000019025ee3c (__TEXT,__const) non-external _getMSymbolFromValue.sym
00000001901d00a4 (__TEXT,__text) non-external (was a private external) _get_conversion_set
00000001901f4d78 (__TEXT,__text) non-external (was a private external) _get_crc_table
00000001901d3f28 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00000001901cdf10 (__TEXT,__text) non-external _get_format_bits
00000001901cdd34 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00000001901cdd68 (__TEXT,__text) non-external (was a private external) _get_format_components
00000001901cddcc (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00000001901ce0b4 (__TEXT,__text) non-external _get_format_plane_count
00000001901cdde8 (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00000001901c91e0 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00000001901c9224 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00000001901d3ee0 (__TEXT,__text) non-external (was a private external) _get_real_time
00000001901c9254 (__TEXT,__text) non-external (was a private external) _get_slice_height
00000001901c9238 (__TEXT,__text) non-external (was a private external) _get_slice_width
