                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
0000000191db1e64 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
0000000191db2150 (__TEXT,__text) external _KClientEncrypt
0000000191db2000 (__TEXT,__text) external _KClientEncryptCompat
0000000191db2120 (__TEXT,__text) external _KClientGetAuthenticatorForService
0000000191db2170 (__TEXT,__text) external _KClientGetCCacheReference
0000000191db2090 (__TEXT,__text) external _KClientGetClientPrincipal
0000000191db1efc (__TEXT,__text) external _KClientGetCredentialsDeprecated
0000000191db2140 (__TEXT,__text) external _KClientGetEncryptedServiceReply
0000000191db1f2c (__TEXT,__text) external _KClientGetErrorTextDeprecated
0000000191db20d8 (__TEXT,__text) external _KClientGetExpirationTime
0000000191db20b0 (__TEXT,__text) external _KClientGetLocalAddress
0000000191db1e84 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
0000000191db1f1c (__TEXT,__text) external _KClientGetNthCredentialDeprecated
0000000191db1eac (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
0000000191db1eb4 (__TEXT,__text) external _KClientGetNthServerDeprecated
0000000191db1ecc (__TEXT,__text) external _KClientGetNthServerMapDeprecated
0000000191db1ed4 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
0000000191db1eec (__TEXT,__text) external _KClientGetNthSessionDeprecated
0000000191db1f14 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
0000000191db1ee4 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
0000000191db2148 (__TEXT,__text) external _KClientGetProtectedServiceReply
0000000191db1e94 (__TEXT,__text) external _KClientGetRealmDeprecated
0000000191db20c0 (__TEXT,__text) external _KClientGetRemoteAddress
0000000191db20a0 (__TEXT,__text) external _KClientGetServerPrincipal
0000000191db2108 (__TEXT,__text) external _KClientGetServiceKey
0000000191db20d0 (__TEXT,__text) external _KClientGetSessionKey
0000000191db1ff8 (__TEXT,__text) external _KClientGetSessionKeyCompat
0000000191db2050 (__TEXT,__text) external _KClientGetSessionUserNameCompat
0000000191db2118 (__TEXT,__text) external _KClientGetTicketForService
0000000191db1fc8 (__TEXT,__text) external _KClientGetTicketForServiceCompat
0000000191db1fd0 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
0000000191db1f24 (__TEXT,__text) external _KClientGetUserNameDeprecated
0000000191db2070 (__TEXT,__text) external _KClientGetVersion
0000000191db20f8 (__TEXT,__text) external _KClientKeyFileLogin
0000000191db20e8 (__TEXT,__text) external _KClientLogin
0000000191db1fd8 (__TEXT,__text) external _KClientLoginCompat
0000000191db2100 (__TEXT,__text) external _KClientLogout
0000000191db1fe8 (__TEXT,__text) external _KClientLogoutCompat
0000000191db2058 (__TEXT,__text) external _KClientMakeSendAuthCompat
0000000191db2078 (__TEXT,__text) external _KClientNewClientSession
0000000191db2080 (__TEXT,__text) external _KClientNewServerSession
0000000191db1fb8 (__TEXT,__text) external _KClientNewSessionCompat
0000000191db20f0 (__TEXT,__text) external _KClientPasswordLogin
0000000191db1fe0 (__TEXT,__text) external _KClientPasswordLoginCompat
0000000191db2180 (__TEXT,__text) external _KClientPrincipalToV4String
0000000191db2188 (__TEXT,__text) external _KClientPrincipalToV4Triplet
0000000191db2160 (__TEXT,__text) external _KClientProtectIntegrity
0000000191db2010 (__TEXT,__text) external _KClientProtectIntegrityCompat
0000000191db2098 (__TEXT,__text) external _KClientSetClientPrincipal
0000000191db20e0 (__TEXT,__text) external _KClientSetKeyFile
0000000191db20b8 (__TEXT,__text) external _KClientSetLocalAddress
0000000191db1e8c (__TEXT,__text) external _KClientSetLocalRealmDeprecated
0000000191db1edc (__TEXT,__text) external _KClientSetNthServerPortDeprecated
0000000191db20c8 (__TEXT,__text) external _KClientSetRemoteAddress
0000000191db20a8 (__TEXT,__text) external _KClientSetServerPrincipal
0000000191db1ff0 (__TEXT,__text) external _KClientStatusCompat
0000000191db2178 (__TEXT,__text) external _KClientV4StringToPrincipal
0000000191db2138 (__TEXT,__text) external _KClientVerifyAuthenticator
0000000191db2128 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
0000000191db2168 (__TEXT,__text) external _KClientVerifyIntegrity
0000000191db2018 (__TEXT,__text) external _KClientVerifyIntegrityCompat
0000000191db2130 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
0000000191db2060 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
0000000191db2068 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
0000000191db1fb0 (__TEXT,__text) external _KClientVersionCompat
0000000191dabefc (__TEXT,__text) external _KLAcquireInitialTickets
0000000191dac120 (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
0000000191dac8bc (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
0000000191dac038 (__TEXT,__text) external _KLAcquireNewInitialTickets
0000000191dac8dc (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
0000000191dac23c (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
0000000191dabfb0 (__TEXT,__text) external _KLAcquireNewTickets
0000000191dac1c8 (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
0000000191dabe8c (__TEXT,__text) external _KLAcquireTickets
0000000191dac0ac (__TEXT,__text) external _KLAcquireTicketsWithPassword
0000000191dac3c0 (__TEXT,__text) external _KLCacheHasValidTickets
0000000191dad0c8 (__TEXT,__text) external _KLCancelAllDialogs
0000000191dac8b4 (__TEXT,__text) external _KLChangePassword
0000000191dad0d0 (__TEXT,__text) external _KLChangePasswordWithPasswords
0000000191dad650 (__TEXT,__text) external _KLComparePrincipal
0000000191dad1f0 (__TEXT,__text) external _KLCountKerberosRealms
0000000191dad71c (__TEXT,__text) external _KLCreateLoginOptions
0000000191dad33c (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
0000000191dad388 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
0000000191dad26c (__TEXT,__text) external _KLCreatePrincipalFromString
0000000191dad218 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
0000000191dac864 (__TEXT,__text) external _KLDestroyTickets
0000000191dad9d0 (__TEXT,__text) external _KLDisposeLoginOptions
0000000191dad6c8 (__TEXT,__text) external _KLDisposePrincipal
0000000191dada34 (__TEXT,__text) external _KLDisposeString
0000000191dad0f8 (__TEXT,__text) external _KLFindKerberosRealmByName
0000000191dac3b8 (__TEXT,__text) external _KLGetApplicationOptions
0000000191dad0e8 (__TEXT,__text) external _KLGetDefaultLoginOption
0000000191dad580 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
0000000191dad02c (__TEXT,__text) external _KLGetErrorString
0000000191dad0e0 (__TEXT,__text) external _KLGetIdleCallback
0000000191dad1f8 (__TEXT,__text) external _KLGetKerberosDefaultRealm
0000000191dad170 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
0000000191dad1c8 (__TEXT,__text) external _KLGetKerberosRealm
0000000191dad4b0 (__TEXT,__text) external _KLGetStringFromPrincipal
0000000191dad3d4 (__TEXT,__text) external _KLGetTripletFromPrincipal
0000000191dad024 (__TEXT,__text) external _KLHandleError
0000000191dad1e0 (__TEXT,__text) external _KLInsertKerberosRealm
0000000191dacb60 (__TEXT,__text) external _KLLastChangedTime
0000000191dad900 (__TEXT,__text) external _KLLoginOptionsSetAddressless
0000000191dad804 (__TEXT,__text) external _KLLoginOptionsSetForwardable
0000000191dad858 (__TEXT,__text) external _KLLoginOptionsSetProxiable
0000000191dad8ac (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
0000000191dad970 (__TEXT,__text) external _KLLoginOptionsSetServiceName
0000000191dad7b0 (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
0000000191dad938 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
0000000191dad1e8 (__TEXT,__text) external _KLRemoveAllKerberosRealms
0000000191dad1d8 (__TEXT,__text) external _KLRemoveKerberosRealm
0000000191dac8e4 (__TEXT,__text) external _KLRenewInitialTickets
0000000191dac3b0 (__TEXT,__text) external _KLSetApplicationOptions
0000000191dad0f0 (__TEXT,__text) external _KLSetDefaultLoginOption
0000000191dad0d8 (__TEXT,__text) external _KLSetIdleCallback
0000000191dad208 (__TEXT,__text) external _KLSetKerberosDefaultRealm
0000000191dad210 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
0000000191dad1d0 (__TEXT,__text) external _KLSetKerberosRealm
0000000191dacf70 (__TEXT,__text) external _KLSetSystemDefaultCache
0000000191dac8c4 (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
0000000191dace88 (__TEXT,__text) external _KLTicketExpirationTime
0000000191dacda0 (__TEXT,__text) external _KLTicketStartTime
0000000191dacb58 (__TEXT,__text) external _KLValidateInitialTickets
0000000191dac8d4 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
0000000191dac8cc (__TEXT,__text) external _KLVerifyInitialTickets
0000000191db1b50 (__TEXT,__text) external _KPCreatePreferencesFile
0000000191db1b3c (__TEXT,__text) external _KPFreeListOfPreferencesFiles
0000000191db1b34 (__TEXT,__text) external _KPGetListOfPreferencesFiles
0000000191db1b2c (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
0000000191db1b40 (__TEXT,__text) external _KPPreferencesFileIsReadable
0000000191db1b48 (__TEXT,__text) external _KPPreferencesFileIsWritable
0000000191db2038 (__TEXT,__text) external _KServerAddKeyCompat
0000000191db2040 (__TEXT,__text) external _KServerGetKeyCompat
0000000191db2030 (__TEXT,__text) external _KServerGetReplyTicketCompat
0000000191db2048 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
0000000191db2020 (__TEXT,__text) external _KServerNewSessionCompat
0000000191db2028 (__TEXT,__text) external _KServerVerifyTicketCompat
0000000191db071c (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001e37ebb40 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
0000000191dada74 (__TEXT,__text) external ___KLAllowAutomaticPrompting
0000000191dada64 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
0000000191dada8c (__TEXT,__text) external ___KLAllowRememberPassword
0000000191dadaf4 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
0000000191dada94 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
0000000191dadb40 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
0000000191dadb50 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
0000000191dadac4 (__TEXT,__text) external ___KLGetTripletFromPrincipal
0000000191dadb68 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
0000000191dadb68 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
0000000191dadb70 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
0000000191dadb48 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
0000000191dadb58 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
0000000191dada84 (__TEXT,__text) external ___KLPromptMechanism
0000000191dadb60 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
0000000191dada50 (__TEXT,__text) external ___KLSetApplicationPrompter
0000000191dada6c (__TEXT,__text) external ___KLSetAutomaticPrompting
0000000191dada58 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
0000000191dada7c (__TEXT,__text) external ___KLSetPromptMechanism
0000000191dab794 (__TEXT,__text) external ___KerberosDebugLogLevel
0000000191dab79c (__TEXT,__text) external ___KerberosDebugPrint
0000000191dab7a4 (__TEXT,__text) external ___KerberosDebugPrintMemory
0000000191dab7a8 (__TEXT,__text) external ___KerberosDebugPrintSession
0000000191dab7a0 (__TEXT,__text) external ___KerberosDebugVAPrint
00000001e37eb560 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
0000000191da75cc (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00000001dff4d0f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001dff4d138 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001dff4d118 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001e76e0508 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001e76e0548 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001e76e0528 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___error (from libSystem)
0000000191daac08 (__TEXT,__text) non-external ___error_message_block_invoke
0000000191da6adc (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
0000000191daa170 (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
0000000191dac514 (__TEXT,__text) non-external _acquireticket_ui
0000000191dafef4 (__TEXT,__text) non-external _add_data_to_buffer
0000000191da6c30 (__TEXT,__text) external _add_error_table
0000000191dae71c (__TEXT,__text) non-external _add_to_list
0000000191db39dc (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
0000000191db3ae0 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _bzero (from libSystem)
0000000191da6c38 (__TEXT,__text) external _cc_close
0000000191da6c40 (__TEXT,__text) external _cc_create
0000000191da6c48 (__TEXT,__text) external _cc_destroy
0000000191da6c50 (__TEXT,__text) external _cc_free_NC_info
0000000191da6c58 (__TEXT,__text) external _cc_free_creds
0000000191da6c60 (__TEXT,__text) external _cc_free_name
0000000191da6c68 (__TEXT,__text) external _cc_free_principal
00000001e5af0048 (__AUTH,__data) non-external (was a private external) _cc_functions
0000000191da6c70 (__TEXT,__text) external _cc_get_NC_info
0000000191da6c78 (__TEXT,__text) external _cc_get_change_time
0000000191da6c80 (__TEXT,__text) external _cc_get_cred_version
0000000191da6c88 (__TEXT,__text) external _cc_get_name
0000000191da6c90 (__TEXT,__text) external _cc_get_principal
0000000191da8574 (__TEXT,__text) external _cc_initialize
0000000191da97dc (__TEXT,__text) non-external _cc_iterator_clone
0000000191da7bac (__TEXT,__text) non-external (was a private external) _cc_iterator_next
0000000191da9784 (__TEXT,__text) non-external _cc_iterator_release
0000000191da6c98 (__TEXT,__text) external _cc_open
0000000191da6ca0 (__TEXT,__text) external _cc_remove_cred
0000000191da6ca8 (__TEXT,__text) external _cc_seq_fetch_NCs_begin
0000000191da6cb0 (__TEXT,__text) external _cc_seq_fetch_NCs_end
0000000191da6cb8 (__TEXT,__text) external _cc_seq_fetch_NCs_next
0000000191da6cc0 (__TEXT,__text) external _cc_seq_fetch_creds_begin
0000000191da6cc8 (__TEXT,__text) external _cc_seq_fetch_creds_end
0000000191da6cd0 (__TEXT,__text) external _cc_seq_fetch_creds_next
0000000191da6cd8 (__TEXT,__text) external _cc_set_principal
0000000191da6ce0 (__TEXT,__text) external _cc_shutdown
0000000191da6ce8 (__TEXT,__text) external _cc_store
0000000191da9694 (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
0000000191da93fc (__TEXT,__text) non-external _ccache_compare
0000000191da8650 (__TEXT,__text) non-external _ccache_destroy
00000001e5af00b0 (__AUTH,__data) non-external _ccache_functions
0000000191da93a0 (__TEXT,__text) non-external _ccache_get_change_time
0000000191da8760 (__TEXT,__text) non-external _ccache_get_credentials_version
0000000191da94ec (__TEXT,__text) non-external _ccache_get_kdc_time_offset
0000000191da9328 (__TEXT,__text) non-external _ccache_get_last_default_time
0000000191da877c (__TEXT,__text) non-external _ccache_get_name
0000000191da8828 (__TEXT,__text) non-external _ccache_get_principal
00000001e5af0150 (__AUTH,__data) non-external _ccache_iterator_functions
0000000191da92b8 (__TEXT,__text) non-external _ccache_lock
0000000191da91f0 (__TEXT,__text) non-external _ccache_move
0000000191da90f8 (__TEXT,__text) non-external _ccache_new_credentials_iterator
0000000191da7b4c (__TEXT,__text) non-external (was a private external) _ccache_release
0000000191da8f1c (__TEXT,__text) non-external _ccache_remove_credentials
0000000191da86c8 (__TEXT,__text) non-external _ccache_set_default
0000000191da95d0 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
0000000191da897c (__TEXT,__text) non-external _ccache_set_principal
0000000191da8ac0 (__TEXT,__text) non-external _ccache_store_credentials
0000000191da92f0 (__TEXT,__text) non-external _ccache_unlock
0000000191da9724 (__TEXT,__text) non-external _ccache_wait_for_change
0000000191da972c (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00000001dff4d1b0 (__DATA_CONST,__const) non-external _conf_no
00000001dff4d178 (__DATA_CONST,__const) non-external _conf_yes
00000001e37eb6f8 (__DATA,__bss) non-external _context_change_time
0000000191da8548 (__TEXT,__text) non-external _context_compare
0000000191da80a0 (__TEXT,__text) non-external _context_create_ccache
0000000191da81e0 (__TEXT,__text) non-external _context_create_default_ccache
0000000191da8344 (__TEXT,__text) non-external _context_create_new_ccache
0000000191da7dc0 (__TEXT,__text) non-external _context_get_change_time
0000000191da7e1c (__TEXT,__text) non-external _context_get_default_ccache_name
0000000191da8538 (__TEXT,__text) non-external _context_lock
0000000191da8490 (__TEXT,__text) non-external _context_new_ccache_iterator
0000000191da7eb8 (__TEXT,__text) non-external _context_open_ccache
0000000191da7fb8 (__TEXT,__text) non-external _context_open_default_ccache
0000000191da7d70 (__TEXT,__text) non-external _context_release
0000000191da8540 (__TEXT,__text) non-external _context_unlock
0000000191da856c (__TEXT,__text) non-external _context_wait_for_change
0000000191da7d18 (__TEXT,__text) non-external _create_ccache
0000000191da768c (__TEXT,__text) non-external _cred_compare
0000000191da7ae0 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00000001e5af0030 (__AUTH,__data) non-external (was a private external) _cred_iter_functions
0000000191da769c (__TEXT,__text) non-external (was a private external) _cred_iter_next
0000000191da7ae8 (__TEXT,__text) non-external _cred_iter_release
0000000191da7640 (__TEXT,__text) non-external _cred_release
00000001e5af0020 (__AUTH,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
0000000191db1b60 (__TEXT,__text) external _decomp_ticket
0000000191db1d8c (__TEXT,__text) external _dest_all_tkts
0000000191db1d6c (__TEXT,__text) external _dest_tkt
0000000191daa1a8 (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00000001e37eb718 (__DATA,__bss) non-external _do_log
0000000191daf9f4 (__TEXT,__text) non-external _dump_profile
0000000191dafeb0 (__TEXT,__text) non-external _dump_profile_to_buffer_cb
0000000191dafdf8 (__TEXT,__text) non-external _dump_profile_to_file_cb
0000000191da6cf0 (__TEXT,__text) external _encode_krb5_as_req
0000000191dae7ac (__TEXT,__text) non-external _end_list
0000000191daab70 (__TEXT,__text) external _error_message
00000001e37eb730 (__DATA,__bss) non-external _error_message.buffer
00000001e37eb728 (__DATA,__bss) non-external _error_message.et_list
00000001e37eb720 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
0000000191dacc20 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00000001e37ebb38 (__DATA,__bss) non-external _g_cc_change_time
00000001e37eb568 (__DATA,__data) non-external _g_change_time_mutex
00000001e37ebb30 (__DATA,__bss) non-external _g_kl_change_time
0000000191db1bb8 (__TEXT,__text) external _get_ad_tkt
0000000191db1c30 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00000001e37eb488 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00000001e37eb4a0 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00000001e37eb460 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00000001e37eb448 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00000001e37eb418 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00000001e37eb430 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00000001e37eb400 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
                 (undefined) external _gss_display_name (from GSS)
                 (indirect) external _gss_display_name (for _gss_display_name)
                 (undefined) external _gss_display_status (from GSS)
                 (indirect) external _gss_display_status (for _gss_display_status)
                 (undefined) external _gss_duplicate_name (from GSS)
                 (indirect) external _gss_duplicate_name (for _gss_duplicate_name)
                 (undefined) external _gss_export_name (from GSS)
                 (indirect) external _gss_export_name (for _gss_export_name)
                 (undefined) external _gss_export_sec_context (from GSS)
                 (indirect) external _gss_export_sec_context (for _gss_export_sec_context)
                 (undefined) external _gss_get_mic (from GSS)
                 (indirect) external _gss_get_mic (for _gss_get_mic)
0000000191db3b24 (__TEXT,__text) external _gss_import_name
                 (undefined) external _gss_import_sec_context (from GSS)
