00000001d9c584a4 (__TEXT,__text) non-external +[NFPromise new]
00000001d9c5cb44 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001d9c5cb4c (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00000001d9c5d350 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00000001d9c5d028 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001d9c5cccc (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001d9c5cd54 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001d9c5ceb0 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001d9c5d358 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00000001d9c5b4ec (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001d9c5b44c (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001d9c5b444 (__TEXT,__text) non-external -[NFMutexLock init]
00000001d9c5b59c (__TEXT,__text) non-external -[NFMutexLock lock]
00000001d9c5b538 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001d9c5b5a4 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001d9c555d4 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001d9c55430 (__TEXT,__text) non-external -[NFPendingPromise init]
00000001d9c555a0 (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001d9c555c4 (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001d9c555b4 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001d9c555a8 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001d9c555cc (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001d9c555bc (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001d9c599cc (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001d9c585c4 (__TEXT,__text) non-external -[NFPromise always:]
00000001d9c58c5c (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001d9c58558 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001d9c5984c (__TEXT,__text) non-external -[NFPromise delayOn]
00000001d9c59730 (__TEXT,__text) non-external -[NFPromise delay]
00000001d9c585b4 (__TEXT,__text) non-external -[NFPromise error:]
00000001d9c58bd0 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001d9c59188 (__TEXT,__text) non-external -[NFPromise errorOn]
00000001d9c59088 (__TEXT,__text) non-external -[NFPromise error]
00000001d9c584d0 (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001d9c58210 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001d9c5841c (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001d9c580bc (__TEXT,__text) non-external -[NFPromise init]
00000001d9c58f34 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001d9c58df0 (__TEXT,__text) non-external -[NFPromise pipe]
00000001d9c594e4 (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001d9c59214 (__TEXT,__text) non-external -[NFPromise resolve]
00000001d9c599b8 (__TEXT,__text) non-external -[NFPromise seal]
00000001d9c599c0 (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001d9c585a4 (__TEXT,__text) non-external -[NFPromise then:]
00000001d9c585d4 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001d9c58d64 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001d9c58cdc (__TEXT,__text) non-external -[NFPromise then]
00000001d9c5ba08 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00000001d9c5ba7c (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00000001d9c5adc8 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001d9c5a87c (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001d9c5a4a0 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001d9c5df3c (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001d9c5e004 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001d9c5ad88 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001d9c5adac (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001d9c5a41c (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001d9c5a398 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001d9c5a310 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001d9c5adc0 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001d9c5a9e4 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001d9c5a580 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001d9c5a574 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001d9c5a590 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001d9c5ab28 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001d9c5e0cc (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001d9c5ad90 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001d9c5adb4 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001d9c5ada4 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001d9c5ad7c (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001d9c5ad9c (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001d9c5ad74 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001d9c5b3f4 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001d9c5b224 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001d9c5b11c (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001d9c5b3e0 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001d9c5b3a8 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001d9c5b0d0 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001d9c5af1c (__TEXT,__text) non-external -[NFReachability init]
00000001d9c5b3cc (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001d9c5b3b8 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001d9c5b3e8 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001d9c5b3b0 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001d9c5b3d4 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001d9c5b3c0 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001d9c579b4 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001d9c56c2c (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001d9c56bbc (__TEXT,__text) non-external -[NFStateMachine activate]
00000001d9c56e64 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001d9c5dd84 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001d9c56d58 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001d9c5dcbc (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001d9c56cfc (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001d9c56c88 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001d9c56ad0 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001d9c56a34 (__TEXT,__text) non-external -[NFStateMachine description]
00000001d9c5797c (__TEXT,__text) non-external -[NFStateMachine events]
00000001d9c56f70 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001d9c568fc (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001d9c57990 (__TEXT,__text) non-external -[NFStateMachine lock]
00000001d9c57930 (__TEXT,__text) non-external -[NFStateMachine owner]
00000001d9c57984 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001d9c57998 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001d9c5795c (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001d9c57924 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001d9c57970 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001d9c57914 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001d9c579ac (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001d9c5791c (__TEXT,__text) non-external -[NFStateMachine state]
00000001d9c57968 (__TEXT,__text) non-external -[NFStateMachine states]
00000001d9c579a4 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001d9c5790c (__TEXT,__text) non-external -[NFStateMachine status]
00000001d9c5b9ac (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001d9c5b798 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001d9c5b988 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001d9c5b99c (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001d9c5b888 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001d9c5b680 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001d9c5b5ac (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001d9c5b6c0 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001d9c5b964 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001d9c5b860 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001d9c5b990 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001d9c5b9a4 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001d9c5b96c (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001d9c5b97c (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001d9c5b974 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001d9c5c710 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001d9c5c6c0 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001d9c5c564 (__TEXT,__text) non-external -[NFStateMachineState description]
00000001d9c5c700 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001d9c5c6f0 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001d9c5c44c (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001d9c5c3d0 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001d9c5c48c (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001d9c5c6b0 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001d9c5c5e8 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001d9c5c688 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001d9c5c638 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001d9c5c660 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001d9c5c610 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001d9c5c6c8 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001d9c5c708 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001d9c5c6f8 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001d9c5c6b8 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001d9c5c6e8 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001d9c5c6d8 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001d9c5c6e0 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001d9c5c6d0 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001d9c5c784 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001d9c5ca68 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001d9c5c98c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001d9c5c8e0 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001d9c5c834 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001d9c553c8 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001d9c553b4 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001d9c5527c (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001d9c55378 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001d9c5538c (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001d9c55158 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001d9c553bc (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001d9c55380 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001d9c55394 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001d9c5536c (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001d9c553a8 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001d9c55364 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001d9c553a0 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001d9c55148 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00000001d9c55150 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00000001d9c55070 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001d9c550cc (__TEXT,__text) non-external -[NFUnfairLock init]
00000001d9c55134 (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001d9c550d4 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001d9c55140 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001d9c599e8 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001d9c5688c (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001d9c57e00 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001d9c5a070 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001d9c5a170 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001d9c57a18 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001d9c5d5d8 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00000001d9c5d520 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001d9c60120 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001d9c6017c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001d9c60198 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001d9c56608 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001d9c5d7e4 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001d9c5e1bc (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00000001ed090410 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001ed090408 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001d9c5d608 (__TEXT,__text) external _NFDeviceIsA7
00000001d9c5d610 (__TEXT,__text) external _NFDeviceIsA8
00000001d9c5d740 (__TEXT,__text) external _NFDeviceModelString
00000001d9c5d70c (__TEXT,__text) external _NFDeviceOSVersion
00000001d9c5d618 (__TEXT,__text) external _NFDevicePlatform
00000001d9c5e1a8 (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00000001ed090400 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001ed0903f8 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001d9c5d700 (__TEXT,__text) external _NFGeneralDeviceString
00000001d9c54f80 (__TEXT,__text) external _NFInternalBuild
00000001d9c5d82c (__TEXT,__text) non-external _NFInternalBuild.cold.1
00000001ed090420 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00000001ed090418 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001d9c5ae24 (__TEXT,__text) external _NFLockSync
00000001d9c5a244 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001d9c54fe0 (__TEXT,__text) external _NFSeedBuild
00000001e7b150d0 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001d9c54fe8 (__TEXT,__text) external _NFStoreDemoMode
00000001d9c5d840 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00000001ed0903f0 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001ed090421 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00000001d9c5d774 (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001d9c5f458 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001d9c5f418 (__TEXT,__const) external _NewsFoundationVersionString
00000001ed090348 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001ed0902a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001ed090280 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001ed090258 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001ed090370 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001ed090230 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001ed0902d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001ed090208 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001ed0901e0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001ed0901b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001ed090190 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001ed090168 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001ed090140 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001ed090118 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001ed0900f0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001ed0900c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001ebee1188 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001ebee118c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001ebee11a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001ebee119c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001ebee1194 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001ebee1190 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001ebee1198 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001ebee11c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
