00007ffe07858052 (__TEXT,__text) non-external _Done_iODBC
00007ffe078619bb (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffe0784b844 (__TEXT,__text) external _SQLColumnPrivileges
00007ffe0784ba15 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffe0784bbe6 (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffe0784b564 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffe0784c097 (__TEXT,__text) external _SQLColumns
00007ffe0784c268 (__TEXT,__text) external _SQLColumnsA
00007ffe0784c439 (__TEXT,__text) external _SQLColumnsW
00007ffe0784bdb7 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffe0784ff58 (__TEXT,__text) external _SQLConnect
00007ffe07850873 (__TEXT,__text) external _SQLConnectA
00007ffe078509f7 (__TEXT,__text) external _SQLConnectW
00007ffe078500dc (__TEXT,__text) non-external _SQLConnect_Internal
00007ffe07875ab4 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffe0786722b (__TEXT,__text) external _SQLCopyDesc
00007ffe0785cb01 (__TEXT,__text) external _SQLDataSources
00007ffe0785cc27 (__TEXT,__text) external _SQLDataSourcesA
00007ffe0785cd4d (__TEXT,__text) external _SQLDataSourcesW
00007ffe0785c690 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffe4343cea0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffe4343cec0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffe4343cec8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffe07861415 (__TEXT,__text) external _SQLDescribeCol
00007ffe078615f7 (__TEXT,__text) external _SQLDescribeColA
00007ffe078617d9 (__TEXT,__text) external _SQLDescribeColW
00007ffe0786115d (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffe078552a7 (__TEXT,__text) external _SQLDescribeParam
00007ffe07853551 (__TEXT,__text) external _SQLDisconnect
00007ffe078525cf (__TEXT,__text) external _SQLDriverConnect
00007ffe07852762 (__TEXT,__text) external _SQLDriverConnectA
00007ffe078528f5 (__TEXT,__text) external _SQLDriverConnectW
00007ffe07850b7b (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffe07875ad7 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffe07875afa (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffe0785d3ca (__TEXT,__text) external _SQLDrivers
00007ffe0785d4f0 (__TEXT,__text) external _SQLDriversA
00007ffe0785d616 (__TEXT,__text) external _SQLDriversW
00007ffe0785cf9c (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffe4343cea4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffe4343ced0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffe4343ced8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffe07867fea (__TEXT,__text) external _SQLEndTran
00007ffe078589f2 (__TEXT,__text) external _SQLError
00007ffe07858ad7 (__TEXT,__text) external _SQLErrorA
00007ffe07858bbc (__TEXT,__text) external _SQLErrorW
00007ffe07854781 (__TEXT,__text) external _SQLExecDirect
00007ffe078548bd (__TEXT,__text) external _SQLExecDirectA
00007ffe078549f9 (__TEXT,__text) external _SQLExecDirectW
00007ffe07854528 (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffe0785426f (__TEXT,__text) external _SQLExecute
00007ffe078559fb (__TEXT,__text) external _SQLExtendedFetch
00007ffe07855751 (__TEXT,__text) external _SQLFetch
00007ffe078682b8 (__TEXT,__text) external _SQLFetchScroll
00007ffe07855584 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffe0784c9d1 (__TEXT,__text) external _SQLForeignKeys
00007ffe0784cbd6 (__TEXT,__text) external _SQLForeignKeysA
00007ffe0784cddb (__TEXT,__text) external _SQLForeignKeysW
00007ffe0784c60a (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffe078566f9 (__TEXT,__text) external _SQLFreeConnect
00007ffe07856659 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffe07857fd2 (__TEXT,__text) external _SQLFreeEnv
00007ffe07857f61 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffe07862805 (__TEXT,__text) external _SQLFreeHandle
00007ffe0785b5c1 (__TEXT,__text) external _SQLFreeStmt
00007ffe0785b381 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffe078726b5 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffe07865495 (__TEXT,__text) external _SQLGetConnectAttr
00007ffe078659a6 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffe07865aee (__TEXT,__text) external _SQLGetConnectAttrW
00007ffe078655dd (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffe078575f5 (__TEXT,__text) external _SQLGetConnectOption
00007ffe0785771b (__TEXT,__text) external _SQLGetConnectOptionA
00007ffe07857841 (__TEXT,__text) external _SQLGetConnectOptionW
00007ffe0786087d (__TEXT,__text) external _SQLGetCursorName
00007ffe078609d5 (__TEXT,__text) external _SQLGetCursorNameA
00007ffe07860b2d (__TEXT,__text) external _SQLGetCursorNameW
00007ffe0786064d (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffe07855b8d (__TEXT,__text) external _SQLGetData
00007ffe07865eb0 (__TEXT,__text) external _SQLGetDescField
00007ffe07866030 (__TEXT,__text) external _SQLGetDescFieldA
00007ffe078661b0 (__TEXT,__text) external _SQLGetDescFieldW
00007ffe07865c36 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffe07866ad3 (__TEXT,__text) external _SQLGetDescRec
00007ffe07866c85 (__TEXT,__text) external _SQLGetDescRecA
00007ffe07866e37 (__TEXT,__text) external _SQLGetDescRecW
00007ffe078668d2 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffe0785a8c8 (__TEXT,__text) external _SQLGetDiagField
00007ffe0785a9b0 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffe0785aa98 (__TEXT,__text) external _SQLGetDiagFieldW
00007ffe0785974d (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffe07859480 (__TEXT,__text) external _SQLGetDiagRec
00007ffe0785956f (__TEXT,__text) external _SQLGetDiagRecA
00007ffe0785965e (__TEXT,__text) external _SQLGetDiagRecW
00007ffe07858ca1 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffe07862f06 (__TEXT,__text) external _SQLGetEnvAttr
00007ffe0785e390 (__TEXT,__text) external _SQLGetFunctions
00007ffe0785df8b (__TEXT,__text) external _SQLGetInfo
00007ffe0785e0e2 (__TEXT,__text) external _SQLGetInfoA
00007ffe0785e239 (__TEXT,__text) external _SQLGetInfoW
00007ffe0785d865 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffe078754af (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffe078754e8 (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffe07874ecd (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffe0787511f (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffe078638c0 (__TEXT,__text) external _SQLGetStmtAttr
00007ffe07863a1e (__TEXT,__text) external _SQLGetStmtAttrA
00007ffe07863b7c (__TEXT,__text) external _SQLGetStmtAttrW
00007ffe078630c0 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffe0785bdf3 (__TEXT,__text) external _SQLGetStmtOption
00007ffe0785bf30 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffe0785bbe7 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffe078498c8 (__TEXT,__text) external _SQLGetTypeInfo
00007ffe078499f0 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffe07849b18 (__TEXT,__text) external _SQLGetTypeInfoW
00007ffe07849730 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffe07855f47 (__TEXT,__text) external _SQLMoreResults
00007ffe0785397c (__TEXT,__text) external _SQLNativeSql
00007ffe07853af8 (__TEXT,__text) external _SQLNativeSqlA
00007ffe07853c74 (__TEXT,__text) external _SQLNativeSqlW
00007ffe078536b8 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffe07855099 (__TEXT,__text) external _SQLNumParams
00007ffe07860f79 (__TEXT,__text) external _SQLNumResultCols
00007ffe07854ddf (__TEXT,__text) external _SQLParamData
00007ffe0785fa33 (__TEXT,__text) external _SQLParamOptions
00007ffe0785ec6b (__TEXT,__text) external _SQLPrepare
00007ffe0785eda7 (__TEXT,__text) external _SQLPrepareA
00007ffe0785eee3 (__TEXT,__text) external _SQLPrepareW
00007ffe0785ea54 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffe0784d262 (__TEXT,__text) external _SQLPrimaryKeys
00007ffe0784d418 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffe0784d5ce (__TEXT,__text) external _SQLPrimaryKeysW
00007ffe0784cfe0 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffe0784da64 (__TEXT,__text) external _SQLProcedureColumns
00007ffe0784dc35 (__TEXT,__text) external _SQLProcedureColumnsA
00007ffe0784de06 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffe0784d784 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffe0784e259 (__TEXT,__text) external _SQLProcedures
00007ffe0784e40f (__TEXT,__text) external _SQLProceduresA
00007ffe0784e5c5 (__TEXT,__text) external _SQLProceduresW
00007ffe0784dfd7 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffe07854b35 (__TEXT,__text) external _SQLPutData
00007ffe07871e85 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffe07871ff4 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffe07860c85 (__TEXT,__text) external _SQLRowCount
00007ffe07875521 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffe07864eb7 (__TEXT,__text) external _SQLSetConnectAttr
00007ffe07865215 (__TEXT,__text) external _SQLSetConnectAttrA
00007ffe07865355 (__TEXT,__text) external _SQLSetConnectAttrW
00007ffe07864ff7 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffe07856e59 (__TEXT,__text) external _SQLSetConnectOption
00007ffe07856f7f (__TEXT,__text) external _SQLSetConnectOptionA
00007ffe078570a5 (__TEXT,__text) external _SQLSetConnectOptionW
00007ffe0785f1dc (__TEXT,__text) external _SQLSetCursorName
00007ffe0785f31e (__TEXT,__text) external _SQLSetCursorNameA
00007ffe0785f460 (__TEXT,__text) external _SQLSetCursorNameW
00007ffe0785f01f (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffe078664c7 (__TEXT,__text) external _SQLSetDescField
00007ffe07866620 (__TEXT,__text) external _SQLSetDescFieldA
00007ffe07866779 (__TEXT,__text) external _SQLSetDescFieldW
00007ffe07866330 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffe07866fe9 (__TEXT,__text) external _SQLSetDescRec
00007ffe07862d16 (__TEXT,__text) external _SQLSetEnvAttr
00007ffe07862e33 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffe07875a61 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffe07875a72 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffe07860240 (__TEXT,__text) external _SQLSetParam
00007ffe07856344 (__TEXT,__text) external _SQLSetPos
00007ffe0785fd47 (__TEXT,__text) external _SQLSetScrollOptions
00007ffe07864aac (__TEXT,__text) external _SQLSetStmtAttr
00007ffe07864c05 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffe07864d5e (__TEXT,__text) external _SQLSetStmtAttrW
00007ffe07863cda (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffe0785b6f9 (__TEXT,__text) external _SQLSetStmtOption
00007ffe0785baab (__TEXT,__text) external _SQLSetStmtOptionA
00007ffe0785b835 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffe07849f07 (__TEXT,__text) external _SQLSpecialColumns
00007ffe0784a0eb (__TEXT,__text) external _SQLSpecialColumnsA
00007ffe0784a2cf (__TEXT,__text) external _SQLSpecialColumnsW
00007ffe07849c40 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffe0784a76b (__TEXT,__text) external _SQLStatistics
00007ffe0784a94d (__TEXT,__text) external _SQLStatisticsA
00007ffe0784ab2f (__TEXT,__text) external _SQLStatisticsW
00007ffe0784a4b3 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffe0784e9fd (__TEXT,__text) external _SQLTablePrivileges
00007ffe0784ebb3 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffe0784ed69 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffe0784e77b (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffe0784aff1 (__TEXT,__text) external _SQLTables
00007ffe0784b1c2 (__TEXT,__text) external _SQLTablesA
00007ffe0784b393 (__TEXT,__text) external _SQLTablesW
00007ffe0784ad11 (__TEXT,__text) non-external _SQLTables_Internal
00007ffe07857c6e (__TEXT,__text) external _SQLTransact
00007ffe07857967 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffe078727a0 (__TEXT,__text) non-external _SQLValidDSN
00007ffe078727ff (__TEXT,__text) non-external _SQLValidDSNW
00007ffe07871c1c (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffe07871cc7 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffe07875682 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffe078758a3 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffe0785caaf (__TEXT,__text) non-external _SectSorter
00007ffe07872702 (__TEXT,__text) non-external _ValidDSN
00007ffe07872754 (__TEXT,__text) non-external _ValidDSNW
00007ffe07875578 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffe07862bdc (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffe07854060 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffe07854080 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffe07873853 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00007ffe07874c62 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffe4343cf10 (__DATA,__common) non-external __iodbc_env_counter
00007ffe078721f4 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffe0785c494 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffe0785c56c (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffe0785586e (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffe0785b32e (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffe078571cb (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffe07860e50 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffe0785b58b (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffe078567d8 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffe0784f175 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffe078561d8 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffe0785c521 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffe0785c268 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffe4343cf18 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffe0785c638 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffe0784982d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffe07849880 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffe07873f41 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffe07873232 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffe078739d3 (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffe07873688 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffe0787317c (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffe0785e87a (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffe078741ea (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffe0787391f (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffe0785e8f7 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffe0785e770 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffe07873263 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffe078738f9 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffe078522e0 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffe0787421c (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffe07873752 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffe0785e943 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffe07873adc (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffe07872440 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffe07852078 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffe0785c2f5 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffe0785c3c9 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffe078521a2 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffe078541b0 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffe078541fd (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffe07854106 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffe078540fc (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffe07854234 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffe0784f424 (__TEXT,__text) non-external __iodbcdm_driverload
00007ffe0784fbf8 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffe0785b245 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffe07856dec (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffe0784ef72 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffe07858058 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffe07853f7a (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffe078724e6 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffe078540aa (__TEXT,__text) non-external __iodbcdm_getproc
00007ffe4343ceb8 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffe078743fa (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffe0787433a (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffe07861101 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffe078610a5 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffe07853df0 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffe0784ef20 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffe07875a91 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffe07851e1c (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffe078524d0 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffe0784f04c (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffe0785242e (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffe0785807b (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffe0787248a (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffe07854207 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffe078580e8 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffe07872637 (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffe078725e3 (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffe07857a4a (__TEXT,__text) non-external __iodbcdm_transact
00007ffe412816c0 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffe41282360 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffe41282410 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffe41281780 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffe41281820 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffe41281ec0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffe41281f00 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffe41281bd0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffe41281f50 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffe41281f70 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffe41281f90 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffe41281c80 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffe41281fc0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffe41281fe0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffe41281690 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffe412816a0 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffe41281ba0 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffe41282010 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffe41282060 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffe41282080 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffe41282090 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffe412820e0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffe41282100 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffe41282180 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffe41282190 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffe412821c0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffe412821e0 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffe41282260 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffe412822a0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffe412822b0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffe412822c0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffe412822d0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffe412822f0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffe41282310 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffe41282330 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffe41282340 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffe41282280 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffe412817d0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffe41281d10 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffe41281cc0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffe41281cf0 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffe412824a0 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffe412824c0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffe41282580 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffe41281d30 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffe41281bc0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffe41281d50 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffe41281850 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffe41281920 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffe412825a0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffe41281940 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffe41281950 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffe41281d70 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffe412825c0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffe412825e0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffe41281de0 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffe41281db0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffe41282600 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffe41281970 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
