00007ffa1e023e3b (__TEXT,__text) non-external _DiToMD5
00007ffa1e031fab (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffa1e00d6a1 (__TEXT,__text) external _IORWLockAlloc
00007ffa1e0322ef (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffa1e00d6d6 (__TEXT,__text) external _IORWLockFree
00007ffa1e00d6fd (__TEXT,__text) external _IORWLockRead
00007ffa1e032312 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffa1e00d725 (__TEXT,__text) external _IORWLockUnlock
00007ffa1e032358 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffa1e00d711 (__TEXT,__text) external _IORWLockWrite
00007ffa1e032335 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffa1e00d52b (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffa1e00d557 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffa1e00d613 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffa1e032286 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffa1e00d56d (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffa1e0321fa (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffa1e03221d (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffa1e00d643 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffa1e0322a9 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffa1e0322cc (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffa1e00d5c1 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffa1e032240 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffa1e032263 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffa1e00d4cf (__TEXT,__text) external _IORecursiveLockAlloc
00007ffa1e00d4eb (__TEXT,__text) external _IORecursiveLockFree
00007ffa1e00d517 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffa1e00d501 (__TEXT,__text) external _IORecursiveLockLock
00007ffa1e00d521 (__TEXT,__text) external _IORecursiveLockTryLock
00007ffa1e00d50d (__TEXT,__text) external _IORecursiveLockUnlock
00007ffa4193dbe0 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffa4193d960 (__DATA_CONST,__const) external _IOReporter_Class
00007ffa4193dfe8 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffa4193e148 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffa4193de38 (__DATA_CONST,__const) external _IOService_Class
00007ffa4193da00 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffa1e00af13 (__TEXT,__text) external _IOSleep
00007ffa4193daa0 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffa4193fdb8 (__DATA_CONST,__const) external _IOThread_Class
00007ffa4193e2a8 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffa4193e458 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffa1e00e086 (__TEXT,__text) external _IOUserServerMain
00007ffa1e032625 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffa1e032760 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffa1e032648 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffa1e03266b (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffa1e03268e (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffa1e0326b1 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffa1e0326d4 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffa1e0326f7 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffa1e03271a (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffa1e03273d (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffa4193e738 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffa41a3d9c8 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffa4193e8e8 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffa1e023fd2 (__TEXT,__text) external _MD5Final
00007ffa1e023da0 (__TEXT,__text) external _MD5Init
00007ffa1e023f5e (__TEXT,__text) non-external _MD5ToDi
00007ffa1e023ea1 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffa4193ea48 (__DATA_CONST,__const) external _OSAction_Class
00007ffa4193e4f8 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffa4193fb48 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffa1e01624c (__TEXT,__text) external _OSArrayAppendValue
00007ffa1e015f8b (__TEXT,__text) external _OSArrayApply
00007ffa1e015ca3 (__TEXT,__text) external _OSArrayCreate
00007ffa1e015456 (__TEXT,__text) external _OSArrayGetCount
00007ffa1e0162da (__TEXT,__text) external _OSArrayGetStringValue
00007ffa1e01634a (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffa1e016280 (__TEXT,__text) external _OSArrayGetValue
00007ffa1e01623d (__TEXT,__text) external _OSArrayReplaceValue
00007ffa1e016305 (__TEXT,__text) external _OSArraySetStringValue
00007ffa1e016410 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffa1e0160b6 (__TEXT,__text) external _OSArraySetValue
00007ffa4193ebf8 (__DATA_CONST,__const) external _OSArray_Class
00007ffa4193ecf0 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffa4193ede8 (__DATA_CONST,__const) external _OSBundle_Class
00007ffa1e014426 (__TEXT,__text) external _OSCollectionTypeID
00007ffa1e033236 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffa1e0143ac (__TEXT,__text) external _OSCollectionTypeName
00007ffa1e0331f2 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffa4193eee0 (__DATA_CONST,__const) external _OSCollection_Class
00007ffa1e018a42 (__TEXT,__text) external _OSCollectionsInitialize
00007ffa4193efd8 (__DATA_CONST,__const) external _OSContainer_Class
00007ffa1e014482 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffa1e03327c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffa1e016c21 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffa1e0336dc (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffa1e016b23 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffa1e0152db (__TEXT,__text) external _OSDataAppendBytes
00007ffa1e015259 (__TEXT,__text) external _OSDataCreate
00007ffa1e015208 (__TEXT,__text) external _OSDataGetBytes
00007ffa1e0151bf (__TEXT,__text) external _OSDataGetBytesPtr
00007ffa1e0151f7 (__TEXT,__text) external _OSDataGetLength
00007ffa4193f138 (__DATA_CONST,__const) external _OSData_Class
00007ffa1e015463 (__TEXT,__text) external _OSDictionaryApply
00007ffa1e0153f5 (__TEXT,__text) external _OSDictionaryCreate
00007ffa1e015449 (__TEXT,__text) external _OSDictionaryGetCount
00007ffa1e015ab4 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffa1e015bc6 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffa1e015a17 (__TEXT,__text) external _OSDictionaryGetValue
00007ffa1e015b81 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffa1e015c65 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffa1e01571e (__TEXT,__text) external _OSDictionarySetValue
00007ffa4193f230 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffa4193f328 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffa1e015393 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffa1e015372 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffa4193f420 (__DATA_CONST,__const) external _OSNumber_Class
00007ffa1e01726c (__TEXT,__text) external _OSObjectLog
00007ffa1e0143e2 (__TEXT,__text) external _OSObjectRelease
00007ffa1e0143d7 (__TEXT,__text) external _OSObjectRetain
00007ffa4193f518 (__DATA_CONST,__const) external _OSObject_Class
00007ffa4193f6c8 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffa1e00b474 (__TEXT,__text) external _OSReportWithBacktrace
00007ffa1e016d4a (__TEXT,__text) external _OSSerializationGetBytes
00007ffa4193f7c0 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffa4193f8b8 (__DATA_CONST,__const) external _OSSet_Class
00007ffa1e014eef (__TEXT,__text) external _OSStringCreate
00007ffa1e03332b (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffa1e014eae (__TEXT,__text) external _OSStringGetLength
00007ffa1e033308 (__TEXT,__text) non-external _OSStringGetLength.cold.1
00007ffa1e014e76 (__TEXT,__text) external _OSStringGetStringPtr
00007ffa4193f9b0 (__DATA_CONST,__const) external _OSString_Class
00007ffa1e00af2d (__TEXT,__text) external _OSSynchronizeIO
00007ffa43adc440 (__DATA,__bss) non-external _OSUniqueStrings
00007ffa1e00b833 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffa1e0242a9 (__TEXT,__text) external _SHA1Final
00007ffa1e024080 (__TEXT,__text) external _SHA1Init
00007ffa1e02423e (__TEXT,__text) non-external _SHA1ToDi
00007ffa1e024181 (__TEXT,__text) external _SHA1Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffa1e00be3a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffa4193faa8 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffa1e00c162 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffa1e031df5 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffa1e031e18 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffa1e00d739 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffa1e03237b (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffa1e03239e (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffa1e0323c1 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffa1e0323e4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffa1e032407 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffa1e00c98b (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffa1e032037 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffa1e03205a (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffa1e03207d (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffa1e0320a0 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffa1e0320e2 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00007ffa1e00c390 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffa1e031ea4 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffa1e016262 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffa1e0189e0 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffa1e00bfd6 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffa1e031d8c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffa1e031daf (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffa1e031dd2 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffa1e016375 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffa1e0163e5 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffa1e0163a0 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffa1e00c1ba (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffa1e031e3b (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.1
00007ffa1e031e5e (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.2
00007ffa1e016750 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffa1e03362d (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e033650 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e033673 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1e033696 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffa1e0336b9 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffa1e00aa8c (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffa1e00ab78 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffa1e00c67b (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffa1e00de6a (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffa1e00bf48 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffa1e00beaf (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffa1e016d68 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffa1e0336ff (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffa1e00c2d8 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffa1e031e81 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffa1e01444f (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffa1e033259 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffa1e0143ed (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffa1e033213 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffa1e009290 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffa1e031c3c (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00007ffa1e015173 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffa1e01644e (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffa1e033443 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffa1e033466 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffa1e033489 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffa1e0334ac (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffa1e0334cf (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffa1e01513f (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffa1e015d5d (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E
00007ffa1e0333b7 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E.cold.1
00007ffa1e015cf7 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry
00007ffa1e033371 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.1
00007ffa1e033394 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.2
00007ffa1e015356 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffa1e01657b (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffa1e0334f2 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e033515 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e033538 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1e00d83a (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00007ffa1e03242a (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00007ffa1e03244d (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00007ffa1e00de42 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffa1e00d2d2 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffa1e030af2 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffa1e00a990 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffa1e014228 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffa1e03099c (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffa1e017eb6 (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffa1e034330 (__TEXT,__const) non-external __ZL11yytranslate
00007ffa1e031b62 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffa1e030470 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffa1e030a38 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffa1e030bd6 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffa1e030c1e (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffa1e0150cf (__TEXT,__text) non-external __ZL12OSStringFindjPKcm
00007ffa1e03124c (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffa1e024e72 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffa1e028ee6 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffa1e0132aa (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffa1e032fb1 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffa1e032fd4 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffa1e032ff7 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffa1e0309f0 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffa1e028d86 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffa1e00f14c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffa1e032aa6 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffa1e032ac9 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffa1e032aec (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffa1e032b0f (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffa1e0274cc (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffa1e028ae8 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffa1e02fe84 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffa1e030aaa (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffa1e00db2e (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffa1e032470 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffa1e032493 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffa1e0324b6 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffa1e0324d9 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffa1e00e91f (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffa1e0328ab (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffa1e0328ce (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffa1e0328f1 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffa1e032914 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffa1e013c87 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffa1e0330a6 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffa1e0330c9 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffa1e0330ec (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffa1e03310f (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffa1e033132 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffa1e033155 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffa1e033178 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffa43adc418 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00007ffa1e024f0e (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007ffa1e02e942 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00007ffa1e02f772 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00007ffa1e030a80 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00007ffa1e00dcb0 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00007ffa1e00dcf9 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
