00007ffa1cef4cf8 (__TEXT,__text) non-external +[Cube initialize]
00007ffa1cf04ba9 (__TEXT,__text) non-external +[DDXMLNode removeAllNamespacesFromNode:]
00007ffa1cf04a72 (__TEXT,__text) non-external +[DDXMLNode removeAttribute:fromNode:]
00007ffa1cf04c8d (__TEXT,__text) non-external +[DDXMLNode removeChild:fromNode:]
00007ffa1cf04b77 (__TEXT,__text) non-external +[DDXMLNode removeNamespace:fromNode:]
00007ffa1cf04890 (__TEXT,__text) non-external +[DDXMLNode stripDocPointersFromAttr:]
00007ffa1cf03176 (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00007ffa1ce26b92 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00007ffa1ce25525 (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00007ffa1ce27957 (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00007ffa1ce295d0 (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00007ffa1ce29d72 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00007ffa1ce29d86 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00007ffa1ce2add4 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00007ffa1ce2ade8 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00007ffa1ce2a091 (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00007ffa1ce2b888 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00007ffa1ce2b89c (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00007ffa1ce2bd03 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00007ffa1ce2d769 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00007ffa1ce2da37 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00007ffa1ce2d9ba (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00007ffa1ce2e670 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00007ffa1ce27570 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00007ffa1ce2fa7e (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00007ffa1ce263f7 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00007ffa1ce2642f (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00007ffa1ce320e7 (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00007ffa1ce38771 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00007ffa1ce3a05c (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00007ffa1ce292d4 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00007ffa1ce286ff (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00007ffa1ce28f31 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00007ffa1ce28cc5 (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00007ffa1ce40c9a (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00007ffa1ce409e7 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00007ffa1ce40718 (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00007ffa1ce405b8 (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00007ffa1ce4050f (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00007ffa1ce40675 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00007ffa1ce40489 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00007ffa1ce40337 (__TEXT,__text) non-external +[MCObjectBase initialize]
00007ffa1ce40bea (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00007ffa1ce416d8 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00007ffa1ce446b7 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00007ffa1ce498fc (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00007ffa1ce4a1c4 (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00007ffa1ce5019d (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00007ffa1ce27c0e (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00007ffa1ce28451 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00007ffa1ce27f2b (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00007ffa1ce281a3 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00007ffa1ce5c583 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00007ffa1ce5d090 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00007ffa1ce5ae89 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00007ffa1ce5af16 (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00007ffa1ce5ad6e (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00007ffa1ce5c2dc (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00007ffa1ce5aef6 (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00007ffa1ce5ae69 (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00007ffa1ce5abf8 (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00007ffa1ce5adfc (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00007ffa1ce5b10f (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00007ffa1ce5b37b (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00007ffa1ce5b44b (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00007ffa1ce5bc81 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00007ffa1ce5b1fa (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00007ffa1ce5acb6 (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00007ffa1ce26fb8 (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00007ffa1ceb3ebd (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00007ffa1ceb3b90 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00007ffa1ceb583f (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00007ffa1ceb5d80 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00007ffa1ceb377c (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00007ffa1ce519f4 (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00007ffa1ce51c8c (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00007ffa1ce52562 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00007ffa1ce52653 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00007ffa1ce52682 (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00007ffa1ce523fa (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00007ffa1ce52806 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00007ffa1ce52a99 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00007ffa1ce52a2a (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00007ffa1cea37e7 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00007ffa1cea3790 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00007ffa1cea372f (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00007ffa1ce538cc (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00007ffa1ce53860 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00007ffa1ce8d962 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00007ffa1ce8d8f6 (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00007ffa1cf1fde0 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00007ffa1cf1fd5b (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00007ffa1cf223eb (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00007ffa1cf22366 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00007ffa1cc6ce9f (__TEXT,__text) non-external +[MPAction action]
00007ffa1cc6ce94 (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00007ffa1cc6f701 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00007ffa1cc6f71a (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00007ffa1cc6e256 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00007ffa1cc6e24b (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00007ffa1cc7057b (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00007ffa1cc73d54 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00007ffa1cc742fe (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00007ffa1cc7433e (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00007ffa1cc742f3 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00007ffa1cc747a0 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00007ffa1cc747ea (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00007ffa1cc74795 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00007ffa1cc75d10 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00007ffa1cc75cc8 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00007ffa1cc75cbd (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00007ffa1cc7580d (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00007ffa1cc75848 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00007ffa1cc75802 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00007ffa1cc76bdc (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00007ffa1cc76b6b (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00007ffa1cc76cb6 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00007ffa1cc771cb (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00007ffa1cc771c0 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00007ffa1cc7743b (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00007ffa1cc77430 (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00007ffa1cc77dad (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00007ffa1cc77da2 (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00007ffa1cc6dd47 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00007ffa1cc6dd3c (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00007ffa1cc7b58b (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00007ffa1cc7b57f (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00007ffa1cc5978a (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00007ffa1cc7c305 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00007ffa1cc7c610 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00007ffa1cc7c492 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00007ffa1cc7c83f (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00007ffa1cc7c80e (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00007ffa1cc7c834 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00007ffa1cc7e9eb (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00007ffa1cc7e98c (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00007ffa1ccbd3ff (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00007ffa1ccbfbf8 (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00007ffa1ccbded5 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00007ffa1ccc0446 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00007ffa1ccbcb52 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00007ffa1ccbcb14 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00007ffa1ccbcb90 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00007ffa1ccbd69b (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00007ffa1ccc0104 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00007ffa1ccc0190 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00007ffa1ccbd652 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00007ffa1ccbffec (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00007ffa1ccbf99f (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00007ffa1ccbf60d (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00007ffa1ccbd982 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00007ffa1ccbdaf8 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00007ffa1ccbe06d (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00007ffa1ccbf433 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00007ffa1ccbd4a9 (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00007ffa1ccbcc6e (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00007ffa1ccbcbc8 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00007ffa1ccbfe8c (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00007ffa1ccc06b9 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00007ffa1ccbd82f (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00007ffa1ccbd0e6 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00007ffa1ccbf378 (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00007ffa1ccbdf18 (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00007ffa1ccbda3d (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00007ffa1ccbec22 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00007ffa1ccbed34 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00007ffa1ccbecca (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00007ffa1ccbfb82 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00007ffa1ccbfeab (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00007ffa1ccbde31 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00007ffa1ccc0427 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00007ffa1ccbe7c0 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00007ffa1ccbc7ab (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00007ffa1ccbe166 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00007ffa1ccbe2ed (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00007ffa1ccbe625 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00007ffa1ccc039f (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00007ffa1ccc05d8 (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00007ffa1ccbcfc0 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00007ffa1ccbd053 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00007ffa1ccbcf2b (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00007ffa1ccbd179 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00007ffa1ccbcce3 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00007ffa1ccbd22f (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00007ffa1ccbcde1 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00007ffa1ccbce96 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00007ffa1ccbdfb4 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00007ffa1ccbe9f5 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00007ffa1ccbd2c7 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00007ffa1ccbedab (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00007ffa1ccbef59 (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00007ffa1ccbcadc (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00007ffa1ccbd8ee (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00007ffa1ccbd59c (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00007ffa1ccbfcb7 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00007ffa1ccbd4e1 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00007ffa1ccbec60 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00007ffa1ccc0317 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00007ffa1ccbd774 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00007ffa1ccbcd9e (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00007ffa1ccbe5ea (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00007ffa1ccbf148 (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00007ffa1ccbf209 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00007ffa1ccbe5b2 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00007ffa1ccbf08c (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00007ffa1ccbf335 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00007ffa1ccc06da (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00007ffa1ccbf709 (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00007ffa1ccbf017 (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00007ffa1ccbe436 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00007ffa1ccbe227 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00007ffa1ccbf2fd (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00007ffa1ccbfdf0 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00007ffa1ccbf850 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00007ffa1ccbf77c (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00007ffa1ccc0078 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00007ffa1ccbfc30 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00007ffa1ccbe837 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00007ffa1ccbde69 (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00007ffa1ccbfd2e (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00007ffa1ccc0597 (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00007ffa1ccbfd69 (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00007ffa1ccbf510 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00007ffa1ccbe0a8 (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00007ffa1ccbd660 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
