00007fff6bc18f0a (__TEXT,__text) external _CGLGetCurrentContext
00007fff6bc0ef1b (__TEXT,__text) external _glClearIndex
00007fff6bc0ef32 (__TEXT,__text) external _glClearStencil
00007fff6bc11bd6 (__TEXT,__text) external _glClientActiveTexture
00007fff6bc164de (__TEXT,__text) external _glClientActiveTextureARB
00007fff6bc1447d (__TEXT,__text) external _glClientWaitSync
00007fff6bc0ef4e (__TEXT,__text) external _glClipPlane
00007fff6bc0ef6d (__TEXT,__text) external _glColor3b
00007fff6bc0ef8d (__TEXT,__text) external _glColor3bv
00007fff6bc0efaa (__TEXT,__text) external _glColor3d
00007fff6bc0efc4 (__TEXT,__text) external _glColor3dv
00007fff6bc0efe1 (__TEXT,__text) external _glColor3f
00007fff6bc0effb (__TEXT,__text) external _glColor3fv
00007fff6bc0f018 (__TEXT,__text) external _glColor3i
00007fff6bc0f038 (__TEXT,__text) external _glColor3iv
00007fff6bc0f055 (__TEXT,__text) external _glColor3s
00007fff6bc0f075 (__TEXT,__text) external _glColor3sv
00007fff6bc0f092 (__TEXT,__text) external _glColor3ub
00007fff6bc0f0b2 (__TEXT,__text) external _glColor3ubv
00007fff6bc0f0cf (__TEXT,__text) external _glColor3ui
00007fff6bc0f0ef (__TEXT,__text) external _glColor3uiv
00007fff6bc0f10c (__TEXT,__text) external _glColor3us
00007fff6bc0f12c (__TEXT,__text) external _glColor3usv
00007fff6bc0f149 (__TEXT,__text) external _glColor4b
00007fff6bc0f16c (__TEXT,__text) external _glColor4bv
00007fff6bc0f189 (__TEXT,__text) external _glColor4d
00007fff6bc0f1a3 (__TEXT,__text) external _glColor4dv
00007fff6bc0f1c0 (__TEXT,__text) external _glColor4f
00007fff6bc0f1da (__TEXT,__text) external _glColor4fv
00007fff6bc0f1f7 (__TEXT,__text) external _glColor4i
00007fff6bc0f21a (__TEXT,__text) external _glColor4iv
00007fff6bc0f237 (__TEXT,__text) external _glColor4s
00007fff6bc0f25a (__TEXT,__text) external _glColor4sv
00007fff6bc0f277 (__TEXT,__text) external _glColor4ub
00007fff6bc0f29a (__TEXT,__text) external _glColor4ubv
00007fff6bc0f2b7 (__TEXT,__text) external _glColor4ui
00007fff6bc0f2da (__TEXT,__text) external _glColor4uiv
00007fff6bc0f2f7 (__TEXT,__text) external _glColor4us
00007fff6bc0f31a (__TEXT,__text) external _glColor4usv
00007fff6bc0f337 (__TEXT,__text) external _glColorMask
00007fff6bc1869b (__TEXT,__text) external _glColorMaskIndexedEXT
00007fff6bc13a1c (__TEXT,__text) external _glColorMaski
00007fff6bc0f35a (__TEXT,__text) external _glColorMaterial
00007fff6bc0f378 (__TEXT,__text) external _glColorPointer
00007fff6bc11817 (__TEXT,__text) external _glColorSubTable
00007fff6bc17860 (__TEXT,__text) external _glColorSubTableEXT
00007fff6bc11711 (__TEXT,__text) external _glColorTable
00007fff6bc1782d (__TEXT,__text) external _glColorTableEXT
00007fff6bc11744 (__TEXT,__text) external _glColorTableParameterfv
00007fff6bc11766 (__TEXT,__text) external _glColorTableParameteriv
00007fff6bc18e9f (__TEXT,__text) external _glCombinerInputNV
00007fff6bc18ea5 (__TEXT,__text) external _glCombinerOutputNV
00007fff6bc18e8d (__TEXT,__text) external _glCombinerParameterfNV
00007fff6bc18e87 (__TEXT,__text) external _glCombinerParameterfvNV
00007fff6bc18e99 (__TEXT,__text) external _glCombinerParameteriNV
00007fff6bc18e93 (__TEXT,__text) external _glCombinerParameterivNV
00007fff6bc18ed5 (__TEXT,__text) external _glCombinerStageParameterfvNV
00007fff6bc12fb0 (__TEXT,__text) external _glCompileShader
00007fff6bc1701a (__TEXT,__text) external _glCompileShaderARB
00007fff6bc1768c (__TEXT,__text) external _glCompileShaderIncludeARB
00007fff6bc120de (__TEXT,__text) external _glCompressedTexImage1D
00007fff6bc169e6 (__TEXT,__text) external _glCompressedTexImage1DARB
00007fff6bc120a4 (__TEXT,__text) external _glCompressedTexImage2D
00007fff6bc169ac (__TEXT,__text) external _glCompressedTexImage2DARB
00007fff6bc12066 (__TEXT,__text) external _glCompressedTexImage3D
00007fff6bc1696e (__TEXT,__text) external _glCompressedTexImage3DARB
00007fff6bc1219e (__TEXT,__text) external _glCompressedTexSubImage1D
00007fff6bc16aa6 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007fff6bc12160 (__TEXT,__text) external _glCompressedTexSubImage2D
00007fff6bc16a68 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007fff6bc1210e (__TEXT,__text) external _glCompressedTexSubImage3D
00007fff6bc16a16 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007fff6bc11871 (__TEXT,__text) external _glConvolutionFilter1D
00007fff6bc118a4 (__TEXT,__text) external _glConvolutionFilter2D
00007fff6bc118d4 (__TEXT,__text) external _glConvolutionParameterf
00007fff6bc118f2 (__TEXT,__text) external _glConvolutionParameterfv
00007fff6bc11914 (__TEXT,__text) external _glConvolutionParameteri
00007fff6bc11935 (__TEXT,__text) external _glConvolutionParameteriv
00007fff6bc14199 (__TEXT,__text) external _glCopyBufferSubData
00007fff6bc1184a (__TEXT,__text) external _glCopyColorSubTable
00007fff6bc11788 (__TEXT,__text) external _glCopyColorTable
00007fff6bc11957 (__TEXT,__text) external _glCopyConvolutionFilter1D
00007fff6bc1197e (__TEXT,__text) external _glCopyConvolutionFilter2D
00007fff6bc0f39b (__TEXT,__text) external _glCopyPixels
00007fff6bc0f3c1 (__TEXT,__text) external _glCopyTexImage1D
00007fff6bc0f3f4 (__TEXT,__text) external _glCopyTexImage2D
00007fff6bc0f433 (__TEXT,__text) external _glCopyTexSubImage1D
00007fff6bc0f466 (__TEXT,__text) external _glCopyTexSubImage2D
00007fff6bc116cd (__TEXT,__text) external _glCopyTexSubImage3D
00007fff6bc12fcf (__TEXT,__text) external _glCreateProgram
00007fff6bc17037 (__TEXT,__text) external _glCreateProgramObjectARB
00007fff6bc12f6c (__TEXT,__text) external _glCreateShader
00007fff6bc16fd8 (__TEXT,__text) external _glCreateShaderObjectARB
00007fff6bc15106 (__TEXT,__text) external _glCreateShaderProgramv
00007fff6bc0f4a5 (__TEXT,__text) external _glCullFace
00007fff6bc12872 (__TEXT,__text) external _glDeleteBuffers
00007fff6bc16e35 (__TEXT,__text) external _glDeleteBuffersARB
00007fff6bc18987 (__TEXT,__text) external _glDeleteFencesAPPLE
00007fff6bc1377d (__TEXT,__text) external _glDeleteFramebuffers
00007fff6bc17d82 (__TEXT,__text) external _glDeleteFramebuffersEXT
00007fff6bc0f4c1 (__TEXT,__text) external _glDeleteLists
00007fff6bc1766d (__TEXT,__text) external _glDeleteNamedStringARB
00007fff6bc16f7f (__TEXT,__text) external _glDeleteObjectARB
00007fff6bc13049 (__TEXT,__text) external _glDeleteProgram
00007fff6bc15144 (__TEXT,__text) external _glDeleteProgramPipelines
00007fff6bc15bc7 (__TEXT,__text) external _glDeleteProgramsARB
00007fff6bc12779 (__TEXT,__text) external _glDeleteQueries
00007fff6bc16d3c (__TEXT,__text) external _glDeleteQueriesARB
00007fff6bc136bf (__TEXT,__text) external _glDeleteRenderbuffers
00007fff6bc17cc4 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007fff6bc1467b (__TEXT,__text) external _glDeleteSamplers
00007fff6bc12f28 (__TEXT,__text) external _glDeleteShader
00007fff6bc14460 (__TEXT,__text) external _glDeleteSync
00007fff6bc0f4df (__TEXT,__text) external _glDeleteTextures
00007fff6bc14df6 (__TEXT,__text) external _glDeleteTransformFeedbacks
00007fff6bc139c2 (__TEXT,__text) external _glDeleteVertexArrays
00007fff6bc18aca (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007fff6bc17813 (__TEXT,__text) external _glDepthBoundsEXT
00007fff6bc0f4fe (__TEXT,__text) external _glDepthFunc
00007fff6bc0f51a (__TEXT,__text) external _glDepthMask
00007fff6bc0f536 (__TEXT,__text) external _glDepthRange
00007fff6bc15b27 (__TEXT,__text) external _glDepthRangeArrayv
00007fff6bc15b49 (__TEXT,__text) external _glDepthRangeIndexed
00007fff6bc15025 (__TEXT,__text) external _glDepthRangef
00007fff6bc16fb8 (__TEXT,__text) external _glDetachObjectARB
00007fff6bc12f47 (__TEXT,__text) external _glDetachShader
00007fff6bc0f550 (__TEXT,__text) external _glDisable
00007fff6bc0f56c (__TEXT,__text) external _glDisableClientState
00007fff6bc186e0 (__TEXT,__text) external _glDisableIndexedEXT
00007fff6bc1883a (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007fff6bc12e84 (__TEXT,__text) external _glDisableVertexAttribArray
00007fff6bc160ca (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007fff6bc13aa5 (__TEXT,__text) external _glDisablei
00007fff6bc0f588 (__TEXT,__text) external _glDrawArrays
00007fff6bc149c3 (__TEXT,__text) external _glDrawArraysIndirect
00007fff6bc142c0 (__TEXT,__text) external _glDrawArraysInstanced
00007fff6bc17559 (__TEXT,__text) external _glDrawArraysInstancedARB
00007fff6bc0f5a9 (__TEXT,__text) external _glDrawBuffer
00007fff6bc129bc (__TEXT,__text) external _glDrawBuffers
00007fff6bc174fe (__TEXT,__text) external _glDrawBuffersARB
00007fff6bc18b43 (__TEXT,__text) external _glDrawElementArrayAPPLE
00007fff6bc0f5c5 (__TEXT,__text) external _glDrawElements
00007fff6bc14348 (__TEXT,__text) external _glDrawElementsBaseVertex
00007fff6bc149e2 (__TEXT,__text) external _glDrawElementsIndirect
00007fff6bc142e4 (__TEXT,__text) external _glDrawElementsInstanced
00007fff6bc1757d (__TEXT,__text) external _glDrawElementsInstancedARB
00007fff6bc143a2 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00007fff6bc0f5e9 (__TEXT,__text) external _glDrawPixels
00007fff6bc18b64 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00007fff6bc115fd (__TEXT,__text) external _glDrawRangeElements
00007fff6bc1436f (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00007fff6bc17b91 (__TEXT,__text) external _glDrawRangeElementsEXT
00007fff6bc14e7e (__TEXT,__text) external _glDrawTransformFeedback
00007fff6bc14e9c (__TEXT,__text) external _glDrawTransformFeedbackStream
00007fff6bc0f610 (__TEXT,__text) external _glEdgeFlag
00007fff6bc0f62c (__TEXT,__text) external _glEdgeFlagPointer
00007fff6bc0f64b (__TEXT,__text) external _glEdgeFlagv
00007fff6bc18b24 (__TEXT,__text) external _glElementPointerAPPLE
00007fff6bc0f668 (__TEXT,__text) external _glEnable
00007fff6bc0f684 (__TEXT,__text) external _glEnableClientState
00007fff6bc186c2 (__TEXT,__text) external _glEnableIndexedEXT
00007fff6bc1881c (__TEXT,__text) external _glEnableVertexAttribAPPLE
00007fff6bc12e68 (__TEXT,__text) external _glEnableVertexAttribArray
00007fff6bc160ae (__TEXT,__text) external _glEnableVertexAttribArrayARB
00007fff6bc13a87 (__TEXT,__text) external _glEnablei
00007fff6bc0f6a0 (__TEXT,__text) external _glEnd
00007fff6bc13bed (__TEXT,__text) external _glEndConditionalRender
00007fff6bc18e1c (__TEXT,__text) external _glEndConditionalRenderNV
00007fff6bc0f6b7 (__TEXT,__text) external _glEndList
00007fff6bc127d2 (__TEXT,__text) external _glEndQuery
00007fff6bc16d95 (__TEXT,__text) external _glEndQueryARB
00007fff6bc14ede (__TEXT,__text) external _glEndQueryIndexed
00007fff6bc13afd (__TEXT,__text) external _glEndTransformFeedback
00007fff6bc18056 (__TEXT,__text) external _glEndTransformFeedbackEXT
00007fff6bc0f6ce (__TEXT,__text) external _glEvalCoord1d
00007fff6bc0f6e8 (__TEXT,__text) external _glEvalCoord1dv
00007fff6bc0f705 (__TEXT,__text) external _glEvalCoord1f
00007fff6bc0f71f (__TEXT,__text) external _glEvalCoord1fv
00007fff6bc0f73c (__TEXT,__text) external _glEvalCoord2d
00007fff6bc0f756 (__TEXT,__text) external _glEvalCoord2dv
00007fff6bc0f773 (__TEXT,__text) external _glEvalCoord2f
00007fff6bc0f78d (__TEXT,__text) external _glEvalCoord2fv
00007fff6bc0f7aa (__TEXT,__text) external _glEvalMesh1
00007fff6bc0f7cb (__TEXT,__text) external _glEvalMesh2
00007fff6bc0f7f2 (__TEXT,__text) external _glEvalPoint1
00007fff6bc0f80e (__TEXT,__text) external _glEvalPoint2
00007fff6bc0f82c (__TEXT,__text) external _glFeedbackBuffer
00007fff6bc14425 (__TEXT,__text) external _glFenceSync
00007fff6bc18eab (__TEXT,__text) external _glFinalCombinerInputNV
00007fff6bc0f84e (__TEXT,__text) external _glFinish
00007fff6bc189fa (__TEXT,__text) external _glFinishFenceAPPLE
00007fff6bc18a34 (__TEXT,__text) external _glFinishObjectAPPLE
00007fff6bc18bfb (__TEXT,__text) external _glFinishRenderAPPLE
00007fff6bc0f865 (__TEXT,__text) external _glFlush
00007fff6bc13983 (__TEXT,__text) external _glFlushMappedBufferRange
00007fff6bc18c4a (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00007fff6bc18be4 (__TEXT,__text) external _glFlushRenderAPPLE
00007fff6bc18a71 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00007fff6bc1227a (__TEXT,__text) external _glFogCoordPointer
00007fff6bc17b6f (__TEXT,__text) external _glFogCoordPointerEXT
00007fff6bc12243 (__TEXT,__text) external _glFogCoordd
00007fff6bc17b38 (__TEXT,__text) external _glFogCoorddEXT
00007fff6bc1225d (__TEXT,__text) external _glFogCoorddv
00007fff6bc17b52 (__TEXT,__text) external _glFogCoorddvEXT
00007fff6bc1220c (__TEXT,__text) external _glFogCoordf
00007fff6bc17b01 (__TEXT,__text) external _glFogCoordfEXT
00007fff6bc12226 (__TEXT,__text) external _glFogCoordfv
00007fff6bc17b1b (__TEXT,__text) external _glFogCoordfvEXT
00007fff6bc0f87c (__TEXT,__text) external _glFogf
00007fff6bc0f898 (__TEXT,__text) external _glFogfv
00007fff6bc0f8b7 (__TEXT,__text) external _glFogi
00007fff6bc0f8d5 (__TEXT,__text) external _glFogiv
00007fff6bc13858 (__TEXT,__text) external _glFramebufferRenderbuffer
00007fff6bc17e5d (__TEXT,__text) external _glFramebufferRenderbufferEXT
00007fff6bc145f5 (__TEXT,__text) external _glFramebufferTexture
00007fff6bc137d7 (__TEXT,__text) external _glFramebufferTexture1D
00007fff6bc17ddc (__TEXT,__text) external _glFramebufferTexture1DEXT
00007fff6bc137fe (__TEXT,__text) external _glFramebufferTexture2D
00007fff6bc17e03 (__TEXT,__text) external _glFramebufferTexture2DEXT
00007fff6bc13825 (__TEXT,__text) external _glFramebufferTexture3D
00007fff6bc17e2a (__TEXT,__text) external _glFramebufferTexture3DEXT
00007fff6bc17f5c (__TEXT,__text) external _glFramebufferTextureEXT
00007fff6bc17fa7 (__TEXT,__text) external _glFramebufferTextureFaceEXT
00007fff6bc13936 (__TEXT,__text) external _glFramebufferTextureLayer
00007fff6bc17f80 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00007fff6bc0f8f4 (__TEXT,__text) external _glFrontFace
00007fff6bc0f910 (__TEXT,__text) external _glFrustum
00007fff6bc12891 (__TEXT,__text) external _glGenBuffers
00007fff6bc16e54 (__TEXT,__text) external _glGenBuffersARB
00007fff6bc18968 (__TEXT,__text) external _glGenFencesAPPLE
00007fff6bc1379c (__TEXT,__text) external _glGenFramebuffers
00007fff6bc17da1 (__TEXT,__text) external _glGenFramebuffersEXT
00007fff6bc0f92a (__TEXT,__text) external _glGenLists
00007fff6bc15163 (__TEXT,__text) external _glGenProgramPipelines
00007fff6bc15be6 (__TEXT,__text) external _glGenProgramsARB
00007fff6bc1275a (__TEXT,__text) external _glGenQueries
00007fff6bc16d1d (__TEXT,__text) external _glGenQueriesARB
00007fff6bc136de (__TEXT,__text) external _glGenRenderbuffers
00007fff6bc17ce3 (__TEXT,__text) external _glGenRenderbuffersEXT
00007fff6bc1465c (__TEXT,__text) external _glGenSamplers
00007fff6bc0f946 (__TEXT,__text) external _glGenTextures
00007fff6bc14e15 (__TEXT,__text) external _glGenTransformFeedbacks
00007fff6bc139e1 (__TEXT,__text) external _glGenVertexArrays
00007fff6bc18ae9 (__TEXT,__text) external _glGenVertexArraysAPPLE
00007fff6bc138a0 (__TEXT,__text) external _glGenerateMipmap
00007fff6bc17ea5 (__TEXT,__text) external _glGenerateMipmapEXT
00007fff6bc134d4 (__TEXT,__text) external _glGetActiveAttrib
00007fff6bc174ad (__TEXT,__text) external _glGetActiveAttribARB
00007fff6bc14d00 (__TEXT,__text) external _glGetActiveSubroutineName
00007fff6bc14ccd (__TEXT,__text) external _glGetActiveSubroutineUniformName
00007fff6bc14ca6 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00007fff6bc1340a (__TEXT,__text) external _glGetActiveUniform
00007fff6bc173ed (__TEXT,__text) external _glGetActiveUniformARB
00007fff6bc14278 (__TEXT,__text) external _glGetActiveUniformBlockName
00007fff6bc14254 (__TEXT,__text) external _glGetActiveUniformBlockiv
00007fff6bc1420e (__TEXT,__text) external _glGetActiveUniformName
00007fff6bc141e6 (__TEXT,__text) external _glGetActiveUniformsiv
00007fff6bc173a7 (__TEXT,__text) external _glGetAttachedObjectsARB
00007fff6bc13379 (__TEXT,__text) external _glGetAttachedShaders
00007fff6bc13507 (__TEXT,__text) external _glGetAttribLocation
00007fff6bc174de (__TEXT,__text) external _glGetAttribLocationARB
00007fff6bc180e4 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00007fff6bc13a43 (__TEXT,__text) external _glGetBooleani_v
00007fff6bc0f965 (__TEXT,__text) external _glGetBooleanv
00007fff6bc145d3 (__TEXT,__text) external _glGetBufferParameteri64v
00007fff6bc12978 (__TEXT,__text) external _glGetBufferParameteriv
00007fff6bc16f3b (__TEXT,__text) external _glGetBufferParameterivARB
00007fff6bc1299a (__TEXT,__text) external _glGetBufferPointerv
00007fff6bc16f5d (__TEXT,__text) external _glGetBufferPointervARB
00007fff6bc12918 (__TEXT,__text) external _glGetBufferSubData
00007fff6bc16edb (__TEXT,__text) external _glGetBufferSubDataARB
00007fff6bc0f984 (__TEXT,__text) external _glGetClipPlane
00007fff6bc117af (__TEXT,__text) external _glGetColorTable
00007fff6bc17893 (__TEXT,__text) external _glGetColorTableEXT
00007fff6bc117d3 (__TEXT,__text) external _glGetColorTableParameterfv
00007fff6bc178b7 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00007fff6bc117f5 (__TEXT,__text) external _glGetColorTableParameteriv
00007fff6bc178d9 (__TEXT,__text) external _glGetColorTableParameterivEXT
00007fff6bc18eb1 (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00007fff6bc18eb7 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00007fff6bc18ebd (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00007fff6bc18ec3 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00007fff6bc18edb (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00007fff6bc121ce (__TEXT,__text) external _glGetCompressedTexImage
00007fff6bc16ad6 (__TEXT,__text) external _glGetCompressedTexImageARB
00007fff6bc119b1 (__TEXT,__text) external _glGetConvolutionFilter
00007fff6bc119d5 (__TEXT,__text) external _glGetConvolutionParameterfv
00007fff6bc119f7 (__TEXT,__text) external _glGetConvolutionParameteriv
00007fff6bc15b87 (__TEXT,__text) external _glGetDoublei_v
00007fff6bc0f9a3 (__TEXT,__text) external _glGetDoublev
00007fff6bc0f9c2 (__TEXT,__text) external _glGetError
00007fff6bc18ec9 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00007fff6bc18ecf (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00007fff6bc15b65 (__TEXT,__text) external _glGetFloati_v
00007fff6bc0f9d9 (__TEXT,__text) external _glGetFloatv
00007fff6bc1463d (__TEXT,__text) external _glGetFragDataIndex
00007fff6bc13f3b (__TEXT,__text) external _glGetFragDataLocation
00007fff6bc185ac (__TEXT,__text) external _glGetFragDataLocationEXT
00007fff6bc1387c (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00007fff6bc17e81 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00007fff6bc16f9c (__TEXT,__text) external _glGetHandleARB
00007fff6bc11a83 (__TEXT,__text) external _glGetHistogram
00007fff6bc11aaa (__TEXT,__text) external _glGetHistogramParameterfv
00007fff6bc11acc (__TEXT,__text) external _glGetHistogramParameteriv
00007fff6bc17381 (__TEXT,__text) external _glGetInfoLogARB
00007fff6bc145b1 (__TEXT,__text) external _glGetInteger64i_v
00007fff6bc144c3 (__TEXT,__text) external _glGetInteger64v
00007fff6bc180c2 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007fff6bc13a65 (__TEXT,__text) external _glGetIntegeri_v
00007fff6bc0f9f8 (__TEXT,__text) external _glGetIntegerv
00007fff6bc1771d (__TEXT,__text) external _glGetInternalformativ
00007fff6bc0fa17 (__TEXT,__text) external _glGetLightfv
00007fff6bc0fa39 (__TEXT,__text) external _glGetLightiv
00007fff6bc0fa5b (__TEXT,__text) external _glGetMapdv
00007fff6bc0fa7d (__TEXT,__text) external _glGetMapfv
00007fff6bc0fa9f (__TEXT,__text) external _glGetMapiv
00007fff6bc0fac1 (__TEXT,__text) external _glGetMaterialfv
00007fff6bc0fae3 (__TEXT,__text) external _glGetMaterialiv
00007fff6bc11aee (__TEXT,__text) external _glGetMinmax
00007fff6bc11b15 (__TEXT,__text) external _glGetMinmaxParameterfv
00007fff6bc11b37 (__TEXT,__text) external _glGetMinmaxParameteriv
00007fff6bc14571 (__TEXT,__text) external _glGetMultisamplefv
00007fff6bc176d0 (__TEXT,__text) external _glGetNamedStringARB
00007fff6bc176f8 (__TEXT,__text) external _glGetNamedStringivARB
00007fff6bc187a0 (__TEXT,__text) external _glGetObjectLabelEXT
00007fff6bc1733b (__TEXT,__text) external _glGetObjectParameterfvARB
00007fff6bc18caf (__TEXT,__text) external _glGetObjectParameterivAPPLE
00007fff6bc1735e (__TEXT,__text) external _glGetObjectParameterivARB
00007fff6bc0fb05 (__TEXT,__text) external _glGetPixelMapfv
