00000001a4329d90 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a431e038 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001a43195e4 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001a432a77c (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001a432a850 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001a4319338 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001a4323d38 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001a4320064 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001a4317c84 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001a431f31c (__TEXT,__text) non-external +[SPLog exec]
00000001a431f664 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001a431f1e4 (__TEXT,__text) non-external +[SPLog generic]
00000001a431f280 (__TEXT,__text) non-external +[SPLog kext]
00000001a431f3b8 (__TEXT,__text) non-external +[SPLog measurements]
00000001a431f658 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001a431f454 (__TEXT,__text) non-external +[SPLog signposts]
00000001a431f4f0 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001a43269f8 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001a432642c (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001a4325948 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001a432c764 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001a432579c (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001a4325788 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001a4325d3c (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001a4325900 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001a43257b0 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001a4328804 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001a4318e8c (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001a4318db4 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001a4318c58 (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001a4318ae4 (__TEXT,__text) non-external -[AKELData init]
00000001a4318e50 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001a4318d78 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001a43188c0 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001a4318d70 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001a432a020 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001a4329f74 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001a432a034 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001a432a024 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001a4329fd8 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001a432a02c (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001a431dc54 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001a431d3ec (__TEXT,__text) non-external -[BundleData dealloc]
00000001a432b990 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001a431d8c0 (__TEXT,__text) non-external -[BundleData doReload]
00000001a431dc28 (__TEXT,__text) non-external -[BundleData forceReload]
00000001a431d488 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001a431d3d0 (__TEXT,__text) non-external -[BundleData init]
00000001a431dc34 (__TEXT,__text) non-external -[BundleData isSigned]
00000001a431d91c (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001a431dbbc (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001a431d5e0 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001a432ba00 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001a432ba70 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001a431dc4c (__TEXT,__text) non-external -[BundleData timestamp]
00000001a431dc2c (__TEXT,__text) non-external -[BundleData url]
00000001a431dc44 (__TEXT,__text) non-external -[BundleData versionNumber]
00000001a431dc3c (__TEXT,__text) non-external -[BundleData version]
00000001a431e67c (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001a431e658 (__TEXT,__text) non-external -[GKScanResult allowed]
00000001a431e5cc (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001a431e668 (__TEXT,__text) non-external -[GKScanResult gkError]
00000001a431e51c (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001a431e660 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001a431e670 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001a43291a8 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001a43199f4 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001a43199bc (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001a43199a8 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001a4319980 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001a4319994 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001a43199e0 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001a43199c4 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001a43199b0 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001a4319988 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001a431999c (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001a43199e8 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001a43199d8 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001a43199d0 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001a43286b4 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001a4328624 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001a4327d1c (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001a4327dd8 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001a432815c (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001a43281f8 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001a4328098 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001a432864c (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001a4327594 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001a432856c (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001a432800c (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001a4328634 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001a4327ef0 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001a43275f8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001a432c820 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001a432c8b0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001a432c928 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001a432c96c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001a432c9b0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001a432ca28 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001a4327578 (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001a432865c (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001a432868c (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001a4328458 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001a432caac (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00000001a4328674 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001a43283d0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001a432867c (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001a4328414 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001a4327c80 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001a4328644 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001a43286ac (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001a432862c (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001a432860c (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001a432861c (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001a432869c (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001a432851c (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001a4328654 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001a4328694 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001a4328684 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001a43286a4 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001a432866c (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001a4328334 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001a4327fd0 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001a4327f28 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001a4328298 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001a4328664 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001a4328604 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001a432863c (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001a4328614 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001a432a5f8 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001a432a584 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001a432a44c (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001a432a398 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001a432a498 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001a432a56c (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001a432a5e8 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001a432a5e0 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001a432a4b4 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001a432a5f0 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001a431fdf8 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001a431fdd8 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001a431fde8 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001a431fbf0 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001a431fdb8 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001a431f9dc (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001a431f6c8 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a431f6ac (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001a431fdf0 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001a431fdc0 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001a431fde0 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001a431fdc8 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001a431fdd0 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001a4322268 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001a4321cf4 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001a4321c04 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001a4321b98 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001a4321980 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001a43216d4 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001a4321884 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001a4321ee0 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001a4322198 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00000001a4321654 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001a4321fd0 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001a4321b8c (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001a4321728 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001a4321720 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001a4321de4 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001a4321754 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001a43220c0 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00000001a431ee38 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001a431e688 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001a432bb70 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001a432bbb4 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001a432bc40 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001a432bcac (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001a432bd38 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001a432bd7c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001a432be10 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001a431ef2c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001a431e4ac (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001a431e4a4 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001a431e484 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001a431e270 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001a431e040 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001a431dee0 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00000001a431dec4 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001a431e46c (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001a431e49c (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001a431e48c (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001a431e494 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001a431e474 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001a431e47c (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001a4327534 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001a4327234 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001a43271e8 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001a4327118 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00000001a4327394 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00000001a4327380 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00000001a4320020 (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00000001a431ffb8 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00000001a431fe84 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00000001a4320004 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00000001a43240f8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00000001a43240b8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00000001a43240c8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00000001a4323f08 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00000001a4323d40 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00000001a4323bc0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00000001a4323ba4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00000001a43240e8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00000001a43240d8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00000001a43240d0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00000001a43240e0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00000001a43240f0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00000001a43240b0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00000001a43240c0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00000001a43211a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00000001a4320b24 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00000001a4320534 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00000001a432060c (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00000001a43204e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00000001a43204dc (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00000001a4320aec (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00000001a4321198 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00000001a4320490 (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00000001a4320f90 (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00000001a432015c (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00000001a43207bc (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00000001a4320dc4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00000001a4320eb8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00000001a4320b08 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00000001a4320c10 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00000001a432117c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00000001a4321160 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00000001a4321144 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00000001a4321128 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00000001a43206e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00000001a4320ce8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00000001a4321110 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00000001a43210f8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00000001a4321020 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00000001a4320a10 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00000001a4320904 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00000001a4323ab4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00000001a4323648 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00000001a432386c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00000001a4323578 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00000001a43234a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00000001a4323990 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00000001a4318040 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00000001a4317ff8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00000001a4318000 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00000001a4318018 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00000001a4317ff4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00000001a4318008 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00000001a4317ea8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00000001a4317a1c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a4317ca0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00000001a4317b74 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a4317a00 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00000001a4318020 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00000001a4317c8c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00000001a4318038 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
00000001a4318030 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
