                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFAbsoluteTimeGetGregorianDate (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFCalendarComposeAbsoluteTime (from CoreFoundation)
                 (undefined) external _CFCalendarCreateWithIdentifier (from CoreFoundation)
                 (undefined) external _CFCalendarSetTimeZone (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValueIfPresent (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCompare (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFTimeZoneCopyDefault (from CoreFoundation)
                 (undefined) external _CFTimeZoneCreateWithName (from CoreFoundation)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateDeviceRGB (from CoreGraphics)
                 (undefined) external _CGColorSpaceRelease (from CoreGraphics)
                 (undefined) external _CGContextClearRect (from CoreGraphics)
                 (undefined) external _CGContextDrawImage (from CoreGraphics)
                 (undefined) external _CGContextRelease (from CoreGraphics)
                 (undefined) external _CGImageDestinationAddImage (from ImageIO)
                 (undefined) external _CGImageDestinationCreateWithData (from ImageIO)
                 (undefined) external _CGImageDestinationFinalize (from ImageIO)
                 (undefined) external _CGImageGetHeight (from CoreGraphics)
                 (undefined) external _CGImageGetWidth (from CoreGraphics)
                 (undefined) external _CGImageRelease (from CoreGraphics)
                 (undefined) external _CGImageSourceCopyPropertiesAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateImageAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateThumbnailAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateWithData (from ImageIO)
                 (undefined) external _CGImageSourceCreateWithURL (from ImageIO)
00007ff818ae6f68 (__TEXT,__text) external _ICACloseSession
00007ff842e42500 (__DATA,__data) non-external (was a private external) _deprecatedMessage
                 (undefined) external _free (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFGregorianCalendar (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kCGImagePropertyHasAlpha (from ImageIO)
                 (undefined) external _kCGImageSourceCreateThumbnailFromImageIfAbsent (from ImageIO)
                 (undefined) external _kCGImageSourceThumbnailMaxPixelSize (from ImageIO)
00007ff841805b58 (__DATA_CONST,__const) non-external (was a private external) _kICAActualByteCountKey
00007ff8418055c8 (__DATA_CONST,__const) external _kICAAddMetaDataToFinderCommentKey
00007ff8418055d0 (__DATA_CONST,__const) external _kICAAdjustCreationDateKey
00007ff841805538 (__DATA_CONST,__const) external _kICAAudioCodecsKey
00007ff841805550 (__DATA_CONST,__const) external _kICABIPVersionKey
00007ff8418053b0 (__DATA_CONST,__const) external _kICABluetoothAddressKey
00007ff841805468 (__DATA_CONST,__const) non-external (was a private external) _kICABluetoothKey
00007ff841805470 (__DATA_CONST,__const) non-external (was a private external) _kICABluetoothServiceNamesKey
00007ff841805360 (__DATA_CONST,__const) external _kICABluetoothTransportType
00007ff841805620 (__DATA_CONST,__const) non-external (was a private external) _kICABonjourDevicesKey
00007ff8418052d8 (__DATA_CONST,__const) external _kICABonjourServiceNameKey
00007ff8418052d0 (__DATA_CONST,__const) external _kICABonjourServiceTypeKey
00007ff8418052e0 (__DATA_CONST,__const) external _kICABonjourTXTRecordKey
00007ff8418058a0 (__DATA_CONST,__const) non-external (was a private external) _kICACallingProcessSerialNumberHiKey
00007ff8418058a8 (__DATA_CONST,__const) non-external (was a private external) _kICACallingProcessSerialNumberLoKey
00007ff841805ac8 (__DATA_CONST,__const) non-external (was a private external) _kICAChildObjectKey
00007ff8418059f8 (__DATA_CONST,__const) non-external (was a private external) _kICACloseSessionCmd
00007ff8418058d8 (__DATA_CONST,__const) non-external (was a private external) _kICACommandKey
00007ff841805898 (__DATA_CONST,__const) non-external (was a private external) _kICACompletionProcKey
00007ff841805b20 (__DATA_CONST,__const) non-external (was a private external) _kICAConnectionIDKey
00007ff8418055f8 (__DATA_CONST,__const) non-external (was a private external) _kICAConnectionInfoDictionaryKey
00007ff841805a30 (__DATA_CONST,__const) non-external (was a private external) _kICACopyMatchingDeviceDictionariesCmd
00007ff841805a08 (__DATA_CONST,__const) non-external (was a private external) _kICACopyObjectDataCmd
00007ff841805a10 (__DATA_CONST,__const) non-external (was a private external) _kICACopyObjectPropertyDictionaryCmd
00007ff841805a00 (__DATA_CONST,__const) non-external (was a private external) _kICACopyObjectThumbnailCmd
00007ff841805aa8 (__DATA_CONST,__const) non-external (was a private external) _kICACountKey
00007ff8418055c0 (__DATA_CONST,__const) external _kICACreateCustomIconKey
00007ff841805330 (__DATA_CONST,__const) external _kICACreationDateStringKey
00007ff841805b60 (__DATA_CONST,__const) non-external (was a private external) _kICADataKey
00007ff841805bc0 (__DATA_CONST,__const) non-external (was a private external) _kICADataPropertyInfoKey
00007ff841805300 (__DATA_CONST,__const) external _kICADataPropertyKey
00007ff841805310 (__DATA_CONST,__const) external _kICADataSizeKey
00007ff841805308 (__DATA_CONST,__const) external _kICADataTypeKey
00007ff841805b90 (__DATA_CONST,__const) non-external (was a private external) _kICADebugModeKey
00007ff8418055b8 (__DATA_CONST,__const) external _kICADeleteAfterDownloadKey
00007ff841805bc8 (__DATA_CONST,__const) non-external (was a private external) _kICADeleteAfterGetDataKey
00007ff841805390 (__DATA_CONST,__const) external _kICADeviceBrowserDeviceRefKey
00007ff8418052e8 (__DATA_CONST,__const) external _kICADeviceCapabilitiesKey
00007ff841805560 (__DATA_CONST,__const) external _kICADeviceDatabaseKey
00007ff8418053a0 (__DATA_CONST,__const) external _kICADeviceIconPathKey
00007ff841805b28 (__DATA_CONST,__const) non-external (was a private external) _kICADeviceInfoDictionaryKey
00007ff841805440 (__DATA_CONST,__const) non-external (was a private external) _kICADeviceInfoPlistVersionKey
00007ff841805be0 (__DATA_CONST,__const) non-external (was a private external) _kICADeviceIsWiFiConfigurableKey
00007ff841805398 (__DATA_CONST,__const) external _kICADeviceModulePathKey
00007ff841805600 (__DATA_CONST,__const) non-external (was a private external) _kICADeviceModuleVersionKey
00007ff841805570 (__DATA_CONST,__const) external _kICADeviceNameKey
00007ff841805d10 (__DATA_CONST,__const) external _kICADevicePropArtist
00007ff841805c28 (__DATA_CONST,__const) external _kICADevicePropBatteryLevel
00007ff841805ce8 (__DATA_CONST,__const) external _kICADevicePropBurstInterval
00007ff841805ce0 (__DATA_CONST,__const) external _kICADevicePropBurstNumber
00007ff841805cb0 (__DATA_CONST,__const) external _kICADevicePropCaptureDelay
00007ff841805c40 (__DATA_CONST,__const) external _kICADevicePropCompressionSetting
00007ff841805cc0 (__DATA_CONST,__const) external _kICADevicePropContrast
00007ff841805d18 (__DATA_CONST,__const) external _kICADevicePropCopyrightInfo
00007ff841805ca8 (__DATA_CONST,__const) external _kICADevicePropDateTime
00007ff841805cd0 (__DATA_CONST,__const) external _kICADevicePropDigitalZoom
00007ff841805cd8 (__DATA_CONST,__const) external _kICADevicePropEffectMode
00007ff841805ca0 (__DATA_CONST,__const) external _kICADevicePropExposureBiasCompensation
00007ff841805c98 (__DATA_CONST,__const) external _kICADevicePropExposureIndex
00007ff841805c78 (__DATA_CONST,__const) external _kICADevicePropExposureMeteringMode
00007ff841805c90 (__DATA_CONST,__const) external _kICADevicePropExposureProgramMode
00007ff841805c88 (__DATA_CONST,__const) external _kICADevicePropExposureTime
00007ff841805c58 (__DATA_CONST,__const) external _kICADevicePropFNumber
00007ff841805c80 (__DATA_CONST,__const) external _kICADevicePropFlashMode
00007ff841805c60 (__DATA_CONST,__const) external _kICADevicePropFocalLength
00007ff841805c68 (__DATA_CONST,__const) external _kICADevicePropFocusDistance
00007ff841805d00 (__DATA_CONST,__const) external _kICADevicePropFocusMeteringMode
00007ff841805c70 (__DATA_CONST,__const) external _kICADevicePropFocusMode
00007ff841805c30 (__DATA_CONST,__const) external _kICADevicePropFunctionalMode
00007ff841805c38 (__DATA_CONST,__const) external _kICADevicePropImageSize
00007ff841805c50 (__DATA_CONST,__const) external _kICADevicePropRGBGain
00007ff841805cc8 (__DATA_CONST,__const) external _kICADevicePropSharpness
00007ff841805cb8 (__DATA_CONST,__const) external _kICADevicePropStillCaptureMode
00007ff841805cf8 (__DATA_CONST,__const) external _kICADevicePropTimelapseInterval
00007ff841805cf0 (__DATA_CONST,__const) external _kICADevicePropTimelapseNumber
00007ff841805c20 (__DATA_CONST,__const) external _kICADevicePropUndefined
00007ff841805d08 (__DATA_CONST,__const) external _kICADevicePropUploadURL
00007ff841805c48 (__DATA_CONST,__const) external _kICADevicePropWhiteBalance
00007ff8418052b8 (__DATA_CONST,__const) external _kICADeviceSharedKey
00007ff841805428 (__DATA_CONST,__const) external _kICADeviceTypeCamera
00007ff8418052a0 (__DATA_CONST,__const) external _kICADeviceTypeKey
00007ff841805430 (__DATA_CONST,__const) external _kICADeviceTypeScanner
00007ff8418052c8 (__DATA_CONST,__const) external _kICADeviceUsedKey
00007ff8418052c0 (__DATA_CONST,__const) external _kICADeviceWebSharedKey
00007ff841805270 (__DATA_CONST,__const) external _kICADevicesArrayKey
00007ff841805438 (__DATA_CONST,__const) non-external (was a private external) _kICADevicesDictionaryKey
00007ff841805b40 (__DATA_CONST,__const) non-external (was a private external) _kICADictionaryArrayKey
00007ff841805578 (__DATA_CONST,__const) external _kICADirPathKey
00007ff841805568 (__DATA_CONST,__const) external _kICADisplayNameKey
00007ff8418055d8 (__DATA_CONST,__const) external _kICADontEmbedColorSyncProfileKey
00007ff841805a40 (__DATA_CONST,__const) non-external (was a private external) _kICADownloadFileCmd
00007ff841805628 (__DATA_CONST,__const) external _kICAErrorKey
00007ff841805a78 (__DATA_CONST,__const) non-external (was a private external) _kICAEventsOfInterestKey
00007ff8418052a8 (__DATA_CONST,__const) external _kICAExecutableArchitectureKey
00007ff8418058c8 (__DATA_CONST,__const) non-external (was a private external) _kICAExtensionCommandHandlerObjectKey
00007ff8418058b8 (__DATA_CONST,__const) non-external (was a private external) _kICAExtensionProcessSerialNumberHiKey
00007ff8418058c0 (__DATA_CONST,__const) non-external (was a private external) _kICAExtensionProcessSerialNumberLoKey
00007ff8418055a8 (__DATA_CONST,__const) external _kICAFileCreatorKey
00007ff841805b98 (__DATA_CONST,__const) non-external (was a private external) _kICAFilePathKey
00007ff8418055a0 (__DATA_CONST,__const) external _kICAFileTypeKey
00007ff841805598 (__DATA_CONST,__const) external _kICAFileUTTypeKey
00007ff8418053c0 (__DATA_CONST,__const) external _kICAFireWireGUIDKey
00007ff841805460 (__DATA_CONST,__const) non-external (was a private external) _kICAFireWireKey
00007ff841805358 (__DATA_CONST,__const) external _kICAFireWireTransportType
00007ff841805bd0 (__DATA_CONST,__const) non-external (was a private external) _kICAFlagsKey
00007ff8418058f0 (__DATA_CONST,__const) non-external (was a private external) _kICAGetChildCountCmd
00007ff8418058e8 (__DATA_CONST,__const) non-external (was a private external) _kICAGetDeviceListCmd
00007ff8418058f8 (__DATA_CONST,__const) non-external (was a private external) _kICAGetNthChildCmd
00007ff841805930 (__DATA_CONST,__const) non-external (was a private external) _kICAGetNthPropertyCmd
00007ff841805900 (__DATA_CONST,__const) non-external (was a private external) _kICAGetObjectInfoCmd
00007ff841805918 (__DATA_CONST,__const) non-external (was a private external) _kICAGetObjectRefConCmd
00007ff841805908 (__DATA_CONST,__const) non-external (was a private external) _kICAGetParentOfObjectCmd
00007ff841805958 (__DATA_CONST,__const) non-external (was a private external) _kICAGetParentOfPropertyCmd
00007ff841805938 (__DATA_CONST,__const) non-external (was a private external) _kICAGetPropertyByTypeCmd
00007ff841805928 (__DATA_CONST,__const) non-external (was a private external) _kICAGetPropertyCountCmd
00007ff841805948 (__DATA_CONST,__const) non-external (was a private external) _kICAGetPropertyDataCmd
00007ff841805940 (__DATA_CONST,__const) non-external (was a private external) _kICAGetPropertyInfoCmd
00007ff841805968 (__DATA_CONST,__const) non-external (was a private external) _kICAGetPropertyRefConCmd
00007ff841805910 (__DATA_CONST,__const) non-external (was a private external) _kICAGetRootOfObjectCmd
00007ff841805960 (__DATA_CONST,__const) non-external (was a private external) _kICAGetRootOfPropertyCmd
00007ff8418053c8 (__DATA_CONST,__const) external _kICAIOServicePathKey
00007ff8418053d0 (__DATA_CONST,__const) external _kICAIPAddressKey
00007ff8418053e8 (__DATA_CONST,__const) external _kICAIPGUIDKey
00007ff8418053e0 (__DATA_CONST,__const) external _kICAIPNameKey
00007ff8418053d8 (__DATA_CONST,__const) external _kICAIPPortKey
00007ff841805480 (__DATA_CONST,__const) external _kICAIconFilePathKey
00007ff841805ac0 (__DATA_CONST,__const) non-external (was a private external) _kICAIndexKey
00007ff841805530 (__DATA_CONST,__const) external _kICAInstancesKey
00007ff8418055e0 (__DATA_CONST,__const) external _kICAKeywordsKey
00007ff841805a18 (__DATA_CONST,__const) non-external (was a private external) _kICALoadDeviceModuleCmd
00007ff841805608 (__DATA_CONST,__const) non-external (was a private external) _kICALocalDevicesKey
00007ff8418052f0 (__DATA_CONST,__const) external _kICALockStatusKey
00007ff8418055f0 (__DATA_CONST,__const) non-external (was a private external) _kICAMaintainFileLockedStateKey
00007ff841805388 (__DATA_CONST,__const) external _kICAManualConnectDeviceRefKey
00007ff841805380 (__DATA_CONST,__const) non-external (was a private external) _kICAMassStorageTransportType
00007ff841805b88 (__DATA_CONST,__const) non-external (was a private external) _kICAMatchCriteriaDictionaryKey
00007ff841805348 (__DATA_CONST,__const) external _kICAMediaDurationInSecondsKey
00007ff8418054b0 (__DATA_CONST,__const) external _kICAMediaFormatsKey
00007ff8418054c0 (__DATA_CONST,__const) external _kICAMediaHeightKey
00007ff8418054d0 (__DATA_CONST,__const) external _kICAMediaMaxDurationKey
00007ff8418054b8 (__DATA_CONST,__const) external _kICAMediaSizesKey
00007ff8418054c8 (__DATA_CONST,__const) external _kICAMediaWidthKey
00007ff841805ba0 (__DATA_CONST,__const) non-external (was a private external) _kICAMessageTypeKey
00007ff841805490 (__DATA_CONST,__const) external _kICAModelNameKey
00007ff841805338 (__DATA_CONST,__const) external _kICAModificationDateStringKey
00007ff841805448 (__DATA_CONST,__const) non-external (was a private external) _kICAMovieExtensionsKey
00007ff841805718 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationBatteryLevelKey
00007ff841805658 (__DATA_CONST,__const) external _kICANotificationClassKey
00007ff841805878 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationClassOldStyleKey
00007ff841805880 (__DATA_CONST,__const) external _kICANotificationClassPTPStandard
00007ff841805888 (__DATA_CONST,__const) external _kICANotificationClassPTPVendor
00007ff841805890 (__DATA_CONST,__const) external _kICANotificationClassProprietary
00007ff841805688 (__DATA_CONST,__const) external _kICANotificationDataCookieKey
00007ff8418056e0 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationDataIsBigEndianKey
00007ff841805678 (__DATA_CONST,__const) external _kICANotificationDataKey
00007ff841805680 (__DATA_CONST,__const) external _kICANotificationDataSizeKey
00007ff841805708 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationDeviceBrowserDictionaryKey
00007ff841805648 (__DATA_CONST,__const) external _kICANotificationDeviceICAObjectKey
00007ff841805710 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationDeviceInfoDictionaryKey
00007ff841805650 (__DATA_CONST,__const) external _kICANotificationDeviceListICAObjectKey
00007ff841805638 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationDictionaryKey
00007ff841805ba8 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationExtdEventTypeKey
00007ff8418057e0 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationICAObjectArrayKey
00007ff841805640 (__DATA_CONST,__const) external _kICANotificationICAObjectKey
00007ff8418056b8 (__DATA_CONST,__const) external _kICANotificationImageBytesPerRowKey
00007ff8418056d0 (__DATA_CONST,__const) external _kICANotificationImageDataKey
00007ff8418056d8 (__DATA_CONST,__const) external _kICANotificationImageDataSizeKey
00007ff8418056b0 (__DATA_CONST,__const) external _kICANotificationImageHeightKey
00007ff8418056a0 (__DATA_CONST,__const) external _kICANotificationImageKey
00007ff8418056c8 (__DATA_CONST,__const) external _kICANotificationImageNumberOfRowsKey
00007ff8418056c0 (__DATA_CONST,__const) external _kICANotificationImageStartRowKey
00007ff8418056a8 (__DATA_CONST,__const) external _kICANotificationImageWidthKey
00007ff8418056f8 (__DATA_CONST,__const) external _kICANotificationNumerOfImagesRemainingKey
