00000001940d9554 (__TEXT,__text) non-external +[CalAlarm alarm]
00000001940da400 (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
00000001940d95f0 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
00000001940d9864 (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
00000001940d95ec (__TEXT,__text) non-external -[CalAlarm setAction:]
00000001940deeec (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
00000001940d9874 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
00000001940de7f0 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
00000001940def00 (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
00000001940d95f8 (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
00000001940d986c (__TEXT,__text) non-external -[CalAlarm setSound:]
00000001940def14 (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
00000001940d987c (__TEXT,__text) non-external -[CalAlarm setUrl:]
00000001940da3f0 (__TEXT,__text) non-external -[CalAlarm sound]
00000001940de8ec (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00000001940def0c (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
00000001940da3e8 (__TEXT,__text) non-external -[CalAlarm url]
00000001940dae90 (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00000001940da8d4 (__TEXT,__text) non-external -[CalAttendee address]
00000001940da8dc (__TEXT,__text) non-external -[CalAttendee commonName]
00000001940dae18 (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00000001940da7fc (__TEXT,__text) non-external -[CalAttendee description]
00000001940dae7c (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00000001940dab64 (__TEXT,__text) non-external -[CalAttendee hash]
00000001940daac4 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00000001940dab6c (__TEXT,__text) non-external -[CalAttendee isEqual:]
00000001940dae84 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00000001940da8e4 (__TEXT,__text) non-external -[CalAttendee status]
00000001940de744 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00000001940da20c (__TEXT,__text) non-external -[CalCalendar color]
00000001940de6d4 (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00000001940da084 (__TEXT,__text) non-external -[CalCalendar description]
00000001940de730 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00000001940de2c4 (__TEXT,__text) non-external -[CalCalendar hash]
00000001940de224 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00000001940de144 (__TEXT,__text) non-external -[CalCalendar init]
00000001940d885c (__TEXT,__text) non-external -[CalCalendar isEditable]
00000001940de2cc (__TEXT,__text) non-external -[CalCalendar isEqual:]
00000001940da1b4 (__TEXT,__text) non-external -[CalCalendar notes]
00000001940d8854 (__TEXT,__text) non-external -[CalCalendar setColor:]
00000001940de738 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00000001940d884c (__TEXT,__text) non-external -[CalCalendar setNotes:]
00000001940d8844 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00000001940da1ac (__TEXT,__text) non-external -[CalCalendar title]
00000001940da214 (__TEXT,__text) non-external -[CalCalendar type]
00000001940d8dc8 (__TEXT,__text) non-external -[CalCalendar uid]
00000001940e2234 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00000001940d9670 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00000001940e1564 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00000001940d9e84 (__TEXT,__text) non-external -[CalCalendarItem alarms]
00000001940d9e14 (__TEXT,__text) non-external -[CalCalendarItem calendar]
00000001940e21b0 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00000001940d9df4 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00000001940d9ca4 (__TEXT,__text) non-external -[CalCalendarItem description]
00000001940e220c (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00000001940e1554 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00000001940e21a8 (__TEXT,__text) non-external -[CalCalendarItem hash]
00000001940e1428 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00000001940e18fc (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00000001940e155c (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00000001940d9e04 (__TEXT,__text) non-external -[CalCalendarItem notes]
00000001940e165c (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00000001940e16b0 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00000001940e17a8 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00000001940d9748 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00000001940e2214 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00000001940d8ea0 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00000001940d8dd0 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00000001940e2228 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00000001940d8ea8 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00000001940e1f04 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00000001940d9dfc (__TEXT,__text) non-external -[CalCalendarItem title]
00000001940d9dec (__TEXT,__text) non-external -[CalCalendarItem uid]
00000001940e2220 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00000001940d9e0c (__TEXT,__text) non-external -[CalCalendarItem url]
00000001940de108 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00000001940dc6ac (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00000001940dc6b4 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00000001940db178 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00000001940d85f8 (__TEXT,__text) non-external -[CalCalendarStore calendars]
00000001940db174 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00000001940db930 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00000001940de0f4 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00000001940db264 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00000001940d8bc0 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00000001940dc848 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00000001940db61c (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00000001940daeec (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00000001940daeac (__TEXT,__text) non-external -[CalCalendarStore init]
00000001940dcf04 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00000001940dbddc (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00000001940dc484 (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00000001940dc964 (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00000001940db948 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00000001940dc0fc (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00000001940de0fc (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00000001940db530 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00000001940db36c (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00000001940df8e4 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00000001940da658 (__TEXT,__text) non-external -[CalEvent attendees]
00000001940d9a94 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00000001940d9b1c (__TEXT,__text) non-external -[CalEvent description]
00000001940df038 (__TEXT,__text) non-external -[CalEvent ekEvent]
00000001940da51c (__TEXT,__text) non-external -[CalEvent endDate]
00000001940defa0 (__TEXT,__text) non-external -[CalEvent init]
00000001940da574 (__TEXT,__text) non-external -[CalEvent isAllDay]
00000001940df734 (__TEXT,__text) non-external -[CalEvent isDetached]
00000001940df040 (__TEXT,__text) non-external -[CalEvent isEqual:]
00000001940da4c4 (__TEXT,__text) non-external -[CalEvent location]
00000001940df774 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00000001940da418 (__TEXT,__text) non-external -[CalEvent occurrence]
00000001940da5b4 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00000001940df03c (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00000001940df8d0 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00000001940d8e3c (__TEXT,__text) non-external -[CalEvent setEndDate:]
00000001940d8f14 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00000001940d8eb0 (__TEXT,__text) non-external -[CalEvent setLocation:]
00000001940d9080 (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00000001940d8dd8 (__TEXT,__text) non-external -[CalEvent setStartDate:]
00000001940df574 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00000001940d8f60 (__TEXT,__text) non-external -[CalEvent startDate]
00000001940e0e80 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00000001940e0d98 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00000001940e0e5c (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00000001940e0c1c (__TEXT,__text) non-external -[CalNthWeekDay description]
00000001940e0e6c (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00000001940e0cd8 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00000001940e0b7c (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00000001940e0ce0 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00000001940e0e74 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00000001940e0e64 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00000001940daab0 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00000001940da9e0 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00000001940d8afc (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00000001940daa3c (__TEXT,__text) non-external -[CalPredicate predicate]
00000001940da9cc (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00000001940da9bc (__TEXT,__text) non-external -[CalPredicate subpredicate]
00000001940e141c (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00000001940e11b4 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00000001940e0f6c (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00000001940e1408 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00000001940e13f8 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00000001940e1078 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00000001940e1358 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00000001940e1208 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00000001940e12b8 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00000001940e1080 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00000001940e1400 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00000001940e1410 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00000001940e0f30 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00000001940e0b70 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00000001940d910c (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00000001940d9334 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00000001940d9198 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00000001940da920 (__TEXT,__text) non-external -[CalRecurrenceRule description]
00000001940e0b5c (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00000001940e0b54 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00000001940dffa0 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00000001940d8fb8 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00000001940df998 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00000001940dfb54 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00000001940dfa60 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00000001940d979c (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00000001940d9884 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00000001940df8f8 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00000001940dfc90 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00000001940dfe4c (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00000001940dfd58 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00000001940dffa8 (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00000001940d94dc (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00000001940d933c (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00000001940d94e4 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00000001940d9190 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00000001940d9168 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00000001940e0b64 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00000001940e0514 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00000001940e2a3c (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00000001940e23d4 (__TEXT,__text) non-external -[CalTask completedDate]
00000001940e272c (__TEXT,__text) non-external -[CalTask description]
00000001940e2490 (__TEXT,__text) non-external -[CalTask dueDate]
00000001940e2340 (__TEXT,__text) non-external -[CalTask ekReminder]
00000001940e22a8 (__TEXT,__text) non-external -[CalTask init]
00000001940e2348 (__TEXT,__text) non-external -[CalTask isCompleted]
00000001940e2820 (__TEXT,__text) non-external -[CalTask isEqual:]
00000001940e25d8 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00000001940e254c (__TEXT,__text) non-external -[CalTask priority]
00000001940e242c (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00000001940e24e8 (__TEXT,__text) non-external -[CalTask setDueDate:]
00000001940e2344 (__TEXT,__text) non-external -[CalTask setEKReminder:]
00000001940e2a28 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00000001940e2388 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00000001940e258c (__TEXT,__text) non-external -[CalTask setPriority:]
00000001940e4058 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001940e406c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001940e4084 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001dcc54f18 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00000001dcc54f20 (__DATA_CONST,__const) external _CalAlarmActionEmail
00000001dcc54f28 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00000001dcc54f30 (__DATA_CONST,__const) external _CalAlarmActionSound
00000001dcc54dd8 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00000001dcc54df8 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00000001dcc54de0 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00000001dcc54df0 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00000001dcc54e00 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00000001dcc54dd0 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00000001dcc54de8 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00000001dcc54ea0 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00000001dcc54ea8 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00000001dcc54eb0 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00000001dcc54ed0 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00000001dcc54eb8 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00000001dcc54ec0 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00000001dcc54ec8 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00000001dcc54ed8 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00000001dcc54ee0 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00000001dcc54e60 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00000001dcc54e48 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00000001940e40a8 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00000001dcc54e88 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00000001dcc54e68 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00000001dcc54e50 (__DATA_CONST,__const) external _CalEventsChangedNotification
00000001dcc54e78 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001dcc54e90 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001dcc54fa8 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00000001dcc54e70 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001dcc54e58 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001dcc54e80 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001dcc54e98 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00000001d7e07168 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001d7e07078 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001d7e07118 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001d7e072f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001d7e070c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001d7e071b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001d7e07258 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001d7e07028 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
00000001d7e072a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001d7e07208 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00000001d7e07348 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00000001d681baf8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00000001d681bafc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00000001d681bb00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00000001d681baec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00000001d681baf4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00000001d681bb14 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00000001d681bb18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00000001d681baf0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00000001d681bb04 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00000001d681bb0c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00000001d681bae8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001d681bb10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00000001d681bb08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00000001d681bb1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00000001d7e07190 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001d7e070a0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001d7e07140 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001d7e07320 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001d7e070f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00000001d7e071e0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEvent
00000001d7e07280 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00000001d7e07050 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00000001d7e072d0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00000001d7e07230 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
00000001d7e07370 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalTask
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
