000000018035f80c (__TEXT,__text) external _OSAtomicAdd32
000000018035fff8 (__TEXT,__text) external __platform_strncpy
0000000180360720 (__TEXT,__text) external __platform_strnlen
000000018035fe3c (__TEXT,__text) external __platform_strstr
000000018035bfcc (__TEXT,__text) non-external __platform_task_deallocate
000000018035c554 (__TEXT,__text) non-external __platform_thread_deallocate
0000000180361000 (__TEXT,__text) non-external (was a private external) __setcontext
000000018035fcf0 (__TEXT,__text) external __setjmp
000000018035fc28 (__TEXT,__text) non-external (was a private external) __sigtramp
000000018035fc0c (__TEXT,__text) non-external (was a private external) __sigunaltstack
000000018035c834 (__TEXT,__text) non-external __simple_asl_escape_key
000000018035c8a8 (__TEXT,__text) non-external __simple_asl_escape_val
000000018035ca30 (__TEXT,__text) external __simple_asl_log
000000018035c950 (__TEXT,__text) external __simple_asl_log_prog
000000018035c6a4 (__TEXT,__text) external __simple_asl_msg_new
000000018035c6f0 (__TEXT,__text) external __simple_asl_msg_set
000000018035c908 (__TEXT,__text) external __simple_asl_send
000000018035d380 (__TEXT,__text) external __simple_dprintf
000000018035d6d0 (__TEXT,__text) external __simple_esappend
000000018035d5f0 (__TEXT,__text) external __simple_esprintf
000000018035c5f8 (__TEXT,__text) external __simple_getenv
000000018035c5c8 (__TEXT,__text) external __simple_memcmp
000000018035d7a0 (__TEXT,__text) external __simple_put
000000018035d7a8 (__TEXT,__text) external __simple_putline
000000018035d3ac (__TEXT,__text) external __simple_salloc
000000018035d664 (__TEXT,__text) external __simple_sappend
000000018035d7f0 (__TEXT,__text) external __simple_sfree
000000018035d5b8 (__TEXT,__text) external __simple_sprintf
000000018035d630 (__TEXT,__text) external __simple_sresize
000000018035d620 (__TEXT,__text) external __simple_string
000000018035ca38 (__TEXT,__text) external __simple_vdprintf
000000018035d59c (__TEXT,__text) external __simple_vesprintf
000000018035d574 (__TEXT,__text) external __simple_vsprintf
000000018035e85c (__TEXT,__text) external __spin_lock
000000018035e890 (__TEXT,__text) external __spin_lock_try
000000018035e8a8 (__TEXT,__text) external __spin_unlock
00000001843a4000 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
000000018035d884 (__TEXT,__text) non-external _dec
00000001803604e8 (__TEXT,__text) external _ffs
0000000180360500 (__TEXT,__text) external _ffsl
0000000180360500 (__TEXT,__text) external _ffsll
0000000180360518 (__TEXT,__text) external _fls
0000000180360528 (__TEXT,__text) external _flsl
0000000180360528 (__TEXT,__text) external _flsll
00000001843a16f8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001803610c4 (__TEXT,__text) external _getcontext
                 (undefined) external _getrlimit (from libsystem_kernel)
000000018035dd78 (__TEXT,__text) non-external _hex
                 (undefined) external _log_data_as_kernel (from libsystem_kernel)
000000018035fe00 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_port_mod_refs (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_allocate (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
                 (undefined) external _mach_vm_read (from libsystem_kernel)
                 (undefined) external _mach_vm_remap (from libsystem_kernel)
0000000180360d94 (__TEXT,__text) external _makecontext
000000018035ff78 (__TEXT,__text) non-external (was a private external) _memset
000000018035dba4 (__TEXT,__text) non-external _oct
000000018035e6e8 (__TEXT,__text) external _os_lock_lock
000000018035e6f8 (__TEXT,__text) external _os_lock_trylock
000000018035e708 (__TEXT,__text) external _os_lock_unlock
000000018035ece4 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180361338 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
000000018035ecb4 (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180361310 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
000000018035ea0c (__TEXT,__text) external _os_unfair_lock_lock
000000018035ec88 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
000000018035eb80 (__TEXT,__text) external _os_unfair_lock_lock_with_options
000000018035eba0 (__TEXT,__text) external _os_unfair_lock_trylock
000000018035ebbc (__TEXT,__text) external _os_unfair_lock_unlock
000000018035eca0 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
000000018035ed30 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
000000018035ed14 (__TEXT,__text) external _os_unfair_recursive_lock_owned
000000018035ed6c (__TEXT,__text) external _os_unfair_recursive_lock_trylock
000000018035ee1c (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
000000018035edb0 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
000000018035ee9c (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
0000000180361360 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
                 (undefined) external _pid_for_task (from libsystem_kernel)
000000018035be74 (__TEXT,__text) external _platform_task_attach
000000018035c3c0 (__TEXT,__text) external _platform_task_copy_next_thread
000000018035c0a4 (__TEXT,__text) external _platform_task_detach
000000018035c0a8 (__TEXT,__text) external _platform_task_is_64_bit
000000018035c0c4 (__TEXT,__text) external _platform_task_perform
000000018035c0bc (__TEXT,__text) external _platform_task_resume_threads
000000018035c0b4 (__TEXT,__text) external _platform_task_suspend_threads
000000018035c0cc (__TEXT,__text) external _platform_task_update_threads
000000018035c488 (__TEXT,__text) external _platform_thread_abort_safely
000000018035c54c (__TEXT,__text) external _platform_thread_get_pthread
000000018035c4ec (__TEXT,__text) external _platform_thread_get_state
000000018035c460 (__TEXT,__text) external _platform_thread_get_unique_id
000000018035c4a0 (__TEXT,__text) external _platform_thread_info
000000018035c544 (__TEXT,__text) external _platform_thread_perform
000000018035c468 (__TEXT,__text) external _platform_thread_release
000000018036114c (__TEXT,__text) non-external _platform_thread_release.cold.1
000000018035c498 (__TEXT,__text) external _platform_thread_resume
000000018035c538 (__TEXT,__text) external _platform_thread_set_state
000000018035c490 (__TEXT,__text) external _platform_thread_suspend
0000000180360efc (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180360f98 (__TEXT,__text) external _setcontext
000000018035fdc0 (__TEXT,__text) external _setjmp
000000018035fdf4 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
000000018035fdb4 (__TEXT,__text) external _sigsetjmp
000000018035e85c (__TEXT,__text) external _spin_lock
000000018035e890 (__TEXT,__text) external _spin_lock_try
000000018035e8a8 (__TEXT,__text) external _spin_unlock
0000000180360cd8 (__TEXT,__text) external _swapcontext
000000018035e640 (__TEXT,__text) external _sys_cache_control
000000018035e6e0 (__TEXT,__text) external _sys_dcache_flush
000000018035e68c (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _task_threads (from libsystem_kernel)
                 (undefined) external _thread_abort_safely (from libsystem_kernel)
                 (undefined) external _thread_get_state (from libsystem_kernel)
                 (undefined) external _thread_info (from libsystem_kernel)
                 (undefined) external _thread_resume (from libsystem_kernel)
                 (undefined) external _thread_set_state (from libsystem_kernel)
                 (undefined) external _thread_suspend (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
000000018035e0d4 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
000000018035e2b8 (__TEXT,__text) non-external _ydec
