000000018e9a7308 (__TEXT,__const) non-external _KW_ANY
000000018e99798c (__TEXT,__text) non-external _entity9
000000018e9930b8 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018e9964bc (__TEXT,__text) non-external _entityTrackingReportStats
000000018e9a64a0 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018e9967e4 (__TEXT,__text) non-external _entityValueInitProcessor
000000018e996ae0 (__TEXT,__text) non-external _entityValueProcessor
000000018e9951f0 (__TEXT,__text) non-external _epilogProcessor
000000018e9970b4 (__TEXT,__text) non-external _error
000000018e98f230 (__TEXT,__text) non-external _errorProcessor
000000018e995d5c (__TEXT,__text) non-external _externalEntityContentProcessor
000000018e98eb10 (__TEXT,__text) non-external _externalEntityInitProcessor
000000018e9965b8 (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018e9966d4 (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018e98eb8c (__TEXT,__text) non-external _externalParEntInitProcessor
000000018e9969a8 (__TEXT,__text) non-external _externalParEntProcessor
000000018e996f28 (__TEXT,__text) non-external _externalSubset0
000000018e997b3c (__TEXT,__text) non-external _externalSubset1
000000018e999a34 (__TEXT,__text) non-external _findEncoding
000000018e999c70 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018e995190 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018e9920f8 (__TEXT,__text) non-external _getAttributeId
000000018e9943ec (__TEXT,__text) non-external _getContext
000000018e98fb94 (__TEXT,__text) non-external _getDebugLevel
000000018e992068 (__TEXT,__text) non-external _getElementType
000000018e999630 (__TEXT,__text) non-external _getEncodingIndex
00000001e4df39f0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018e98fd18 (__TEXT,__text) non-external _handleUnknownEncoding
000000018e9933a8 (__TEXT,__text) non-external _hash
000000018e996ba8 (__TEXT,__text) non-external _hashTableDestroy
000000018e992d44 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018e9a7239 (__TEXT,__const) non-external _implicitContext
000000018e9a1f04 (__TEXT,__text) non-external _initScan
000000018e9996b4 (__TEXT,__text) non-external _initScanContent
000000018e999bf4 (__TEXT,__text) non-external _initScanContentNS
000000018e999694 (__TEXT,__text) non-external _initScanProlog
000000018e999bd4 (__TEXT,__text) non-external _initScanPrologNS
000000018e9996d4 (__TEXT,__text) non-external _initUpdatePosition
000000018e98fc0c (__TEXT,__text) non-external _initializeEncoding
000000018e996260 (__TEXT,__text) non-external _internalEntityProcessor
000000018e9971d4 (__TEXT,__text) non-external _internalSubset
00000001ee1774c8 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001ee177868 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001ee1772f8 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001ee177698 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018e99de98 (__TEXT,__text) non-external _isNever
00000001ee177128 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001ee178178 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018e99c4d4 (__TEXT,__text) non-external _latin1_toUtf16
000000018e99c43c (__TEXT,__text) non-external _latin1_toUtf8
000000018e99f7ec (__TEXT,__text) non-external _little2_attributeValueTok
000000018e99f37c (__TEXT,__text) non-external _little2_cdataSectionTok
000000018e9a0040 (__TEXT,__text) non-external _little2_charRefNumber
000000018e9a1438 (__TEXT,__text) non-external _little2_checkPiTarget
000000018e99e850 (__TEXT,__text) non-external _little2_contentTok
00000001ee177dd8 (__AUTH_CONST,__const) non-external _little2_encoding
00000001ee1786e8 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018e99f958 (__TEXT,__text) non-external _little2_entityValueTok
000000018e99fc1c (__TEXT,__text) non-external _little2_getAtts
000000018e99f61c (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018e9a0378 (__TEXT,__text) non-external _little2_isPublicId
000000018e99fb28 (__TEXT,__text) non-external _little2_nameLength
000000018e99fadc (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018e9a011c (__TEXT,__text) non-external _little2_predefinedEntityName
000000018e99e05c (__TEXT,__text) non-external _little2_prologTok
000000018e9a1814 (__TEXT,__text) non-external _little2_scanAtts
000000018e9a129c (__TEXT,__text) non-external _little2_scanComment
000000018e9a07bc (__TEXT,__text) non-external _little2_scanDecl
000000018e9a0640 (__TEXT,__text) non-external _little2_scanLit
000000018e9a0dac (__TEXT,__text) non-external _little2_scanPercent
000000018e9a0948 (__TEXT,__text) non-external _little2_scanPi
000000018e9a102c (__TEXT,__text) non-external _little2_scanPoundName
000000018e9a14d4 (__TEXT,__text) non-external _little2_scanRef
000000018e99fbc8 (__TEXT,__text) non-external _little2_skipS
000000018e9a05c0 (__TEXT,__text) non-external _little2_toUtf16
000000018e9a042c (__TEXT,__text) non-external _little2_toUtf8
000000018e9a0274 (__TEXT,__text) non-external _little2_updatePosition
000000018e991c28 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018e9a7918 (__TEXT,__const) non-external _namePages
000000018e9a7318 (__TEXT,__const) non-external _namingBitmap
000000018e992df4 (__TEXT,__text) non-external _nextScaffoldPart
000000018e9a7818 (__TEXT,__const) non-external _nmstrtPages
000000018e99ba0c (__TEXT,__text) non-external _normal_attributeValueTok
000000018e99b578 (__TEXT,__text) non-external _normal_cdataSectionTok
000000018e99c0dc (__TEXT,__text) non-external _normal_charRefNumber
000000018e99d108 (__TEXT,__text) non-external _normal_checkPiTarget
000000018e99a8e8 (__TEXT,__text) non-external _normal_contentTok
000000018e99bb78 (__TEXT,__text) non-external _normal_entityValueTok
000000018e99bda4 (__TEXT,__text) non-external _normal_getAtts
000000018e99b834 (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018e99c390 (__TEXT,__text) non-external _normal_isPublicId
000000018e99bd1c (__TEXT,__text) non-external _normal_nameLength
000000018e99bcd8 (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018e99c1b8 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018e999da0 (__TEXT,__text) non-external _normal_prologTok
000000018e99d4ec (__TEXT,__text) non-external _normal_scanAtts
000000018e99cf64 (__TEXT,__text) non-external _normal_scanComment
000000018e99c6dc (__TEXT,__text) non-external _normal_scanDecl
000000018e99c528 (__TEXT,__text) non-external _normal_scanLit
000000018e99cca8 (__TEXT,__text) non-external _normal_scanPercent
000000018e99c844 (__TEXT,__text) non-external _normal_scanPi
000000018e99d18c (__TEXT,__text) non-external _normal_scanRef
000000018e99bd68 (__TEXT,__text) non-external _normal_skipS
000000018e99c2a0 (__TEXT,__text) non-external _normal_updatePosition
000000018e996560 (__TEXT,__text) non-external _normalizeLines
000000018e991f7c (__TEXT,__text) non-external _normalizePublicId
000000018e99766c (__TEXT,__text) non-external _notation0
000000018e998b88 (__TEXT,__text) non-external _notation1
000000018e998cc8 (__TEXT,__text) non-external _notation2
000000018e998c60 (__TEXT,__text) non-external _notation3
000000018e998d28 (__TEXT,__text) non-external _notation4
000000018e9a6010 (__TEXT,__text) non-external _parsePseudoAttribute
000000018e98d910 (__TEXT,__text) non-external _parserCreate
000000018e98df0c (__TEXT,__text) non-external _parserInit
000000018e992318 (__TEXT,__text) non-external _poolAppend
000000018e98ed8c (__TEXT,__text) non-external _poolCopyString
000000018e98ec5c (__TEXT,__text) non-external _poolDestroy
000000018e9924cc (__TEXT,__text) non-external _poolGrow
000000018e991bcc (__TEXT,__text) non-external _poolStoreString
000000018e992efc (__TEXT,__text) non-external _processInternalEntity
000000018e9918b0 (__TEXT,__text) non-external _processXmlDecl
000000018e996df4 (__TEXT,__text) non-external _prolog0
000000018e996f4c (__TEXT,__text) non-external _prolog1
000000018e9973bc (__TEXT,__text) non-external _prolog2
000000018e98fb18 (__TEXT,__text) non-external _prologInitProcessor
000000018e98fc90 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018e993234 (__TEXT,__text) non-external _reportComment
000000018e98f954 (__TEXT,__text) non-external _reportDefault
000000018e993104 (__TEXT,__text) non-external _reportProcessingInstruction
000000018e98e648 (__TEXT,__text) non-external _setContext
000000018e9957d4 (__TEXT,__text) non-external _setElementTypePrefix
000000018e99358c (__TEXT,__text) non-external _sip24_final
000000018e993498 (__TEXT,__text) non-external _sip24_update
000000018e993698 (__TEXT,__text) non-external _sip_round
000000018e98f188 (__TEXT,__text) non-external _startParsing
000000018e992688 (__TEXT,__text) non-external _storeAttributeValue
000000018e99472c (__TEXT,__text) non-external _storeAtts
000000018e992718 (__TEXT,__text) non-external _storeEntityValue
000000018e994300 (__TEXT,__text) non-external _storeRawNames
000000018e9a1eac (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018e98faec (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018e98faf8 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018e9993b0 (__TEXT,__text) non-external _unknown_isInvalid
000000018e9992e8 (__TEXT,__text) non-external _unknown_isName
000000018e99934c (__TEXT,__text) non-external _unknown_isNmstrt
000000018e9994dc (__TEXT,__text) non-external _unknown_toUtf16
000000018e9993e4 (__TEXT,__text) non-external _unknown_toUtf8
000000018e98fb04 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001ee177a38 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001ee178348 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018e99df34 (__TEXT,__text) non-external _utf8_isInvalid2
000000018e99df68 (__TEXT,__text) non-external _utf8_isInvalid3
000000018e99dff4 (__TEXT,__text) non-external _utf8_isInvalid4
000000018e99de04 (__TEXT,__text) non-external _utf8_isName2
000000018e99de48 (__TEXT,__text) non-external _utf8_isName3
000000018e99dea0 (__TEXT,__text) non-external _utf8_isNmstrt2
000000018e99dee4 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018e99dcb8 (__TEXT,__text) non-external _utf8_toUtf16
000000018e99dc08 (__TEXT,__text) non-external _utf8_toUtf8
