                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff811d871d2 (__TEXT,__text) non-external _au_assemble
00007ff811d87c15 (__TEXT,__text) external _au_strtosflags
00007ff811d87378 (__TEXT,__text) non-external _au_teardown
00007ff811d8fb9a (__TEXT,__text) external _au_to_arg
00007ff811d8f9a7 (__TEXT,__text) external _au_to_arg32
00007ff811d8fa8b (__TEXT,__text) external _au_to_arg64
00007ff811d919b4 (__TEXT,__text) external _au_to_certificate_hash
00007ff811d8fba4 (__TEXT,__text) external _au_to_data
00007ff811d91874 (__TEXT,__text) external _au_to_exec_args
00007ff811d919a5 (__TEXT,__text) external _au_to_exec_env
00007ff811d8fc89 (__TEXT,__text) external _au_to_exit
00007ff811d901b8 (__TEXT,__text) external _au_to_file
00007ff811d8fd2c (__TEXT,__text) external _au_to_groups
00007ff811d920ad (__TEXT,__text) external _au_to_header
00007ff811d92007 (__TEXT,__text) external _au_to_header32
00007ff811d91f75 (__TEXT,__text) external _au_to_header32_ex
00007ff811d91cd5 (__TEXT,__text) external _au_to_header32_ex_tm
00007ff811d91bda (__TEXT,__text) external _au_to_header32_tm
00007ff811d9205a (__TEXT,__text) external _au_to_header64
00007ff811d91e46 (__TEXT,__text) external _au_to_header64_tm
00007ff811d920b7 (__TEXT,__text) external _au_to_header_ex
00007ff811d91a80 (__TEXT,__text) external _au_to_identity
00007ff811d8fdec (__TEXT,__text) external _au_to_in_addr
00007ff811d8fe5a (__TEXT,__text) external _au_to_in_addr_ex
00007ff811d8fed1 (__TEXT,__text) external _au_to_ip
00007ff811d8ff4f (__TEXT,__text) external _au_to_ipc
00007ff811d8ffdb (__TEXT,__text) external _au_to_ipc_perm
00007ff811d900aa (__TEXT,__text) external _au_to_iport
00007ff811d92143 (__TEXT,__text) external _au_to_kevent
00007ff811d919c3 (__TEXT,__text) external _au_to_krb5_principal
00007ff811d917ec (__TEXT,__text) external _au_to_me
00007ff811d8fd3e (__TEXT,__text) external _au_to_newgroups
00007ff811d90114 (__TEXT,__text) external _au_to_opaque
00007ff811d9036e (__TEXT,__text) external _au_to_path
00007ff811d9070f (__TEXT,__text) external _au_to_process
00007ff811d9041c (__TEXT,__text) external _au_to_process32
00007ff811d90719 (__TEXT,__text) external _au_to_process32_ex
00007ff811d90572 (__TEXT,__text) external _au_to_process64
00007ff811d90935 (__TEXT,__text) external _au_to_process64_ex
00007ff811d90b72 (__TEXT,__text) external _au_to_process_ex
00007ff811d90cb9 (__TEXT,__text) external _au_to_return
00007ff811d90b7c (__TEXT,__text) external _au_to_return32
00007ff811d90c08 (__TEXT,__text) external _au_to_return64
00007ff811d90cc3 (__TEXT,__text) external _au_to_seq
00007ff811d91092 (__TEXT,__text) external _au_to_sock_inet
00007ff811d91004 (__TEXT,__text) external _au_to_sock_inet128
00007ff811d90f84 (__TEXT,__text) external _au_to_sock_inet32
00007ff811d90ec5 (__TEXT,__text) external _au_to_sock_unix
00007ff811d90d3d (__TEXT,__text) external _au_to_socket_ex
00007ff811d91883 (__TEXT,__text) non-external _au_to_strings
00007ff811d9138f (__TEXT,__text) external _au_to_subject
00007ff811d9109c (__TEXT,__text) external _au_to_subject32
00007ff811d91399 (__TEXT,__text) external _au_to_subject32_ex
00007ff811d911f2 (__TEXT,__text) external _au_to_subject64
00007ff811d915ad (__TEXT,__text) external _au_to_subject64_ex
00007ff811d917e2 (__TEXT,__text) external _au_to_subject_ex
00007ff811d902c0 (__TEXT,__text) external _au_to_text
00007ff811d920c1 (__TEXT,__text) external _au_to_trailer
00007ff811d919d2 (__TEXT,__text) external _au_to_zonename
00007ff811d92452 (__TEXT,__text) external _au_user_mask
00007ff811d87085 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff843ce8aa8 (__DATA,__bss) non-external _audit_free_q
00007ff811d93734 (__TEXT,__text) external _audit_get_car
00007ff811d93504 (__TEXT,__text) external _audit_get_class
00007ff811d92a3b (__TEXT,__text) external _audit_get_cond
00007ff811d93749 (__TEXT,__text) external _audit_get_ctlmode
00007ff811d9371f (__TEXT,__text) external _audit_get_cwd
00007ff811d9377a (__TEXT,__text) external _audit_get_expire_after
00007ff811d935c8 (__TEXT,__text) external _audit_get_fsize
00007ff811d934a2 (__TEXT,__text) external _audit_get_kaudit
00007ff811d93566 (__TEXT,__text) external _audit_get_kmask
00007ff811d9365b (__TEXT,__text) external _audit_get_pinfo
00007ff811d9368c (__TEXT,__text) external _audit_get_pinfo_addr
00007ff811d93204 (__TEXT,__text) external _audit_get_policy
00007ff811d93339 (__TEXT,__text) external _audit_get_qctrl
00007ff811d932d2 (__TEXT,__text) external _audit_get_sflags
00007ff811d9330d (__TEXT,__text) external _audit_get_sflags_mask
00007ff811d86eec (__TEXT,__text) external _audit_get_sinfo_addr
00007ff811d936bd (__TEXT,__text) external _audit_get_stat
00007ff843ce8aa0 (__DATA,__bss) non-external _audit_rec_count
00007ff811d9348b (__TEXT,__text) external _audit_send_trigger
00007ff811d93535 (__TEXT,__text) external _audit_set_class
00007ff811d9319d (__TEXT,__text) external _audit_set_cond
00007ff811d935f9 (__TEXT,__text) external _audit_set_fsize
00007ff811d934d3 (__TEXT,__text) external _audit_set_kaudit
00007ff811d93597 (__TEXT,__text) external _audit_set_kmask
00007ff811d9362a (__TEXT,__text) external _audit_set_pmask
00007ff811d9326b (__TEXT,__text) external _audit_set_policy
00007ff811d933e2 (__TEXT,__text) external _audit_set_qctrl
00007ff811d932e9 (__TEXT,__text) external _audit_set_sflags
00007ff811d93323 (__TEXT,__text) external _audit_set_sflags_mask
00007ff811d936ee (__TEXT,__text) external _audit_set_stat
00007ff811d92b78 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff811d92aa2 (__TEXT,__text) external _audit_set_terminal_id
00007ff811d92c1c (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff811d92ad7 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff811d925da (__TEXT,__text) external _audit_submit
00007ff811d866a0 (__TEXT,__text) external _audit_token_to_asid
00007ff811d866e8 (__TEXT,__text) external _audit_token_to_au32
00007ff811d866c4 (__TEXT,__text) external _audit_token_to_auid
00007ff811d866cd (__TEXT,__text) external _audit_token_to_egid
00007ff811d866b2 (__TEXT,__text) external _audit_token_to_euid
00007ff811d866a9 (__TEXT,__text) external _audit_token_to_pid
00007ff811d866df (__TEXT,__text) external _audit_token_to_pidversion
00007ff811d866d6 (__TEXT,__text) external _audit_token_to_rgid
00007ff811d866bb (__TEXT,__text) external _audit_token_to_ruid
00007ff811d92c51 (__TEXT,__text) external _audit_write
00007ff811d92f14 (__TEXT,__text) external _audit_write_failure
00007ff811d92fd9 (__TEXT,__text) external _audit_write_failure_ex
00007ff811d9313b (__TEXT,__text) external _audit_write_failure_na
00007ff811d9316c (__TEXT,__text) external _audit_write_failure_na_ex
00007ff811d9309e (__TEXT,__text) external _audit_write_failure_self
00007ff811d92dd3 (__TEXT,__text) external _audit_write_success
00007ff811d92e4a (__TEXT,__text) external _audit_write_success_ex
00007ff811d92ec1 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff811d8ea63 (__TEXT,__text) non-external _be64dec
00007ff811d95300 (__TEXT,__const) non-external _bsm_domains
00007ff8414a0b00 (__DATA_CONST,__const) non-external _bsm_errnos
00007ff811d95580 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff811d95530 (__TEXT,__const) non-external _bsm_socket_types
00007ff811d8f92e (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff811d8ef33 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff811d87d75 (__TEXT,__text) external _endac
00007ff811d879d3 (__TEXT,__text) external _endauclass
00007ff811d886bf (__TEXT,__text) external _endauevent
00007ff811d9217d (__TEXT,__text) external _endauuser
00007ff843ce8ec8 (__DATA,__bss) non-external _ev_cache
00007ff811d88b5a (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff811d8a23d (__TEXT,__text) non-external _fetch_arb_tok
00007ff811d893af (__TEXT,__text) non-external _fetch_arg32_tok
00007ff811d89424 (__TEXT,__text) non-external _fetch_arg64_tok
00007ff811d89499 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff811d89547 (__TEXT,__text) non-external _fetch_attr64_tok
00007ff811d8a2b9 (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff811d89649 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff811d89649 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff811d89606 (__TEXT,__text) non-external _fetch_exit_tok
00007ff811d896c9 (__TEXT,__text) non-external _fetch_file_tok
00007ff811d88ff8 (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff811d88f48 (__TEXT,__text) non-external _fetch_header32_tok
00007ff811d89201 (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff811d8913c (__TEXT,__text) non-external _fetch_header64_tok
00007ff811d8a337 (__TEXT,__text) non-external _fetch_identity_tok
00007ff811d897ae (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff811d89813 (__TEXT,__text) non-external _fetch_ip_tok
00007ff811d8991e (__TEXT,__text) non-external _fetch_ipc_tok
00007ff811d8995f (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff811d8a2b9 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff811d89740 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff811d89a27 (__TEXT,__text) non-external _fetch_process32_tok
00007ff811d89b27 (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff811d89c5a (__TEXT,__text) non-external _fetch_process64_tok
00007ff811d89d6d (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff811d8991e (__TEXT,__text) non-external _fetch_return32_tok
00007ff811d89eda (__TEXT,__text) non-external _fetch_return64_tok
00007ff811d8a09c (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff811d89fa9 (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff811d8a007 (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff811d89f1d (__TEXT,__text) non-external _fetch_socket_tok
00007ff811d8a0fe (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff811d89a27 (__TEXT,__text) non-external _fetch_subject32_tok
00007ff811d89b27 (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff811d89c5a (__TEXT,__text) non-external _fetch_subject64_tok
00007ff811d89d6d (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff811d89368 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff843ce8ec0 (__DATA,__bss) non-external _firsttime
00007ff811d8f78e (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff84378f3b0 (__DATA_DIRTY,__bss) non-external _fp
00007ff84378f3c0 (__DATA_DIRTY,__bss) non-external _fp
00007ff84378f3d0 (__DATA_DIRTY,__bss) non-external _fp
00007ff84378f3e0 (__DATA_DIRTY,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff811d87dae (__TEXT,__text) external _getacdir
00007ff811d8838a (__TEXT,__text) external _getacexpire
00007ff811d87fe6 (__TEXT,__text) external _getacfilesz
00007ff811d88136 (__TEXT,__text) external _getacflg
00007ff811d882f7 (__TEXT,__text) external _getachost
00007ff811d87f83 (__TEXT,__text) external _getacmin
00007ff811d881c2 (__TEXT,__text) external _getacna
00007ff811d8824e (__TEXT,__text) external _getacpol
00007ff811d882e1 (__TEXT,__text) external _getacsflagsmask
00007ff811d87769 (__TEXT,__text) external _getauclassent
00007ff843ce8ba8 (__DATA,__bss) non-external _getauclassent.c
00007ff843ce8b60 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff843ce8b50 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff843ce8bc0 (__DATA,__bss) non-external _getauclassent.cp
00007ff811d875e4 (__TEXT,__text) external _getauclassent_r
00007ff811d87618 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff811d878a6 (__TEXT,__text) external _getauclassnam
00007ff843ce8c18 (__DATA,__bss) non-external _getauclassnam.c
00007ff843ce8bd0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff843ce8bc8 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff811d8782d (__TEXT,__text) external _getauclassnam_r
00007ff811d8796e (__TEXT,__text) external _getauclassnum
00007ff843ce8c88 (__DATA,__bss) non-external _getauclassnum.c
00007ff843ce8c40 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff843ce8c30 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff811d8790c (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff811d88c72 (__TEXT,__text) external _getauditflagsbin
00007ff811d88dc7 (__TEXT,__text) external _getauditflagschar
00007ff811d887ac (__TEXT,__text) external _getauevent
00007ff843ce8d08 (__DATA,__bss) non-external _getauevent.e
00007ff843ce8cd0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff843ce8cb0 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff811d886f8 (__TEXT,__text) external _getauevent_r
00007ff811d88902 (__TEXT,__text) external _getauevnam
00007ff843ce8d88 (__DATA,__bss) non-external _getauevnam.e
00007ff843ce8d50 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff843ce8d30 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff811d88816 (__TEXT,__text) external _getauevnam_r
00007ff811d88b46 (__TEXT,__text) external _getauevnonam
00007ff843ce8eb0 (__DATA,__bss) non-external _getauevnonam.event
00007ff811d88ab4 (__TEXT,__text) external _getauevnonam_r
00007ff843ce8e88 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff843ce8ea8 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff843ce8e50 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff843ce8e30 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff811d88a48 (__TEXT,__text) external _getauevnum
00007ff843ce8e08 (__DATA,__bss) non-external _getauevnum.e
00007ff843ce8dd0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff843ce8db0 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff811d8896f (__TEXT,__text) external _getauevnum_r
00007ff811d9232f (__TEXT,__text) external _getauuserent
00007ff843ce8f08 (__DATA,__bss) non-external _getauuserent.u
00007ff843ce8ed0 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff811d921b6 (__TEXT,__text) external _getauuserent_r
00007ff811d921ea (__TEXT,__text) non-external _getauuserent_r_locked
00007ff811d92408 (__TEXT,__text) external _getauusernam
00007ff843ce8f58 (__DATA,__bss) non-external _getauusernam.u
00007ff843ce8f20 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff811d9239d (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff811d92512 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff811d87e35 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff84378efb0 (__DATA_DIRTY,__bss) non-external _linestr
00007ff84378f0b0 (__DATA_DIRTY,__bss) non-external _linestr
00007ff84378f1b0 (__DATA_DIRTY,__bss) non-external _linestr
00007ff84378f2b0 (__DATA_DIRTY,__bss) non-external _linestr
00007ff811d8f6aa (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff84378ee30 (__DATA_DIRTY,__data) non-external _mutex
00007ff84378ee70 (__DATA_DIRTY,__data) non-external _mutex
00007ff84378eeb0 (__DATA_DIRTY,__data) non-external _mutex
00007ff84378eef0 (__DATA_DIRTY,__data) non-external _mutex
00007ff84378ef30 (__DATA_DIRTY,__data) non-external _mutex
00007ff84378ef70 (__DATA_DIRTY,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff843ce8ab0 (__DATA,__bss) non-external _open_desc_table
00007ff811d8ede4 (__TEXT,__text) non-external _print_event
00007ff811d8f403 (__TEXT,__text) non-external _print_group
00007ff811d8f1ac (__TEXT,__text) non-external _print_ip_ex_address
00007ff811d8f4b6 (__TEXT,__text) non-external _print_ipctype
00007ff811d8f446 (__TEXT,__text) non-external _print_mem
00007ff811d8f51f (__TEXT,__text) non-external _print_retval
00007ff811d8eeac (__TEXT,__text) non-external _print_sec32
00007ff811d8f24c (__TEXT,__text) non-external _print_sec64
00007ff811d8f2d2 (__TEXT,__text) non-external _print_string
00007ff811d8ea6f (__TEXT,__text) non-external _print_tok_type
00007ff811d8f3c0 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff811d87cd9 (__TEXT,__text) external _setac
00007ff811d87d01 (__TEXT,__text) non-external _setac_locked
00007ff843ce8ca8 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff811d877fb (__TEXT,__text) external _setauclass
00007ff811d8868d (__TEXT,__text) external _setauevent
00007ff811d9214b (__TEXT,__text) external _setauuser
00007ff811d88563 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff84378f3f4 (__DATA_DIRTY,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
