                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018b0f3a84 (__TEXT,__text) non-external _au_assemble
000000018b0fdfc0 (__TEXT,__text) external _au_to_header
000000018b0fdeb0 (__TEXT,__text) external _au_to_header32
000000018b0fddfc (__TEXT,__text) external _au_to_header32_ex
000000018b0fdb50 (__TEXT,__text) external _au_to_header32_ex_tm
000000018b0fda40 (__TEXT,__text) external _au_to_header32_tm
000000018b0fdf38 (__TEXT,__text) external _au_to_header64
000000018b0fdcc8 (__TEXT,__text) external _au_to_header64_tm
000000018b0fdfc4 (__TEXT,__text) external _au_to_header_ex
000000018b0fd8d0 (__TEXT,__text) external _au_to_identity
000000018b0fbc4c (__TEXT,__text) external _au_to_in_addr
000000018b0fbcb8 (__TEXT,__text) external _au_to_in_addr_ex
000000018b0fbd2c (__TEXT,__text) external _au_to_ip
000000018b0fbda0 (__TEXT,__text) external _au_to_ipc
000000018b0fbe30 (__TEXT,__text) external _au_to_ipc_perm
000000018b0fbf04 (__TEXT,__text) external _au_to_iport
000000018b0fe050 (__TEXT,__text) external _au_to_kevent
000000018b0fd81c (__TEXT,__text) external _au_to_krb5_principal
000000018b0fd644 (__TEXT,__text) external _au_to_me
000000018b0fbb98 (__TEXT,__text) external _au_to_newgroups
000000018b0fbf74 (__TEXT,__text) external _au_to_opaque
000000018b0fc1d0 (__TEXT,__text) external _au_to_path
000000018b0fc59c (__TEXT,__text) external _au_to_process
000000018b0fc27c (__TEXT,__text) external _au_to_process32
000000018b0fc5a0 (__TEXT,__text) external _au_to_process32_ex
000000018b0fc3f0 (__TEXT,__text) external _au_to_process64
000000018b0fc7a4 (__TEXT,__text) external _au_to_process64_ex
000000018b0fc9e0 (__TEXT,__text) external _au_to_process_ex
000000018b0fcb24 (__TEXT,__text) external _au_to_return
000000018b0fc9e4 (__TEXT,__text) external _au_to_return32
000000018b0fca74 (__TEXT,__text) external _au_to_return64
000000018b0fcb28 (__TEXT,__text) external _au_to_seq
000000018b0fced0 (__TEXT,__text) external _au_to_sock_inet
000000018b0fce4c (__TEXT,__text) external _au_to_sock_inet128
000000018b0fcdd0 (__TEXT,__text) external _au_to_sock_inet32
000000018b0fcd20 (__TEXT,__text) external _au_to_sock_unix
000000018b0fcba8 (__TEXT,__text) external _au_to_socket_ex
000000018b0fd6f4 (__TEXT,__text) non-external _au_to_strings
000000018b0fd1f4 (__TEXT,__text) external _au_to_subject
000000018b0fced4 (__TEXT,__text) external _au_to_subject32
000000018b0fd1f8 (__TEXT,__text) external _au_to_subject32_ex
000000018b0fd048 (__TEXT,__text) external _au_to_subject64
000000018b0fd400 (__TEXT,__text) external _au_to_subject64_ex
000000018b0fd640 (__TEXT,__text) external _au_to_subject_ex
000000018b0fc124 (__TEXT,__text) external _au_to_text
000000018b0fdfc8 (__TEXT,__text) external _au_to_trailer
000000018b0fd824 (__TEXT,__text) external _au_to_zonename
000000018b0fe3d4 (__TEXT,__text) external _au_user_mask
000000018b0f390c (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001d93bac28 (__DATA,__bss) non-external _audit_free_q
000000018b0ffb14 (__TEXT,__text) external _audit_get_car
000000018b0ff7c0 (__TEXT,__text) external _audit_get_class
000000018b0fe8a0 (__TEXT,__text) external _audit_get_cond
000000018b0ffb24 (__TEXT,__text) external _audit_get_ctlmode
000000018b0ffb04 (__TEXT,__text) external _audit_get_cwd
000000018b0ffb70 (__TEXT,__text) external _audit_get_expire_after
000000018b0ff8f0 (__TEXT,__text) external _audit_get_fsize
000000018b0ff728 (__TEXT,__text) external _audit_get_kaudit
000000018b0ff858 (__TEXT,__text) external _audit_get_kmask
000000018b0ff9d4 (__TEXT,__text) external _audit_get_pinfo
000000018b0ffa20 (__TEXT,__text) external _audit_get_pinfo_addr
000000018b0ff308 (__TEXT,__text) external _audit_get_policy
000000018b0ff5a8 (__TEXT,__text) external _audit_get_qctrl
000000018b0ff3f8 (__TEXT,__text) external _audit_get_sflags
000000018b0ff438 (__TEXT,__text) external _audit_get_sflags_mask
000000018b0f3738 (__TEXT,__text) external _audit_get_sinfo_addr
000000018b0ffa6c (__TEXT,__text) external _audit_get_stat
00000001d93bac20 (__DATA,__bss) non-external _audit_rec_count
000000018b0ff718 (__TEXT,__text) external _audit_send_trigger
000000018b0ff80c (__TEXT,__text) external _audit_set_class
000000018b0ff290 (__TEXT,__text) external _audit_set_cond
000000018b0ff93c (__TEXT,__text) external _audit_set_fsize
000000018b0ff774 (__TEXT,__text) external _audit_set_kaudit
000000018b0ff8a4 (__TEXT,__text) external _audit_set_kmask
000000018b0ff988 (__TEXT,__text) external _audit_set_pmask
000000018b0ff380 (__TEXT,__text) external _audit_set_policy
000000018b0ff660 (__TEXT,__text) external _audit_set_qctrl
000000018b0ff408 (__TEXT,__text) external _audit_set_sflags
000000018b0ff4f4 (__TEXT,__text) external _audit_set_sflags_mask
000000018b0ffab8 (__TEXT,__text) external _audit_set_stat
000000018b0fea4c (__TEXT,__text) non-external _audit_set_terminal_host
000000018b0fe918 (__TEXT,__text) external _audit_set_terminal_id
000000018b0feae4 (__TEXT,__text) external _audit_set_terminal_id_ex
000000018b0fe96c (__TEXT,__text) non-external _audit_set_terminal_port
000000018b0fe570 (__TEXT,__text) external _audit_submit
000000018b0f1950 (__TEXT,__text) external _audit_token_to_asid
000000018b0f1990 (__TEXT,__text) external _audit_token_to_au32
000000018b0f1970 (__TEXT,__text) external _audit_token_to_auid
000000018b0f1978 (__TEXT,__text) external _audit_token_to_egid
000000018b0f1960 (__TEXT,__text) external _audit_token_to_euid
000000018b0f1958 (__TEXT,__text) external _audit_token_to_pid
000000018b0f1988 (__TEXT,__text) external _audit_token_to_pidversion
000000018b0f1980 (__TEXT,__text) external _audit_token_to_rgid
000000018b0f1968 (__TEXT,__text) external _audit_token_to_ruid
000000018b0feb38 (__TEXT,__text) external _audit_write
000000018b0fef0c (__TEXT,__text) external _audit_write_failure
000000018b0ff018 (__TEXT,__text) external _audit_write_failure_ex
000000018b0ff208 (__TEXT,__text) external _audit_write_failure_na
000000018b0ff24c (__TEXT,__text) external _audit_write_failure_na_ex
000000018b0ff124 (__TEXT,__text) external _audit_write_failure_self
000000018b0fed18 (__TEXT,__text) external _audit_write_success
000000018b0fedcc (__TEXT,__text) external _audit_write_success_ex
000000018b0fee80 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018b100150 (__TEXT,__const) non-external _bsm_domains
00000001d48780f8 (__DATA_CONST,__const) non-external _bsm_errnos
000000018b1003c0 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018b100378 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018b0fb7bc (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018b0fabd0 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018b0f4808 (__TEXT,__text) external _endac
000000018b0f4360 (__TEXT,__text) external _endauclass
000000018b0f53d4 (__TEXT,__text) external _endauevent
000000018b0fe0a8 (__TEXT,__text) external _endauuser
00000001d93bb308 (__DATA,__bss) non-external _ev_cache
000000018b0f5838 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001d93bb300 (__DATA,__bss) non-external _firsttime
000000018b0fb5c0 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001d93bae10 (__DATA,__bss) non-external _fp
00000001d93baf18 (__DATA,__bss) non-external _fp
00000001d93bb028 (__DATA,__bss) non-external _fp
00000001d93bb318 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018b0f485c (__TEXT,__text) external _getacdir
000000018b0f5018 (__TEXT,__text) external _getacexpire
000000018b0f4af8 (__TEXT,__text) external _getacfilesz
000000018b0f4ca8 (__TEXT,__text) external _getacflg
000000018b0f4f68 (__TEXT,__text) external _getachost
000000018b0f4a74 (__TEXT,__text) external _getacmin
000000018b0f4d58 (__TEXT,__text) external _getacna
000000018b0f4e08 (__TEXT,__text) external _getacpol
000000018b0f4eb8 (__TEXT,__text) external _getacsflagsmask
000000018b0f4110 (__TEXT,__text) external _getauclassent
00000001d93bad20 (__DATA,__bss) non-external _getauclassent.c
00000001d93bacd8 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001d93bacd0 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001d93bad38 (__DATA,__bss) non-external _getauclassent.cp
000000018b0f3f54 (__TEXT,__text) external _getauclassent_r
000000018b0f3f9c (__TEXT,__text) non-external _getauclassent_r_locked
000000018b0f4268 (__TEXT,__text) external _getauclassnam
00000001d93bad90 (__DATA,__bss) non-external _getauclassnam.c
00000001d93bad48 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001d93bad40 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018b0f41dc (__TEXT,__text) external _getauclassnam_r
000000018b0f4324 (__TEXT,__text) external _getauclassnum
00000001d93badf8 (__DATA,__bss) non-external _getauclassnum.c
00000001d93badb0 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001d93bada8 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018b0f42a4 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018b0f596c (__TEXT,__text) external _getauditflagsbin
000000018b0f5ae0 (__TEXT,__text) external _getauditflagschar
000000018b0f5504 (__TEXT,__text) external _getauevent
00000001d93bb080 (__DATA,__bss) non-external _getauevent.e
00000001d93bb04e (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001d93bb030 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018b0f5428 (__TEXT,__text) external _getauevent_r
000000018b0f5634 (__TEXT,__text) external _getauevnam
00000001d93bb0f0 (__DATA,__bss) non-external _getauevnam.e
00000001d93bb0be (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001d93bb0a0 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018b0f5544 (__TEXT,__text) external _getauevnam_r
000000018b0f5828 (__TEXT,__text) external _getauevnonam
00000001d93bb1f8 (__DATA,__bss) non-external _getauevnonam.event
000000018b0f57a4 (__TEXT,__text) external _getauevnonam_r
00000001d93bb1d0 (__DATA,__bss) non-external _getauevnonam_r.e
00000001d93bb1f0 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001d93bb19e (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001d93bb180 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018b0f5760 (__TEXT,__text) external _getauevnum
00000001d93bb160 (__DATA,__bss) non-external _getauevnum.e
00000001d93bb12e (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001d93bb110 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018b0f5678 (__TEXT,__text) external _getauevnum_r
000000018b0fe2b0 (__TEXT,__text) external _getauuserent
00000001d93bb358 (__DATA,__bss) non-external _getauuserent.u
00000001d93bb320 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018b0fe0fc (__TEXT,__text) external _getauuserent_r
000000018b0fe144 (__TEXT,__text) non-external _getauuserent_r_locked
000000018b0fe3a4 (__TEXT,__text) external _getauusernam
00000001d93bb3a8 (__DATA,__bss) non-external _getauusernam.u
00000001d93bb370 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018b0fe31c (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018b0fe498 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018b0f4908 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001d93bae18 (__DATA,__bss) non-external _linestr
00000001d93baf28 (__DATA,__bss) non-external _linestr
00000001d93bb1fa (__DATA,__bss) non-external _linestr
00000001d93bb3c0 (__DATA,__bss) non-external _linestr
000000018b0fb508 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001d93baaa0 (__DATA,__data) non-external _mutex
00000001d93baae0 (__DATA,__data) non-external _mutex
00000001d93bab20 (__DATA,__data) non-external _mutex
00000001d93bab60 (__DATA,__data) non-external _mutex
00000001d93baba0 (__DATA,__data) non-external _mutex
00000001d93babe0 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001d93bac30 (__DATA,__bss) non-external _open_desc_table
000000018b0faa68 (__TEXT,__text) non-external _print_event
000000018b0fb188 (__TEXT,__text) non-external _print_group
000000018b0fae74 (__TEXT,__text) non-external _print_ip_ex_address
000000018b0fb29c (__TEXT,__text) non-external _print_ipctype
000000018b0fb20c (__TEXT,__text) non-external _print_mem
000000018b0fb33c (__TEXT,__text) non-external _print_retval
000000018b0fab3c (__TEXT,__text) non-external _print_sec32
000000018b0faf60 (__TEXT,__text) non-external _print_sec64
000000018b0faff0 (__TEXT,__text) non-external _print_string
000000018b0fa698 (__TEXT,__text) non-external _print_tok_type
000000018b0fb104 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018b0f4734 (__TEXT,__text) external _setac
000000018b0f4778 (__TEXT,__text) non-external _setac_locked
00000001d93baf20 (__DATA,__bss) non-external _setac_locked.lastctime
000000018b0f418c (__TEXT,__text) external _setauclass
000000018b0f5384 (__TEXT,__text) external _setauevent
000000018b0fe058 (__TEXT,__text) external _setauuser
000000018b0f51fc (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001d93bb310 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
