00007ffb0bddedab (__TEXT,__text) non-external +[MGDaemon daemon]
00007ffb0bdd902d (__TEXT,__text) non-external -[MGGroupsActivity .cxx_destruct]
00007ffb0bdd8df3 (__TEXT,__text) non-external -[MGGroupsActivity dealloc]
00007ffb0bdd8f50 (__TEXT,__text) non-external -[MGGroupsActivity description]
00007ffb0bdd8cd6 (__TEXT,__text) non-external -[MGGroupsActivity initWithName:]
00007ffb0bdd9019 (__TEXT,__text) non-external -[MGGroupsActivity name]
00007ffb0bdd9023 (__TEXT,__text) non-external -[MGGroupsActivity when]
00007ffb0bdd8ca5 (__TEXT,__text) non-external -[MGGroupsMediator .cxx_destruct]
00007ffb0bdd706a (__TEXT,__text) non-external -[MGGroupsMediator _withLock:]
00007ffb0bdd8c79 (__TEXT,__text) non-external -[MGGroupsMediator activities]
00007ffb0bdd79ea (__TEXT,__text) non-external -[MGGroupsMediator addGroup:]
00007ffb0bdd73df (__TEXT,__text) non-external -[MGGroupsMediator currentGroups]
00007ffb0bdd70a7 (__TEXT,__text) non-external -[MGGroupsMediator description]
00007ffb0bdd774a (__TEXT,__text) non-external -[MGGroupsMediator endActivity:]
00007ffb0bdd820c (__TEXT,__text) non-external -[MGGroupsMediator group:addMember:]
00007ffb0bdd865f (__TEXT,__text) non-external -[MGGroupsMediator group:removeMember:]
00007ffb0bdd7d82 (__TEXT,__text) non-external -[MGGroupsMediator group:renameTo:]
00007ffb0bdd6fcb (__TEXT,__text) non-external -[MGGroupsMediator groupsForUpdate_unsafe]
00007ffb0bdd6d88 (__TEXT,__text) non-external -[MGGroupsMediator groups_unsafe]
00007ffb0bdd8c92 (__TEXT,__text) non-external -[MGGroupsMediator hasPendingChanges]
00007ffb0bdd6ce4 (__TEXT,__text) non-external -[MGGroupsMediator initWithGroupsQueryAgent:]
00007ffb0bdd8c63 (__TEXT,__text) non-external -[MGGroupsMediator queryAgent]
00007ffb0bdd7bac (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:]
00007ffb0bdd6e90 (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:ifExists_unsafe:]
00007ffb0bdd8ae3 (__TEXT,__text) non-external -[MGGroupsMediator removeGroupWithIdentifier:]
00007ffb0bdd8c83 (__TEXT,__text) non-external -[MGGroupsMediator setActivities:]
00007ffb0bdd8c9c (__TEXT,__text) non-external -[MGGroupsMediator setPendingChanges:]
00007ffb0bdd75b2 (__TEXT,__text) non-external -[MGGroupsMediator startActivityWithName:]
00007ffb0bdd6da9 (__TEXT,__text) non-external -[MGGroupsMediator upsertGroup_unsafe:]
00007ffb0bddc517 (__TEXT,__text) non-external -[MGGroupsQueryAgent .cxx_destruct]
00007ffb0bdd990e (__TEXT,__text) non-external -[MGGroupsQueryAgent _performQueryExchangeUsingGroups:currentIdentifier:]
00007ffb0bdd9afb (__TEXT,__text) non-external -[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]
00007ffb0bddb7b3 (__TEXT,__text) non-external -[MGGroupsQueryAgent _queryOperation:didFindGroups:]
00007ffb0bdd98d1 (__TEXT,__text) non-external -[MGGroupsQueryAgent _withLock:]
00007ffb0bddbc9d (__TEXT,__text) non-external -[MGGroupsQueryAgent addOutstandingQuery:]
00007ffb0bddc4cc (__TEXT,__text) non-external -[MGGroupsQueryAgent containers]
00007ffb0bddc4c2 (__TEXT,__text) non-external -[MGGroupsQueryAgent currentIdentifier]
00007ffb0bddc47f (__TEXT,__text) non-external -[MGGroupsQueryAgent delegate]
00007ffb0bddc330 (__TEXT,__text) non-external -[MGGroupsQueryAgent groupsMediator:didUpdateGroups:]
00007ffb0bddc4b8 (__TEXT,__text) non-external -[MGGroupsQueryAgent groups]
00007ffb0bdd9308 (__TEXT,__text) non-external -[MGGroupsQueryAgent initWithDelegate:]
00007ffb0bdd954b (__TEXT,__text) non-external -[MGGroupsQueryAgent init]
00007ffb0bddc49f (__TEXT,__text) non-external -[MGGroupsQueryAgent operations]
00007ffb0bddc4fe (__TEXT,__text) non-external -[MGGroupsQueryAgent queries]
00007ffb0bddc495 (__TEXT,__text) non-external -[MGGroupsQueryAgent queue]
00007ffb0bddc02d (__TEXT,__text) non-external -[MGGroupsQueryAgent removeOutstandingQuery:]
00007ffb0bddc4d6 (__TEXT,__text) non-external -[MGGroupsQueryAgent setContainers:]
00007ffb0bdd9820 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentDeviceIdentifier:]
00007ffb0bdd96cc (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentIdentifier:]
00007ffb0bdd955f (__TEXT,__text) non-external -[MGGroupsQueryAgent setGroups:]
00007ffb0bddc4a9 (__TEXT,__text) non-external -[MGGroupsQueryAgent setOperations:]
00007ffb0bddc508 (__TEXT,__text) non-external -[MGGroupsQueryAgent setQueries:]
00007ffb0bddc4ef (__TEXT,__text) non-external -[MGGroupsQueryAgent setVariables:]
00007ffb0bddc4e5 (__TEXT,__text) non-external -[MGGroupsQueryAgent variables]
00007ffb0bddca28 (__TEXT,__text) non-external -[MGGroupsQueryOperation .cxx_destruct]
00007ffb0bddc9e4 (__TEXT,__text) non-external -[MGGroupsQueryOperation agent]
00007ffb0bddca06 (__TEXT,__text) non-external -[MGGroupsQueryOperation groups]
00007ffb0bddc57f (__TEXT,__text) non-external -[MGGroupsQueryOperation initWithAgent:query:groups:substitutionVariables:]
00007ffb0bddc69e (__TEXT,__text) non-external -[MGGroupsQueryOperation main]
00007ffb0bddc9f5 (__TEXT,__text) non-external -[MGGroupsQueryOperation query]
00007ffb0bddca17 (__TEXT,__text) non-external -[MGGroupsQueryOperation variables]
00007ffb0bdde182 (__TEXT,__text) non-external -[MGOutstandingQuery .cxx_destruct]
00007ffb0bdddfc4 (__TEXT,__text) non-external -[MGOutstandingQuery _predicateRequiresCurrentDevice:]
00007ffb0bdde164 (__TEXT,__text) non-external -[MGOutstandingQuery identifier]
00007ffb0bdddf13 (__TEXT,__text) non-external -[MGOutstandingQuery initWithPredicate:]
00007ffb0bdde16e (__TEXT,__text) non-external -[MGOutstandingQuery predicate]
00007ffb0bdde178 (__TEXT,__text) non-external -[MGOutstandingQuery requiresTopology]
00007ffb0bde3bc0 (__TEXT,__text) non-external -[MGServiceClient .cxx_destruct]
00007ffb0bde33a6 (__TEXT,__text) non-external -[MGServiceClient _withLock:]
00007ffb0bde35ed (__TEXT,__text) non-external -[MGServiceClient addQuery:]
00007ffb0bde3b91 (__TEXT,__text) non-external -[MGServiceClient connection]
00007ffb0bde329f (__TEXT,__text) non-external -[MGServiceClient copyWithZone:]
00007ffb0bde3304 (__TEXT,__text) non-external -[MGServiceClient description]
00007ffb0bde39eb (__TEXT,__text) non-external -[MGServiceClient enumerateQueriesUsingBlock:]
00007ffb0bde325b (__TEXT,__text) non-external -[MGServiceClient hash]
00007ffb0bde3124 (__TEXT,__text) non-external -[MGServiceClient initWithConnection:]
00007ffb0bde31a4 (__TEXT,__text) non-external -[MGServiceClient isEqual:]
00007ffb0bde3848 (__TEXT,__text) non-external -[MGServiceClient outstandingQueryForIdentifier:]
00007ffb0bde3b9b (__TEXT,__text) non-external -[MGServiceClient queries]
00007ffb0bde371f (__TEXT,__text) non-external -[MGServiceClient removeQuery:]
00007ffb0bde33ea (__TEXT,__text) non-external -[MGServiceClient setQueries:]
00007ffb0bde3baf (__TEXT,__text) non-external -[MGServiceClient setTransaction:]
00007ffb0bde3ba5 (__TEXT,__text) non-external -[MGServiceClient transaction]
00007ffb0bde4206 (__TEXT,__text) non-external -[MGServiceClientSet .cxx_destruct]
00007ffb0bde3c50 (__TEXT,__text) non-external -[MGServiceClientSet _withLock:]
00007ffb0bde3e12 (__TEXT,__text) non-external -[MGServiceClientSet addClientService:]
00007ffb0bde41ed (__TEXT,__text) non-external -[MGServiceClientSet clients]
00007ffb0bde400b (__TEXT,__text) non-external -[MGServiceClientSet enumerateClientsUsingBlock:]
00007ffb0bde3bf3 (__TEXT,__text) non-external -[MGServiceClientSet init]
00007ffb0bde3f11 (__TEXT,__text) non-external -[MGServiceClientSet removeClientService:]
00007ffb0bde3c94 (__TEXT,__text) non-external -[MGServiceClientSet serviceClientForXPCConnection:]
00007ffb0bde41f7 (__TEXT,__text) non-external -[MGServiceClientSet setClients:]
00007ffb0bdd92d5 (__TEXT,__text) non-external -[MGServiceListenerProvider .cxx_destruct]
00007ffb0bdd90ee (__TEXT,__text) non-external -[MGServiceListenerProvider dispatchQueue]
00007ffb0bdd92cb (__TEXT,__text) non-external -[MGServiceListenerProvider entitlement]
00007ffb0bdd9055 (__TEXT,__text) non-external -[MGServiceListenerProvider initWithServiceName:entitlement:]
00007ffb0bdd918d (__TEXT,__text) non-external -[MGServiceListenerProvider serviceListener]
00007ffb0bdd92c1 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceName]
00007ffb0bdd91f6 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceShouldAcceptNewConnection:]
00007ffb0bde4b24 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00007ffb0bde4b60 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00007ffb0bde4a10 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00007ffb0bde4acc (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00007ffb0bde4b74 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00007ffb0bde4a20 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00007ffb0bde4a34 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00007ffb0bde4a48 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00007ffb0bde4b94 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00007ffb0bde4a5c (__TEXT,__gcc_except_tab) non-external GCC_except_table28
00007ffb0bde4ae0 (__TEXT,__gcc_except_tab) non-external GCC_except_table31
00007ffb0bde4a74 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00007ffb0bde4ba8 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00007ffb0bde4a8c (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00007ffb0bde4b48 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00007ffb0bde4aa4 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00007ffb0bde4afc (__TEXT,__gcc_except_tab) non-external GCC_except_table56
00007ffb0bde49fc (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00007ffb0bde4ab8 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00007ffb0bde5043 (__TEXT,__cstring) non-external (was a private external) _.str.5
                 (undefined) external _HMAccessoryCategoryTypeAudioReceiver (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeHomePod (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeSpeaker (from HomeKit)
00007ffb41ae65a0 (__DATA,__bss) non-external _HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:.allowed
00007ffb41ae65a8 (__DATA,__bss) non-external _HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:.categories
00007ffb41ae65b0 (__DATA,__bss) non-external _HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:.onceToken
00007ffb0bddd1f0 (__TEXT,__text) non-external (was a private external) _MGClassForGroupIdentifier
                 (undefined) external _MGErrorDomain (from MediaGroups)
00007ffb0bddd66d (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessory
00007ffb0bddd761 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessoryIdentifierInHome
00007ffb0bdddc84 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHome
00007ffb0bdddc91 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeInHome
00007ffb0bddde3d (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemInHome
00007ffb0bdddbae (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomInHome
00007ffb0bdddd67 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneInHome
00007ffb0bddd1a0 (__TEXT,__text) non-external (was a private external) _MGHomeUniqueIdentifierForAccessory
00007ffb0bdde1aa (__TEXT,__text) non-external (was a private external) _MGLogForCategory
00007ffb41ae6568 (__DATA,__common) non-external (was a private external) _MGLogForCategory.onceToken
00007ffb41ae6540 (__DATA,__common) non-external (was a private external) _MGLogForCategory.oslog
00007ffb0bddd191 (__TEXT,__text) non-external (was a private external) _MGSetDaemonXPCInterfacesOnConnection
00007ffb0bddcbe4 (__TEXT,__text) non-external (was a private external) _MGSetServiceXPCInterfacesOnConnection
00007ffb0bde49e0 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionNumber
00007ffb0bde49a0 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionString
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _OBJC_CLASS_$_MGAppleTVAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGAudioReceiverAccessory (from MediaGroups)
00007ffb41ae6208 (__DATA,__objc_data) external _OBJC_CLASS_$_MGDaemon
                 (undefined) external _OBJC_CLASS_$_MGGroup (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGGroupIdentifier (from MediaGroups)
00007ffb41ae6050 (__DATA,__objc_data) non-external _OBJC_CLASS_$_MGGroupsActivity
00007ffb41ae6028 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsMediator
00007ffb41ae6118 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsQueryAgent
00007ffb41ae6140 (__DATA,__objc_data) non-external _OBJC_CLASS_$_MGGroupsQueryOperation
                 (undefined) external _OBJC_CLASS_$_MGHome (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGHomePodAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGMediaSystem (from MediaGroups)
00007ffb41ae61b8 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGOutstandingQuery
                 (undefined) external _OBJC_CLASS_$_MGRoom (from MediaGroups)
00007ffb41ae6258 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClient
00007ffb41ae62a8 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClientSet
00007ffb41ae60c8 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_CLASS_$_MGSoloDevice (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGSpeakerAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGZone (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOperation (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSOperationQueue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLQueryItem (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffb41ae5fd8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._clients
00007ffb41ae5fd0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._dispatchQueue
00007ffb41ae5fe0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._groupsMediator
00007ffb41ae5fc8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listener
00007ffb41ae5fc0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listenerProvider
00007ffb41ae5ff0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._queryAgent
00007ffb41ae5fe8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._topologyRequestHandler
00007ffb41ae5f18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._name
00007ffb41ae5f20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._when
00007ffb41ae5f10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._activities
00007ffb41ae5ef8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._groups
00007ffb41ae5ef0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._lock
00007ffb41ae5f00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._pendingChanges
00007ffb41ae5f08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._queryAgent
00007ffb41ae5f70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._containers
00007ffb41ae5f68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._currentIdentifier
00007ffb41ae5f48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._delegate
00007ffb41ae5f60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._groups
00007ffb41ae5f40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._lock
00007ffb41ae5f58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._operations
00007ffb41ae5f80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queries
00007ffb41ae5f50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queue
00007ffb41ae5f78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._variables
00007ffb41ae5f88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._agent
00007ffb41ae5f98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._groups
00007ffb41ae5f90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._query
00007ffb41ae5fa0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._variables
00007ffb41ae5fb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._identifier
00007ffb41ae5fb8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._predicate
00007ffb41ae5fa8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._requiresTopology
00007ffb41ae6000 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._connection
00007ffb41ae5ff8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._lock
00007ffb41ae6008 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._queries
00007ffb41ae6010 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._transaction
00007ffb41ae6020 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._clients
00007ffb41ae6018 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._lock
00007ffb41ae5f28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._dispatchQueue
00007ffb41ae5f38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._entitlement
00007ffb41ae5f30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._serviceName
00007ffb41ae6230 (__DATA,__objc_data) external _OBJC_METACLASS_$_MGDaemon
00007ffb41ae60a0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsActivity
00007ffb41ae6078 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsMediator
00007ffb41ae6168 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryAgent
00007ffb41ae6190 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryOperation
00007ffb41ae61e0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGOutstandingQuery
00007ffb41ae6280 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClient
00007ffb41ae62d0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClientSet
00007ffb41ae60f0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_NSOperation (from Foundation)
00007ffb0bddadf1 (__TEXT,__text) non-external __AddContainmentForGroup
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb0bddd8b1 (__TEXT,__text) non-external __MGGroupIdentifierHomeKitComponents
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSIsNSString (from CoreFoundation)
00007ffb0bde46c0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_MGDaemon
00007ffb0bde46d8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGDaemon
00007ffb0bde4318 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsActivity
00007ffb0bde4368 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsMediator
00007ffb0bde44d8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryAgent
00007ffb0bde4610 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryOperation
00007ffb0bde4670 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGOutstandingQuery
00007ffb0bde4878 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClient
00007ffb0bde4938 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClientSet
00007ffb0bde4478 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceListenerProvider
00007ffb41ae5190 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGDaemon
00007ffb41ae40e8 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsActivity
00007ffb41ae3f78 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsMediator
00007ffb41ae4708 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryAgent
00007ffb41ae4948 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryOperation
