00000001830146c8 (__DATA,__data) external _NDR_record
0000000180ee0610 (__TEXT,__text) external ___mac_execve
0000000180ee063c (__TEXT,__text) external ___mac_get_fd
0000000180ee0668 (__TEXT,__text) external ___mac_get_file
0000000180ee0694 (__TEXT,__text) external ___mac_get_link
0000000180ee06c0 (__TEXT,__text) external ___mac_get_mount
0000000180ee06ec (__TEXT,__text) external ___mac_get_pid
0000000180ee0718 (__TEXT,__text) external ___mac_get_proc
0000000180ee0744 (__TEXT,__text) external ___mac_getfsstat
0000000180ee0770 (__TEXT,__text) external ___mac_mount
0000000180ee079c (__TEXT,__text) external ___mac_set_fd
0000000180ee07c8 (__TEXT,__text) external ___mac_set_file
0000000180ee07f4 (__TEXT,__text) external ___mac_set_link
0000000180ee0820 (__TEXT,__text) external ___mac_set_proc
0000000180ee084c (__TEXT,__text) external ___mac_syscall
0000000180ee0878 (__TEXT,__text) external ___mach_bridge_remote_time
0000000180ee08a4 (__TEXT,__text) external ___mach_eventlink_signal
0000000180ee08d0 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180ee08fc (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180ee0928 (__TEXT,__text) external ___map_with_linking_np
0000000180ee0954 (__TEXT,__text) external ___memorystatus_available_memory
0000000180ee0980 (__TEXT,__text) external ___microstackshot
0000000180ee09ac (__TEXT,__text) external ___mkdir_extended
0000000180ee09d8 (__TEXT,__text) external ___mkfifo_extended
0000000180ee0a04 (__TEXT,__text) external ___mmap
0000000180ee0a30 (__TEXT,__text) external ___mprotect
0000000180ee0a5c (__TEXT,__text) external ___msgctl
0000000180ee0a88 (__TEXT,__text) external ___msgrcv_nocancel
0000000180ee0ab4 (__TEXT,__text) external ___msgsnd_nocancel
0000000180ee0ae0 (__TEXT,__text) external ___msgsys
0000000180ee0b0c (__TEXT,__text) external ___msync
0000000180ee0b38 (__TEXT,__text) external ___msync_nocancel
0000000180ee0b64 (__TEXT,__text) external ___munmap
0000000180ee0b90 (__TEXT,__text) external ___nexus_create
0000000180ee0bbc (__TEXT,__text) external ___nexus_deregister
0000000180ee0be8 (__TEXT,__text) external ___nexus_destroy
0000000180ee0c14 (__TEXT,__text) external ___nexus_get_opt
0000000180ee0c40 (__TEXT,__text) external ___nexus_open
0000000180ee0c6c (__TEXT,__text) external ___nexus_register
0000000180ee0c98 (__TEXT,__text) external ___nexus_set_opt
0000000180ee0cc4 (__TEXT,__text) external ___open
0000000180ee0cf0 (__TEXT,__text) external ___open_dprotected_np
0000000180ee0d1c (__TEXT,__text) external ___open_extended
0000000180ee0d48 (__TEXT,__text) external ___open_nocancel
0000000180ee0d74 (__TEXT,__text) external ___openat
0000000180ee0da0 (__TEXT,__text) external ___openat_dprotected_np
0000000180ee0dcc (__TEXT,__text) external ___openat_nocancel
0000000183014840 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180ef3bd4 (__TEXT,__text) non-external ___os_nexus_config_flow
0000000180ef3a30 (__TEXT,__text) external ___os_nexus_flow_add
0000000180ef3abc (__TEXT,__text) external ___os_nexus_flow_del
0000000180ef3c54 (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180ef383c (__TEXT,__text) external ___os_nexus_ifattach
0000000180ef3968 (__TEXT,__text) external ___os_nexus_ifdetach
0000000180ee0df8 (__TEXT,__text) external ___oslog_coproc
0000000180ee0e24 (__TEXT,__text) external ___oslog_coproc_reg
0000000180ee0e50 (__TEXT,__text) external ___persona
0000000180ee0e7c (__TEXT,__text) external ___pipe
0000000180ee0eb4 (__TEXT,__text) external ___poll_nocancel
0000000180ee0ee0 (__TEXT,__text) external ___posix_spawn
0000000180ee0f0c (__TEXT,__text) external ___pread_nocancel
0000000180ee0f38 (__TEXT,__text) external ___preadv_nocancel
0000000180ee0f64 (__TEXT,__text) external ___proc_info
0000000180ee0f90 (__TEXT,__text) external ___proc_info_extended_id
0000000180ee0fbc (__TEXT,__text) external ___process_policy
0000000180ee0fe8 (__TEXT,__text) external ___pselect
0000000180ee1014 (__TEXT,__text) external ___pselect_nocancel
0000000180ee1040 (__TEXT,__text) external ___psynch_cvbroad
0000000180ee106c (__TEXT,__text) external ___psynch_cvclrprepost
0000000180ee1098 (__TEXT,__text) external ___psynch_cvsignal
0000000180ee10c4 (__TEXT,__text) external ___psynch_cvwait
0000000180ee10f0 (__TEXT,__text) external ___psynch_mutexdrop
0000000180ee111c (__TEXT,__text) external ___psynch_mutexwait
0000000180ee1148 (__TEXT,__text) external ___psynch_rw_downgrade
0000000180ee1174 (__TEXT,__text) external ___psynch_rw_longrdlock
0000000180ee11a0 (__TEXT,__text) external ___psynch_rw_rdlock
0000000180ee11cc (__TEXT,__text) external ___psynch_rw_unlock
0000000180ee11f8 (__TEXT,__text) external ___psynch_rw_unlock2
0000000180ee1224 (__TEXT,__text) external ___psynch_rw_upgrade
0000000180ee1250 (__TEXT,__text) external ___psynch_rw_wrlock
0000000180ee127c (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180ee12a8 (__TEXT,__text) external ___pthread_canceled
0000000180ee12d4 (__TEXT,__text) external ___pthread_chdir
0000000180ee1300 (__TEXT,__text) external ___pthread_fchdir
0000000180ee132c (__TEXT,__text) external ___pthread_kill
0000000180ee1358 (__TEXT,__text) external ___pthread_markcancel
0000000180ee1384 (__TEXT,__text) external ___pthread_sigmask
0000000180ee13b0 (__TEXT,__text) external ___ptrace
0000000180ee13e8 (__TEXT,__text) external ___pwrite_nocancel
0000000180ee1414 (__TEXT,__text) external ___pwritev_nocancel
0000000180ee1440 (__TEXT,__text) external ___read_nocancel
0000000180ee146c (__TEXT,__text) external ___readv_nocancel
0000000180ee1498 (__TEXT,__text) external ___reboot
0000000180ee14c4 (__TEXT,__text) external ___record_system_event
0000000180ee14f0 (__TEXT,__text) external ___recvfrom
0000000180ee151c (__TEXT,__text) external ___recvfrom_nocancel
0000000180ee1548 (__TEXT,__text) external ___recvmsg
0000000180ee1574 (__TEXT,__text) external ___recvmsg_nocancel
0000000183014860 (__DATA,__bss) non-external ___remove_counter
0000000180ee15a0 (__TEXT,__text) external ___rename
0000000180ee15cc (__TEXT,__text) external ___renameat
0000000180ee15f8 (__TEXT,__text) external ___renameatx_np
0000000180ee1624 (__TEXT,__text) external ___rmdir
0000000180ee0610 (__TEXT,__text) external ___sandbox_me
0000000180ee0770 (__TEXT,__text) external ___sandbox_mm
0000000180ee084c (__TEXT,__text) external ___sandbox_ms
0000000180ee0820 (__TEXT,__text) external ___sandbox_msp
0000000180ee1650 (__TEXT,__text) external ___select
0000000180ee167c (__TEXT,__text) external ___select_nocancel
0000000180ee16a8 (__TEXT,__text) external ___sem_open
0000000180ee16d4 (__TEXT,__text) external ___sem_wait_nocancel
0000000180ee1700 (__TEXT,__text) external ___semctl
0000000180ee172c (__TEXT,__text) external ___semsys
0000000180ee1758 (__TEXT,__text) external ___semwait_signal
0000000180ee1784 (__TEXT,__text) external ___semwait_signal_nocancel
0000000180ee17b0 (__TEXT,__text) external ___sendmsg
0000000180ee17dc (__TEXT,__text) external ___sendmsg_nocancel
0000000180ee1808 (__TEXT,__text) external ___sendto
0000000180ee1834 (__TEXT,__text) external ___sendto_nocancel
0000000180ee1860 (__TEXT,__text) external ___setattrlist
0000000180ee188c (__TEXT,__text) external ___setlogin
0000000180ee18b8 (__TEXT,__text) external ___setpriority
0000000180ee18e4 (__TEXT,__text) external ___setregid
0000000180ee1910 (__TEXT,__text) external ___setreuid
0000000180ee193c (__TEXT,__text) external ___setrlimit
0000000180ee1968 (__TEXT,__text) external ___setsgroups
0000000180ee1994 (__TEXT,__text) external ___settid
0000000180ee19c0 (__TEXT,__text) external ___settid_with_pid
0000000180ee19ec (__TEXT,__text) external ___settimeofday
0000000180ee1a18 (__TEXT,__text) external ___setwgroups
0000000180ee1a44 (__TEXT,__text) external ___sfi_ctl
0000000180ee1a70 (__TEXT,__text) external ___sfi_pidctl
0000000180ee1a9c (__TEXT,__text) external ___shared_region_check_np
0000000180ee1ac8 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000180ee1af4 (__TEXT,__text) external ___shm_open
0000000180ee1b20 (__TEXT,__text) external ___shmctl
0000000180ee1b4c (__TEXT,__text) external ___shmsys
0000000180ee1b78 (__TEXT,__text) external ___sigaction
0000000180ee1ba4 (__TEXT,__text) external ___sigaltstack
0000000180ee1bd0 (__TEXT,__text) external ___sigreturn
0000000180ee1bfc (__TEXT,__text) external ___sigsuspend
0000000180ee1c28 (__TEXT,__text) external ___sigsuspend_nocancel
0000000180ee1c54 (__TEXT,__text) external ___sigwait
0000000180ee1c80 (__TEXT,__text) external ___socketpair
0000000180ee1cac (__TEXT,__text) external ___stack_snapshot_with_config
0000000180ee1cd8 (__TEXT,__text) external ___stat64_extended
0000000180ee1d04 (__TEXT,__text) external ___stat_extended
0000000180eeb500 (__TEXT,__text) non-external ___statfs_ext_impl
0000000180ee1d30 (__TEXT,__text) external ___syscall
0000000183014ef8 (__DATA,__common) external ___syscall_logger
0000000180ee1d6c (__TEXT,__text) external ___sysctl
0000000180ee1d98 (__TEXT,__text) external ___sysctlbyname
0000000180ee1dc4 (__TEXT,__text) external ___telemetry
0000000180ee1df0 (__TEXT,__text) external ___terminate_with_payload
0000000180ee1e1c (__TEXT,__text) external ___thread_selfid
0000000180ee1e48 (__TEXT,__text) external ___thread_selfusage
0000000180ee1e74 (__TEXT,__text) external ___ulock_wait
0000000180ee1ea0 (__TEXT,__text) external ___ulock_wait2
0000000180ee1ecc (__TEXT,__text) external ___ulock_wake
0000000180ee1ef8 (__TEXT,__text) external ___umask_extended
0000000180ee1f24 (__TEXT,__text) external ___unlink
0000000180ee1f50 (__TEXT,__text) external ___unlinkat
0000000180ee1f7c (__TEXT,__text) external ___vfork
0000000180ee1fec (__TEXT,__text) external ___wait4
0000000180ee2018 (__TEXT,__text) external ___wait4_nocancel
0000000180ee2044 (__TEXT,__text) external ___waitid_nocancel
0000000180ee2070 (__TEXT,__text) external ___work_interval_ctl
0000000180ee209c (__TEXT,__text) external ___workq_kernreturn
0000000180ee20c8 (__TEXT,__text) external ___workq_open
0000000180ee20f4 (__TEXT,__text) external ___write_nocancel
0000000180ee2120 (__TEXT,__text) external ___writev_nocancel
00000001830148b0 (__DATA,__common) external __cpu_capabilities
00000001830148b4 (__DATA,__common) external __cpu_has_altivec
00000001830144f8 (__DATA,__data) external __current_pid
0000000183014820 (__DATA,__bss) non-external __dlsym
0000000180edf5a0 (__TEXT,__text) external __exclaves_ctl_trap
0000000180edfebc (__TEXT,__text) external __exit
0000000180edf860 (__TEXT,__text) external __get_cpu_capabilities
0000000183014838 (__DATA,__bss) non-external __gethostuuid_callback
0000000180eeaa40 (__TEXT,__text) external __getprivatesystemidentifier
0000000180efa8c0 (__TEXT,__text) external __host_page_size
0000000180ef47b4 (__TEXT,__text) external __init_cpu_capabilities
0000000180efc154 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180efd638 (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000180efec14 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180efd51c (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
0000000180efeaa4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180edf384 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
0000000180f009f4 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
0000000180effae0 (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180edf3d8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180efd8a8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180edf390 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000180efd78c (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180effc4c (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180edf3e4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000180eff204 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180eff5e8 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000180edf3cc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180efe4b8 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180efe74c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180edf48c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000180eff704 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180efd9c4 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180f0081c (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180efdf60 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000180efeeb4 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180effd68 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180edf498 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180f00248 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180eff4cc (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180edf3c0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000180efe390 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180edf3b4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000180f006c8 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180eff368 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
0000000180eff974 (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180f00488 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180efdb14 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000180edf39c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000180efe0f4 (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180edf3a8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
0000000180efd0ec (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180efdc30 (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000180efd400 (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180efe210 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180edf594 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000180efe93c (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180eff858 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180efde44 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
0000000180efe630 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000180efffa4 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180eff008 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000180f000f4 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180f00368 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180efd2ac (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180edf588 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180effe88 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180edf4a4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180f05b10 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
0000000180f059e4 (__TEXT,__text) external __kernelrpc_mach_ports_register3
0000000180f0a448 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180f00b5c (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180edf33c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000180f00cb4 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180edf354 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180f018fc (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180edf378 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180f00dd0 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180edf36c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000180f024b8 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180edf348 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000180f01010 (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180f01be0 (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000180f02950 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000180f030c0 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
0000000180f10c54 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
0000000180efed98 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180f0cd54 (__TEXT,__text) external __kernelrpc_thread_policy
0000000180f0cec4 (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000180f0d7f4 (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180f0ee10 (__TEXT,__text) external __kernelrpc_vm_map
0000000180f0f9cc (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000180f0e524 (__TEXT,__text) external __kernelrpc_vm_read
0000000180f0f0f4 (__TEXT,__text) external __kernelrpc_vm_remap
0000000180f0fb20 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180ee4ce8 (__TEXT,__text) non-external __libkernel_bzero
0000000183014818 (__DATA,__bss) non-external __libkernel_functions
00000001830d2040 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
0000000180ee4e54 (__TEXT,__text) non-external __libkernel_memmove
0000000180ee4cf4 (__TEXT,__text) non-external __libkernel_memset
0000000180ee4c88 (__TEXT,__text) non-external __libkernel_strchr
0000000180ee4cc0 (__TEXT,__text) non-external __libkernel_strcmp
0000000180ee4f6c (__TEXT,__text) non-external __libkernel_strcpy
0000000183014500 (__DATA,__data) non-external __libkernel_string_functions
0000000180ee4fb4 (__TEXT,__text) non-external __libkernel_strlcpy
0000000180ee4ac8 (__TEXT,__text) non-external __libkernel_strlen
0000000183014508 (__DATA,__data) non-external __libkernel_voucher_functions
0000000180f120a0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
0000000180ee5e68 (__TEXT,__text) non-external __mach_continuous_time
0000000180fe9868 (__DATA_CONST,__const) external __mach_errors
0000000180ee6894 (__TEXT,__text) external __mach_fork_child
0000000180ee81a8 (__TEXT,__text) external __mach_snprintf
0000000180ee8044 (__TEXT,__text) external __mach_vsnprintf
00000001830148b8 (__DATA,__common) external __os_alloc_once_table
0000000180eec818 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
0000000180eed4b8 (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
0000000180eeaa44 (__TEXT,__text) external __register_gethostuuid_callback
000000018301482c (__DATA,__bss) non-external __task_reply_port
0000000180ee4774 (__TEXT,__text) external __thread_set_tsd_base
0000000180f115a4 (__TEXT,__text) non-external _abort
0000000180f115a4 (__TEXT,__text) non-external _abort.391
0000000180f115a4 (__TEXT,__text) non-external _abort.393
0000000180f115a4 (__TEXT,__text) non-external _abort.404
0000000180f11674 (__TEXT,__text) external _abort_with_payload
0000000180f115e8 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000180f115c8 (__TEXT,__text) external _abort_with_reason
0000000180edf994 (__TEXT,__text) external _accept
0000000180edf9c0 (__TEXT,__text) external _accept$NOCANCEL
0000000180ee214c (__TEXT,__text) external _access
0000000180edf9ec (__TEXT,__text) external _accessx_np
0000000180ee2178 (__TEXT,__text) external _acct
0000000180f0b46c (__TEXT,__text) external _act_get_state
0000000180f0b6b4 (__TEXT,__text) external _act_set_state
0000000180ee21a4 (__TEXT,__text) external _adjtime
0000000180ee21d0 (__TEXT,__text) external _aio_cancel
0000000180ee21fc (__TEXT,__text) external _aio_error
0000000180ee2228 (__TEXT,__text) external _aio_fsync
0000000180ee2254 (__TEXT,__text) external _aio_read
0000000180ee2280 (__TEXT,__text) external _aio_return
0000000180ee22ac (__TEXT,__text) external _aio_suspend
0000000180edfa18 (__TEXT,__text) external _aio_suspend$NOCANCEL
0000000180ee22d8 (__TEXT,__text) external _aio_write
0000000180ee2304 (__TEXT,__text) external _audit
0000000180ee2330 (__TEXT,__text) external _audit_session_join
0000000180ee235c (__TEXT,__text) external _audit_session_port
0000000180ee2388 (__TEXT,__text) external _audit_session_self
0000000180ee23b4 (__TEXT,__text) external _auditctl
0000000180ee23e0 (__TEXT,__text) external _auditon
0000000180edfa44 (__TEXT,__text) external _bind
0000000183014874 (__DATA,__common) external _bootstrap_port
0000000180ee4a18 (__TEXT,__text) non-external _bzero
0000000180ee8454 (__TEXT,__text) external _cerror
0000000180ee8430 (__TEXT,__text) external _cerror_nocancel
0000000180ee240c (__TEXT,__text) external _change_fdguard_np
0000000180ee2438 (__TEXT,__text) external _chdir
0000000180ee2464 (__TEXT,__text) external _chflags
0000000180eeb858 (__TEXT,__text) external _chmod
0000000180ee2490 (__TEXT,__text) external _chown
0000000180ee24bc (__TEXT,__text) external _chroot
0000000180ef725c (__TEXT,__text) external _clock_alarm
0000000180ef6ee0 (__TEXT,__text) external _clock_alarm_reply
0000000180ef7090 (__TEXT,__text) external _clock_get_attributes
0000000180ef6f48 (__TEXT,__text) external _clock_get_time
0000000180ef6d90 (__TEXT,__text) external _clock_set_attributes
0000000180ef6c78 (__TEXT,__text) external _clock_set_time
0000000180ee5fec (__TEXT,__text) external _clock_sleep
0000000180edf558 (__TEXT,__text) external _clock_sleep_trap
0000000180ee5e44 (__TEXT,__text) external _clonefile
0000000180ee24e8 (__TEXT,__text) external _clonefileat
0000000180ee2514 (__TEXT,__text) external _close
0000000180edfc54 (__TEXT,__text) external _close$NOCANCEL
0000000180ef1afc (__TEXT,__text) external _coalition_create
0000000180ef1ba4 (__TEXT,__text) external _coalition_info_debug_info
0000000180ef1c50 (__TEXT,__text) external _coalition_info_pid_list
0000000180ef1b6c (__TEXT,__text) external _coalition_info_resource_usage
0000000180ef1c14 (__TEXT,__text) external _coalition_info_set_efficiency
0000000180ef1bdc (__TEXT,__text) external _coalition_info_set_name
0000000180ef1c84 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180ee2540 (__TEXT,__text) external _coalition_policy_get
