                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018c1e0e40 (__TEXT,__text) non-external _au_assemble
000000018c1ee520 (__TEXT,__text) external _audit_set_sflags
000000018c1ee574 (__TEXT,__text) external _audit_set_sflags_mask
000000018c1eeaa0 (__TEXT,__text) external _audit_set_stat
000000018c1edb38 (__TEXT,__text) non-external _audit_set_terminal_host
000000018c1eda08 (__TEXT,__text) external _audit_set_terminal_id
000000018c1edbfc (__TEXT,__text) external _audit_set_terminal_id_ex
000000018c1eda5c (__TEXT,__text) non-external _audit_set_terminal_port
000000018c1ed660 (__TEXT,__text) external _audit_submit
000000018c1e03cc (__TEXT,__text) external _audit_token_to_asid
000000018c1e040c (__TEXT,__text) external _audit_token_to_au32
000000018c1e03ec (__TEXT,__text) external _audit_token_to_auid
000000018c1e03f4 (__TEXT,__text) external _audit_token_to_egid
000000018c1e03dc (__TEXT,__text) external _audit_token_to_euid
000000018c1e03d4 (__TEXT,__text) external _audit_token_to_pid
000000018c1e0404 (__TEXT,__text) external _audit_token_to_pidversion
000000018c1e03fc (__TEXT,__text) external _audit_token_to_rgid
000000018c1e03e4 (__TEXT,__text) external _audit_token_to_ruid
000000018c1edc50 (__TEXT,__text) external _audit_write
000000018c1ee024 (__TEXT,__text) external _audit_write_failure
000000018c1ee130 (__TEXT,__text) external _audit_write_failure_ex
000000018c1ee320 (__TEXT,__text) external _audit_write_failure_na
000000018c1ee364 (__TEXT,__text) external _audit_write_failure_na_ex
000000018c1ee23c (__TEXT,__text) external _audit_write_failure_self
000000018c1ede30 (__TEXT,__text) external _audit_write_success
000000018c1edee4 (__TEXT,__text) external _audit_write_success_ex
000000018c1edf98 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018c1e975c (__TEXT,__text) non-external _be64dec
000000018c1ef108 (__TEXT,__const) non-external _bsm_domains
00000001d33ac610 (__DATA_CONST,__const) non-external _bsm_errnos
000000018c1ef390 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018c1ef330 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018c1ea898 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018c1e9ca0 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018c1e1b94 (__TEXT,__text) external _endac
000000018c1e16ec (__TEXT,__text) external _endauclass
000000018c1e26cc (__TEXT,__text) external _endauevent
000000018c1ed1b4 (__TEXT,__text) external _endauuser
00000001d562b448 (__DATA,__bss) non-external _ev_cache
000000018c1e2b18 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
000000018c1e4bf0 (__TEXT,__text) non-external _fetch_arb_tok
000000018c1e35c4 (__TEXT,__text) non-external _fetch_arg32_tok
000000018c1e3648 (__TEXT,__text) non-external _fetch_arg64_tok
000000018c1e36cc (__TEXT,__text) non-external _fetch_attr32_tok
000000018c1e3790 (__TEXT,__text) non-external _fetch_attr64_tok
000000018c1e4c80 (__TEXT,__text) non-external _fetch_cert_hash_tok
000000018c1e38cc (__TEXT,__text) non-external _fetch_execarg_tok
000000018c1e3964 (__TEXT,__text) non-external _fetch_execenv_tok
000000018c1e3878 (__TEXT,__text) non-external _fetch_exit_tok
000000018c1e39fc (__TEXT,__text) non-external _fetch_file_tok
000000018c1e3190 (__TEXT,__text) non-external _fetch_header32_ex_tok
000000018c1e30c8 (__TEXT,__text) non-external _fetch_header32_tok
000000018c1e33f0 (__TEXT,__text) non-external _fetch_header64_ex_tok
000000018c1e3304 (__TEXT,__text) non-external _fetch_header64_tok
000000018c1e4db0 (__TEXT,__text) non-external _fetch_identity_tok
000000018c1e3af4 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
000000018c1e3b6c (__TEXT,__text) non-external _fetch_ip_tok
000000018c1e3c78 (__TEXT,__text) non-external _fetch_ipc_tok
000000018c1e3cc8 (__TEXT,__text) non-external _fetch_ipcperm_tok
000000018c1e4d18 (__TEXT,__text) non-external _fetch_krb5_principal_tok
000000018c1e3a84 (__TEXT,__text) non-external _fetch_newgroups_tok
000000018c1e3da8 (__TEXT,__text) non-external _fetch_process32_tok
000000018c1e3ebc (__TEXT,__text) non-external _fetch_process32ex_tok
000000018c1e4014 (__TEXT,__text) non-external _fetch_process64_tok
000000018c1e4158 (__TEXT,__text) non-external _fetch_process64ex_tok
000000018c1e42dc (__TEXT,__text) non-external _fetch_return32_tok
000000018c1e432c (__TEXT,__text) non-external _fetch_return64_tok
000000018c1e452c (__TEXT,__text) non-external _fetch_sock_inet128_tok
000000018c1e4418 (__TEXT,__text) non-external _fetch_sock_inet32_tok
000000018c1e4484 (__TEXT,__text) non-external _fetch_sock_unix_tok
000000018c1e437c (__TEXT,__text) non-external _fetch_socket_tok
000000018c1e4acc (__TEXT,__text) non-external _fetch_socketex32_tok
000000018c1e4598 (__TEXT,__text) non-external _fetch_subject32_tok
000000018c1e46ac (__TEXT,__text) non-external _fetch_subject32ex_tok
000000018c1e4804 (__TEXT,__text) non-external _fetch_subject64_tok
000000018c1e4948 (__TEXT,__text) non-external _fetch_subject64ex_tok
000000018c1e356c (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001d562b440 (__DATA,__bss) non-external _firsttime
000000018c1ea678 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001d562af50 (__DATA,__bss) non-external _fp
00000001d562b058 (__DATA,__bss) non-external _fp
00000001d562b168 (__DATA,__bss) non-external _fp
00000001d562b458 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018c1e1be8 (__TEXT,__text) external _getacdir
000000018c1e2314 (__TEXT,__text) external _getacexpire
000000018c1e1e84 (__TEXT,__text) external _getacfilesz
000000018c1e2030 (__TEXT,__text) external _getacflg
000000018c1e2264 (__TEXT,__text) external _getachost
000000018c1e1e00 (__TEXT,__text) external _getacmin
000000018c1e20e0 (__TEXT,__text) external _getacna
000000018c1e2190 (__TEXT,__text) external _getacpol
000000018c1e2240 (__TEXT,__text) external _getacsflagsmask
000000018c1e149c (__TEXT,__text) external _getauclassent
00000001d562ae60 (__DATA,__bss) non-external _getauclassent.c
00000001d562ae18 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001d562ae10 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001d562ae78 (__DATA,__bss) non-external _getauclassent.cp
000000018c1e12fc (__TEXT,__text) external _getauclassent_r
000000018c1e1344 (__TEXT,__text) non-external _getauclassent_r_locked
000000018c1e15f4 (__TEXT,__text) external _getauclassnam
00000001d562aed0 (__DATA,__bss) non-external _getauclassnam.c
00000001d562ae88 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001d562ae80 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018c1e1568 (__TEXT,__text) external _getauclassnam_r
000000018c1e16b0 (__TEXT,__text) external _getauclassnum
00000001d562af38 (__DATA,__bss) non-external _getauclassnum.c
00000001d562aef0 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001d562aee8 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018c1e1630 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018c1e2c4c (__TEXT,__text) external _getauditflagsbin
000000018c1e2db8 (__TEXT,__text) external _getauditflagschar
000000018c1e27e4 (__TEXT,__text) external _getauevent
00000001d562b1c0 (__DATA,__bss) non-external _getauevent.e
00000001d562b18e (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001d562b170 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018c1e2720 (__TEXT,__text) external _getauevent_r
000000018c1e2914 (__TEXT,__text) external _getauevnam
00000001d562b230 (__DATA,__bss) non-external _getauevnam.e
00000001d562b1fe (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001d562b1e0 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018c1e2824 (__TEXT,__text) external _getauevnam_r
000000018c1e2b08 (__TEXT,__text) external _getauevnonam
00000001d562b338 (__DATA,__bss) non-external _getauevnonam.event
000000018c1e2a84 (__TEXT,__text) external _getauevnonam_r
00000001d562b310 (__DATA,__bss) non-external _getauevnonam_r.e
00000001d562b330 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001d562b2de (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001d562b2c0 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018c1e2a40 (__TEXT,__text) external _getauevnum
00000001d562b2a0 (__DATA,__bss) non-external _getauevnum.e
00000001d562b26e (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001d562b250 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018c1e2958 (__TEXT,__text) external _getauevnum_r
000000018c1ed3a0 (__TEXT,__text) external _getauuserent
00000001d562b498 (__DATA,__bss) non-external _getauuserent.u
00000001d562b460 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018c1ed208 (__TEXT,__text) external _getauuserent_r
000000018c1ed250 (__TEXT,__text) non-external _getauuserent_r_locked
000000018c1ed494 (__TEXT,__text) external _getauusernam
00000001d562b4e8 (__DATA,__bss) non-external _getauusernam.u
00000001d562b4b0 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018c1ed40c (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018c1ed588 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018c1e1c94 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001d562af58 (__DATA,__bss) non-external _linestr
00000001d562b068 (__DATA,__bss) non-external _linestr
00000001d562b33a (__DATA,__bss) non-external _linestr
00000001d562b500 (__DATA,__bss) non-external _linestr
000000018c1ea5c0 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001d562abe0 (__DATA,__data) non-external _mutex
00000001d562ac20 (__DATA,__data) non-external _mutex
00000001d562ac60 (__DATA,__data) non-external _mutex
00000001d562aca0 (__DATA,__data) non-external _mutex
00000001d562ace0 (__DATA,__data) non-external _mutex
00000001d562ad20 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001d562ad70 (__DATA,__bss) non-external _open_desc_table
000000018c1e9b38 (__TEXT,__text) non-external _print_event
000000018c1ea250 (__TEXT,__text) non-external _print_group
000000018c1e9f44 (__TEXT,__text) non-external _print_ip_ex_address
000000018c1ea35c (__TEXT,__text) non-external _print_ipctype
000000018c1ea2d4 (__TEXT,__text) non-external _print_mem
000000018c1ea3fc (__TEXT,__text) non-external _print_retval
000000018c1e9c0c (__TEXT,__text) non-external _print_sec32
000000018c1ea030 (__TEXT,__text) non-external _print_sec64
000000018c1ea0c0 (__TEXT,__text) non-external _print_string
000000018c1e9768 (__TEXT,__text) non-external _print_tok_type
000000018c1ea1cc (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018c1e1ac0 (__TEXT,__text) external _setac
000000018c1e1b04 (__TEXT,__text) non-external _setac_locked
00000001d562b060 (__DATA,__bss) non-external _setac_locked.lastctime
000000018c1e1518 (__TEXT,__text) external _setauclass
000000018c1e267c (__TEXT,__text) external _setauevent
000000018c1ed164 (__TEXT,__text) external _setauuser
000000018c1e24f8 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001d562b450 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
