00007ff80daa7402 (__TEXT,__text) non-external _Annihilate
00007ff80daad934 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80dab1be5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80dab1bdc (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80dab1abc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80dab43f2 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80dab1b9e (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80dab1b85 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80daad84c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80dab43b7 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80dab4327 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80dab41c8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80dab42ae (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80dab1af0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80dab1c0c (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80daad5da (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80daad5e7 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80daa80ae (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80da998a3 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80da9b570 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80da99628 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80da99775 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80da9e764 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80da9c53d (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80da99879 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80da99580 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80da9e777 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80da9e7ed (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80dab042c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80dab72aa (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80dadff58 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80daa730e (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80daa74cc (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80dac8bfc (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80dabefb8 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80dabfcba (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80dabe2b6 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80dabecf2 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80dabf9f4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80dabdff0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80dabf1ce (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80dabfed0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80dabe4cc (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80dabf047 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80dabfd49 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80dabe345 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80daad6ac (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80daa809a (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80daea82b (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80dac8b98 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80daa71b9 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80dac31bf (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80dae1c2c (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80daeb961 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80dab85bb (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80dace9d0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80dacef20 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80dace494 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80db11ec0 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80daad710 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80dab828f (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80daa74d9 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80daa80e9 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80dac9ff6 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80db46418 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80db46412 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80db46400 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80dacaa15 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80dacd0b1 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80daa6a78 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80dae7e01 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80dacc706 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80dacd4bb (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80dac8c09 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80daad6c0 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80daa7353 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80dab89ab (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80dac3514 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80dac31e2 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80dacb670 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80daa6f87 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80dacca42 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80daa6b2e (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80dacc97a (__TEXT,__text) non-external _BuildHistograms
00007ff80daf1df0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80daf1ef0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80da9e7f8 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80daa724a (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80daeb114 (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80dac5040 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80daec8a6 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80daafe38 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80dad21f8 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80dad3152 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80dadc610 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80dad3e2a (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80dad79ff (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80dad8e8d (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80dada362 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80dad4f57 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80dadb8c2 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80dadd5c8 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80dad645c (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80dade614 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80da9fa64 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff80daf1ce0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80dab2210 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80daaffb2 (__TEXT,__text) non-external _DecodeContextMap
00007ff80dab2d6f (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80dab27c9 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80daaec51 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80daaf21e (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80daa69f8 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80dacbb9f (__TEXT,__text) non-external _EncodeContextMap
00007ff80da9c66e (__TEXT,__text) non-external _EncodeData
00007ff80dac4e65 (__TEXT,__text) non-external _EvaluateNode
00007ff80da9f31a (__TEXT,__text) non-external _ExtendLastCommand
00007ff80db11f90 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80db4f8f0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80db68400 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80da9f15f (__TEXT,__text) non-external _GetBrotliStorage
00007ff80da9f1d3 (__TEXT,__text) non-external _GetHashTable
00007ff80daebc2f (__TEXT,__text) non-external _InitBlockSplitterCommand
00007ff80daebdea (__TEXT,__text) non-external _InitBlockSplitterDistance
00007ff80daeba74 (__TEXT,__text) non-external _InitBlockSplitterLiteral
00007ff80daf1be0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80db688a0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80daf1b60 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80dac43ff (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80da9eab7 (__TEXT,__text) non-external _InitializeH6
00007ff80da9c55b (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80dab1cbb (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80daba094 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80daba046 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80dab9f6b (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80daee4f8 (__TEXT,__text) non-external _MapStaticContexts
00007ff80da9ee75 (__TEXT,__text) non-external _PrepareH35
00007ff80da9eb1e (__TEXT,__text) non-external _PrepareH4
00007ff80da9ec42 (__TEXT,__text) non-external _PrepareH40
00007ff80da9ecd8 (__TEXT,__text) non-external _PrepareH41
00007ff80da9ed6e (__TEXT,__text) non-external _PrepareH42
00007ff80da9eb85 (__TEXT,__text) non-external _PrepareH5
00007ff80da9ee0e (__TEXT,__text) non-external _PrepareH54
00007ff80da9ef77 (__TEXT,__text) non-external _PrepareH55
00007ff80da9ebd9 (__TEXT,__text) non-external _PrepareH6
00007ff80da9f029 (__TEXT,__text) non-external _PrepareH65
00007ff80dab04d1 (__TEXT,__text) non-external _ProcessCommands
00007ff80daaf3d9 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80dab1eac (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80dab29fc (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80dab23f8 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80dab1c17 (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80dab0f68 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80daaeb08 (__TEXT,__text) non-external _SaveErrorCode
00007ff80dac6667 (__TEXT,__text) non-external _SetCost
00007ff80dac8e2a (__TEXT,__text) non-external _Shift
00007ff80da9e83e (__TEXT,__text) non-external _ShouldCompress
00007ff80dae7bb0 (__TEXT,__text) non-external _ShouldCompress
00007ff80daa6d6c (__TEXT,__text) non-external _ShouldMergeBlock
00007ff80daf1cf0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80daa738e (__TEXT,__text) non-external _SortPointers
00007ff80daf22c0 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80dae7eb7 (__TEXT,__text) non-external _StoreCommands
00007ff80db47180 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80db46f80 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80dacb529 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80daccdd9 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80dacc383 (__TEXT,__text) non-external _StoreSymbol
00007ff80dacc53b (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80dacb954 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80dacd63a (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80daa6f04 (__TEXT,__text) non-external _UpdateBits
00007ff80da9f2aa (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff80dac45bb (__TEXT,__text) non-external _UpdateNodes
00007ff80dab1a88 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80da9f594 (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff80daaeb1c (__TEXT,__text) non-external _WriteRingBuffer
00007ff80dac4471 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff80db12500 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
00007ff80db12410 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00007ff8424b9920 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80dab5b7f (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80db4e2d0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80db46760 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80daf2000 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80db4e4d0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80daea560 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80da91f83 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80da90343 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80daea437 (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80daea790 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80da90204 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80da99070 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80db4ecc0 (__TEXT,__const) non-external _base_dist
00007ff80db4ec40 (__TEXT,__const) non-external _base_length
00007ff80daea70e (__TEXT,__text) non-external _bi_flush
00007ff80da938c0 (__TEXT,__text) non-external _bi_windup
00007ff80db4ec20 (__TEXT,__const) non-external _bl_order
00007ff80db464e0 (__TEXT,__const) non-external _breverse.brev8
00007ff80dae867c (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80dae86b1 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80dae8868 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80dae8792 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80dae86ed (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80da92927 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80da934b2 (__TEXT,__text) non-external _compress_block
00007ff80da95749 (__TEXT,__text) external _compression_decode_buffer
00007ff80da95645 (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80dae1f91 (__TEXT,__text) external _compression_encode_buffer
00007ff80dae1e3f (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80da93a80 (__TEXT,__text) external _compression_stream_destroy
00007ff80dab71b8 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80dab7162 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80dab711a (__TEXT,__text) external _compression_stream_get_state_size
00007ff80dab7098 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80da8fc40 (__TEXT,__text) external _compression_stream_init
00007ff80dab704b (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80dab720e (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80da90877 (__TEXT,__text) external _compression_stream_process
00007ff80da95e8f (__TEXT,__text) external _compression_stream_reinit
00007ff8424ba190 (__DATA,__const) non-external _configuration_table
00007ff80dabd9fd (__TEXT,__text) non-external _convert_row_16to8
00007ff80dabd998 (__TEXT,__text) non-external _convert_row_8to16
00007ff80dabd72b (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00007ff80dabd238 (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00007ff80dabdcbf (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00007ff80dabda73 (__TEXT,__text) non-external _convert_row_RG88toRG
00007ff80dabd019 (__TEXT,__text) non-external _convert_row_RGB888toGUV
00007ff80dabd471 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00007ff80dabdbd1 (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00007ff80dabdb21 (__TEXT,__text) non-external _convert_row_RGtoRG88
00007ff80dabda66 (__TEXT,__text) non-external _convert_row_copy16
00007ff80dabc436 (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00007ff80dabc3dc (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00007ff80dabcd8c (__TEXT,__text) non-external _convert_rows_from_bayer16
00007ff80dabcb58 (__TEXT,__text) non-external _convert_rows_from_bayer8
00007ff80dabc598 (__TEXT,__text) non-external _convert_rows_from_quadra8
00007ff80dabcef2 (__TEXT,__text) non-external _convert_rows_to_bayer16
00007ff80dabcc75 (__TEXT,__text) non-external _convert_rows_to_bayer8
00007ff80dabc889 (__TEXT,__text) non-external _convert_rows_to_quadra8
00007ff80dad0449 (__TEXT,__text) external _cosmix_codec_decode
00007ff80dacfae3 (__TEXT,__text) external _cosmix_codec_encode
00007ff80dad0365 (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80dad0ef0 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80dad0d64 (__TEXT,__text) external _cosmix_codec_map
00007ff80dad0ea8 (__TEXT,__text) external _cosmix_codec_unmap
00007ff80dad0990 (__TEXT,__text) external _cosmix_model_create
00007ff80dad0aaf (__TEXT,__text) external _cosmix_model_destroy
00007ff80dad0ad8 (__TEXT,__text) external _cosmix_model_save_codec
00007ff80dacf470 (__TEXT,__text) external _cosmix_model_update
00007ff80dae8346 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80db4fba0 (__TEXT,__const) non-external _crc32_lut4
00007ff80db471e0 (__TEXT,__const) non-external _crc_table
00007ff80dababb3 (__TEXT,__text) non-external _create_rectangle_within_image
00007ff80daad5f4 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80da90c8f (__TEXT,__text) non-external (was a private external) _deflate
00007ff80daf017c (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80daf074c (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80da93995 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80da8fe06 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80daefe9d (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80daf005f (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80daf002a (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80da900bd (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80daefec7 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80daf0005 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80daf0148 (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80db4fb40 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80daf0b07 (__TEXT,__text) non-external _deflate_fast
00007ff80daf0289 (__TEXT,__text) non-external _deflate_huff
00007ff80daf0403 (__TEXT,__text) non-external _deflate_rle
00007ff80da91677 (__TEXT,__text) non-external _deflate_slow
00007ff80daf0941 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80dac993d (__TEXT,__text) non-external _emitMatch
00007ff80db4ebd0 (__TEXT,__const) non-external _extra_blbits
00007ff80db4eb50 (__TEXT,__const) non-external _extra_dbits
00007ff80db4ead0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80da91b55 (__TEXT,__text) non-external _fill_window
00007ff80da93931 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80daefe51 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fwrite (from libSystem)
00007ff80db4f7f0 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80db4ed70 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80db4eeb0 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80dabc490 (__TEXT,__text) non-external (was a private external) _get_conversion_set
00007ff80dae8339 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80dac0e2a (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80daba2f7 (__TEXT,__text) non-external _get_format_bits
00007ff80daba151 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00007ff80daba172 (__TEXT,__text) non-external (was a private external) _get_format_components
00007ff80daba1ec (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00007ff80daba4a1 (__TEXT,__text) non-external _get_format_plane_count
00007ff80daba20d (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00007ff80dab4a20 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80dab4a5b (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80dab4a9c (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80dac0df6 (__TEXT,__text) non-external (was a private external) _get_real_time
00007ff80dab4a85 (__TEXT,__text) non-external (was a private external) _get_slice_height
00007ff80dab4a6f (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
