00000001dbf4bf04 (__TEXT,__text) external _CGLGetCurrentContext
00000001dbf42a28 (__TEXT,__text) external _glColor3bv
00000001dbf42a40 (__TEXT,__text) external _glColor3d
00000001dbf42a54 (__TEXT,__text) external _glColor3dv
00000001dbf42a6c (__TEXT,__text) external _glColor3f
00000001dbf42a80 (__TEXT,__text) external _glColor3fv
00000001dbf42a98 (__TEXT,__text) external _glColor3i
00000001dbf42ab8 (__TEXT,__text) external _glColor3iv
00000001dbf42ad0 (__TEXT,__text) external _glColor3s
00000001dbf42af0 (__TEXT,__text) external _glColor3sv
00000001dbf42b08 (__TEXT,__text) external _glColor3ub
00000001dbf42b28 (__TEXT,__text) external _glColor3ubv
00000001dbf42b40 (__TEXT,__text) external _glColor3ui
00000001dbf42b60 (__TEXT,__text) external _glColor3uiv
00000001dbf42b78 (__TEXT,__text) external _glColor3us
00000001dbf42b98 (__TEXT,__text) external _glColor3usv
00000001dbf42bb0 (__TEXT,__text) external _glColor4b
00000001dbf42bd4 (__TEXT,__text) external _glColor4bv
00000001dbf42bec (__TEXT,__text) external _glColor4d
00000001dbf42c00 (__TEXT,__text) external _glColor4dv
00000001dbf42c18 (__TEXT,__text) external _glColor4f
00000001dbf42c2c (__TEXT,__text) external _glColor4fv
00000001dbf42c44 (__TEXT,__text) external _glColor4i
00000001dbf42c68 (__TEXT,__text) external _glColor4iv
00000001dbf42c80 (__TEXT,__text) external _glColor4s
00000001dbf42ca4 (__TEXT,__text) external _glColor4sv
00000001dbf42cbc (__TEXT,__text) external _glColor4ub
00000001dbf42ce0 (__TEXT,__text) external _glColor4ubv
00000001dbf42cf8 (__TEXT,__text) external _glColor4ui
00000001dbf42d1c (__TEXT,__text) external _glColor4uiv
00000001dbf42d34 (__TEXT,__text) external _glColor4us
00000001dbf42d58 (__TEXT,__text) external _glColor4usv
00000001dbf42d70 (__TEXT,__text) external _glColorMask
00000001dbf4b73c (__TEXT,__text) external _glColorMaskIndexedEXT
00000001dbf46f28 (__TEXT,__text) external _glColorMaski
00000001dbf42d94 (__TEXT,__text) external _glColorMaterial
00000001dbf42db0 (__TEXT,__text) external _glColorPointer
00000001dbf44efc (__TEXT,__text) external _glColorSubTable
00000001dbf4a9e4 (__TEXT,__text) external _glColorSubTableEXT
00000001dbf44e04 (__TEXT,__text) external _glColorTable
00000001dbf4a9b8 (__TEXT,__text) external _glColorTableEXT
00000001dbf44e30 (__TEXT,__text) external _glColorTableParameterfv
00000001dbf44e50 (__TEXT,__text) external _glColorTableParameteriv
00000001dbf4beb0 (__TEXT,__text) external _glCombinerInputNV
00000001dbf4beb4 (__TEXT,__text) external _glCombinerOutputNV
00000001dbf4bea4 (__TEXT,__text) external _glCombinerParameterfNV
00000001dbf4bea0 (__TEXT,__text) external _glCombinerParameterfvNV
00000001dbf4beac (__TEXT,__text) external _glCombinerParameteriNV
00000001dbf4bea8 (__TEXT,__text) external _glCombinerParameterivNV
00000001dbf4bed4 (__TEXT,__text) external _glCombinerStageParameterfvNV
00000001dbf46524 (__TEXT,__text) external _glCompileShader
00000001dbf4a22c (__TEXT,__text) external _glCompileShaderARB
00000001dbf4a830 (__TEXT,__text) external _glCompileShaderIncludeARB
00000001dbf45774 (__TEXT,__text) external _glCompressedTexImage1D
00000001dbf49c60 (__TEXT,__text) external _glCompressedTexImage1DARB
00000001dbf45720 (__TEXT,__text) external _glCompressedTexImage2D
00000001dbf49c0c (__TEXT,__text) external _glCompressedTexImage2DARB
00000001dbf456c4 (__TEXT,__text) external _glCompressedTexImage3D
00000001dbf49bb0 (__TEXT,__text) external _glCompressedTexImage3DARB
00000001dbf45864 (__TEXT,__text) external _glCompressedTexSubImage1D
00000001dbf49d50 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00000001dbf45808 (__TEXT,__text) external _glCompressedTexSubImage2D
00000001dbf49cf4 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00000001dbf457a4 (__TEXT,__text) external _glCompressedTexSubImage3D
00000001dbf49c90 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00000001dbf44f50 (__TEXT,__text) external _glConvolutionFilter1D
00000001dbf44f7c (__TEXT,__text) external _glConvolutionFilter2D
00000001dbf44fac (__TEXT,__text) external _glConvolutionParameterf
00000001dbf44fc8 (__TEXT,__text) external _glConvolutionParameterfv
00000001dbf44fe8 (__TEXT,__text) external _glConvolutionParameteri
00000001dbf45008 (__TEXT,__text) external _glConvolutionParameteriv
00000001dbf47640 (__TEXT,__text) external _glCopyBufferSubData
00000001dbf44f28 (__TEXT,__text) external _glCopyColorSubTable
00000001dbf44e70 (__TEXT,__text) external _glCopyColorTable
00000001dbf45028 (__TEXT,__text) external _glCopyConvolutionFilter1D
00000001dbf45050 (__TEXT,__text) external _glCopyConvolutionFilter2D
00000001dbf42dd4 (__TEXT,__text) external _glCopyPixels
00000001dbf42dfc (__TEXT,__text) external _glCopyTexImage1D
00000001dbf42e2c (__TEXT,__text) external _glCopyTexImage2D
00000001dbf42e80 (__TEXT,__text) external _glCopyTexSubImage1D
00000001dbf42eac (__TEXT,__text) external _glCopyTexSubImage2D
00000001dbf44dac (__TEXT,__text) external _glCopyTexSubImage3D
00000001dbf46540 (__TEXT,__text) external _glCreateProgram
00000001dbf4a244 (__TEXT,__text) external _glCreateProgramObjectARB
00000001dbf464d0 (__TEXT,__text) external _glCreateShader
00000001dbf4a1f0 (__TEXT,__text) external _glCreateShaderObjectARB
00000001dbf484d0 (__TEXT,__text) external _glCreateShaderProgramv
00000001dbf42f00 (__TEXT,__text) external _glCullFace
00000001dbf45e74 (__TEXT,__text) external _glDeleteBuffers
00000001dbf4a074 (__TEXT,__text) external _glDeleteBuffersARB
00000001dbf4ba08 (__TEXT,__text) external _glDeleteFencesAPPLE
00000001dbf46ca4 (__TEXT,__text) external _glDeleteFramebuffers
00000001dbf4ae80 (__TEXT,__text) external _glDeleteFramebuffersEXT
00000001dbf42f18 (__TEXT,__text) external _glDeleteLists
00000001dbf4a814 (__TEXT,__text) external _glDeleteNamedStringARB
00000001dbf4a1a4 (__TEXT,__text) external _glDeleteObjectARB
00000001dbf465c4 (__TEXT,__text) external _glDeleteProgram
00000001dbf48508 (__TEXT,__text) external _glDeleteProgramPipelines
00000001dbf48f38 (__TEXT,__text) external _glDeleteProgramsARB
00000001dbf45d90 (__TEXT,__text) external _glDeleteQueries
00000001dbf49f90 (__TEXT,__text) external _glDeleteQueriesARB
00000001dbf46bf4 (__TEXT,__text) external _glDeleteRenderbuffers
00000001dbf4add0 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00000001dbf47ad8 (__TEXT,__text) external _glDeleteSamplers
00000001dbf46490 (__TEXT,__text) external _glDeleteShader
00000001dbf478e4 (__TEXT,__text) external _glDeleteSync
00000001dbf42f34 (__TEXT,__text) external _glDeleteTextures
00000001dbf481f4 (__TEXT,__text) external _glDeleteTransformFeedbacks
00000001dbf46ed8 (__TEXT,__text) external _glDeleteVertexArrays
00000001dbf4bb28 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00000001dbf4a9a4 (__TEXT,__text) external _glDepthBoundsEXT
00000001dbf42f50 (__TEXT,__text) external _glDepthFunc
00000001dbf42f68 (__TEXT,__text) external _glDepthMask
00000001dbf42f80 (__TEXT,__text) external _glDepthRange
00000001dbf48ea4 (__TEXT,__text) external _glDepthRangeArrayv
00000001dbf48ec4 (__TEXT,__text) external _glDepthRangeIndexed
00000001dbf48400 (__TEXT,__text) external _glDepthRangef
00000001dbf4a1d4 (__TEXT,__text) external _glDetachObjectARB
00000001dbf464ac (__TEXT,__text) external _glDetachShader
00000001dbf42f94 (__TEXT,__text) external _glDisable
00000001dbf42fac (__TEXT,__text) external _glDisableClientState
00000001dbf4b780 (__TEXT,__text) external _glDisableIndexedEXT
00000001dbf4b8c4 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00000001dbf463f8 (__TEXT,__text) external _glDisableVertexAttribArray
00000001dbf493c0 (__TEXT,__text) external _glDisableVertexAttribArrayARB
00000001dbf46fac (__TEXT,__text) external _glDisablei
00000001dbf42fc4 (__TEXT,__text) external _glDrawArrays
00000001dbf47dfc (__TEXT,__text) external _glDrawArraysIndirect
00000001dbf47764 (__TEXT,__text) external _glDrawArraysInstanced
00000001dbf4a708 (__TEXT,__text) external _glDrawArraysInstancedARB
00000001dbf42fe4 (__TEXT,__text) external _glDrawBuffer
00000001dbf45fa4 (__TEXT,__text) external _glDrawBuffers
00000001dbf4a6b4 (__TEXT,__text) external _glDrawBuffersARB
00000001dbf4bb94 (__TEXT,__text) external _glDrawElementArrayAPPLE
00000001dbf42ffc (__TEXT,__text) external _glDrawElements
00000001dbf477e8 (__TEXT,__text) external _glDrawElementsBaseVertex
00000001dbf47e18 (__TEXT,__text) external _glDrawElementsIndirect
00000001dbf47788 (__TEXT,__text) external _glDrawElementsInstanced
00000001dbf4a72c (__TEXT,__text) external _glDrawElementsInstancedARB
00000001dbf47840 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00000001dbf43020 (__TEXT,__text) external _glDrawPixels
00000001dbf4bbb4 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00000001dbf44cd8 (__TEXT,__text) external _glDrawRangeElements
00000001dbf47810 (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00000001dbf4acb8 (__TEXT,__text) external _glDrawRangeElementsEXT
00000001dbf4826c (__TEXT,__text) external _glDrawTransformFeedback
00000001dbf48288 (__TEXT,__text) external _glDrawTransformFeedbackStream
00000001dbf43048 (__TEXT,__text) external _glEdgeFlag
00000001dbf43060 (__TEXT,__text) external _glEdgeFlagPointer
00000001dbf4307c (__TEXT,__text) external _glEdgeFlagv
00000001dbf4bb78 (__TEXT,__text) external _glElementPointerAPPLE
00000001dbf43094 (__TEXT,__text) external _glEnable
00000001dbf430ac (__TEXT,__text) external _glEnableClientState
00000001dbf4b764 (__TEXT,__text) external _glEnableIndexedEXT
00000001dbf4b8a8 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00000001dbf463e0 (__TEXT,__text) external _glEnableVertexAttribArray
00000001dbf493a8 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00000001dbf46f90 (__TEXT,__text) external _glEnablei
00000001dbf430c4 (__TEXT,__text) external _glEnd
00000001dbf470e4 (__TEXT,__text) external _glEndConditionalRender
00000001dbf4be40 (__TEXT,__text) external _glEndConditionalRenderNV
00000001dbf430d8 (__TEXT,__text) external _glEndList
00000001dbf45de0 (__TEXT,__text) external _glEndQuery
00000001dbf49fe0 (__TEXT,__text) external _glEndQueryARB
00000001dbf482c8 (__TEXT,__text) external _glEndQueryIndexed
00000001dbf46ffc (__TEXT,__text) external _glEndTransformFeedback
00000001dbf4b148 (__TEXT,__text) external _glEndTransformFeedbackEXT
00000001dbf430ec (__TEXT,__text) external _glEvalCoord1d
00000001dbf43100 (__TEXT,__text) external _glEvalCoord1dv
00000001dbf43118 (__TEXT,__text) external _glEvalCoord1f
00000001dbf4312c (__TEXT,__text) external _glEvalCoord1fv
00000001dbf43144 (__TEXT,__text) external _glEvalCoord2d
00000001dbf43158 (__TEXT,__text) external _glEvalCoord2dv
00000001dbf43170 (__TEXT,__text) external _glEvalCoord2f
00000001dbf43184 (__TEXT,__text) external _glEvalCoord2fv
00000001dbf4319c (__TEXT,__text) external _glEvalMesh1
00000001dbf431bc (__TEXT,__text) external _glEvalMesh2
00000001dbf431e4 (__TEXT,__text) external _glEvalPoint1
00000001dbf431fc (__TEXT,__text) external _glEvalPoint2
00000001dbf43218 (__TEXT,__text) external _glFeedbackBuffer
00000001dbf478b0 (__TEXT,__text) external _glFenceSync
00000001dbf4beb8 (__TEXT,__text) external _glFinalCombinerInputNV
00000001dbf43238 (__TEXT,__text) external _glFinish
00000001dbf4ba6c (__TEXT,__text) external _glFinishFenceAPPLE
00000001dbf4baa0 (__TEXT,__text) external _glFinishObjectAPPLE
00000001dbf4bc40 (__TEXT,__text) external _glFinishRenderAPPLE
00000001dbf4324c (__TEXT,__text) external _glFlush
00000001dbf46ea0 (__TEXT,__text) external _glFlushMappedBufferRange
00000001dbf4bc88 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00000001dbf4bc2c (__TEXT,__text) external _glFlushRenderAPPLE
00000001dbf4bad8 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00000001dbf45924 (__TEXT,__text) external _glFogCoordPointer
00000001dbf4ac98 (__TEXT,__text) external _glFogCoordPointerEXT
00000001dbf458f8 (__TEXT,__text) external _glFogCoordd
00000001dbf4ac6c (__TEXT,__text) external _glFogCoorddEXT
00000001dbf4590c (__TEXT,__text) external _glFogCoorddv
00000001dbf4ac80 (__TEXT,__text) external _glFogCoorddvEXT
00000001dbf458cc (__TEXT,__text) external _glFogCoordf
00000001dbf4ac40 (__TEXT,__text) external _glFogCoordfEXT
00000001dbf458e0 (__TEXT,__text) external _glFogCoordfv
00000001dbf4ac54 (__TEXT,__text) external _glFogCoordfvEXT
00000001dbf43260 (__TEXT,__text) external _glFogf
00000001dbf43278 (__TEXT,__text) external _glFogfv
00000001dbf43294 (__TEXT,__text) external _glFogi
00000001dbf432b0 (__TEXT,__text) external _glFogiv
00000001dbf46d70 (__TEXT,__text) external _glFramebufferRenderbuffer
00000001dbf4af4c (__TEXT,__text) external _glFramebufferRenderbufferEXT
00000001dbf47a58 (__TEXT,__text) external _glFramebufferTexture
00000001dbf46cf4 (__TEXT,__text) external _glFramebufferTexture1D
00000001dbf4aed0 (__TEXT,__text) external _glFramebufferTexture1DEXT
00000001dbf46d1c (__TEXT,__text) external _glFramebufferTexture2D
00000001dbf4aef8 (__TEXT,__text) external _glFramebufferTexture2DEXT
00000001dbf46d44 (__TEXT,__text) external _glFramebufferTexture3D
00000001dbf4af20 (__TEXT,__text) external _glFramebufferTexture3DEXT
00000001dbf4b050 (__TEXT,__text) external _glFramebufferTextureEXT
00000001dbf4b09c (__TEXT,__text) external _glFramebufferTextureFaceEXT
00000001dbf46e54 (__TEXT,__text) external _glFramebufferTextureLayer
00000001dbf4b074 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00000001dbf432cc (__TEXT,__text) external _glFrontFace
00000001dbf432e4 (__TEXT,__text) external _glFrustum
00000001dbf45e90 (__TEXT,__text) external _glGenBuffers
00000001dbf4a090 (__TEXT,__text) external _glGenBuffersARB
00000001dbf4b9ec (__TEXT,__text) external _glGenFencesAPPLE
00000001dbf46cc0 (__TEXT,__text) external _glGenFramebuffers
00000001dbf4ae9c (__TEXT,__text) external _glGenFramebuffersEXT
00000001dbf432f8 (__TEXT,__text) external _glGenLists
00000001dbf48524 (__TEXT,__text) external _glGenProgramPipelines
00000001dbf48f54 (__TEXT,__text) external _glGenProgramsARB
00000001dbf45d74 (__TEXT,__text) external _glGenQueries
00000001dbf49f74 (__TEXT,__text) external _glGenQueriesARB
00000001dbf46c10 (__TEXT,__text) external _glGenRenderbuffers
00000001dbf4adec (__TEXT,__text) external _glGenRenderbuffersEXT
00000001dbf47abc (__TEXT,__text) external _glGenSamplers
00000001dbf43310 (__TEXT,__text) external _glGenTextures
00000001dbf48210 (__TEXT,__text) external _glGenTransformFeedbacks
00000001dbf46ef4 (__TEXT,__text) external _glGenVertexArrays
00000001dbf4bb44 (__TEXT,__text) external _glGenVertexArraysAPPLE
00000001dbf46db8 (__TEXT,__text) external _glGenerateMipmap
00000001dbf4af94 (__TEXT,__text) external _glGenerateMipmapEXT
00000001dbf46a14 (__TEXT,__text) external _glGetActiveAttrib
00000001dbf4a668 (__TEXT,__text) external _glGetActiveAttribARB
00000001dbf48110 (__TEXT,__text) external _glGetActiveSubroutineName
00000001dbf480e4 (__TEXT,__text) external _glGetActiveSubroutineUniformName
00000001dbf480bc (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00000001dbf4694c (__TEXT,__text) external _glGetActiveUniform
00000001dbf4a5b4 (__TEXT,__text) external _glGetActiveUniformARB
00000001dbf4771c (__TEXT,__text) external _glGetActiveUniformBlockName
00000001dbf476f8 (__TEXT,__text) external _glGetActiveUniformBlockiv
00000001dbf476b4 (__TEXT,__text) external _glGetActiveUniformName
00000001dbf4768c (__TEXT,__text) external _glGetActiveUniformsiv
00000001dbf4a574 (__TEXT,__text) external _glGetAttachedObjectsARB
00000001dbf468c0 (__TEXT,__text) external _glGetAttachedShaders
00000001dbf46a48 (__TEXT,__text) external _glGetAttribLocation
00000001dbf4a698 (__TEXT,__text) external _glGetAttribLocationARB
00000001dbf4b1d0 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00000001dbf46f50 (__TEXT,__text) external _glGetBooleani_v
00000001dbf4332c (__TEXT,__text) external _glGetBooleanv
00000001dbf47a38 (__TEXT,__text) external _glGetBufferParameteri64v
00000001dbf45f64 (__TEXT,__text) external _glGetBufferParameteriv
00000001dbf4a164 (__TEXT,__text) external _glGetBufferParameterivARB
00000001dbf45f84 (__TEXT,__text) external _glGetBufferPointerv
00000001dbf4a184 (__TEXT,__text) external _glGetBufferPointervARB
00000001dbf45f0c (__TEXT,__text) external _glGetBufferSubData
00000001dbf4a10c (__TEXT,__text) external _glGetBufferSubDataARB
00000001dbf43348 (__TEXT,__text) external _glGetClipPlane
00000001dbf44e98 (__TEXT,__text) external _glGetColorTable
00000001dbf4aa10 (__TEXT,__text) external _glGetColorTableEXT
00000001dbf44ebc (__TEXT,__text) external _glGetColorTableParameterfv
00000001dbf4aa34 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00000001dbf44edc (__TEXT,__text) external _glGetColorTableParameteriv
00000001dbf4aa54 (__TEXT,__text) external _glGetColorTableParameterivEXT
00000001dbf4bebc (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00000001dbf4bec0 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00000001dbf4bec4 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00000001dbf4bec8 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00000001dbf4bed8 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00000001dbf45894 (__TEXT,__text) external _glGetCompressedTexImage
00000001dbf49d80 (__TEXT,__text) external _glGetCompressedTexImageARB
00000001dbf4507c (__TEXT,__text) external _glGetConvolutionFilter
00000001dbf450a0 (__TEXT,__text) external _glGetConvolutionParameterfv
00000001dbf450c0 (__TEXT,__text) external _glGetConvolutionParameteriv
00000001dbf48efc (__TEXT,__text) external _glGetDoublei_v
00000001dbf43364 (__TEXT,__text) external _glGetDoublev
00000001dbf43380 (__TEXT,__text) external _glGetError
00000001dbf4becc (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00000001dbf4bed0 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00000001dbf48edc (__TEXT,__text) external _glGetFloati_v
00000001dbf43394 (__TEXT,__text) external _glGetFloatv
00000001dbf47aa0 (__TEXT,__text) external _glGetFragDataIndex
00000001dbf47400 (__TEXT,__text) external _glGetFragDataLocation
00000001dbf4b658 (__TEXT,__text) external _glGetFragDataLocationEXT
00000001dbf46d94 (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00000001dbf4af70 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00000001dbf4a1bc (__TEXT,__text) external _glGetHandleARB
00000001dbf45160 (__TEXT,__text) external _glGetHistogram
00000001dbf45188 (__TEXT,__text) external _glGetHistogramParameterfv
00000001dbf451a8 (__TEXT,__text) external _glGetHistogramParameteriv
00000001dbf4a550 (__TEXT,__text) external _glGetInfoLogARB
00000001dbf47a18 (__TEXT,__text) external _glGetInteger64i_v
00000001dbf4793c (__TEXT,__text) external _glGetInteger64v
00000001dbf4b1b0 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00000001dbf46f70 (__TEXT,__text) external _glGetIntegeri_v
00000001dbf433b0 (__TEXT,__text) external _glGetIntegerv
00000001dbf4a8bc (__TEXT,__text) external _glGetInternalformativ
00000001dbf433cc (__TEXT,__text) external _glGetLightfv
00000001dbf433ec (__TEXT,__text) external _glGetLightiv
00000001dbf4340c (__TEXT,__text) external _glGetMapdv
00000001dbf4342c (__TEXT,__text) external _glGetMapfv
00000001dbf4344c (__TEXT,__text) external _glGetMapiv
00000001dbf4346c (__TEXT,__text) external _glGetMaterialfv
00000001dbf4348c (__TEXT,__text) external _glGetMaterialiv
00000001dbf451c8 (__TEXT,__text) external _glGetMinmax
00000001dbf451f0 (__TEXT,__text) external _glGetMinmaxParameterfv
00000001dbf45210 (__TEXT,__text) external _glGetMinmaxParameteriv
00000001dbf479dc (__TEXT,__text) external _glGetMultisamplefv
00000001dbf4a870 (__TEXT,__text) external _glGetNamedStringARB
00000001dbf4a898 (__TEXT,__text) external _glGetNamedStringivARB
00000001dbf4b834 (__TEXT,__text) external _glGetObjectLabelEXT
00000001dbf4a510 (__TEXT,__text) external _glGetObjectParameterfvARB
00000001dbf4bce8 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00000001dbf4a530 (__TEXT,__text) external _glGetObjectParameterivARB
00000001dbf434ac (__TEXT,__text) external _glGetPixelMapfv
00000001dbf434c8 (__TEXT,__text) external _glGetPixelMapuiv
00000001dbf434e4 (__TEXT,__text) external _glGetPixelMapusv
00000001dbf43500 (__TEXT,__text) external _glGetPointerv
00000001dbf4351c (__TEXT,__text) external _glGetPolygonStipple
00000001dbf48428 (__TEXT,__text) external _glGetProgramBinary
00000001dbf49590 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
00000001dbf495b0 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
00000001dbf46908 (__TEXT,__text) external _glGetProgramInfoLog
00000001dbf495d0 (__TEXT,__text) external _glGetProgramLocalParameterdvARB
00000001dbf495f0 (__TEXT,__text) external _glGetProgramLocalParameterfvARB
