00000001bf77abe0 (__TEXT,__text) non-external +[NFPromise new]
00000001bf77fe04 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001bf777c00 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001bf77fd50 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001bf777750 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001bf77fb34 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001bf777a70 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001bf77fc9c (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001bf7784a8 (__TEXT,__text) non-external -[NFEventManager triggers]
00000001bf77860c (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001bf7785f4 (__TEXT,__text) non-external -[NFEventTrigger block]
00000001bf7785ec (__TEXT,__text) non-external -[NFEventTrigger events]
00000001bf778604 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001bf7785fc (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001bf7784f4 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001bf7785e4 (__TEXT,__text) non-external -[NFEventTrigger key]
00000001bf77a330 (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001bf77a320 (__TEXT,__text) non-external -[NFLazy constructor]
00000001bf77a0f4 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001bf77a328 (__TEXT,__text) non-external -[NFLazy lock]
00000001bf77a288 (__TEXT,__text) non-external -[NFLazy reset]
00000001bf77a1a4 (__TEXT,__text) non-external -[NFLazy value]
00000001bf77f6cc (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001bf77f01c (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001bf77f6bc (__TEXT,__text) non-external -[NFMultiDelegate children]
00000001bf77f1b0 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001bf77f6c4 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001bf77f018 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001bf77f548 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00000001bf77ef44 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001bf77f3b0 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001bf77f0a4 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001bf77f12c (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001bf77f24c (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001bf77e14c (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001bf77e0ac (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001bf77e09c (__TEXT,__text) non-external -[NFMutexLock init]
00000001bf77e20c (__TEXT,__text) non-external -[NFMutexLock lock]
00000001bf77e198 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001bf77e214 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001bf7775c0 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001bf777414 (__TEXT,__text) non-external -[NFPendingPromise init]
00000001bf77758c (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001bf7775b0 (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001bf7775a0 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001bf777594 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001bf7775b8 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001bf7775a8 (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001bf77c308 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001bf77adb8 (__TEXT,__text) non-external -[NFPromise always:]
00000001bf77b4e4 (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001bf77aca4 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001bf77c16c (__TEXT,__text) non-external -[NFPromise delayOn]
00000001bf77c040 (__TEXT,__text) non-external -[NFPromise delay]
00000001bf77ad58 (__TEXT,__text) non-external -[NFPromise error:]
00000001bf77b444 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001bf77ba5c (__TEXT,__text) non-external -[NFPromise errorOn]
00000001bf77b954 (__TEXT,__text) non-external -[NFPromise error]
00000001bf77ac14 (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001bf77a90c (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001bf77ab50 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001bf77a7c4 (__TEXT,__text) non-external -[NFPromise init]
00000001bf77b7f4 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001bf77b69c (__TEXT,__text) non-external -[NFPromise pipe]
00000001bf77bddc (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001bf77baf0 (__TEXT,__text) non-external -[NFPromise resolve]
00000001bf77c2f4 (__TEXT,__text) non-external -[NFPromise seal]
00000001bf77c2fc (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001bf77acf8 (__TEXT,__text) non-external -[NFPromise then:]
00000001bf77ae18 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001bf77b608 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001bf77b578 (__TEXT,__text) non-external -[NFPromise then]
00000001bf77d9f8 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001bf77d37c (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001bf77cf50 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001bf7800d4 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001bf780188 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001bf77d9b8 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001bf77d9dc (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001bf77cecc (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001bf77ce48 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001bf77cdc0 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001bf77d9f0 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001bf77d538 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001bf77d060 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001bf77d04c (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001bf77d078 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001bf77d6c8 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001bf78023c (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001bf77d9c0 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001bf77d9e4 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001bf77d9d4 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001bf77d9ac (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001bf77d9cc (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001bf77d9a4 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001bf77e04c (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001bf77df38 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001bf77ddf4 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001bf77e038 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001bf77e000 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001bf77dda8 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001bf77dbf0 (__TEXT,__text) non-external -[NFReachability init]
00000001bf77e024 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001bf77e010 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001bf77e040 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001bf77e008 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001bf77e02c (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001bf77e018 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001bf779f58 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001bf778f80 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001bf778ee8 (__TEXT,__text) non-external -[NFStateMachine activate]
00000001bf779250 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001bf77ff6c (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001bf779104 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001bf77feb8 (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001bf779090 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001bf778ff4 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001bf778dcc (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001bf778d10 (__TEXT,__text) non-external -[NFStateMachine description]
00000001bf779f20 (__TEXT,__text) non-external -[NFStateMachine events]
00000001bf77939c (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001bf778bc0 (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001bf779f34 (__TEXT,__text) non-external -[NFStateMachine lock]
00000001bf779ed4 (__TEXT,__text) non-external -[NFStateMachine owner]
00000001bf779f28 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001bf779f3c (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001bf779f00 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001bf779ec8 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001bf779f14 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001bf779eb8 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001bf779f50 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001bf779ec0 (__TEXT,__text) non-external -[NFStateMachine state]
00000001bf779f0c (__TEXT,__text) non-external -[NFStateMachine states]
00000001bf779f48 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001bf779eb0 (__TEXT,__text) non-external -[NFStateMachine status]
00000001bf77e68c (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001bf77e430 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001bf77e668 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001bf77e67c (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001bf77e548 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001bf77e2f0 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001bf77e21c (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001bf77e340 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001bf77e644 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001bf77e518 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001bf77e670 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001bf77e684 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001bf77e64c (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001bf77e65c (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001bf77e654 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001bf77ea88 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001bf77ea38 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001bf77e8a4 (__TEXT,__text) non-external -[NFStateMachineState description]
00000001bf77ea78 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001bf77ea68 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001bf77e764 (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001bf77e6e8 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001bf77e7b4 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001bf77ea28 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001bf77e938 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001bf77e9f8 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001bf77e998 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001bf77e9c8 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001bf77e968 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001bf77ea40 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001bf77ea80 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001bf77ea70 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001bf77ea30 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001bf77ea60 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001bf77ea50 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001bf77ea58 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001bf77ea48 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001bf77eafc (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001bf77ee48 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001bf77ed4c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001bf77ec88 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001bf77ebc4 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001bf7773ac (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001bf777398 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001bf777238 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001bf77735c (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001bf777370 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001bf777114 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001bf7773a0 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001bf777364 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001bf777378 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001bf777350 (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001bf77738c (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001bf777348 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001bf777384 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001bf777014 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001bf777070 (__TEXT,__text) non-external -[NFUnfairLock init]
00000001bf7770fc (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001bf777080 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001bf77710c (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001bf77c324 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001bf778b38 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001bf77a4b4 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001bf77caac (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001bf77cbd0 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001bf77a034 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001bf77f87c (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001bf781f84 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001bf781ff0 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001bf778868 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001bf77fa2c (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001d80a02e8 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001d80a02f0 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001bf77f8b0 (__TEXT,__text) external _NFDeviceIsA7
00000001bf77f8b8 (__TEXT,__text) external _NFDeviceIsA8
00000001bf77f9f8 (__TEXT,__text) external _NFDeviceModelString
00000001bf77f9c4 (__TEXT,__text) external _NFDeviceOSVersion
00000001bf77f8c0 (__TEXT,__text) external _NFDevicePlatform
00000001d8fdfcc0 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001d8fdfcb8 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001bf77f9b8 (__TEXT,__text) external _NFGeneralDeviceString
00000001bf776f04 (__TEXT,__text) external _NFInternalBuild
00000001d80a02e0 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00000001d8fdfc78 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001bf77dacc (__TEXT,__text) external _NFLockSync
00000001bf77cce0 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001bf776f70 (__TEXT,__text) external _NFSeedBuild
00000001d3eca008 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001bf776f78 (__TEXT,__text) external _NFStoreDemoMode
00000001d8fdfc80 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001d80a02e1 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001bf781318 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001bf7812d8 (__TEXT,__const) external _NewsFoundationVersionString
00000001d9889968 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001d8fdf9a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001d8fdf9d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001d8fdfa48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001d8fdfc28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001d8fdfbd8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001d98898f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001d8fdfa98 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001d8fdfb38 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001d8fdfb88 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001d9889990 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001d98899e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001d9889a30 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001d98898a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001d8fdf958 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001d8fdfb10 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001d80a0050 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001d80a0054 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001d80a0068 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001d80a0064 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001d80a005c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001d80a0058 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001d80a0060 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001d80a008c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001d80a0090 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001d80a0088 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001d80a00e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00000001d80a00ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00000001d80a00bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00000001d80a0044 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00000001d80a004c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00000001d80a0048 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00000001d80a0094 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00000001d80a009c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
00000001d80a00a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._handlers
00000001d80a00a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._lock
00000001d80a00a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._state
00000001d80a0098 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._value
00000001d80a00b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentNetworkPath
00000001d80a00ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentReachabilityStatus
