                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormatAndArguments (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
                 (undefined) external _CFURLCopyScheme (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
00000001945d5294 (__TEXT,__text) external _CMCloneProfileRef
00000001ea0d7968 (__DATA,__bss) non-external _CMCopyProfile.predicate
00000001945d4ff8 (__TEXT,__text) external _CMCopyProfileDescriptionString
00000001945d603c (__TEXT,__text) non-external _CMCopyProfileDescriptionString.cold.1
00000001ea0d7960 (__DATA,__bss) non-external _CMCopyProfileDescriptionString.predicate
00000001945d4f84 (__TEXT,__text) external _CMCopyProfileLocalizedString
00000001945d6028 (__TEXT,__text) non-external _CMCopyProfileLocalizedString.cold.1
00000001ea0d7958 (__DATA,__bss) non-external _CMCopyProfileLocalizedString.predicate
00000001945d4f10 (__TEXT,__text) external _CMCopyProfileLocalizedStringDictionary
00000001945d6014 (__TEXT,__text) non-external _CMCopyProfileLocalizedStringDictionary.cold.1
00000001ea0d7950 (__DATA,__bss) non-external _CMCopyProfileLocalizedStringDictionary.predicate
00000001945d4e9c (__TEXT,__text) external _CMCountProfileElements
00000001945d6000 (__TEXT,__text) non-external _CMCountProfileElements.cold.1
00000001ea0d7948 (__DATA,__bss) non-external _CMCountProfileElements.predicate
00000001945d4e10 (__TEXT,__text) external _CMFloatBitmapMakeChunky
00000001945d5fec (__TEXT,__text) non-external _CMFloatBitmapMakeChunky.cold.1
00000001ea0d7940 (__DATA,__bss) non-external _CMFloatBitmapMakeChunky.predicate
00000001945d4da4 (__TEXT,__text) external _CMGetColorSyncVersion
00000001945d5fd8 (__TEXT,__text) non-external _CMGetColorSyncVersion.cold.1
00000001ea0d7938 (__DATA,__bss) non-external _CMGetColorSyncVersion.predicate
00000001945d4d38 (__TEXT,__text) external _CMGetDefaultDevice
00000001945d5fc4 (__TEXT,__text) non-external _CMGetDefaultDevice.cold.1
00000001ea0d7930 (__DATA,__bss) non-external _CMGetDefaultDevice.predicate
00000001945d4ccc (__TEXT,__text) external _CMGetDefaultProfileBySpace
00000001945d5fb0 (__TEXT,__text) non-external _CMGetDefaultProfileBySpace.cold.1
00000001ea0d7928 (__DATA,__bss) non-external _CMGetDefaultProfileBySpace.predicate
00000001945d4c60 (__TEXT,__text) external _CMGetDefaultProfileByUse
00000001945d5f9c (__TEXT,__text) non-external _CMGetDefaultProfileByUse.cold.1
00000001ea0d7920 (__DATA,__bss) non-external _CMGetDefaultProfileByUse.predicate
00000001945d4bf4 (__TEXT,__text) external _CMGetDeviceDefaultProfileID
00000001945d5f88 (__TEXT,__text) non-external _CMGetDeviceDefaultProfileID.cold.1
00000001ea0d7918 (__DATA,__bss) non-external _CMGetDeviceDefaultProfileID.predicate
00000001945d4b88 (__TEXT,__text) external _CMGetDeviceFactoryProfiles
00000001945d5f74 (__TEXT,__text) non-external _CMGetDeviceFactoryProfiles.cold.1
00000001ea0d7910 (__DATA,__bss) non-external _CMGetDeviceFactoryProfiles.predicate
00000001945d4b1c (__TEXT,__text) external _CMGetDeviceInfo
00000001945d5f60 (__TEXT,__text) non-external _CMGetDeviceInfo.cold.1
00000001ea0d7908 (__DATA,__bss) non-external _CMGetDeviceInfo.predicate
00000001945d4ab0 (__TEXT,__text) external _CMGetDeviceProfile
00000001945d5f4c (__TEXT,__text) non-external _CMGetDeviceProfile.cold.1
00000001ea0d7900 (__DATA,__bss) non-external _CMGetDeviceProfile.predicate
00000001945d4a44 (__TEXT,__text) external _CMGetDeviceState
00000001945d5f38 (__TEXT,__text) non-external _CMGetDeviceState.cold.1
00000001ea0d78f8 (__DATA,__bss) non-external _CMGetDeviceState.predicate
00000001945d49d8 (__TEXT,__text) external _CMGetDeviceTrackingByUse
00000001945d5f24 (__TEXT,__text) non-external _CMGetDeviceTrackingByUse.cold.1
00000001ea0d78f0 (__DATA,__bss) non-external _CMGetDeviceTrackingByUse.predicate
00000001945d496c (__TEXT,__text) external _CMGetGammaByAVID
00000001945d5f10 (__TEXT,__text) non-external _CMGetGammaByAVID.cold.1
00000001ea0d78e8 (__DATA,__bss) non-external _CMGetGammaByAVID.predicate
00000001945d48f8 (__TEXT,__text) external _CMGetIndNamedColorValue
00000001945d5efc (__TEXT,__text) non-external _CMGetIndNamedColorValue.cold.1
00000001ea0d78e0 (__DATA,__bss) non-external _CMGetIndNamedColorValue.predicate
00000001945d4884 (__TEXT,__text) external _CMGetIndProfileElement
00000001945d5ee8 (__TEXT,__text) non-external _CMGetIndProfileElement.cold.1
00000001ea0d78d8 (__DATA,__bss) non-external _CMGetIndProfileElement.predicate
00000001945d4810 (__TEXT,__text) external _CMGetIndProfileElementInfo
00000001945d5ed4 (__TEXT,__text) non-external _CMGetIndProfileElementInfo.cold.1
00000001ea0d78d0 (__DATA,__bss) non-external _CMGetIndProfileElementInfo.predicate
00000001945d479c (__TEXT,__text) external _CMGetNamedColorIndex
00000001945d5ec0 (__TEXT,__text) non-external _CMGetNamedColorIndex.cold.1
00000001ea0d78c8 (__DATA,__bss) non-external _CMGetNamedColorIndex.predicate
00000001945d4728 (__TEXT,__text) external _CMGetNamedColorInfo
00000001945d5eac (__TEXT,__text) non-external _CMGetNamedColorInfo.cold.1
00000001ea0d78c0 (__DATA,__bss) non-external _CMGetNamedColorInfo.predicate
00000001945d46b4 (__TEXT,__text) external _CMGetNamedColorName
00000001945d5e98 (__TEXT,__text) non-external _CMGetNamedColorName.cold.1
00000001ea0d78b8 (__DATA,__bss) non-external _CMGetNamedColorName.predicate
00000001945d4640 (__TEXT,__text) external _CMGetNamedColorValue
00000001945d5e84 (__TEXT,__text) non-external _CMGetNamedColorValue.cold.1
00000001ea0d78b0 (__DATA,__bss) non-external _CMGetNamedColorValue.predicate
00000001945d45b0 (__TEXT,__text) external _CMGetPS2ColorRendering
00000001945d5e70 (__TEXT,__text) non-external _CMGetPS2ColorRendering.cold.1
00000001ea0d78a8 (__DATA,__bss) non-external _CMGetPS2ColorRendering.predicate
00000001945d453c (__TEXT,__text) external _CMGetPS2ColorRenderingIntent
00000001945d5e5c (__TEXT,__text) non-external _CMGetPS2ColorRenderingIntent.cold.1
00000001ea0d78a0 (__DATA,__bss) non-external _CMGetPS2ColorRenderingIntent.predicate
00000001945d44ac (__TEXT,__text) external _CMGetPS2ColorRenderingVMSize
00000001945d5e48 (__TEXT,__text) non-external _CMGetPS2ColorRenderingVMSize.cold.1
00000001ea0d7898 (__DATA,__bss) non-external _CMGetPS2ColorRenderingVMSize.predicate
00000001945d4438 (__TEXT,__text) external _CMGetPS2ColorSpace
00000001945d5e34 (__TEXT,__text) non-external _CMGetPS2ColorSpace.cold.1
00000001ea0d7890 (__DATA,__bss) non-external _CMGetPS2ColorSpace.predicate
00000001945d43c4 (__TEXT,__text) external _CMGetPartialProfileElement
00000001945d5e20 (__TEXT,__text) non-external _CMGetPartialProfileElement.cold.1
00000001ea0d7888 (__DATA,__bss) non-external _CMGetPartialProfileElement.predicate
00000001945d4358 (__TEXT,__text) external _CMGetProfileByAVID
00000001945d5e0c (__TEXT,__text) non-external _CMGetProfileByAVID.cold.1
00000001ea0d7880 (__DATA,__bss) non-external _CMGetProfileByAVID.predicate
00000001945d42e4 (__TEXT,__text) external _CMGetProfileDescriptions
00000001945d5df8 (__TEXT,__text) non-external _CMGetProfileDescriptions.cold.1
00000001ea0d7878 (__DATA,__bss) non-external _CMGetProfileDescriptions.predicate
00000001945d4270 (__TEXT,__text) external _CMGetProfileElement
00000001945d5de4 (__TEXT,__text) non-external _CMGetProfileElement.cold.1
00000001ea0d7870 (__DATA,__bss) non-external _CMGetProfileElement.predicate
00000001945d41fc (__TEXT,__text) external _CMGetProfileGamma
00000001945d5dd0 (__TEXT,__text) non-external _CMGetProfileGamma.cold.1
00000001ea0d7868 (__DATA,__bss) non-external _CMGetProfileGamma.predicate
00000001945d4188 (__TEXT,__text) external _CMGetProfileHeader
00000001945d5dbc (__TEXT,__text) non-external _CMGetProfileHeader.cold.1
00000001ea0d7860 (__DATA,__bss) non-external _CMGetProfileHeader.predicate
00000001945d411c (__TEXT,__text) external _CMGetProfileLocation
00000001945d5da8 (__TEXT,__text) non-external _CMGetProfileLocation.cold.1
00000001ea0d7858 (__DATA,__bss) non-external _CMGetProfileLocation.predicate
00000001945d40a8 (__TEXT,__text) external _CMGetProfileMD5
00000001945d5d94 (__TEXT,__text) non-external _CMGetProfileMD5.cold.1
00000001ea0d7850 (__DATA,__bss) non-external _CMGetProfileMD5.predicate
00000001945d4034 (__TEXT,__text) external _CMGetProfileRefCount
00000001945d5d80 (__TEXT,__text) non-external _CMGetProfileRefCount.cold.1
00000001ea0d7848 (__DATA,__bss) non-external _CMGetProfileRefCount.predicate
00000001945d3fc0 (__TEXT,__text) external _CMGetProfileTransformInfo
00000001945d5d6c (__TEXT,__text) non-external _CMGetProfileTransformInfo.cold.1
00000001ea0d7840 (__DATA,__bss) non-external _CMGetProfileTransformInfo.predicate
00000001945d3f54 (__TEXT,__text) external _CMGetSystemProfile
00000001945d5d58 (__TEXT,__text) non-external _CMGetSystemProfile.cold.1
00000001ea0d7838 (__DATA,__bss) non-external _CMGetSystemProfile.predicate
00000001945d3ee8 (__TEXT,__text) external _CMGetSystemProfileAVID
00000001945d5d44 (__TEXT,__text) non-external _CMGetSystemProfileAVID.cold.1
00000001ea0d7830 (__DATA,__bss) non-external _CMGetSystemProfileAVID.predicate
00000001945d3e7c (__TEXT,__text) external _CMGetSystemProfilePriv
00000001945d5d30 (__TEXT,__text) non-external _CMGetSystemProfilePriv.cold.1
00000001ea0d7828 (__DATA,__bss) non-external _CMGetSystemProfilePriv.predicate
00000001945d3e10 (__TEXT,__text) external _CMIterateCMMInfo
00000001945d5d1c (__TEXT,__text) non-external _CMIterateCMMInfo.cold.1
00000001ea0d7820 (__DATA,__bss) non-external _CMIterateCMMInfo.predicate
00000001945d3da4 (__TEXT,__text) external _CMIterateColorDevices
00000001945d5d08 (__TEXT,__text) non-external _CMIterateColorDevices.cold.1
00000001ea0d7818 (__DATA,__bss) non-external _CMIterateColorDevices.predicate
00000001945d3d38 (__TEXT,__text) external _CMIterateColorSyncFolder
00000001945d5cf4 (__TEXT,__text) non-external _CMIterateColorSyncFolder.cold.1
00000001ea0d7810 (__DATA,__bss) non-external _CMIterateColorSyncFolder.predicate
00000001945d3ccc (__TEXT,__text) external _CMIterateDeviceProfiles
00000001945d5ce0 (__TEXT,__text) non-external _CMIterateDeviceProfiles.cold.1
00000001ea0d7808 (__DATA,__bss) non-external _CMIterateDeviceProfiles.predicate
00000001945d3cc4 (__TEXT,__text) external _CMLaunchControlPanel
00000001945d3c58 (__TEXT,__text) external _CMMakeProfile
00000001945d5ccc (__TEXT,__text) non-external _CMMakeProfile.cold.1
00000001ea0d7800 (__DATA,__bss) non-external _CMMakeProfile.predicate
00000001945d3bec (__TEXT,__text) external _CMMatchFloatBitmap
00000001945d5cb8 (__TEXT,__text) non-external _CMMatchFloatBitmap.cold.1
00000001ea0d77f8 (__DATA,__bss) non-external _CMMatchFloatBitmap.predicate
00000001945d3b80 (__TEXT,__text) external _CMNewProfile
00000001945d5ca4 (__TEXT,__text) non-external _CMNewProfile.cold.1
00000001ea0d77f0 (__DATA,__bss) non-external _CMNewProfile.predicate
00000001945d3b14 (__TEXT,__text) external _CMOpenProfile
00000001945d5c90 (__TEXT,__text) non-external _CMOpenProfile.cold.1
00000001ea0d77e8 (__DATA,__bss) non-external _CMOpenProfile.predicate
00000001945d551c (__TEXT,__text) external _CMPostLegacyDeviceNotification
00000001945d3a9c (__TEXT,__text) external _CMProfileCopyICCData
00000001945d5c7c (__TEXT,__text) non-external _CMProfileCopyICCData.cold.1
00000001ea0d77e0 (__DATA,__bss) non-external _CMProfileCopyICCData.predicate
00000001945d3a28 (__TEXT,__text) external _CMProfileElementExists
00000001945d5c68 (__TEXT,__text) non-external _CMProfileElementExists.cold.1
00000001ea0d77d8 (__DATA,__bss) non-external _CMProfileElementExists.predicate
00000001945d39bc (__TEXT,__text) external _CMProfileModified
00000001945d5c54 (__TEXT,__text) non-external _CMProfileModified.cold.1
00000001ea0d77d0 (__DATA,__bss) non-external _CMProfileModified.predicate
00000001945d5518 (__TEXT,__text) external _CMProfileWriteToFile
00000001945d3950 (__TEXT,__text) external _CMRegisterColorDevice
00000001945d5c40 (__TEXT,__text) non-external _CMRegisterColorDevice.cold.1
00000001ea0d77c8 (__DATA,__bss) non-external _CMRegisterColorDevice.predicate
00000001945d38e4 (__TEXT,__text) external _CMRemoveProfileElement
00000001945d5c2c (__TEXT,__text) non-external _CMRemoveProfileElement.cold.1
00000001ea0d77c0 (__DATA,__bss) non-external _CMRemoveProfileElement.predicate
00000001945d3878 (__TEXT,__text) external _CMSetDefaultDevice
00000001945d5c18 (__TEXT,__text) non-external _CMSetDefaultDevice.cold.1
00000001ea0d77b8 (__DATA,__bss) non-external _CMSetDefaultDevice.predicate
00000001945d380c (__TEXT,__text) external _CMSetDeviceDefaultProfileID
00000001945d5c04 (__TEXT,__text) non-external _CMSetDeviceDefaultProfileID.cold.1
00000001ea0d77b0 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.predicate
00000001945d37a0 (__TEXT,__text) external _CMSetDeviceFactoryProfiles
00000001945d5bf0 (__TEXT,__text) non-external _CMSetDeviceFactoryProfiles.cold.1
00000001ea0d77a8 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.predicate
00000001945d3734 (__TEXT,__text) external _CMSetDeviceProfile
00000001945d5bdc (__TEXT,__text) non-external _CMSetDeviceProfile.cold.1
00000001ea0d77a0 (__DATA,__bss) non-external _CMSetDeviceProfile.predicate
00000001945d36c8 (__TEXT,__text) external _CMSetDeviceState
00000001945d5bc8 (__TEXT,__text) non-external _CMSetDeviceState.cold.1
00000001ea0d7798 (__DATA,__bss) non-external _CMSetDeviceState.predicate
00000001945d365c (__TEXT,__text) external _CMSetDeviceTrackingByUse
00000001945d5bb4 (__TEXT,__text) non-external _CMSetDeviceTrackingByUse.cold.1
00000001ea0d7790 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.predicate
00000001945d35f0 (__TEXT,__text) external _CMSetGammaByAVID
00000001945d5ba0 (__TEXT,__text) non-external _CMSetGammaByAVID.cold.1
00000001ea0d7788 (__DATA,__bss) non-external _CMSetGammaByAVID.predicate
00000001945d3584 (__TEXT,__text) external _CMSetPartialProfileElement
00000001945d5b8c (__TEXT,__text) non-external _CMSetPartialProfileElement.cold.1
00000001ea0d7780 (__DATA,__bss) non-external _CMSetPartialProfileElement.predicate
00000001945d3518 (__TEXT,__text) external _CMSetProfileByAVID
00000001945d5b78 (__TEXT,__text) non-external _CMSetProfileByAVID.cold.1
00000001ea0d7778 (__DATA,__bss) non-external _CMSetProfileByAVID.predicate
00000001945d34ac (__TEXT,__text) external _CMSetProfileDescriptions
00000001945d5b64 (__TEXT,__text) non-external _CMSetProfileDescriptions.cold.1
00000001ea0d7770 (__DATA,__bss) non-external _CMSetProfileDescriptions.predicate
00000001945d3440 (__TEXT,__text) external _CMSetProfileElement
00000001945d5b50 (__TEXT,__text) non-external _CMSetProfileElement.cold.1
00000001ea0d7768 (__DATA,__bss) non-external _CMSetProfileElement.predicate
00000001945d33d4 (__TEXT,__text) external _CMSetProfileElementReference
00000001945d5b3c (__TEXT,__text) non-external _CMSetProfileElementReference.cold.1
00000001ea0d7760 (__DATA,__bss) non-external _CMSetProfileElementReference.predicate
00000001945d3368 (__TEXT,__text) external _CMSetProfileElementSize
00000001945d5b28 (__TEXT,__text) non-external _CMSetProfileElementSize.cold.1
00000001ea0d7758 (__DATA,__bss) non-external _CMSetProfileElementSize.predicate
00000001945d32fc (__TEXT,__text) external _CMSetProfileHeader
00000001945d5b14 (__TEXT,__text) non-external _CMSetProfileHeader.cold.1
00000001ea0d7750 (__DATA,__bss) non-external _CMSetProfileHeader.predicate
00000001945d3290 (__TEXT,__text) external _CMSetProfileLocalizedStringDictionary
00000001945d5b00 (__TEXT,__text) non-external _CMSetProfileLocalizedStringDictionary.cold.1
00000001ea0d7748 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.predicate
00000001945d3224 (__TEXT,__text) external _CMSetSystemProfile
00000001945d5aec (__TEXT,__text) non-external _CMSetSystemProfile.cold.1
00000001ea0d7740 (__DATA,__bss) non-external _CMSetSystemProfile.predicate
00000001945d54ac (__TEXT,__text) external _CMSetSystemProfileAVID
00000001945d6104 (__TEXT,__text) non-external _CMSetSystemProfileAVID.cold.1
00000001ea0d79b0 (__DATA,__bss) non-external _CMSetSystemProfileAVID.predicate
00000001945d31b8 (__TEXT,__text) external _CMUnregisterColorDevice
00000001945d5ad8 (__TEXT,__text) non-external _CMUnregisterColorDevice.cold.1
00000001ea0d7738 (__DATA,__bss) non-external _CMUnregisterColorDevice.predicate
00000001945d3128 (__TEXT,__text) external _CMUpdateProfile
00000001945d5ac4 (__TEXT,__text) non-external _CMUpdateProfile.cold.1
00000001ea0d7730 (__DATA,__bss) non-external _CMUpdateProfile.predicate
00000001945d30b4 (__TEXT,__text) external _CMValidateProfile
00000001945d5ab0 (__TEXT,__text) non-external _CMValidateProfile.cold.1
00000001ea0d7728 (__DATA,__bss) non-external _CMValidateProfile.predicate
00000001945d3048 (__TEXT,__text) external _CWCheckBitmap
00000001945d5a9c (__TEXT,__text) non-external _CWCheckBitmap.cold.1
00000001ea0d7720 (__DATA,__bss) non-external _CWCheckBitmap.predicate
00000001945d2fdc (__TEXT,__text) external _CWCheckColors
00000001945d5a88 (__TEXT,__text) non-external _CWCheckColors.cold.1
00000001ea0d7718 (__DATA,__bss) non-external _CWCheckColors.predicate
00000001945d2984 (__TEXT,__text) external _CWColorWorldGetProperty
00000001945d5984 (__TEXT,__text) non-external _CWColorWorldGetProperty.cold.1
00000001ea0d76b0 (__DATA,__bss) non-external _CWColorWorldGetProperty.predicate
00000001945d2920 (__TEXT,__text) external _CWColorWorldSetProperty
00000001945d5970 (__TEXT,__text) non-external _CWColorWorldSetProperty.cold.1
00000001ea0d76a8 (__DATA,__bss) non-external _CWColorWorldSetProperty.predicate
00000001945d2f40 (__TEXT,__text) external _CWConcatColorWorld
00000001945d5a74 (__TEXT,__text) non-external _CWConcatColorWorld.cold.1
00000001ea0d7710 (__DATA,__bss) non-external _CWConcatColorWorld.predicate
00000001945d2edc (__TEXT,__text) external _CWDisposeColorWorld
00000001945d5a60 (__TEXT,__text) non-external _CWDisposeColorWorld.cold.1
00000001ea0d7708 (__DATA,__bss) non-external _CWDisposeColorWorld.predicate
00000001945d2e70 (__TEXT,__text) external _CWFillLookupTexture
00000001945d5a4c (__TEXT,__text) non-external _CWFillLookupTexture.cold.1
00000001ea0d7700 (__DATA,__bss) non-external _CWFillLookupTexture.predicate
00000001945d2e04 (__TEXT,__text) external _CWGetCMMSignature
00000001945d5a38 (__TEXT,__text) non-external _CWGetCMMSignature.cold.1
00000001ea0d76f8 (__DATA,__bss) non-external _CWGetCMMSignature.predicate
00000001945d2d98 (__TEXT,__text) external _CWMatchBitmap
00000001945d5a24 (__TEXT,__text) non-external _CWMatchBitmap.cold.1
00000001ea0d76f0 (__DATA,__bss) non-external _CWMatchBitmap.predicate
00000001945d2d2c (__TEXT,__text) external _CWMatchColors
00000001945d5a10 (__TEXT,__text) non-external _CWMatchColors.cold.1
00000001ea0d76e8 (__DATA,__bss) non-external _CWMatchColors.predicate
00000001945d2c90 (__TEXT,__text) external _CWNewLinkProfile
00000001945d59fc (__TEXT,__text) non-external _CWNewLinkProfile.cold.1
00000001ea0d76e0 (__DATA,__bss) non-external _CWNewLinkProfile.predicate
00000001945d63c0 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionNumber
00000001945d6388 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionString
00000001945d2848 (__TEXT,__text) external _ColorSyncLoadLegacyFunction
00000001945d5528 (__TEXT,__text) non-external (was a private external) _ColorSyncLog
00000001945d6118 (__TEXT,__text) non-external _ColorSyncLog.cold.1
00000001945d612c (__TEXT,__text) non-external _ColorSyncLog.cold.2
00000001ea0d79b8 (__DATA,__bss) non-external _ColorSyncLog.log
00000001ea0d79c0 (__DATA,__bss) non-external _ColorSyncLog.predicate
                 (undefined) external _ColorSyncProfileGetTypeID (from ColorSync)
00000001945d2a28 (__TEXT,__text) external _CreateCMProfileFromColorSyncProfile
00000001945d5520 (__TEXT,__text) external _CreateColorSyncProfileFromCMProfile
00000001945d2bcc (__TEXT,__text) external _DisposeCMBitmapCallBackUPP
00000001945d2c8c (__TEXT,__text) external _DisposeCMConcatCallBackUPP
00000001945d2c88 (__TEXT,__text) external _DisposeCMFlattenUPP
00000001945d2c84 (__TEXT,__text) external _DisposeCMMIterateUPP
00000001945d2c80 (__TEXT,__text) external _DisposeCMProfileAccessUPP
00000001945d2c7c (__TEXT,__text) external _DisposeCMProfileIterateUPP
00000001945d2c78 (__TEXT,__text) external _InvokeCMBitmapCallBackUPP
00000001945d2c74 (__TEXT,__text) external _InvokeCMConcatCallBackUPP
00000001945d2c70 (__TEXT,__text) external _InvokeCMFlattenUPP
00000001945d2c6c (__TEXT,__text) external _InvokeCMMIterateUPP
00000001945d2c68 (__TEXT,__text) external _InvokeCMProfileAccessUPP
00000001945d2c64 (__TEXT,__text) external _InvokeCMProfileIterateUPP
00000001945d53a0 (__TEXT,__text) external _NCMGetProfileLocation
00000001945d60dc (__TEXT,__text) non-external _NCMGetProfileLocation.cold.1
00000001ea0d79a0 (__DATA,__bss) non-external _NCMGetProfileLocation.predicate
00000001945d540c (__TEXT,__text) external _NCWConcatColorWorld
00000001945d60f0 (__TEXT,__text) non-external _NCWConcatColorWorld.cold.1
00000001ea0d79a8 (__DATA,__bss) non-external _NCWConcatColorWorld.predicate
00000001945d2bd0 (__TEXT,__text) external _NCWNewColorWorld
00000001945d59e8 (__TEXT,__text) non-external _NCWNewColorWorld.cold.1
00000001ea0d76d8 (__DATA,__bss) non-external _NCWNewColorWorld.predicate
00000001945d5300 (__TEXT,__text) external _NCWNewLinkProfile
00000001945d60c8 (__TEXT,__text) non-external _NCWNewLinkProfile.cold.1
00000001ea0d7998 (__DATA,__bss) non-external _NCWNewLinkProfile.predicate
00000001945d2bc8 (__TEXT,__text) external _NewCMBitmapCallBackUPP
00000001945d2bc4 (__TEXT,__text) external _NewCMConcatCallBackUPP
00000001945d2bc0 (__TEXT,__text) external _NewCMFlattenUPP
00000001945d2bbc (__TEXT,__text) external _NewCMMIterateUPP
00000001945d2bb8 (__TEXT,__text) external _NewCMProfileAccessUPP
00000001945d2bb4 (__TEXT,__text) external _NewCMProfileIterateUPP
                 (undefined) external __CFBundleCopyInfoDictionaryInResourceFork (from CoreFoundation)
                 (undefined) external __CFBundleGetMainBundleIfLooksLikeBundle (from CoreFoundation)
                 (undefined) external __CFProcessPath (from CoreFoundation)
00000001945d2b48 (__TEXT,__text) external __CMGetProfileOfSuite
00000001945d59d4 (__TEXT,__text) non-external __CMGetProfileOfSuite.cold.1
00000001ea0d76d0 (__DATA,__bss) non-external __CMGetProfileOfSuite.predicate
00000001945d2adc (__TEXT,__text) external __CMLoadProfileLutsByAVID
00000001945d59c0 (__TEXT,__text) non-external __CMLoadProfileLutsByAVID.cold.1
00000001ea0d76c8 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.predicate
00000001945d2a68 (__TEXT,__text) external __CMProfileGetProperty
00000001945d59ac (__TEXT,__text) non-external __CMProfileGetProperty.cold.1
00000001ea0d76c0 (__DATA,__bss) non-external __CMProfileGetProperty.predicate
00000001945d29f0 (__TEXT,__text) external __CMProfileSetProperty
00000001945d5998 (__TEXT,__text) non-external __CMProfileSetProperty.cold.1
00000001ea0d76b8 (__DATA,__bss) non-external __CMProfileSetProperty.predicate
00000001945d28b4 (__TEXT,__text) external __CWColorWorldGetProperty
00000001945d595c (__TEXT,__text) non-external __CWColorWorldGetProperty.cold.1
00000001ea0d76a0 (__DATA,__bss) non-external __CWColorWorldGetProperty.predicate
00000001945d2850 (__TEXT,__text) external __CWColorWorldSetProperty
00000001945d5948 (__TEXT,__text) non-external __CWColorWorldSetProperty.cold.1
00000001ea0d7698 (__DATA,__bss) non-external __CWColorWorldSetProperty.predicate
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001945d52c8 (__TEXT,__text) non-external ___CMCloneProfileRef_block_invoke
00000001945d525c (__TEXT,__text) non-external ___CMCloseProfile_block_invoke
00000001945d51f0 (__TEXT,__text) non-external ___CMConvertDoubleXYZToD50_block_invoke
00000001945d5184 (__TEXT,__text) non-external ___CMConvertRGBFloatBitmap_block_invoke
00000001945d5118 (__TEXT,__text) non-external ___CMConvertXYZFloatBitmap_block_invoke
00000001945d5034 (__TEXT,__text) non-external ___CMCopyProfileDescriptionString_block_invoke
00000001945d4f4c (__TEXT,__text) non-external ___CMCopyProfileLocalizedStringDictionary_block_invoke
00000001945d4fc0 (__TEXT,__text) non-external ___CMCopyProfileLocalizedString_block_invoke
