
/Volumes/macOS Mojave/System/Library/Frameworks/Python.framework/Versions/2.7/Python (for architecture i386):
000acc04 (__TEXT,__text) external _AEDesc_Convert
000f76d8 (__DATA,__data) external _PyExc_RuntimeWarning
000f56d0 (__DATA,__data) external _PyExc_StandardError
000f5860 (__DATA,__data) external _PyExc_StopIteration
000f6350 (__DATA,__data) external _PyExc_SyntaxError
000f7610 (__DATA,__data) external _PyExc_SyntaxWarning
000f6fd0 (__DATA,__data) external _PyExc_SystemError
000f59f0 (__DATA,__data) external _PyExc_SystemExit
000f64e0 (__DATA,__data) external _PyExc_TabError
000f5798 (__DATA,__data) external _PyExc_TypeError
000f61c0 (__DATA,__data) external _PyExc_UnboundLocalError
000f6a58 (__DATA,__data) external _PyExc_UnicodeDecodeError
000f6990 (__DATA,__data) external _PyExc_UnicodeEncodeError
000f68c8 (__DATA,__data) external _PyExc_UnicodeError
000f6b20 (__DATA,__data) external _PyExc_UnicodeTranslateError
000f7930 (__DATA,__data) external _PyExc_UnicodeWarning
000f73b8 (__DATA,__data) external _PyExc_UserWarning
000f6800 (__DATA,__data) external _PyExc_ValueError
000f72f0 (__DATA,__data) external _PyExc_Warning
000f6f08 (__DATA,__data) external _PyExc_ZeroDivisionError
0009caca (__TEXT,__text) external _PyFPE_dummy
0001f474 (__TEXT,__text) external _PyFile_AsFile
0001f4ba (__TEXT,__text) external _PyFile_DecUseCount
0001f623 (__TEXT,__text) external _PyFile_FromFile
0001f845 (__TEXT,__text) external _PyFile_FromString
0001fb72 (__TEXT,__text) external _PyFile_GetLine
0001f4af (__TEXT,__text) external _PyFile_IncUseCount
0001f4c5 (__TEXT,__text) external _PyFile_Name
0001fa58 (__TEXT,__text) external _PyFile_SetBufSize
0001fad3 (__TEXT,__text) external _PyFile_SetEncoding
0001faee (__TEXT,__text) external _PyFile_SetEncodingAndErrors
00020606 (__TEXT,__text) external _PyFile_SoftSpace
000f8010 (__DATA,__data) external _PyFile_Type
000206e3 (__TEXT,__text) external _PyFile_WriteObject
000208bc (__TEXT,__text) external _PyFile_WriteString
000230a4 (__TEXT,__text) external _PyFloat_AsDouble
000231fe (__TEXT,__text) external _PyFloat_AsReprString
000231a4 (__TEXT,__text) external _PyFloat_AsString
00023c80 (__TEXT,__text) external _PyFloat_ClearFreeList
00023d4d (__TEXT,__text) external _PyFloat_Fini
00022d12 (__TEXT,__text) external _PyFloat_FromDouble
00022dad (__TEXT,__text) external _PyFloat_FromString
00022bf6 (__TEXT,__text) external _PyFloat_GetInfo
00022bd4 (__TEXT,__text) external _PyFloat_GetMax
00022be5 (__TEXT,__text) external _PyFloat_GetMin
000f90f8 (__DATA,__data) external _PyFloat_Type
00026a1a (__TEXT,__text) external _PyFrame_BlockPop
000269c6 (__TEXT,__text) external _PyFrame_BlockSetup
00026d51 (__TEXT,__text) external _PyFrame_ClearFreeList
00026a51 (__TEXT,__text) external _PyFrame_FastToLocals
00026d91 (__TEXT,__text) external _PyFrame_Fini
000262b2 (__TEXT,__text) external _PyFrame_GetLineNumber
00026bac (__TEXT,__text) external _PyFrame_LocalsToFast
00026766 (__TEXT,__text) external _PyFrame_New
000f9c8c (__DATA,__data) external _PyFrame_Type
0003c9af (__TEXT,__text) external _PyFrozenSet_New
000fe284 (__DATA,__data) external _PyFrozenSet_Type
000279a5 (__TEXT,__text) external _PyFunction_GetClosure
00027827 (__TEXT,__text) external _PyFunction_GetCode
000278d5 (__TEXT,__text) external _PyFunction_GetDefaults
00027861 (__TEXT,__text) external _PyFunction_GetGlobals
0002789b (__TEXT,__text) external _PyFunction_GetModule
00027708 (__TEXT,__text) external _PyFunction_New
000279df (__TEXT,__text) external _PyFunction_SetClosure
0002790f (__TEXT,__text) external _PyFunction_SetDefaults
000fa014 (__DATA,__data) external _PyFunction_Type
00090226 (__TEXT,__text) external _PyFuture_FromAST
000b0811 (__TEXT,__text) external _PyGC_Collect
0009d45a (__TEXT,__text) external _PyGILState_Ensure
0009d42e (__TEXT,__text) external _PyGILState_GetThisThreadState
0009d4e1 (__TEXT,__text) external _PyGILState_Release
0001efe7 (__TEXT,__text) external _PyGen_NeedsFinalizing
0001ef53 (__TEXT,__text) external _PyGen_New
000f7e1c (__DATA,__data) external _PyGen_Type
000f4570 (__DATA,__data) external _PyGetSetDescr_Type
00000f15 (__TEXT,__text) external _PyGrammar_AddAccelerators
0000124c (__TEXT,__text) external _PyGrammar_FindDFA
00001264 (__TEXT,__text) external _PyGrammar_LabelRepr
000011f2 (__TEXT,__text) external _PyGrammar_RemoveAccelerators
000942da (__TEXT,__text) external _PyImport_AddModule
00096674 (__TEXT,__text) external _PyImport_AppendInittab
00093b3b (__TEXT,__text) external _PyImport_Cleanup
000943d0 (__TEXT,__text) external _PyImport_ExecCodeModule
000943eb (__TEXT,__text) external _PyImport_ExecCodeModuleEx
000965a3 (__TEXT,__text) external _PyImport_ExtendInittab
00108b74 (__DATA,__data) external _PyImport_FrozenModules
0009458a (__TEXT,__text) external _PyImport_GetImporter
0009413d (__TEXT,__text) external _PyImport_GetMagicNumber
00093b07 (__TEXT,__text) external _PyImport_GetModuleDict
0009551c (__TEXT,__text) external _PyImport_Import
00095318 (__TEXT,__text) external _PyImport_ImportFrozenModule
00093944 (__TEXT,__text) external _PyImport_ImportModule
00095791 (__TEXT,__text) external _PyImport_ImportModuleLevel
000956f5 (__TEXT,__text) external _PyImport_ImportModuleNoBlock
0010c538 (__DATA,__data) external _PyImport_Inittab
00095e1d (__TEXT,__text) external _PyImport_ReloadModule
0001246e (__TEXT,__text) external _PyInstance_New
00012cc3 (__TEXT,__text) external _PyInstance_NewRaw
000f38f0 (__DATA,__data) external _PyInstance_Type
000286c3 (__TEXT,__text) external _PyInt_AsLong
000287bb (__TEXT,__text) external _PyInt_AsSsize_t
00028908 (__TEXT,__text) external _PyInt_AsUnsignedLongLongMask
0002881a (__TEXT,__text) external _PyInt_AsUnsignedLongMask
000291c4 (__TEXT,__text) external _PyInt_ClearFreeList
000292de (__TEXT,__text) external _PyInt_Fini
000285db (__TEXT,__text) external _PyInt_FromLong
00028697 (__TEXT,__text) external _PyInt_FromSize_t
000286ba (__TEXT,__text) external _PyInt_FromSsize_t
000289f7 (__TEXT,__text) external _PyInt_FromString
00028c5f (__TEXT,__text) external _PyInt_FromUnicode
000285d1 (__TEXT,__text) external _PyInt_GetMax
000fa77c (__DATA,__data) external _PyInt_Type
0009cb8e (__TEXT,__text) external _PyInterpreterState_Clear
0009ce1e (__TEXT,__text) external _PyInterpreterState_Delete
0009d2cb (__TEXT,__text) external _PyInterpreterState_Head
0009caeb (__TEXT,__text) external _PyInterpreterState_New
0009d2dc (__TEXT,__text) external _PyInterpreterState_Next
0009d2e6 (__TEXT,__text) external _PyInterpreterState_ThreadHead
00009948 (__TEXT,__text) external _PyIter_Next
000fb0d0 (__DATA,__data) external _PyListIter_Type
000fb1b4 (__DATA,__data) external _PyListRevIter_Type
0002a785 (__TEXT,__text) external _PyList_Append
0002b5c5 (__TEXT,__text) external _PyList_AsTuple
0002a3e8 (__TEXT,__text) external _PyList_Fini
0002a57c (__TEXT,__text) external _PyList_GetItem
0002a82a (__TEXT,__text) external _PyList_GetSlice
0002a6a4 (__TEXT,__text) external _PyList_Insert
0002a41d (__TEXT,__text) external _PyList_New
0002b55e (__TEXT,__text) external _PyList_Reverse
0002a5ff (__TEXT,__text) external _PyList_SetItem
0002a8cd (__TEXT,__text) external _PyList_SetSlice
0002a540 (__TEXT,__text) external _PyList_Size
0002adbb (__TEXT,__text) external _PyList_Sort
000fae90 (__DATA,__data) external _PyList_Type
0002facb (__TEXT,__text) external _PyLong_AsDouble
0002ddfc (__TEXT,__text) external _PyLong_AsLong
0002dc84 (__TEXT,__text) external _PyLong_AsLongAndOverflow
0002e605 (__TEXT,__text) external _PyLong_AsLongLong
0002e83b (__TEXT,__text) external _PyLong_AsLongLongAndOverflow
0002de91 (__TEXT,__text) external _PyLong_AsSsize_t
0002df46 (__TEXT,__text) external _PyLong_AsUnsignedLong
0002e74b (__TEXT,__text) external _PyLong_AsUnsignedLongLong
0002e7b1 (__TEXT,__text) external _PyLong_AsUnsignedLongLongMask
0002dfec (__TEXT,__text) external _PyLong_AsUnsignedLongMask
0002e48b (__TEXT,__text) external _PyLong_AsVoidPtr
0002db02 (__TEXT,__text) external _PyLong_FromDouble
0002da5a (__TEXT,__text) external _PyLong_FromLong
0002e4e0 (__TEXT,__text) external _PyLong_FromLongLong
0002e5e6 (__TEXT,__text) external _PyLong_FromSize_t
0002e5c6 (__TEXT,__text) external _PyLong_FromSsize_t
0002f128 (__TEXT,__text) external _PyLong_FromString
0002f79f (__TEXT,__text) external _PyLong_FromUnicode
0002dab7 (__TEXT,__text) external _PyLong_FromUnsignedLong
0002e560 (__TEXT,__text) external _PyLong_FromUnsignedLongLong
0002e468 (__TEXT,__text) external _PyLong_FromVoidPtr
0002fe53 (__TEXT,__text) external _PyLong_GetInfo
000fb7f8 (__DATA,__data) external _PyLong_Type
00129e00 (__DATA,__common) external _PyMacGluePtr_AEDesc_Convert
00129df8 (__DATA,__common) external _PyMacGluePtr_AEDesc_New
00129dfc (__DATA,__common) external _PyMacGluePtr_AEDesc_NewBorrowed
00129e4c (__DATA,__common) external _PyMacGluePtr_BMObj_Convert
00129e48 (__DATA,__common) external _PyMacGluePtr_BMObj_New
00129ea4 (__DATA,__common) external _PyMacGluePtr_CFArrayRefObj_Convert
00129ea8 (__DATA,__common) external _PyMacGluePtr_CFArrayRefObj_New
00129eb4 (__DATA,__common) external _PyMacGluePtr_CFDictionaryRefObj_Convert
00129eb8 (__DATA,__common) external _PyMacGluePtr_CFDictionaryRefObj_New
00129eac (__DATA,__common) external _PyMacGluePtr_CFMutableArrayRefObj_Convert
00129eb0 (__DATA,__common) external _PyMacGluePtr_CFMutableArrayRefObj_New
00129ebc (__DATA,__common) external _PyMacGluePtr_CFMutableDictionaryRefObj_Convert
00129ec0 (__DATA,__common) external _PyMacGluePtr_CFMutableDictionaryRefObj_New
00129e9c (__DATA,__common) external _PyMacGluePtr_CFMutableStringRefObj_Convert
00129ea0 (__DATA,__common) external _PyMacGluePtr_CFMutableStringRefObj_New
00129e84 (__DATA,__common) external _PyMacGluePtr_CFObj_Convert
00129e88 (__DATA,__common) external _PyMacGluePtr_CFObj_New
00129e94 (__DATA,__common) external _PyMacGluePtr_CFStringRefObj_Convert
00129e98 (__DATA,__common) external _PyMacGluePtr_CFStringRefObj_New
00129e8c (__DATA,__common) external _PyMacGluePtr_CFTypeRefObj_Convert
00129e90 (__DATA,__common) external _PyMacGluePtr_CFTypeRefObj_New
00129ec4 (__DATA,__common) external _PyMacGluePtr_CFURLRefObj_Convert
00129ecc (__DATA,__common) external _PyMacGluePtr_CFURLRefObj_New
00129e10 (__DATA,__common) external _PyMacGluePtr_CmpInstObj_Convert
00129e0c (__DATA,__common) external _PyMacGluePtr_CmpInstObj_New
00129e08 (__DATA,__common) external _PyMacGluePtr_CmpObj_Convert
00129e04 (__DATA,__common) external _PyMacGluePtr_CmpObj_New
00129e18 (__DATA,__common) external _PyMacGluePtr_CtlObj_Convert
00129e14 (__DATA,__common) external _PyMacGluePtr_CtlObj_New
00129e20 (__DATA,__common) external _PyMacGluePtr_DlgObj_Convert
00129e1c (__DATA,__common) external _PyMacGluePtr_DlgObj_New
00129e24 (__DATA,__common) external _PyMacGluePtr_DlgObj_WhichDialog
00129e2c (__DATA,__common) external _PyMacGluePtr_DragObj_Convert
00129e28 (__DATA,__common) external _PyMacGluePtr_DragObj_New
00129e5c (__DATA,__common) external _PyMacGluePtr_GWorldObj_Convert
00129e58 (__DATA,__common) external _PyMacGluePtr_GWorldObj_New
00129e44 (__DATA,__common) external _PyMacGluePtr_GrafObj_Convert
00129e40 (__DATA,__common) external _PyMacGluePtr_GrafObj_New
00129e34 (__DATA,__common) external _PyMacGluePtr_ListObj_Convert
