00007ffb1ac8a7f1 (__TEXT,__text) external _LLVMExtraCreateBinary
00007ffb1ac80fd6 (__TEXT,__text) external _MTLGPUArchiverSetInstallName
00007ffb1ac810f2 (__TEXT,__text) external _MTLGPUArchiverSetTarget
00007ffb1ac80ea1 (__TEXT,__text) external _MTLGPUArchiverSetUnitHash
00007ffb1ac80c75 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflection
00007ffb1ac80d8b (__TEXT,__text) external _MTLGPUArchiverSetUnitReflectionWithReference
00007ffb1ac81bff (__TEXT,__text) external _MTLGPUArchiverToId
00007ffb1ac7fc6b (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithMemoryBuffer
00007ffb1ac7fc10 (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithUnitId
00007ffb1ac7fcc6 (__TEXT,__text) external _MTLGPUArchiverUnitRefDestroy
00007ffb1ac84903 (__TEXT,__text) external _MTLGPUCompilerBuildFromSource
00007ffb1ac84b9e (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToBuffer
00007ffb1ac84e20 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToFD
00007ffb1ac836f6 (__TEXT,__text) external _MTLGPUCompilerCompileFromSource
00007ffb1ac83955 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToBuffer
00007ffb1ac83bb8 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToFD
00007ffb1ac827c5 (__TEXT,__text) external _MTLGPUCompilerCreate
00007ffb1ac82825 (__TEXT,__text) external _MTLGPUCompilerDestroy
00007ffb1ac8724e (__TEXT,__text) external _MTLGPUCompilerDisableMeshEmulation
00007ffb1ac86f45 (__TEXT,__text) external _MTLGPUCompilerEnable16BitTextureCoordinateEmulation
00007ffb1ac86f8a (__TEXT,__text) external _MTLGPUCompilerEnableBFloatEmulation
00007ffb1ac86fd0 (__TEXT,__text) external _MTLGPUCompilerEnableDegenerateVertexAmplificationEmulation
00007ffb1ac87016 (__TEXT,__text) external _MTLGPUCompilerEnableDoubleEmulation
00007ffb1ac8705c (__TEXT,__text) external _MTLGPUCompilerEnableExternallyInitializedVariableSupport
00007ffb1ac870a2 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBindingInDylibSupport
00007ffb1ac870ce (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBuiltinInDylibSupport
00007ffb1ac871c6 (__TEXT,__text) external _MTLGPUCompilerEnableMeshFragmentEmulation
00007ffb1ac870fa (__TEXT,__text) external _MTLGPUCompilerEnableMeshKernelEmulation
00007ffb1ac87160 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVertexEmulation
00007ffb1ac8720a (__TEXT,__text) external _MTLGPUCompilerEnableMeshVisibleOrDylibEmulation
00007ffb1ac873e1 (__TEXT,__text) external _MTLGPUCompilerEnableRaytracingEmulation
00007ffb1ac874b2 (__TEXT,__text) external _MTLGPUCompilerEnableResourcePatchingInstrumentation
00007ffb1ac874f8 (__TEXT,__text) external _MTLGPUCompilerEnableResourceUsageInstrumentation
00007ffb1ac8753e (__TEXT,__text) external _MTLGPUCompilerEnableTLSEmulation
00007ffb1ac87584 (__TEXT,__text) external _MTLGPUCompilerHandleSPIs
00007ffb1ac8424c (__TEXT,__text) external _MTLGPUCompilerLink
00007ffb1ac8448b (__TEXT,__text) external _MTLGPUCompilerLinkToBuffer
00007ffb1ac846b7 (__TEXT,__text) external _MTLGPUCompilerLinkToFD
00007ffb1ac85cce (__TEXT,__text) external _MTLGPUCompilerLoadModules
00007ffb1ac85ea9 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToBuffer
00007ffb1ac86084 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToFD
00007ffb1ac87b02 (__TEXT,__text) external _MTLGPUCompilerLowerModule
00007ffb1ac87c68 (__TEXT,__text) external _MTLGPUCompilerLowerModuleToBuffer
00007ffb1ac865a3 (__TEXT,__text) external _MTLGPUCompilerSetFunctionGroups
00007ffb1ac85c22 (__TEXT,__text) external _MTLGPUCompilerSetLoaderScript
00007ffb1ac85c87 (__TEXT,__text) external _MTLGPUCompilerSetLoadingMode
00007ffb1ac8769a (__TEXT,__text) external _MTLGPUCompilerSetLoweringRuntimes
00007ffb1ac872a3 (__TEXT,__text) external _MTLGPUCompilerSetMeshEmulationUsedFragmentInputs
00007ffb1ac87427 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationIndirectAccelerationStructures
00007ffb1ac8746d (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
00007ffb1ac865fc (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
00007ffb1ac83693 (__TEXT,__text) external _MTLGPUCompilerSetTargetArch
00007ffb1ac83635 (__TEXT,__text) external _MTLGPUCompilerSetTargetTriple
00007ffb1ac8566c (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
00007ffb1ac8584e (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
00007ffb1ac85a28 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
00007ffb1ac850b6 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
00007ffb1ac85298 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
00007ffb1ac85472 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
00007ffb1ac86672 (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
00007ffb1ac86965 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
00007ffb1ac86c46 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
00007ffb1ac8c962 (__TEXT,__text) external _MTLMakeSharedMetalModule
00007ffb1ac8d980 (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
00007ffb1ac8cc5e (__TEXT,__text) external _MTLMetalFunctionCreate
00007ffb1ac8ca5a (__TEXT,__text) external _MTLMetalFunctionCreateWithModule
00007ffb1ac8cef8 (__TEXT,__text) external _MTLMetalFunctionDestroy
00007ffb1ac8d1a2 (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
00007ffb1ac8d29a (__TEXT,__text) external _MTLMetalFunctionGetAlias
00007ffb1ac8cfe0 (__TEXT,__text) external _MTLMetalFunctionGetKind
00007ffb1ac8d0d7 (__TEXT,__text) external _MTLMetalFunctionGetLLVMModule
00007ffb1ac8d094 (__TEXT,__text) external _MTLMetalFunctionGetMetalModule
00007ffb1ac8d21e (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
00007ffb1ac8d15e (__TEXT,__text) external _MTLMetalFunctionGetModule
00007ffb1ac8cfa3 (__TEXT,__text) external _MTLMetalFunctionGetName
00007ffb1ac8d944 (__TEXT,__text) external _MTLMetalImportedSymbolGetName
00007ffb1ac8b42f (__TEXT,__text) external _MTLMetalLibCreateCoreImage
00007ffb1ac8b384 (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
00007ffb1ac8b543 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
00007ffb1ac8b474 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
00007ffb1ac8b33f (__TEXT,__text) external _MTLMetalLibCreateExecutable
00007ffb1ac8b294 (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTriple
00007ffb1ac8b58e (__TEXT,__text) external _MTLMetalLibDestroy
00007ffb1ac8ea1a (__TEXT,__text) external _MTLMetalLibGetAsObject
00007ffb1ac8c4f0 (__TEXT,__text) external _MTLMetalLibGetDynamicLibrariesCount
00007ffb1ac8c53c (__TEXT,__text) external _MTLMetalLibGetDynamicLibraryNo
00007ffb1ac8b626 (__TEXT,__text) external _MTLMetalLibGetFunctionNo
00007ffb1ac8b5da (__TEXT,__text) external _MTLMetalLibGetFunctionsCount
00007ffb1ac8c45e (__TEXT,__text) external _MTLMetalLibGetImportedSymbolNo
00007ffb1ac8c412 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolsCount
00007ffb1ac8c4a7 (__TEXT,__text) external _MTLMetalLibGetInstallName
00007ffb1ac8c61a (__TEXT,__text) external _MTLMetalLibGetLLVMModuleNo
00007ffb1ac8c5d1 (__TEXT,__text) external _MTLMetalLibGetMetalModuleNo
00007ffb1ac8c69b (__TEXT,__text) external _MTLMetalLibGetModuleNo
00007ffb1ac8c585 (__TEXT,__text) external _MTLMetalLibGetModulesCount
00007ffb1ac8c730 (__TEXT,__text) external _MTLMetalLibGetSourceNo
00007ffb1ac8c6e4 (__TEXT,__text) external _MTLMetalLibGetSourcesCount
00007ffb1ac8bef5 (__TEXT,__text) external _MTLMetalLibGetVariableNo
00007ffb1ac8bea9 (__TEXT,__text) external _MTLMetalLibGetVariablesCount
00007ffb1ac8b66f (__TEXT,__text) external _MTLMetalLibInsertFunction
00007ffb1ac8bf3e (__TEXT,__text) external _MTLMetalLibInsertVariable
00007ffb1ac8c77d (__TEXT,__text) external _MTLMetalModuleCreatePersistentWithModule
00007ffb1ac8c916 (__TEXT,__text) external _MTLMetalModuleDestroy
00007ffb1ac8dd95 (__TEXT,__text) external _MTLMetalSourceExtractToSubDirectory
00007ffb1ac8dd03 (__TEXT,__text) external _MTLMetalSourceGetCommandLine
00007ffb1ac8dcbc (__TEXT,__text) external _MTLMetalSourceGetObjectFileName
00007ffb1ac8dd4c (__TEXT,__text) external _MTLMetalSourceGetWorkingDir
00007ffb1ac8d3cd (__TEXT,__text) external _MTLMetalVariableCreate
00007ffb1ac8d2d7 (__TEXT,__text) external _MTLMetalVariableCreateWithModule
00007ffb1ac8d678 (__TEXT,__text) external _MTLMetalVariableDestroy
00007ffb1ac8d80f (__TEXT,__text) external _MTLMetalVariableGetAIRVersion
00007ffb1ac8d907 (__TEXT,__text) external _MTLMetalVariableGetAlias
00007ffb1ac8d744 (__TEXT,__text) external _MTLMetalVariableGetLLVMModule
00007ffb1ac8d701 (__TEXT,__text) external _MTLMetalVariableGetMetalModule
00007ffb1ac8d88b (__TEXT,__text) external _MTLMetalVariableGetMetalVersion
00007ffb1ac8d7cb (__TEXT,__text) external _MTLMetalVariableGetModule
00007ffb1ac8d6c4 (__TEXT,__text) external _MTLMetalVariableGetName
00007ffb1ac8e998 (__TEXT,__text) external _MTLModuleGetAsObject
00007ffb1ac8e654 (__TEXT,__text) external _MTLObjectCreate
00007ffb1ac8e8b6 (__TEXT,__text) external _MTLObjectDestroy
00007ffb1ac8eaa8 (__TEXT,__text) external _MTLObjectGetAsArchive
00007ffb1ac8eb06 (__TEXT,__text) external _MTLObjectGetAsMetalLib
00007ffb1ac8ea5b (__TEXT,__text) external _MTLObjectGetAsModule
00007ffb1ac81f59 (__TEXT,__text) external _MTLUpgradeAIRModule
00007ffb1ac823d4 (__TEXT,__text) external _MTLVerifyAIRModule
00007ffb1ac8247d (__TEXT,__text) external _MTLWriteAIRBitcodeToMemoryBuffer
00007ffb1ac8264e (__TEXT,__text) external _MTLWriteAIRReflectionToMemoryBuffer
00007ffb1ac8d9bc (__TEXT,__text) external _MTLWriteMetalLibToMemoryBuffer
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary25findInExplicitLoadedImageEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary26findInImplicitLoadedImagesEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryC1EPKvPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm10TimerGroupD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoInfsEb (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoNaNsEb (from libLLVM)
                 (undefined) external __ZN4llvm11NamedMDNode10setOperandEjPNS_6MDNodeE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream16SetBufferAndModeEPcmNS0_10BufferKindE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEPKcm (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEh (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamD2Ev (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEPKv (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEm (from libLLVM)
                 (undefined) external __ZN4llvm12MemoryBuffer16getMemBufferCopyENS_9StringRefERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm13ErrorInfoBase2IDE (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl11RehashTableEj (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl15LookupBucketForENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamC1EibbNS_11raw_ostream11OStreamKindE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm15MemoryBufferRefC1ERKNS_12MemoryBufferE (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm15allocate_bufferEmm (from libLLVM)
                 (undefined) external __ZN4llvm15setBugReportMsgEPKc (from libLLVM)
                 (undefined) external __ZN4llvm16IRChangedPrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm17TimePassesHandler5printEv (from libLLVM)
                 (undefined) external __ZN4llvm17deallocate_bufferEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm18report_fatal_errorERKNS_5TwineEb (from libLLVM)
                 (undefined) external __ZN4llvm19InLineChangePrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20DotCfgChangeReporterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm22EnablePrettyStackTraceEv (from libLLVM)
                 (undefined) external __ZN4llvm22PrintIRInstrumentationD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm3air10APITrackerC2EPKcSt16initializer_listINSt3__18functionIFvRNS_11raw_ostreamEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10APITrackerD2Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10Reflection6createERKNS_6ModuleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10ScriptFile6createENS_15MemoryBufferRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air11MetalModule11materializeENSt3__110shared_ptrINS_6ModuleEEENS1_19MaterializationKindE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air11MetalModule9serializeENSt3__110shared_ptrINS_6ModuleEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air15verifyAIRModuleERKNS_6ModuleENS0_17VerificationLevelE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16MetalDefinedSymbC2ENSt3__110shared_ptrINS0_11MetalModuleEEENS_9StringRefES6_NS1_10SymbolFlagENS3_INS0_11MetalSourceEEENS_8ArrayRefIS9_EENSA_IhEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16upgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air18downgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriter5writeEv (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriterC1ENSt3__110unique_ptrINS0_8MetalLibENS2_14default_deleteIS4_EEEERNS_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air21WriteAIRBitcodeToFileEPKNS_6ModuleERNS_11raw_ostreamENS0_14BitcodeVersionEb (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air28NormalizeModuleForAIRBitcodeEPNS_6ModuleENS0_14BitcodeVersionE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air7Archive9addMemberENS_9StringRefENSt3__110unique_ptrINS_6ModuleENS3_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3sys2fs16createUniqueFileERKNS_5TwineERiRNS_15SmallVectorImplIcEENS1_9OpenFlagsEj (from libLLVM)
                 (undefined) external __ZN4llvm3sys2fs18create_directoriesERKNS_5TwineEbNS1_5permsE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path14home_directoryERNS_15SmallVectorImplIcEE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path6appendERNS_15SmallVectorImplIcEERKNS_5TwineES7_S7_S7_ (from libLLVM)
                 (undefined) external __ZN4llvm5MachO19getArchitectureNameENS0_12ArchitectureE (from libLLVM)
                 (undefined) external __ZN4llvm5MachO26getArchitectureFromCpuTypeEjj (from libLLVM)
                 (undefined) external __ZN4llvm5TimerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6ModuleD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6SHA256D1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6TripleC1ERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm6legacy11PassManagerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6object12createBinaryENS_15MemoryBufferRefEPNS_11LLVMContextEb (from libLLVM)
                 (undefined) external __ZN4llvm7MDTuple7getImplERNS_11LLVMContextENS_8ArrayRefIPNS_8MetadataEEENS4_11StorageTypeEb (from libLLVM)
                 (undefined) external __ZN4llvm7airdyld6Loader17setFunctionGroupsENS_15MutableArrayRefINSt3__110unique_ptrINS_3air13FunctionGroupENS3_14default_deleteIS6_EEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm8Function9addFnAttrENS_9StringRefES1_ (from libLLVM)
                 (undefined) external __ZN4llvm8MDString3getERNS_11LLVMContextENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm9ErrorList2IDE (from libLLVM)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_12VersionTupleE (from libLLVM)
                 (undefined) external __ZN7metalfe11GPUArchiver10dumpToFileERN4llvm11raw_ostreamES3_ (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11addPipelineEjN4llvm8ArrayRefINS_16GPUArchiverIndexEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11buildToFileERN4llvm11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11setUnitHashENS_16GPUArchiverIndexEN4llvm8ArrayRefIjEENS3_IA32_hEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12createWriterENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12deleteWithIdEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12dumpToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13addDescriptorEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13buildToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver14setInstallNameEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver16addLinkedModulesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPNS2_12MemoryBufferEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setActivePlatformENS_25GPUArchiverActivePlatformERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setUnitReflectionENS_16GPUArchiverIndexEPKN4llvm12MemoryBufferES5_RNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18createWriterWithIdENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18keepPackingSymbolsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver20addUnitWithReferenceEN4llvm5MachO12ArchitectureEPKNS_18GPUArchiverUnitRefES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30addLinkedModulesWithReferencesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPKNS_18GPUArchiverUnitRefEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30setUnitReflectionWithReferenceENS_16GPUArchiverIndexEPKNS_18GPUArchiverUnitRefES4_RN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver5flushERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver6createEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addToolEN4llvm5MachO12ArchitectureEjRKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addUnitEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9packUnitsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9setTargetEN4llvm5MachO12PlatformTypeERKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiverD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10handleSPIsEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10loadToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12loadToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12stitchToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefINSC_IhEEEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13lowerToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13setTargetArchEN4llvm9StringRefE (from libGPUCompilerImpl)
