                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
00000001804e01e4 (__TEXT,__text) non-external _LI_get_thread_info
00000001804e1f10 (__TEXT,__text) non-external __LI_data_free
00000001804e037c (__TEXT,__text) non-external __LI_data_init
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00000001804f4694 (__TEXT,__text) non-external ____check_groups_block_invoke
00000001804f4744 (__TEXT,__text) non-external ____check_groups_block_invoke_2
00000001804f75d0 (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
00000001804fea5c (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
00000001804f76a4 (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
00000001804fe9dc (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
00000001804f76e4 (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
00000001804feadc (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
00000001804f7758 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke
00000001804f77b4 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.52
00000001804f7810 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.56
00000001804f786c (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.60
00000001804f791c (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.62
00000001804f79cc (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.66
00000001804f7230 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke
00000001804f7420 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.14
00000001804f7478 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.19
00000001804f74cc (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.23
00000001804f7524 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.27
00000001804f7578 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.31
00000001804eacb0 (__TEXT,__text) non-external ____ds_list_block_invoke
00000001804ef188 (__TEXT,__text) non-external ____extract_alias_dict_block_invoke
00000001804eafdc (__TEXT,__text) non-external ____extract_fstab_dict_block_invoke
00000001804e0c10 (__TEXT,__text) non-external ____extract_group_dict_block_invoke
00000001804eed44 (__TEXT,__text) non-external ____extract_netgroup_dict_block_invoke
00000001804ef508 (__TEXT,__text) non-external ____extract_network_dict_block_invoke
00000001804efc6c (__TEXT,__text) non-external ____extract_protocol_dict_block_invoke
00000001804f0028 (__TEXT,__text) non-external ____extract_rpc_dict_block_invoke
00000001804ef89c (__TEXT,__text) non-external ____extract_service_dict_block_invoke
00000001804e0e44 (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_block_invoke
00000001804eea9c (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_index_block_invoke
00000001804df22c (__TEXT,__text) non-external ____extract_user_dict_block_invoke
00000001804eb554 (__TEXT,__text) non-external ____fsi_fs_root_block_invoke
00000001804ddb54 (__TEXT,__text) non-external ____mbr_xpc_pipe_block_invoke
00000001804decac (__TEXT,__text) non-external ____od_xpc_pipe_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00000001e6b2da48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e6b2da68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e6b2dae8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e6b2db80 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e6b2dbc0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e6b2dbe0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e6b2dca0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e6b2df08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001ee4fe308 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001ee4fe678 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10
00000001ee4fddb0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.105
00000001ee4fdde0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.116
00000001e6b2da88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001ee4fde10 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.126
00000001ee4fe6a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.13
00000001ee4fde40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.140
00000001ee4fe6d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001ee4fe338 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001ee4fe708 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001ee4fe738 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.20
00000001ee4fe368 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.22
00000001ee4fe768 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
00000001e6b2dba0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00000001ee4fe398 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.26
00000001ee4fe798 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.27
00000001ee4fe618 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3
00000001ee4fe3c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001ee4fe7c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001ee4fe7f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001ee4fe3f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001ee4fe828 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001ee4fdc90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
00000001ee4fe428 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
00000001e6b2db08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.38
00000001ee4fe858 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38
00000001ee4fe648 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4
00000001ee4fe458 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.41
00000001ee4fe488 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.42
00000001e6b2dcc0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00000001ee4fdcc0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000001e6b2daa8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00000001ee4fe4d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.51
00000001ee4fdcf0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
00000001e6b2dac8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55
00000001ee4fe508 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.55
00000001ee4fe538 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.59
00000001ee4fe568 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.61
00000001ee4fe598 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.65
00000001ee4fe5c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.69
00000001ee4fdd20 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
00000001ee4fdd50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
00000001ee4fdd80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.89
00000001ee4fdc50 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ee4fdfd8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ee4fe160 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ee4fe2e8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ee4fe4b8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ee4fe5f8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ee4fdc70 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001ead94368 (__DATA,__data) non-external (was a private external) ___check_rhosts_file
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
00000001804f76f4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000001804f7610 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00000001804ee99c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000001804f738c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000001804ee8ec (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000001804eee18 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r56r64r
                 (undefined) external ___darwin_check_fd_set_overflow (from libsystem_kernel)
00000001804fec90 (__TEXT,__text) non-external ___darwin_directory_group_all_block_invoke
00000001804fec10 (__TEXT,__text) non-external ___darwin_directory_group_bygid_block_invoke
00000001804feb5c (__TEXT,__text) non-external ___darwin_directory_group_byname_block_invoke
00000001804fec50 (__TEXT,__text) non-external ___darwin_directory_group_byuuid_block_invoke
00000001804fed00 (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke
00000001804fed28 (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke.36
0000000180506b20 (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke.36.cold.1
00000001804feaec (__TEXT,__text) non-external ___darwin_directory_user_all_block_invoke
00000001804fe910 (__TEXT,__text) non-external ___darwin_directory_user_byname_block_invoke
00000001804fea1c (__TEXT,__text) non-external ___darwin_directory_user_byuid_block_invoke
00000001804fea9c (__TEXT,__text) non-external ___darwin_directory_user_byuuid_block_invoke
00000001804f7704 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000001804f7660 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00000001804ee9ac (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000001804f73dc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000001804ee94c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
00000001804eee98 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r56r64r
00000001804ebfe8 (__TEXT,__text) external ___dn_skipname
                 (undefined) external ___error (from libsystem_kernel)
0000000180504b1c (__TEXT,__text) non-external ___icheckhost
00000001805079d8 (__TEXT,__const) non-external (was a private external) ___infoVersionNumber
00000001805079b0 (__TEXT,__const) non-external (was a private external) ___infoVersionString
                 (undefined) external ___initgroups (from libsystem_kernel)
0000000180504664 (__TEXT,__text) non-external (was a private external) ___ivaliduser_sa
                 (undefined) external ___maskrune (from libsystem_c)
00000001ece98448 (__DATA_DIRTY,__bss) non-external ___mbr_pipe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___memmove_chk (from libsystem_c)
                 (undefined) external ___memset_chk (from libsystem_c)
00000001ece98468 (__DATA_DIRTY,__bss) non-external ___od_pipe
00000001ead94768 (__DATA,__common) non-external (was a private external) ___rcmd_errstr
00000001804e5828 (__TEXT,__text) non-external ___si_async_call_block_invoke
00000001804ed278 (__TEXT,__text) non-external ___si_module_cache_byname_block_invoke
00000001804fe8e8 (__TEXT,__text) non-external ___si_module_static_darwin_directory_block_invoke
00000001804de5a0 (__TEXT,__text) non-external ___si_module_static_ds_block_invoke
00000001804de760 (__TEXT,__text) non-external ___si_module_static_file_block_invoke
00000001804de6a8 (__TEXT,__text) non-external ___si_module_static_mdns_block_invoke
00000001804de0f0 (__TEXT,__text) non-external ___si_module_static_search_block_invoke
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external ___stdoutp (from libsystem_c)
                 (undefined) external ___strcat_chk (from libsystem_c)
                 (undefined) external ___strcpy_chk (from libsystem_c)
                 (undefined) external ___strlcat_chk (from libsystem_c)
                 (undefined) external ___strlcpy_chk (from libsystem_c)
                 (undefined) external ___tolower (from libsystem_c)
0000000180502db8 (__TEXT,__text) non-external (was a private external) ___xdrrec_getrec
0000000180500c14 (__TEXT,__text) external __authenticate
00000001804f2cac (__TEXT,__text) non-external __check_groups
00000001ead947a0 (__DATA,__bss) non-external __check_groups.once
00000001804feb9c (__TEXT,__text) non-external __dd_extract_group
00000001804f7284 (__TEXT,__text) non-external __dd_extract_result
00000001805059d0 (__TEXT,__text) non-external __dd_extract_result.cold.1
00000001805059e8 (__TEXT,__text) non-external __dd_extract_result.cold.2
00000001804fe950 (__TEXT,__text) non-external __dd_extract_user
00000001804f64f8 (__TEXT,__text) non-external __dd_mbr_check_membership_ext
00000001804ed47c (__TEXT,__text) non-external __ds_child
00000001804dee7c (__TEXT,__text) non-external __ds_get_validation
00000001804e03e4 (__TEXT,__text) non-external __ds_is_valid
00000001804dedb0 (__TEXT,__text) non-external __ds_item
00000001804eab60 (__TEXT,__text) non-external __ds_list
00000001ead945a0 (__DATA,__common) non-external (was a private external) __ds_port
00000001804ed3a0 (__TEXT,__text) external __ds_running
00000001804ee808 (__TEXT,__text) non-external __ds_serv_cache_free
00000001ece984d0 (__DATA_DIRTY,__bss) non-external __ds_serv_cache_key
00000001804eef00 (__TEXT,__text) non-external __extract_alias
00000001804ead14 (__TEXT,__text) non-external __extract_fstab
00000001804e098c (__TEXT,__text) non-external __extract_group
00000001804f0130 (__TEXT,__text) non-external __extract_mac_mac
00000001804f02a4 (__TEXT,__text) non-external __extract_mac_name
00000001804eead4 (__TEXT,__text) non-external __extract_netgroup
00000001804ef290 (__TEXT,__text) non-external __extract_network
00000001804efa08 (__TEXT,__text) non-external __extract_protocol
00000001804efdc4 (__TEXT,__text) non-external __extract_rpc
00000001804ef610 (__TEXT,__text) non-external __extract_service
00000001804ee870 (__TEXT,__text) non-external __extract_string_from_xpc_array_index
00000001804f0244 (__TEXT,__text) non-external __extract_string_from_xpc_dict
00000001804df434 (__TEXT,__text) non-external __extract_string_from_xpc_object
00000001804e0d44 (__TEXT,__text) non-external __extract_string_list_from_xpc_array
00000001804ee9b8 (__TEXT,__text) non-external __extract_string_list_from_xpc_array_index
00000001804df4cc (__TEXT,__text) non-external __extract_uint32_from_xpc_object
00000001804def38 (__TEXT,__text) non-external __extract_user
00000001804f0e44 (__TEXT,__text) non-external __fsi_append_char_to_line
00000001804e3f00 (__TEXT,__text) non-external __fsi_append_string
00000001804f0794 (__TEXT,__text) non-external __fsi_check_netgroup_cache
00000001804f0ac0 (__TEXT,__text) non-external __fsi_find_netgroup
00000001804f0ccc (__TEXT,__text) non-external __fsi_flatten_netgroup
00000001804f0394 (__TEXT,__text) non-external (was a private external) __fsi_free_file_netgroup
00000001804f0eec (__TEXT,__text) non-external __fsi_get_alias
00000001804f1380 (__TEXT,__text) non-external __fsi_get_ether
00000001804eb164 (__TEXT,__text) non-external __fsi_get_fs
00000001804ebb9c (__TEXT,__text) non-external __fsi_get_group
00000001804e9f04 (__TEXT,__text) non-external __fsi_get_host
00000001804e3c00 (__TEXT,__text) non-external (was a private external) __fsi_get_line
00000001804f10cc (__TEXT,__text) non-external __fsi_get_name_number_aliases
00000001804e3824 (__TEXT,__text) non-external __fsi_get_service
00000001804e4790 (__TEXT,__text) non-external __fsi_get_user
00000001804e3ab8 (__TEXT,__text) non-external __fsi_get_validation
00000001804f1504 (__TEXT,__text) non-external __fsi_parse_ether
00000001804f0b60 (__TEXT,__text) non-external __fsi_read_netgroup_line
00000001804e3cf0 (__TEXT,__text) non-external (was a private external) __fsi_tokenize
00000001804e4004 (__TEXT,__text) non-external __fsi_validate
00000001804f0770 (__TEXT,__text) non-external __fsi_validation_path
00000001804e8f54 (__TEXT,__text) non-external (was a private external) __gai_addr_sort
00000001ead941a8 (__DATA,__data) non-external __gai_load_libnetwork.load_once
00000001804f5938 (__TEXT,__text) non-external __gai_load_libnetwork_once
0000000180505810 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.1
0000000180505850 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.2
0000000180505884 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.3
00000001805058b8 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.4
00000001805058ec (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.5
00000001ead94830 (__DATA,__bss) non-external __gai_load_libnetwork_once.handle
00000001ead941a0 (__DATA,__data) non-external __gai_log
00000001804f536c (__TEXT,__text) external __gai_nat64_can_v4_address_be_synthesized
00000001805057dc (__TEXT,__text) non-external __gai_nat64_can_v4_address_be_synthesized.cold.1
00000001804f5434 (__TEXT,__text) non-external __gai_nat64_second_pass
00000001804e19f8 (__TEXT,__text) non-external __gai_nat64_synthesis
00000001804e1cec (__TEXT,__text) non-external __gai_numerichost
00000001804e1978 (__TEXT,__text) non-external __gai_numericserv
00000001804e8d44 (__TEXT,__text) external __gai_serv_to_port
00000001804eb95c (__TEXT,__text) external __gai_simple
00000001804e26e8 (__TEXT,__text) non-external __gai_sort_list
00000001804f3d70 (__TEXT,__text) external __getaddrinfo_interface_async_call
00000001804f2dc0 (__TEXT,__text) non-external __getgrouplist_2_internal
00000001804ec05c (__TEXT,__text) external __getlong
00000001804ea2cc (__TEXT,__text) external __getnameinfo_interface_async_call
00000001804ec04c (__TEXT,__text) external __getshort
0000000180507c18 (__TEXT,__const) non-external __group_compat_prefix
                 (undefined) external __inet_aton_check (from libsystem_c)
00000001ece98460 (__DATA_DIRTY,__bss) non-external __info_key
00000001ece98058 (__DATA_DIRTY,__data) non-external __info_key_initialized
00000001ece98458 (__DATA_DIRTY,__bss) non-external __info_key_ok
00000001804f49e0 (__TEXT,__text) non-external __is_v4addr_ifaddr
00000001804f4a74 (__TEXT,__text) non-external __is_v6addr_ifaddr
00000001804f7710 (__TEXT,__text) non-external __mbr_fork_child
00000001804e51f8 (__TEXT,__text) non-external __mbr_fork_parent
00000001804e51bc (__TEXT,__text) non-external __mbr_fork_prepare
00000001804dda48 (__TEXT,__text) non-external __mbr_od_available
00000001804dda84 (__TEXT,__text) non-external __mbr_xpc_pipe
00000001805059bc (__TEXT,__text) non-external __mbr_xpc_pipe.cold.1
00000001ece98450 (__DATA_DIRTY,__bss) non-external __mbr_xpc_pipe.once
00000001804f4b1c (__TEXT,__text) non-external __mdns_atfork_child
00000001804e51e0 (__TEXT,__text) non-external __mdns_atfork_parent
00000001804e51d4 (__TEXT,__text) non-external __mdns_atfork_prepare
00000001804e869c (__TEXT,__text) non-external __mdns_canonicalize
00000001804e6b1c (__TEXT,__text) non-external __mdns_deadline
00000001ead94810 (__DATA,__bss) non-external __mdns_debug
00000001804e5d9c (__TEXT,__text) non-external __mdns_debug_message
00000001ead94818 (__DATA,__bss) non-external __mdns_generation
00000001804e86f8 (__TEXT,__text) non-external __mdns_hostent_append_addr
00000001804e8590 (__TEXT,__text) non-external __mdns_hostent_append_alias
00000001804e7894 (__TEXT,__text) non-external __mdns_hostent_clear
00000001ead94230 (__DATA,__data) non-external __mdns_mutex
00000001804e6bac (__TEXT,__text) non-external __mdns_now
00000001ead947c0 (__DATA,__bss) non-external __mdns_old_sdref
00000001804e6f64 (__TEXT,__text) non-external __mdns_pack_domain_name
00000001804e9d64 (__TEXT,__text) non-external __mdns_parse_domain_name
00000001804ec08c (__TEXT,__text) non-external __mdns_query
00000001804e7080 (__TEXT,__text) non-external __mdns_query_callback
00000001804e77b4 (__TEXT,__text) non-external __mdns_query_clear
00000001804e7624 (__TEXT,__text) non-external __mdns_query_is_complete
00000001804e6bf8 (__TEXT,__text) non-external __mdns_query_start
00000001804e7938 (__TEXT,__text) non-external __mdns_reply_clear
00000001ead947b8 (__DATA,__bss) non-external __mdns_sdref
00000001804e5e1c (__TEXT,__text) non-external __mdns_search
00000001804e5ec8 (__TEXT,__text) non-external __mdns_search_ex
00000001ead946c0 (__DATA,__common) external __null_auth
00000001804ee814 (__TEXT,__text) non-external __od_fork_child
00000001804e51ec (__TEXT,__text) non-external __od_fork_parent
00000001804e51c8 (__TEXT,__text) non-external __od_fork_prepare
00000001804ddbdc (__TEXT,__text) non-external (was a private external) __od_rpc_call
00000001804deb88 (__TEXT,__text) non-external __od_running
00000001804debd4 (__TEXT,__text) non-external __od_xpc_pipe
00000001805054d8 (__TEXT,__text) non-external __od_xpc_pipe.cold.1
00000001ece98498 (__DATA_DIRTY,__bss) non-external __od_xpc_pipe.once
                 (undefined) external __os_activity_create (from libsystem_trace)
                 (undefined) external __os_activity_current (from libsystem_trace)
                 (undefined) external __os_feature_enabled_simple_impl (from libsystem_featureflags)
                 (undefined) external __os_log_debug_impl (from libsystem_trace)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_error_impl (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
                 (undefined) external __os_log_impl (from libsystem_trace)
00000001ead94378 (__DATA,__common) external __res
0000000180500250 (__TEXT,__text) external __seterr_reply
00000001804ed384 (__TEXT,__text) external __si_disable_opendirectory
00000001ead94370 (__DATA,__common) non-external (was a private external) __si_opendirectory_disabled
0000000180500c60 (__TEXT,__text) non-external (was a private external) __svcauth_null
0000000180500df4 (__TEXT,__text) non-external (was a private external) __svcauth_short
0000000180500c68 (__TEXT,__text) non-external (was a private external) __svcauth_unix
0000000180507c08 (__TEXT,__const) non-external __user_compat_prefix
00000001804ded58 (__TEXT,__text) non-external __xpc_query_key_id
00000001804efd74 (__TEXT,__text) non-external __xpc_query_key_int
00000001804e4b48 (__TEXT,__text) non-external __xpc_query_key_string
00000001804e5464 (__TEXT,__text) non-external __xpc_query_key_uuid
                 (undefined) external __xpc_type_array (from libxpc)
                 (undefined) external __xpc_type_bool (from libxpc)
                 (undefined) external __xpc_type_dictionary (from libxpc)
                 (undefined) external __xpc_type_int64 (from libxpc)
                 (undefined) external __xpc_type_string (from libxpc)
00000001804f8438 (__TEXT,__text) external __yp_dobind
00000001ead942fc (__DATA,__data) non-external __yp_dobind.pid
00000001ead945c0 (__DATA,__common) non-external (was a private external) __yp_domain
00000001804f8910 (__TEXT,__text) non-external (was a private external) __yp_unbind
00000001ead945b8 (__DATA,__common) non-external (was a private external) __ypbindlist
00000001ead942f8 (__DATA,__data) non-external (was a private external) __yplib_timeout
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _abort_with_reason (from libsystem_kernel)
                 (undefined) external _accept$NOCANCEL (from libsystem_kernel)
00000001804f3008 (__TEXT,__text) external _alias_endent
00000001804f2f2c (__TEXT,__text) external _alias_getbyname
00000001804f2f98 (__TEXT,__text) external _alias_getent
00000001804f2f8c (__TEXT,__text) external _alias_setent
0000000180507b00 (__TEXT,__const) non-external _align_64
00000001804e8848 (__TEXT,__text) non-external _append_addr
                 (undefined) external _arc4random (from libsystem_c)
                 (undefined) external _asl_free (from libsystem_asl)
                 (undefined) external _asl_log (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asprintf (from libsystem_c)
                 (undefined) external _atoi (from libsystem_c)
00000001e6b2de88 (__DATA_CONST,__const) non-external _auth_errlist
00000001edb4c1a8 (__AUTH,__data) non-external _auth_unix_ops
00000001804f96f4 (__TEXT,__text) external _authnone_create
00000001804f9824 (__TEXT,__text) non-external _authnone_destroy
00000001804f97e4 (__TEXT,__text) non-external _authnone_marshal
00000001ead948b8 (__DATA,__bss) non-external _authnone_private
00000001804f981c (__TEXT,__text) non-external _authnone_refresh
00000001804f9814 (__TEXT,__text) non-external _authnone_validate
00000001804f9810 (__TEXT,__text) non-external _authnone_verf
00000001804f9828 (__TEXT,__text) external _authunix_create
00000001804f9a44 (__TEXT,__text) external _authunix_create_default
00000001804f9d08 (__TEXT,__text) non-external _authunix_destroy
00000001804f9b00 (__TEXT,__text) non-external _authunix_marshal
00000001804f9afc (__TEXT,__text) non-external _authunix_nextverf
00000001804f9be8 (__TEXT,__text) non-external _authunix_refresh
00000001804f9b20 (__TEXT,__text) non-external _authunix_validate
                 (undefined) external _bind (from libsystem_kernel)
00000001804fa0a4 (__TEXT,__text) external _bindresvport
00000001804f9ea4 (__TEXT,__text) external _bindresvport_sa
00000001804f4690 (__TEXT,__text) external _bootparams_endent
00000001804f467c (__TEXT,__text) external _bootparams_getbyname
00000001804f4684 (__TEXT,__text) external _bootparams_getent
00000001804f468c (__TEXT,__text) external _bootparams_setent
