00007ff84003e328 (__DATA,__bss) non-external _GlobalMajor
00007ff800212f91 (__TEXT,__text) external ___fixdfdi
00007ff800212fb2 (__TEXT,__text) external ___fixdfti
00007ff800213072 (__TEXT,__text) external ___fixsfdi
00007ff800213090 (__TEXT,__text) external ___fixsfti
00007ff80021313d (__TEXT,__text) external ___fixunsdfdi
00007ff800213180 (__TEXT,__text) external ___fixunsdfsi
00007ff8002131cc (__TEXT,__text) external ___fixunsdfti
00007ff80021324c (__TEXT,__text) external ___fixunssfdi
00007ff800213291 (__TEXT,__text) external ___fixunssfsi
00007ff8002132de (__TEXT,__text) external ___fixunssfti
00007ff800213356 (__TEXT,__text) external ___fixunsxfdi
00007ff8002133e1 (__TEXT,__text) external ___fixunsxfsi
00007ff800213468 (__TEXT,__text) external ___fixunsxfti
00007ff800213533 (__TEXT,__text) external ___fixxfdi
00007ff8002135de (__TEXT,__text) external ___fixxfti
00007ff8002136d5 (__TEXT,__text) external ___floatdidf
00007ff8002136db (__TEXT,__text) external ___floatdisf
00007ff8002136e1 (__TEXT,__text) external ___floatdixf
00007ff8002136eb (__TEXT,__text) external ___floattidf
00007ff800213803 (__TEXT,__text) external ___floattisf
00007ff800213905 (__TEXT,__text) external ___floattixf
00007ff800213a34 (__TEXT,__text) external ___floatundidf
00007ff800213a60 (__TEXT,__text) external ___floatundisf
00007ff800213a8c (__TEXT,__text) external ___floatundixf
00007ff800213aa2 (__TEXT,__text) external ___floatuntidf
00007ff800213baa (__TEXT,__text) external ___floatuntisf
00007ff800213c72 (__TEXT,__text) external ___floatuntixf
00007ff8002152a6 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff800212f54 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff800210944 (__TEXT,__text) external ___isPlatformVersionAtLeast
00007ff800213d90 (__TEXT,__text) external ___lshrdi3
00007ff800213dbe (__TEXT,__text) external ___lshrti3
00007ff800213de6 (__TEXT,__text) external ___moddi3
00007ff800213e3e (__TEXT,__text) external ___modti3
00007ff800213ead (__TEXT,__text) external ___muldc3
00007ff800214060 (__TEXT,__text) external ___muldi3
00007ff8002140da (__TEXT,__text) external ___mulodi4
00007ff800214169 (__TEXT,__text) external ___mulosi4
00007ff8002141dc (__TEXT,__text) external ___muloti4
00007ff8002142e5 (__TEXT,__text) external ___mulsc3
00007ff80021452b (__TEXT,__text) external ___multi3
00007ff80021458a (__TEXT,__text) external ___mulvdi3
00007ff800214689 (__TEXT,__text) external ___mulvsi3
00007ff800214765 (__TEXT,__text) external ___mulvti3
00007ff8002148ec (__TEXT,__text) external ___mulxc3
00007ff800214c49 (__TEXT,__text) external ___negdi2
00007ff800214c50 (__TEXT,__text) external ___negti2
00007ff800214c5c (__TEXT,__text) external ___negvdi2
00007ff800214c8b (__TEXT,__text) external ___negvsi2
00007ff800214cb1 (__TEXT,__text) external ___negvti2
00007ff800214ce3 (__TEXT,__text) external ___paritydi2
00007ff800214d15 (__TEXT,__text) external ___paritysi2
00007ff800214d3d (__TEXT,__text) external ___parityti2
00007ff800214d72 (__TEXT,__text) external ___popcountdi2
00007ff800214dd4 (__TEXT,__text) external ___popcountsi2
00007ff800214e0d (__TEXT,__text) external ___popcountti2
00007ff800214e9b (__TEXT,__text) external ___powidf2
00007ff800214eff (__TEXT,__text) external ___powisf2
00007ff800214f5e (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff800214fae (__TEXT,__text) external ___subvdi3
00007ff800214ff6 (__TEXT,__text) external ___subvsi3
00007ff800215039 (__TEXT,__text) external ___subvti3
00007ff80021508d (__TEXT,__text) external ___truncdfhf2
00007ff8002151ba (__TEXT,__text) external ___truncsfhf2
00007ff8002152ab (__TEXT,__text) external ___ucmpdi2
00007ff8002152d7 (__TEXT,__text) external ___ucmpti2
00007ff8002152f8 (__TEXT,__text) external ___udivdi3
00007ff80021537b (__TEXT,__text) external ___udivmoddi4
00007ff8002155d6 (__TEXT,__text) external ___udivmodti4
00007ff800215698 (__TEXT,__text) external ___udivti3
00007ff8002156a0 (__TEXT,__text) external ___umoddi3
00007ff80021571f (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
                 (undefined) external __os_once (from libsystem_platform)
00007ff800211cec (__TEXT,__text) external _atomic_flag_clear
00007ff800211cf1 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff800211d04 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff800211d0c (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff800211d40 (__TEXT,__text) external _atomic_signal_fence
00007ff800211d6c (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff8002109bb (__TEXT,__text) non-external _initializeAvailabilityCheck
00007ff84003e340 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
                 (undefined) external _scalbnl (from libsystem_m)
                 (undefined) external _sscanf (from libsystem_c)
                 (undefined) external _uname (from libsystem_c)
00007ff8002161e0 (__TEXT,__const) non-external two
00007ff8002161b0 (__TEXT,__const) non-external twop52
00007ff8002161f0 (__TEXT,__const) non-external twop64
00007ff8002161d0 (__TEXT,__const) non-external twop84
00007ff8002161c0 (__TEXT,__const) non-external twop84_plus_twop52
