00007ffb1d30c4bc (__TEXT,__text) non-external _Done_iODBC
00007ffb1d3050cc (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffb1d32a017 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffb1d32a03a (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffb1d311779 (__TEXT,__text) external _SQLDrivers
00007ffb1d31189f (__TEXT,__text) external _SQLDriversA
00007ffb1d3119c5 (__TEXT,__text) external _SQLDriversW
00007ffb1d311386 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffb42bfde24 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffb42bfde50 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffb42bfde58 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffb1d31c57d (__TEXT,__text) external _SQLEndTran
00007ffb1d30ce63 (__TEXT,__text) external _SQLError
00007ffb1d30cf48 (__TEXT,__text) external _SQLErrorA
00007ffb1d30d02d (__TEXT,__text) external _SQLErrorW
00007ffb1d308cb8 (__TEXT,__text) external _SQLExecDirect
00007ffb1d308dfd (__TEXT,__text) external _SQLExecDirectA
00007ffb1d308f42 (__TEXT,__text) external _SQLExecDirectW
00007ffb1d308a6c (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffb1d3087a4 (__TEXT,__text) external _SQLExecute
00007ffb1d309ea2 (__TEXT,__text) external _SQLExtendedFetch
00007ffb1d309c04 (__TEXT,__text) external _SQLFetch
00007ffb1d31c84d (__TEXT,__text) external _SQLFetchScroll
00007ffb1d309a48 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffb1d300cf9 (__TEXT,__text) external _SQLForeignKeys
00007ffb1d300f39 (__TEXT,__text) external _SQLForeignKeysA
00007ffb1d301179 (__TEXT,__text) external _SQLForeignKeysW
00007ffb1d30096a (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffb1d30ab74 (__TEXT,__text) external _SQLFreeConnect
00007ffb1d30aad3 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffb1d30c43c (__TEXT,__text) external _SQLFreeEnv
00007ffb1d30c3cb (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffb1d316c35 (__TEXT,__text) external _SQLFreeHandle
00007ffb1d30f943 (__TEXT,__text) external _SQLFreeStmt
00007ffb1d30f700 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffb1d326c14 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffb1d319942 (__TEXT,__text) external _SQLGetConnectAttr
00007ffb1d319e49 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffb1d319f9b (__TEXT,__text) external _SQLGetConnectAttrW
00007ffb1d319a94 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffb1d30ba78 (__TEXT,__text) external _SQLGetConnectOption
00007ffb1d30bba1 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffb1d30bcca (__TEXT,__text) external _SQLGetConnectOptionW
00007ffb1d314c32 (__TEXT,__text) external _SQLGetCursorName
00007ffb1d314d8d (__TEXT,__text) external _SQLGetCursorNameA
00007ffb1d314ee8 (__TEXT,__text) external _SQLGetCursorNameW
00007ffb1d314a21 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffb1d30a025 (__TEXT,__text) external _SQLGetData
00007ffb1d31a36f (__TEXT,__text) external _SQLGetDescField
00007ffb1d31a4e9 (__TEXT,__text) external _SQLGetDescFieldA
00007ffb1d31a663 (__TEXT,__text) external _SQLGetDescFieldW
00007ffb1d31a0ed (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffb1d31af84 (__TEXT,__text) external _SQLGetDescRec
00007ffb1d31b126 (__TEXT,__text) external _SQLGetDescRecA
00007ffb1d31b2c8 (__TEXT,__text) external _SQLGetDescRecW
00007ffb1d31ad88 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffb1d30ec90 (__TEXT,__text) external _SQLGetDiagField
00007ffb1d30ed7b (__TEXT,__text) external _SQLGetDiagFieldA
00007ffb1d30ee66 (__TEXT,__text) external _SQLGetDiagFieldW
00007ffb1d30db6a (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffb1d30d894 (__TEXT,__text) external _SQLGetDiagRec
00007ffb1d30d986 (__TEXT,__text) external _SQLGetDiagRecA
00007ffb1d30da78 (__TEXT,__text) external _SQLGetDiagRecW
00007ffb1d30d112 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffb1d317331 (__TEXT,__text) external _SQLGetEnvAttr
00007ffb1d312736 (__TEXT,__text) external _SQLGetFunctions
00007ffb1d312310 (__TEXT,__text) external _SQLGetInfo
00007ffb1d312472 (__TEXT,__text) external _SQLGetInfoA
00007ffb1d3125d4 (__TEXT,__text) external _SQLGetInfoW
00007ffb1d311c10 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffb1d3299f6 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffb1d329a2f (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffb1d32942a (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffb1d329699 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffb1d317d38 (__TEXT,__text) external _SQLGetStmtAttr
00007ffb1d317eac (__TEXT,__text) external _SQLGetStmtAttrA
00007ffb1d318020 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffb1d317500 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffb1d31017e (__TEXT,__text) external _SQLGetStmtOption
00007ffb1d3102c1 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffb1d30ff86 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffb1d2fdb09 (__TEXT,__text) external _SQLGetTypeInfo
00007ffb1d2fdc34 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffb1d2fdd5f (__TEXT,__text) external _SQLGetTypeInfoW
00007ffb1d2fd970 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffb1d30a3b3 (__TEXT,__text) external _SQLMoreResults
00007ffb1d308054 (__TEXT,__text) external _SQLNativeSql
00007ffb1d3081cb (__TEXT,__text) external _SQLNativeSqlA
00007ffb1d308342 (__TEXT,__text) external _SQLNativeSqlW
00007ffb1d307dad (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffb1d309596 (__TEXT,__text) external _SQLNumParams
00007ffb1d315327 (__TEXT,__text) external _SQLNumResultCols
00007ffb1d30930c (__TEXT,__text) external _SQLParamData
00007ffb1d313dd2 (__TEXT,__text) external _SQLParamOptions
00007ffb1d312fc1 (__TEXT,__text) external _SQLPrepare
00007ffb1d313106 (__TEXT,__text) external _SQLPrepareA
00007ffb1d31324b (__TEXT,__text) external _SQLPrepareW
00007ffb1d312dcc (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffb1d301611 (__TEXT,__text) external _SQLPrimaryKeys
00007ffb1d3017fc (__TEXT,__text) external _SQLPrimaryKeysA
00007ffb1d3019e7 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffb1d3013b9 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffb1d301e89 (__TEXT,__text) external _SQLProcedureColumns
00007ffb1d302075 (__TEXT,__text) external _SQLProcedureColumnsA
00007ffb1d302261 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffb1d301bd2 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffb1d3026a5 (__TEXT,__text) external _SQLProcedures
00007ffb1d302890 (__TEXT,__text) external _SQLProceduresA
00007ffb1d302a7b (__TEXT,__text) external _SQLProceduresW
00007ffb1d30244d (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffb1d309087 (__TEXT,__text) external _SQLPutData
00007ffb1d32638c (__TEXT,__text) non-external _SQLReadFileDSN
00007ffb1d3264f3 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffb1d315043 (__TEXT,__text) external _SQLRowCount
00007ffb1d329a68 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffb1d31939a (__TEXT,__text) external _SQLSetConnectAttr
00007ffb1d3196dc (__TEXT,__text) external _SQLSetConnectAttrA
00007ffb1d31980f (__TEXT,__text) external _SQLSetConnectAttrW
00007ffb1d3194cd (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffb1d30b2d8 (__TEXT,__text) external _SQLSetConnectOption
00007ffb1d30b401 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffb1d30b52a (__TEXT,__text) external _SQLSetConnectOptionW
00007ffb1d313543 (__TEXT,__text) external _SQLSetCursorName
00007ffb1d31368b (__TEXT,__text) external _SQLSetCursorNameA
00007ffb1d3137d3 (__TEXT,__text) external _SQLSetCursorNameW
00007ffb1d313390 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffb1d31a96b (__TEXT,__text) external _SQLSetDescField
00007ffb1d31aaca (__TEXT,__text) external _SQLSetDescFieldA
00007ffb1d31ac29 (__TEXT,__text) external _SQLSetDescFieldW
00007ffb1d31a7dd (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffb1d31b46a (__TEXT,__text) external _SQLSetDescRec
00007ffb1d317144 (__TEXT,__text) external _SQLSetEnvAttr
00007ffb1d31725e (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffb1d329fa4 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffb1d329fb5 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffb1d314624 (__TEXT,__text) external _SQLSetParam
00007ffb1d30a7ca (__TEXT,__text) external _SQLSetPos
00007ffb1d3140f2 (__TEXT,__text) external _SQLSetScrollOptions
00007ffb1d318fa4 (__TEXT,__text) external _SQLSetStmtAttr
00007ffb1d3190f6 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffb1d319248 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffb1d318194 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffb1d30fa8a (__TEXT,__text) external _SQLSetStmtOption
00007ffb1d30fe43 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffb1d30fbcd (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffb1d2fe14a (__TEXT,__text) external _SQLSpecialColumns
00007ffb1d2fe358 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffb1d2fe566 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffb1d2fde8a (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffb1d2fea23 (__TEXT,__text) external _SQLStatistics
00007ffb1d2fec15 (__TEXT,__text) external _SQLStatisticsA
00007ffb1d2fee07 (__TEXT,__text) external _SQLStatisticsW
00007ffb1d2fe774 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffb1d302ebe (__TEXT,__text) external _SQLTablePrivileges
00007ffb1d3030a9 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffb1d303294 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffb1d302c66 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffb1d2ff2b0 (__TEXT,__text) external _SQLTables
00007ffb1d2ff49c (__TEXT,__text) external _SQLTablesA
00007ffb1d2ff688 (__TEXT,__text) external _SQLTablesW
00007ffb1d2feff9 (__TEXT,__text) non-external _SQLTables_Internal
00007ffb1d30c0eb (__TEXT,__text) external _SQLTransact
00007ffb1d30bdf3 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffb1d326cff (__TEXT,__text) non-external _SQLValidDSN
00007ffb1d326d62 (__TEXT,__text) non-external _SQLValidDSNW
00007ffb1d32612e (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffb1d3261d9 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffb1d329bc9 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffb1d329df1 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffb1d310e9d (__TEXT,__text) non-external _SectSorter
00007ffb1d326c61 (__TEXT,__text) non-external _ValidDSN
00007ffb1d326cb3 (__TEXT,__text) non-external _ValidDSNW
00007ffb1d329abf (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffb1d3085a0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1d3085c0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb1d327ded (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffb42bfde90 (__DATA,__common) non-external __iodbc_env_counter
00007ffb1d32672f (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffb1d3108b8 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffb1d310989 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffb1d309d25 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffb1d30f6ad (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffb1d30b653 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffb1d315206 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffb1d30f90d (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffb1d30ac53 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffb1d3036db (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffb1d30a66c (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffb1d31093e (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffb1d310627 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffb42bfde98 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffb1d310a56 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffb1d2fda6e (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffb1d2fdac1 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffb1d3284c4 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffb1d32776f (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffb1d327f70 (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffb1d327c1c (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffb1d3276c3 (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffb1d312bfb (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffb1d328777 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffb1d327ebb (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffb1d312c72 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffb1d312b00 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffb1d3277a0 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffb1d327e95 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffb1d3287a9 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffb1d327ce9 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffb1d312cc0 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffb1d32806f (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffb1d326978 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffb1d3068f6 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffb1d3106d5 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffb1d3107ca (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffb1d306a20 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffb1d3086e8 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffb1d308730 (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffb1d308640 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffb1d308636 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffb1d308760 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffb1d3038f6 (__TEXT,__text) non-external __iodbcdm_driverload
00007ffb1d3040b9 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffb1d30f5b8 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffb1d3034d2 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffb1d30c4c4 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffb1d3084b9 (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffb1d326a1c (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffb1d3085ea (__TEXT,__text) non-external __iodbcdm_getproc
00007ffb42bfde38 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffb1d32898a (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffb1d3288cc (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffb1d3154a9 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffb1d31544d (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffb1d303480 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffb1d329fd1 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffb1d306500 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffb1d306bff (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffb1d3035ac (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffb1d306b5e (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffb1d30c4e7 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffb1d3269c3 (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffb1d30873a (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffb1d30c54a (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffb1d326b9a (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffb1d326b49 (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffb1d30bed5 (__TEXT,__text) non-external __iodbcdm_transact
00007ffb408f9d70 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffb408faa10 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffb408faac0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffb408f9e30 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffb408f9ed0 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffb408fa570 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffb408fa5b0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffb408fa280 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffb408fa600 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffb408fa620 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffb408fa640 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffb408fa330 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffb408fa670 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffb408fa690 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffb408f9d40 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffb408f9d50 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffb408fa250 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffb408fa6c0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffb408fa710 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffb408fa730 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffb408fa740 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffb408fa790 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffb408fa7b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffb408fa830 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffb408fa840 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffb408fa870 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffb408fa890 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffb408fa910 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffb408fa950 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffb408fa960 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffb408fa970 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffb408fa980 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffb408fa9a0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffb408fa9c0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffb408fa9e0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffb408fa9f0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffb408fa930 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffb408f9e80 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffb408fa3c0 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffb408fa370 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffb408fa3a0 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffb408fab50 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffb408fab70 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffb408fac30 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffb408fa3e0 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffb408fa270 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffb408fa400 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffb408f9f00 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffb408f9fd0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffb408fac50 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffb408f9ff0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffb408fa000 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffb408fa420 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffb408fac70 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
