00000001dbaa5f04 (__TEXT,__text) external _CGLGetCurrentContext
00000001dbaa49b8 (__TEXT,__text) external _glColorTableEXT
00000001dba9ee30 (__TEXT,__text) external _glColorTableParameterfv
00000001dba9ee50 (__TEXT,__text) external _glColorTableParameteriv
00000001dbaa5eb0 (__TEXT,__text) external _glCombinerInputNV
00000001dbaa5eb4 (__TEXT,__text) external _glCombinerOutputNV
00000001dbaa5ea4 (__TEXT,__text) external _glCombinerParameterfNV
00000001dbaa5ea0 (__TEXT,__text) external _glCombinerParameterfvNV
00000001dbaa5eac (__TEXT,__text) external _glCombinerParameteriNV
00000001dbaa5ea8 (__TEXT,__text) external _glCombinerParameterivNV
00000001dbaa5ed4 (__TEXT,__text) external _glCombinerStageParameterfvNV
00000001dbaa0524 (__TEXT,__text) external _glCompileShader
00000001dbaa422c (__TEXT,__text) external _glCompileShaderARB
00000001dbaa4830 (__TEXT,__text) external _glCompileShaderIncludeARB
00000001dba9f774 (__TEXT,__text) external _glCompressedTexImage1D
00000001dbaa3c60 (__TEXT,__text) external _glCompressedTexImage1DARB
00000001dba9f720 (__TEXT,__text) external _glCompressedTexImage2D
00000001dbaa3c0c (__TEXT,__text) external _glCompressedTexImage2DARB
00000001dba9f6c4 (__TEXT,__text) external _glCompressedTexImage3D
00000001dbaa3bb0 (__TEXT,__text) external _glCompressedTexImage3DARB
00000001dba9f864 (__TEXT,__text) external _glCompressedTexSubImage1D
00000001dbaa3d50 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00000001dba9f808 (__TEXT,__text) external _glCompressedTexSubImage2D
00000001dbaa3cf4 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00000001dba9f7a4 (__TEXT,__text) external _glCompressedTexSubImage3D
00000001dbaa3c90 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00000001dba9ef50 (__TEXT,__text) external _glConvolutionFilter1D
00000001dba9ef7c (__TEXT,__text) external _glConvolutionFilter2D
00000001dba9efac (__TEXT,__text) external _glConvolutionParameterf
00000001dba9efc8 (__TEXT,__text) external _glConvolutionParameterfv
00000001dba9efe8 (__TEXT,__text) external _glConvolutionParameteri
00000001dba9f008 (__TEXT,__text) external _glConvolutionParameteriv
00000001dbaa1640 (__TEXT,__text) external _glCopyBufferSubData
00000001dba9ef28 (__TEXT,__text) external _glCopyColorSubTable
00000001dba9ee70 (__TEXT,__text) external _glCopyColorTable
00000001dba9f028 (__TEXT,__text) external _glCopyConvolutionFilter1D
00000001dba9f050 (__TEXT,__text) external _glCopyConvolutionFilter2D
00000001dba9cdd4 (__TEXT,__text) external _glCopyPixels
00000001dba9cdfc (__TEXT,__text) external _glCopyTexImage1D
00000001dba9ce2c (__TEXT,__text) external _glCopyTexImage2D
00000001dba9ce80 (__TEXT,__text) external _glCopyTexSubImage1D
00000001dba9ceac (__TEXT,__text) external _glCopyTexSubImage2D
00000001dba9edac (__TEXT,__text) external _glCopyTexSubImage3D
00000001dbaa0540 (__TEXT,__text) external _glCreateProgram
00000001dbaa4244 (__TEXT,__text) external _glCreateProgramObjectARB
00000001dbaa04d0 (__TEXT,__text) external _glCreateShader
00000001dbaa41f0 (__TEXT,__text) external _glCreateShaderObjectARB
00000001dbaa24d0 (__TEXT,__text) external _glCreateShaderProgramv
00000001dba9cf00 (__TEXT,__text) external _glCullFace
00000001dba9fe74 (__TEXT,__text) external _glDeleteBuffers
00000001dbaa4074 (__TEXT,__text) external _glDeleteBuffersARB
00000001dbaa5a08 (__TEXT,__text) external _glDeleteFencesAPPLE
00000001dbaa0ca4 (__TEXT,__text) external _glDeleteFramebuffers
00000001dbaa4e80 (__TEXT,__text) external _glDeleteFramebuffersEXT
00000001dba9cf18 (__TEXT,__text) external _glDeleteLists
00000001dbaa4814 (__TEXT,__text) external _glDeleteNamedStringARB
00000001dbaa41a4 (__TEXT,__text) external _glDeleteObjectARB
00000001dbaa05c4 (__TEXT,__text) external _glDeleteProgram
00000001dbaa2508 (__TEXT,__text) external _glDeleteProgramPipelines
00000001dbaa2f38 (__TEXT,__text) external _glDeleteProgramsARB
00000001dba9fd90 (__TEXT,__text) external _glDeleteQueries
00000001dbaa3f90 (__TEXT,__text) external _glDeleteQueriesARB
00000001dbaa0bf4 (__TEXT,__text) external _glDeleteRenderbuffers
00000001dbaa4dd0 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00000001dbaa1ad8 (__TEXT,__text) external _glDeleteSamplers
00000001dbaa0490 (__TEXT,__text) external _glDeleteShader
00000001dbaa18e4 (__TEXT,__text) external _glDeleteSync
00000001dba9cf34 (__TEXT,__text) external _glDeleteTextures
00000001dbaa21f4 (__TEXT,__text) external _glDeleteTransformFeedbacks
00000001dbaa0ed8 (__TEXT,__text) external _glDeleteVertexArrays
00000001dbaa5b28 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00000001dbaa49a4 (__TEXT,__text) external _glDepthBoundsEXT
00000001dba9cf50 (__TEXT,__text) external _glDepthFunc
00000001dba9cf68 (__TEXT,__text) external _glDepthMask
00000001dba9cf80 (__TEXT,__text) external _glDepthRange
00000001dbaa2ea4 (__TEXT,__text) external _glDepthRangeArrayv
00000001dbaa2ec4 (__TEXT,__text) external _glDepthRangeIndexed
00000001dbaa2400 (__TEXT,__text) external _glDepthRangef
00000001dbaa41d4 (__TEXT,__text) external _glDetachObjectARB
00000001dbaa04ac (__TEXT,__text) external _glDetachShader
00000001dba9cf94 (__TEXT,__text) external _glDisable
00000001dba9cfac (__TEXT,__text) external _glDisableClientState
00000001dbaa5780 (__TEXT,__text) external _glDisableIndexedEXT
00000001dbaa58c4 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00000001dbaa03f8 (__TEXT,__text) external _glDisableVertexAttribArray
00000001dbaa33c0 (__TEXT,__text) external _glDisableVertexAttribArrayARB
00000001dbaa0fac (__TEXT,__text) external _glDisablei
00000001dba9cfc4 (__TEXT,__text) external _glDrawArrays
00000001dbaa1dfc (__TEXT,__text) external _glDrawArraysIndirect
00000001dbaa1764 (__TEXT,__text) external _glDrawArraysInstanced
00000001dbaa4708 (__TEXT,__text) external _glDrawArraysInstancedARB
00000001dba9cfe4 (__TEXT,__text) external _glDrawBuffer
00000001dba9ffa4 (__TEXT,__text) external _glDrawBuffers
00000001dbaa46b4 (__TEXT,__text) external _glDrawBuffersARB
00000001dbaa5b94 (__TEXT,__text) external _glDrawElementArrayAPPLE
00000001dba9cffc (__TEXT,__text) external _glDrawElements
00000001dbaa17e8 (__TEXT,__text) external _glDrawElementsBaseVertex
00000001dbaa1e18 (__TEXT,__text) external _glDrawElementsIndirect
00000001dbaa1788 (__TEXT,__text) external _glDrawElementsInstanced
00000001dbaa472c (__TEXT,__text) external _glDrawElementsInstancedARB
00000001dbaa1840 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00000001dba9d020 (__TEXT,__text) external _glDrawPixels
00000001dbaa5bb4 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00000001dba9ecd8 (__TEXT,__text) external _glDrawRangeElements
00000001dbaa1810 (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00000001dbaa4cb8 (__TEXT,__text) external _glDrawRangeElementsEXT
00000001dbaa226c (__TEXT,__text) external _glDrawTransformFeedback
00000001dbaa2288 (__TEXT,__text) external _glDrawTransformFeedbackStream
00000001dba9d048 (__TEXT,__text) external _glEdgeFlag
00000001dba9d060 (__TEXT,__text) external _glEdgeFlagPointer
00000001dba9d07c (__TEXT,__text) external _glEdgeFlagv
00000001dbaa5b78 (__TEXT,__text) external _glElementPointerAPPLE
00000001dba9d094 (__TEXT,__text) external _glEnable
00000001dba9d0ac (__TEXT,__text) external _glEnableClientState
00000001dbaa5764 (__TEXT,__text) external _glEnableIndexedEXT
00000001dbaa58a8 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00000001dbaa03e0 (__TEXT,__text) external _glEnableVertexAttribArray
00000001dbaa33a8 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00000001dbaa0f90 (__TEXT,__text) external _glEnablei
00000001dba9d0c4 (__TEXT,__text) external _glEnd
00000001dbaa10e4 (__TEXT,__text) external _glEndConditionalRender
00000001dbaa5e40 (__TEXT,__text) external _glEndConditionalRenderNV
00000001dba9d0d8 (__TEXT,__text) external _glEndList
00000001dba9fde0 (__TEXT,__text) external _glEndQuery
00000001dbaa3fe0 (__TEXT,__text) external _glEndQueryARB
00000001dbaa22c8 (__TEXT,__text) external _glEndQueryIndexed
00000001dbaa0ffc (__TEXT,__text) external _glEndTransformFeedback
00000001dbaa5148 (__TEXT,__text) external _glEndTransformFeedbackEXT
00000001dba9d0ec (__TEXT,__text) external _glEvalCoord1d
00000001dba9d100 (__TEXT,__text) external _glEvalCoord1dv
00000001dba9d118 (__TEXT,__text) external _glEvalCoord1f
00000001dba9d12c (__TEXT,__text) external _glEvalCoord1fv
00000001dba9d144 (__TEXT,__text) external _glEvalCoord2d
00000001dba9d158 (__TEXT,__text) external _glEvalCoord2dv
00000001dba9d170 (__TEXT,__text) external _glEvalCoord2f
00000001dba9d184 (__TEXT,__text) external _glEvalCoord2fv
00000001dba9d19c (__TEXT,__text) external _glEvalMesh1
00000001dba9d1bc (__TEXT,__text) external _glEvalMesh2
00000001dba9d1e4 (__TEXT,__text) external _glEvalPoint1
00000001dba9d1fc (__TEXT,__text) external _glEvalPoint2
00000001dba9d218 (__TEXT,__text) external _glFeedbackBuffer
00000001dbaa18b0 (__TEXT,__text) external _glFenceSync
00000001dbaa5eb8 (__TEXT,__text) external _glFinalCombinerInputNV
00000001dba9d238 (__TEXT,__text) external _glFinish
00000001dbaa5a6c (__TEXT,__text) external _glFinishFenceAPPLE
00000001dbaa5aa0 (__TEXT,__text) external _glFinishObjectAPPLE
00000001dbaa5c40 (__TEXT,__text) external _glFinishRenderAPPLE
00000001dba9d24c (__TEXT,__text) external _glFlush
00000001dbaa0ea0 (__TEXT,__text) external _glFlushMappedBufferRange
00000001dbaa5c88 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00000001dbaa5c2c (__TEXT,__text) external _glFlushRenderAPPLE
00000001dbaa5ad8 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00000001dba9f924 (__TEXT,__text) external _glFogCoordPointer
00000001dbaa4c98 (__TEXT,__text) external _glFogCoordPointerEXT
00000001dba9f8f8 (__TEXT,__text) external _glFogCoordd
00000001dbaa4c6c (__TEXT,__text) external _glFogCoorddEXT
00000001dba9f90c (__TEXT,__text) external _glFogCoorddv
00000001dbaa4c80 (__TEXT,__text) external _glFogCoorddvEXT
00000001dba9f8cc (__TEXT,__text) external _glFogCoordf
00000001dbaa4c40 (__TEXT,__text) external _glFogCoordfEXT
00000001dba9f8e0 (__TEXT,__text) external _glFogCoordfv
00000001dbaa4c54 (__TEXT,__text) external _glFogCoordfvEXT
00000001dba9d260 (__TEXT,__text) external _glFogf
00000001dba9d278 (__TEXT,__text) external _glFogfv
00000001dba9d294 (__TEXT,__text) external _glFogi
00000001dba9d2b0 (__TEXT,__text) external _glFogiv
00000001dbaa0d70 (__TEXT,__text) external _glFramebufferRenderbuffer
00000001dbaa4f4c (__TEXT,__text) external _glFramebufferRenderbufferEXT
00000001dbaa1a58 (__TEXT,__text) external _glFramebufferTexture
00000001dbaa0cf4 (__TEXT,__text) external _glFramebufferTexture1D
00000001dbaa4ed0 (__TEXT,__text) external _glFramebufferTexture1DEXT
00000001dbaa0d1c (__TEXT,__text) external _glFramebufferTexture2D
00000001dbaa4ef8 (__TEXT,__text) external _glFramebufferTexture2DEXT
00000001dbaa0d44 (__TEXT,__text) external _glFramebufferTexture3D
00000001dbaa4f20 (__TEXT,__text) external _glFramebufferTexture3DEXT
00000001dbaa5050 (__TEXT,__text) external _glFramebufferTextureEXT
00000001dbaa509c (__TEXT,__text) external _glFramebufferTextureFaceEXT
00000001dbaa0e54 (__TEXT,__text) external _glFramebufferTextureLayer
00000001dbaa5074 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00000001dba9d2cc (__TEXT,__text) external _glFrontFace
00000001dba9d2e4 (__TEXT,__text) external _glFrustum
00000001dba9fe90 (__TEXT,__text) external _glGenBuffers
00000001dbaa4090 (__TEXT,__text) external _glGenBuffersARB
00000001dbaa59ec (__TEXT,__text) external _glGenFencesAPPLE
00000001dbaa0cc0 (__TEXT,__text) external _glGenFramebuffers
00000001dbaa4e9c (__TEXT,__text) external _glGenFramebuffersEXT
00000001dba9d2f8 (__TEXT,__text) external _glGenLists
00000001dbaa2524 (__TEXT,__text) external _glGenProgramPipelines
00000001dbaa2f54 (__TEXT,__text) external _glGenProgramsARB
00000001dba9fd74 (__TEXT,__text) external _glGenQueries
00000001dbaa3f74 (__TEXT,__text) external _glGenQueriesARB
00000001dbaa0c10 (__TEXT,__text) external _glGenRenderbuffers
00000001dbaa4dec (__TEXT,__text) external _glGenRenderbuffersEXT
00000001dbaa1abc (__TEXT,__text) external _glGenSamplers
00000001dba9d310 (__TEXT,__text) external _glGenTextures
00000001dbaa2210 (__TEXT,__text) external _glGenTransformFeedbacks
00000001dbaa0ef4 (__TEXT,__text) external _glGenVertexArrays
00000001dbaa5b44 (__TEXT,__text) external _glGenVertexArraysAPPLE
00000001dbaa0db8 (__TEXT,__text) external _glGenerateMipmap
00000001dbaa4f94 (__TEXT,__text) external _glGenerateMipmapEXT
00000001dbaa0a14 (__TEXT,__text) external _glGetActiveAttrib
00000001dbaa4668 (__TEXT,__text) external _glGetActiveAttribARB
00000001dbaa2110 (__TEXT,__text) external _glGetActiveSubroutineName
00000001dbaa20e4 (__TEXT,__text) external _glGetActiveSubroutineUniformName
00000001dbaa20bc (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00000001dbaa094c (__TEXT,__text) external _glGetActiveUniform
00000001dbaa45b4 (__TEXT,__text) external _glGetActiveUniformARB
00000001dbaa171c (__TEXT,__text) external _glGetActiveUniformBlockName
00000001dbaa16f8 (__TEXT,__text) external _glGetActiveUniformBlockiv
00000001dbaa16b4 (__TEXT,__text) external _glGetActiveUniformName
00000001dbaa168c (__TEXT,__text) external _glGetActiveUniformsiv
00000001dbaa4574 (__TEXT,__text) external _glGetAttachedObjectsARB
00000001dbaa08c0 (__TEXT,__text) external _glGetAttachedShaders
00000001dbaa0a48 (__TEXT,__text) external _glGetAttribLocation
00000001dbaa4698 (__TEXT,__text) external _glGetAttribLocationARB
00000001dbaa51d0 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00000001dbaa0f50 (__TEXT,__text) external _glGetBooleani_v
00000001dba9d32c (__TEXT,__text) external _glGetBooleanv
00000001dbaa1a38 (__TEXT,__text) external _glGetBufferParameteri64v
00000001dba9ff64 (__TEXT,__text) external _glGetBufferParameteriv
00000001dbaa4164 (__TEXT,__text) external _glGetBufferParameterivARB
00000001dba9ff84 (__TEXT,__text) external _glGetBufferPointerv
00000001dbaa4184 (__TEXT,__text) external _glGetBufferPointervARB
00000001dba9ff0c (__TEXT,__text) external _glGetBufferSubData
00000001dbaa410c (__TEXT,__text) external _glGetBufferSubDataARB
00000001dba9d348 (__TEXT,__text) external _glGetClipPlane
00000001dba9ee98 (__TEXT,__text) external _glGetColorTable
00000001dbaa4a10 (__TEXT,__text) external _glGetColorTableEXT
00000001dba9eebc (__TEXT,__text) external _glGetColorTableParameterfv
00000001dbaa4a34 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00000001dba9eedc (__TEXT,__text) external _glGetColorTableParameteriv
00000001dbaa4a54 (__TEXT,__text) external _glGetColorTableParameterivEXT
00000001dbaa5ebc (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00000001dbaa5ec0 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00000001dbaa5ec4 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00000001dbaa5ec8 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00000001dbaa5ed8 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00000001dba9f894 (__TEXT,__text) external _glGetCompressedTexImage
00000001dbaa3d80 (__TEXT,__text) external _glGetCompressedTexImageARB
00000001dba9f07c (__TEXT,__text) external _glGetConvolutionFilter
00000001dba9f0a0 (__TEXT,__text) external _glGetConvolutionParameterfv
00000001dba9f0c0 (__TEXT,__text) external _glGetConvolutionParameteriv
00000001dbaa2efc (__TEXT,__text) external _glGetDoublei_v
00000001dba9d364 (__TEXT,__text) external _glGetDoublev
00000001dba9d380 (__TEXT,__text) external _glGetError
00000001dbaa5ecc (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00000001dbaa5ed0 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00000001dbaa2edc (__TEXT,__text) external _glGetFloati_v
00000001dba9d394 (__TEXT,__text) external _glGetFloatv
00000001dbaa1aa0 (__TEXT,__text) external _glGetFragDataIndex
00000001dbaa1400 (__TEXT,__text) external _glGetFragDataLocation
00000001dbaa5658 (__TEXT,__text) external _glGetFragDataLocationEXT
00000001dbaa0d94 (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00000001dbaa4f70 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00000001dbaa41bc (__TEXT,__text) external _glGetHandleARB
00000001dba9f160 (__TEXT,__text) external _glGetHistogram
00000001dba9f188 (__TEXT,__text) external _glGetHistogramParameterfv
00000001dba9f1a8 (__TEXT,__text) external _glGetHistogramParameteriv
00000001dbaa4550 (__TEXT,__text) external _glGetInfoLogARB
00000001dbaa1a18 (__TEXT,__text) external _glGetInteger64i_v
00000001dbaa193c (__TEXT,__text) external _glGetInteger64v
00000001dbaa51b0 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00000001dbaa0f70 (__TEXT,__text) external _glGetIntegeri_v
00000001dba9d3b0 (__TEXT,__text) external _glGetIntegerv
00000001dbaa48bc (__TEXT,__text) external _glGetInternalformativ
00000001dba9d3cc (__TEXT,__text) external _glGetLightfv
00000001dba9d3ec (__TEXT,__text) external _glGetLightiv
00000001dba9d40c (__TEXT,__text) external _glGetMapdv
00000001dba9d42c (__TEXT,__text) external _glGetMapfv
00000001dba9d44c (__TEXT,__text) external _glGetMapiv
00000001dba9d46c (__TEXT,__text) external _glGetMaterialfv
00000001dba9d48c (__TEXT,__text) external _glGetMaterialiv
00000001dba9f1c8 (__TEXT,__text) external _glGetMinmax
00000001dba9f1f0 (__TEXT,__text) external _glGetMinmaxParameterfv
00000001dba9f210 (__TEXT,__text) external _glGetMinmaxParameteriv
00000001dbaa19dc (__TEXT,__text) external _glGetMultisamplefv
00000001dbaa4870 (__TEXT,__text) external _glGetNamedStringARB
00000001dbaa4898 (__TEXT,__text) external _glGetNamedStringivARB
00000001dbaa5834 (__TEXT,__text) external _glGetObjectLabelEXT
00000001dbaa4510 (__TEXT,__text) external _glGetObjectParameterfvARB
00000001dbaa5ce8 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00000001dbaa4530 (__TEXT,__text) external _glGetObjectParameterivARB
00000001dba9d4ac (__TEXT,__text) external _glGetPixelMapfv
00000001dba9d4c8 (__TEXT,__text) external _glGetPixelMapuiv
00000001dba9d4e4 (__TEXT,__text) external _glGetPixelMapusv
00000001dba9d500 (__TEXT,__text) external _glGetPointerv
00000001dba9d51c (__TEXT,__text) external _glGetPolygonStipple
00000001dbaa2428 (__TEXT,__text) external _glGetProgramBinary
00000001dbaa3590 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
