00007ff81b64d805 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff81b655fba (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDate:isDateOnly:isFloating:]
00007ff81b655f99 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromRecurrenceType:]
00007ff81b6584b9 (__TEXT,__text) non-external +[CalTask task]
00007ff81b65411b (__TEXT,__text) non-external -[CalAlarm .cxx_destruct]
00007ff81b64e342 (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
00007ff81b64e358 (__TEXT,__text) non-external -[CalAlarm acknowledged]
00007ff81b64e2b4 (__TEXT,__text) non-external -[CalAlarm action]
00007ff81b654058 (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
00007ff81b64e14c (__TEXT,__text) non-external -[CalAlarm description]
00007ff81b6540ca (__TEXT,__text) non-external -[CalAlarm ekAlarm]
00007ff81b64e316 (__TEXT,__text) non-external -[CalAlarm emailAddress]
00007ff81b653a8e (__TEXT,__text) non-external -[CalAlarm hash]
00007ff81b653792 (__TEXT,__text) non-external -[CalAlarm initWithEKAlarm:]
00007ff81b64d81e (__TEXT,__text) non-external -[CalAlarm init]
00007ff81b653aa4 (__TEXT,__text) non-external -[CalAlarm isEqual:]
00007ff81b6540e5 (__TEXT,__text) non-external -[CalAlarm relatedToString]
00007ff81b6538b7 (__TEXT,__text) non-external -[CalAlarm relatedTo]
00007ff81b64e32c (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
00007ff81b6539d8 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
00007ff81b653824 (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
00007ff81b653920 (__TEXT,__text) non-external -[CalAlarm setAction:]
00007ff81b6540d4 (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
00007ff81b653926 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
00007ff81b65383a (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
00007ff81b6540ef (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
00007ff81b653968 (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
00007ff81b65393c (__TEXT,__text) non-external -[CalAlarm setSound:]
00007ff81b65410a (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
00007ff81b653952 (__TEXT,__text) non-external -[CalAlarm setUrl:]
00007ff81b64e300 (__TEXT,__text) non-external -[CalAlarm sound]
00007ff81b6539ee (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00007ff81b654100 (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
00007ff81b64e2ea (__TEXT,__text) non-external -[CalAlarm url]
00007ff81b64ef6b (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00007ff81b64e8b1 (__TEXT,__text) non-external -[CalAttendee address]
00007ff81b64e8c7 (__TEXT,__text) non-external -[CalAttendee commonName]
00007ff81b64eede (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00007ff81b64e7d7 (__TEXT,__text) non-external -[CalAttendee description]
00007ff81b64ef50 (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00007ff81b64ebee (__TEXT,__text) non-external -[CalAttendee hash]
00007ff81b64eb5c (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00007ff81b64ec04 (__TEXT,__text) non-external -[CalAttendee isEqual:]
00007ff81b64ef5a (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00007ff81b64e8dd (__TEXT,__text) non-external -[CalAttendee status]
00007ff81b653782 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00007ff81b64e105 (__TEXT,__text) non-external -[CalCalendar color]
00007ff81b6536fd (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00007ff81b64df63 (__TEXT,__text) non-external -[CalCalendar description]
00007ff81b653767 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00007ff81b653234 (__TEXT,__text) non-external -[CalCalendar hash]
00007ff81b653160 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00007ff81b653065 (__TEXT,__text) non-external -[CalCalendar init]
00007ff81b64d260 (__TEXT,__text) non-external -[CalCalendar isEditable]
00007ff81b65324a (__TEXT,__text) non-external -[CalCalendar isEqual:]
00007ff81b64e0ba (__TEXT,__text) non-external -[CalCalendar notes]
00007ff81b653208 (__TEXT,__text) non-external -[CalCalendar setColor:]
00007ff81b653771 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00007ff81b65321e (__TEXT,__text) non-external -[CalCalendar setNotes:]
00007ff81b6531f2 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00007ff81b64e0a4 (__TEXT,__text) non-external -[CalCalendar title]
00007ff81b64e11b (__TEXT,__text) non-external -[CalCalendar type]
00007ff81b64d276 (__TEXT,__text) non-external -[CalCalendar uid]
00007ff81b658491 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00007ff81b657417 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00007ff81b65750b (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00007ff81b64dc4d (__TEXT,__text) non-external -[CalCalendarItem alarms]
00007ff81b64dbe3 (__TEXT,__text) non-external -[CalCalendarItem calendar]
00007ff81b6583f1 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00007ff81b64db8b (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00007ff81b64da16 (__TEXT,__text) non-external -[CalCalendarItem description]
00007ff81b65845b (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00007ff81b6573b7 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00007ff81b6583db (__TEXT,__text) non-external -[CalCalendarItem hash]
00007ff81b65721b (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00007ff81b657984 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00007ff81b6573cd (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00007ff81b64dbb7 (__TEXT,__text) non-external -[CalCalendarItem notes]
00007ff81b657635 (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00007ff81b657685 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00007ff81b6577af (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00007ff81b657367 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00007ff81b658465 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00007ff81b6573d5 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00007ff81b657401 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00007ff81b658480 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00007ff81b6573eb (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00007ff81b6580e9 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00007ff81b64dba1 (__TEXT,__text) non-external -[CalCalendarItem title]
00007ff81b64db75 (__TEXT,__text) non-external -[CalCalendarItem uid]
00007ff81b658476 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00007ff81b64dbcd (__TEXT,__text) non-external -[CalCalendarItem url]
00007ff81b65303c (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00007ff81b65109f (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00007ff81b6510b3 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00007ff81b64f2bb (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00007ff81b64cf2b (__TEXT,__text) non-external -[CalCalendarStore calendars]
00007ff81b64f2b0 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00007ff81b64fee0 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00007ff81b653021 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00007ff81b64f61e (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00007ff81b64f39a (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00007ff81b6512d9 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00007ff81b64fa1e (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00007ff81b64efca (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00007ff81b64ef8f (__TEXT,__text) non-external -[CalCalendarStore init]
00007ff81b651ab3 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00007ff81b650500 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00007ff81b650dfe (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00007ff81b6513ed (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00007ff81b64fefc (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00007ff81b650917 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00007ff81b65302b (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00007ff81b64f93f (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00007ff81b64f71b (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00007ff81b654f42 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00007ff81b64e5b8 (__TEXT,__text) non-external -[CalEvent attendees]
00007ff81b654234 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00007ff81b64d874 (__TEXT,__text) non-external -[CalEvent description]
00007ff81b654210 (__TEXT,__text) non-external -[CalEvent ekEvent]
00007ff81b64e477 (__TEXT,__text) non-external -[CalEvent endDate]
00007ff81b654167 (__TEXT,__text) non-external -[CalEvent init]
00007ff81b64e4c7 (__TEXT,__text) non-external -[CalEvent isAllDay]
00007ff81b654d25 (__TEXT,__text) non-external -[CalEvent isDetached]
00007ff81b6542c5 (__TEXT,__text) non-external -[CalEvent isEqual:]
00007ff81b64e427 (__TEXT,__text) non-external -[CalEvent location]
00007ff81b654d6a (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00007ff81b64e36e (__TEXT,__text) non-external -[CalEvent occurrence]
00007ff81b64e50c (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00007ff81b654222 (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00007ff81b654f2e (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00007ff81b654cbc (__TEXT,__text) non-external -[CalEvent setEndDate:]
00007ff81b654a98 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00007ff81b654ae2 (__TEXT,__text) non-external -[CalEvent setLocation:]
00007ff81b654b4b (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00007ff81b654c53 (__TEXT,__text) non-external -[CalEvent setStartDate:]
00007ff81b6548e4 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00007ff81b64d28c (__TEXT,__text) non-external -[CalEvent startDate]
00007ff81b656c38 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00007ff81b656b29 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00007ff81b656bf1 (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00007ff81b65699b (__TEXT,__text) non-external -[CalNthWeekDay description]
00007ff81b656c1d (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00007ff81b656a56 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00007ff81b656909 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00007ff81b656a6c (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00007ff81b656c27 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00007ff81b656c07 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00007ff81b64eb49 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00007ff81b64ea85 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00007ff81b64e99a (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00007ff81b64eadb (__TEXT,__text) non-external -[CalPredicate predicate]
00007ff81b64ea71 (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00007ff81b64ea5c (__TEXT,__text) non-external -[CalPredicate subpredicate]
00007ff81b65720b (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00007ff81b656f89 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00007ff81b656d04 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00007ff81b6571f0 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00007ff81b6571c4 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00007ff81b656e25 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00007ff81b657132 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00007ff81b656fe8 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00007ff81b657096 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00007ff81b656e3b (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00007ff81b6571da (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00007ff81b6571fa (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00007ff81b656ccb (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00007ff81b6568f9 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00007ff81b655f2f (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00007ff81b64d546 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00007ff81b64d31a (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00007ff81b64e90e (__TEXT,__text) non-external -[CalRecurrenceRule description]
00007ff81b6568de (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00007ff81b6568d6 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00007ff81b655a44 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00007ff81b654fe7 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00007ff81b65542a (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00007ff81b6555e4 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00007ff81b6554ef (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00007ff81b6550a9 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00007ff81b65516e (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00007ff81b654f55 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00007ff81b65571c (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00007ff81b6558df (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00007ff81b6557e1 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00007ff81b655a5a (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00007ff81b64d785 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00007ff81b64d55c (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00007ff81b64d79b (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00007ff81b64d304 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00007ff81b64d2dc (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00007ff81b6568e8 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00007ff81b6560bd (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00007ff81b658d2a (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00007ff81b65862e (__TEXT,__text) non-external -[CalTask completedDate]
00007ff81b6589ca (__TEXT,__text) non-external -[CalTask description]
00007ff81b6586e7 (__TEXT,__text) non-external -[CalTask dueDate]
00007ff81b65857b (__TEXT,__text) non-external -[CalTask ekReminder]
00007ff81b6584d2 (__TEXT,__text) non-external -[CalTask init]
00007ff81b65859f (__TEXT,__text) non-external -[CalTask isCompleted]
00007ff81b658acb (__TEXT,__text) non-external -[CalTask isEqual:]
00007ff81b658830 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00007ff81b6587a0 (__TEXT,__text) non-external -[CalTask priority]
00007ff81b65867e (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00007ff81b658737 (__TEXT,__text) non-external -[CalTask setDueDate:]
00007ff81b65858d (__TEXT,__text) non-external -[CalTask setEKReminder:]
00007ff81b658d16 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00007ff81b6585e4 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00007ff81b6587e4 (__TEXT,__text) non-external -[CalTask setPriority:]
00007ff81b65a228 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff81b65a23c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ff81b65a250 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff842812140 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00007ff842812148 (__DATA_CONST,__const) external _CalAlarmActionEmail
00007ff842812150 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00007ff842812158 (__DATA_CONST,__const) external _CalAlarmActionSound
00007ff842811fd0 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00007ff842811ff0 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00007ff842811fd8 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00007ff842811fe8 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00007ff842811ff8 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00007ff842811fc8 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00007ff842811fe0 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00007ff842812098 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00007ff8428120d0 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00007ff8428120d8 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00007ff8428120f8 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00007ff8428120e0 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00007ff8428120e8 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00007ff8428120f0 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00007ff842812100 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00007ff842812108 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00007ff842812058 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00007ff842812040 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00007ff81b65a440 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00007ff842812080 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00007ff842812060 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00007ff842812048 (__DATA_CONST,__const) external _CalEventsChangedNotification
00007ff842812070 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00007ff842812088 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00007ff842812198 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00007ff842812068 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00007ff842812050 (__DATA_CONST,__const) external _CalTasksChangedNotification
00007ff842812078 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00007ff842812090 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00007ff843e93870 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAlarm
00007ff843e93780 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAttendee
00007ff843e93820 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendar
00007ff843e93a00 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00007ff843e937d0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00007ff843e938c0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalEvent
00007ff843e93960 (__DATA,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00007ff843e93730 (__DATA,__objc_data) external _OBJC_CLASS_$_CalPredicate
                 (undefined) external _OBJC_CLASS_$_CalRecurrenceDayOfWeek (from CalendarFoundation)
00007ff843e939b0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00007ff843e93910 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00007ff843e93a50 (__DATA,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00007ff843e936e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00007ff843e936e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00007ff843e936f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00007ff843e936c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00007ff843e936d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00007ff843e93718 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00007ff843e93720 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00007ff843e936d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00007ff843e936f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00007ff843e93708 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00007ff843e936c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00007ff843e93710 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00007ff843e93700 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00007ff843e93728 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00007ff843e93898 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00007ff843e937a8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00007ff843e93848 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendar
