00000001830079e8 (__DATA,__data) non-external _C
0000000180eb5d50 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180eb5c8c (__TEXT,__text) non-external __UTF2_wcrtomb
0000000180eb5ef0 (__TEXT,__text) non-external __UTF2_wcsnrtombs
0000000180e953c0 (__TEXT,__text) non-external (was a private external) __UTF8_init
0000000180e95438 (__TEXT,__text) non-external __UTF8_mbrtowc
0000000180e956f4 (__TEXT,__text) non-external __UTF8_mbsinit
0000000180e95710 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
0000000180e95628 (__TEXT,__text) non-external __UTF8_wcrtomb
0000000180e958b0 (__TEXT,__text) non-external __UTF8_wcsnrtombs
0000000180e84230 (__TEXT,__text) external ___Balloc_D2A
0000000180e843cc (__TEXT,__text) external ___Bfree_D2A
0000000180e75040 (__TEXT,__text) external ____mb_cur_max
0000000180e7506c (__TEXT,__text) external ____mb_cur_max_l
0000000180e943c8 (__TEXT,__text) external ____runetype
0000000180e94330 (__TEXT,__text) external ____runetype_l
0000000180e952dc (__TEXT,__text) external ____tolower
0000000180e95240 (__TEXT,__text) external ____tolower_l
0000000180e9539c (__TEXT,__text) external ____toupper
0000000180e95300 (__TEXT,__text) external ____toupper_l
0000000180ed3c30 (__TEXT,__text) non-external (was a private external) ___abort
0000000180e7f00c (__TEXT,__text) external ___add_ovflpage
0000000180e7ed10 (__TEXT,__text) external ___addel
0000000180e84fc4 (__TEXT,__text) external ___any_on_D2A
0000000180ed2f24 (__TEXT,__text) external ___assert_rtn
0000000183014360 (__DATA,__bss) non-external ___atexit
0000000180eb6328 (__TEXT,__text) non-external (was a private external) ___atexit_init
0000000183014368 (__DATA,__bss) non-external ___atexit_new_registration
0000000180e84b3c (__TEXT,__text) external ___b2d_D2A
0000000180e7d648 (__TEXT,__text) external ___big_delete
0000000180e7d3ac (__TEXT,__text) external ___big_insert
0000000180e7dce4 (__TEXT,__text) external ___big_keydata
0000000180e7d97c (__TEXT,__text) external ___big_return
0000000180e7de74 (__TEXT,__text) external ___big_split
0000000180ed5668 (__TEXT,__const) external ___bigtens_D2A
0000000180e78144 (__TEXT,__text) external ___bt_close
0000000180e7bef8 (__TEXT,__text) external ___bt_cmp
0000000180e7bfb4 (__TEXT,__text) external ___bt_defcmp
0000000180e7bff8 (__TEXT,__text) external ___bt_defpfx
0000000180e785d0 (__TEXT,__text) external ___bt_delete
0000000180e78c40 (__TEXT,__text) external ___bt_dleaf
0000000180e79a50 (__TEXT,__text) external ___bt_fd
0000000180e7aaa8 (__TEXT,__text) non-external ___bt_first
0000000180e79e5c (__TEXT,__text) external ___bt_free
0000000180e792c0 (__TEXT,__text) external ___bt_get
0000000180e79e84 (__TEXT,__text) external ___bt_new
0000000180e793b4 (__TEXT,__text) external ___bt_open
0000000180e79018 (__TEXT,__text) non-external ___bt_pdelete
0000000180e782dc (__TEXT,__text) external ___bt_pgin
0000000180e78468 (__TEXT,__text) external ___bt_pgout
0000000180e79f00 (__TEXT,__text) external ___bt_put
0000000180e79230 (__TEXT,__text) non-external ___bt_relink
0000000180e7bd54 (__TEXT,__text) external ___bt_ret
0000000180e7a420 (__TEXT,__text) external ___bt_search
0000000180e7a670 (__TEXT,__text) external ___bt_seq
0000000180e7aa4c (__TEXT,__text) external ___bt_setcur
0000000180e7acc0 (__TEXT,__text) external ___bt_split
0000000180e788d0 (__TEXT,__text) non-external ___bt_stkacq
0000000180e78200 (__TEXT,__text) external ___bt_sync
0000000180e7e3e8 (__TEXT,__text) external ___buf_free
0000000180e7e3b8 (__TEXT,__text) non-external (was a private external) ___buf_init
00000001830079f0 (__DATA,__data) non-external ___c_locale
0000000180ec5788 (__TEXT,__text) non-external ___calc_left_pad
0000000180e7cf00 (__TEXT,__text) external ___call_hash
00000001830088b0 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180ed2014 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180ed2030 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
0000000180e85368 (__TEXT,__text) non-external (was a private external) ___chk_init
0000000180ed204c (__TEXT,__text) non-external (was a private external) ___chk_overlap
00000001830144d0 (__DATA,__common) external ___cleanup
0000000180e84994 (__TEXT,__text) external ___cmp_D2A
0000000180e9039c (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180e9056c (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180e906f0 (__TEXT,__text) external ___collate_equiv_match
0000000180e91210 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
0000000180e90a20 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
0000000180ed3690 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
0000000180ed36bc (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
0000000180e8fb28 (__TEXT,__text) non-external (was a private external) ___collate_err
00000001830080a8 (__DATA,__data) external ___collate_load_error
0000000180e8eeac (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001830097f8 (__DATA,__bss) non-external ___collate_load_tables.cache
0000000180e8f330 (__TEXT,__text) non-external ___collate_load_tables_legacy
0000000180e900b8 (__TEXT,__text) external ___collate_lookup
0000000180e8ff0c (__TEXT,__text) external ___collate_lookup_l
0000000180e9029c (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
0000000180e90198 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
0000000180e90c4c (__TEXT,__text) non-external ___collate_pri_for
0000000180ed36e8 (__TEXT,__text) non-external ___collate_pri_for.cold.1
0000000180e91308 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
0000000183009800 (__DATA,__bss) non-external ___collate_range_cmp.s1
0000000183009808 (__DATA,__bss) non-external ___collate_range_cmp.s2
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
0000000180e6d6c8 (__TEXT,__text) non-external (was a private external) ___confstr_init
0000000180e77d68 (__TEXT,__text) non-external (was a private external) ___copy_assignment_8_8_t0w8_pa0_28660_8_pa0_36689_16_pa0_31171_24_pa0_29245_32
0000000180e84f44 (__TEXT,__text) external ___copybits_D2A
0000000180ebed6c (__TEXT,__text) non-external ___cvt
00000001830143d8 (__DATA,__bss) non-external ___cvt.s
0000000180eb6504 (__TEXT,__text) external ___cxa_atexit
0000000180eb6818 (__TEXT,__text) external ___cxa_finalize
0000000180eb6538 (__TEXT,__text) external ___cxa_finalize_ranges
0000000180e84c3c (__TEXT,__text) external ___d2b_D2A
0000000183014488 (__DATA,__common) non-external (was a private external) ___darwin_altzone
0000000180e7c150 (__TEXT,__text) non-external ___dberr
0000000180e7c0f8 (__TEXT,__text) external ___dbpanic
000000018302d920 (__AUTH,__data) external ___default_hash
0000000180e7e5e8 (__TEXT,__text) external ___delpair
0000000180e94ac4 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
0000000180e849e4 (__TEXT,__text) external ___diff_D2A
0000000183009550 (__DATA,__bss) non-external ___dirhelper_func
0000000180e82200 (__TEXT,__text) external ___dtoa
00000001830144f0 (__DATA,__common) non-external (was a private external) ___env_owned
0000000180eb6bc8 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
000000018301436c (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
0000000180eb329c (__TEXT,__text) non-external (was a private external) ___errstr
0000000180e9cfb4 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180e7cd98 (__TEXT,__text) external ___expand_table
000000018300b288 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
0000000180e99548 (__TEXT,__text) external ___fflush
0000000180e99a90 (__TEXT,__text) external ___fgetwc
0000000180e9da28 (__TEXT,__text) non-external (was a private external) ___find_arguments
0000000180e7d7b8 (__TEXT,__text) external ___find_bigpair
0000000180e7d8e4 (__TEXT,__text) external ___find_last_page
0000000180e9eb38 (__TEXT,__text) non-external (was a private external) ___find_warguments
0000000180eb6af4 (__TEXT,__text) non-external (was a private external) ___findenv_locked
0000000180e91968 (__TEXT,__text) external ___fix_locale_grouping_str
0000000180e91a30 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
0000000180e9a9e8 (__TEXT,__text) non-external (was a private external) ___fputwc
0000000180e9afc8 (__TEXT,__text) external ___fread
0000000180e7f998 (__TEXT,__text) external ___free_ovflpage
0000000180e82090 (__TEXT,__text) external ___freedtoa
00000001830088b4 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
0000000180e6e3f8 (__TEXT,__text) non-external ___fts_open
0000000180e83020 (__TEXT,__text) external ___gdtoa
0000000183014438 (__DATA,__common) external ___gdtoa_locks
0000000180e7e014 (__TEXT,__text) external ___get_buf
0000000180e92568 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
0000000180e929fc (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
0000000180e92c70 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
0000000180eb2880 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
0000000180e948b0 (__TEXT,__text) non-external (was a private external) ___get_locale_env
0000000180e7f400 (__TEXT,__text) external ___get_page
0000000180e8902c (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
000000018300b250 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000183007420 (__DATA,__data) non-external (was a private external) ___global_locale
0000000180eb606c (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180e7c158 (__TEXT,__text) external ___hash_open
0000000180e81c60 (__TEXT,__text) external ___hdtoa
0000000180ebf560 (__TEXT,__text) non-external (was a private external) ___heapsort_r
0000000180e845a8 (__TEXT,__text) external ___hi0bits_D2A
0000000180e81fd8 (__TEXT,__text) external ___hldtoa
0000000180e84624 (__TEXT,__text) external ___i2b_D2A
0000000180e7f8c8 (__TEXT,__text) external ___ibitmap
0000000180ebc768 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
0000000180e93ec0 (__TEXT,__text) external ___isctype
0000000180e93e78 (__TEXT,__text) external ___istype
0000000180e94018 (__TEXT,__text) external ___istype_l
0000000183008021 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180ebf828 (__TEXT,__text) external ___ldtoa
0000000180e77318 (__TEXT,__text) external ___libc_init
0000000180e84444 (__TEXT,__text) external ___lo0bits_D2A
0000000180e9d070 (__TEXT,__text) non-external ___loadevp
00000001830079e0 (__DATA,__data) non-external (was a private external) ___locale_key
0000000180e7e5b8 (__TEXT,__text) external ___log2
0000000180ed6390 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
0000000180e848a0 (__TEXT,__text) external ___lshift_D2A
0000000180e93e14 (__TEXT,__text) external ___maskrune
0000000180e93fac (__TEXT,__text) external ___maskrune_l
0000000180e84f00 (__TEXT,__text) external ___match_D2A
000000018300817c (__DATA,__data) external ___mb_cur_max
0000000183008180 (__DATA,__data) external ___mb_sb_limit
0000000180ea97e0 (__TEXT,__text) non-external ___mbsconv
0000000180e931a0 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180ed2280 (__TEXT,__text) external ___memccpy_chk
0000000180ed25b0 (__TEXT,__text) external ___memcpy_chk
0000000180ed21ec (__TEXT,__text) external ___memmove_chk
0000000180ed2090 (__TEXT,__text) external ___memset_chk
0000000180e9234c (__TEXT,__text) non-external (was a private external) ___messages_load_locale
0000000183009810 (__DATA,__bss) non-external ___messages_load_locale.cache
0000000180e92588 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
0000000183009820 (__DATA,__bss) non-external ___monetary_load_locale.cache
0000000180e84654 (__TEXT,__text) external ___mult_D2A
0000000180e844f4 (__TEXT,__text) external ___multadd_D2A
0000000180e98cc8 (__TEXT,__text) non-external ___nls_free_resources
0000000180ed5de9 (__TEXT,__const) non-external ___nogrouping
0000000180e82038 (__TEXT,__text) external ___nrv_alloc_D2A
0000000180e74dc4 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
0000000180e92a1c (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
0000000183009830 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
0000000180e94b6c (__TEXT,__text) non-external (was a private external) ___open_path_locale
0000000180e89978 (__TEXT,__text) external ___opendir2
0000000180e89aa4 (__TEXT,__text) non-external ___opendir_common
0000000180e79d90 (__TEXT,__text) external ___ovfl_delete
0000000180e79ba8 (__TEXT,__text) external ___ovfl_get
0000000180e79c90 (__TEXT,__text) external ___ovfl_put
0000000180ea6b64 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
000000018300b2b0 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
000000018300b2a8 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
0000000183008580 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180e9209c (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
0000000183014458 (__DATA,__common) non-external (was a private external) ___popen_pidlist
0000000183008028 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
0000000180e84788 (__TEXT,__text) external ___pow5mult_D2A
0000000180ed5658 (__TEXT,__const) non-external ___pow5mult_D2A.p05
0000000180ec29f4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180ed3fd0 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
0000000180ec0e0c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180ed3df4 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
0000000180ec0f48 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180ed3e20 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
0000000180ec194c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180ed3e78 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
0000000180ec1bfc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180ed3ea4 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180ec3208 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180ed4054 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
0000000180ec31f0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
0000000180ec23a0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
0000000180ed3f4c (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
0000000180ec245c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180ed3f78 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
0000000180ec273c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180ed3fa4 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180ec2b88 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
0000000180ed3ffc (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
0000000180ec2e84 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
0000000180ed4028 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
0000000180ec3408 (__TEXT,__text) non-external (was a private external) ___printf_comp
0000000180ec3b2c (__TEXT,__text) non-external (was a private external) ___printf_exec
0000000180ec2fe4 (__TEXT,__text) non-external (was a private external) ___printf_flush
0000000180ea193c (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180ec313c (__TEXT,__text) non-external (was a private external) ___printf_out
0000000180ec3090 (__TEXT,__text) non-external (was a private external) ___printf_pad
0000000180ec301c (__TEXT,__text) non-external (was a private external) ___printf_puts
0000000180ec2a3c (__TEXT,__text) non-external (was a private external) ___printf_render_chr
0000000180ec0e30 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
0000000180ec0f94 (__TEXT,__text) non-external (was a private external) ___printf_render_float
0000000180ed3e4c (__TEXT,__text) non-external ___printf_render_float.cold.1
0000000180ec1978 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
0000000180ec1c9c (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180ed3ed0 (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180ed3efc (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180ec322c (__TEXT,__text) non-external (was a private external) ___printf_render_n
0000000180ec31f8 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
0000000180ec23d4 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
0000000180ec2480 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
0000000180ec2778 (__TEXT,__text) non-external (was a private external) ___printf_render_str
0000000180ec2bac (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180ec2ea8 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
0000000180e88b8c (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001830096d8 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
0000000180e7f5dc (__TEXT,__text) external ___put_page
0000000180ed5eb8 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180e820a4 (__TEXT,__text) external ___quorem_D2A
0000000180e84e60 (__TEXT,__text) external ___ratio_D2A
0000000180e80398 (__TEXT,__text) external ___rec_close
0000000180e80694 (__TEXT,__text) external ___rec_delete
0000000180e807d8 (__TEXT,__text) external ___rec_dleaf
0000000180e811e0 (__TEXT,__text) external ___rec_fd
0000000180e80c50 (__TEXT,__text) external ___rec_fmap
0000000180e80a10 (__TEXT,__text) external ___rec_fpipe
0000000180e80904 (__TEXT,__text) external ___rec_get
0000000180e814e4 (__TEXT,__text) external ___rec_iput
0000000180e80e40 (__TEXT,__text) external ___rec_open
0000000180e81238 (__TEXT,__text) external ___rec_put
0000000180e81aec (__TEXT,__text) external ___rec_ret
0000000180e81734 (__TEXT,__text) external ___rec_search
0000000180e81910 (__TEXT,__text) external ___rec_seq
0000000180e80450 (__TEXT,__text) external ___rec_sync
0000000180e80d64 (__TEXT,__text) external ___rec_vmap
0000000180e80b28 (__TEXT,__text) external ___rec_vpipe
0000000180e7e4bc (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
0000000180e840f4 (__TEXT,__text) external ___rshift_D2A
0000000180e81fdc (__TEXT,__text) external ___rv_alloc_D2A
0000000180e84d74 (__TEXT,__text) external ___s2b_D2A
000000018302d928 (__AUTH,__data) external ___sF
0000000183008270 (__DATA,__data) non-external ___sFX
0000000180ea07e0 (__TEXT,__text) external ___sclose
0000000183009a58 (__DATA,__bss) non-external ___scounted
0000000183014470 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
0000000180ebc7e0 (__TEXT,__text) non-external (was a private external) ___setenv_locked
0000000180e94c8c (__TEXT,__text) non-external (was a private external) ___setrunelocale
0000000183009a08 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
0000000183009a10 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
0000000180ec5844 (__TEXT,__text) non-external ___setup_vars
0000000180e9a480 (__TEXT,__text) external ___sflags
0000000180e993d8 (__TEXT,__text) external ___sflush
0000000180e99f58 (__TEXT,__text) external ___sfp
0000000180e9a31c (__TEXT,__text) non-external (was a private external) ___sfprelease
0000000180e9bf74 (__TEXT,__text) external ___sfvwrite
0000000183008510 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
0000000180e9a150 (__TEXT,__text) external ___sinit
0000000180e995e0 (__TEXT,__text) external ___slbexpand
0000000180e9cc34 (__TEXT,__text) external ___smakebuf
0000000180ed3828 (__TEXT,__text) non-external ___smakebuf.cold.1
0000000180ed22e4 (__TEXT,__text) external ___snprintf_chk
0000000180ed2320 (__TEXT,__text) external ___snprintf_object_size_chk
0000000180e7e758 (__TEXT,__text) external ___split_page
0000000180ea9e6c (__TEXT,__text) non-external ___sprint
0000000180ed24d4 (__TEXT,__text) external ___sprintf_chk
0000000180ed2544 (__TEXT,__text) external ___sprintf_object_size_chk
0000000180ea0798 (__TEXT,__text) external ___sread
0000000180ea00b8 (__TEXT,__text) external ___srefill
0000000180e9fea0 (__TEXT,__text) non-external (was a private external) ___srefill0
0000000180ea0048 (__TEXT,__text) non-external (was a private external) ___srefill1
0000000180ea0208 (__TEXT,__text) external ___srget
0000000180ea07d8 (__TEXT,__text) external ___sseek
0000000180eb61d4 (__TEXT,__text) external ___stack_chk_fail
0000000183014490 (__DATA,__common) external ___stack_chk_guard
000000018300b278 (__DATA,__bss) non-external ___stderr_evp
00000001830084f0 (__DATA,__data) external ___stderrp
000000018300b258 (__DATA,__bss) non-external ___stdin_evp
00000001830084e0 (__DATA,__data) external ___stdinp
0000000180e85368 (__TEXT,__text) non-external (was a private external) ___stdio_init
000000018300b268 (__DATA,__bss) non-external ___stdout_evp
00000001830084e8 (__DATA,__data) external ___stdoutp
0000000180ed2464 (__TEXT,__text) external ___stpcpy_chk
0000000180ed25d8 (__TEXT,__text) external ___stpncpy_chk
0000000180ed40fc (__TEXT,__text) non-external ___stpncpy_chk.cold.1
0000000180ed2364 (__TEXT,__text) external ___strcat_chk
0000000180e84d54 (__TEXT,__text) external ___strcp_D2A
0000000180ed2214 (__TEXT,__text) external ___strcpy_chk
0000000183014340 (__DATA,__bss) non-external ___strerror_ebuf
0000000180ed1f3c (__TEXT,__text) external ___strlcat_chk
0000000180ed20b8 (__TEXT,__text) external ___strlcpy_chk
0000000180ed2118 (__TEXT,__text) external ___strncat_chk
0000000180ed21b8 (__TEXT,__text) external ___strncpy_chk
0000000180ed4080 (__TEXT,__text) non-external ___strncpy_chk.cold.1
0000000180e85034 (__TEXT,__text) external ___sum_D2A
0000000180ea6b38 (__TEXT,__text) external ___svfscanf
0000000180ea4e18 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
0000000180ed5f00 (__TEXT,__const) non-external ___svfscanf_l.basefix
0000000180eac36c (__TEXT,__text) external ___swbuf
0000000180e9cedc (__TEXT,__text) external ___swhatbuf
0000000180ea07b8 (__TEXT,__text) external ___swrite
0000000180eac59c (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
