
/System/Cryptexes/OS/System/Library/Frameworks/SafariServices.framework/Versions/A/XPCServices/com.apple.SafariServices.ExtensionHelper.xpc/Contents/MacOS/com.apple.SafariServices.ExtensionHelper (for architecture x86_64):
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _realpath$DARWIN_EXTSN (from libSystem)
                 (undefined) external _safariProductionApplicationBundleIdentifier (from Safari)
                 (undefined) external _safariTechnologyPreviewApplicationBundleIdentifier (from Safari)
                 (undefined) external _sandbox_extension_consume (from libSystem)
                 (undefined) external _sandbox_extension_release (from libSystem)
                 (undefined) external _sandbox_free_error (from libSystem)
                 (undefined) external _sandbox_init_with_parameters (from libSystem)
                 (undefined) external _setenv (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _webExtensionPointIdentifier (from SafariSharedUI)

/System/Cryptexes/OS/System/Library/Frameworks/SafariServices.framework/Versions/A/XPCServices/com.apple.SafariServices.ExtensionHelper.xpc/Contents/MacOS/com.apple.SafariServices.ExtensionHelper (for architecture arm64e):
                 (undefined) external _OBJC_CLASS_$_NSAppleEventDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSExtension (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedArchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSWorkspace (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSWorkspaceOpenConfiguration (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_CLASS_$_PKManager (from PlugInKit)
                 (undefined) external _OBJC_CLASS_$_SFContentBlockerState (from SafariServices)
                 (undefined) external _OBJC_CLASS_$_SFSafariExtensionState (from SafariServices)
                 (undefined) external _OBJC_CLASS_$_SafariAppExtensionsController (from Safari)
                 (undefined) external _OBJC_CLASS_$_SafariWebExtensionsController (from Safari)
                 (undefined) external _OBJC_CLASS_$_WBCollectionConfiguration (from WebBookmarks)
                 (undefined) external _OBJC_CLASS_$_WBSExtensionsController (from SafariSharedUI)
                 (undefined) external _OBJC_CLASS_$_WBSScopeExitHandler (from SafariShared)
                 (undefined) external _OBJC_CLASS_$_WBSWebExtensionData (from SafariSharedUI)
                 (undefined) external _OBJC_CLASS_$_WBSWebExtensionLocalization (from SafariSharedUI)
                 (undefined) external _OBJC_CLASS_$_WBTabCollection (from WebBookmarks)
                 (undefined) external _OBJC_CLASS_$_WBTabGroupManager (from WebBookmarks)
                 (undefined) external _OBJC_CLASS_$__EXQueryController (from ExtensionFoundation)
                 (undefined) external _OBJC_CLASS_$__SFExtensionHelperContentBlockerManager (from SafariServices)
                 (undefined) external _OBJC_CLASS_$__SFSandboxUtilities (from SafariServices)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _PKManagerContainingPathKey (from PlugInKit)
                 (undefined) external _PKManagerPlugInBundleIdentifierKey (from PlugInKit)
                 (undefined) external _SFErrorDomain (from SafariServices)
                 (undefined) external _WBSDefaultProfileIdentifier (from SafariShared)
                 (undefined) external _WTFLogAlways (from JavaScriptCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __SFContentBlockerExtensionPointIdentifier (from SafariServices)
                 (undefined) external __SFSafariExtensionPointIdentifier (from SafariServices)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __dispatch_main_q (from libSystem)
0000000100000000 (__TEXT,__text) [referenced dynamically] external __mh_execute_header
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external _defaultLocaleManifestKey (from SafariSharedUI)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _execvp (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _kSecCodeInfoTeamIdentifier (from Security)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _manifestVersionManifestKey (from SafariSharedUI)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _messageFromContainingAppExtensionUUIDKey (from Safari)
                 (undefined) external _messageFromContainingAppMessageNameKey (from Safari)
                 (undefined) external _messageFromContainingAppUserInfoKey (from Safari)
                 (undefined) external _nativeMessagingPermissionKey (from SafariSharedUI)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _realpath$DARWIN_EXTSN (from libSystem)
                 (undefined) external _safariProductionApplicationBundleIdentifier (from Safari)
                 (undefined) external _safariTechnologyPreviewApplicationBundleIdentifier (from Safari)
                 (undefined) external _sandbox_extension_consume (from libSystem)
                 (undefined) external _sandbox_extension_release (from libSystem)
                 (undefined) external _sandbox_free_error (from libSystem)
                 (undefined) external _sandbox_init_with_parameters (from libSystem)
                 (undefined) external _setenv (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _webExtensionPointIdentifier (from SafariSharedUI)
