00000001a2464f30 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a2467d00 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001a2467d5c (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001a245aa78 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a245abb8 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001a2459240 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001a2454828 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001a246591c (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001a24659f0 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001a245457c (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001a245ee7c (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001a245b248 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001a2452ec8 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001a245a500 (__TEXT,__text) non-external +[SPLog exec]
00000001a245a848 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001a245a3c8 (__TEXT,__text) non-external +[SPLog generic]
00000001a245a464 (__TEXT,__text) non-external +[SPLog kext]
00000001a245a59c (__TEXT,__text) non-external +[SPLog measurements]
00000001a245a83c (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001a245a638 (__TEXT,__text) non-external +[SPLog signposts]
00000001a245a6d4 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001a2461b58 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001a2461590 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001a2460a9c (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001a246797c (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001a24608f0 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001a24608dc (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001a2460ea0 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001a2460a54 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001a2460904 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001a2463a24 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001a24540d0 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001a2453ff8 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001a2453e9c (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001a2453d28 (__TEXT,__text) non-external -[AKELData init]
00000001a2454094 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001a2453fbc (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001a2453b04 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001a2453fb4 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001a24651c0 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001a2465114 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001a24651d4 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001a24651c4 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001a2465178 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001a24651cc (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001a2458e5c (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001a24585e8 (__TEXT,__text) non-external -[BundleData dealloc]
00000001a2466b60 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001a2458ac8 (__TEXT,__text) non-external -[BundleData doReload]
00000001a2458e30 (__TEXT,__text) non-external -[BundleData forceReload]
00000001a2458684 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001a24585cc (__TEXT,__text) non-external -[BundleData init]
00000001a2458e3c (__TEXT,__text) non-external -[BundleData isSigned]
00000001a2458b24 (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001a2458dc4 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001a24587e8 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001a2466bd0 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001a2466c40 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001a2458e54 (__TEXT,__text) non-external -[BundleData timestamp]
00000001a2458e34 (__TEXT,__text) non-external -[BundleData url]
00000001a2458e4c (__TEXT,__text) non-external -[BundleData versionNumber]
00000001a2458e44 (__TEXT,__text) non-external -[BundleData version]
00000001a2459884 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001a2459860 (__TEXT,__text) non-external -[GKScanResult allowed]
00000001a24597d4 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001a2459870 (__TEXT,__text) non-external -[GKScanResult gkError]
00000001a2459724 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001a2459868 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001a2459878 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001a2464330 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001a2454c38 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001a2454c00 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001a2454bec (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001a2454bc4 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001a2454bd8 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001a2454c24 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001a2454c08 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001a2454bf4 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001a2454bcc (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001a2454be0 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001a2454c2c (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001a2454c1c (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001a2454c14 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001a2463888 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001a24637f8 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001a2462ee4 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001a2462fa4 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001a2463330 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001a24633cc (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001a246326c (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001a2463820 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001a246276c (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001a2463740 (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001a24631e0 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001a2463808 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001a24630c4 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001a24627d0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001a2467a38 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001a2467ac0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001a2467b30 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001a2467b68 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001a2467ba0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001a2467c10 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001a2462750 (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001a2463830 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001a2463860 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001a246362c (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001a2467c8c (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00000001a2463848 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001a24635a4 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001a2463850 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001a24635e8 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001a2462e48 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001a2463818 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001a2463880 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001a2463800 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001a24637e0 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001a24637f0 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001a2463870 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001a24636f0 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001a2463828 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001a2463868 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001a2463858 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001a2463878 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001a2463840 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001a2463508 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001a24631a4 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001a24630fc (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001a246346c (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001a2463838 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001a24637d8 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001a2463810 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001a24637e8 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001a2465798 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001a2465724 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001a24655ec (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001a2465538 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001a2465638 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001a246570c (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001a2465788 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001a2465780 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001a2465654 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001a2465790 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001a245afdc (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001a245afbc (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001a245afcc (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001a245add4 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001a245af9c (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001a245abc0 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001a245a8ac (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a245a890 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001a245afd4 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001a245afa4 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001a245afc4 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001a245afac (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001a245afb4 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001a245d398 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001a245cfcc (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001a245cedc (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001a245ce70 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001a245cb7c (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001a245c8cc (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001a245ca80 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001a245d1b8 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001a245c84c (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001a245d2a8 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001a245ce04 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001a245c920 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001a245c918 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001a245d0bc (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001a245c94c (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001a2459fd8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001a2459890 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001a2466d40 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001a2466d78 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001a2466e00 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001a2466e9c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001a2466f04 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001a2466f8c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001a2466fc4 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001a246705c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.8
00000001a245a0cc (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001a24596b4 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001a24596ac (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001a245968c (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001a2459478 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001a2459248 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001a24590e8 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00000001a24590cc (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001a2459674 (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001a24596a4 (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001a2459694 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001a245969c (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001a245967c (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001a2459684 (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001a246270c (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001a246240c (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001a24623c0 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001a246229c (__TEXT,__text) non-external -[SPInstallationPolicy init]
00000001a246256c (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00000001a2462558 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00000001a245b204 (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00000001a245b19c (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00000001a245b068 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00000001a245b1e8 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00000001a245f23c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00000001a245f1fc (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00000001a245f20c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00000001a245f04c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00000001a245ee84 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00000001a245ed04 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00000001a245ece8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00000001a245f22c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00000001a245f21c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00000001a245f214 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00000001a245f224 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00000001a245f234 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00000001a245f1f4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00000001a245f204 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00000001a245c384 (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00000001a245bd08 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00000001a245b718 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00000001a245b7f0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00000001a245b6c8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00000001a245b6c0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00000001a245bcd0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00000001a245c37c (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00000001a245b674 (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00000001a245c174 (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00000001a245b340 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00000001a245b9a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00000001a245bfa8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00000001a245c09c (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00000001a245bcec (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00000001a245bdf4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00000001a245c360 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00000001a245c344 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00000001a245c328 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00000001a245c30c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00000001a245b8c8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00000001a245becc (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00000001a245c2f4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00000001a245c2dc (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00000001a245c204 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00000001a245bbf4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00000001a245bae8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00000001a245ebf8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00000001a245e78c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00000001a245e9b0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00000001a245e6bc (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00000001a245e5ec (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00000001a245ead4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00000001a2453284 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00000001a245323c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00000001a2453244 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00000001a245325c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00000001a2453238 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00000001a245324c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00000001a24530ec (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00000001a2452c60 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a2452ee4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00000001a2452db8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a2452c44 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00000001a2453264 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00000001a2452ed0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00000001a245327c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
00000001a2453274 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
00000001a24531e8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
