                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff812cc8a86 (__TEXT,__text) external ___absvdi2
00007ff812ccb6f9 (__TEXT,__text) external ___floatdidf
00007ff812ccb6ff (__TEXT,__text) external ___floatdisf
00007ff812ccb705 (__TEXT,__text) external ___floatdixf
00007ff812ccb70f (__TEXT,__text) external ___floattidf
00007ff812ccb826 (__TEXT,__text) external ___floattisf
00007ff812ccb911 (__TEXT,__text) external ___floattixf
00007ff812ccba40 (__TEXT,__text) external ___floatundidf
00007ff812ccba6c (__TEXT,__text) external ___floatundisf
00007ff812ccba98 (__TEXT,__text) external ___floatundixf
00007ff812ccbaae (__TEXT,__text) external ___floatuntidf
00007ff812ccbbb6 (__TEXT,__text) external ___floatuntisf
00007ff812ccbc7e (__TEXT,__text) external ___floatuntixf
00007ff812ccbd84 (__TEXT,__text) external ___gcc_personality_v0
00007ff812ccd560 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff812ccb08c (__TEXT,__text) external ___gnu_h2f_ieee
00007ff812ccc034 (__TEXT,__text) external ___lshrdi3
00007ff812ccc062 (__TEXT,__text) external ___lshrti3
00007ff812cc89aa (__TEXT,__text) external ___moddi3
00007ff812ccc08a (__TEXT,__text) external ___modti3
00007ff812ccc0f2 (__TEXT,__text) external ___muldc3
00007ff812ccc2b2 (__TEXT,__text) external ___muldi3
00007ff812ccc337 (__TEXT,__text) external ___mulodi4
00007ff812ccc3ce (__TEXT,__text) external ___mulosi4
00007ff812ccc447 (__TEXT,__text) external ___muloti4
00007ff812ccc553 (__TEXT,__text) external ___mulsc3
00007ff812ccc729 (__TEXT,__text) external ___multi3
00007ff812ccc788 (__TEXT,__text) external ___mulvdi3
00007ff812ccc890 (__TEXT,__text) external ___mulvsi3
00007ff812ccc96e (__TEXT,__text) external ___mulvti3
00007ff812cccaf5 (__TEXT,__text) external ___mulxc3
00007ff812cccf2e (__TEXT,__text) external ___negdi2
00007ff812cccf35 (__TEXT,__text) external ___negti2
00007ff812cccf41 (__TEXT,__text) external ___negvdi2
00007ff812cccf63 (__TEXT,__text) external ___negvsi2
00007ff812cccf83 (__TEXT,__text) external ___negvti2
00007ff812cccfb5 (__TEXT,__text) external ___paritydi2
00007ff812cccfe4 (__TEXT,__text) external ___paritysi2
00007ff812ccd00a (__TEXT,__text) external ___parityti2
00007ff812ccd03c (__TEXT,__text) external ___popcountdi2
00007ff812ccd09e (__TEXT,__text) external ___popcountsi2
00007ff812ccd0d7 (__TEXT,__text) external ___popcountti2
00007ff812ccd165 (__TEXT,__text) external ___powidf2
00007ff812ccd1b9 (__TEXT,__text) external ___powisf2
00007ff812ccd20a (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff812ccd268 (__TEXT,__text) external ___subvdi3
00007ff812ccd2b0 (__TEXT,__text) external ___subvsi3
00007ff812ccd2f3 (__TEXT,__text) external ___subvti3
00007ff812ccd347 (__TEXT,__text) external ___truncdfhf2
00007ff812ccd474 (__TEXT,__text) external ___truncsfhf2
00007ff812ccd565 (__TEXT,__text) external ___ucmpdi2
00007ff812ccd594 (__TEXT,__text) external ___ucmpti2
00007ff812cc87f8 (__TEXT,__text) external ___udivdi3
00007ff812ccd5b5 (__TEXT,__text) external ___udivmoddi4
00007ff812cc8738 (__TEXT,__text) external ___udivmodti4
00007ff812cc8730 (__TEXT,__text) external ___udivti3
00007ff812cc8872 (__TEXT,__text) external ___umoddi3
00007ff812ccd7c8 (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
00007ff812cc9cf8 (__TEXT,__text) external _atomic_flag_clear
00007ff812cc9cfd (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff812cc9d10 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff812cc9d18 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff812cc9d4c (__TEXT,__text) external _atomic_signal_fence
00007ff812cc9d78 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff843764650 (__DATA_DIRTY,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff812ccbf1d (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff812cce390 (__TEXT,__const) non-external two
00007ff812cce360 (__TEXT,__const) non-external twop52
00007ff812cce3a0 (__TEXT,__const) non-external twop64
00007ff812cce380 (__TEXT,__const) non-external twop84
00007ff812cce370 (__TEXT,__const) non-external twop84_plus_twop52
