000000018d072024 (__TEXT,__text) external _CCAESCmac
000000018d074020 (__TEXT,__text) external _CCECCryptorImportKey
000000018d074008 (__TEXT,__text) external _CCECCryptorImportPublicKey
000000018d074004 (__TEXT,__text) external _CCECCryptorRelease
000000018d0742b8 (__TEXT,__text) external _CCECCryptorSignHash
000000018d074434 (__TEXT,__text) external _CCECCryptorTwinDiversifyEntropySize
000000018d074458 (__TEXT,__text) external _CCECCryptorTwinDiversifyKey
000000018d07478c (__TEXT,__text) external _CCECCryptorUnblind
000000018d0743b8 (__TEXT,__text) external _CCECCryptorUnwrapKey
000000018d074338 (__TEXT,__text) external _CCECCryptorVerifyHash
000000018d0743b0 (__TEXT,__text) external _CCECCryptorWrapKey
000000018d073ff0 (__TEXT,__text) external _CCECGetKeySize
000000018d073fd0 (__TEXT,__text) external _CCECGetKeyType
000000018d07126c (__TEXT,__text) external _CCHKDFExpand
000000018d0711c8 (__TEXT,__text) external _CCHKDFExtract
000000018d06cda0 (__TEXT,__text) external _CCHmac
000000018d074d88 (__TEXT,__text) external _CCHmacClone
000000018d074ca0 (__TEXT,__text) external _CCHmacCreate
000000018d074c50 (__TEXT,__text) external _CCHmacDestroy
000000018d07082c (__TEXT,__text) external _CCHmacFinal
000000018d07079c (__TEXT,__text) external _CCHmacInit
000000018d074d20 (__TEXT,__text) external _CCHmacOneShot
000000018d074c9c (__TEXT,__text) external _CCHmacOutputSize
000000018d074c90 (__TEXT,__text) external _CCHmacOutputSizeFromRef
000000018d07081c (__TEXT,__text) external _CCHmacUpdate
000000018d070e14 (__TEXT,__text) external _CCKDFParametersCreateAnsiX963
000000018d070c98 (__TEXT,__text) external _CCKDFParametersCreateCtrHmac
000000018d070d20 (__TEXT,__text) external _CCKDFParametersCreateCtrHmacFixed
000000018d070d8c (__TEXT,__text) external _CCKDFParametersCreateHkdf
000000018d070c24 (__TEXT,__text) external _CCKDFParametersCreatePbkdf2
000000018d070e80 (__TEXT,__text) external _CCKDFParametersDestroy
000000018d070ec0 (__TEXT,__text) external _CCKeyDerivationHMac
000000018d0708bc (__TEXT,__text) external _CCKeyDerivationPBKDF
000000018d075768 (__TEXT,__text) external _CCRSACryptorCreateFromData
000000018d07516c (__TEXT,__text) external _CCRSACryptorCreatePublicKeyFromPrivateKey
000000018d075638 (__TEXT,__text) external _CCRSACryptorCrypt
000000018d075564 (__TEXT,__text) external _CCRSACryptorDecrypt
000000018d07545c (__TEXT,__text) external _CCRSACryptorEncrypt
000000018d07538c (__TEXT,__text) external _CCRSACryptorExport
000000018d074fcc (__TEXT,__text) external _CCRSACryptorGeneratePair
000000018d075240 (__TEXT,__text) external _CCRSACryptorGetPublicKeyFromPrivateKey
000000018d075274 (__TEXT,__text) external _CCRSACryptorImport
000000018d0758fc (__TEXT,__text) external _CCRSACryptorRecoverPrivateKey
000000018d07523c (__TEXT,__text) external _CCRSACryptorRelease
000000018d075e90 (__TEXT,__text) external _CCRSACryptorSign
000000018d075ff0 (__TEXT,__text) external _CCRSACryptorVerify
000000018d075c20 (__TEXT,__text) external _CCRSAGetCRTComponents
000000018d075a9c (__TEXT,__text) external _CCRSAGetCRTComponentsSizes
000000018d0759fc (__TEXT,__text) external _CCRSAGetKeyComponents
000000018d075260 (__TEXT,__text) external _CCRSAGetKeySize
000000018d075244 (__TEXT,__text) external _CCRSAGetKeyType
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libcorecrypto)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libcorecrypto)
000000018d06e4d4 (__TEXT,__text) external _CCRandomCopyBytes
000000018d06e4e0 (__TEXT,__text) external _CCRandomGenerateBytes
000000018d074f7c (__TEXT,__text) external _CCRandomUniform
000000018d0762cc (__TEXT,__text) external _CCSymmetricKeyUnwrap
000000018d07614c (__TEXT,__text) external _CCSymmetricKeyWrap
000000018d0764e8 (__TEXT,__text) external _CCSymmetricUnwrappedSize
000000018d0764e0 (__TEXT,__text) external _CCSymmetricWrappedSize
000000018d070840 (__TEXT,__text) external _CC_MD2
000000018d0737ec (__TEXT,__text) external _CC_MD2_Final
000000018d0735e8 (__TEXT,__text) external _CC_MD2_Init
000000018d0736c4 (__TEXT,__text) external _CC_MD2_Update
000000018d0734e4 (__TEXT,__text) external _CC_MD4
000000018d070660 (__TEXT,__text) external _CC_MD4_Final
000000018d070430 (__TEXT,__text) external _CC_MD4_Init
000000018d070518 (__TEXT,__text) external _CC_MD4_Update
000000018d06cd60 (__TEXT,__text) external _CC_MD5
000000018d06cb7c (__TEXT,__text) external _CC_MD5_Final
000000018d06c5e8 (__TEXT,__text) external _CC_MD5_Init
000000018d06ca34 (__TEXT,__text) external _CC_MD5_Update
000000018d06ccb8 (__TEXT,__text) external _CC_SHA1
000000018d06d390 (__TEXT,__text) external _CC_SHA1_Final
000000018d06d160 (__TEXT,__text) external _CC_SHA1_Init
000000018d06d248 (__TEXT,__text) external _CC_SHA1_Update
000000018d073524 (__TEXT,__text) external _CC_SHA224
000000018d07398c (__TEXT,__text) external _CC_SHA224_Final
000000018d073908 (__TEXT,__text) external _CC_SHA224_Init
000000018d073970 (__TEXT,__text) external _CC_SHA224_Update
000000018d06d4cc (__TEXT,__text) external _CC_SHA256
000000018d06cff0 (__TEXT,__text) external _CC_SHA256_Final
000000018d06ce40 (__TEXT,__text) external _CC_SHA256_Init
000000018d06cea8 (__TEXT,__text) external _CC_SHA256_Update
000000018d073564 (__TEXT,__text) external _CC_SHA384
000000018d073a80 (__TEXT,__text) external _CC_SHA384_Final
000000018d0739fc (__TEXT,__text) external _CC_SHA384_Init
000000018d073a64 (__TEXT,__text) external _CC_SHA384_Update
000000018d0735a4 (__TEXT,__text) external _CC_SHA512
000000018d06f338 (__TEXT,__text) external _CC_SHA512_Final
000000018d06f260 (__TEXT,__text) external _CC_SHA512_Init
000000018d06f2c8 (__TEXT,__text) external _CC_SHA512_Update
00000001edc00c90 (__AUTH_CONST,__const) non-external (was a private external) _CC_adler32
00000001e4c794d0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16
00000001e4c79250 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_a
00000001e4c79290 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_b
00000001e4c792d0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_false
00000001e4c79310 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_true
00000001e4c79350 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_r
00000001e4c79390 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_x
00000001e4c793d0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_icode
00000001e4c79410 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_usb
00000001e4c79450 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_verifone
00000001e4c79490 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_xmodem
00000001e4c79650 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32
00000001e4c79510 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_bzip2
00000001e4c79550 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_castagnoli
00000001e4c79590 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_mpeg_2
00000001e4c795d0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_posix
00000001e4c79610 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_xfer
00000001e4c79690 (__DATA_CONST,__const) non-external (was a private external) _CC_crc64_ecma_182
00000001e4c797d0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8
00000001e4c796d0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_icode
00000001e4c79710 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_itu
00000001e4c79750 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_rohc
00000001e4c79790 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_wcdma
00000001e4c798c0 (__DATA_CONST,__const) external _CCrfc3394_iv
000000018d078ba8 (__TEXT,__const) external _CCrfc3394_ivLen
000000018d06f6b0 (__TEXT,__text) non-external (was a private external) _CNBufferCreate
000000018d0775c0 (__TEXT,__text) non-external (was a private external) _CNBufferEmpty
000000018d06fcbc (__TEXT,__text) non-external (was a private external) _CNBufferFlushData
000000018d06f7a8 (__TEXT,__text) non-external (was a private external) _CNBufferProcessData
000000018d06fdd4 (__TEXT,__text) non-external (was a private external) _CNBufferRelease
000000018d06fe6c (__TEXT,__text) external _CNCRC
000000018d076e28 (__TEXT,__text) external _CNCRCDumpTable
000000018d076dbc (__TEXT,__text) external _CNCRCFinal
000000018d076c80 (__TEXT,__text) external _CNCRCInit
000000018d076d24 (__TEXT,__text) external _CNCRCRelease
000000018d076d40 (__TEXT,__text) external _CNCRCUpdate
000000018d076e94 (__TEXT,__text) external _CNCRCWeakTest
000000018d06f420 (__TEXT,__text) external _CNEncode
000000018d077488 (__TEXT,__text) external _CNEncoderBlocksize
000000018d077528 (__TEXT,__text) external _CNEncoderBlocksizeFromRef
000000018d06f4f0 (__TEXT,__text) external _CNEncoderCreate
000000018d077888 (__TEXT,__text) non-external _CNEncoderCreate.cold.1
000000018d0778fc (__TEXT,__text) non-external _CNEncoderCreate.cold.2
000000018d077970 (__TEXT,__text) non-external _CNEncoderCreate.cold.3
000000018d076f5c (__TEXT,__text) external _CNEncoderCreateCustom
000000018d06fb80 (__TEXT,__text) external _CNEncoderFinal
000000018d07714c (__TEXT,__text) external _CNEncoderGetOutputLength
000000018d077244 (__TEXT,__text) external _CNEncoderGetOutputLengthFromEncoding
000000018d06fd58 (__TEXT,__text) external _CNEncoderRelease
000000018d06f708 (__TEXT,__text) external _CNEncoderUpdate
000000018d0735e4 (__TEXT,__text) external _MD5Final
000000018d073af4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018d076f18 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018d07757c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018d073b1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018d076f40 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018d0775a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
000000018d0709c8 (__TEXT,__text) non-external _adler32_final
000000018d070974 (__TEXT,__text) non-external _adler32_implementation
000000018d0709d0 (__TEXT,__text) non-external _adler32_oneshot
000000018d070a24 (__TEXT,__text) non-external _adler32_setup
000000018d06e3e0 (__TEXT,__text) non-external _ccClearCryptor
000000018d06e54c (__TEXT,__text) external _ccDRBGGetRngState
000000018d070888 (__TEXT,__text) external _ccDevRandomGetRngState
000000018d073e38 (__TEXT,__text) non-external _ccECCryptorFree
000000018d073d58 (__TEXT,__text) non-external _ccECpairwiseConsistencyCheck
000000018d073c20 (__TEXT,__text) non-external _ccMallocECCryptor
000000018d075104 (__TEXT,__text) non-external _ccMallocRSACryptor
000000018d0751d0 (__TEXT,__text) non-external _ccRSACryptorClear
000000018d078b98 (__TEXT,__const) non-external _ccRandomDefaultStruct
000000018d06ebc4 (__TEXT,__text) non-external _ccSimpleUpdate
000000018d071f80 (__TEXT,__text) non-external _cc_alloc
                 (undefined) external _cc_clear (from libcorecrypto)
                 (undefined) external _cc_cmp_safe (from libcorecrypto)
000000018d071fe4 (__TEXT,__text) non-external _cc_free
000000018d0764f0 (__TEXT,__text) non-external _cc_rc4_crypt_mode
000000018d071f88 (__TEXT,__text) non-external _cc_realloc
                 (undefined) external _ccaes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccansikdf_x963 (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ofb_crypt_mode (from libcorecrypto)
000000018d076544 (__TEXT,__text) non-external _cccbc_getiv
00000001edc01110 (__AUTH_CONST,__const) non-external (was a private external) _cccbc_mode
000000018d06ecac (__TEXT,__text) non-external _cccbc_mode_crypt
000000018d06eb14 (__TEXT,__text) non-external _cccbc_mode_get_block_size
000000018d06e770 (__TEXT,__text) non-external _cccbc_mode_get_ctx_size
000000018d06e77c (__TEXT,__text) non-external _cccbc_mode_setup
000000018d06ee68 (__TEXT,__text) non-external _cccbc_setiv
                 (undefined) external _ccccm_cbcmac (from libcorecrypto)
00000001edc01340 (__AUTH_CONST,__const) non-external (was a private external) _ccccm_mode
000000018d076978 (__TEXT,__text) non-external _ccccm_mode_crypt
000000018d07699c (__TEXT,__text) non-external _ccccm_mode_done
000000018d076930 (__TEXT,__text) non-external _ccccm_mode_get_block_size
000000018d076924 (__TEXT,__text) non-external _ccccm_mode_get_ctx_size
000000018d076938 (__TEXT,__text) non-external _ccccm_mode_setup
                 (undefined) external _ccccm_set_iv (from libcorecrypto)
00000001edc011b0 (__AUTH_CONST,__const) non-external (was a private external) _cccfb8_mode
000000018d076604 (__TEXT,__text) non-external _cccfb8_mode_crypt
000000018d0765e0 (__TEXT,__text) non-external _cccfb8_mode_get_block_size
000000018d0765d8 (__TEXT,__text) non-external _cccfb8_mode_get_ctx_size
000000018d0765e8 (__TEXT,__text) non-external _cccfb8_mode_setup
00000001edc01160 (__AUTH_CONST,__const) non-external (was a private external) _cccfb_mode
000000018d0765b8 (__TEXT,__text) non-external _cccfb_mode_crypt
000000018d076594 (__TEXT,__text) non-external _cccfb_mode_get_block_size
000000018d07658c (__TEXT,__text) non-external _cccfb_mode_get_ctx_size
000000018d07659c (__TEXT,__text) non-external _cccfb_mode_setup
                 (undefined) external _ccchacha20 (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_decrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_encrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_info (from libcorecrypto)
                 (undefined) external _ccckg_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg_init (from libcorecrypto)
                 (undefined) external _ccckg_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_share (from libcorecrypto)
                 (undefined) external _cccmac_final_generate (from libcorecrypto)
                 (undefined) external _cccmac_init (from libcorecrypto)
                 (undefined) external _cccmac_one_shot_generate (from libcorecrypto)
                 (undefined) external _cccmac_update (from libcorecrypto)
00000001e4c79850 (__DATA_CONST,__const) non-external (was a private external) _ccconversionTable
00000001edc01200 (__AUTH_CONST,__const) non-external (was a private external) _ccctr_mode
000000018d076650 (__TEXT,__text) non-external _ccctr_mode_crypt
000000018d07662c (__TEXT,__text) non-external _ccctr_mode_get_block_size
000000018d076624 (__TEXT,__text) non-external _ccctr_mode_get_ctx_size
000000018d076634 (__TEXT,__text) non-external _ccctr_mode_setup
000000018d076670 (__TEXT,__text) non-external _ccctr_setiv
000000018d076b18 (__TEXT,__text) non-external _cccts3_decrypt_pad
000000018d076ad0 (__TEXT,__text) non-external _cccts3_encrypt_pad
00000001edc013d0 (__AUTH_CONST,__const) non-external (was a private external) _cccts3_pad
000000018d076b60 (__TEXT,__text) non-external _cccts3_padlen
000000018d076bfc (__TEXT,__text) non-external _cccts3_reserve
                 (undefined) external _ccdes3_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cbc_cksum (from libcorecrypto)
                 (undefined) external _ccdes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb_encrypt_mode (from libcorecrypto)
