                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000020c4cbb48 (__TEXT,__text) external __crypt_blowfish_rn
000000020c4c8784 (__TEXT,__text) external _apr_bucket_simple_split
000000020c4c8974 (__TEXT,__text) external _apr_bucket_socket_create
000000020c4c895c (__TEXT,__text) external _apr_bucket_socket_make
000000020c4c7658 (__TEXT,__text) external _apr_bucket_split_notimpl
000000020c4c88a8 (__TEXT,__text) external _apr_bucket_transient_create
000000020c4c8894 (__TEXT,__text) external _apr_bucket_transient_make
000000021ec4abf8 (__AUTH_CONST,__const) external _apr_bucket_type_eos
000000021ec4ac30 (__AUTH_CONST,__const) external _apr_bucket_type_file
000000021ec4ac68 (__AUTH_CONST,__const) external _apr_bucket_type_flush
000000021ec4aca0 (__AUTH_CONST,__const) external _apr_bucket_type_heap
000000021ec4ad80 (__AUTH_CONST,__const) external _apr_bucket_type_immortal
000000021ec4acd8 (__AUTH_CONST,__const) external _apr_bucket_type_mmap
000000021ec4ad10 (__AUTH_CONST,__const) external _apr_bucket_type_pipe
000000021ec4ad48 (__AUTH_CONST,__const) external _apr_bucket_type_pool
000000021ec4adf0 (__AUTH_CONST,__const) external _apr_bucket_type_socket
000000021ec4adb8 (__AUTH_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
000000021b0c14f8 (__DATA,__common) external _apr_current_hooking_module
000000020c4d40bc (__TEXT,__text) external _apr_date_checkmask
000000020c4d4208 (__TEXT,__text) external _apr_date_parse_http
000000020c4d45dc (__TEXT,__text) external _apr_date_parse_rfc
000000020c4ce818 (__TEXT,__text) external _apr_dbd_check_conn
000000020c4ce838 (__TEXT,__text) external _apr_dbd_close
000000020c4cefe8 (__TEXT,__text) external _apr_dbd_datum_get
000000020c4ce828 (__TEXT,__text) external _apr_dbd_error
000000020c4ce9cc (__TEXT,__text) external _apr_dbd_escape
000000020c4ce730 (__TEXT,__text) external _apr_dbd_get_driver
000000020c4ce9ac (__TEXT,__text) external _apr_dbd_get_entry
000000020c4ce9bc (__TEXT,__text) external _apr_dbd_get_name
000000020c4ce994 (__TEXT,__text) external _apr_dbd_get_row
000000020c4ce60c (__TEXT,__text) external _apr_dbd_init
000000020c4ce5f4 (__TEXT,__text) external _apr_dbd_mutex_lock
000000020c4ce600 (__TEXT,__text) external _apr_dbd_mutex_unlock
000000020c4ce924 (__TEXT,__text) external _apr_dbd_name
000000020c4ce92c (__TEXT,__text) external _apr_dbd_native_handle
000000020c4ce97c (__TEXT,__text) external _apr_dbd_num_cols
000000020c4ce988 (__TEXT,__text) external _apr_dbd_num_tuples
000000020c4ce844 (__TEXT,__text) external _apr_dbd_open
000000020c4ce774 (__TEXT,__text) external _apr_dbd_open_ex
000000020c4cef20 (__TEXT,__text) external _apr_dbd_pbquery
000000020c4cef3c (__TEXT,__text) external _apr_dbd_pbselect
000000020c4cee58 (__TEXT,__text) external _apr_dbd_pquery
000000020c4ce9e0 (__TEXT,__text) external _apr_dbd_prepare
000000020c4cee74 (__TEXT,__text) external _apr_dbd_pselect
000000020c4cef5c (__TEXT,__text) external _apr_dbd_pvbquery
000000020c4cefa0 (__TEXT,__text) external _apr_dbd_pvbselect
000000020c4cee94 (__TEXT,__text) external _apr_dbd_pvquery
000000020c4ceed8 (__TEXT,__text) external _apr_dbd_pvselect
000000020c4ce94c (__TEXT,__text) external _apr_dbd_query
000000020c4ce960 (__TEXT,__text) external _apr_dbd_select
000000020c4ce938 (__TEXT,__text) external _apr_dbd_set_dbname
000000021ec4ae80 (__AUTH_CONST,__const) external _apr_dbd_sqlite3_driver
000000020c4ce8bc (__TEXT,__text) external _apr_dbd_transaction_end
000000020c4ce908 (__TEXT,__text) external _apr_dbd_transaction_mode_get
000000020c4ce914 (__TEXT,__text) external _apr_dbd_transaction_mode_set
000000020c4ce84c (__TEXT,__text) external _apr_dbd_transaction_start
000000020c4cf1c8 (__TEXT,__text) external _apr_dbm_close
000000020c4cf1ec (__TEXT,__text) external _apr_dbm_delete
000000020c4cf1f8 (__TEXT,__text) external _apr_dbm_exists
000000020c4cf1d4 (__TEXT,__text) external _apr_dbm_fetch
000000020c4cf204 (__TEXT,__text) external _apr_dbm_firstkey
000000020c4cf21c (__TEXT,__text) external _apr_dbm_freedatum
000000020c4cf2ec (__TEXT,__text) external _apr_dbm_get_usednames
000000020c4cf274 (__TEXT,__text) external _apr_dbm_get_usednames_ex
000000020c4cf228 (__TEXT,__text) external _apr_dbm_geterror
000000020c4cf210 (__TEXT,__text) external _apr_dbm_nextkey
000000020c4cf124 (__TEXT,__text) external _apr_dbm_open
000000020c4cf000 (__TEXT,__text) external _apr_dbm_open_ex
000000020c4cf1e0 (__TEXT,__text) external _apr_dbm_store
000000021ec4ae28 (__AUTH_CONST,__const) external _apr_dbm_type_sdbm
000000021b0c14f0 (__DATA,__common) external _apr_debug_module_hooks
000000020c4d1450 (__TEXT,__text) external _apr_dynamic_fn_register
000000020c4d13f4 (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
000000021b0c14e8 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
000000021b0c14e0 (__DATA,__common) external _apr_hook_debug_current
000000021b0c14d8 (__DATA,__common) external _apr_hook_debug_enabled
000000020c4d116c (__TEXT,__text) external _apr_hook_debug_show
000000020c4d1118 (__TEXT,__text) external _apr_hook_deregister_all
000000021b0c14d0 (__DATA,__common) external _apr_hook_global_pool
000000020c4d0c2c (__TEXT,__text) external _apr_hook_sort_all
000000020c4d0bd4 (__TEXT,__text) external _apr_hook_sort_register
000000020c4daf94 (__TEXT,__text) external _apr_ldap_get_option
000000020c4daf54 (__TEXT,__text) external _apr_ldap_info
000000020c4dae98 (__TEXT,__text) external _apr_ldap_init
000000020c4d14d4 (__TEXT,__text) external _apr_ldap_is_ldap_url
000000020c4d164c (__TEXT,__text) external _apr_ldap_is_ldapi_url
000000020c4d1600 (__TEXT,__text) external _apr_ldap_is_ldaps_url
000000020c4db35c (__TEXT,__text) external _apr_ldap_rebind_add
000000020c4db2c8 (__TEXT,__text) external _apr_ldap_rebind_init
000000020c4db454 (__TEXT,__text) external _apr_ldap_rebind_remove
000000020c4db024 (__TEXT,__text) external _apr_ldap_set_option
000000020c4dae90 (__TEXT,__text) external _apr_ldap_ssl_deinit
000000020c4dadc4 (__TEXT,__text) external _apr_ldap_ssl_init
000000020c4d1d68 (__TEXT,__text) external _apr_ldap_url_parse
000000020c4d1698 (__TEXT,__text) external _apr_ldap_url_parse_ext
000000020c4c94bc (__TEXT,__text) external _apr_md4
000000020c4c93b0 (__TEXT,__text) external _apr_md4_final
000000020c4c8b5c (__TEXT,__text) external _apr_md4_init
000000020c4c8b78 (__TEXT,__text) external _apr_md4_set_xlate
000000020c4c8bd0 (__TEXT,__text) external _apr_md4_update
000000020c4c9898 (__TEXT,__text) external _apr_md5
000000020c4c9924 (__TEXT,__text) external _apr_md5_encode
000000020c4c9784 (__TEXT,__text) external _apr_md5_final
000000020c4c9544 (__TEXT,__text) external _apr_md5_init
000000020c4c9560 (__TEXT,__text) external _apr_md5_set_xlate
000000020c4c95b8 (__TEXT,__text) external _apr_md5_update
000000020c4d26dc (__TEXT,__text) external _apr_memcache_add
000000020c4d3094 (__TEXT,__text) external _apr_memcache_add_multget_key
000000020c4d1dbc (__TEXT,__text) external _apr_memcache_add_server
000000020c4d2378 (__TEXT,__text) external _apr_memcache_create
000000020c4d2f40 (__TEXT,__text) external _apr_memcache_decr
000000020c4d2b7c (__TEXT,__text) external _apr_memcache_delete
000000020c4d2040 (__TEXT,__text) external _apr_memcache_disable_server
000000020c4d202c (__TEXT,__text) external _apr_memcache_enable_server
000000020c4d1fb8 (__TEXT,__text) external _apr_memcache_find_server
000000020c4d1df4 (__TEXT,__text) external _apr_memcache_find_server_hash
000000020c4d1e10 (__TEXT,__text) external _apr_memcache_find_server_hash_default
000000020c4d2724 (__TEXT,__text) external _apr_memcache_getp
000000020c4d2474 (__TEXT,__text) external _apr_memcache_hash
000000020c4d23e8 (__TEXT,__text) external _apr_memcache_hash_crc32
000000020c4d242c (__TEXT,__text) external _apr_memcache_hash_default
000000020c4d2d44 (__TEXT,__text) external _apr_memcache_incr
000000020c4d3148 (__TEXT,__text) external _apr_memcache_multgetp
000000020c4d2700 (__TEXT,__text) external _apr_memcache_replace
000000020c4d2084 (__TEXT,__text) external _apr_memcache_server_create
000000020c4d24cc (__TEXT,__text) external _apr_memcache_set
000000020c4d3a18 (__TEXT,__text) external _apr_memcache_stats
000000020c4d2f58 (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
000000020c4d12d0 (__TEXT,__text) external _apr_optional_hook_add
000000020c4d1280 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
000000020c4ca8d4 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
000000020c4cf37c (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
000000020c4d4e30 (__TEXT,__text) external _apr_queue_create
000000020c4d5380 (__TEXT,__text) external _apr_queue_interrupt_all
000000020c4d5170 (__TEXT,__text) external _apr_queue_pop
000000020c4d4f54 (__TEXT,__text) external _apr_queue_push
000000020c4d5168 (__TEXT,__text) external _apr_queue_size
000000020c4d53dc (__TEXT,__text) external _apr_queue_term
000000020c4d52a0 (__TEXT,__text) external _apr_queue_trypop
000000020c4d508c (__TEXT,__text) external _apr_queue_trypush
000000020c4d5850 (__TEXT,__text) external _apr_reslist_acquire
000000020c4d5b20 (__TEXT,__text) external _apr_reslist_acquired_count
000000020c4d5bbc (__TEXT,__text) external _apr_reslist_cleanup_order_set
000000020c4d55dc (__TEXT,__text) external _apr_reslist_create
000000020c4d5834 (__TEXT,__text) external _apr_reslist_destroy
000000020c4d5b5c (__TEXT,__text) external _apr_reslist_invalidate
000000020c4d543c (__TEXT,__text) external _apr_reslist_maintain
000000020c4d5a24 (__TEXT,__text) external _apr_reslist_release
000000020c4d5b18 (__TEXT,__text) external _apr_reslist_timeout_set
000000020c4d6600 (__TEXT,__text) external _apr_rmm_addr_get
000000020c4d5ff0 (__TEXT,__text) external _apr_rmm_attach
000000020c4d6404 (__TEXT,__text) external _apr_rmm_calloc
000000020c4d5e68 (__TEXT,__text) external _apr_rmm_destroy
000000020c4d607c (__TEXT,__text) external _apr_rmm_detach
000000020c4d660c (__TEXT,__text) external _apr_rmm_free
000000020c4d5c6c (__TEXT,__text) external _apr_rmm_init
000000020c4d6084 (__TEXT,__text) external _apr_rmm_malloc
000000020c4d65f4 (__TEXT,__text) external _apr_rmm_offset_get
000000020c4d6810 (__TEXT,__text) external _apr_rmm_overhead_get
000000020c4d6530 (__TEXT,__text) external _apr_rmm_realloc
000000020c4cf918 (__TEXT,__text) external _apr_sdbm_close
000000020c4cfba8 (__TEXT,__text) external _apr_sdbm_delete
000000020c4cf984 (__TEXT,__text) external _apr_sdbm_fetch
000000020c4d0054 (__TEXT,__text) external _apr_sdbm_firstkey
000000020c4d02d8 (__TEXT,__text) external _apr_sdbm_lock
000000020c4d0148 (__TEXT,__text) external _apr_sdbm_nextkey
000000020c4cf740 (__TEXT,__text) external _apr_sdbm_open
000000020c4cfc78 (__TEXT,__text) external _apr_sdbm_rdonly
000000020c4cfce0 (__TEXT,__text) external _apr_sdbm_store
000000020c4d03f0 (__TEXT,__text) external _apr_sdbm_unlock
000000020c4cba24 (__TEXT,__text) external _apr_sha1_base64
000000020c4cb928 (__TEXT,__text) external _apr_sha1_final
000000020c4caafc (__TEXT,__text) external _apr_sha1_init
000000020c4cb924 (__TEXT,__text) external _apr_sha1_update
000000020c4cab20 (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
000000020c4d7908 (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
000000020c4d8fdc (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
000000020c4d73e4 (__TEXT,__text) external _apr_thread_pool_busy_count
000000020c4d6820 (__TEXT,__text) external _apr_thread_pool_create
000000020c4d6e04 (__TEXT,__text) external _apr_thread_pool_destroy
000000020c4d73f4 (__TEXT,__text) external _apr_thread_pool_idle_count
000000020c4d741c (__TEXT,__text) external _apr_thread_pool_idle_max_get
000000020c4d742c (__TEXT,__text) external _apr_thread_pool_idle_max_set
000000020c4d7424 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
000000020c4d74fc (__TEXT,__text) external _apr_thread_pool_idle_wait_set
000000020c4d6e24 (__TEXT,__text) external _apr_thread_pool_push
000000020c4d709c (__TEXT,__text) external _apr_thread_pool_schedule
000000020c4d73d4 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
000000020c4d75b8 (__TEXT,__text) external _apr_thread_pool_task_owner_get
000000020c4d720c (__TEXT,__text) external _apr_thread_pool_tasks_cancel
000000020c4d73cc (__TEXT,__text) external _apr_thread_pool_tasks_count
000000020c4d7404 (__TEXT,__text) external _apr_thread_pool_tasks_high_count
000000020c4d73fc (__TEXT,__text) external _apr_thread_pool_tasks_run_count
000000020c4d750c (__TEXT,__text) external _apr_thread_pool_thread_max_get
000000020c4d7514 (__TEXT,__text) external _apr_thread_pool_thread_max_set
000000020c4d73dc (__TEXT,__text) external _apr_thread_pool_threads_count
000000020c4d740c (__TEXT,__text) external _apr_thread_pool_threads_high_count
000000020c4d7414 (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
000000020c4d75a0 (__TEXT,__text) external _apr_thread_pool_threshold_get
000000020c4d75a8 (__TEXT,__text) external _apr_thread_pool_threshold_set
000000020c4d7200 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
000000020c4d7e38 (__TEXT,__text) external _apr_uri_parse
000000020c4d8254 (__TEXT,__text) external _apr_uri_parse_hostinfo
000000020c4d7b98 (__TEXT,__text) external _apr_uri_port_of_scheme
000000020c4d7bec (__TEXT,__text) external _apr_uri_unparse
000000020c4ce2c4 (__TEXT,__text) external _apr_uuid_format
000000020c4ce160 (__TEXT,__text) external _apr_uuid_get
000000020c4ce34c (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
000000020c4d8760 (__TEXT,__text) external _apr_xlate_close
000000020c4d8668 (__TEXT,__text) external _apr_xlate_conv_buffer
000000020c4d8748 (__TEXT,__text) external _apr_xlate_conv_byte
000000020c4d835c (__TEXT,__text) external _apr_xlate_open
000000020c4d8650 (__TEXT,__text) external _apr_xlate_sb_get
000000020c4d99c0 (__TEXT,__text) external _apr_xml_empty_elem
000000020c4d88b0 (__TEXT,__text) external _apr_xml_insert_uri
000000020c4d8f1c (__TEXT,__text) external _apr_xml_parse_file
000000020c4d877c (__TEXT,__text) external _apr_xml_parser_create
000000020c4d8dc8 (__TEXT,__text) external _apr_xml_parser_done
000000020c4d8d60 (__TEXT,__text) external _apr_xml_parser_feed
000000020c4d8e44 (__TEXT,__text) external _apr_xml_parser_geterror
000000020c4d9154 (__TEXT,__text) external _apr_xml_quote_elem
000000020c4d9030 (__TEXT,__text) external _apr_xml_quote_string
000000020c4d9208 (__TEXT,__text) external _apr_xml_to_text
000000020c4d0884 (__TEXT,__text) external _apu__sdbm_chkpage
000000020c4d0680 (__TEXT,__text) external _apu__sdbm_delpair
000000020c4d05f0 (__TEXT,__text) external _apu__sdbm_duppair
000000020c4d042c (__TEXT,__text) external _apu__sdbm_fitpair
000000020c4d0630 (__TEXT,__text) external _apu__sdbm_getnkey
000000020c4d04f0 (__TEXT,__text) external _apu__sdbm_getpair
000000020c4d0220 (__TEXT,__text) external _apu__sdbm_hash
000000020c4de310 (__TEXT,__const) external _apu__sdbm_nullitem
000000020c4d0460 (__TEXT,__text) external _apu__sdbm_putpair
000000020c4d0758 (__TEXT,__text) external _apu__sdbm_splpage
000000020c4d78ec (__TEXT,__text) external _apu_version
000000020c4d78fc (__TEXT,__text) external _apu_version_string
                 (undefined) external _atof (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _atol (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _crypt (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _iconv (from libiconv)
                 (undefined) external _iconv_close (from libiconv)
                 (undefined) external _iconv_open (from libiconv)
                 (undefined) external _ldap_bind_s (from LDAP)
                 (undefined) external _ldap_err2string (from LDAP)
